ENTRY            L0063   20111210                             L017L006300000001 
SUBENT        L0063001   20111210                             L017L006300100001 
BIB                 10         15                                 L006300100002 
INSTITUTE  (2UK GLS,2UK EDG,2GERMNZ)                              L006300100003 
REFERENCE  (J,PL/B,179,212,1986)                                  L006300100004 
AUTHOR     (J.C.McGeorge,G.I.Crawford,R.O.Owens,M.R.Sene,         L006300100005 
            D.Branford,A.C.Shotter,B.Schoch,R.Beck,P.Jennewein,   L006300100006 
            F.Klein,J.Vogt,F.Zettl)                               L006300100007 
TITLE      The 12C(gamma,p) reaction at E = 60 and 80 MeV         L006300100008 
FACILITY   (MICRT,2GERMNZ)                                        L006300100009 
INC-SOURCE (TAGD)                                                 L006300100010 
INC-SPECT  Electron beam from the University of Mainz microtron   L006300100011 
DETECTOR   (SCIN) DE,E plastic scintillator with a solid angle of L006300100012 
            70 msr.                                               L006300100013 
ERR-ANALYS (ERR-SYS,,15.) Systematic errors can be as high as 15 %L006300100014 
HISTORY    (20050420C) DR                                         L006300100015 
           (20111210A) OS. ERR-ANALYS, STATUS modified,           L006300100016 
60.         45.         2.352E+01  2.021E+00  3.539E-01           L006300200046 
60.         45.         2.454E+01  2.094E+00  3.185E-01           L006300200047 
60.         45.         2.558E+01  2.557E+00  2.831E-01           L006300200048 
60.         45.         2.660E+01  2.028E+00  3.893E-01           L006300200049 
60.         45.         2.751E+01  3.375E+00  4.601E-01           L006300200050 
60.         45.         2.859E+01  2.705E+00  3.893E-01           L006300200051 
60.         45.         2.956E+01  3.061E+00  3.539E-01           L006300200052 
60.         45.         3.065E+01  2.568E+00  3.893E-01           L006300200053 
60.         45.         3.145E+01  1.508E+00  3.185E-01           L006300200054 
60.         45.         3.263E+01  2.714E+00  3.185E-01           L006300200055 
60.         45.         3.360E+01  3.106E+00  2.831E-01           L006300200056 
60.         45.         3.456E+01  3.427E+00  5.309E-01           L006300200057 
60.         45.         3.552E+01  3.287E+00  3.539E-01           L006300200058 
60.         45.         3.647E+01  3.148E+00  4.601E-01           L006300200059 
60.         45.         3.737E+01  3.398E+00  3.893E-01           L006300200060 
60.         45.         3.877E+01  5.843E+00  3.185E-01           L006300200061 
60.         45.         3.978E+01  9.385E+00  3.893E-01           L006300200062 
60.         45.         4.091E+01  1.239E+01  6.725E-01           L006300200063 
60.         45.         4.182E+01  8.895E+00  4.955E-01           L006300200064 
60.         45.         4.257E+01  2.950E+00  3.893E-01           L006300200065 
60.         45.         4.356E+01  2.622E-01  2.123E-01           L006300200066 
60.         45.         4.458E+01 -1.601E-01  1.769E-01           L006300200067 
60.         45.         4.560E+01 -4.410E-01  3.893E-01           L006300200068 
60.         45.         4.656E+01 -6.512E-01  3.185E-01           L006300200069 
60.         45.         4.752E+01 -4.012E-01  3.539E-01           L006300200070 
60.         45.         4.863E+01  2.030E-01  2.831E-01           L006300200071 
60.         45.         4.965E+01  1.345E-01  2.831E-01           L006300200072 
60.         60.         2.054E+01  9.986E-01  2.782E-01           L006300200073 
60.         60.         2.150E+01  9.596E-01  2.782E-01           L006300200074 
60.         60.         2.260E+01  1.511E+00  3.130E-01           L006300200075 
60.         60.         2.349E+01  1.576E+00  3.477E-01           L006300200076 
60.         60.         2.452E+01  2.094E+00  4.173E-01           L006300200077 
60.         60.         2.547E+01  1.463E+00  3.825E-01           L006300200078 
60.         60.         2.657E+01  2.258E+00  4.521E-01           L006300200079 
60.         60.         2.739E+01  2.429E+00  3.477E-01           L006300200080 
60.         60.         2.849E+01  2.667E+00  4.521E-01           L006300200081 
60.         60.         2.958E+01  2.767E+00  4.521E-01           L006300200082 
60.         60.         3.061E+01  1.858E+00  4.173E-01           L006300200083 
60.         60.         3.150E+01  2.376E+00  4.173E-01           L006300200084 
60.         60.         3.253E+01  1.641E+00  3.825E-01           L006300200085 
60.         60.         3.342E+01  1.915E+00  3.477E-01           L006300200086 
60.         60.         3.458E+01  2.953E+00  4.521E-01           L006300200087 
60.         60.         3.554E+01  3.227E+00  3.825E-01           L006300200088 
60.         60.         3.657E+01  2.562E+00  4.173E-01           L006300200089 
60.         60.         3.767E+01  2.279E+00  5.216E-01           L006300200090 
60.         60.         3.842E+01  2.797E+00  4.173E-01           L006300200091 
60.         60.         3.945E+01  5.749E+00  5.216E-01           L006300200092 
60.         60.         4.054E+01  9.361E+00  5.564E-01           L006300200093 
60.         60.         4.150E+01  7.096E+00  4.173E-01           L006300200094 
60.         60.         4.267E+01  2.987E+00  4.173E-01           L006300200095 
60.         60.         4.369E+01  2.691E-02  3.477E-01           L006300200096 
60.         60.         4.458E+01 -2.204E-01  2.086E-01           L006300200097 
60.         60.         4.568E+01 -3.644E-01  2.434E-01           L006300200098 
60.         60.         4.664E+01 -9.042E-02  2.086E-01           L006300200099 
60.         60.         4.767E+01 -5.123E-01  3.477E-01           L006300200100 
60.         60.         4.890E+01 -2.395E-01  1.738E-01           L006300200101 
60.         60.         4.965E+01 -3.124E-01  3.477E-01           L006300200102 
60.         75.         2.077E+01  8.957E-01  5.563E-01           L006300200103 
60.         75.         2.169E+01  1.447E+00  5.215E-01           L006300200104 
60.         75.         2.256E+01  1.496E+00  5.563E-01           L006300200105 
60.         75.         2.360E+01  2.482E+00  4.694E-01           L006300200106 
60.         75.         2.461E+01  1.903E+00  4.694E-01           L006300200107 
60.         75.         2.562E+01  1.777E+00  4.520E-01           L006300200108 
60.         75.         2.647E+01  2.295E+00  5.041E-01           L006300200109 
60.         75.         2.755E+01  1.751E+00  6.258E-01           L006300200110 
60.         75.         2.840E+01  2.512E+00  3.303E-01           L006300200111 
60.         75.         2.950E+01  1.151E+00  5.215E-01           L006300200112 
60.         75.         3.034E+01  1.947E+00  4.520E-01           L006300200113 
60.         75.         3.135E+01  1.543E+00  3.998E-01           L006300200114 
60.         75.         3.236E+01  1.382E+00  5.389E-01           L006300200115 
60.         75.         3.334E+01  2.229E+00  3.824E-01           L006300200116 
60.         75.         3.426E+01  2.694E+00  4.868E-01           L006300200117 
60.         75.         3.532E+01  2.915E+00  3.303E-01           L006300200118 
60.         75.         3.621E+01  2.060E+00  4.346E-01           L006300200119 
60.         75.         3.730E+01  1.098E+00  3.998E-01           L006300200120 
60.         75.         3.807E+01  1.999E+00  4.520E-01           L006300200121 
60.         75.         3.902E+01  3.994E+00  3.477E-01           L006300200122 
60.         75.         4.011E+01  5.901E+00  5.389E-01           L006300200123 
60.         75.         4.112E+01  5.253E+00  5.389E-01           L006300200124 
60.         75.         4.215E+01  1.720E+00  3.477E-01           L006300200125 
60.         75.         4.318E+01  3.595E-01  2.260E-01           L006300200126 
60.         75.         4.426E+01  7.649E-02  1.738E-01           L006300200127 
60.         75.         4.507E+01 -3.443E-01  2.086E-01           L006300200128 
60.         75.         4.619E+01 -5.397E-02  2.955E-01           L006300200129 
60.         75.         4.713E+01 -9.297E-02  1.738E-01           L006300200130 
60.         75.         4.793E+01 -3.052E-01  3.303E-01           L006300200131 
60.         75.         4.913E+01 -3.628E-01  3.129E-01           L006300200132 
60.         90.         2.056E+01  1.259E+00  5.000E-01           L006300200133 
60.         90.         2.162E+01  8.148E-01  3.333E-01           L006300200134 
60.         90.         2.264E+01  1.666E+00  4.629E-01           L006300200135 
60.         90.         2.350E+01  1.462E+00  4.074E-01           L006300200136 
60.         90.         2.457E+01  1.796E+00  3.518E-01           L006300200137 
60.         90.         2.549E+01  1.037E+00  3.518E-01           L006300200138 
60.         90.         2.651E+01  2.037E+00  3.518E-01           L006300200139 
60.         90.         2.764E+01  1.833E+00  4.629E-01           L006300200140 
60.         90.         2.863E+01  1.370E+00  4.444E-01           L006300200141 
60.         90.         2.951E+01  2.018E+00  4.444E-01           L006300200142 
60.         90.         3.055E+01  7.407E-01  4.629E-01           L006300200143 
60.         90.         3.142E+01  1.055E+00  3.703E-01           L006300200144 
60.         90.         3.251E+01  1.851E+00  3.703E-01           L006300200145 
60.         90.         3.344E+01  1.851E+00  3.703E-01           L006300200146 
60.         90.         3.427E+01  2.888E+00  3.888E-01           L006300200147 
60.         90.         3.530E+01  1.351E+00  3.148E-01           L006300200148 
60.         90.         3.636E+01  1.166E+00  2.037E-01           L006300200149 
60.         90.         3.729E+01  1.203E+00  3.148E-01           L006300200150 
60.         90.         3.819E+01  2.629E+00  3.703E-01           L006300200151 
60.         90.         3.915E+01  3.666E+00  3.333E-01           L006300200152 
60.         90.         4.009E+01  3.870E+00  3.518E-01           L006300200153 
60.         90.         4.118E+01  2.277E+00  3.703E-01           L006300200154 
60.         90.         4.222E+01  1.037E+00  3.333E-01           L006300200155 
60.         90.         4.321E+01  5.185E-01  3.333E-01           L006300200156 
60.         90.         4.419E+01 -2.037E-01  2.777E-01           L006300200157 
60.         90.         4.513E+01 -1.111E-01  1.481E-01           L006300200158 
60.         90.         4.620E+01 -3.703E-02  2.222E-01           L006300200159 
60.         90.         4.714E+01  2.777E-01  2.037E-01           L006300200160 
60.         90.         4.813E+01 -1.111E-01  2.592E-01           L006300200161 
60.         90.         4.900E+01  9.259E-02  1.296E-01           L006300200162 
60.        105.         2.048E+01  7.819E-01  1.862E-01           L006300200163 
60.        105.         2.156E+01  1.280E+00  2.200E-01           L006300200164 
60.        105.         2.243E+01  1.459E+00  1.692E-01           L006300200165 
60.        105.         2.349E+01  1.128E+00  1.862E-01           L006300200166 
60.        105.         2.463E+01  1.203E+00  1.692E-01           L006300200167 
60.        105.         2.544E+01  1.670E+00  1.354E-01           L006300200168 
60.        105.         2.657E+01  1.406E+00  1.862E-01           L006300200169 
60.        105.         2.730E+01  1.400E+00  1.523E-01           L006300200170 
60.        105.         2.850E+01  1.373E+00  2.200E-01           L006300200171 
60.        105.         2.936E+01  1.281E+00  2.200E-01           L006300200172 
60.        105.         3.043E+01  1.356E+00  1.185E-01           L006300200173 
60.        105.         3.142E+01  1.026E+00  2.031E-01           L006300200174 
60.        105.         3.236E+01  1.204E+00  1.523E-01           L006300200175 
60.        105.         3.324E+01  1.721E+00  1.862E-01           L006300200176 
60.        105.         3.425E+01  2.051E+00  1.862E-01           L006300200177 
60.        105.         3.530E+01  1.416E+00  1.523E-01           L006300200178 
60.        105.         3.628E+01  7.136E-01  1.862E-01           L006300200179 
60.        105.         3.722E+01  7.055E-01  1.523E-01           L006300200180 
60.        105.         3.830E+01  1.509E+00  1.862E-01           L006300200181 
60.        105.         3.918E+01  1.857E+00  1.692E-01           L006300200182 
60.        105.         4.019E+01  2.187E+00  1.185E-01           L006300200183 
60.        105.         4.108E+01  6.553E-01  1.692E-01           L006300200184 
60.        105.         4.220E+01  1.922E-02  1.185E-01           L006300200185 
60.        120.         2.039E+01  1.101E+00  1.864E-01           L006300200186 
60.        120.         2.139E+01  7.796E-01  1.355E-01           L006300200187 
60.        120.         2.262E+01  1.084E+00  2.542E-01           L006300200188 
60.        120.         2.341E+01  7.118E-01  2.881E-01           L006300200189 
60.        120.         2.462E+01  5.932E-01  2.542E-01           L006300200190 
60.        120.         2.564E+01  7.288E-01  2.033E-01           L006300200191 
60.        120.         2.646E+01  8.644E-01  1.864E-01           L006300200192 
60.        120.         2.746E+01  7.627E-01  1.694E-01           L006300200193 
60.        120.         2.843E+01  1.186E+00  2.033E-01           L006300200194 
60.        120.         2.966E+01  1.355E+00  2.881E-01           L006300200195 
60.        120.         3.059E+01  1.016E+00  2.033E-01           L006300200196 
60.        120.         3.141E+01  1.305E+00  1.694E-01           L006300200197 
60.        120.         3.254E+01  8.983E-01  2.711E-01           L006300200198 
60.        120.         3.325E+01  1.542E+00  3.050E-01           L006300200199 
60.        120.         3.425E+01  1.288E+00  3.559E-01           L006300200200 
60.        120.         3.550E+01  6.779E-01  2.881E-01           L006300200201 
60.        120.         3.625E+01  7.966E-01  2.542E-01           L006300200202 
60.        120.         3.740E+01  8.305E-01  2.203E-01           L006300200203 
60.        120.         3.828E+01  8.474E-01  2.033E-01           L006300200204 
60.        120.         3.936E+01  8.135E-01  2.203E-01           L006300200205 
60.        120.         4.035E+01  3.559E-01  2.033E-01           L006300200206 
60.        120.         4.129E+01  2.881E-01  1.694E-01           L006300200207 
60.        120.         4.316E+01 -5.084E-02  1.355E-01           L006300200208 
60.        120.         4.431E+01  1.694E-02  1.525E-01           L006300200209 
60.        120.         4.525E+01 -1.355E-01  2.203E-01           L006300200210 
60.        120.         4.633E+01 -8.474E-02  1.864E-01           L006300200211 
60.        120.         4.722E+01  8.474E-02  8.474E-02           L006300200212 
60.        120.         4.824E+01  1.864E-01  2.203E-01           L006300200213 
60.        120.         4.918E+01  1.694E-02  1.864E-01           L006300200214 
60.        135.         2.056E+01  9.126E-01  3.504E-01           L006300200215 
60.        135.         2.146E+01  6.243E-01  1.927E-01           L006300200216 
60.        135.         2.262E+01  5.087E-01  1.752E-01           L006300200217 
60.        135.         2.341E+01  9.219E-01  1.752E-01           L006300200218 
60.        135.         2.461E+01  1.755E-01  2.102E-01           L006300200219 
60.        135.         2.554E+01  6.049E-01  2.102E-01           L006300200220 
60.        135.         2.648E+01  8.241E-01  2.803E-01           L006300200221 
60.        135.         2.760E+01  1.660E-01  2.803E-01           L006300200222 
60.        135.         2.840E+01  4.214E-01  2.277E-01           L006300200223 
60.        135.         2.941E+01  5.699E-01  2.102E-01           L006300200224 
60.        135.         3.051E+01  3.147E-01  2.453E-01           L006300200225 
60.        135.         3.131E+01  6.578E-01  2.803E-01           L006300200226 
60.        135.         3.234E+01  5.084E-01  2.102E-01           L006300200227 
60.        135.         3.335E+01  6.218E-01  1.577E-01           L006300200228 
60.        135.         3.444E+01  6.821E-01  2.102E-01           L006300200229 
60.        135.         3.547E+01  4.100E-01  1.927E-01           L006300200230 
60.        135.         3.657E+01  1.899E-01  1.752E-01           L006300200231 
60.        135.         3.759E+01  2.683E-01  1.577E-01           L006300200232 
60.        135.         3.855E+01 -3.074E-03  2.277E-01           L006300200233 
60.        135.         3.950E+01  7.592E-02  8.761E-02           L006300200234 
60.        135.         4.052E+01 -3.381E-03  1.752E-01           L006300200235 
60.        135.         4.142E+01 -1.865E-01  1.752E-01           L006300200236 
60.        135.         4.244E+01 -2.483E-01  7.008E-02           L006300200237 
60.        135.         4.448E+01 -1.792E-01  1.401E-01           L006300200238 
60.        135.         4.529E+01 -1.515E-01  1.927E-01           L006300200239 
60.        135.         4.666E+01 -3.390E-01  1.226E-01           L006300200240 
80.         30.         2.050E+01  2.159E-01  7.386E-01           L006300200241 
80.         30.         2.144E+01 -2.727E-01  8.295E-01           L006300200242 
80.         30.         2.271E+01  2.102E+00  8.295E-01           L006300200243 
80.         30.         2.381E+01  2.397E+00  8.409E-01           L006300200244 
80.         30.         2.457E+01  1.795E+00  9.318E-01           L006300200245 
80.         30.         2.559E+01  1.284E+00  7.954E-01           L006300200246 
80.         30.         2.669E+01  6.250E-01  8.750E-01           L006300200247 
80.         30.         2.754E+01  1.022E-01  8.409E-01           L006300200248 
80.         30.         2.872E+01  2.897E+00  8.522E-01           L006300200249 
80.         30.         2.966E+01  3.181E+00  7.613E-01           L006300200250 
80.         30.         3.067E+01  1.375E+00  8.181E-01           L006300200251 
80.         30.         3.152E+01  2.431E+00  7.840E-01           L006300200252 
80.         30.         3.254E+01  2.727E+00  7.386E-01           L006300200253 
80.         30.         3.355E+01  5.227E-01  8.295E-01           L006300200254 
80.         30.         3.466E+01  2.306E+00  7.045E-01           L006300200255 
80.         30.         3.533E+01  1.034E+00  7.272E-01           L006300200256 
80.         30.         3.652E+01  1.295E+00  7.727E-01           L006300200257 
80.         30.         3.771E+01  2.602E+00  7.045E-01           L006300200258 
80.         30.         3.847E+01  1.534E+00  6.363E-01           L006300200259 
80.         30.         3.957E+01  2.568E+00  6.931E-01           L006300200260 
80.         30.         4.050E+01  3.863E-01  7.727E-01           L006300200261 
80.         30.         4.144E+01  2.090E+00  6.704E-01           L006300200262 
80.         30.         4.245E+01  1.193E+00  6.590E-01           L006300200263 
80.         30.         4.347E+01  2.329E+00  7.500E-01           L006300200264 
80.         30.         4.457E+01  1.715E+00  6.250E-01           L006300200265 
80.         30.         4.542E+01  6.477E-01  6.931E-01           L006300200266 
80.         30.         4.644E+01  1.375E+00  5.909E-01           L006300200267 
80.         30.         4.762E+01  2.068E+00  6.250E-01           L006300200268 
80.         30.         4.847E+01  2.568E+00  6.250E-01           L006300200269 
80.         30.         4.949E+01  2.034E+00  6.931E-01           L006300200270 
80.         30.         5.059E+01  1.397E+00  6.136E-01           L006300200271 
80.         30.         5.144E+01  7.613E-01  5.681E-01           L006300200272 
80.         30.         5.228E+01  2.840E-01  6.022E-01           L006300200273 
80.         30.         5.355E+01  1.488E+00  5.681E-01           L006300200274 
80.         30.         5.449E+01  1.636E+00  5.454E-01           L006300200275 
80.         30.         5.550E+01  1.431E+00  5.568E-01           L006300200276 
80.         30.         5.644E+01  1.056E+00  5.227E-01           L006300200277 
80.         30.         5.737E+01  3.977E-01  6.363E-01           L006300200278 
80.         30.         5.864E+01  2.011E+00  5.909E-01           L006300200279 
80.         30.         5.991E+01  1.329E+00  5.681E-01           L006300200280 
80.         30.         6.076E+01  2.681E+00  5.454E-01           L006300200281 
80.         30.         6.203E+01  3.465E+00  4.545E-01           L006300200282 
80.         30.         6.279E+01  1.784E+00  4.545E-01           L006300200283 
80.         30.         6.381E+01  1.534E+00  5.568E-01           L006300200284 
80.         30.         6.440E+01 -7.954E-02  4.090E-01           L006300200285 
80.         30.         6.567E+01  3.522E-01  3.977E-01           L006300200286 
80.         30.         6.652E+01  0.000E+00  4.545E-01           L006300200287 
80.         30.         6.745E+01 -2.500E-01  3.863E-01           L006300200288 
80.         30.         6.847E+01  2.272E-02  5.000E-01           L006300200289 
80.         30.         6.949E+01 -4.659E-01  5.568E-01           L006300200290 
80.         45.         2.027E+01  8.793E-01  5.175E-01           L006300200291 
80.         45.         2.126E+01  1.563E+00  4.822E-01           L006300200292 
80.         45.         2.218E+01  1.717E+00  5.058E-01           L006300200293 
80.         45.         2.336E+01  9.313E-01  5.646E-01           L006300200294 
80.         45.         2.415E+01  1.285E+00  6.352E-01           L006300200295 
80.         45.         2.549E+01  1.958E+00  5.999E-01           L006300200296 
80.         45.         2.663E+01  4.234E-02  6.587E-01           L006300200297 
80.         45.         2.746E+01  1.137E+00  6.587E-01           L006300200298 
80.         45.         2.840E+01  1.633E+00  3.999E-01           L006300200299 
80.         45.         2.909E+01  2.093E+00  7.410E-01           L006300200300 
80.         45.         3.002E+01  2.601E+00  6.234E-01           L006300200301 
80.         45.         3.118E+01  1.979E+00  5.058E-01           L006300200302 
80.         45.         3.235E+01  1.251E+00  4.940E-01           L006300200303 
80.         45.         3.324E+01  1.982E+00  5.058E-01           L006300200304 
80.         45.         3.425E+01  1.666E+00  5.411E-01           L006300200305 
80.         45.         3.519E+01  2.621E+00  4.587E-01           L006300200306 
80.         45.         3.658E+01  1.658E+00  5.528E-01           L006300200307 
80.         45.         3.719E+01  2.530E+00  5.646E-01           L006300200308 
80.         45.         3.838E+01  2.155E+00  4.117E-01           L006300200309 
80.         45.         3.928E+01  2.427E+00  4.822E-01           L006300200310 
80.         45.         4.047E+01  2.029E+00  3.881E-01           L006300200311 
80.         45.         4.139E+01  1.725E+00  5.293E-01           L006300200312 
80.         45.         4.248E+01  1.915E+00  3.764E-01           L006300200313 
80.         45.         4.345E+01  1.763E+00  4.469E-01           L006300200314 
80.         45.         4.451E+01  2.530E+00  4.940E-01           L006300200315 
80.         45.         4.560E+01  1.826E+00  5.411E-01           L006300200316 
80.         45.         4.657E+01  2.121E+00  4.117E-01           L006300200317 
80.         45.         4.747E+01  1.487E+00  3.764E-01           L006300200318 
80.         45.         4.860E+01  1.419E+00  4.705E-01           L006300200319 
80.         45.         4.959E+01  7.852E-01  4.117E-01           L006300200320 
80.         45.         5.072E+01  1.610E+00  4.117E-01           L006300200321 
80.         45.         5.189E+01  1.377E+00  3.528E-01           L006300200322 
80.         45.         5.257E+01  1.413E+00  3.411E-01           L006300200323 
80.         45.         5.367E+01  1.533E+00  3.881E-01           L006300200324 
80.         45.         5.467E+01  1.711E+00  4.117E-01           L006300200325 
80.         45.         5.573E+01  1.536E+00  3.764E-01           L006300200326 
80.         45.         5.681E+01  1.773E+00  3.646E-01           L006300200327 
80.         45.         5.793E+01  1.763E+00  2.823E-01           L006300200328 
80.         45.         5.878E+01  2.294E+00  2.117E-01           L006300200329 
80.         45.         5.959E+01  2.566E+00  3.528E-01           L006300200330 
80.         45.         6.098E+01  2.521E+00  4.117E-01           L006300200331 
80.         45.         6.159E+01  2.922E+00  3.528E-01           L006300200332 
80.         45.         6.282E+01  1.900E+00  4.234E-01           L006300200333 
80.         45.         6.412E+01  4.791E-01  2.940E-01           L006300200334 
80.         45.         6.506E+01  8.054E-02  3.411E-01           L006300200335 
80.         45.         6.640E+01 -1.996E-01  3.764E-01           L006300200336 
80.         45.         6.722E+01  4.871E-02  3.293E-01           L006300200337 
80.         45.         6.817E+01  4.973E-01  2.705E-01           L006300200338 
80.         45.         6.930E+01 -3.030E-02  3.881E-01           L006300200339 
80.         45.         7.024E+01  4.179E-02  2.705E-01           L006300200340 
80.         60.         2.031E+01  1.574E+00  4.047E-01           L006300200341 
80.         60.         2.142E+01  1.525E+00  3.570E-01           L006300200342 
80.         60.         2.234E+01  1.107E+00  3.451E-01           L006300200343 
80.         60.         2.344E+01  1.117E+00  3.570E-01           L006300200344 
80.         60.         2.436E+01  1.175E+00  3.451E-01           L006300200345 
80.         60.         2.552E+01  3.641E-01  4.404E-01           L006300200346 
80.         60.         2.634E+01  1.481E+00  4.880E-01           L006300200347 
80.         60.         2.729E+01  1.812E+00  4.166E-01           L006300200348 
80.         60.         2.832E+01  8.354E-01  4.642E-01           L006300200349 
80.         60.         2.943E+01  1.226E+00  4.880E-01           L006300200350 
80.         60.         3.018E+01  1.272E+00  3.332E-01           L006300200351 
80.         60.         3.099E+01  2.437E+00  5.237E-01           L006300200352 
80.         60.         3.215E+01  2.078E+00  4.642E-01           L006300200353 
80.         60.         3.330E+01  1.814E+00  4.642E-01           L006300200354 
80.         60.         3.410E+01  1.611E+00  2.975E-01           L006300200355 
80.         60.         3.549E+01  1.430E+00  3.689E-01           L006300200356 
80.         60.         3.618E+01  1.821E+00  3.332E-01           L006300200357 
80.         60.         3.723E+01  2.593E+00  3.808E-01           L006300200358 
80.         60.         3.815E+01  1.723E+00  4.285E-01           L006300200359 
80.         60.         3.925E+01  2.173E+00  4.166E-01           L006300200360 
80.         60.         4.031E+01  1.457E+00  3.332E-01           L006300200361 
80.         60.         4.105E+01  1.599E+00  4.166E-01           L006300200362 
80.         60.         4.253E+01  1.359E+00  3.332E-01           L006300200363 
80.         60.         4.314E+01  1.286E+00  2.737E-01           L006300200364 
80.         60.         4.399E+01  1.261E+00  2.975E-01           L006300200365 
80.         60.         4.540E+01  1.378E+00  3.928E-01           L006300200366 
80.         60.         4.640E+01  1.483E+00  3.213E-01           L006300200367 
80.         60.         4.707E+01  1.529E+00  4.047E-01           L006300200368 
80.         60.         4.843E+01  1.016E+00  3.808E-01           L006300200369 
80.         60.         4.935E+01  1.085E+00  2.618E-01           L006300200370 
80.         60.         5.051E+01  1.214E+00  3.213E-01           L006300200371 
80.         60.         5.128E+01  1.189E+00  3.332E-01           L006300200372 
80.         60.         5.211E+01  1.259E+00  2.618E-01           L006300200373 
80.         60.         5.343E+01  1.007E+00  2.856E-01           L006300200374 
80.         60.         5.433E+01  1.184E+00  3.451E-01           L006300200375 
80.         60.         5.509E+01  1.647E+00  2.737E-01           L006300200376 
80.         60.         5.623E+01  1.883E+00  2.737E-01           L006300200377 
