ENTRY            L0269   20210322                             L047L0269  0    1 
SUBENT        L0269001   20210314                             L047L0269  1    1 
BIB                  8         30                                 L0269  1    2 
TITLE      Electric and magnetic dipole strength in 66Zn          L0269  1    3 
AUTHOR     (R.Schwengner,R.Massarczyk,M.Scheck,W.Tornow,          L0269  1    4 
           G.Battaglia,T.Beck,D.Bemmerer,N.Benouaret,R.Beyer,     L0269  1    5 
           M.Butterling,F.Fiedler,S.W.Finch,C.Fransen,            L0269  1    6 
           U.Friman-Gayer,A.Frotscher,R.Gonzalez,M.Grieger,       L0269  1    7 
           A.Hartmann,T.Hensel,E.Hoemann,H.Hoffmann,              L0269  1    8 
           R.V.F.Janssens,S.Johnson,M.D.Jones,A.R.Junghans,       L0269  1    9 
           N.Kelly,J.Kleemann,Krishichayan,D.R.Little,F.Ludwig,   L0269  1   10 
           S.E.Muller,D.O'Donnell,O.Papst,E.Pirovano,J.Sinclair,  L0269  1   11 
           M.P.Takacs,S.Turkat,S.Urlass,A.Wagner,V.Werner,        L0269  1   12 
           O.Wieland,J.Wilhelmy)                                  L0269  1   13 
INSTITUTE  (2GERZFK,1USALAS,1USADKE,1USATNL,2GERTHD,2GERKLN,      L0269  1   14 
           3ALGUHB,2GERDRE,1USANCA,2ZZZCER,2ITYMIL)               L0269  1   15 
           (2UK UK) University of the West of Scotland, Paisley   L0269  1   16 
           (2UK UK) University of Strathclyde, Glasgow            L0269  1   17 
REFERENCE  (J,PR/C,103,024312,2021)                               L0269  1   18 
SAMPLE     (30-ZN-66,ENR=0.9800) Samples with mass of 1.4993 g    L0269  1   19 
           in disk form with diameter of 20 mm.                   L0269  1   20 
           (5-B-11,ENR=0.995) At ELBE the target was combined     L0269  1   21 
           with 0.300 g of boron, enriched in 11B                 L0269  1   22 
DETECTOR   (HPGE) Four high-purity Germanium detectors with 100%  L0269  1   23 
           efficiency were mounted around the target. All HPGe    L0269  1   24 
           detectors were surrounded by escape-suppression BGO    L0269  1   25 
           scintillation shields of 3 cm in thickness. Two HPGe   L0269  1   26 
           detectors were placed at 127deg relative to the        L0269  1   27 
           photon beam direction at 32 cm from the target. Two    L0269  1   28 
           HPGe detectors were positioned in a horizontal plane   L0269  1   29 
           at 90deg to the beam at 28 cm from the target.         L0269  1   30 
MONITOR    (5-B-11(G,EL)5-B-11,,SIG)                              L0269  1   31 
HISTORY    (20210314C) Compiled by S.H.                           L0269  1   32 
ENDBIB              30          0                                 L0269  1   33 
NOCOMMON             0          0                                 L0269  1   34 
ENDSUBENT           33          0                                 L0269  199999 
SUBENT        L0269002   20210314                             L047L0269  2    1 
BIB                  5         13                                 L0269  2    2 
REACTION   ((30-ZN-66(G,SCT)30-ZN-66,,DA)//                       L0269  2    3 
           (30-ZN-66(G,SCT)30-ZN-66,,DA))                         L0269  2    4 
FACILITY   (LINAC,2GERZFK) Experiment was performed at the        L0269  2    5 
           photon scattering facility at the superconducting      L0269  2    6 
           electron accelerator ELBE (gammaELBE) in Dresden       L0269  2    7 
INC-SOURCE (BRST) Bremsstrahlung was produced by electron beams ofL0269  2    8 
           energy 7.5 and 13.4 MeV. At 7.5 MeV the radiator was NbL0269  2    9 
           foil 5 mu-m thick. At 13.4 MeV the radiator was Nb foilL0269  2   10 
           12.5 mu-m thick. At 13.4 MeV A 10 cm thick aluminum    L0269  2   11 
           absorber was placed behind the radiator to reduce the  L0269  2   12 
           low-energy intensity of the bremsstrahlung.            L0269  2   13 
ERR-ANALYS (DATA-ERR) Origin of uncertainties not described       L0269  2   14 
STATUS     (TABLE) Data taken from tab.1 of the reference PR/C    L0269  2   15 
ENDBIB              13          0                                 L0269  2   16 
COMMON               2          3                                 L0269  2   17 
ANG-NM     ANG-DN                                                 L0269  2   18 
ADEG       ADEG                                                   L0269  2   19 
 90.        127.                                                  L0269  2   20 
ENDCOMMON            3          0                                 L0269  2   21 
DATA                 4        128                                 L0269  2   22 
           energy 7.5 and 13.4 MeV. At 7.5 MeV the radiator was NbL0269  3    8 
           foil 5 mu-m thick. At 13.4 MeV the radiator was Nb foilL0269  3    9 
           12.5 mu-m thick. At 13.4 MeV A 10 cm thick aluminum    L0269  3   10 
           absorber was placed behind the radiator to reduce the  L0269  3   11 
           low-energy intensity of the bremsstrahlung.            L0269  3   12 
ERR-ANALYS (DATA-ERR) Origin of uncertainties not described       L0269  3   13 
STATUS     (TABLE) Data taken from tab.1 of the reference PR/C    L0269  3   14 
ENDBIB              12          0                                 L0269  3   15 
NOCOMMON             0          0                                 L0269  3   16 
DATA                 4        129                                 L0269  3   17 
EN-RES     EN-RES-ERR DATA       DATA-ERR                         L0269  3   18 
KEV        KEV        B*EV       B*EV                             L0269  3   19 
   3380.8        0.3        14.4        1.6                       L0269  3   20 
   3421.5        0.3         4.2        1.2                       L0269  3   21 
   3432.1        0.3         5.3        1.4                       L0269  3   22 
   3737.8        0.2        23.7        2.4                       L0269  3   23 
   3931.7        0.3        12.9        1.9                       L0269  3   24 
   4085.7        0.3         6.3        1.6                       L0269  3   25 
   4295.0        0.2        17.9        2.1                       L0269  3   26 
   4426.3        0.2         50.         4.                       L0269  3   27 
   4461.1        0.3         6.2        1.2                       L0269  3   28 
   4747.8        0.3         20.         3.                       L0269  3   29 
   4805.6        0.2         62.         5.                       L0269  3   30 
   4933.1        0.6         3.1        1.3                       L0269  3   31 
   5075.4        0.2         35.         5.                       L0269  3   32 
   5267.7        0.3        21.5        2.5                       L0269  3   33 
   5283.0        0.7         5.0        1.4                       L0269  3   34 
   5329.6        0.3        17.5        2.4                       L0269  3   35 
   5355.5        0.3        15.9        2.1                       L0269  3   36 
   5391.0        0.4         8.3        2.0                       L0269  3   37 
   5399.8        0.5        10.4        2.7                       L0269  3   38 
   5420.1        0.4         7.9        2.5                       L0269  3   39 
   5439.5        0.2        18.3        2.3                       L0269  3   40 
   5520.9        0.2         52.         5.                       L0269  3   41 
   5695.6        0.2         32.         3.                       L0269  3   42 
   5792.0        0.3         22.         7.                       L0269  3   43 
   5840.7        0.1        222.        17.                       L0269  3   44 
   5992.2        0.2         82.         7.                       L0269  3   45 
   6097.1        0.2         47.         4.                       L0269  3   46 
   6259.3        0.3        19.7        2.7                       L0269  3   47 
   6355.3        0.4        19.8        2.6                       L0269  3   48 
   6459.3        0.5        10.8        1.9                       L0269  3   49 
   6533.8        0.5         19.         3.                       L0269  3   50 
   6571.8        0.4         25.         4.                       L0269  3   51 
   6691.4        0.4         21.         4.                       L0269  3   52 
   6720.0        0.3         61.         6.                       L0269  3   53 
   6830.2        0.1        111.        10.                       L0269  3   54 
   6986.6        0.1        106.         9.                       L0269  3   55 
   7038.5        0.7          8.         4.                       L0269  3   56 
   7093.1        0.5         44.         8.                       L0269  3   57 
   7118.7        0.5         50.         8.                       L0269  3   58 
   7185.2        0.3         70.         9.                       L0269  3   59 
   7200.7        0.3         53.         8.                       L0269  3   60 
   7228.9        0.5         26.         5.                       L0269  3   61 
   7266.8        0.2         69.         9.                       L0269  3   62 
   7303.2        0.4         33.         6.                       L0269  3   63 
   7326.2        0.2         50.         8.                       L0269  3   64 
   7367.5        0.3         47.         7.                       L0269  3   65 
   7393.1        0.7         23.         5.                       L0269  3   66 
   7413.8        0.2        178.        22.                       L0269  3   67 
   7446.4        0.3         91.        12.                       L0269  3   68 
   7486.7        0.6         19.         4.                       L0269  3   69 
   7502.6        0.2         85.        11.                       L0269  3   70 
   7567.3        0.4         19.         4.                       L0269  3   71 
   7600.4        0.3         56.         8.                       L0269  3   72 
   7618.2        0.4         48.         7.                       L0269  3   73 
   7647.1        0.3        102.        14.                       L0269  3   74 
   7686.8        0.4         45.         9.                       L0269  3   75 
   7700.1        0.7         25.         9.                       L0269  3   76 
   7722.7        0.3         70.         9.                       L0269  3   77 
   7731.8        0.3         77.        10.                       L0269  3   78 
   7740.3        0.4         44.         6.                       L0269  3   79 
