ENTRY            F0729   20051123                             F023F072900000001 
SUBENT        F0729001   20051123                             F023F072900100001 
BIB                 10         22                                 F072900100002 
TITLE       (p,a)reactions on 9Be and 10B for Ep=18-45 MeV.       F072900100003 
AUTHOR     (H.J.Hauser,M.Walz,F.Weng,G.Staudt,P.K.Rath)           F072900100004 
INSTITUTE  (2GERTUE)                                              F072900100005 
REFERENCE  (J,NP/A,456,253,1986)                                  F072900100006 
FACILITY   (ISOCY,2GERJUL)The proton beam with energies between   F072900100007 
           22.5 and 45 MeV was obtained from the isochronous      F072900100008 
           cyclotron JULIC of the KFA Julich.                     F072900100009 
           (CYCLO,2GERHAM)The experiment at 18 MeV was performed  F072900100010 
           using the proton beam of the cyclotron at the          F072900100011 
           University of Hamburg.                                 F072900100012 
DETECTOR   (TELES,SIBAR)Counter telescopes consisting of 50 mu-m  F072900100013 
            (dE) and 1000 mu-m (E) surface-barrier silicon        F072900100014 
           detectors were used for detecting and measuring the    F072900100015 
           energy of the outgoing alpha particles.                F072900100016 
           (GELI)Detector served as proton monitor.               F072900100017 
SAMPLE     The targets were self-supporting beryllium and enrichedF072900100018 
           boron foils,respectively, with typical areal densities F072900100019 
           of 150 mu-g/cm2.                                       F072900100020 
METHOD     (EDE)                                                  F072900100021 
           (BCINT)                                                F072900100022 
ERR-ANALYS (ERR-DIG)Digitizing error                              F072900100023 
HISTORY    (20050824C)                                            F072900100024 
ENDBIB              22          0                                 F072900100025 
NOCOMMON             0          0                                 F072900100026 
ENDSUBENT           25          0                                 F072900199999 
SUBENT        F0729002   20051123                             F023F072900200001 
BIB                  3          4                                 F072900200002 
REACTION   (4-BE-9(P,A)3-LI-6,PAR,DA)                             F072900200003 
ERR-ANALYS (ANG-ERR-D)Digitizing error                            F072900200004 
           (DATA-ERR)Error from the graphic bars                  F072900200005 
STATUS     (CURVE)Fig.3                                           F072900200006 
ENDBIB               4          0                                 F072900200007 
COMMON               2          3                                 F072900200008 
ANG-ERR-D  ERR-DIG                                                F072900200009 
ADEG       PER-CENT                                               F072900200010 
 0.2        0.2                                                   F072900200011 
ENDCOMMON            3          0                                 F072900200012 
DATA                 5        449                                 F072900200013 
E-LVL      EN         ANG-CM     DATA-CM    DATA-ERR              F072900200014 
 0.0000     26.700     77.646     80.101     5.5878               F072900200076 
 0.0000     26.700     82.870     106.58     6.5339               F072900200077 
 0.0000     26.700     88.790     135.75     8.3226               F072900200078 
 0.0000     26.700     94.884     143.51     8.1948               F072900200079 
 0.0000     26.700     99.933     132.04     9.2107               F072900200080 
 0.0000     26.700     105.16     116.76     5.2073               F072900200081 
 0.0000     26.700     109.86     93.130     4.9284               F072900200082 
 0.0000     26.700     115.08     63.889     4.4569               F072900200083 
 0.0000     26.700     120.13     57.857     4.2821               F072900200084 
 0.0000     26.700     125.18     46.517     3.0480               F072900200085 
 0.0000     26.700     129.53     58.087     3.8061               F072900200086 
 0.0000     26.700     134.06     79.149     5.1862               F072900200087 
 0.0000     26.700     137.54     84.671     5.9066               F072900200088 
 0.0000     26.700     142.42     102.84     7.1738               F072900200089 
 0.0000     26.700     145.73     112.21     7.8279               F072900200090 
 0.0000     26.700     150.08     128.41     7.8726               F072900200091 
 0.0000     26.700     154.08     145.22     8.2926               F072900200092 
 0.0000     26.700     158.09     163.57     8.6560               F072900200093 
 0.0000     26.700     161.40     187.18     11.476               F072900200094 
 0.0000     26.700     164.01     187.18     12.265               F072900200095 
 0.0000     26.700     168.01     190.93     8.8755               F072900200096 
 0.0000     26.700     171.50     230.06     14.104               F072900200097 
 0.0000     31.000     11.824     78.164     6.0863               F072900200098 
 0.0000     31.000     18.266     60.240     5.2052               F072900200099 
 0.0000     31.000     24.534     44.455     4.6096               F072900200100 
 0.0000     31.000     30.454     62.913     5.7064               F072900200101 
 0.0000     31.000     36.374     102.63     7.1215               F072900200102 
 0.0000     31.000     42.468     99.047     7.2919               F072900200103 
 0.0000     31.000     48.562     83.588     6.8649               F072900200104 
 0.0000     31.000     54.830     74.548     6.1225               F072900200105 
 0.0000     31.000     60.750     42.734     7.1104               F072900200106 
 0.0000     31.000     66.844     25.888     2.0158               F072900200107 
 0.0000     31.000     72.938     23.549     3.3816               F072900200108 
 0.0000     31.000     78.161     39.180     2.5537               F072900200109 
 0.0000     31.000     83.559     61.927     3.7766               F072900200110 
 0.0000     31.000     88.260     90.810     4.7805               F072900200111 
 0.0000     31.000     94.354     91.891     2.8558               F072900200112 
 0.0000     31.000     99.055     93.722     4.1582               F072900200113 
 0.0000     31.000     104.10     83.258     4.7295               F072900200114 
 0.0000     31.000     109.50     69.710     4.5437               F072900200115 
 0.0000     31.000     114.38     59.063     4.0984               F072900200116 
 0.0000     31.000     118.90     46.610     3.2343               F072900200117 
 0.0000     31.000     123.61     45.699     3.4683               F072900200118 
 0.0000     31.000     128.13     44.806     3.0724               F072900200119 
 0.0000     31.000     132.49     60.239     4.1801               F072900200120 
 0.0000     31.000     136.84     64.930     4.2321               F072900200121 
 0.0000     31.000     141.19     65.963     3.5456               F072900200122 
 0.0000     31.000     145.02     76.938     5.0148               F072900200123 
 0.0000     31.000     149.03     71.663     4.3851               F072900200124 
 0.0000     31.000     153.03     75.733     4.6342               F072900200125 
 0.0000     31.000     157.04     87.986     5.7349               F072900200126 
 0.0000     31.000     160.87     88.684     6.1539               F072900200127 
 0.0000     31.000     164.70     80.669     4.2467               F072900200128 
 0.0000     31.000     168.18     80.669     5.5978               F072900200129 
 0.0000     38.000     19.833     43.148     2.9941               F072900200130 
 0.0000     38.000     25.753     27.733     1.9244               F072900200131 
 0.0000     38.000     31.498     25.427     1.4444               F072900200132 
 0.0000     38.000     38.115     37.581     2.6078               F072900200133 
 0.0000     38.000     44.035     47.810     2.9156               F072900200134 
 0.0000     38.000     50.477     43.147     3.5436               F072900200135 
 0.0000     38.000     56.571     32.733     1.5140               F072900200136 
 0.0000     38.000     62.143     24.346     1.7924               F072900200137 
 0.0000     38.000     68.585     15.526     1.0773               F072900200138 
 0.0000     38.000     74.679     11.871    0.50432               F072900200139 
 0.0000     38.000     79.902     16.214    0.98882               F072900200140 
 0.0000     38.000     86.170     25.831     1.0398               F072900200141 
 0.0000     38.000     90.349     30.368     2.2357               F072900200142 
 0.0000     38.000     96.791     35.561     1.8720               F072900200143 
 0.0000     38.000     101.67     45.778     2.9838               F072900200144 
 0.0000     38.000     107.24     38.330     1.8589               F072900200145 
 0.0000     38.000     111.77     34.050     1.7028               F072900200146 
 0.0000     38.000     116.47     33.649     1.6319               F072900200147 
 0.0000     38.000     121.69     25.326     1.0759               F072900200148 
 0.0000     38.000     126.74     23.683     1.5436               F072900200149 
 0.0000     38.000     131.27     24.734    0.89428               F072900200150 
 0.0000     38.000     134.57     22.766     1.4839               F072900200151 
 0.0000     38.000     139.45     25.426     1.6573               F072900200152 
 0.0000     38.000     143.98     30.368     1.9793               F072900200153 
 0.0000     38.000     148.16     37.285     2.2738               F072900200154 
 0.0000     38.000     151.81     40.667     2.4800               F072900200155 
 0.0000     38.000     155.29     47.060     2.6733               F072900200156 
 0.0000     38.000     158.60     49.930     3.2544               F072900200157 
 0.0000     38.000     162.95     52.559     2.2328               F072900200158 
 0.0000     38.000     165.22     58.468     3.3213               F072900200159 
 0.0000     38.000     169.57     65.558     4.2730               F072900200160 
 0.0000     38.000     172.71     75.268     5.2230               F072900200161 
 0.0000     41.000     12.658     46.322     2.0786               F072900200162 
 0.0000     41.000     18.742     25.055     1.9735               F072900200163 
 0.0000     41.000     25.002     19.799     1.3053               F072900200164 
 0.0000     41.000     31.089     19.253     1.6829               F072900200165 
 0.0000     41.000     37.349     17.494     1.2280               F072900200166 
 0.0000     41.000     43.262     17.012     1.1941               F072900200167 
 0.0000     41.000     49.525     25.354     1.6716               F072900200168 
 0.0000     41.000     55.437     22.226     1.7507               F072900200169 
 0.0000     41.000     61.173     11.099     1.0185               F072900200170 
 0.0000     41.000     67.258     7.5972    0.69384               F072900200171 
 0.0000     41.000     72.998     8.7358    0.91646               F072900200172 
 0.0000     41.000     78.563     9.2376    0.88797               F072900200173 
 0.0000     41.000     83.956     13.124    0.95826               F072900200174 
 0.0000     41.000     89.002     20.437     1.9645               F072900200175 
 0.0000     41.000     94.916     23.500     1.3503               F072900200176 
 0.0000     41.000     100.13     32.990     1.8955               F072900200177 
 0.0000     41.000     105.18     31.699     1.9553               F072900200178 
 0.0000     41.000     110.22     27.347     1.1745               F072900200179 
 0.0000     41.000     115.09     23.127     1.0814               F072900200180 
 0.0000     41.000     119.44     20.931     1.5588               F072900200181 
 0.0000     41.000     124.13     15.210     1.4621               F072900200182 
 0.0000     41.000     128.65     14.384     1.1950               F072900200183 
 0.0000     41.000     132.83     14.673     1.3464               F072900200184 
 0.0000     41.000     137.52     16.084     1.1148               F072900200185 
 0.0000     41.000     141.70     21.869     1.6286               F072900200186 
 0.0000     41.000     145.52     26.485     1.7462               F072900200187 
 0.0000     41.000     149.70     26.804     1.7672               F072900200188 
 0.0000     41.000     153.70     28.344     1.9895               F072900200189 
 0.0000     41.000     157.35     29.146     2.0459               F072900200190 
 0.0000     41.000     161.00     30.698     1.7638               F072900200191 
 0.0000     45.000     15.957     45.028     1.8423               F072900200192 
 0.0000     45.000     18.043     34.557     1.3583               F072900200193 
 0.0000     45.000     24.824     25.376    0.93258               F072900200194 
 0.0000     45.000     28.301     21.529    0.70186               F072900200195 
 0.0000     45.000     31.083     18.046    0.63969               F072900200196 
 0.0000     45.000     34.735     18.635    0.68482               F072900200197 
 0.0000     45.000     39.779     18.191    0.66853               F072900200198 
 0.0000     45.000     44.996     19.242    0.70712               F072900200199 
 0.0000     45.000     49.692     19.241    0.70712               F072900200200 
 0.0000     45.000     55.778     16.064    0.50717               F072900200201 
 0.0000     45.000     62.038     13.520    0.49684               F072900200202 
 0.0000     45.000     67.254     10.671    0.43661               F072900200203 
 0.0000     45.000     72.471     8.6278    0.42533               F072900200204 
 0.0000     45.000     75.079     7.9628    0.39255               F072900200205 
 0.0000     45.000     77.862     8.1240    0.29856               F072900200206 
 0.0000     45.000     80.819     8.9447    0.32871               F072900200207 
 0.0000     45.000     85.167     9.7304    0.34492               F072900200208 
 0.0000     45.000     87.950     11.608    0.62119               F072900200209 
 0.0000     45.000     90.038     13.959    0.62954               F072900200210 
 0.0000     45.000     94.388     19.316    0.79034               F072900200211 
 0.0000     45.000     99.779     21.098    0.86323               F072900200212 
 0.0000     45.000     104.82     22.495    0.82670               F072900200213 
 0.0000     45.000     109.34     21.873    0.80381               F072900200214 
 0.0000     45.000     112.65     18.115    0.57192               F072900200215 
 0.0000     45.000     117.34     15.307    0.60168               F072900200216 
 0.0000     45.000     124.82     11.937    0.53835               F072900200217 
 0.0000     45.000     131.08     9.4600    0.26185               F072900200218 
 0.0000     45.000     134.21     10.127    0.31973               F072900200219 
 0.0000     45.000     137.86     14.240    0.52333               F072900200220 
 0.0000     45.000     141.00     17.194    0.70349               F072900200221 
 0.0000     45.000     145.17     20.594    0.92874               F072900200222 
 0.0000     45.000     149.69     23.319     1.1496               F072900200223 
 0.0000     45.000     157.35     27.597     1.1291               F072900200224 
 0.0000     45.000     165.70     37.429     1.6880               F072900200225 
 2.2000     22.500     12.983     958.86     30.501               F072900200226 
 2.2000     22.500     19.801     886.65     21.070               F072900200227 
 2.2000     22.500     25.595     653.36     20.783               F072900200228 
 2.2000     22.500     32.072     558.66     21.445               F072900200229 
 2.2000     22.500     38.209     594.76     18.919               F072900200230 
 2.2000     22.500     44.345     590.12     18.771               F072900200231 
 2.2000     22.500     50.141     684.75     16.272               F072900200232 
 2.2000     22.500     56.278     776.11     18.443               F072900200233 
 2.2000     22.500     62.073     752.18     23.926               F072900200234 
 2.2000     22.500     67.868     723.30     28.873               F072900200235 
 2.2000     22.500     73.323     690.10     16.399               F072900200236 
 2.2000     22.500     78.777     623.32     19.827               F072900200237 
 2.2000     22.500     84.231     599.39     19.066               F072900200238 
 2.2000     22.500     90.027     613.62     14.582               F072900200239 
 2.2000     22.500     95.141     628.20     25.077               F072900200240 
 2.2000     22.500     105.37     554.23     22.124               F072900200241 
 2.2000     22.500     110.14     613.60     19.518               F072900200242 
 2.2000     22.500     114.91     567.39     13.483               F072900200243 
 2.2000     22.500     119.69     524.66     20.944               F072900200244 
 2.2000     22.500     124.12     599.34     19.065               F072900200245 
 2.2000     22.500     128.55     604.05     19.215               F072900200246 
 2.2000     22.500     132.64     613.58     19.518               F072900200247 
 2.2000     22.500     136.73     740.39     23.552               F072900200248 
 2.2000     22.500     141.16     740.39     23.551               F072900200249 
 2.2000     22.500     144.91     794.43     31.713               F072900200250 
 2.2000     22.500     149.01     839.17     26.694               F072900200251 
 2.2000     31.000     12.990     825.20     26.503               F072900200252 
 2.2000     31.000     19.466     611.11     14.662               F072900200253 
 2.2000     31.000     25.600     408.38     23.229               F072900200254 
 2.2000     31.000     31.735     307.26     14.921               F072900200255 
 2.2000     31.000     37.872     329.90     13.297               F072900200256 
 2.2000     31.000     44.009     332.51     10.680               F072900200257 
 2.2000     31.000     50.145     324.72     10.429               F072900200258 
 2.2000     31.000     56.281     307.24     14.920               F072900200259 
 2.2000     31.000     62.073     135.05     4.2027               F072900200260 
 2.2000     31.000     67.868     118.07     4.7592               F072900200261 
 2.2000     31.000     73.665     191.21     4.5878               F072900200262 
 2.2000     31.000     78.779     186.73     5.9974               F072900200263 
 2.2000     31.000     84.233     183.80     5.9032               F072900200264 
 2.2000     31.000     89.688     194.25     6.2389               F072900200265 
 2.2000     31.000     94.802     234.82     5.6340               F072900200266 
 2.2000     31.000     99.916     232.97     9.3903               F072900200267 
 2.2000     31.000     105.03     215.26     5.1648               F072900200268 
 2.2000     31.000     109.80     191.20     4.5874               F072900200269 
 2.2000     31.000     114.57     171.17     8.3122               F072900200270 
 2.2000     31.000     119.35     159.42     9.0677               F072900200271 
 2.2000     31.000     124.12     152.03     6.1279               F072900200272 
 2.2000     31.000     128.21     160.68     5.1606               F072900200273 
 2.2000     31.000     132.30     191.19     9.2843               F072900200274 
 2.2000     31.000     136.39     218.68     8.8142               F072900200275 
 2.2000     31.000     140.48     215.25     8.6759               F072900200276 
 2.2000     31.000     144.57     213.55     6.8587               F072900200277 
 2.2000     31.000     148.66     173.88     8.4439               F072900200278 
 2.2000     31.000     152.76     176.65     8.5784               F072900200279 
 2.2000     31.000     156.51     220.40     10.703               F072900200280 
 2.2000     31.000     160.26     227.48     14.847               F072900200281 
 2.2000     38.000     19.137     503.35     24.741               F072900200282 
 2.2000     38.000     25.612     374.42     21.558               F072900200283 
 2.2000     38.000     31.747     289.87     16.690               F072900200284 
 2.2000     38.000     38.223     235.45     13.556               F072900200285 
 2.2000     38.000     44.358     205.51     11.833               F072900200286 
 2.2000     38.000     50.835     186.70     9.1771               F072900200287 
 2.2000     38.000     56.629     157.84     6.4391               F072900200288 
 2.2000     38.000     62.084     165.59     8.1393               F072900200289 
 2.2000     38.000     68.219     142.25     6.9918               F072900200290 
 2.2000     38.000     75.035     95.361     3.8904               F072900200291 
 2.2000     38.000     79.125     90.168     4.4320               F072900200292 
 2.2000     38.000     83.898     90.890     5.2332               F072900200293 
 2.2000     38.000     90.376     97.671     5.6236               F072900200294 
 2.2000     38.000     94.808     113.70     7.5118               F072900200295 
 2.2000     38.000     99.581     103.29     5.9472               F072900200296 
 2.2000     38.000     105.03     89.441     5.1497               F072900200297 
 2.2000     38.000     109.81     75.010     4.9558               F072900200298 
 2.2000     38.000     114.58     64.952     3.7398               F072900200299 
 2.2000     38.000     120.03     54.472     4.0652               F072900200300 
 2.2000     38.000     125.15     61.414     3.5360               F072900200301 
 2.2000     38.000     128.21     66.526     3.2700               F072900200302 
 2.2000     38.000     132.65     72.642     4.5019               F072900200303 
 2.2000     38.000     137.42     93.826     5.4022               F072900200304 
 2.2000     38.000     141.85     91.600     4.2915               F072900200305 
 2.2000     38.000     145.26     100.82     5.8052               F072900200306 
 2.2000     38.000     149.35     112.77     6.4928               F072900200307 
 2.2000     38.000     153.10     113.67     5.5873               F072900200308 
 2.2000     38.000     157.19     114.58     6.2381               F072900200309 
 2.2000     38.000     160.95     139.94     6.8785               F072900200310 
 2.2000     38.000     164.36     168.20     9.6842               F072900200311 
 2.2000     38.000     168.45     170.91     9.8403               F072900200312 
 2.2000     41.000     12.974     286.32     11.535               F072900200313 
 2.2000     41.000     19.451     262.48     8.4264               F072900200314 
 2.2000     41.000     25.929     286.31     6.8662               F072900200315 
 2.2000     41.000     31.723     212.06     6.8077               F072900200316 
 2.2000     41.000     38.198     126.90     4.0738               F072900200317 
 2.2000     41.000     43.992     81.532     3.2848               F072900200318 
 2.2000     41.000     50.130     129.94     4.1714               F072900200319 
 2.2000     41.000     56.265     99.332     4.0019               F072900200320 
 2.2000     41.000     62.060     71.849     2.8947               F072900200321 
 2.2000     41.000     67.855     64.836     2.6121               F072900200322 
 2.2000     41.000     73.650     61.347     1.9694               F072900200323 
 2.2000     41.000     78.763     57.137     2.3019               F072900200324 
 2.2000     41.000     84.218     59.909     2.4136               F072900200325 
 2.2000     41.000     90.014     65.865     2.1145               F072900200326 
 2.2000     41.000     94.786     54.922     2.2127               F072900200327 
 2.2000     41.000     99.899     51.558     2.0772               F072900200328 
 2.2000     41.000     105.01     44.023     2.1368               F072900200329 
 2.2000     41.000     109.78     36.708     1.7818               F072900200330 
 2.2000     41.000     114.56     38.795     1.8831               F072900200331 
 2.2000     41.000     118.99     40.040     1.9435               F072900200332 
 2.2000     41.000     123.42     45.794     2.2228               F072900200333 
 2.2000     41.000     127.85     39.412     2.2407               F072900200334 
 2.2000     41.000     131.94     47.639     3.1078               F072900200335 
 2.2000     41.000     136.38     44.721     2.1707               F072900200336 
 2.2000     41.000     140.47     44.720     2.5425               F072900200337 
 2.2000     41.000     144.90     46.891     1.8891               F072900200338 
 2.2000     41.000     148.31     52.374     2.9777               F072900200339 
 2.2000     41.000     152.74     63.306     2.0323               F072900200340 
 2.2000     41.000     156.15     66.905     3.2475               F072900200341 
 2.2000     41.000     160.24     79.603     3.8638               F072900200342 
 2.2000     41.000     163.99     31.839     2.3460               F072900200343 
 2.2000     41.000     167.40     34.456     2.5389               F072900200344 
 2.2000     45.000     19.709     373.62     21.288               F072900200345 
 2.2000     45.000     24.483     347.94     19.825               F072900200346 
 2.2000     45.000     26.873     285.48     13.886               F072900200347 
 2.2000     45.000     30.970     204.74     11.665               F072900200348 
 2.2000     45.000     34.038     204.74     8.2663               F072900200349 
 2.2000     45.000     39.837     169.33     9.6476               F072900200350 
 2.2000     45.000     44.617     106.99     7.9006               F072900200351 
 2.2000     45.000     49.734     88.483     6.5339               F072900200352 
 2.2000     45.000     55.873     76.737     4.3722               F072900200353 
 2.2000     45.000     62.011     69.787     3.3946               F072900200354 
 2.2000     45.000     67.468     60.522     2.9439               F072900200355 
 2.2000     45.000     71.904     48.110     2.7411               F072900200356 
 2.2000     45.000     74.974     45.159     2.5730               F072900200357 
 2.2000     45.000     77.701     45.160     2.1967               F072900200358 
 2.2000     45.000     79.064     46.246     1.8671               F072900200359 
 2.2000     45.000     83.839     40.746     2.3216               F072900200360 
 2.2000     45.000     89.296     36.186     1.7602               F072900200361 
 2.2000     45.000     93.046     34.509     1.9662               F072900200362 
 2.2000     45.000     99.186     28.091     1.3664               F072900200363 
 2.2000     45.000     104.65     20.307    0.98776               F072900200364 
 2.2000     45.000     109.76     16.530     1.5039               F072900200365 
 2.2000     45.000     114.53     23.419    0.94550               F072900200366 
 2.2000     45.000     118.96     29.463     1.6787               F072900200367 
 2.2000     45.000     123.05     30.172     1.7191               F072900200368 
 2.2000     45.000     127.82     25.151     1.4330               F072900200369 
 2.2000     45.000     135.67     19.680     1.1213               F072900200370 
 2.2000     45.000     140.10     25.555     1.4561               F072900200371 
 2.2000     45.000     144.19     29.704     1.9420               F072900200372 
 2.2000     45.000     147.93     35.638     2.0305               F072900200373 
 2.2000     45.000     156.11     55.084     2.6794               F072900200374 
 2.2000     45.000     163.26     100.54     5.7283               F072900200375 
 3.6000     22.500     13.369     56.663     10.465               F072900200376 
 3.6000     22.500     19.920     58.020     11.260               F072900200377 
 3.6000     22.500     26.299     70.104     8.1797               F072900200378 
 3.6000     22.500     32.334     67.661     8.1931               F072900200379 
 3.6000     22.500     38.885     70.104     10.688               F072900200380 
 3.6000     22.500     45.093     47.831     9.2824               F072900200381 
 3.6000     22.500     51.472     42.163     7.5907               F072900200382 
 3.6000     22.500     57.506     55.123     9.1593               F072900200383 
 3.6000     22.500     63.196     67.930     8.8283               F072900200384 
 3.6000     22.500     69.058     69.830     14.212               F072900200385 
 3.6000     22.500     75.092     103.57     8.9370               F072900200386 
 3.6000     22.500     80.609     83.055     7.8810               F072900200387 
 3.6000     22.500     86.471     111.18     13.463               F072900200388 
 3.6000     22.500     91.816     96.475     7.9128               F072900200389 
 3.6000     22.500     97.161     78.908     8.5151               F072900200390 
 3.6000     22.500     102.16     58.946     8.9864               F072900200391 
 3.6000     31.000     13.209     52.542     7.5944               F072900200392 
 3.6000     31.000     19.588     34.355     6.3963               F072900200393 
 3.6000     31.000     25.795     32.113     6.8971               F072900200394 
 3.6000     31.000     32.519     38.395     7.3296               F072900200395 
 3.6000     31.000     38.898     45.907     6.8444               F072900200396 
 3.6000     31.000     45.105     35.605     6.9657               F072900200397 
 3.6000     31.000     51.312     36.032     7.2206               F072900200398 
 3.6000     31.000     57.174     25.608     3.3544               F072900200399 
 3.6000     31.000     63.036     20.020     4.6893               F072900200400 
 3.6000     31.000     68.553     13.784     3.7080               F072900200401 
 3.6000     31.000     74.588     20.020     6.6255               F072900200402 
 3.6000     31.000     80.277     35.889     3.7454               F072900200403 
 3.6000     31.000     85.795     41.900     4.9272               F072900200404 
 3.6000     31.000     91.657     48.147     4.3950               F072900200405 
 3.6000     31.000     96.657     30.740     3.8888               F072900200406 
 3.6000     31.000     101.66     36.319     4.2709               F072900200407 
