EN         E-LVL      ANG-CM     DATA-CM                          F045200200014 
MEV        MEV        ADEG       MB/SR                            F045200200015 
     2.65       0.48      24.9        5.146                       F045200200186 
     2.65       0.48      29.73       4.747                       F045200200187 
     2.65       0.48      34.4        4.672                       F045200200188 
     2.65       0.48      39.15       4.435                       F045200200189 
     2.65       0.48      46.94       4.283                       F045200200190 
     2.65       0.48      51.64       4.127                       F045200200191 
     2.65       0.48      62.68       3.655                       F045200200192 
     2.65       0.48      73.68       3.264                       F045200200193 
     2.65       0.48      84.67       2.872                       F045200200194 
     2.65       0.48      94.13       2.479                       F045200200195 
     2.65       0.48     100.4        2.326                       F045200200196 
     2.65       0.48     105.         2.251                       F045200200197 
     2.65       0.48     111.2        2.259                       F045200200198 
     2.65       0.48     114.4        2.101                       F045200200199 
     2.65       0.48     119.1        1.945                       F045200200200 
     2.65       0.48     123.8        1.789                       F045200200201 
     2.65       0.48     128.4        1.714                       F045200200202 
     2.65       0.48     133.2        1.559                       F045200200203 
     2.65       0.48     137.8        1.484                       F045200200204 
     2.65       0.48     142.5        1.409                       F045200200205 
     2.65       0.48     145.5        1.495                       F045200200206 
     2.65       0.48     154.8        1.508                       F045200200207 
     2.65       0.48     165.6        1.442                       F045200200208 
     2.8        0.        14.         5.682                       F045200200209 
     2.8        0.        18.93       5.133                       F045200200210 
     2.8        0.        26.75       4.985                       F045200200211 
     2.8        0.        31.64       4.516                       F045200200212 
     2.8        0.        37.88       4.445                       F045200200213 
     2.8        0.        42.69       4.135                       F045200200214 
     2.8        0.        49.13       3.668                       F045200200215 
     2.8        0.        55.44       3.438                       F045200200216 
     2.8        0.        60.21       3.207                       F045200200217 
     2.8        0.        66.45       3.136                       F045200200218 
     2.8        0.        71.05       3.221                       F045200200219 
     2.8        0.        81.65       3.711                       F045200200220 
     2.8        0.        92.45       3.805                       F045200200221 
     2.8        0.        98.65       3.813                       F045200200222 
     2.8        0.       101.9        3.58                        F045200200223 
     2.8        0.       108.1        3.43                        F045200200224 
     2.8        0.       111.6        2.8                         F045200200225 
     2.8        0.       116.3        2.648                       F045200200226 
     2.8        0.       121.2        2.179                       F045200200227 
     2.8        0.       124.5        1.787                       F045200200228 
     2.8        0.       130.8        1.637                       F045200200229 
     2.8        0.       135.4        1.564                       F045200200230 
     2.8        0.       138.6        1.489                       F045200200231 
     2.8        0.       143.2        1.574                       F045200200232 
     2.8        0.       147.8        1.58                        F045200200233 
     2.8        0.       152.2        2.062                       F045200200234 
     2.8        0.       158.5        1.991                       F045200200235 
     2.8        0.       164.6        2.237                       F045200200236 
     2.8        0.48      18.15       5.488                       F045200200237 
     2.8        0.48      24.47       5.171                       F045200200238 
     2.8        0.48      29.17       5.015                       F045200200239 
     2.8        0.48      35.45       4.78                        F045200200240 
     2.8        0.48      40.07       4.786                       F045200200241 
     2.8        0.48      46.27       4.712                       F045200200242 
     2.8        0.48      52.51       4.558                       F045200200243 
     2.8        0.48      57.33       4.159                       F045200200244 
     2.8        0.48      63.64       3.842                       F045200200245 
     2.8        0.48      68.45       3.443                       F045200200246 
     2.8        0.48      74.69       3.289                       F045200200247 
     2.8        0.48      79.43       3.052                       F045200200248 
     2.8        0.48      84.13       2.895                       F045200200249 
     2.8        0.48      95.11       2.504                       F045200200250 
     2.8        0.48      99.81       2.348                       F045200200251 
     2.8        0.48     104.5        2.191                       F045200200252 
     2.8        0.48     109.1        2.197                       F045200200253 
     2.8        0.48     116.9        2.045                       F045200200254 
     2.8        0.48     120.         1.968                       F045200200255 
     2.8        0.48     124.7        1.893                       F045200200256 
     2.8        0.48     129.4        1.817                       F045200200257 
     2.8        0.48     134.1        1.661                       F045200200258 
     2.8        0.48     137.1        1.827                       F045200200259 
     2.8        0.48     140.2        1.75                        F045200200260 
     2.8        0.48     144.9        1.675                       F045200200261 
