ENTRY            F0117   20220421                             F089F0117  0    1 
SUBENT        F0117001   20220421                             F089F0117  1    1 
BIB                  9         15                                 F0117  1    2 
TITLE      Backscattering cross section of 5.5 to 8 MeV alpha     F0117  1    3 
           particles from carbon, oxygen and silicon              F0117  1    4 
AUTHOR     (H.Yonezawa,K.Shikano,T.Shigematsu)                    F0117  1    5 
INSTITUTE  (2JPNJPN) NTT Interdisciplinary Research Lab., Tokai   F0117  1    6 
REFERENCE  (J,NIM/B,88,207,1994)                                  F0117  1    7 
FACILITY   (CYCLO,2JPNJPN) NTT  cyclotron                         F0117  1    8 
SAMPLE     The samples were quartz glass, silicon single crystal  F0117  1    9 
           and carbon film deposited on silicon substrates, all   F0117  1   10 
           with a mirror surface.                                 F0117  1   11 
DETECTOR   (SIBAR) The detector had a thickness of 500 mu-m and   F0117  1   12 
           an area of 100 mm**2. Particles were measured with a   F0117  1   13 
           detector at an angle of 169 degr.                      F0117  1   14 
ERR-ANALYS  No information about source of uncertainty            F0117  1   15 
HISTORY    (20030925C)                                            F0117  1   16 
           (20220421A) SD: Corrections in Subent 006.             F0117  1   17 
ENDBIB              15          0                                 F0117  1   18 
COMMON               1          3                                 F0117  1   19 
ANG                                                               F0117  1   20 
ADEG                                                              F0117  1   21 
  169.                                                            F0117  1   22 
ENDCOMMON            3          0                                 F0117  1   23 
ENDSUBENT           22          0                                 F0117  199999 
SUBENT        F0117002   20040209                             0000F011700200001 
BIB                  3          3                                 F011700200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F011700200003 
 6.5476    0.44558                                                F011700300070 
 6.5564    0.46454                                                F011700300071 
 6.5593    0.47969                                                F011700300072 
 6.5682    0.48540                                                F011700300073 
 6.5802    0.48167                                                F011700300074 
 6.5864    0.46466                                                F011700300075 
 6.5896    0.44386                                                F011700300076 
 6.5959    0.41551                                                F011700300077 
 6.6022    0.38526                                                F011700300078 
 6.6056    0.35122                                                F011700300079 
 6.6090    0.31339                                                F011700300080 
 6.6153    0.27936                                                F011700300081 
 6.6217    0.24154                                                F011700300082 
 6.6251    0.20750                                                F011700300083 
 6.6283    0.17913                                                F011700300084 
 6.6377    0.14700                                                F011700300085 
 6.6410    0.12052                                                F011700300086 
 6.6472    0.97845E-01                                            F011700300087 
 6.6534    0.78950E-01                                            F011700300088 
 6.6535    0.65705E-01                                            F011700300089 
 6.6566    0.54365E-01                                            F011700300090 
 6.6627    0.46822E-01                                            F011700300091 
 6.6718    0.39291E-01                                            F011700300092 
 6.6809    0.31760E-01                                            F011700300093 
 6.6929    0.24242E-01                                            F011700300094 
 6.7080    0.18628E-01                                            F011700300095 
 6.7200    0.14893E-01                                            F011700300096 
 6.7350    0.14955E-01                                            F011700300097 
 6.7440    0.18777E-01                                            F011700300098 
 6.7499    0.24477E-01                                            F011700300099 
 6.7649    0.26431E-01                                            F011700300100 
 6.7708    0.34024E-01                                            F011700300101 
 6.7767    0.41617E-01                                            F011700300102 
 6.7826    0.49210E-01                                            F011700300103 
 6.7885    0.56803E-01                                            F011700300104 
 6.7945    0.64396E-01                                            F011700300105 
 6.8003    0.75773E-01                                            F011700300106 
 6.8093    0.81486E-01                                            F011700300107 
 6.8121    0.94743E-01                                            F011700300108 
 6.8180    0.10990                                                F011700300109 
 6.8238    0.12317                                                F011700300110 
 6.8267    0.13832                                                F011700300111 
 6.8353    0.17809                                                F011700300112 
 6.8355    0.15728                                                F011700300113 
 6.8440    0.20462                                                F011700300114 
 6.8497    0.22924                                                F011700300115 
 6.8554    0.25764                                                F011700300116 
 6.8580    0.29360                                                F011700300117 
 6.8637    0.32390                                                F011700300118 
 6.8693    0.35988                                                F011700300119 
 6.8749    0.39963                                                F011700300120 
 6.8806    0.43371                                                F011700300121 
 6.8831    0.47535                                                F011700300122 
 6.8857    0.51510                                                F011700300123 
 6.8913    0.55296                                                F011700300124 
 6.8971    0.57758                                                F011700300125 
 6.9028    0.60410                                                F011700300126 
 6.9115    0.63441                                                F011700300127 
 6.9142    0.65902                                                F011700300128 
 6.9201    0.67418                                                F011700300129 
 6.9258    0.69501                                                F011700300130 
 6.9317    0.71017                                                F011700300131 
 6.9436    0.71212                                                F011700300132 
 6.9527    0.70459                                                F011700300133 
 6.9619    0.68949                                                F011700300134 
 6.9679    0.68194                                                F011700300135 
 6.9710    0.67439                                                F011700300136 
 6.9772    0.65360                                                F011700300137 
 6.9803    0.64604                                                F011700300138 
 6.9865    0.62336                                                F011700300139 
 6.9867    0.60634                                                F011700300140 
 6.9899    0.59310                                                F011700300141 
 6.9961    0.57232                                                F011700300142 
 7.0022    0.55531                                                F011700300143 
 7.0054    0.53830                                                F011700300144 
 7.0116    0.51940                                                F011700300145 
 7.0148    0.49860                                                F011700300146 
 7.0241    0.47404                                                F011700300147 
 7.0273    0.44946                                                F011700300148 
 7.0336    0.42300                                                F011700300149 
 7.0368    0.40030                                                F011700300150 
 7.0431    0.37384                                                F011700300151 
 7.0494    0.34738                                                F011700300152 
 7.0527    0.31712                                                F011700300153 
 7.0560    0.28496                                                F011700300154 
 7.0654    0.25094                                                F011700300155 
 7.0687    0.22258                                                F011700300156 
 7.0720    0.19042                                                F011700300157 
 7.0783    0.16396                                                F011700300158 
 7.0845    0.14128                                                F011700300159 
 7.0907    0.12617                                                F011700300160 
 7.0998    0.11675                                                F011700300161 
 7.1056    0.12812                                                F011700300162 
 7.1086    0.13570                                                F011700300163 
 7.1144    0.15086                                                F011700300164 
 7.1199    0.19441                                                F011700300165 
 7.1202    0.17170                                                F011700300166 
 7.1287    0.21904                                                F011700300167 
 7.1344    0.24934                                                F011700300168 
 7.1371    0.27395                                                F011700300169 
 7.1428    0.30046                                                F011700300170 
 7.1485    0.32697                                                F011700300171 
 7.1543    0.34970                                                F011700300172 
 7.1601    0.36675                                                F011700300173 
 7.1629    0.39326                                                F011700300174 
 7.1687    0.41031                                                F011700300175 
 7.1745    0.42736                                                F011700300176 
 7.1773    0.44440                                                F011700300177 
 7.1831    0.46335                                                F011700300178 
 7.1860    0.47850                                                F011700300179 
 7.1889    0.48797                                                F011700300180 
 7.1947    0.50313                                                F011700300181 
 7.2006    0.51451                                                F011700300182 
 7.2035    0.52398                                                F011700300183 
 7.2094    0.53157                                                F011700300184 
 7.2153    0.54295                                                F011700300185 
 7.2211    0.55622                                                F011700300186 
 7.2270    0.56381                                                F011700300187 
 7.2390    0.56765                                                F011700300188 
 7.2451    0.55632                                                F011700300189 
 7.2518    0.49391                                                F011700300190 
 7.2553    0.44473                                                F011700300191 
 7.2620    0.37096                                                F011700300192 
 7.2659    0.28772                                                F011700300193 
 7.2726    0.21585                                                F011700300194 
 7.2821    0.16670                                                F011700300195 
 7.2854    0.13833                                                F011700300196 
 7.2885    0.13077                                                F011700300197 
 7.2944    0.14404                                                F011700300198 
 7.2972    0.15919                                                F011700300199 
 7.3029    0.18759                                                F011700300200 
 7.3083    0.24438                                                F011700300201 
 7.3108    0.29359                                                F011700300202 
 7.3192    0.34849                                                F011700300203 
 7.3217    0.39770                                                F011700300204 
 7.3272    0.44691                                                F011700300205 
 7.3297    0.49234                                                F011700300206 
 7.3324    0.52641                                                F011700300207 
 7.3381    0.55292                                                F011700300208 
 7.3468    0.58512                                                F011700300209 
 7.3555    0.60597                                                F011700300210 
 7.3584    0.61733                                                F011700300211 
 7.3703    0.63063                                                F011700300212 
 7.3762    0.63822                                                F011700300213 
 7.3851    0.64772                                                F011700300214 
 7.3939    0.66289                                                F011700300215 
 7.4058    0.67429                                                F011700300216 
 7.4238    0.67815                                                F011700300217 
 7.4357    0.68199                                                F011700300218 
 7.4506    0.68772                                                F011700300219 
 7.4626    0.69345                                                F011700300220 
 7.4806    0.69163                                                F011700300221 
 7.4894    0.70491                                                F011700300222 
 7.5074    0.71256                                                F011700300223 
 7.5223    0.71640                                                F011700300224 
 7.5282    0.72400                                                F011700300225 
 7.5401    0.73540                                                F011700300226 
 7.5520    0.74301                                                F011700300227 
 7.5609    0.75440                                                F011700300228 
 7.5727    0.76959                                                F011700300229 
 7.5906    0.77912                                                F011700300230 
 7.5998    0.76592                                                F011700300231 
 7.6000    0.74700                                                F011700300232 
 7.6093    0.71298                                                F011700300233 
 7.6158    0.66003                                                F011700300234 
 7.6196    0.58436                                                F011700300235 
 7.6235    0.50301                                                F011700300236 
 7.6305    0.40654                                                F011700300237 
 7.6315    0.31005                                                F011700300238 
 7.6413    0.22873                                                F011700300239 
 7.6449    0.16820                                                F011700300240 
 7.6514    0.12849                                                F011700300241 
 7.6546    0.10201                                                F011700300242 
 7.6608    0.85009E-01                                            F011700300243 
 7.6669    0.77465E-01                                            F011700300244 
 7.6848    0.81324E-01                                            F011700300245 
 7.6968    0.87050E-01                                            F011700300246 
 7.7087    0.96559E-01                                            F011700300247 
 7.7206    0.10418                                                F011700300248 
 7.7355    0.10802                                                F011700300249 
 7.7535    0.10999                                                F011700300250 
 7.7685    0.10438                                                F011700300251 
 7.7776    0.96845E-01                                            F011700300252 
 7.7927    0.89339E-01                                            F011700300253 
 7.7988    0.76119E-01                                            F011700300254 
 7.8080    0.62912E-01                                            F011700300255 
 7.8141    0.51585E-01                                            F011700300256 
 7.8261    0.45958E-01                                            F011700300257 
 7.8318    0.72471E-01                                            F011700300258 
 7.8434    0.11036                                                F011700300259 
 7.8488    0.17282                                                F011700300260 
 7.8510    0.24473                                                F011700300261 
 7.8592    0.32424                                                F011700300262 
 7.8616    0.37912                                                F011700300263 
 7.8704    0.40375                                                F011700300264 
 7.8705    0.39618                                                F011700300265 
 7.8767    0.37350                                                F011700300266 
 7.8800    0.34703                                                F011700300267 
 7.8863    0.31867                                                F011700300268 
 7.8925    0.29788                                                F011700300269 
 7.8957    0.27708                                                F011700300270 
 7.9048    0.26198                                                F011700300271 
 7.9080    0.24686                                                F011700300272 
 7.9141    0.23364                                                F011700300273 
 7.9202    0.22799                                                F011700300274 
 7.9233    0.21287                                                F011700300275 
 7.9294    0.20343                                                F011700300276 
 7.9356    0.19210                                                F011700300277 
 7.9476    0.18459                                                F011700300278 
 7.9597    0.17517                                                F011700300279 
 7.9658    0.16196                                                F011700300280 
 7.9692    0.13170                                                F011700300281 
 7.9727    0.82515E-01                                            F011700300282 
ENDDATA            270          0                                 F011700300283 
ENDSUBENT          282          0                                 F011700399999 
SUBENT        F0117004   20040209                             0000F011700400001 
BIB                  3          6                                 F011700400002 
REACTION   (14-SI-28(A,EL)14-SI-28,,DA)                           F011700400003 
SAMPLE     The thickness of the quartz glass and silicon were     F011700400004 
           greater than the range of the alpha particles. The     F011700400005 
           quartz glass was coated with 10 nm of gold to prevent  F011700400006 
           charge pile up.                                        F011700400007 
STATUS     (CURVE)Fig.2                                           F011700400008 
ENDBIB               6          0                                 F011700400009 
COMMON               2          3                                 F011700400010 
EN-ERR-DIG ERR-DIG                                                F011700400011 
MEV        B/SR                                                   F011700400012 
 0.006      0.001                                                 F011700400013 
ENDCOMMON            3          0                                 F011700400014 
DATA                 2        281                                 F011700400015 
EN         DATA                                                   F011700400016 
MEV        B/SR                                                   F011700400017 
 5.5180    0.56650E-01                                            F011700400018 
 5.5270    0.59774E-01                                            F011700400019 
 5.5389    0.61314E-01                                            F011700400020 
 5.5478    0.51839E-01                                            F011700400021 
 5.5597    0.43931E-01                                            F011700400022 
 5.5715    0.39172E-01                                            F011700400023 
 5.5865    0.37554E-01                                            F011700400024 
 5.5984    0.35944E-01                                            F011700400025 
 5.6133    0.37476E-01                                            F011700400026 
 5.6312    0.37424E-01                                            F011700400027 
 5.6462    0.40531E-01                                            F011700400028 
 5.6612    0.45212E-01                                            F011700400029 
 5.6731    0.45178E-01                                            F011700400030 
 5.6851    0.48293E-01                                            F011700400031 
 5.6970    0.49833E-01                                            F011700400032 
 5.7120    0.51365E-01                                            F011700400033 
 5.7239    0.51330E-01                                            F011700400034 
 5.7359    0.54445E-01                                            F011700400035 
 5.7449    0.60719E-01                                            F011700400036 
 5.7509    0.65426E-01                                            F011700400037 
 5.7598    0.55951E-01                                            F011700400038 
 5.7717    0.49617E-01                                            F011700400039 
 5.7805    0.43292E-01                                            F011700400040 
 5.7924    0.40108E-01                                            F011700400041 
 5.8044    0.36924E-01                                            F011700400042 
 5.8103    0.30607E-01                                            F011700400043 
 5.8252    0.32139E-01                                            F011700400044 
 5.8401    0.30521E-01                                            F011700400045 
 5.8520    0.28912E-01                                            F011700400046 
 5.8670    0.30444E-01                                            F011700400047 
 5.8760    0.35142E-01                                            F011700400048 
 5.8939    0.39815E-01                                            F011700400049 
 5.9059    0.44505E-01                                            F011700400050 
 5.9120    0.53936E-01                                            F011700400051 
 5.9210    0.61784E-01                                            F011700400052 
 5.9331    0.71199E-01                                            F011700400053 
 5.9480    0.72730E-01                                            F011700400054 
 5.9689    0.72670E-01                                            F011700400055 
 5.9748    0.64779E-01                                            F011700400056 
 5.9867    0.61594E-01                                            F011700400057 
 5.9956    0.56844E-01                                            F011700400058 
 5.9985    0.47387E-01                                            F011700400059 
 6.0044    0.39495E-01                                            F011700400060 
 6.0103    0.34754E-01                                            F011700400061 
 6.0223    0.41019E-01                                            F011700400062 
 6.0283    0.47300E-01                                            F011700400063 
 6.0344    0.55157E-01                                            F011700400064 
 6.0404    0.61439E-01                                            F011700400065 
 6.0435    0.67730E-01                                            F011700400066 
 6.0496    0.78736E-01                                            F011700400067 
 6.0526    0.88176E-01                                            F011700400068 
 6.0617    0.94450E-01                                            F011700400069 
 6.0677    0.99157E-01                                            F011700400070 
 6.0736    0.91266E-01                                            F011700400071 
 6.0854    0.80207E-01                                            F011700400072 
 6.0913    0.72316E-01                                            F011700400073 
 6.0972    0.62850E-01                                            F011700400074 
 6.1090    0.53367E-01                                            F011700400075 
 6.1209    0.47033E-01                                            F011700400076 
 6.1327    0.39124E-01                                            F011700400077 
 6.1446    0.35940E-01                                            F011700400078 
 6.1535    0.29615E-01                                            F011700400079 
 6.1654    0.23282E-01                                            F011700400080 
 6.1833    0.18505E-01                                            F011700400081 
 6.2012    0.20028E-01                                            F011700400082 
 6.2132    0.23144E-01                                            F011700400083 
 6.2252    0.27833E-01                                            F011700400084 
 6.2371    0.32523E-01                                            F011700400085 
 6.2580    0.32463E-01                                            F011700400086 
 6.2729    0.30845E-01                                            F011700400087 
 6.2879    0.30802E-01                                            F011700400088 
 6.3058    0.29175E-01                                            F011700400089 
 6.3207    0.32282E-01                                            F011700400090 
 6.3356    0.32239E-01                                            F011700400091 
 6.3505    0.27471E-01                                            F011700400092 
 6.3684    0.27419E-01                                            F011700400093 
 6.3833    0.24227E-01                                            F011700400094 
 6.3952    0.21042E-01                                            F011700400095 
 6.4072    0.19433E-01                                            F011700400096 
 6.4221    0.19390E-01                                            F011700400097 
 6.4371    0.24071E-01                                            F011700400098 
 6.4520    0.25603E-01                                            F011700400099 
 6.4699    0.27126E-01                                            F011700400100 
 6.4848    0.27083E-01                                            F011700400101 
 6.4968    0.23899E-01                                            F011700400102 
 6.5088    0.30163E-01                                            F011700400103 
 6.5208    0.41153E-01                                            F011700400104 
 6.5297    0.31678E-01                                            F011700400105 
 6.5356    0.25361E-01                                            F011700400106 
 6.5504    0.19019E-01                                            F011700400107 
 6.5684    0.22117E-01                                            F011700400108 
 6.5774    0.28390E-01                                            F011700400109 
 6.5805    0.36256E-01                                            F011700400110 
 6.5866    0.50412E-01                                            F011700400111 
 6.5957    0.69283E-01                                            F011700400112 
 6.6019    0.89738E-01                                            F011700400113 
 6.6051    0.10863                                                F011700400114 
 6.6111    0.11491                                                F011700400115 
 6.6170    0.10387                                                F011700400116 
 6.6197    0.75513E-01                                            F011700400117 
 6.6224    0.47158E-01                                            F011700400118 
 6.6282    0.29818E-01                                            F011700400119 
 6.6341    0.23502E-01                                            F011700400120 
 6.6460    0.25042E-01                                            F011700400121 
 6.6550    0.29741E-01                                            F011700400122 
 6.6640    0.36014E-01                                            F011700400123 
 6.6760    0.40704E-01                                            F011700400124 
 6.6880    0.45394E-01                                            F011700400125 
 6.6971    0.53242E-01                                            F011700400126 
 6.7031    0.57949E-01                                            F011700400127 
 6.7121    0.67372E-01                                            F011700400128 
 6.7182    0.75229E-01                                            F011700400129 
 6.7212    0.83094E-01                                            F011700400130 
 6.7243    0.89385E-01                                            F011700400131 
 6.7304    0.10039                                                F011700400132 
 6.7364    0.10825                                                F011700400133 
 6.7455    0.11767                                                F011700400134 
 6.7516    0.12710                                                F011700400135 
 6.7576    0.13653                                                F011700400136 
 6.7637    0.14439                                                F011700400137 
 6.7667    0.15226                                                F011700400138 
 6.7698    0.15855                                                F011700400139 
 6.7788    0.16639                                                F011700400140 
 6.7877    0.16164                                                F011700400141 
 6.7936    0.14903                                                F011700400142 
 6.7964    0.13642                                                F011700400143 
 6.8083    0.12694                                                F011700400144 
 6.8144    0.14109                                                F011700400145 
 6.8205    0.15525                                                F011700400146 
 6.8266    0.16783                                                F011700400147 
 6.8297    0.17412                                                F011700400148 
 6.8355    0.16623                                                F011700400149 
 6.8414    0.15834                                                F011700400150 
 6.8442    0.13943                                                F011700400151 
 6.8529    0.11736                                                F011700400152 
 6.8587    0.98445E-01                                            F011700400153 
 6.8616    0.84263E-01                                            F011700400154 
 6.8674    0.76372E-01                                            F011700400155 
 6.8733    0.68481E-01                                            F011700400156 
 6.8762    0.59023E-01                                            F011700400157 
 6.8821    0.54282E-01                                            F011700400158 
 6.8880    0.47965E-01                                            F011700400159 
 6.8939    0.40074E-01                                            F011700400160 
 6.9088    0.36881E-01                                            F011700400161 
 6.9177    0.30556E-01                                            F011700400162 
