ENTRY            F0147   19990409                             0000F014700000001 
SUBENT        F0147001   19990409                             0000F014700100001 
BIB                  9         12                                 F014700100002 
TITLE      Heavy-particle stripping in the 9Be(He3,alpha)8Be      F014700100003 
           reaction and energy levels of 8Be                      F014700100004 
AUTHOR     (W.E.DORENBUSCH,C.P.BROWNE)                            F014700100005 
INSTITUTE  (1USANOT)                                              F014700100006 
REFERENCE  (J,PR,131,1212,196308)                                 F014700100007 
MONITOR    ((MONIT)4-BE-9(D,P)4-BE-10,,DA,,,EXP)                  F014700100008 
MONIT-REF  (,FULBRIGHT+,J,PR,88,700,1952)                         F014700100009 
SAMPLE     Thin targets were prepared by evaporating beryllium    F014700100010 
           metal from a tantalum boat onto thin Formvar backings. F014700100011 
DETECTOR   (PLATE)                                                F014700100012 
HISTORY    (19840817C)                                            F014700100013 
           (19990407A) CNPD: corrected 4-dig. year                F014700100014 
ENDBIB              12          0                                 F014700100015 
COMMON               4          3                                 F014700100016 
EN-NRM     ANG-NRM    E-LVL-NRM  MONIT                            F014700100017 
MEV        ADEG       MEV        MB/SR                            F014700100018 
  3.6        90.       0.         1.                              F014700100019 
ENDCOMMON            3          0                                 F014700100020 
ENDSUBENT           19          0                                 F014700199999 
SUBENT        F0147002   19990409                             0000F014700200001 
BIB                  4          5                                 F014700200002 
REACTION   ((4-BE-9(HE3,A)4-BE-8,PAR,DA,,,EXP)/                   F014700200003 
           (4-BE-9(D,P)4-BE-10,,DA,,,EXP))                        F014700200004 
ERR-ANALYS (DATA-ERR) The estimated uncertainty in the yield.     F014700200005 
STATUS     (TABLE) Table 1                                        F014700200006 
EN-SEC     (E-LVL,4-BE-8)                                         F014700200007 
ENDBIB               5          0                                 F014700200008 
NOCOMMON             0          0                                 F014700200009 
DATA                 5        132                                 F014700200010 
EN         E-LVL      ANG        DATA       DATA-ERR              F014700200011 
     3.         0.        84.88       0.1159 0.6849E-02           F014700300028 
     3.         0.        95.42       0.1392 0.8219E-02           F014700300029 
     3.         0.       106.         0.1407 0.6844E-02           F014700300030 
     3.         0.       114.         0.1352 0.4109E-02           F014700300031 
     3.         0.       123.3        0.1284 0.6849E-02           F014700300032 
     3.         0.       133.8        0.1668 0.5474E-02           F014700300033 
     3.         0.       143.         0.2024 0.9584E-02           F014700300034 
     3.         2.9        4.588      1.218      0.0687           F014700300035 
     3.         2.9       10.06       1.314      0.0549           F014700300036 
     3.         2.9       16.9        1.328      0.0549           F014700300037 
     3.         2.9       22.36       1.218      0.0687           F014700300038 
     3.         2.9       33.28       1.026      0.0824           F014700300039 
     3.         2.9       45.57       0.8884     0.0687           F014700300040 
     3.         2.9       55.12       0.751      0.0137           F014700300041 
     3.         2.9       67.41       0.6273     0.0549           F014700300042 
     3.         2.9       78.33       0.4623     0.055            F014700300043 
     3.         2.9       87.92       0.7095     0.0549           F014700300044 
     3.         2.9      100.2        0.7643     0.0687           F014700300045 
     3.         2.9      108.4        0.7505     0.0549           F014700300046 
     3.         2.9      119.4        0.8328     0.0687           F014700300047 
     3.         2.9      127.6        0.8327     0.0687           F014700300048 
     3.         2.9      137.1        0.86       0.0549           F014700300049 
     3.         2.9      146.7        0.9011     0.0412           F014700300050 
     3.        16.6       10.01       0.1158 0.9670E-02           F014700300051 
     3.        16.6       17.29       0.0718 0.9670E-02           F014700300052 
     3.        16.6       22.05       0.2091 0.9670E-02           F014700300053 
     3.        16.6       34.17       0.1662 0.9670E-02           F014700300054 
     3.        16.6       45.08       0.1229 0.9670E-02           F014700300055 
     3.        16.6       57.18       0.1254 0.9670E-02           F014700300056 
     3.        16.6       78.71       0.5387 0.9670E-02           F014700300057 
     3.        16.6       88.34       0.6316 0.9670E-02           F014700300058 
     3.        16.6       98.07       0.5427 0.9670E-02           F014700300059 
     3.        16.6      107.8        0.4538 0.9670E-02           F014700300060 
     3.        16.6      119.9        0.3881 0.9670E-02           F014700300061 
     3.        16.9        4.51       6.346      0.389            F014700300062 
     3.        16.9       10.06       6.681      0.2781           F014700300063 
     3.        16.9       14.34       6.126      0.3337           F014700300064 
     3.        16.9       21.45       5.293      0.2781           F014700300065 
     3.        16.9       27.17       4.404      0.2781           F014700300066 
     3.        16.9       34.22       4.017      0.2778           F014700300067 
     3.        16.9       45.48       3.63       0.2778           F014700300068 
     3.        16.9       55.35       3.076      0.2228           F014700300069 
