ENTRY            F0360   20210517                             F083F0360  0    1 
SUBENT        F0360001   20210517                             F083F0360  1    1 
BIB                  8         16                                 F0360  1    2 
TITLE      Radiative capture of protons by 11B above the peak of  F0360  1    3 
           the giant dipole resonance                             F0360  1    4 
AUTHOR     (G.Kernel,W.M.Mason)                                   F0360  1    5 
INSTITUTE  (2UK OXF)                                              F0360  1    6 
REFERENCE  (J,NP/A,123,205,1969)                                  F0360  1    7 
FACILITY   (VDGT,2UK OXF)                                         F0360  1    8 
SAMPLE     The target used for most of the run was 2 mg/cm**2     F0360  1    9 
           thick was prepared by sintering natural boron powder.  F0360  1   10 
           Additional spectra at a few energies were obtained by  F0360  1   11 
           bombarding two superimposed self-supporting            F0360  1   12 
           90 ug/cm**2 thick enriched 11B target                  F0360  1   13 
DETECTOR   (NAICR) 24.cm x 30.cm at 90 degr. 12.5cm x 15.cm at 45 F0360  1   14 
           and 135 degr.                                          F0360  1   15 
HISTORY    (19851218C)                                            F0360  1   16 
           (19990409U) CNPD: corrected 4-dig. year                F0360  1   17 
           (20210517A) SD: Corrections in all Subents.            F0360  1   18 
ENDBIB              16          0                                 F0360  1   19 
NOCOMMON             0          0                                 F0360  1   20 
ENDSUBENT           19          0                                 F0360  199999 
SUBENT        F0360002   20210517                             F083F0360  2    1 
BIB                  4          8                                 F0360  2    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0360  2    3 
            No explanation of relative units is given.            F0360  2    4 
ERR-ANALYS (ERR-S) Error from graphic bars (statistical)          F0360  2    5 
STATUS     (CURVE) Figs 3,4 from Nucl.Phys.,A123(1969)205         F0360  2    6 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360  2    7 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360  2    8 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360  2    9 
           DATA-ERR -> ERR-S.                                     F0360  2   10 
ENDBIB               8          0                                 F0360  2   11 
COMMON               1          3                                 F0360  2   12 
EN-ERR-DIG                                                        F0360  2   13 
MEV                                                               F0360  2   14 
 0.05                                                             F0360  2   15 
ENDCOMMON            3          0                                 F0360  2   16 
DATA                 5        169                                 F0360  2   17 
ANG        E-LVL      EN         DATA       ERR-S                 F0360  2   18 
        45.         0.      20.55      2.589      0.623           F0360  2   59 
        45.         0.      20.69      3.210      0.872           F0360  2   60 
        45.         0.      20.83      3.271      0.809           F0360  2   61 
        45.         0.      21.00      2.086      1.058           F0360  2   62 
        90.         0.      13.12      9.061      0.505           F0360  2   63 
        90.         0.      13.94      7.119      0.253           F0360  2   64 
        90.         0.      14.11      6.023      0.421           F0360  2   65 
        90.         0.      14.30      7.031      0.337           F0360  2   66 
        90.         0.      14.53      6.777      0.253           F0360  2   67 
        90.         0.      14.65      7.281      0.337           F0360  2   68 
        90.         0.      14.89      6.774      0.337           F0360  2   69 
        90.         0.      15.06      7.110      0.505           F0360  2   70 
        90.         0.      15.30      6.687      0.505           F0360  2   71 
        90.         0.      15.48      6.854      0.505           F0360  2   72 
        90.         0.      15.65      6.095      0.421           F0360  2   73 
        90.         0.      15.83      6.767      0.337           F0360  2   74 
        90.         0.      16.00      6.092      0.504           F0360  2   75 
        90.         0.      16.13      6.344      0.505           F0360  2   76 
        90.         0.      16.24      6.343      0.337           F0360  2   77 
        90.         0.      16.48      5.583      0.421           F0360  2   78 
        90.         0.      16.71      5.076      0.253           F0360  2   79 
        90.         0.      16.83      4.823      0.421           F0360  2   80 
        90.         0.      17.07      5.158      0.253           F0360  2   81 
        90.         0.      17.24      5.409      0.337           F0360  2   82 
        90.         0.      17.36      4.987      0.505           F0360  2   83 
        90.         0.      17.54      4.817      0.505           F0360  2   84 
        90.         0.      17.71      4.648      0.337           F0360  2   85 
        90.         0.      17.89      4.815      0.673           F0360  2   86 
        90.         0.      18.06      3.635      0.337           F0360  2   87 
        90.         0.      18.25      4.728      0.505           F0360  2   88 
        90.         0.      18.42      3.969      0.337           F0360  2   89 
        90.         0.      18.66      4.051      0.505           F0360  2   90 
        90.         0.      18.66      4.051      0.673           F0360  2   91 
        90.         0.      18.77      3.966      0.757           F0360  2   92 
        90.         0.      19.01      3.543      0.336           F0360  2   93 
        90.         0.      19.19      3.458      0.421           F0360  2   94 
        90.         0.      19.42      3.456      0.420           F0360  2   95 
        90.         0.      19.60      3.370      0.673           F0360  2   96 
        90.         0.      19.84      3.621      0.421           F0360  2   97 
        90.         0.      20.01      3.114      0.337           F0360  2   98 
        90.         0.      20.19      3.534      0.674           F0360  2   99 
        90.         0.      20.25      2.776      0.253           F0360  2  100 
        90.         0.      20.48      2.690      0.505           F0360  2  101 
        90.         0.      20.60      2.520      0.505           F0360  2  102 
        90.         0.      20.78      2.603      0.337           F0360  2  103 
        90.         0.      21.02      2.770      0.421           F0360  2  104 
        90.      4.439      13.09     19.020      1.283           F0360  2  105 
        90.      4.439      13.87     14.730      1.070           F0360  2  106 
        90.      4.439      14.11     13.010      0.855           F0360  2  107 
        90.      4.439      14.23     13.010      0.855           F0360  2  108 
        90.      4.439      14.54     12.780      0.159           F0360  2  109 
        90.      4.439      14.66     12.350      0.641           F0360  2  110 
        90.      4.439      14.90     11.280      0.429           F0360  2  111 
        90.      4.439      15.08     10.850      0.641           F0360  2  112 
        90.      4.439      15.27     11.060      0.855           F0360  2  113 
        90.      4.439      15.45     10.620      0.641           F0360  2  114 
        90.      4.439      15.63     10.830      1.070           F0360  2  115 
        90.      4.439      15.87      9.542      0.643           F0360  2  116 
        90.      4.439      16.05      9.109      0.159           F0360  2  117 
        90.      4.439      16.11      9.748      0.159           F0360  2  118 
        90.      4.439      16.18      9.533      0.159           F0360  2  119 
        90.      4.439      16.36      8.459      0.641           F0360  2  120 
        90.      4.439      16.60      8.879      0.159           F0360  2  121 
        90.      4.439      16.84      7.804      0.643           F0360  2  122 
        90.      4.439      16.96      7.801      0.641           F0360  2  123 
        90.      4.439      17.08      7.370      0.641           F0360  2  124 
        90.      4.439      17.27      7.364      1.068           F0360  2  125 
        90.      4.439      17.45      8.000      0.856           F0360  2  126 
        90.      4.439      17.63      7.354      0.159           F0360  2  127 
        90.      4.439      17.81      5.639      0.855           F0360  2  128 
        90.      4.439      18.00      5.848      0.159           F0360  2  129 
        90.      4.439      18.24      6.695      0.643           F0360  2  130 
        90.      4.439      18.30      4.984      0.159           F0360  2  131 
        90.      4.439      18.60      5.403      0.855           F0360  2  132 
        90.      4.439      18.67      5.614      0.639           F0360  2  133 
        90.      4.439      18.85      5.395      1.068           F0360  2  134 
        90.      4.439      18.97      5.392      0.159           F0360  2  135 
        90.      4.439      19.21      4.744      0.855           F0360  2  136 
        90.      4.439      19.40      6.447      0.855           F0360  2  137 
        90.      4.439      19.70      4.516      0.429           F0360  2  138 
        90.      4.439      19.82      4.512      0.856           F0360  2  139 
        90.      4.439      20.01      5.361      0.855           F0360  2  140 
        90.      4.439      20.06      4.078      0.641           F0360  2  141 
        90.      4.439      20.19      4.502      0.159           F0360  2  142 
        90.      4.439      20.43      4.708      0.641           F0360  2  143 
        90.      4.439      20.61      3.421      0.429           F0360  2  144 
        90.      4.439      20.80      4.484      0.853           F0360  2  145 
        90.      4.439      20.98      3.410      0.641           F0360  2  146 
       135.         0.      12.95      4.360      0.439           F0360  2  147 
       135.         0.      13.76      3.475      0.377           F0360  2  148 
       135.         0.      13.94      2.971      0.377           F0360  2  149 
       135.         0.      14.08      3.221      0.439           F0360  2  150 
       135.         0.      14.35      2.654      0.377           F0360  2  151 
       135.         0.      14.57      2.276      0.565           F0360  2  152 
       135.         0.      14.80      2.525      0.503           F0360  2  153 
       135.         0.      14.98      2.837      0.439           F0360  2  154 
       135.         0.      15.12      2.773      0.377           F0360  2  155 
       135.         0.      15.39      2.457      0.565           F0360  2  156 
       135.         0.      15.61      2.016      0.377           F0360  2  157 
       135.         0.      15.80      2.705      0.314           F0360  2  158 
       135.         0.      15.98      2.453      0.439           F0360  2  159 
       135.         0.      16.07      2.515      0.314           F0360  2  160 
       135.         0.      16.16      2.012      0.314           F0360  2  161 
       135.         0.      16.38      1.571      0.565           F0360  2  162 
       135.         0.      16.61      1.820      0.251           F0360  2  163 
       135.         0.      16.74      1.505      0.439           F0360  2  164 
       135.         0.      16.97      2.319      0.502           F0360  2  165 
       135.         0.      17.15      1.439      0.628           F0360  2  166 
       135.         0.      17.24      1.627      0.502           F0360  2  167 
       135.         0.      17.38      1.939      0.565           F0360  2  168 
       135.         0.      17.60      1.624      0.440           F0360  2  169 
       135.         0.      17.74      1.623      0.628           F0360  2  170 
       135.         0.      17.97      1.872      0.565           F0360  2  171 
       135.         0.      18.10      1.243      0.691           F0360  2  172 
       135.         0.      18.42      1.617      0.503           F0360  2  173 
       135.         0.      18.56      1.930      0.439           F0360  2  174 
       135.         0.      18.69      1.552      0.439           F0360  2  175 
       135.         0.      18.74      1.113      0.878           F0360  2  176 
       135.         0.      18.96      1.550      0.377           F0360  2  177 
       135.         0.      19.24      1.862      0.691           F0360  2  178 
       135.         0.      19.42      1.044      0.565           F0360  2  179 
       135.         0.      19.55      1.294      0.690           F0360  2  180 
       135.         0.      19.78      1.544      0.628           F0360  2  181 
       135.         0.      19.96      1.605      0.565           F0360  2  182 
       135.         0.      20.05      0.977      0.502           F0360  2  183 
       135.         0.      20.18      0.599      0.565           F0360  2  184 
       135.         0.      20.32      0.347      0.691           F0360  2  185 
       135.         0.      20.45      0.283      0.502           F0360  2  186 
       135.         0.      20.59      1.035      0.753           F0360  2  187 
       135.         0.      20.78      1.410      0.690           F0360  2  188 
ENDDATA            171          0                                 F0360  2  189 
ENDSUBENT          188          0                                 F0360  299999 
SUBENT        F0360003   20210517                             F083F0360  3    1 
BIB                  5         10                                 F0360  3    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0360  3    3 
            No explanation of relative units is given.            F0360  3    4 
ERR-ANALYS (ERR-S) Error from graphic bars (statistical)          F0360  3    5 
COMMENT    Angular distributions obtained with 24 cm x 30 cm      F0360  3    6 
           NaI(Tl) crystal                                        F0360  3    7 
STATUS     (CURVE) Figs 5,6 from Nucl.Phys.,A123(1969)205         F0360  3    8 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360  3    9 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360  3   10 
           data presentation revised. ANG-ERR -> ANG-ERR-D;       F0360  3   11 
           DATA-ERR -> ERR-S.                                     F0360  3   12 
ENDBIB              10          0                                 F0360  3   13 
COMMON               1          3                                 F0360  3   14 
ANG-ERR-D                                                         F0360  3   15 
ADEG                                                              F0360  3   16 
 2.0                                                              F0360  3   17 
ENDCOMMON            3          0                                 F0360  3   18 
DATA                 5         84                                 F0360  3   19 
EN         E-LVL      ANG        DATA       ERR-S                 F0360  3   20 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F0360  3   21 
        13.         0.       32.6      550.0       79.9           F0360  3   22 
        13.         0.       55.1      851.2       59.9           F0360  3   23 
        13.         0.       73.4     1032.0       40.0           F0360  3   24 
        13.         0.       93.5      923.3       90.0           F0360  3   25 
        13.         0.      112.1      814.3       70.0           F0360  3   26 
        13.         0.      130.9      565.3       60.1           F0360  3   27 
        13.         0.      149.6      366.3       60.1           F0360  3   28 
        13.      4.439       32.6     1907.0      168.7           F0360  3   29 
        13.      4.439       50.5     2076.0      147.7           F0360  3   30 
        13.      4.439       69.9     2034.0      147.6           F0360  3   31 
        13.      4.439       87.8     2034.0      147.7           F0360  3   32 
        13.      4.439      108.6     1887.0      126.5           F0360  3   33 
        13.      4.439      130.7     1444.0      147.6           F0360  3   34 
        13.      4.439      148.6     1254.0      126.6           F0360  3   35 
        15.         0.       31.1      442.1       69.7           F0360  3   36 
        15.         0.       52.7      766.4       61.0           F0360  3   37 
        15.         0.       69.2      846.1       78.5           F0360  3   38 
        15.         0.       88.7      768.8       69.9           F0360  3   39 
        15.         0.      109.8      578.3       69.9           F0360  3   40 
        15.         0.      129.6      309.0       61.1           F0360  3   41 
        15.         0.      147.8      144.5       52.4           F0360  3   42 
        15.      4.439       34.2     1109.0       88.1           F0360  3   43 
        15.      4.439       55.3     1170.0      100.5           F0360  3   44 
        15.      4.439       72.0     1131.0      113.1           F0360  3   45 
        15.      4.439       94.5     1129.0      113.1           F0360  3   46 
        15.      4.439      112.5      914.4       88.0           F0360  3   47 
        15.      4.439      130.4      624.0      100.5           F0360  3   48 
        15.      4.439      151.4      547.0      113.0           F0360  3   49 
       16.1         0.       28.2      379.1       41.2           F0360  3   50 
       16.1         0.       50.2      586.6       47.9           F0360  3   51 
       16.1         0.       68.5      642.7       61.7           F0360  3   52 
       16.1         0.       90.9      692.2       61.6           F0360  3   53 
       16.1         0.      109.9      453.0       82.4           F0360  3   54 
       16.1         0.      128.8      275.6       48.1           F0360  3   55 
       16.1         0.      150.4      125.9       54.9           F0360  3   56 
       16.1      4.439       29.0      872.3      103.4           F0360  3   57 
       16.1      4.439       51.7     1027.0       77.5           F0360  3   58 
       16.1      4.439       70.2     1092.0       90.5           F0360  3   59 
       16.1      4.439       90.1     1027.0      116.3           F0360  3   60 
       16.1      4.439      109.9      858.4       64.6           F0360  3   61 
       16.1      4.439      132.6      599.7       77.5           F0360  3   62 
       16.1      4.439      151.1      496.1       90.5           F0360  3   63 
       17.3         0.       32.6      326.8       45.0           F0360  3   64 
       17.3         0.       51.7      514.0       44.9           F0360  3   65 
       17.3         0.       72.4      572.6       57.9           F0360  3   66 
       17.3         0.       91.9      560.4       45.0           F0360  3   67 
       17.3         0.      111.6      374.5       64.3           F0360  3   68 
       17.3         0.      132.7      207.9       77.1           F0360  3   69 
       17.3         0.      149.6       54.1       64.3           F0360  3   70 
       17.3      4.439       30.8      724.6       68.5           F0360  3   71 
       17.3      4.439       51.8      775.0       77.1           F0360  3   72 
       17.3      4.439       71.4      825.4       68.5           F0360  3   73 
       17.3      4.439       89.5      781.7       94.2           F0360  3   74 
       17.3      4.439      110.1      532.5       77.0           F0360  3   75 
       17.3      4.439      128.1      394.7       77.0           F0360  3   76 
       17.3      4.439      150.2      213.9       60.0           F0360  3   77 
       18.7         0.       30.0      230.0       55.9           F0360  3   78 
       18.7         0.       50.7      469.7       30.5           F0360  3   79 
       18.7         0.       69.2      475.5       50.8           F0360  3   80 
       18.7         0.       92.2      456.1       35.5           F0360  3   81 
       18.7         0.      110.0      258.6       45.7           F0360  3   82 
       18.7         0.      130.1      234.0       45.8           F0360  3   83 
       18.7         0.      152.0       87.5       55.9           F0360  3   84 
       18.7      4.439       32.0      595.3       51.5           F0360  3   85 
       18.7      4.439       51.4      594.7       68.7           F0360  3   86 
       18.7      4.439       72.4      800.2       85.9           F0360  3   87 
       18.7      4.439       90.3      584.9       68.7           F0360  3   88 
       18.7      4.439      109.6      421.0       68.7           F0360  3   89 
       18.7      4.439      130.4      377.4       60.1           F0360  3   90 
       18.7      4.439      151.1      256.5       43.0           F0360  3   91 
       20.1         0.       31.7      247.2       37.8           F0360  3   92 
       20.1         0.       50.7      323.4       46.1           F0360  3   93 
       20.1         0.       68.6      344.9       50.4           F0360  3   94 
       20.1         0.       90.6      375.0       50.4           F0360  3   95 
       20.1         0.      110.5      195.1       37.8           F0360  3   96 
       20.1         0.      131.5      111.7       25.1           F0360  3   97 
       20.1         0.      148.2       45.0       42.0           F0360  3   98 
       20.1      4.439       30.9      465.6       57.7           F0360  3   99 
       20.1      4.439       53.3      535.2       70.5           F0360  3  100 
       20.1      4.439       72.8      579.3       51.3           F0360  3  101 
       20.1      4.439       90.7      456.8       38.5           F0360  3  102 
       20.1      4.439      109.9      289.4       64.1           F0360  3  103 
       20.1      4.439      129.3      237.3       32.0           F0360  3  104 
       20.1      4.439      151.4      165.9       51.4           F0360  3  105 
ENDDATA             86          0                                 F0360  3  106 
ENDSUBENT          105          0                                 F0360  399999 
SUBENT        F0360004   20210517                             F083F0360  4    1 
BIB                  5         11                                 F0360  4    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,SIG,,REL)                       F0360  4    3 
            No explanation of relative units is given.            F0360  4    4 
ERR-ANALYS (ERR-S) Error from graphic bars (statistical)          F0360  4    5 
COMMENT    Angular distributions obtained with 24 cm x 30 cm      F0360  4    6 
           NaI(Tl) crystal                                        F0360  4    7 
STATUS     (CURVE) Fig. 7 from Nucl.Phys.,A123(1969)205           F0360  4    8 
           (COREL,F0360005) Legendre coeff.                       F0360  4    9 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360  4   10 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360  4   11 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360  4   12 
           DATA-ERR -> ERR-S.                                     F0360  4   13 
ENDBIB              11          0                                 F0360  4   14 
COMMON               1          3                                 F0360  4   15 
EN-ERR-DIG                                                        F0360  4   16 
MEV                                                               F0360  4   17 
 0.10                                                             F0360  4   18 
ENDCOMMON            3          0                                 F0360  4   19 
DATA                 4         12                                 F0360  4   20 
E-LVL      EN         DATA       ERR-S                            F0360  4   21 
MEV        MEV        ARB-UNITS  ARB-UNITS                        F0360  4   22 
         0.      13.03       3.80       0.19                      F0360  4   23 
         0.      14.95       2.92       0.19                      F0360  4   24 
         0.      15.98       2.38       0.19                      F0360  4   25 
         0.      17.23       2.04       0.19                      F0360  4   26 
         0.      18.64       1.65       0.15                      F0360  4   27 
         0.      19.89       1.23       0.19                      F0360  4   28 
      4.439      12.97       8.01       0.38                      F0360  4   29 
      4.439      14.85       4.31       0.30                      F0360  4   30 
      4.439      15.95       3.78       0.30                      F0360  4   31 
      4.439      17.12       2.72       0.38                      F0360  4   32 
      4.439      18.51       2.33       0.38                      F0360  4   33 
      4.439      19.98       1.65       0.38                      F0360  4   34 
ENDDATA             14          0                                 F0360  4   35 
ENDSUBENT           34          0                                 F0360  499999 
SUBENT        F0360005   20210517                             F083F0360  5    1 
BIB                  4          8                                 F0360  5    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,LEG/RS)                     F0360  5    3 
ERR-ANALYS (ERR-S) Error from graphic bars (statistical)          F0360  5    4 
STATUS     (CURVE) Fig 7 from Nucl.Phys.,A123(1969)205            F0360  5    5 
           (COREL,F0360004) The total cross section 4PiA0         F0360  5    6 
HISTORY    (20210502A) SD: SF8=LEG/RSD -> LEG/RS; SF9=EXP         F0360  5    7 
           deleted from REACTION code. STATUS updated. EN-SEC     F0360  5    8 
           deleted. Accuracy of digitized data presentation       F0360  5    9 
           revised. EN-ERR -> EN-ERR-DIG; DATA-ERR -> ERR-S.      F0360  5   10 
ENDBIB               8          0                                 F0360  5   11 
COMMON               1          3                                 F0360  5   12 
EN-ERR-DIG                                                        F0360  5   13 
MEV                                                               F0360  5   14 
 0.10                                                             F0360  5   15 
ENDCOMMON            3          0                                 F0360  5   16 
DATA                 5         37                                 F0360  5   17 
E-LVL      NUMBER-CM  EN         DATA-CM    ERR-S                 F0360  5   18 
MEV        NO-DIM     MEV        NO-DIM     NO-DIM                F0360  5   19 
         0.         1.      13.14      0.178      0.078           F0360  5   20 
         0.         1.      14.99      0.385      0.077           F0360  5   21 
         0.         1.      16.09      0.333      0.093           F0360  5   22 
         0.         1.      17.27      0.419      0.093           F0360  5   23 
         0.         1.      18.74      0.381      0.093           F0360  5   24 
         0.         1.      20.08      0.544      0.124           F0360  5   25 
         0.         2.      13.00      0.373      0.027           F0360  5   26 
         0.         2.      13.05     -0.633      0.102           F0360  5   27 
         0.         2.      15.02     -0.743      0.102           F0360  5   28 
         0.         2.      16.05     -0.747      0.131           F0360  5   29 
         0.         2.      17.23     -0.751      0.117           F0360  5   30 
         0.         2.      18.70     -0.742      0.117           F0360  5   31 
         0.         2.      20.09     -0.689      0.117           F0360  5   32 
         0.         3.      13.01     -0.189      0.072           F0360  5   33 
         0.         3.      14.98     -0.286      0.100           F0360  5   34 
         0.         3.      16.09     -0.163      0.101           F0360  5   35 
         0.         3.      17.19     -0.211      0.115           F0360  5   36 
         0.         3.      18.72     -0.263      0.130           F0360  5   37 
         0.         3.      19.97     -0.269      0.129           F0360  5   38 
      4.439         1.      13.01      0.159      0.090           F0360  5   39 
      4.439         1.      14.88      0.317      0.090           F0360  5   40 
      4.439         1.      16.07      0.267      0.060           F0360  5   41 
      4.439         1.      17.34      0.412      0.090           F0360  5   42 
      4.439         1.      18.67      0.362      0.105           F0360  5   43 
      4.439         1.      20.17      0.507      0.090           F0360  5   44 
      4.439         2.      12.94     -0.222      0.062           F0360  5   45 
      4.439         2.      15.02     -0.261      0.078           F0360  5   46 
      4.439         2.      16.05     -0.358      0.109           F0360  5   47 
      4.439         2.      17.24     -0.378      0.078           F0360  5   48 
      4.439         2.      18.65     -0.337      0.109           F0360  5   49 
      4.439         2.      20.14     -0.327      0.155           F0360  5   50 
      4.439         3.      12.92      0.001      0.045           F0360  5   51 
      4.439         3.      14.92     -0.049      0.089           F0360  5   52 
      4.439         3.      16.03     -0.082      0.104           F0360  5   53 
      4.439         3.      17.22     -0.071      0.089           F0360  5   54 
      4.439         3.      18.70     -0.135      0.134           F0360  5   55 
      4.439         3.      20.03     -0.272      0.148           F0360  5   56 
ENDDATA             39          0                                 F0360  5   57 
ENDSUBENT           56          0                                 F0360  599999 
SUBENT        F0360006   20210517                             F083F0360  6    1 
BIB                  5         11                                 F0360  6    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,SIG,,REL)                       F0360  6    3 
            No explanation of relative units is given.            F0360  6    4 
ERR-ANALYS (ERR-S) Statistical error from graphic bars            F0360  6    5 
COMMENT    The total cross section A0 calculated from the         F0360  6    6 
           gamma-ray yields at 45,90 and 135 degr.                F0360  6    7 
STATUS     (CURVE) Fig 8 from Nucl.Phys.,A123(1969)205            F0360  6    8 
           (COREL,F0360007) Legendre coeff.                       F0360  6    9 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360  6   10 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360  6   11 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360  6   12 
           DATA-ERR -> ERR-DIG; DATA-ERR1 -> ERR-S.               F0360  6   13 
ENDBIB              11          0                                 F0360  6   14 
COMMON               3          3                                 F0360  6   15 
E-LVL      EN-ERR-DIG ERR-DIG                                     F0360  6   16 
MEV        MEV        ARB-UNITS                                   F0360  6   17 
 0.0        0.013      0.12                                       F0360  6   18 
ENDCOMMON            3          0                                 F0360  6   19 
DATA                 3         41                                 F0360  6   20 
EN         DATA       ERR-S                                       F0360  6   21 
MEV        ARB-UNITS  ARB-UNITS                                   F0360  6   22 
      13.01      98.98       3.57                                 F0360  6   23 
      13.82      77.33                                            F0360  6   24 
      14.01      69.79                                            F0360  6   25 
      14.23      76.39                                            F0360  6   26 
      14.42      75.57                                            F0360  6   27 
      14.63      73.66                                            F0360  6   28 
      14.82      72.98                                            F0360  6   29 
      15.03      75.46       4.25                                 F0360  6   30 
      15.23      77.94                                            F0360  6   31 
      15.42      68.89                                            F0360  6   32 
      15.62      69.17                                            F0360  6   33 
      15.80      71.79                                            F0360  6   34 
      16.01      65.76                                            F0360  6   35 
      16.12      66.45                                            F0360  6   36 
      16.22      62.89                                            F0360  6   37 
