ENTRY            F1198   20171114                             F066F1198  0    1 
SUBENT        F1198001   20171114                             F066F1198  1    1 
BIB                  9         12                                 F1198  1    2 
TITLE      Excitation of isobaric analogue states in the          F1198  1    3 
           Al-27(d,n)Si-28 reaction.                              F1198  1    4 
AUTHOR     (B.Lawergren,G.C.Morrison,A.T.G.Ferguson)              F1198  1    5 
INSTITUTE  (2UK HAR,1USAANL)                                      F1198  1    6 
REFERENCE  (J,NP/A,106,455,1968)                                  F1198  1    7 
           #doi:10.1016/0375-9474(67)90890-1                      F1198  1    8 
FACILITY   (ACCEL,2UK HAR) 3 MeV pulsed accelerator IBIS was used.F1198  1    9 
DETECTOR   Neutron detector was used.                             F1198  1   10 
METHOD     (TOF)                                                  F1198  1   11 
ERR-ANALYS (ERR-DIG)    Data digitizing error                     F1198  1   12 
HISTORY    (20140821C)                                            F1198  1   13 
           (20171114U) REFERENCE was corrected: 1967->1968.       F1198  1   14 
ENDBIB              12          0                                 F1198  1   15 
COMMON               1          3                                 F1198  1   16 
EN                                                                F1198  1   17 
MEV                                                               F1198  1   18 
      2.980                                                       F1198  1   19 
ENDCOMMON            3          0                                 F1198  1   20 
ENDSUBENT           19          0                                 F1198  199999 
SUBENT        F1198002   20140821                             F055F119800200001 
BIB                  6          6                                 F119800200002 
REACTION   (13-AL-27(D,N)14-SI-28,,DA/DE,,REL)                    F119800200003 
     0.7149    1.96960                                            F119800200060 
     0.7169    1.84420                                            F119800200061 
     0.7192    1.41110                                            F119800200062 
     0.7200    1.27540                                            F119800200063 
     0.7218    0.68059                                            F119800200064 
     0.7226    0.93616                                            F119800200065 
     0.7269    0.35163                                            F119800200066 
     0.7286    0.48717                                            F119800200067 
     0.7313    0.17921                                            F119800200068 
     0.7328    0.25216                                            F119800200069 
     0.7350    0.14770                                            F119800200070 
     0.7465    0.14183                                            F119800200071 
     0.7505    0.19376                                            F119800200072 
     0.7560    0.25606                                            F119800200073 
     0.7584    0.20376                                            F119800200074 
     0.7651    0.23469                                            F119800200075 
     0.7728    0.18209                                            F119800200076 
     0.7731    0.25511                                            F119800200077 
     0.7738    0.09335                                            F119800200078 
     0.7794    0.14000                                            F119800200079 
     0.7836    0.19716                                            F119800200080 
     0.7901    0.12898                                            F119800200081 
     0.7928    0.11319                                            F119800200082 
     0.7970    0.14427                                            F119800200083 
     0.8014    0.20142                                            F119800200084 
     0.8095    0.14883                                            F119800200085 
     0.8191    0.08051                                            F119800200086 
     0.8196    0.23177                                            F119800200087 
     0.8262    0.10101                                            F119800200088 
     0.8296    0.23647                                            F119800200089 
     0.8379    0.15258                                            F119800200090 
     0.8439    0.19923                                            F119800200091 
     0.8527    0.20923                                            F119800200092 
     0.8573    0.24552                                            F119800200093 
     0.8621    0.34962                                            F119800200094 
     0.8670    0.44328                                            F119800200095 
     0.8705    0.58396                                            F119800200096 
     0.8752    0.63590                                            F119800200097 
     0.8787    0.73486                                            F119800200098 
     0.8812    0.97993                                            F119800200099 
     0.8905    1.38120                                            F119800200100 
     0.8913    1.58460                                            F119800200101 
     0.8973    1.92340                                            F119800200102 
     0.9012    2.12150                                            F119800200103 
     0.9034    2.25700                                            F119800200104 
     0.9085    1.98030                                            F119800200105 
     0.9107    1.77670                                            F119800200106 
     0.9112    1.14020                                            F119800200107 
     0.9141    1.07750                                            F119800200108 
     0.9173    0.72782                                            F119800200109 
     0.9233    0.63885                                            F119800200110 
     0.9254    0.39356                                            F119800200111 
     0.9294    0.18993                                            F119800200112 
     0.9323    0.13241                                            F119800200113 
     0.9375    0.21043                                            F119800200114 
     0.9393    0.24686                                            F119800200115 
     0.9474    0.24650                                            F119800200116 
     0.9488    0.19948                                            F119800200117 
     0.9535    0.14189                                            F119800200118 
     0.9636    0.19883                                            F119800200119 
     0.9708    0.30285                                            F119800200120 
     0.9753    0.19310                                            F119800200121 
     0.9876    0.29169                                            F119800200122 
     0.9906    0.19244                                            F119800200123 
     1.0006    0.14506                                            F119800200124 
     1.0025    0.18672                                            F119800200125 
     1.0148    0.20707                                            F119800200126 
     1.0236    0.20149                                            F119800200127 
     1.0255    0.23793                                            F119800200128 
     1.0343    0.21148                                            F119800200129 
     1.0416    0.25292                                            F119800200130 
     1.0467    0.19532                                            F119800200131 
     1.0577    0.22096                                            F119800200132 
     1.0760    0.19937                                            F119800200133 
     1.0814    0.15743                                            F119800200134 
     1.0910    0.20922                                            F119800200135 
     1.0964    0.15163                                            F119800200136 
     1.0969    0.25594                                            F119800200137 
     1.1064    0.26601                                            F119800200138 
     1.1175    0.17169                                            F119800200139 
     1.1276    0.27042                                            F119800200140 
     1.1298    0.31729                                            F119800200141 
     1.1416    0.31685                                            F119800200142 
     1.1491    0.24875                                            F119800200143 
     1.1557    0.36328                                            F119800200144 
     1.1613    0.30048                                            F119800200145 
     1.1691    0.25846                                            F119800200146 
     1.1735    0.31568                                            F119800200147 
     1.1749    0.20086                                            F119800200148 
     1.1832    0.24230                                            F119800200149 
     1.1838    0.34661                                            F119800200150 
     1.1961    0.35139                                            F119800200151 
     1.1987    0.45042                                            F119800200152 
     1.2026    0.39812                                            F119800200153 
     1.2094    0.49700                                            F119800200154 
     1.2174    0.43933                                            F119800200155 
     1.2275    0.35551                                            F119800200156 
     1.2351    0.20396                                            F119800200157 
     1.2461    0.26097                                            F119800200158 
     1.2550    0.31284                                            F119800200159 
     1.2562    0.13543                                            F119800200160 
     1.2565    0.19280                                            F119800200161 
     1.2763    0.21822                                            F119800200162 
     1.2921    0.26987                                            F119800200163 
     1.2940    0.20721                                            F119800200164 
     1.3055    0.25900                                            F119800200165 
     1.3143    0.22220                                            F119800200166 
     1.3285    0.31043                                            F119800200167 
     1.3449    0.35686                                            F119800200168 
     1.3490    0.26283                                            F119800200169 
     1.3493    0.31499                                            F119800200170 
     1.3680    0.30919                                            F119800200171 
     1.3777    0.35062                                            F119800200172 
     1.3873    0.36076                                            F119800200173 
     1.4014    0.30817                                            F119800200174 
     1.4096    0.45921                                            F119800200175 
     1.4185    0.32330                                            F119800200176 
     1.4261    0.37003                                            F119800200177 
     1.4435    0.37473                                            F119800200178 
     1.4437    0.40603                                            F119800200179 
     1.4555    0.30656                                            F119800200180 
     1.4625    0.22810                                            F119800200181 
     1.4658    0.34278                                            F119800200182 
     1.4755    0.27990                                            F119800200183 
     1.4889    0.36298                                            F119800200184 
     1.4986    0.27402                                            F119800200185 
     1.5041    0.32604                                            F119800200186 
     1.5151    0.40398                                            F119800200187 
     1.5233    0.46114                                            F119800200188 
     1.5295    0.59139                                            F119800200189 
     1.5507    0.95598                                            F119800200190 
     1.5603    0.79922                                            F119800200191 
     1.5607    0.85659                                            F119800200192 
     1.5646    0.65824                                            F119800200193 
     1.5717    0.51720                                            F119800200194 
     1.5739    0.44932                                            F119800200195 
     1.5866    0.31334                                            F119800200196 
     1.5901    0.42280                                            F119800200197 
     1.5991    0.52168                                            F119800200198 
     1.6024    0.60506                                            F119800200199 
     1.6166    0.64642                                            F119800200200 
     1.6255    0.70880                                            F119800200201 
     1.6321    0.84426                                            F119800200202 
     1.6442    0.94829                                            F119800200203 
     1.6512    0.74465                                            F119800200204 
     1.6590    0.65054                                            F119800200205 
     1.6637    0.51479                                            F119800200206 
     1.6711    0.35288                                            F119800200207 
     1.6848    0.26384                                            F119800200208 
     1.6902    0.21154                                            F119800200209 
     1.7104    0.16409                                            F119800200210 
     1.7112    0.26840                                            F119800200211 
     1.7255    0.20545                                            F119800200212 
     1.7371    0.16864                                            F119800200213 
     1.7438    0.24674                                            F119800200214 
     1.7563    0.30382                                            F119800200215 
     1.7597    0.35590                                            F119800200216 
     1.7786    0.41806                                            F119800200217 
     1.7936    0.37075                                            F119800200218 
     1.7969    0.40719                                            F119800200219 
     1.8067    0.45391                                            F119800200220 
     1.8133    0.50592                                            F119800200221 
     1.8434    0.70347                                            F119800200222 
     1.8458    0.61472                                            F119800200223 
     1.8660    0.35864                                            F119800200224 
     1.8667    0.44731                                            F119800200225 
     1.8846    0.27475                                            F119800200226 
     1.8916    0.33197                                            F119800200227 
     1.8952    0.36320                                            F119800200228 
     1.9025    0.44650                                            F119800200229 
     1.9182    0.36790                                            F119800200230 
     1.9340    0.27365                                            F119800200231 
     1.9402    0.22656                                            F119800200232 
     1.9497    0.15854                                            F119800200233 
     1.9610    0.29393                                            F119800200234 
     1.9777    0.26227                                            F119800200235 
     1.9782    0.31443                                            F119800200236 
     1.9979    0.22011                                            F119800200237 
     2.0077    0.16773                                            F119800200238 
     2.0254    0.20387                                            F119800200239 
     2.0390    0.15664                                            F119800200240 
     2.0643    0.20829                                            F119800200241 
     2.0778    0.12976                                            F119800200242 
     2.0928    0.19206                                            F119800200243 
     2.1142    0.16032                                            F119800200244 
     2.1297    0.25392                                            F119800200245 
     2.1363    0.17032                                            F119800200246 
     2.1478    0.21182                                            F119800200247 
     2.1708    0.27919                                            F119800200248 
     2.1862    0.32063                                            F119800200249 
     2.2007    0.26296                                            F119800200250 
     2.2126    0.30447                                            F119800200251 
     2.2208    0.36170                                            F119800200252 
     2.2254    0.43986                                            F119800200253 
     2.2338    0.50230                                            F119800200254 
     2.2508    0.65327                                            F119800200255 
     2.2527    0.84104                                            F119800200256 
     2.2841    1.22130                                            F119800200257 
     2.2856    0.99172                                            F119800200258 
     2.3024    0.70970                                            F119800200259 
     2.3031    0.40710                                            F119800200260 
     2.3141    0.31822                                            F119800200261 
     2.3175    0.26599                                            F119800200262 
     2.3450    0.20288                                            F119800200263 
     2.3537    0.26011                                            F119800200264 
     2.3781    0.25446                                            F119800200265 
     2.3951    0.30633                                            F119800200266 
     2.4169    0.39985                                            F119800200267 
     2.4226    0.16499                                            F119800200268 
     2.4285    0.31617                                            F119800200269 
     2.4405    0.26380                                            F119800200270 
     2.4624    0.33124                                            F119800200271 
     2.4873    0.26821                                            F119800200272 
     2.5000    0.25234                                            F119800200273 
     2.5178    0.29899                                            F119800200274 
     2.5359    0.36129                                            F119800200275 
     2.5617    0.31391                                            F119800200276 
     2.5739    0.21981                                            F119800200277 
     2.5820    0.15707                                            F119800200278 
     2.5967    0.26117                                            F119800200279 
     2.6141    0.21393                                            F119800200280 
     2.6238    0.27116                                            F119800200281 
     2.6424    0.31260                                            F119800200282 
     2.6457    0.20821                                            F119800200283 
     2.6554    0.24979                                            F119800200284 
     2.6620    0.41662                                            F119800200285 
     2.6869    0.56230                                            F119800200286 
     2.7134    0.45233                                            F119800200287 
     2.7204    0.64003                                            F119800200288 
     2.7358    0.73891                                            F119800200289 
     2.7575    0.95768                                            F119800200290 
     2.7609    0.84807                                            F119800200291 
     2.7781    0.70695                                            F119800200292 
     2.7870    0.27904                                            F119800200293 
     2.8068    0.31526                                            F119800200294 
     2.8297    0.21057                                            F119800200295 
     2.8456    0.30424                                            F119800200296 
     2.8512    0.35633                                            F119800200297 
     2.8739    0.20470                                            F119800200298 
     2.8845    0.26193                                            F119800200299 
     2.9003    0.32430                                            F119800200300 
     2.9352    0.30293                                            F119800200301 
     2.9360    0.36030                                            F119800200302 
     2.9570    0.41217                                            F119800200303 
     2.9576    0.45389                                            F119800200304 
     2.9850    0.58392                                            F119800200305 
     3.0067    0.65665                                            F119800200306 
     3.0475    0.59348                                            F119800200307 
     3.0563    0.46815                                            F119800200308 
     3.0609    0.42114                                            F119800200309 
     3.0655    0.37412                                            F119800200310 
     3.0752    0.31139                                            F119800200311 
     3.0798    0.26437                                            F119800200312 
     3.1019    0.32145                                            F119800200313 
     3.1164    0.21170                                            F119800200314 
     3.1333    0.26364                                            F119800200315 
     3.1761    0.21612                                            F119800200316 
     3.1784    0.36737                                            F119800200317 
     3.1917    0.15331                                            F119800200318 
     3.2201    0.21032                                            F119800200319 
     3.2426    0.22046                                            F119800200320 
     3.2830    0.29297                                            F119800200321 
     3.2874    0.20944                                            F119800200322 
     3.3037    0.15706                                            F119800200323 
     3.3160    0.21951                                            F119800200324 
     3.3346    0.30796                                            F119800200325 
     3.3446    0.21393                                            F119800200326 
     3.3685    0.26058                                            F119800200327 
     3.3927    0.31766                                            F119800200328 
     3.3994    0.36974                                            F119800200329 
     3.4390    0.26492                                            F119800200330 
     3.4576    0.31686                                            F119800200331 
     3.4927    0.26426                                            F119800200332 
     3.5114    0.30055                                            F119800200333 
     3.5245    0.35778                                            F119800200334 
     3.5434    0.39929                                            F119800200335 
     3.5566    0.45651                                            F119800200336 
     3.5575    0.51389                                            F119800200337 
     3.5890    0.55525                                            F119800200338 
     3.6144    0.59147                                            F119800200339 
     3.6357    0.74251                                            F119800200340 
     3.6406    0.65898                                            F119800200341 
     3.6845    0.64282                                            F119800200342 
     3.6999    0.79915                                            F119800200343 
     3.7143    0.89289                                            F119800200344 
     3.7305    1.09090                                            F119800200345 
     3.7579    1.17930                                            F119800200346 
     3.7697    1.48700                                            F119800200347 
     3.7754    1.44000                                            F119800200348 
     3.7982    1.25190                                            F119800200349 
     3.8022    1.10580                                            F119800200350 
     3.8158    0.76133                                            F119800200351 
     3.8440    0.86535                                            F119800200352 
     3.8530    0.99568                                            F119800200353 
     3.8614    1.09470                                            F119800200354 
     3.9051    1.29250                                            F119800200355 
     3.9110    1.24550                                            F119800200356 
     3.9233    1.17750                                            F119800200357 
     3.9444    0.84861                                            F119800200358 
     3.9534    0.59810                                            F119800200359 
     3.9935    0.54029                                            F119800200360 
     3.9977    0.76979                                            F119800200361 
     4.0129    0.84266                                            F119800200362 
     4.0495    0.94662                                            F119800200363 
     4.0509    1.01960                                            F119800200364 
     4.0645    1.36900                                            F119800200365 
     4.1016    1.47300                                            F119800200366 
     4.1114    1.98930                                            F119800200367 
     4.1344    2.82380                                            F119800200368 
     4.1462    3.43930                                            F119800200369 
     4.1858    4.74830                                            F119800200370 
     4.2185    5.31140                                            F119800200371 
     4.2307    4.44530                                            F119800200372 
     4.2479    4.58070                                            F119800200373 
     4.2688    4.52310                                            F119800200374 
     4.3046    4.83580                                            F119800200375 
     4.3089    0.95442                                            F119800200376 
     4.3130    6.00430                                            F119800200377 
     4.3141    2.33160                                            F119800200378 
     4.3191    0.34916                                            F119800200379 
     4.3376    6.48920                                            F119800200380 
     4.3555    0.29664                                            F119800200381 
     4.4008    0.30142                                            F119800200382 
     4.4073    0.24397                                            F119800200383 
     4.4679    0.21731                                            F119800200384 
     4.4994    0.24831                                            F119800200385 
     4.5067    0.22216                                            F119800200386 
     4.5699    0.25287                                            F119800200387 
     4.5926    0.20571                                            F119800200388 
     4.6028    0.31517                                            F119800200389 
     4.6423    0.29916                                            F119800200390 
     4.6676    0.35631                                            F119800200391 
     4.7171    0.40282                                            F119800200392 
     4.7399    0.32436                                            F119800200393 
     4.7548    0.26162                                            F119800200394 
     4.7891    0.32392                                            F119800200395 
     4.8206    0.25061                                            F119800200396 
     4.8554    0.31291                                            F119800200397 
     4.8728    0.34405                                            F119800200398 
     4.8823    0.39092                                            F119800200399 
     4.9101    0.50024                                            F119800200400 
     4.9317    0.70351                                            F119800200401 
     4.9422    0.79210                                            F119800200402 
     4.9725    0.99530                                            F119800200403 
     4.9977    1.34460                                            F119800200404 
     5.0009    1.48020                                            F119800200405 
     5.0226    1.67310                                            F119800200406 
     5.0692    2.17870                                            F119800200407 
     5.0822    2.73160                                            F119800200408 
     5.1324    2.99720                                            F119800200409 
     5.1371    2.07380                                            F119800200410 
     5.1416    1.14520                                            F119800200411 
     5.1549    0.58686                                            F119800200412 
     5.1855    0.37794                                            F119800200413 
     5.1919    0.26833                                            F119800200414 
     5.2159    0.52376                                            F119800200415 
     5.2862    0.43451                                            F119800200416 
     5.3061    0.50217                                            F119800200417 
     5.3572    0.34004                                            F119800200418 
     5.4147    0.41262                                            F119800200419 
     5.4536    0.46970                                            F119800200420 
     5.4875    0.31815                                            F119800200421 
     5.5050    0.26063                                            F119800200422 
     5.5306    0.14567                                            F119800200423 
     5.6178    0.17630                                            F119800200424 
     5.6286    0.21796                                            F119800200425 
     5.6668    0.19159                                            F119800200426 
     5.6896    0.31140                                            F119800200427 
     5.7611    0.40478                                            F119800200428 
     5.7933    0.49323                                            F119800200429 
     5.8350    0.55031                                            F119800200430 
     5.8575    0.63883                                            F119800200431 
     5.9158    0.54451                                            F119800200432 
     5.9597    0.65375                                            F119800200433 
     6.0059    0.46040                                            F119800200434 
     6.0199    0.21511                                            F119800200435 
     6.1013    0.14151                                            F119800200436 
     6.1365    0.26647                                            F119800200437 
     6.1984    0.19822                                            F119800200438 
     6.2244    0.35977                                            F119800200439 
     6.2661    0.31253                                            F119800200440 
     6.2718    0.51073                                            F119800200441 
     6.3244    0.45300                                            F119800200442 
     6.3654    0.35882                                            F119800200443 
     6.4213    0.38453                                            F119800200444 
     6.4731    0.25899                                            F119800200445 
     6.5516    0.25848                                            F119800200446 
     6.5873    0.31563                                            F119800200447 
     6.6213    0.31020                                            F119800200448 
     6.6351    0.38836                                            F119800200449 
     6.7049    0.41400                                            F119800200450 
     6.7208    0.55476                                            F119800200451 
     6.7719    0.70051                                            F119800200452 
     6.7925    0.61169                                            F119800200453 
     6.8217    0.42370                                            F119800200454 
     6.9129    0.31359                                            F119800200455 
     6.9262    0.35524                                            F119800200456 
     6.9521    0.41768                                            F119800200457 
     6.9729    0.31844                                            F119800200458 
     7.0344    0.35458                                            F119800200459 
     7.1200    0.35929                                            F119800200460 
     7.1234    0.46361                                            F119800200461 
     7.2130    0.55698                                            F119800200462 
     7.2301    0.69773                                            F119800200463 
     7.2456    0.78633                                            F119800200464 
     7.2598    0.83842                                            F119800200465 
     7.3123    0.90593                                            F119800200466 
     7.3635    0.55089                                            F119800200467 
     7.4076    0.35239                                            F119800200468 
     7.4188    0.30538                                            F119800200469 
     7.4946    0.26843                                            F119800200470 
     7.5232    0.34652                                            F119800200471 
     7.5386    0.41425                                            F119800200472 
     7.6132    0.30950                                            F119800200473 
     7.6773    0.25698                                            F119800200474 
     7.7171    0.25676                                            F119800200475 
     7.8261    0.30833                                            F119800200476 
     7.8517    0.27167                                            F119800200477 
     7.9174    0.20872                                            F119800200478 
     7.9977    0.15612                                            F119800200479 
     7.9995    0.20307                                            F119800200480 
     8.0944    0.14518                                            F119800200481 
     8.1954    0.21769                                            F119800200482 
     8.2036    0.06114                                            F119800200483 
     8.2641    0.15995                                            F119800200484 
     8.3233    0.21182                                            F119800200485 
     8.3644    0.15944                                            F119800200486 
     8.4538    0.22159                                            F119800200487 
     8.5416    0.22115                                            F119800200488 
     8.5485    0.02288                                            F119800200489 
     8.6132    0.16342                                            F119800200490 
     8.6705    0.10575                                            F119800200491 
     8.7759    0.11045                                            F119800200492 
     8.8848    0.16732                                            F119800200493 
     8.9285    0.10972                                            F119800200494 
     9.0548    0.16651                                            F119800200495 
     9.1170    0.15579                                            F119800200496 
     9.1469    0.11913                                            F119800200497 
     9.2256    0.10834                                            F119800200498 
     9.3537    0.10775                                            F119800200499 
     9.4179    0.09703                                            F119800200500 
     9.4817    0.06544                                            F119800200501 
     9.5172    0.12789                                            F119800200502 
     9.5683    0.16939                                            F119800200503 
     9.6032    0.21097                                            F119800200504 
     9.6821    0.11672                                            F119800200505 
     9.7181    0.17395                                            F119800200506 
     9.7372    0.22604                                            F119800200507 
     9.8408    0.27776                                            F119800200508 
     9.9279    0.31912                                            F119800200509 
    10.0310    0.30825                                            F119800200510 
    10.1060    0.43314                                            F119800200511 
    10.1620    0.51116                                            F119800200512 
    10.2600    0.35424                                            F119800200513 
    10.3250    0.23920                                            F119800200514 
    10.3290    0.30701                                            F119800200515 
    10.3550    0.10345                                            F119800200516 
    10.4500    0.21261                                            F119800200517 
    10.4830    0.16553                                            F119800200518 
    10.5740    0.15473                                            F119800200519 
    10.6070    0.10242                                            F119800200520 
    10.7210    0.15936                                            F119800200521 
    10.7920    0.10691                                            F119800200522 
    10.7970    0.20601                                            F119800200523 
    10.8500    0.15363                                            F119800200524 
    11.0040    0.21042                                            F119800200525 
    11.1160    0.16304                                            F119800200526 
    11.1890    0.09495                                            F119800200527 
    11.4020    0.06285                                            F119800200528 
    11.4270    0.17231                                            F119800200529 
    11.5630    0.11442                                            F119800200530 
    11.6660    0.17143                                            F119800200531 
    11.7030    0.10869                                            F119800200532 
    11.8270    0.14998                                            F119800200533 
    11.9680    0.10775                                            F119800200534 
    12.0320    0.14925                                            F119800200535 
    12.2210    0.16946                                            F119800200536 
    12.3020    0.10658                                            F119800200537 
    12.4310    0.11657                                            F119800200538 
ENDDATA            523          0                                 F119800200539 
ENDSUBENT          538          0                                 F119800299999 
SUBENT        F1198003   20140821                             F055F119800300001 
BIB                  4          6                                 F119800300002 
REACTION   (13-AL-27(D,N)14-SI-28,PAR,DA)                         F119800300003 
SAMPLE     A target with the thickness of 500 keV was used.       F119800300004 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    F119800300005 
           (DATA-ERR)   Error from the graphic bars, no source of F119800300006 
                        uncertainties is given                    F119800300007 
STATUS     (CURVE) Fig.2                                          F119800300008 
ENDBIB               6          0                                 F119800300009 
COMMON               3          3                                 F119800300010 
E-LVL      ANG-ERR-D  ERR-DIG                                     F119800300011 
MEV        ADEG       MB/SR                                       F119800300012 
 1.77       0.246      0.0007                                     F119800300013 
ENDCOMMON            3          0                                 F119800300014 
DATA                 3         16                                 F119800300015 
ANG-CM     DATA-CM    DATA-ERR                                    F119800300016 
ADEG       MB/SR      MB/SR                                       F119800300017 
      0.722     0.4488     0.0121                                 F119800300018 
      9.531     0.4491     0.0079                                 F119800300019 
     19.308     0.3818     0.0075                                 F119800300020 
     29.549     0.3766     0.0079                                 F119800300021 
     39.672     0.3885     0.0078                                 F119800300022 
     49.469     0.3959     0.0071                                 F119800300023 
     59.622     0.3540     0.0072                                 F119800300024 
     69.683     0.3400     0.0088                                 F119800300025 
     79.873     0.3136     0.0071                                 F119800300026 
     89.949     0.3055     0.0075                                 F119800300027 
     99.573     0.3066     0.0063                                 F119800300028 
    109.520     0.3089     0.0067                                 F119800300029 
    120.000     0.3396     0.0063                                 F119800300030 
    130.260     0.3440     0.0065                                 F119800300031 
    139.970     0.3810     0.0058                                 F119800300032 
    150.250     0.3942     0.0083                                 F119800300033 
ENDDATA             18          0                                 F119800300034 
ENDSUBENT           33          0                                 F119800399999 
SUBENT        F1198004   20140821                             F055F119800400001 
BIB                  4          6                                 F119800400002 
REACTION   (13-AL-27(D,N)14-SI-28,PAR,DA)                         F119800400003 
SAMPLE     A target with the thickness of 50 keV was used.        F119800400004 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    F119800400005 
           (DATA-ERR)   Error from the graphic bars, no source of F119800400006 
                        uncertainties is given                    F119800400007 
STATUS     (CURVE) Fig.2                                          F119800400008 
ENDBIB               6          0                                 F119800400009 
COMMON               4          3                                 F119800400010 
E-LVL      E-LVL      ANG-ERR-D  ERR-DIG                          F119800400011 
MEV        MEV        ADEG       MB/SR                            F119800400012 
 9.33       9.41       0.246      0.0007                          F119800400013 
ENDCOMMON            3          0                                 F119800400014 
DATA                 3          9                                 F119800400015 
ANG-CM     DATA-CM    DATA-ERR                                    F119800400016 
ADEG       MB/SR      MB/SR                                       F119800400017 
      0.910     9.4152     0.1937                                 F119800400018 
      9.370     7.4101     0.2439                                 F119800400019 
     19.042     3.3672     0.2224                                 F119800400020 
     29.438     1.0679     0.1794                                 F119800400021 
     39.359     0.9573     0.2081                                 F119800400022 
     49.007     1.1410     0.2441                                 F119800400023 
     59.969     1.6831     0.3373                                 F119800400024 
     69.741     1.6372     0.3588                                 F119800400025 
     99.818     1.2910     0.3014                                 F119800400026 
ENDDATA             11          0                                 F119800400027 
ENDSUBENT           26          0                                 F119800499999 
ENDENTRY             4          0                                 F119899999999 
