ENTRY            F0322   20210619                             F085F0322  0    1 
SUBENT        F0322001   20210619                             F085F0322  1    1 
BIB                  8         13                                 F0322  1    2 
TITLE      Gamma-ray and neutron yields from the proton           F0322  1    3 
           bombardment of boron                                   F0322  1    4 
AUTHOR     (J.K.Bair,J.D.Kington,H.B.Willard)                     F0322  1    5 
INSTITUTE  (1USAORL)                                              F0322  1    6 
REFERENCE  (J,PR,100,21,1955)                                     F0322  1    7 
FACILITY   (VDG,1USAORL)                                          F0322  1    8 
SAMPLE     Thin boron targets were prepared by evaporating        F0322  1    9 
           elemental boron of natural isotopic ratio on           F0322  1   10 
           tantalum backing.                                      F0322  1   11 
DETECTOR   (NAICR) 3 x 3 in. crystal                              F0322  1   12 
HISTORY    (19850924C)                                            F0322  1   13 
           (19990409U) CNPD: corrected 4-dig. year                F0322  1   14 
           (20210619A) SD: Corrections in all Subents.            F0322  1   15 
ENDBIB              13          0                                 F0322  1   16 
NOCOMMON             0          0                                 F0322  1   17 
ENDSUBENT           16          0                                 F0322  199999 
SUBENT        F0322002   20210619                             F085F0322  2    1 
BIB                  3          7                                 F0322  2    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0322  2    3 
            Counts per unit charge                                F0322  2    4 
STATUS     (CURVE) Fig 3 from Phys.Rev.,100(1955)21               F0322  2    5 
HISTORY    (20210619A) SD: SF9=EXP deleted from REACTION code.    F0322  2    6 
           EN-SEC, ERR-ANALYS deleted. STATUS updated.            F0322  2    7 
           EN-ERR -> EN-ERR-DIG; DATA-ERR -> ERR-DIG. Accuracy    F0322  2    8 
           of digitized data presentation revised.                F0322  2    9 
ENDBIB               7          0                                 F0322  2   10 
COMMON               2          3                                 F0322  2   11 
EN-ERR-DIG ERR-DIG                                                F0322  2   12 
MEV        ARB-UNITS                                              F0322  2   13 
         0.       4.43      2.893       11.6                      F0322  2  139 
         0.       4.43      2.911       15.0                      F0322  2  140 
         0.       4.43      2.945       13.2                      F0322  2  141 
         0.       4.43      2.963       16.6                      F0322  2  142 
         0.       4.43      2.997       18.2                      F0322  2  143 
         0.       4.43      3.015       21.6                      F0322  2  144 
         0.       4.43      3.050       25.0                      F0322  2  145 
         0.       4.43      3.086       33.4                      F0322  2  146 
         0.       4.43      3.122       40.2                      F0322  2  147 
         0.       4.43      3.141       50.4                      F0322  2  148 
         0.       4.43      3.161       60.7                      F0322  2  149 
         0.       4.43      3.209       45.2                      F0322  2  150 
         0.       4.43      3.240       31.4                      F0322  2  151 
         0.       4.43      3.272       22.8                      F0322  2  152 
         0.       4.43      3.289       17.6                      F0322  2  153 
         0.       4.43      3.323       19.3                      F0322  2  154 
         0.       4.43      3.376       26.0                      F0322  2  155 
         0.       4.43      3.428       29.3                      F0322  2  156 
         0.       4.43      3.464       37.8                      F0322  2  157 
         0.       4.43      3.517       46.2                      F0322  2  158 
         0.       4.43      3.569       47.8                      F0322  2  159 
         0.       4.43      3.604       49.4                      F0322  2  160 
         0.       4.43      3.655       51.0                      F0322  2  161 
         0.       4.43      3.707       54.4                      F0322  2  162 
         0.       4.43      3.758       49.1                      F0322  2  163 
         0.       4.43      3.808       45.6                      F0322  2  164 
         0.       4.43      3.824       38.7                      F0322  2  165 
         0.       4.43      3.858       36.9                      F0322  2  166 
         0.       4.43      3.892       36.8                      F0322  2  167 
         0.       4.43      3.908       33.4                      F0322  2  168 
         0.       4.43      3.943       35.0                      F0322  2  169 
         0.       4.43      3.960       33.3                      F0322  2  170 
         0.       4.43      3.994       33.2                      F0322  2  171 
         0.       4.43      4.010       28.0                      F0322  2  172 
         0.       4.43      4.062       31.3                      F0322  2  173 
         0.       4.43      4.080       33.0                      F0322  2  174 
         0.       4.43      4.096       27.9                      F0322  2  175 
         0.       4.43      4.130       26.1                      F0322  2  176 
         0.       4.43      4.164       26.0                      F0322  2  177 
         0.       4.43      4.199       29.3                      F0322  2  178 
         0.       4.43      4.216       29.3                      F0322  2  179 
         0.       4.43      4.233       27.6                      F0322  2  180 
         0.       4.43      4.268       30.9                      F0322  2  181 
         0.       4.43      4.284       25.7                      F0322  2  182 
         0.       4.43      4.319       29.1                      F0322  2  183 
         0.       4.43      4.352       27.3                      F0322  2  184 
         0.       4.43      4.386       25.5                      F0322  2  185 
         0.       4.43      4.403       23.8                      F0322  2  186 
         0.       4.43      4.455       27.1                      F0322  2  187 
         0.       4.43      4.472       23.6                      F0322  2  188 
         0.       4.43      4.523       25.2                      F0322  2  189 
