     9.31     167.6      485.7                                    F019800300066 
    10.13      26.02    1696.                                     F019800300067 
    10.13      30.74     459.2                                    F019800300068 
    10.13      36.56     189.9                                    F019800300069 
    10.13      42.25      82.79                                   F019800300070 
    10.13      48.38      52.73                                   F019800300071 
    10.13      54.33      21.8                                    F019800300072 
    10.13      57.78      14.12                                   F019800300073 
    10.13      59.95       3.742                                  F019800300074 
    10.13      65.94      11.45                                   F019800300075 
    10.13      71.81      41.05                                   F019800300076 
    10.13      77.77      80.28                                   F019800300077 
    10.13      82.49     112.6                                    F019800300078 
    10.13      88.25     118.3                                    F019800300079 
    10.13      93.86      88.34                                   F019800300080 
    10.13      98.64      55.88                                   F019800300081 
    10.13     103.5       23.47                                   F019800300082 
    10.13     108.4       14.3                                    F019800300083 
    10.13     110.9        1.596                                  F019800300084 
    10.13     113.        14.92                                   F019800300085 
    10.13     117.8       47.79                                   F019800300086 
    10.13     122.8      105.6                                    F019800300087 
    10.13     126.7      157.4                                    F019800300088 
    10.13     131.2      175.8                                    F019800300089 
    10.13     135.7      151.8                                    F019800300090 
    10.13     139.9      117.                                     F019800300091 
    10.13     144.4       74.57                                   F019800300092 
    10.13     148.        28.84                                   F019800300093 
    10.13     152.4       10.18                                   F019800300094 
    10.13     156.6       26.39                                   F019800300095 
    10.13     160.1       81.46                                   F019800300096 
    10.13     164.       147.9                                    F019800300097 
    10.13     167.4      236.1                                    F019800300098 
ENDDATA             91          0                                 F019800300099 
ENDSUBENT           98          0                                 F019800399999 
SUBENT        F0198004   19990412                             0000F019800400001 
BIB                  2          2                                 F019800400002 
REACTION   (6-C-12(A,EL)6-C-12,,DA,,,EXP)                         F019800400003 
STATUS     (CURVE) fig.1                                          F019800400004 
ENDBIB               2          0                                 F019800400005 
NOCOMMON             0          0                                 F019800400006 
DATA                 3         94                                 F019800400007 
EN         ANG-CM     DATA-CM                                     F019800400008 
MEV        ADEG       MB/SR                                       F019800400009 
     8.76      18.97    4165.                                     F019800400010 
     8.76      24.7     1334.                                     F019800400011 
     8.76      30.82     476.2                                    F019800400012 
     8.76      37.41      92.15                                   F019800400013 
     8.76      43.32      17.83                                   F019800400014 
     8.76      50.29      67.2                                    F019800400015 
     8.76      55.98     136.2                                    F019800400016 
     8.76      61.58     180.2                                    F019800400017 
     8.76      68.       196.4                                    F019800400018 
     8.76      73.78     164.5                                    F019800400019 
     8.76      79.97     116.2                                    F019800400020 
     8.76      85.22      85.92                                   F019800400021 
     8.76      90.52      37.81                                   F019800400022 
     8.76      96.29       7.906                                  F019800400023 
     8.76     102.3        1.603                                  F019800400024 
     8.76     107.1       11.58                                   F019800400025 
     8.76     111.8       28.04                                   F019800400026 
     8.76     116.7       49.04                                   F019800400027 
     8.76     121.3       69.02                                   F019800400028 
     8.76     125.9       87.83                                   F019800400029 
     8.76     130.5       86.54                                   F019800400030 
     8.76     134.9       79.52                                   F019800400031 
     8.76     138.9       62.09                                   F019800400032 
     8.76     143.1       43.5                                    F019800400033 
     8.76     147.        20.05                                   F019800400034 
     8.76     150.         5.206                                  F019800400035 
     8.76     153.5        1.063                                  F019800400036 
     8.76     157.3        5.013                                  F019800400037 
     8.76     161.3       24.77                                   F019800400038 
     8.76     164.4       42.64                                   F019800400039 
     8.76     168.4       70.62                                   F019800400040 
     9.33      11.87   0.1517E+05                                 F019800400041 
     9.33      18.28    3402.                                     F019800400042 
     9.33      24.93    1281.                                     F019800400043 
     9.33      31.61     352.1                                    F019800400044 
     9.33      37.83      34.63                                   F019800400045 
     9.33      43.92      29.73                                   F019800400046 
     9.33      51.23      62.8                                    F019800400047 
     9.33      57.11      91.29                                   F019800400048 
     9.33      69.27      77.72                                   F019800400049 
     9.33      74.49      61.8                                    F019800400050 
     9.33      80.76      42.18                                   F019800400051 
     9.33      86.43      28.78                                   F019800400052 
     9.33      91.03      27.13                                   F019800400053 
     9.33      97.57      22.89                                   F019800400054 
     9.33     102.7       25.14                                   F019800400055 
     9.33     108.1       27.38                                   F019800400056 
     9.33     113.1       31.91                                   F019800400057 
     9.33     117.5       56.39                                   F019800400058 
     9.33     122.7       78.56                                   F019800400059 
     9.33     126.8      122.2                                    F019800400060 
     9.33     130.8      136.5                                    F019800400061 
     9.33     135.7      142.5                                    F019800400062 
     9.33     139.7      106.7                                    F019800400063 
     9.33     143.6       84.88                                   F019800400064 
     9.33     146.6       48.86                                   F019800400065 
     9.33     150.9       22.94                                   F019800400066 
     9.33     154.6       20.03                                   F019800400067 
     9.33     157.6       48.47                                   F019800400068 
     9.33     161.5       97.31                                   F019800400069 
     9.33     164.9      146.3                                    F019800400070 
     9.33     168.6      263.                                     F019800400071 
    10.14      19.19    4401.                                     F019800400072 
    10.14      25.29    1048.                                     F019800400073 
    10.14      31.87      31.36                                   F019800400074 
    10.14      38.26     175.6                                    F019800400075 
    10.14      44.82     400.6                                    F019800400076 
    10.14      51.14     372.4                                    F019800400077 
    10.14      57.48     204.5                                    F019800400078 
    10.14      63.44      51.03                                   F019800400079 
    10.14      69.72       3.496                                  F019800400080 
    10.14      75.18      16.01                                   F019800400081 
    10.14      81.35      19.37                                   F019800400082 
    10.14      87.44       6.897                                  F019800400083 
    10.14      92.29       5.583                                  F019800400084 
    10.14      97.2       31.28                                   F019800400085 
    10.14     103.5       51.16                                   F019800400086 
    10.14     108.2       57.77                                   F019800400087 
    10.14     113.5       42.6                                    F019800400088 
    10.14     117.8       12.81                                   F019800400089 
    10.14     122.7        1.187                                  F019800400090 
    10.14     126.9       12.08                                   F019800400091 
    10.14     130.7       54.51                                   F019800400092 
    10.14     135.9       88.53                                   F019800400093 
    10.14     139.6      123.2                                    F019800400094 
    10.14     143.7      140.3                                    F019800400095 
    10.14     147.       113.6                                    F019800400096 
    10.14     150.5       72.97                                   F019800400097 
    10.14     154.9       36.                                     F019800400098 
    10.14     157.9       11.61                                   F019800400099 
    10.14     162.1        1.7                                    F019800400100 
    10.14     164.7       15.77                                   F019800400101 
    10.14     165.8       31.39                                   F019800400102 
    10.14     168.3       59.58                                   F019800400103 
ENDDATA             96          0                                 F019800400104 
ENDSUBENT          103          0                                 F019800499999 
ENDENTRY             4          0                                 F019899999999 
