EN         ANG-CM     DATA-CM    DATA-ERR1                        F029400200016 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        F029400200017 
     7.413      7.468      0.0744                                 F029400300071 
     7.492      7.842      0.0744     1.                          F029400300072 
     7.496      6.906      0.0744     1.                          F029400300073 
     7.497      7.976      0.0744                                 F029400300074 
     7.534      5.554      0.0744     1.                          F029400300075 
     7.578      4.602      0.0744     1.                          F029400300076 
     7.641      4.448      0.0744     1.                          F029400300077 
     7.692      4.833      0.0744     1.                          F029400300078 
     7.742      5.218      0.0744     1.                          F029400300079 
     7.791      5.336      0.0744     1.                          F029400300080 
ENDDATA             63          0                                 F029400300081 
ENDSUBENT           80          0                                 F029400399999 
SUBENT        F0294004   20080702                             F032F029400400001 
BIB                  5          8                                 F029400400002 
REACTION   (5-B-11(P,INL)5-B-11,PAR,SIG,,,EXP)                    F029400400003 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   F029400400004 
           (DATA-ERR1)  Digitizing error and from graphic         F029400400005 
           bars (statistical)                                     F029400400006 
FLAG       (1.) Cross section in the energy region where only     F029400400007 
            four-point angular distribution                       F029400400008 
STATUS     (CURVE) Fig 6,8                                        F029400400009 
EN-SEC     (E-LVL,5-B-11)                                         F029400400010 
ENDBIB               8          0                                 F029400400011 
COMMON               1          3                                 F029400400012 
EN-ERR-DIG                                                        F029400400013 
MEV                                                               F029400400014 
 0.015                                                            F029400400015 
ENDCOMMON            3          0                                 F029400400016 
DATA                 5        105                                 F029400400017 
EN         E-LVL      DATA       DATA-ERR1  FLAG                  F029400400018 
MEV        MEV        MB         MB         NO-DIM                F029400400019 
     3.714      2.125     22.49       1.479      1.               F029400400020 
     3.795      2.125     21.3        1.479      1.               F029400400021 
     3.894      2.125     11.01       1.479      1.               F029400400022 
     3.991      2.125     13.76       1.479      1.               F029400400023 
     4.102      2.125     21.75       1.479      1.               F029400400024 
     4.197      2.125     32.32       1.479      1.               F029400400025 
     4.308      2.125     40.31       1.479      1.               F029400400026 
     4.405      2.125     43.06       1.479      1.               F029400400027 
     4.502      2.125     43.21       1.479                       F029400400028 
     4.518      2.125     44.53       1.479      1.               F029400400029 
     4.596      2.125     55.09       1.479      1.               F029400400030 
     4.613      2.125     53.81       1.479                       F029400400031 
     4.708      2.125     61.77       1.479                       F029400400032 
     4.708      2.125     60.47       1.479      1.               F029400400033 
     4.805      2.125     63.22       1.479                       F029400400034 
     4.821      2.125     60.63       1.479      1.               F029400400035 
     4.853      2.125     65.9        1.479                       F029400400036 
     4.899      2.125     73.79       1.479                       F029400400037 
     4.915      2.125     77.73       1.479      1.               F029400400038 
     4.959      2.125     96.06       1.479                       F029400400039 
     5.004      2.125    111.8        2.609                       F029400400040 
     5.005      2.125    109.2        5.218                       F029400400041 
     5.049      2.125    130.1        3.913                       F029400400042 
     5.093      2.125    149.8        6.522                       F029400400043 
     5.145      2.125    131.6        2.609                       F029400400044 
     5.203      2.125     92.5        1.479                       F029400400045 
     5.287      2.125     75.66       1.479                       F029400400046 
     5.371      2.125     62.74       1.479                       F029400400047 
     5.471      2.125     48.53       1.479                       F029400400048 
     5.57       2.125     40.85       1.479                       F029400400049 
     5.572      4.445     34.39       1.462                       F029400400050 
     5.681      4.445     34.14       1.462                       F029400400051 
     5.683      2.125     43.62       1.479                       F029400400052 
     5.774      4.445     32.65       1.462                       F029400400053 
     5.778      2.125     50.28       1.479                       F029400400054 
     5.873      2.125     59.55       1.479                       F029400400055 
     5.883      4.445     29.84       1.462                       F029400400056 
     5.983      2.125     75.37       1.479                       F029400400057 
     5.994      4.445     35.95       1.462                       F029400400058 
     6.043      4.445     40.94       1.462                       F029400400059 
     6.047      2.125     78.07       5.194                       F029400400060 
     6.091      4.445     44.65       1.462                       F029400400061 
     6.094      2.125     84.67       1.479                       F029400400062 
     6.136      4.445     40.72       1.462                       F029400400063 
     6.145      2.125     73.         1.479                       F029400400064 
     6.199      4.445     39.3        1.462                       F029400400065 
     6.211      2.125     67.87       1.479                       F029400400066 
     6.292      2.125     67.99       1.479                       F029400400067 
     6.31       4.445     44.14       1.462                       F029400400068 
     6.37       5.021     23.18       0.7315                      F029400400069 
     6.389      4.445     46.5        1.462                       F029400400070 
     6.406      2.125     64.24       1.479                       F029400400071 
     6.484      4.445     52.65       1.462                       F029400400072 
     6.485      5.021     30.62       0.7315                      F029400400073 
     6.503      2.125     66.99       1.479                       F029400400074 
     6.579      4.445     56.25       1.462                       F029400400075 
     6.579      5.021     31.15       1.892                       F029400400076 
     6.584      2.125     64.5        1.479                       F029400400077 
     6.676      5.021     36.09       1.261                       F029400400078 
     6.682      2.125     62.03       1.479                       F029400400079 
     6.689      4.445     58.54       1.462                       F029400400080 
     6.77       5.021     35.98       0.7315                      F029400400081 
     6.784      4.445     60.87       2.546                       F029400400082 
     6.794      2.125     64.81       1.479                       F029400400083 
     6.879      5.021     35.86       0.7315                      F029400400084 
     6.88       4.445     68.28       1.462                       F029400400085 
     6.892      2.125     63.65       1.479                       F029400400086 
     6.979      5.021     44.58       1.892                       F029400400087 
     6.988      2.125     65.09       1.479                       F029400400088 
     6.996      4.445     87.12       2.618                       F029400400089 
     7.076      5.021     50.15       1.892                       F029400400090 
     7.085      2.125     66.54       1.479                       F029400400091 
     7.093      4.445     94.54       2.509                       F029400400092 
     7.159      5.021     57.         1.892                       F029400400093 
     7.182      2.125     65.37       1.479                       F029400400094 
     7.182      4.445     82.87       1.462                       F029400400095 
     7.197      4.445     81.56       1.462      1.               F029400400096 
     7.279      2.125     65.51       1.479                       F029400400097 
     7.28       5.021     51.18       1.279                       F029400400098 
     7.301      4.445     64.76       1.462                       F029400400099 
     7.376      4.445     56.94       1.462                       F029400400100 
     7.383      5.021     42.23       0.7315                      F029400400101 
     7.393      2.125     65.68       3.937                       F029400400102 
     7.475      5.021     38.97       1.892                       F029400400103 
     7.491      4.445     71.96       1.462      1.               F029400400104 
     7.504      4.445     66.83       1.462                       F029400400105 
     7.504      5.021     37.04       0.7315     1.               F029400400106 
     7.522      2.125     65.87       1.479                       F029400400107 
     7.542      4.445     83.3        1.462      1.               F029400400108 
     7.55       5.021     35.09       0.7315     1.               F029400400109 
     7.59       4.445     87.01       1.462      1.               F029400400110 
     7.645      4.445    111.1        1.462      1.               F029400400111 
     7.681      5.021     43.78       0.7315     1.               F029400400112 
     7.696      4.445    122.4        1.462      1.               F029400400113 
     7.728      5.021     44.36       0.7315     1.               F029400400114 
     7.769      5.021     36.11       0.7315     1.               F029400400115 
     7.775      4.445     81.49       1.462      1.               F029400400116 
     7.812      5.021     30.38       0.7315     1.               F029400400117 
     7.832      4.445     64.79       1.462      1.               F029400400118 
     7.876      5.021     32.2        0.7315     1.               F029400400119 
     7.896      4.445     69.74       1.462      1.               F029400400120 
     7.926      5.021     36.56       0.7315     1.               F029400400121 
     7.942      4.445     68.36       1.462      1.               F029400400122 
     7.977      5.021     43.44       0.7315     1.               F029400400123 
     7.992      4.445     77.16       1.462      1.               F029400400124 
ENDDATA            107          0                                 F029400400125 
ENDSUBENT          124          0                                 F029400499999 
ENDENTRY             4          0                                 F029499999999 
