ENTRY            F0224   19990409                             0000F022400000001 
SUBENT        F0224001   19990409                             0000F022400100001 
BIB                  9         14                                 F022400100002 
TITLE      The 10B(p,alpha)7Be reaction between 2 and 11 MeV      F022400100003 
AUTHOR     (J.G.JENKIN,L.G.EARWAKER,E.W.TITTERTON)                F022400100004 
INSTITUTE  (3AULCBR)                                              F022400100005 
REFERENCE  (J,NP,50,516,196401)                                   F022400100006 
SAMPLE     A 100 mu-g/cm**2 self-supporting boron target,         F022400100007 
           containing 89% 10B AND 8% 11B. The thickness of 10B in F022400100008 
           the target is 77 +- 15 mu-g/cm**2                      F022400100009 
FACILITY   (VDGT)                                                 F022400100010 
DETECTOR   (SOLST) 4.5*4.5 mm, 300 omega*cm gold-silicon surface  F022400100011 
           barrier                                                F022400100012 
ERR-ANALYS (DATA-ERR) Digitizing error. Statistical errors are of F022400100013 
           the order of the size of the points.                   F022400100014 
HISTORY    (19850214C)                                            F022400100015 
           (19990409A) CNPD: corrected 4-dig. year                F022400100016 
ENDBIB              14          0                                 F022400100017 
NOCOMMON             0          0                                 F022400100018 
ENDSUBENT           17          0                                 F022400199999 
SUBENT        F0224002   19990409                             0000F022400200001 
BIB                  4          4                                 F022400200002 
REACTION   (5-B-10(P,A)4-BE-7,PAR,DA,,,EXP)                       F022400200003 
ERR-ANALYS (EN-ERR) Digitizing error                              F022400200004 
STATUS     (CURVE) fig 2                                          F022400200005 
EN-SEC     (E-LVL,4-BE-7)                                         F022400200006 
ENDBIB               4          0                                 F022400200007 
COMMON               2          3                                 F022400200008 
EN-ERR     DATA-ERR                                               F022400200009 
MEV        MB/SR                                                  F022400200010 
     3.765      0.        90.         4.303                       F022400200147 
     3.766      0.429     90.         1.363                       F022400200148 
     3.768      0.429     50.         2.874                       F022400200149 
     3.814      0.        50.         6.007                       F022400200150 
     3.815      0.        90.         4.771                       F022400200151 
     3.819      0.429     50.         2.678                       F022400200152 
     3.825      0.429     90.         1.512                       F022400200153 
     3.864      0.        90.         5.19                        F022400200154 
     3.875      0.429     90.         1.884                       F022400200155 
     3.876      0.        50.         7.364                       F022400200156 
     3.877      0.429     50.         2.555                       F022400200157 
     3.904      0.429     90.         1.86                        F022400200158 
     3.921      0.429     50.         2.555                       F022400200159 
     3.925      0.        50.         8.08                        F022400200160 
     3.928      0.        90.         5.806                       F022400200161 
     3.969      0.429     90.         2.182                       F022400200162 
     3.97       0.        90.         6.25                        F022400200163 
     3.972      0.429     50.         2.531                       F022400200164 
     3.974      0.        50.         8.697                       F022400200165 
     4.022      0.        50.         9.955                       F022400200166 
     4.023      0.429     50.         2.482                       F022400200167 
     4.027      0.        90.         6.817                       F022400200168 
     4.066      0.429     50.         2.483                       F022400200169 
     4.068      0.        90.         7.63                        F022400200170 
     4.078      0.        50.        10.65                        F022400200171 
     4.078      0.429     90.         2.901                       F022400200172 
     4.114      0.429     90.         3.1                         F022400200173 
     4.126      0.        90.         7.902                       F022400200174 
     4.131      0.429     50.         2.754                       F022400200175 
     4.132      0.        50.        12.35                        F022400200176 
     4.137      0.429     50.         3.198                       F022400200177 
     4.171      0.429     90.         3.793                       F022400200178 
     4.172      0.429     50.         3.469                       F022400200179 
     4.173      0.        90.         8.961                       F022400200180 
     4.179      0.        50.        14.08                        F022400200181 
     4.22       0.        90.        10.49                        F022400200182 
     4.227      0.        50.        15.48                        F022400200183 
     4.229      0.429     50.         4.011                       F022400200184 
     4.243      0.429     90.         4.735                       F022400200185 
     4.277      0.        90.        10.88                        F022400200186 
     4.278      0.429     50.         4.726                       F022400200187 
     4.279      0.429     90.         4.909                       F022400200188 
     4.282      0.        50.        16.74                        F022400200189 
     4.328      0.429     50.         4.972                       F022400200190 
     4.331      0.        50.        17.38                        F022400200191 
     4.334      0.        90.        11.45                        F022400200192 
     4.371      0.429     50.         5.268                       F022400200193 
     4.381      0.        50.        17.7                         F022400200194 
     4.381      0.429     90.         4.662                       F022400200195 
     4.385      0.        90.        11.08                        F022400200196 
     4.415      0.        90.        10.66                        F022400200197 
     4.42       0.        50.        16.54                        F022400200198 
     4.423      0.429     50.         4.801                       F022400200199 
     4.432      0.429     90.         4.589                       F022400200200 
     4.475      0.        90.        10.1                         F022400200201 
     4.481      0.        50.        15.34                        F022400200202 
     4.481      0.429     50.         4.58                        F022400200203 
     4.484      0.429     90.         4.268                       F022400200204 
     4.525      0.429     50.         4.408                       F022400200205 
     4.535      0.429     90.         4.219                       F022400200206 
     4.542      0.        90.         9.334                       F022400200207 
     4.547      0.        50.        14.77                        F022400200208 
     4.584      0.429     50.         4.236                       F022400200209 
     4.585      0.        50.        14.01                        F022400200210 
     4.586      0.429     90.         4.046                       F022400200211 
