ENTRY            F0984   20090205                             F035F098400000001 
SUBENT        F0984001   20090205                             F035F098400100001 
BIB                 10         18                                 F098400100002 
TITLE      The 23Na(d,a)21Ne reaction for deuteron energies of    F098400100003 
           2.3-4.0 MeV.                                           F098400100004 
AUTHOR     (G.Ya.Vysotskij,I.I.Zalyubovskij,B.M.Zabegaj,          F098400100005 
           A.V.Kuznichenko,A.P.Lobkovskij,A.A.Melenevskij,        F098400100006 
           O.F.Nemets,V.N.Nemykin)                                F098400100007 
INSTITUTE  (4UKRKHU,4UKRIFU)                                      F098400100008 
REFERENCE  (J,IZV,34,1761,1970)                                   F098400100009 
           (J,BAS,34,1566,1971)                                   F098400100010 
FACILITY   (VDG,4UKRIFU)                                          F098400100011 
DETECTOR   (SIBAR)  Two silicon surface barrier detectors         F098400100012 
           with the energy resolution for alpha particles no worseF098400100013 
           than 20 keV in the working area of 5-10 MeV were used. F098400100014 
METHOD     (BCINT)                                                F098400100015 
SAMPLE     A layer of NaBr (~ 200 mu-g/cm2 thick) evaporated on   F098400100016 
           a thin coal backing (30 mu-g/cm2) was used as a target.F098400100017 
ERR-ANALYS (ERR-DIG)    Data digitizing error                     F098400100018 
           (DATA-ERR)   Error from the graphic bars               F098400100019 
HISTORY    (20090205C)                                            F098400100020 
ENDBIB              18          0                                 F098400100021 
NOCOMMON             0          0                                 F098400100022 
ENDSUBENT           21          0                                 F098400199999 
SUBENT        F0984002   20090205                             F035F098400200001 
BIB                  3          3                                 F098400200002 
REACTION   (11-NA-23(D,A)10-NE-21,PAR,DA)                         F098400200003 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   F098400200004 
STATUS     (CURVE) Fig.2                                          F098400200005 
ENDBIB               3          0                                 F098400200006 
COMMON               2          3                                 F098400200007 
EN-ERR-DIG ERR-DIG                                                F098400200008 
MEV        MB/SR                                                  F098400200009 
 0.005      0.006                                                 F098400200010 
ENDCOMMON            3          0                                 F098400200011 
DATA                 5        441                                 F098400200012 
E-LVL      ANG        EN         DATA       DATA-ERR              F098400200013 
         0.        40.     3.9578     0.4229   7.38E-02           F098400200048 
         0.        40.     4.0012     0.4725   6.36E-02           F098400200049 
         0.        90.     2.8461 7.1500E-02   8.00E-02           F098400200050 
         0.        90.     2.9002     0.2394   5.82E-02           F098400200051 
         0.        90.     2.9477     0.1599   6.55E-02           F098400200052 
         0.        90.     3.0017      0.386   7.27E-02           F098400200053 
         0.        90.     3.0557     0.5612   8.00E-02           F098400200054 
         0.        90.     3.1032     0.5253   8.73E-02           F098400200055 
         0.        90.     3.1578     0.5187   7.27E-02           F098400200056 
         0.        90.     3.2056     0.3229   8.73E-02           F098400200057 
         0.        90.     3.2497     0.1997   7.27E-02           F098400200058 
         0.        90.     3.3006     0.1858   7.25E-02           F098400200059 
         0.        90.     3.3514     0.2372   8.00E-02           F098400200060 
         0.        90.     3.3993 3.4100E-02   6.54E-02           F098400200061 
         0.        90.     3.4535     0.1657   6.55E-02           F098400200062 
         0.        90.     3.5112     0.3627   7.26E-02           F098400200063 
         0.        90.     3.5619     0.4506   8.00E-02           F098400200064 
         0.        90.     3.6095     0.3493   8.73E-02           F098400200065 
         0.        90.     3.6605     0.3208   9.45E-02           F098400200066 
         0.        90.     3.7078     0.3213   8.01E-02           F098400200067 
         0.        90.     3.7588     0.3146   8.73E-02           F098400200068 
         0.        90.      3.813      0.468   8.72E-02           F098400200069 
         0.        90.     3.8703     0.7595   8.00E-02           F098400200070 
         0.        90.     3.9179     0.6873   8.02E-02           F098400200071 
         0.        90.     3.9627      0.266   8.01E-02           F098400200072 
         0.        90.     4.0131      0.463   7.27E-02           F098400200073 
         0.       140.     2.3155     0.3176   4.91E-02           F098400200074 
         0.       140.     2.3701     0.3289   5.45E-02           F098400200075 
         0.       140.     2.4174     0.3238   5.46E-02           F098400200076 
         0.       140.     2.4716     0.4279   4.36E-02           F098400200077 
         0.       140.     2.5228     0.3519   4.91E-02           F098400200078 
         0.       140.     2.5668     0.2759   6.00E-02           F098400200079 
         0.       140.     2.6177     0.2817   4.91E-02           F098400200080 
         0.       140.     2.6654     0.1675   4.35E-02           F098400200081 
         0.       140.     2.7198     0.2279   3.82E-02           F098400200082 
         0.       140.     2.7741     0.3102   4.36E-02           F098400200083 
         0.       140.     2.9231     0.3659   4.38E-02           F098400200084 
         0.       140.     3.0285     0.3994   4.91E-02           F098400200085 
         0.       140.       3.17      0.526   3.27E-02           F098400200086 
         0.       140.      3.228     0.5864   4.36E-02           F098400200087 
         0.       140.     3.2788     0.6414   4.37E-02           F098400200088 
         0.       140.     3.3263     0.5654   4.92E-02           F098400200089 
         0.       140.     3.3773     0.5548   4.91E-02           F098400200090 
         0.       140.     3.4281     0.5934   4.93E-02           F098400200091 
         0.       140.     3.4829     0.5284   4.91E-02           F098400200092 
         0.       140.     3.5232     0.4578   4.94E-02           F098400200093 
         0.       140.     3.5744     0.3818   3.82E-02           F098400200094 
         0.       140.     3.6253     0.3986   4.93E-02           F098400200095 
         0.       140.     3.6796     0.4808   5.45E-02           F098400200096 
         0.       140.     3.7269     0.4866   4.91E-02           F098400200097 
         0.       140.     3.7739     0.5743   4.36E-02           F098400200098 
         0.       140.     3.8245     0.6838   3.82E-02           F098400200099 
         0.       140.     3.8798     0.4606   4.93E-02           F098400200100 
         0.       140.      3.924       0.33   4.91E-02           F098400200101 
         0.       140.     3.9714     0.2976   3.81E-02           F098400200102 
         0.       140.     4.0258     0.3417   4.92E-02           F098400200103 
         0.       160.     2.5202     0.2803   3.96E-02           F098400200104 
         0.       160.     2.8728     0.3964   4.53E-02           F098400200105 
         0.       160.     2.9239     0.3346   4.54E-02           F098400200106 
         0.       160.     2.9714     0.2727   4.51E-02           F098400200107 
         0.       160.      3.026     0.2731   4.53E-02           F098400200108 
         0.       160.     3.0767     0.3415   4.52E-02           F098400200109 
         0.       160.     3.1276     0.3589   4.54E-02           F098400200110 
         0.       160.     3.1749     0.3706   3.96E-02           F098400200111 
         0.       160.     3.2259      0.354   4.53E-02           F098400200112 
         0.       160.     3.2769     0.3431   5.09E-02           F098400200113 
         0.       160.     3.3279     0.3266   5.07E-02           F098400200114 
         0.       160.      3.382     0.4742   5.08E-02           F098400200115 
         0.       160.     3.4258     0.4236   5.09E-02           F098400200116 
         0.       160.     3.4835     0.5769   4.53E-02           F098400200117 
         0.       160.     3.5346     0.5264   5.09E-02           F098400200118 
         0.       160.      3.582     0.5041   5.07E-02           F098400200119 
         0.       160.     3.6328     0.5442   4.53E-02           F098400200120 
         0.       160.     3.6836     0.5955   3.96E-02           F098400200121 
         0.       160.     3.7309     0.5959   5.08E-02           F098400200122 
         0.       160.     3.7819     0.5737   4.51E-02           F098400200123 
         0.       160.     3.8398     0.6647   5.66E-02           F098400200124 
         0.       160.     3.8834     0.6877   6.23E-02           F098400200125 
         0.       160.     3.9317     0.4051   4.53E-02           F098400200126 
         0.       160.     3.9825     0.4565   3.96E-02           F098400200127 
         0.       160.     4.0298     0.4569   4.52E-02           F098400200128 
         0.       170.     2.3306     0.1965   5.24E-02           F098400200129 
         0.       170.     2.3814     0.2207   3.81E-02           F098400200130 
         0.       170.     2.4323     0.2259   3.33E-02           F098400200131 
         0.       170.     2.4797     0.2215   4.29E-02           F098400200132 
         0.       170.     2.5339     0.3029   3.81E-02           F098400200133 
         0.       170.     2.5777     0.2747   3.84E-02           F098400200134 
         0.       170.     2.6286     0.2894   3.31E-02           F098400200135 
         0.       170.     2.6794     0.3088   4.29E-02           F098400200136 
         0.       170.       2.73     0.3949   3.81E-02           F098400200137 
         0.       170.     2.7808     0.4191   3.85E-02           F098400200138 
         0.       170.      2.832     0.3671   4.28E-02           F098400200139 
         0.       170.     2.8792     0.3913   3.82E-02           F098400200140 
         0.       170.     2.9235     0.2488   3.81E-02           F098400200141 
         0.       170.     2.9743     0.2921   3.83E-02           F098400200142 
         0.       170.     3.0289     0.2782   3.82E-02           F098400200143 
         0.       170.     3.0802     0.1977   4.76E-02           F098400200144 
         0.       170.      3.131     0.2505   4.29E-02           F098400200145 
         0.       170.     3.1783     0.2365   4.27E-02           F098400200146 
         0.       170.     3.2258     0.1941   3.81E-02           F098400200147 
         0.       170.     3.2769     0.1754   4.29E-02           F098400200148 
         0.       170.     3.3279     0.1568   3.82E-02           F098400200149 
         0.       170.     3.3711     0.2571   4.27E-02           F098400200150 
         0.       170.     3.4216     0.3623   4.29E-02           F098400200151 
         0.       170.     3.4755     0.5103   3.81E-02           F098400200152 
         0.       170.     3.5264     0.5059   4.26E-02           F098400200153 
         0.       170.     3.5738     0.4968   4.28E-02           F098400200154 
         0.       170.     3.6281     0.5496   4.29E-02           F098400200155 
         0.       170.     3.6787     0.6405   6.19E-02           F098400200156 
         0.       170.     3.7303      0.498   3.81E-02           F098400200157 
         0.       170.     3.7847     0.5365   4.76E-02           F098400200158 
         0.       170.     3.8316     0.6179   4.75E-02           F098400200159 
         0.       170.     3.8829     0.5516   4.29E-02           F098400200160 
         0.       170.     3.9305      0.471   3.81E-02           F098400200161 
         0.       170.     3.9816     0.4429   4.29E-02           F098400200162 
         0.       170.     4.0256     0.3861   5.71E-02           F098400200163 
      0.351        40.     2.3025     0.7911   8.65E-02           F098400200164 
      0.351        40.     2.3501     0.5896   7.69E-02           F098400200165 
      0.351        40.     2.4053     0.6093   8.65E-02           F098400200166 
      0.351        40.     2.4486     0.6578   9.62E-02           F098400200167 
      0.351        40.     2.4999     0.6101   8.65E-02           F098400200168 
      0.351        40.     2.5551     0.6202   9.61E-02           F098400200169 
      0.351        40.     2.5985      0.611   7.69E-02           F098400200170 
      0.351        40.     2.6495     0.7749   9.62E-02           F098400200171 
      0.351        40.     2.7005     0.9868   9.63E-02           F098400200172 
      0.351        40.     2.7516     1.0738   8.65E-02           F098400200173 
      0.351        40.     2.8028     1.1608     0.1154           F098400200174 
      0.351        40.      2.854      1.142   8.64E-02           F098400200175 
      0.351        40.     2.9015      1.027   9.62E-02           F098400200176 
      0.351        40.     2.9528     1.0178   9.63E-02           F098400200177 
      0.351        40.     3.0001      0.999   9.61E-02           F098400200178 
      0.351        40.     3.0552     1.0956   9.62E-02           F098400200179 
      0.351        40.     3.1022     1.3172   8.65E-02           F098400200180 
      0.351        40.     3.1532     1.5003   9.62E-02           F098400200181 
      0.351        40.     3.2004     1.6161   8.65E-02           F098400200182 
      0.351        40.     3.2521     1.3088     0.1058           F098400200183 
      0.351        40.     3.3542     1.5789   9.62E-02           F098400200184 
      0.351        40.     3.4057     1.3871   8.65E-02           F098400200185 
      0.351        40.     3.4534     1.1471   9.64E-02           F098400200186 
      0.351        40.     3.5004     1.3398     0.1056           F098400200187 
      0.351        40.     3.5558     1.2249   9.61E-02           F098400200188 
      0.351        40.     3.6028     1.4753   8.65E-02           F098400200189 
      0.351        40.       3.65      1.543   7.69E-02           F098400200190 
      0.351        40.     3.7017     1.2165   9.64E-02           F098400200191 
      0.351        40.     3.7605     1.4766   8.65E-02           F098400200192 
      0.351        40.      3.804     1.3905   9.62E-02           F098400200193 
      0.351        40.     3.8597      1.064   8.66E-02           F098400200194 
      0.351        40.     3.9032     0.9586   8.65E-02           F098400200195 
      0.351        40.     3.9543     1.0456   8.68E-02           F098400200196 
      0.351        40.     3.9975     1.1614   8.64E-02           F098400200197 
      0.351        90.     2.8489     0.9016     0.1224           F098400200198 
      0.351        90.     2.8999     1.3514     0.1837           F098400200199 
      0.351        90.     2.9471     1.5562     0.1633           F098400200200 
      0.351        90.     3.0025     1.1286     0.1837           F098400200201 
      0.351        90.      3.054     0.8233     0.1429           F098400200202 
      0.351        90.     3.1013     0.8037     0.1631           F098400200203 
      0.351        90.     3.1488     0.4983     0.1224           F098400200204 
      0.351        90.     3.2038     0.8666     0.2041           F098400200205 
      0.351        90.     3.2587     1.3164     0.1633           F098400200206 
      0.351        90.      3.306     1.2968     0.1837           F098400200207 
      0.351        90.     3.3535     0.9914     0.1429           F098400200208 
      0.351        90.     3.4085     1.4617     0.1633           F098400200209 
      0.351        90.     3.4558     1.4828     0.1429           F098400200210 
      0.351        90.     3.5034     1.0143     0.1633           F098400200211 
      0.351        90.     3.5584     1.3621     0.1429           F098400200212 
      0.351        90.      3.606     0.9139     0.1837           F098400200213 
      0.351        90.     3.6533     0.9147     0.1224           F098400200214 
      0.351        90.     3.7085     0.8543     0.1633           F098400200215 
      0.351        90.     3.7557     1.0388     0.1429           F098400200216 
      0.351        90.     3.8107     1.3866     0.1633           F098400200217 
      0.351        90.     3.8622     1.1017     0.1633           F098400200218 
      0.351        90.     3.9055     1.1024     0.1633           F098400200219 
      0.351        90.     3.9569     0.9604     0.1429           F098400200220 
      0.351        90.     4.0043     0.8183     0.1428           F098400200221 
      0.351       140.     2.3032     0.9566       0.12           F098400200222 
      0.351       140.     2.3584     1.0105   9.33E-02           F098400200223 
      0.351       140.     2.4095      1.131       0.14           F098400200224 
      0.351       140.     2.4609     1.0249       0.11           F098400200225 
      0.351       140.     2.5083     0.9054     0.1068           F098400200226 
      0.351       140.     2.5636      0.786     0.1067           F098400200227 
      0.351       140.     2.8114     1.5219       0.12           F098400200228 
      0.351       140.      2.906     1.5896     0.1331           F098400200229 
      0.351       140.     3.0045     1.6306     0.1333           F098400200230 
      0.351       140.     3.1623      1.539     0.1067           F098400200231 
      0.351       140.     3.2137     1.3795     0.1066           F098400200232 
      0.351       140.     3.2653     1.0201       0.12           F098400200233 
      0.351       140.     3.3166     0.9539     0.1067           F098400200234 
      0.351       140.     3.3641     0.8478       0.13           F098400200235 
      0.351       140.     3.4155     0.7016     0.1467           F098400200236 
      0.351       140.     3.4706     0.7689       0.12           F098400200237 
      0.351       140.     3.5063     0.5959       0.14           F098400200238 
      0.351       140.     3.5732       0.69       0.13           F098400200239 
      0.351       140.     3.6204     0.8638       0.11           F098400200240 
      0.351       140.     3.6716      0.931       0.12           F098400200241 
      0.351       140.     3.7187     1.1049       0.15           F098400200242 
      0.351       140.      3.774     1.0521     0.1067           F098400200243 
      0.351       140.     3.8173     1.1059     0.1066           F098400200244 
      0.351       140.     3.8723     1.2798     0.1068           F098400200245 
      0.351       140.     3.9194     1.5337     0.1333           F098400200246 
      0.351       140.     3.9631     1.2008     0.1067           F098400200247 
      0.351       140.     4.0062     1.4546     0.1331           F098400200248 
      0.351       160.     2.8056      1.402      0.125           F098400200249 
      0.351       160.     2.8529     1.4495     0.1094           F098400200250 
      0.351       160.     2.9041     1.5596     0.1092           F098400200251 
      0.351       160.     2.9554     1.4353     0.1093           F098400200252 
      0.351       160.     3.0067     1.4048     0.1094           F098400200253 
      0.351       160.     3.0581     1.3118      0.126           F098400200254 
      0.351       160.     3.1017     1.0467   9.38E-02           F098400200255 
      0.351       160.     3.1609     0.9851     0.1094           F098400200256 
      0.351       160.     3.2123     0.7983     0.1091           F098400200257 
      0.351       160.     3.2597     0.7677     0.1093           F098400200258 
      0.351       160.      3.315     0.6279   9.36E-02           F098400200259 
      0.351       160.     3.3702     0.5974     0.1094           F098400200260 
      0.351       160.     3.4136     0.5511     0.1092           F098400200261 
      0.351       160.     3.4609     0.5831     0.1095           F098400200262 
      0.351       160.     3.5081     0.7556     0.1094           F098400200263 
      0.351       160.     3.5634     0.6939     0.1092           F098400200264 
      0.351       160.     3.6106     0.7258     0.1093           F098400200265 
      0.351       160.     3.6618     0.8359     0.1094           F098400200266 
      0.351       160.      3.717     0.8054     0.1095           F098400200267 
      0.351       160.     3.7605     0.7435     0.1094           F098400200268 
      0.351       160.     3.8115      0.963     0.1091           F098400200269 
      0.351       160.     3.8587     1.1824      0.125           F098400200270 
      0.351       160.     3.9098      1.355     0.1094           F098400200271 
      0.351       160.     3.9609     1.4807     0.1096           F098400200272 
      0.351       160.     4.0081     1.6689     0.1092           F098400200273 
      0.351       170.      2.303      1.025     0.1539           F098400200274 
      0.351       170.      2.358     1.2568     0.1537           F098400200275 
      0.351       170.     2.4057     0.7769     0.1346           F098400200276 
      0.351       170.     2.4612     0.4703     0.1341           F098400200277 
      0.351       170.     2.5123     0.6828     0.1347           F098400200278 
      0.351       170.     2.5595     0.8761     0.1346           F098400200279 
      0.351       170.     2.6068     0.8577     0.1345           F098400200280 
      0.351       170.     2.6581     0.8587     0.1346           F098400200281 
      0.351       170.     2.7092     1.0328     0.1539           F098400200282 
      0.351       170.     2.7599     1.6684     0.1537           F098400200283 
      0.351       170.      2.811     1.9002     0.1346           F098400200284 
      0.351       170.     2.8618     2.4589     0.1539           F098400200285 
      0.351       170.     2.9055     2.0751     0.1731           F098400200286 
      0.351       170.     2.9607      2.057     0.1732           F098400200287 
      0.351       170.     3.0118     2.3272     0.1923           F098400200288 
      0.351       170.     3.0597     1.5588     0.1346           F098400200289 
      0.351       170.     3.1074     1.0597     0.1539           F098400200290 
      0.351       170.     3.1667     0.9454     0.1921           F098400200291 
      0.351       170.     3.2103     0.5616     0.1731           F098400200292 
      0.351       170.     3.2576     0.5818     0.1346           F098400200293 
      0.351       170.     3.3169      0.506     0.1539           F098400200294 
      0.351       170.     3.3602      0.603     0.1537           F098400200295 
      0.351       170.     3.4115     0.4501     0.1538           F098400200296 
      0.351       170.     3.4666     0.6627     0.1539           F098400200297 
      0.351       170.     3.5138      0.779     0.1346           F098400200298 
      0.351       170.     3.5689      0.857     0.1539           F098400200299 
      0.351       170.     3.6126     0.5501     0.1536           F098400200300 
      0.351       170.     3.6637      0.705     0.1539           F098400200301 
      0.351       170.     3.7112     0.4366     0.1538           F098400200302 
      0.351       170.     3.7664     0.5338     0.1537           F098400200303 
      0.351       170.     3.8099     0.3231     0.1539           F098400200304 
      0.351       170.     3.8651     0.3434     0.1346           F098400200305 
      0.351       170.      3.916     0.8252     0.1539           F098400200306 
      0.351       170.     3.9629     1.3454     0.1541           F098400200307 
      0.351       170.     4.0055     2.2309     0.1923           F098400200308 
      1.745        40.     2.3272     0.4689     0.1129           F098400200309 
      1.745        40.     2.3738     0.3804      0.121           F098400200310 
      1.745        40.     2.4242     0.4048   9.68E-02           F098400200311 
      1.745        40.     2.4783     0.5985      0.129           F098400200312 
      1.745        40.     2.5248      0.518      0.128           F098400200313 
      1.745        40.     2.5713     0.5505     0.1371           F098400200314 
      1.745        40.     2.6256     0.5668      0.121           F098400200315 
      1.745        40.      2.676      0.567     0.1129           F098400200316 
      1.745        40.     2.7224     0.5994   9.68E-02           F098400200317 
      1.745        40.     2.7729     0.5109   9.67E-02           F098400200318 
      1.745        40.     2.8269     0.7853     0.1129           F098400200319 
      1.745        40.     2.8734     0.7774     0.1048           F098400200320 
      1.745        40.     2.9161     0.8098      0.129           F098400200321 
      1.745        40.      2.974      1.052   8.87E-02           F098400200322 
      1.745        40.     3.0204     1.2054   6.45E-02           F098400200323 
      1.745        40.     3.0669      1.133   9.68E-02           F098400200324 
      1.745        40.     3.1211     1.2461   8.06E-02           F098400200325 
      1.745        40.     3.1757     0.9076   8.87E-02           F098400200326 
      1.745        40.      3.222     1.0852   9.68E-02           F098400200327 
      1.745        40.     3.2688      0.787   7.26E-02           F098400200328 
      1.745        40.     3.3113     0.9081   8.06E-02           F098400200329 
      1.745        40.     3.3733     0.9809   8.87E-02           F098400200330 
      1.745        40.     3.4159     0.9892   6.45E-02           F098400200331 
      1.745        40.     3.4624      0.941   7.26E-02           F098400200332 
      1.745        40.     3.5208     0.6751   8.87E-02           F098400200333 
      1.745        40.     3.5633     0.8365   8.06E-02           F098400200334 
      1.745        40.     3.6136      0.998   8.86E-02           F098400200335 
      1.745        40.     3.6679     0.8611   5.65E-02           F098400200336 
      1.745        40.     3.7105     0.9742   8.87E-02           F098400200337 
      1.745        40.     3.7646     1.0953     0.1048           F098400200338 
      1.745        40.     3.8227     1.1762   9.68E-02           F098400200339 
      1.745        40.     3.8616     0.9828     0.1048           F098400200340 
      1.745        40.     3.9197      1.104   8.87E-02           F098400200341 
      1.745        40.     4.0085     1.4834   8.89E-02           F098400200342 
      1.745        90.     2.8918     0.9304   7.27E-02           F098400200343 
      1.745        90.     2.9383     0.8851   7.26E-02           F098400200344 
      1.745        90.     2.9887     0.8398   7.28E-02           F098400200345 
      1.745        90.     3.0314     0.7309   6.36E-02           F098400200346 
      1.745        90.     3.0896     0.6947   8.18E-02           F098400200347 
      1.745        90.     3.1323     0.5403   7.27E-02           F098400200348 
      1.745        90.      3.175     0.4587   8.18E-02           F098400200349 
      1.745        90.     3.2331      0.568   5.45E-02           F098400200350 
      1.745        90.     3.2796     0.5409   6.36E-02           F098400200351 
      1.745        90.       3.33     0.4865   7.27E-02           F098400200352 
      1.745        90.     3.3881     0.6685   9.09E-02           F098400200353 
      1.745        90.     3.4346      0.696   7.26E-02           F098400200354 
      1.745        90.     3.4811     0.5961   7.27E-02           F098400200355 
      1.745        90.     3.5315     0.5963   6.36E-02           F098400200356 
      1.745        90.     3.5819      0.642   6.38E-02           F098400200357 
      1.745        90.     3.6323     0.6421   7.27E-02           F098400200358 
      1.745        90.     3.6827      0.606   7.29E-02           F098400200359 
      1.745        90.     3.7369     0.6607   7.28E-02           F098400200360 
      1.745        90.     3.7872     0.8245   7.27E-02           F098400200361 
      1.745        90.     3.8414      0.952   8.18E-02           F098400200362 
      1.745        90.      3.888     0.7158   6.36E-02           F098400200363 
      1.745        90.     3.9422     0.7978   7.27E-02           F098400200364 
      1.745        90.      3.985     0.6434   6.36E-02           F098400200365 
      1.745        90.     4.0354     0.6072   6.37E-02           F098400200366 
      1.745       140.     2.3409     0.4336   9.41E-02           F098400200367 
      1.745       140.     2.3874     0.5437     0.1098           F098400200368 
      1.745       140.       2.43      0.497     0.1097           F098400200369 
      1.745       140.     2.4882     0.4974   7.84E-02           F098400200370 
      1.745       140.     2.5386     0.4507   7.82E-02           F098400200371 
      1.745       140.      2.589     0.4197   7.81E-02           F098400200372 
      1.745       140.     2.6897     0.4988   7.83E-02           F098400200373 
      1.745       140.     2.7401     0.4834   7.84E-02           F098400200374 
      1.745       140.     2.7905     0.4838   7.82E-02           F098400200375 
      1.745       140.      2.837     0.5469   7.83E-02           F098400200376 
      1.745       140.     2.8834     0.7354   9.41E-02           F098400200377 
      1.745       140.     2.9377     0.6103   7.84E-02           F098400200378 
      1.745       140.     3.0461     0.8934   7.82E-02           F098400200379 
      1.745       140.     3.1857     0.7532   7.83E-02           F098400200380 
      1.745       140.       3.24     0.8007   7.84E-02           F098400200381 
      1.745       140.     3.2826     0.7069   9.41E-02           F098400200382 
      1.745       140.     3.3369     0.6602   9.43E-02           F098400200383 
      1.745       140.     3.3912     0.6135     0.1098           F098400200384 
      1.745       140.     3.4339     0.4256   7.84E-02           F098400200385 
      1.745       140.     3.4804     0.4259   9.41E-02           F098400200386 
      1.745       140.     3.5308     0.4106   9.42E-02           F098400200387 
      1.745       140.     3.5812     0.3953   9.44E-02           F098400200388 
      1.745       140.     3.6316     0.3956   9.41E-02           F098400200389 
      1.745       140.      3.682      0.396   7.84E-02           F098400200390 
      1.745       140.     3.7401     0.4278   7.82E-02           F098400200391 
      1.745       140.     3.7867     0.3653   7.83E-02           F098400200392 
      1.745       140.     3.8409     0.5069     0.1255           F098400200393 
      1.745       140.     3.8874     0.4445   7.84E-02           F098400200394 
      1.745       140.     3.9454     0.6645   7.85E-02           F098400200395 
      1.745       140.     3.9882     0.3981   9.41E-02           F098400200396 
      1.745       140.     4.0385     0.6495     0.1098           F098400200397 
      1.745       160.     2.8896     0.3984   4.83E-02           F098400200398 
      1.745       160.     2.9362     0.2883   4.81E-02           F098400200399 
      1.745       160.     2.9866     0.3505   5.52E-02           F098400200400 
      1.745       160.     3.0368     0.4197   5.54E-02           F098400200401 
