EN         E-LVL      ANG        DATA                             F028800200014 
MEV        MEV        ADEG       MB/SR                            F028800200015 
     6.049     45.97                                              F028800300037 
     6.079     41.76                                              F028800300038 
     6.094     39.89                                              F028800300039 
     6.136     37.56                                              F028800300040 
     6.178     37.11                                              F028800300041 
     6.193     34.77                                              F028800300042 
     6.222     33.37                                              F028800300043 
     6.278     32.92                                              F028800300044 
     6.279     30.11                                              F028800300045 
     6.321     29.19                                              F028800300046 
     6.363     28.27                                              F028800300047 
     6.378     27.33                                              F028800300048 
     6.406     25.94                                              F028800300049 
     6.434     25.01                                              F028800300050 
     6.477     23.62                                              F028800300051 
     6.505     22.22                                              F028800300052 
     6.547     21.77                                              F028800300053 
     6.575     21.78                                              F028800300054 
     6.603     21.8                                               F028800300055 
     6.645     21.34                                              F028800300056 
     6.673     21.35                                              F028800300057 
     6.715     21.37                                              F028800300058 
     6.743     21.39                                              F028800300059 
     6.771     19.99                                              F028800300060 
     6.799     20.94                                              F028800300061 
     6.827     20.95                                              F028800300062 
     6.854     22.37                                              F028800300063 
     6.869     21.44                                              F028800300064 
     6.896     22.86                                              F028800300065 
     6.924     23.81                                              F028800300066 
     6.951     24.76                                              F028800300067 
     6.978     26.18                                              F028800300068 
     7.006     26.66                                              F028800300069 
     7.033     28.55                                              F028800300070 
     7.075     29.51                                              F028800300071 
     7.088     30.92                                              F028800300072 
     7.103     29.05                                              F028800300073 
     7.173     29.55                                              F028800300074 
     7.215     29.56                                              F028800300075 
     7.215     27.69                                              F028800300076 
     7.244     26.76                                              F028800300077 
     7.285     26.78                                              F028800300078 
     7.327     27.26                                              F028800300079 
     7.355     28.22                                              F028800300080 
     7.383     28.23                                              F028800300081 
     7.41      30.59                                              F028800300082 
     7.424     30.59                                              F028800300083 
     7.465     30.61                                              F028800300084 
     7.493     31.09                                              F028800300085 
ENDDATA             73          0                                 F028800300086 
ENDSUBENT           85          0                                 F028800399999 
SUBENT        F0288004   19990409                             0000F028800400001 
BIB                  4          4                                 F028800400002 
REACTION   (5-B-11(P,INL)5-B-11,PAR,DA,,,EXP)                     F028800400003 
ERR-ANALYS (DATA-ERR) Digitizing error                            F028800400004 
STATUS     (CURVE) Fig 2 f                                        F028800400005 
EN-SEC     (E-LVL,5-B-11)                                         F028800400006 
ENDBIB               4          0                                 F028800400007 
COMMON               3          3                                 F028800400008 
E-LVL      ANG        DATA-ERR                                    F028800400009 
MEV        ADEG       MB/SR                                       F028800400010 
  2.125      150.0     0.5                                        F028800400011 
ENDCOMMON            3          0                                 F028800400012 
DATA                 2         59                                 F028800400013 
EN         DATA                                                   F028800400014 
MEV        MB/SR                                                  F028800400015 
     5.38       5.318                                             F028800400016 
     5.408      5.33                                              F028800400017 
     5.409      4.391                                             F028800400018 
     5.464      4.884                                             F028800400019 
     5.506      5.371                                             F028800400020 
     5.521      3.969                                             F028800400021 
     5.548      5.389                                             F028800400022 
     5.576      4.931                                             F028800400023 
     5.59       4.468                                             F028800400024 
     5.618      4.01                                              F028800400025 
     5.66       4.966                                             F028800400026 
     5.702      4.515                                             F028800400027 
     5.73       4.526                                             F028800400028 
     5.758      4.069                                             F028800400029 
     5.786      4.081                                             F028800400030 
     5.813      5.501                                             F028800400031 
     5.855      5.518                                             F028800400032 
     5.897      6.005                                             F028800400033 
     5.939      6.023                                             F028800400034 
     5.994      6.516                                             F028800400035 
     6.05       6.07                                              F028800400036 
     6.092      6.088                                             F028800400037 
     6.134      6.105                                             F028800400038 
     6.162      5.178                                             F028800400039 
     6.204      5.196                                             F028800400040 
     6.246      5.683                                             F028800400041 
     6.302      5.706                                             F028800400042 
     6.33       5.249                                             F028800400043 
     6.386      4.803                                             F028800400044 
     6.414      4.815                                             F028800400045 
     6.442      5.296                                             F028800400046 
     6.497      5.319                                             F028800400047 
     6.526      4.392                                             F028800400048 
     6.568      4.41                                              F028800400049 
     6.61       3.958                                             F028800400050 
     6.652      3.976                                             F028800400051 
     6.68       3.049                                             F028800400052 
     6.749      3.548                                             F028800400053 
     6.792      3.096                                             F028800400054 
     6.819      3.577                                             F028800400055 
     6.889      3.607                                             F028800400056 
     6.931      3.155                                             F028800400057 
     6.959      3.636                                             F028800400058 
     6.987      4.117                                             F028800400059 
     7.014      4.598                                             F028800400060 
     7.07       5.091                                             F028800400061 
     7.112      5.109                                             F028800400062 
     7.14       5.59                                              F028800400063 
     7.182      5.138                                             F028800400064 
     7.224      5.156                                             F028800400065 
     7.252      4.698                                             F028800400066 
     7.266      4.704                                             F028800400067 
     7.293      5.186                                             F028800400068 
     7.308      4.722                                             F028800400069 
     7.364      4.276                                             F028800400070 
     7.392      4.288                                             F028800400071 
     7.447      5.25                                              F028800400072 
     7.461      4.787                                             F028800400073 
     7.489      5.268                                             F028800400074 
ENDDATA             61          0                                 F028800400075 
ENDSUBENT           74          0                                 F028800499999 
SUBENT        F0288005   19990409                             0000F028800500001 
BIB                  4          5                                 F028800500002 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA,,,EXP)                       F028800500003 
ERR-ANALYS (DATA-ERR) Error from graphic bars and                 F028800500004 
           digitizing error                                       F028800500005 
STATUS     (CURVE) Fig 2 g                                        F028800500006 
EN-SEC     (E-LVL,4-BE-8)                                         F028800500007 
ENDBIB               5          0                                 F028800500008 
COMMON               2          3                                 F028800500009 
ANG        E-LVL                                                  F028800500010 
ADEG       MEV                                                    F028800500011 
  150.0     0.                                                    F028800500012 
ENDCOMMON            3          0                                 F028800500013 
DATA                 3         69                                 F028800500014 
EN         DATA       DATA-ERR                                    F028800500015 
MEV        MB/SR      MB/SR                                       F028800500016 
     5.379      0.1809     0.0037                                 F028800500017 
     5.421      0.1915     0.0037                                 F028800500018 
     5.436      0.1614     0.0037                                 F028800500019 
     5.464      0.1719     0.0037                                 F028800500020 
     5.504      0.2228     0.0037                                 F028800500021 
     5.534      0.1526     0.0405                                 F028800500022 
