ENTRY            F0293   19991202                             0000F029300000001 
SUBENT        F0293001   19991202                             0000F029300100001 
BIB                  9         16                                 F029300100002 
TITLE      Alpha-cluster break-up and reation mechanism in        F029300100003 
            (p,alpha) reactions on light nuclei                   F029300100004 
AUTHOR     (W.BUCK,F.HOYLER,A.STABLER,G.STAUDT,H.V.KLAPDOR,       F029300100005 
           H.OESCHLER)                                            F029300100006 
INSTITUTE  (2GERTUE)                                              F029300100007 
REFERENCE  (J,NP/A,398,189,1983)                                  F029300100008 
MONIT-REF  (,BUCK+,J,NP/A,281,469,1977)                           F029300100009 
SAMPLE     The boron targets consisted of self-supporting         F029300100010 
           highly enriched boron foils with thickness between     F029300100011 
           40 and 180 mu-g/cm2 while the sodium targets were      F029300100012 
           prepared by evaporating either metallic sodium or      F029300100013 
           sodium-fluoride onto 20 mu-g/cm2 carbon foils. The     F029300100014 
           sodium target thickness was between 100 - 250 mu-g/cm2.F029300100015 
FACILITY   (VDGT)                                                 F029300100016 
DETECTOR   (SOLST) Silicon surface barrier with 300 mu-m thick    F029300100017 
HISTORY    (19850722C)                                            F029300100018 
ENDBIB              16          0                                 F029300100019 
NOCOMMON             0          0                                 F029300100020 
ENDSUBENT           19          0                                 F029300199999 
SUBENT        F0293002   19991202                             0000F029300200001 
BIB                  4          6                                 F029300200002 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA,,,EXP)                       F029300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F029300200004 
     6.75      32.28       0.2302 0.5886E-02                      F029300200051 
     6.75      38.49       0.3292 0.5886E-02                      F029300200052 
     6.75      42.66       0.4117 0.5886E-02                      F029300200053 
     6.75      48.83       0.4612     0.0166                      F029300200054 
     6.75      52.91       0.4611 0.8259E-02                      F029300200055 
     6.75      59.06       0.4941     0.0166                      F029300200056 
     6.75      65.12       0.4279 0.5886E-02                      F029300200057 
     6.75      69.21       0.4278 0.5886E-02                      F029300200058 
     6.75      75.28       0.3782 0.5886E-02                      F029300200059 
     6.75      81.4        0.3781 0.5886E-02                      F029300200060 
     6.75      85.48       0.378  0.5886E-02                      F029300200061 
     6.75      93.67       0.4027 0.5886E-02                      F029300200062 
     6.75      95.7        0.3861     0.0165                      F029300200063 
     6.75     101.8        0.386      0.0248                      F029300200064 
     6.75     105.9        0.3612     0.0165                      F029300200065 
     6.75     109.9        0.3446 0.5886E-02                      F029300200066 
     6.75     116.         0.2867 0.5886E-02                      F029300200067 
     6.75     120.1        0.2784     0.0248                      F029300200068 
     6.75     126.2        0.2783 0.5886E-02                      F029300200069 
     6.75     128.2        0.2617 0.5886E-02                      F029300200070 
     6.75     136.4        0.2781     0.0165                      F029300200071 
     6.75     138.5        0.2946 0.5886E-02                      F029300200072 
     6.75     144.6        0.3193 0.5886E-02                      F029300200073 
     6.75     148.7        0.3357 0.5886E-02                      F029300200074 
     6.75     154.8        0.3439 0.5886E-02                      F029300200075 
     6.75     161.         0.3851 0.5886E-02                      F029300200076 
     6.75     165.1        0.3767 0.5886E-02                      F029300200077 
     6.75     169.2        0.3849 0.5886E-02                      F029300200078 
     6.75     173.2        0.3684     0.0248                      F029300200079 
     7.5       18.3        0.1848 0.4881E-02                      F029300200080 
     7.5       26.53       0.2245 0.4881E-02                      F029300200081 
     7.5       30.71       0.2803 0.4881E-02                      F029300200082 
     7.5       34.75       0.2562 0.4881E-02                      F029300200083 
     7.5       38.88       0.2881 0.4881E-02                      F029300200084 
     7.5       43.05       0.3359 0.4881E-02                      F029300200085 
     7.5       45.03       0.3039 0.4881E-02                      F029300200086 
     7.5       49.13       0.3117 0.4881E-02                      F029300200087 
     7.5       55.27       0.3196 0.4881E-02                      F029300200088 
     7.5       55.32       0.3515 0.4881E-02                      F029300200089 
     7.5       61.46       0.3593 0.4881E-02                      F029300200090 
     7.5       65.58       0.3832 0.4881E-02                      F029300200091 
     7.5       71.77       0.4229 0.4881E-02                      F029300200092 
     7.5       75.92       0.4627 0.4881E-02                      F029300200093 
     7.5       75.96       0.4867 0.4881E-02                      F029300200094 
     7.5       86.21       0.5104 0.4881E-02                      F029300200095 
     7.5       86.28       0.5503     0.0239                      F029300200096 
     7.5       92.4        0.5501 0.4881E-02                      F029300200097 
     7.5       96.44       0.5261 0.4881E-02                      F029300200098 
     7.5       98.55       0.5659 0.4881E-02                      F029300200099 
     7.5       98.58       0.5819 0.4881E-02                      F029300200100 
     7.5      102.5        0.502  0.4881E-02                      F029300200101 
     7.5      106.5        0.4619 0.4881E-02                      F029300200102 
     7.5      110.5        0.382  0.4881E-02                      F029300200103 
     7.5      114.5        0.334  0.4881E-02                      F029300200104 
     7.5      116.5        0.31   0.4881E-02                      F029300200105 
     7.5      120.5        0.2779 0.4881E-02                      F029300200106 
     7.5      124.5        0.2459 0.4881E-02                      F029300200107 
     7.5      130.6        0.2377 0.4881E-02                      F029300200108 
     7.5      136.8        0.2455 0.4881E-02                      F029300200109 
     7.5      138.9        0.2694 0.4881E-02                      F029300200110 
     7.5      145.1        0.3172 0.4881E-02                      F029300200111 
     7.5      149.2        0.349  0.4881E-02                      F029300200112 
     7.5      153.4        0.4288     0.0239                      F029300200113 
     7.5      153.4        0.4367 0.4881E-02                      F029300200114 
     7.5      159.7        0.5005 0.4881E-02                      F029300200115 
     7.5      163.9        0.5722     0.016                       F029300200116 
     7.5      168.1        0.636  0.4881E-02                      F029300200117 
     7.5      174.3        0.6917 0.4881E-02                      F029300200118 
     8.25      17.7        0.2109 0.5797E-02                      F029300200119 
     8.25      23.9        0.2803 0.5797E-02                      F029300200120 
     8.25      30.08       0.3236 0.5797E-02                      F029300200121 
     8.25      38.24       0.3234     0.0261                      F029300200122 
     8.25      40.37       0.3929     0.0261                      F029300200123 
     8.25      46.52       0.4188     0.0261                      F029300200124 
     8.25      52.65       0.4274     0.0348                      F029300200125 
     8.25      56.75       0.436      0.026                       F029300200126 
     8.25      62.86       0.4271     0.0261                      F029300200127 
     8.25      68.98       0.427      0.0174                      F029300200128 
     8.25      73.03       0.4008     0.0261                      F029300200129 
     8.25      81.22       0.418  0.5797E-02                      F029300200130 
     8.25      85.24       0.3658 0.5797E-02                      F029300200131 
     8.25      89.31       0.357  0.5797E-02                      F029300200132 
     8.25      93.36       0.3309 0.5797E-02                      F029300200133 
     8.25      99.47       0.3221 0.5797E-02                      F029300200134 
     8.25     105.6        0.3132     0.0174                      F029300200135 
     8.25     111.7        0.2957 0.5797E-02                      F029300200136 
     8.25     115.7        0.2609     0.0347                      F029300200137 
     8.25     119.8        0.2608 0.5797E-02                      F029300200138 
     8.25     123.9        0.2955 0.5797E-02                      F029300200139 
     8.25     130.         0.2866 0.5797E-02                      F029300200140 
     8.25     134.1        0.2952     0.0261                      F029300200141 
     8.25     138.2        0.2604 0.5797E-02                      F029300200142 
     8.25     142.3        0.2603 0.5797E-02                      F029300200143 
     8.25     146.3        0.2428 0.5797E-02                      F029300200144 
     8.25     152.4        0.234  0.5797E-02                      F029300200145 
     8.25     154.4        0.1731 0.5797E-02                      F029300200146 
     8.25     160.5        0.173  0.5797E-02                      F029300200147 
     8.25     170.7        0.1206 0.5797E-02                      F029300200148 
     8.25     176.7        0.0857 0.5797E-02                      F029300200149 
     9.        19.95       0.0663 0.4574E-02                      F029300200150 
     9.        32.26       0.0991 0.4574E-02                      F029300200151 
     9.        38.42       0.1156 0.4574E-02                      F029300200152 
     9.        44.56       0.1237 0.4574E-02                      F029300200153 
     9.        48.61       0.1069 0.4574E-02                      F029300200154 
     9.        52.65       0.09   0.4574E-02                      F029300200155 
     9.        58.79       0.0981 0.4574E-02                      F029300200156 
     9.        67.05       0.1395 0.4574E-02                      F029300200157 
     9.        71.11       0.131  0.4574E-02                      F029300200158 
     9.        75.27       0.1642 0.4574E-02                      F029300200159 
     9.        79.33       0.1557 0.4574E-02                      F029300200160 
     9.        85.6        0.2221 0.4574E-02                      F029300200161 
     9.        91.65       0.1886 0.4574E-02                      F029300200162 
     9.        95.77       0.2051     0.0167                      F029300200163 
     9.        99.85       0.205  0.4574E-02                      F029300200164 
     9.       103.9        0.1881 0.4574E-02                      F029300200165 
     9.       107.9        0.163  0.4574E-02                      F029300200166 
     9.       114.         0.1294 0.4574E-02                      F029300200167 
     9.       122.2        0.1374 0.4574E-02                      F029300200168 
     9.       126.2        0.1206 0.4574E-02                      F029300200169 
     9.       128.2        0.1122 0.4574E-02                      F029300200170 
     9.       134.3        0.112  0.4574E-02                      F029300200171 
     9.       138.4        0.1118 0.4574E-02                      F029300200172 
     9.       142.5        0.095  0.4574E-02                      F029300200173 
     9.       148.6        0.0948 0.4574E-02                      F029300200174 
     9.       152.7        0.103  0.4574E-02                      F029300200175 
     9.       156.7        0.0861 0.4574E-02                      F029300200176 
     9.       160.9        0.1027 0.4574E-02                      F029300200177 
     9.       164.8        0.0608 0.4574E-02                      F029300200178 
     9.       171.         0.0856 0.4574E-02                      F029300200179 
     9.5       29.03       0.1283 0.6199E-02                      F029300200180 
     9.5       35.15       0.1119 0.6199E-02                      F029300200181 
     9.5       43.3        0.1037 0.6199E-02                      F029300200182 
     9.5       47.38       0.0874 0.6199E-02                      F029300200183 
     9.5       55.56       0.1117 0.6199E-02                      F029300200184 
     9.5       59.65       0.1279 0.6199E-02                      F029300200185 
     9.5       65.78       0.136      0.0244                      F029300200186 
     9.5       67.83       0.1522     0.0163                      F029300200187 
     9.5       69.89       0.1766     0.0163                      F029300200188 
     9.5       76.02       0.1847 0.6199E-02                      F029300200189 
     9.5       82.15       0.2008 0.6199E-02                      F029300200190 
     9.5       86.25       0.2252 0.6199E-02                      F029300200191 
     9.5       92.38       0.2332 0.6199E-02                      F029300200192 
     9.5       96.46       0.2332 0.6199E-02                      F029300200193 
     9.5      100.5        0.2169 0.6199E-02                      F029300200194 
     9.5      106.7        0.2087 0.6199E-02                      F029300200195 
     9.5      110.7        0.1924 0.6199E-02                      F029300200196 
     9.5      114.8        0.2005 0.6199E-02                      F029300200197 
     9.5      118.9        0.2086 0.6199E-02                      F029300200198 
     9.5      123.         0.2248 0.6199E-02                      F029300200199 
     9.5      131.2        0.2653     0.0244                      F029300200200 
     9.5      133.3        0.3059     0.0244                      F029300200201 
     9.5      139.4        0.3546     0.0163                      F029300200202 
     9.5      141.4        0.3627 0.6199E-02                      F029300200203 
     9.5      147.6        0.4277 0.6199E-02                      F029300200204 
     9.5      153.8        0.4358     0.0163                      F029300200205 
     9.5      157.9        0.4601     0.0163                      F029300200206 
     9.5      164.         0.4925     0.0163                      F029300200207 
     9.5      164.         0.5007     0.0162                      F029300200208 
     9.5      170.1        0.5006     0.0325                      F029300200209 
    10.        16.08       0.116      0.011                       F029300200210 
    10.        24.22       0.1244     0.011                       F029300200211 
    10.        30.35       0.1247     0.011                       F029300200212 
    10.        34.49       0.1004     0.011                       F029300200213 
    10.        42.69       0.0845     0.011                       F029300200214 
    10.        48.89       0.0522     0.011                       F029300200215 
    10.        55.03       0.0443     0.011                       F029300200216 
    10.        59.12       0.0444     0.011                       F029300200217 
    10.        63.18       0.0527     0.011                       F029300200218 
    10.        69.27       0.0692     0.011                       F029300200219 
    10.        75.36       0.0857     0.011                       F029300200220 
    10.        79.36       0.1183     0.011                       F029300200221 
    10.        87.53       0.1186     0.011                       F029300200222 
    10.        89.51       0.1431     0.011                       F029300200223 
    10.        95.66       0.1352     0.011                       F029300200224 
    10.        99.76       0.1272     0.011                       F029300200225 
    10.       105.9        0.1356     0.011                       F029300200226 
    10.       109.9        0.152      0.011                       F029300200227 
    10.       116.         0.1847     0.011                       F029300200228 
    10.       117.9        0.2254     0.011                       F029300200229 
    10.       123.9        0.2825     0.011                       F029300200230 
    10.       129.9        0.3396     0.011                       F029300200231 
    10.       133.9        0.3723     0.011                       F029300200232 
    10.       138.         0.3724     0.011                       F029300200233 
    10.       142.1        0.3726     0.011                       F029300200234 
    10.       146.2        0.3565     0.011                       F029300200235 
    10.       150.4        0.3241     0.011                       F029300200236 
    10.       154.6        0.2674     0.011                       F029300200237 
    10.       160.8        0.2107     0.011                       F029300200238 
    10.       165.         0.1621     0.011                       F029300200239 
    10.       169.2        0.1054     0.011                       F029300200240 
    11.        24.01       0.0643 0.3669E-02                      F029300200241 
    11.        30.04       0.1216 0.3669E-02                      F029300200242 
    11.        36.06       0.156  0.3669E-02                      F029300200243 
    11.        42.04       0.1329 0.3669E-02                      F029300200244 
    11.        48.03       0.0984 0.3669E-02                      F029300200245 
    11.        52.04       0.1213 0.3669E-02                      F029300200246 
    11.        60.03       0.1211 0.3669E-02                      F029300200247 
    11.        64.06       0.167  0.3669E-02                      F029300200248 
    11.        70.1        0.2473 0.3669E-02                      F029300200249 
    11.        74.12       0.3047 0.3669E-02                      F029300200250 
    11.        78.15       0.3505 0.3669E-02                      F029300200251 
    11.        84.17       0.4079 0.3669E-02                      F029300200252 
    11.        90.2        0.4537 0.3669E-02                      F029300200253 
    11.        96.21       0.4766 0.3669E-02                      F029300200254 
    11.       102.2        0.4765 0.3669E-02                      F029300200255 
    11.       106.2        0.4649 0.3669E-02                      F029300200256 
    11.       106.2        0.4075 0.3669E-02                      F029300200257 
    11.       112.2        0.3844 0.3669E-02                      F029300200258 
    11.       116.1        0.3269 0.3669E-02                      F029300200259 
    11.       120.1        0.2579 0.3669E-02                      F029300200260 
    11.       124.1        0.2464 0.3669E-02                      F029300200261 
    11.       130.1        0.2578 0.3669E-02                      F029300200262 
    11.       136.1        0.2921 0.3669E-02                      F029300200263 
    11.       140.1        0.315  0.3669E-02                      F029300200264 
    11.       144.1        0.3953 0.3669E-02                      F029300200265 
    11.       148.2        0.4297 0.3669E-02                      F029300200266 
    11.       154.2        0.4985 0.3669E-02                      F029300200267 
    11.       158.2        0.51   0.3669E-02                      F029300200268 
    11.       162.2        0.5099 0.3669E-02                      F029300200269 
    11.       166.2        0.4983 0.3669E-02                      F029300200270 
    11.       170.2        0.5442 0.3669E-02                      F029300200271 
    11.       174.2        0.4867 0.3669E-02                      F029300200272 
    12.        24.4        0.0309 0.5832E-02                      F029300200273 
    12.        32.4        0.0468 0.5832E-02                      F029300200274 
    12.        36.4        0.0627 0.5832E-02                      F029300200275 
    12.        40.39       0.0945 0.5832E-02                      F029300200276 
    12.        44.38       0.158  0.5832E-02                      F029300200277 
    12.        50.38       0.2215 0.5832E-02                      F029300200278 
    12.        54.37       0.2374 0.5832E-02                      F029300200279 
    12.        60.36       0.3009 0.5832E-02                      F029300200280 
    12.        68.35       0.412  0.5832E-02                      F029300200281 
    12.        72.34       0.4914 0.5832E-02                      F029300200282 
    12.        76.33       0.5073 0.5832E-02                      F029300200283 
    12.        82.32       0.6025 0.5832E-02                      F029300200284 
    12.        86.32       0.6184 0.5832E-02                      F029300200285 
    12.        90.31       0.666  0.5832E-02                      F029300200286 
    12.        94.31       0.666  0.5832E-02                      F029300200287 
    12.        98.31       0.6978 0.5832E-02                      F029300200288 
    12.       102.3        0.6978 0.5832E-02                      F029300200289 
    12.       104.3        0.6502 0.5832E-02                      F029300200290 
    12.       108.3        0.5709 0.5832E-02                      F029300200291 
    12.       112.3        0.5234 0.5832E-02                      F029300200292 
    12.       116.3        0.4441 0.5832E-02                      F029300200293 
    12.       120.3        0.3648 0.5832E-02                      F029300200294 
    12.       124.3        0.3172 0.5832E-02                      F029300200295 
    12.       132.3        0.3331 0.5832E-02                      F029300200296 
    12.       136.3        0.3331 0.5832E-02                      F029300200297 
    12.       140.3        0.3966 0.5832E-02                      F029300200298 
    12.       142.3        0.5077 0.5832E-02                      F029300200299 
    12.       146.3        0.6188 0.5832E-02                      F029300200300 
    12.       148.3        0.6981 0.5832E-02                      F029300200301 
    12.       154.3        0.8886 0.5832E-02                      F029300200302 
    12.       156.3        1.015  0.5832E-02                      F029300200303 
    12.4       14.63       0.1759 0.5797E-02                      F029300200304 
    12.4       20.63       0.2084 0.5797E-02                      F029300200305 
    12.4       26.63       0.2084 0.5797E-02                      F029300200306 
    12.4       34.63       0.1597 0.5797E-02                      F029300200307 
    12.4       42.63       0.1435 0.5797E-02                      F029300200308 
    12.4       48.62       0.1435 0.5797E-02                      F029300200309 
    12.4       54.62       0.2085 0.5797E-02                      F029300200310 
    12.4       60.62       0.2572 0.5797E-02                      F029300200311 
    12.4       68.61       0.3221 0.5797E-02                      F029300200312 
    12.4       76.61       0.4034 0.5797E-02                      F029300200313 
    12.4       84.6        0.4846 0.5797E-02                      F029300200314 
    12.4       86.6        0.5008 0.5797E-02                      F029300200315 
    12.4       94.6        0.4684 0.5797E-02                      F029300200316 
    12.4      100.6        0.4684 0.5797E-02                      F029300200317 
    12.4      106.6        0.3872 0.5797E-02                      F029300200318 
    12.4      112.6        0.3222 0.5797E-02                      F029300200319 
    12.4      122.6        0.2248 0.5797E-02                      F029300200320 
    12.4      128.6        0.2248 0.5797E-02                      F029300200321 
    12.4      136.6        0.2736 0.5797E-02                      F029300200322 
    12.4      138.6        0.371  0.5797E-02                      F029300200323 
    12.4      146.6        0.4685 0.5797E-02                      F029300200324 
    12.4      148.6        0.5821 0.5797E-02                      F029300200325 
    12.4      152.6        0.6471 0.5797E-02                      F029300200326 
    12.4      156.6        0.7121 0.5797E-02                      F029300200327 
    12.4      162.6        0.7121 0.5797E-02                      F029300200328 
    12.4      166.6        0.8582     0.0325                      F029300200329 
    12.4      172.6        0.8907     0.0162                      F029300200330 
    12.6       11.63       0.219  0.4894E-02                      F029300200331 
    12.6       21.73       0.4216 0.4894E-02                      F029300200332 
    12.6       25.71       0.3902 0.4894E-02                      F029300200333 
    12.6       29.76       0.4837 0.4894E-02                      F029300200334 
    12.6       35.7        0.3743 0.4894E-02                      F029300200335 
    12.6       41.64       0.3116 0.4894E-02                      F029300200336 
    12.6       41.67       0.2648 0.4894E-02                      F029300200337 
    12.6       47.64       0.2646 0.4894E-02                      F029300200338 
    12.6       51.62       0.2333 0.4894E-02                      F029300200339 
    12.6       57.63       0.2487 0.4894E-02                      F029300200340 
    12.6       63.63       0.2641 0.4894E-02                      F029300200341 
    12.6       67.64       0.2796 0.4894E-02                      F029300200342 
    12.6       71.7        0.3887 0.4894E-02                      F029300200343 
    12.6       77.7        0.3885 0.4894E-02                      F029300200344 
    12.6       79.72       0.4353 0.4894E-02                      F029300200345 
    12.6       83.73       0.4508     0.0156                      F029300200346 
    12.6       87.74       0.4818 0.4894E-02                      F029300200347 
    12.6       93.78       0.5597 0.4894E-02                      F029300200348 
    12.6       95.77       0.5284 0.4894E-02                      F029300200349 
    12.6      101.8        0.497      0.0156                      F029300200350 
    12.6      105.7        0.4188     0.0468                      F029300200351 
    12.6      111.7        0.3874 0.4894E-02                      F029300200352 
    12.6      113.7        0.3561 0.4894E-02                      F029300200353 
    12.6      117.6        0.2623 0.4894E-02                      F029300200354 
    12.6      123.6        0.2621 0.4894E-02                      F029300200355 
    12.6      129.6        0.2776 0.4894E-02                      F029300200356 
    12.6      137.7        0.3553 0.4894E-02                      F029300200357 
    12.6      141.7        0.4645 0.4894E-02                      F029300200358 
    12.6      145.8        0.5268 0.4894E-02                      F029300200359 
    12.6      149.8        0.6203 0.4894E-02                      F029300200360 
    12.6      157.9        0.7137 0.4894E-02                      F029300200361 
    12.6      163.9        0.7291 0.4894E-02                      F029300200362 
    12.6      171.9        0.7445 0.4894E-02                      F029300200363 
    13.5       20.5        0.2848 0.6050E-02                      F029300200364 
    13.5       26.48       0.4147 0.6050E-02                      F029300200365 
    13.5       32.47       0.4635 0.6050E-02                      F029300200366 
    13.5       36.47       0.4797 0.6050E-02                      F029300200367 
    13.5       40.48       0.3824 0.6050E-02                      F029300200368 
    13.5       44.49       0.3013 0.6050E-02                      F029300200369 
    13.5       50.5        0.204  0.6050E-02                      F029300200370 
    13.5       54.51       0.1229 0.6050E-02                      F029300200371 
    13.5       62.52       0.058  0.6050E-02                      F029300200372 
    13.5       68.51       0.0905 0.6050E-02                      F029300200373 
    13.5       70.51       0.0905 0.6050E-02                      F029300200374 
    13.5       76.5        0.1717 0.6050E-02                      F029300200375 
    13.5       80.49       0.2205 0.6050E-02                      F029300200376 
    13.5       84.48       0.3179 0.6050E-02                      F029300200377 
    13.5       88.46       0.3828 0.6050E-02                      F029300200378 
    13.5       92.46       0.3829 0.6050E-02                      F029300200379 
    13.5       96.46       0.4154 0.6050E-02                      F029300200380 
    13.5      100.5        0.4154 0.6050E-02                      F029300200381 
    13.5      104.5        0.3505 0.6050E-02                      F029300200382 
    13.5      106.5        0.2856 0.6050E-02                      F029300200383 
    13.5      112.5        0.2045 0.6050E-02                      F029300200384 
    13.5      114.5        0.1559 0.6050E-02                      F029300200385 
    13.5      120.5        0.0748 0.6050E-02                      F029300200386 
    13.5      126.5        0.0911 0.6050E-02                      F029300200387 
    13.5      130.5        0.1398 0.6050E-02                      F029300200388 
    13.5      134.5        0.221  0.6050E-02                      F029300200389 
    13.5      136.5        0.3184 0.6050E-02                      F029300200390 
    13.5      144.4        0.5132 0.6050E-02                      F029300200391 
    13.5      144.4        0.643  0.6050E-02                      F029300200392 
    13.5      148.4        0.7404 0.6050E-02                      F029300200393 
    13.5      156.3        1.097  0.6050E-02                      F029300200394 
    13.5      164.3        1.341  0.6050E-02                      F029300200395 
    15.        24.52       0.1245 0.2975E-02                      F029300200396 
    15.        28.49       0.1864     0.0155                      F029300200397 
    15.        34.47       0.2328 0.2975E-02                      F029300200398 
    15.        42.47       0.2251 0.2975E-02                      F029300200399 
    15.        48.49       0.171  0.2975E-02                      F029300200400 
    15.        56.5        0.1324 0.2975E-02                      F029300200401 
    15.        58.52       0.1015 0.2975E-02                      F029300200402 
    15.        64.52       0.0861 0.2975E-02                      F029300200403 
    15.        70.52       0.0784 0.2975E-02                      F029300200404 
    15.        72.52       0.0784 0.2975E-02                      F029300200405 
    15.        76.51       0.1016 0.2975E-02                      F029300200406 
    15.        82.5        0.1326 0.2975E-02                      F029300200407 
    15.        84.49       0.1481 0.2975E-02                      F029300200408 
    15.        90.48       0.1559 0.2975E-02                      F029300200409 
    15.        94.48       0.1636 0.2975E-02                      F029300200410 
    15.        98.47       0.1791 0.2975E-02                      F029300200411 
    15.       102.5        0.1637 0.2975E-02                      F029300200412 
    15.       104.5        0.1482 0.2975E-02                      F029300200413 
    15.       108.5        0.1173 0.2975E-02                      F029300200414 
    15.       114.5        0.0942 0.2975E-02                      F029300200415 
    15.       116.5        0.0632 0.2975E-02                      F029300200416 
    15.       120.5        0.0401 0.2975E-02                      F029300200417 
    15.       128.5        0.0324 0.2975E-02                      F029300200418 
    15.       132.5        0.0479 0.2975E-02                      F029300200419 
    15.       134.5        0.0788 0.2975E-02                      F029300200420 
    15.       138.5        0.1253 0.2975E-02                      F029300200421 
    15.       140.4        0.1794 0.2975E-02                      F029300200422 
    15.       144.4        0.2258 0.2975E-02                      F029300200423 
    15.       144.4        0.2877 0.2975E-02                      F029300200424 
    15.       148.4        0.3186 0.2975E-02                      F029300200425 
    15.       152.3        0.4192 0.2975E-02                      F029300200426 
    15.       156.3        0.4579 0.2975E-02                      F029300200427 
    15.       160.3        0.543  0.2975E-02                      F029300200428 
    15.       168.2        0.6822 0.2975E-02                      F029300200429 
    17.        20.66       0.0428 0.3268E-02                      F029300200430 
    17.        24.62       0.1085 0.3268E-02                      F029300200431 
    17.        30.58       0.1742 0.3268E-02                      F029300200432 
    17.        32.56       0.2071 0.3268E-02                      F029300200433 
    17.        36.55       0.2153 0.3268E-02                      F029300200434 
    17.        42.55       0.2154 0.3268E-02                      F029300200435 
    17.        46.57       0.1744 0.3268E-02                      F029300200436 
    17.        50.6        0.1334 0.3268E-02                      F029300200437 
    17.        54.62       0.0924 0.3268E-02                      F029300200438 
    17.        58.63       0.0678 0.3268E-02                      F029300200439 
    17.        64.64       0.0515 0.3268E-02                      F029300200440 
    17.        70.64       0.0515 0.3268E-02                      F029300200441 
    17.        74.62       0.0762 0.3268E-02                      F029300200442 
