ENTRY            F0098   19990409                             0000F009800000001 
SUBENT        F0098001   19990409                             0000F009800100001 
BIB                  8         10                                 F009800100002 
TITLE      The excited states of 10B                              F009800100003 
AUTHOR     (A.A.FIFE,G.C.NEILSON,W.K.DAWSON)                      F009800100004 
INSTITUTE  (1CANALA)                                              F009800100005 
REFERENCE  (J,NP/A,91,164,196701)                                 F009800100006 
SAMPLE     The 9Be target consisted of a thin film of beryllium   F009800100007 
           metal vacuum deposited on a molybdenum foil            F009800100008 
METHOD     (TOF,PHD)                                              F009800100009 
FACILITY   (VDG)                                                  F009800100010 
HISTORY    (19821112C)                                            F009800100011 
           (19990407A) CNPD: corrected 4-dig. year                F009800100012 
ENDBIB              10          0                                 F009800100013 
NOCOMMON             0          0                                 F009800100014 
ENDSUBENT           13          0                                 F009800199999 
SUBENT        F0098002   19990409                             0000F009800200001 
BIB                  4          6                                 F009800200002 
REACTION   (4-BE-9(D,N)5-B-10,PAR,DA,,REL,EXP)                    F009800200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F009800200004 
           (DATA-ERR) From graphic bars (statistical) and         F009800200005 
           digitizing                                             F009800200006 
STATUS     (CURVE) fig 4,5,6                                      F009800200007 
EN-SEC     (E-LVL,5-B-10)                                         F009800200008 
    64.48       2.15     371.4       39.18                        F009800200125 
    64.93       5.11     658.7       16.45                        F009800200126 
    65.64       0.72   0.1069E+05  1428.                          F009800200127 
    65.77       3.59       4.733      0.6322                      F009800200128 
    66.05       4.77   0.1036E+06  2587.                          F009800200129 
    66.6        5.16       4.863      1.063                       F009800200130 
    67.9        5.93   0.8592E+05 0.1381E+05                      F009800200131 
    67.92       5.93   0.7779E+05  8129.                          F009800200132 
    68.71       6.03    3233.       338.1                         F009800200133 
    79.14       0.     0.2166E+06 0.3517E+05                      F009800200134 
    79.36       0.72    9198.      1493.                          F009800200135 
    79.92       1.74    1403.       399.8                         F009800200136 
    80.36       2.15     319.5       33.71                        F009800200137 
    81.64       3.59       4.281      0.4517                      F009800200138 
    81.73       4.77   0.1179E+06  2946.                          F009800200139 
    82.19       5.11     469.7      102.1                         F009800200140 
    82.32       5.16       4.894      1.069                       F009800200141 
    83.64       5.93   0.8603E+05 0.1551E+05                      F009800200142 
    83.99       6.14     345.9       55.64                        F009800200143 
    84.38       5.93   0.9741E+05 0.1018E+05                      F009800200144 
   103.8        0.72    9671.      1020.                          F009800200145 
   104.4        0.     0.1864E+06 0.2489E+05                      F009800200146 
   104.6        4.77   0.1052E+06  2629.                          F009800200147 
   104.6        1.74     613.3      174.8                         F009800200148 
   104.9        2.15     261.5       27.58                        F009800200149 
   106.2        3.59       3.503      0.7781                      F009800200150 
   106.8        5.11     185.8       29.64                        F009800200151 
   107.9        5.16       7.711      0.39                        F009800200152 
   108.5        5.93   0.4990E+05  8020.                          F009800200153 
   108.6        6.03    2180.       479.4                         F009800200154 
   109.6        6.14     227.2       30.06                        F009800200155 
   113.9        0.72    9671.      1292.                          F009800200156 
   114.2        2.15     371.4       49.61                        F009800200157 
   114.4        0.     0.2648E+06 0.2793E+05                      F009800200158 
   114.7        1.74     788.       276.6                         F009800200159 
   116.         4.77   0.1167E+06  2915.                          F009800200160 
   116.2        3.59       4.502      0.6012                      F009800200161 
   116.7        5.11     257.1       26.66                        F009800200162 
   117.8        5.93   0.5516E+05  2811.                          F009800200163 
   118.         5.16       5.759      0.9186                      F009800200164 
   118.7        6.03    2661.       585.3                         F009800200165 
   119.6        6.14     205.9       15.91                        F009800200166 
   122.6        0.72    8748.      1678.                          F009800200167 
   122.9        0.     0.3236E+06 0.5253E+05                      F009800200168 
   123.2        1.74    1038.       138.7                         F009800200169 
   123.5        2.15     353.3       67.78                        F009800200170 
   124.5        4.77   0.1392E+06  3476.                          F009800200171 
   124.8        3.59       4.733      0.4993                      F009800200172 
   125.2        5.11     271.1       51.09                        F009800200173 
   127.9        5.93   0.6569E+05 0.1248E+05                      F009800200174 
   128.2        6.14     216.5       54.27                        F009800200175 
   135.9        0.     0.3236E+06 0.3414E+05                      F009800200176 
   136.1        1.74    1334.       256.                          F009800200177 
   137.         0.72    8748.      1420.                          F009800200178 
   137.9        2.15     453.9       73.69                        F009800200179 
   139.         4.77   0.8981E+05  2243.                          F009800200180 
   139.3        3.59       3.777      0.5045                      F009800200181 
   140.8        5.93   0.7634E+05 0.1010E+05                      F009800200182 
   141.         6.14     156.9       44.28                        F009800200183 
   147.4        0.     0.3156E+06 0.4215E+05                      F009800200184 
   149.8        0.72   0.1340E+05  1790.                          F009800200185 
   150.6        4.77   0.5375E+05  8611.                          F009800200186 
   150.6        1.74    1065.       172.8                         F009800200187 
   150.8        2.15     410.6       43.32                        F009800200188 
   152.         5.11     112.8       21.21                        F009800200189 
   152.3        3.59       3.416      0.4563                      F009800200190 
   153.6        5.93   0.6749E+05 0.1485E+05                      F009800200191 
   153.8        5.16       4.567      1.571                       F009800200192 
ENDDATA            177          0                                 F009800200193 
ENDSUBENT          192          0                                 F009800299999 
ENDENTRY             2          0                                 F009899999999 
