ENTRY            F0419   19990410                             0000F041900000001 
SUBENT        F0419001   19990410                             0000F041900100001 
BIB                  9         13                                 F041900100002 
TITLE       (alpha,n) reactions in light nuclei                   F041900100003 
AUTHOR     (G.DECONNINCK,M.DE VROEY,J.P.MEULDERS,J.SIMONET)       F041900100004 
INSTITUTE  (2BLGLVN)                                              F041900100005 
REFERENCE  (J,NP,49,424,196312)                                   F041900100006 
SAMPLE     The targets are 2.5 mg/cm**2 evaporated 9Be or a layer F041900100007 
           of polymerised acetylene (13C enriched) of             F041900100008 
           undertermined thickness                                F041900100009 
FACILITY   (CYCLO) Fixed energy cyclotron                         F041900100010 
DETECTOR   (SCIN) Neutron detected by stilbene crystal            F041900100011 
ERR-ANALYS (ANG-ERR) Digitizing error                             F041900100012 
           (ERR-1) Error from absolute calibration                F041900100013 
           (DATA-ERR) Arbitrary error                             F041900100014 
HISTORY    (19860709C)                                            F041900100015 
ENDBIB              13          0                                 F041900100016 
COMMON               2          3                                 F041900100017 
ERR-1      DATA-ERR                                               F041900100018 
PER-CENT   PER-CENT                                               F041900100019 
  20.0       5.0                                                  F041900100020 
ENDCOMMON            3          0                                 F041900100021 
ENDSUBENT           20          0                                 F041900199999 
SUBENT        F0419002   19990410                             0000F041900200001 
BIB                  3          3                                 F041900200002 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA,,,EXP)                       F041900200003 
EN-SEC     (E-LVL,6-C-12)                                         F041900200004 
STATUS     (CURVE) fig 1,2,4                                      F041900200005 
ENDBIB               3          0                                 F041900200006 
COMMON               1          3                                 F041900200007 
ANG-ERR                                                           F041900200008 
ADEG                                                              F041900200009 
  1.                                                              F041900200010 
ENDCOMMON            3          0                                 F041900200011 
DATA                 5        367                                 F041900200012 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR1             F041900200013 
    13.6        4.44      47.02       1.176      0.2447           F041900200046 
    13.6        4.44      59.15       1.203      0.2669           F041900200047 
    14.5        0.         1.623      0.3546     0.0365           F041900200048 
    14.5        0.        16.08       0.4826     0.0546           F041900200049 
    14.5        0.        26.55       0.6016     0.0545           F041900200050 
    14.5        0.        38.26       0.7843     0.0636           F041900200051 
    14.5        0.        50.67       0.5307     0.0636           F041900200052 
    14.5        0.        60.19       0.4132     0.0455           F041900200053 
    14.5        0.        70.78       0.4595     0.0637           F041900200054 
    14.5        0.        81.32       0.533      0.0546           F041900200055 
    14.5        0.        91.99       0.5338     0.0637           F041900200056 
    14.5        0.       101.6        0.3709     0.0365           F041900200057 
    14.5        0.       112.3        0.3535     0.0364           F041900200058 
    14.5        0.       121.7        0.3088     0.0274           F041900200059 
    14.5        0.       141.6        0.3375     0.0272           F041900200060 
    14.5        4.44       2.4        1.372      0.1393           F041900200061 
    14.5        4.44      12.08       1.26       0.0936           F041900200062 
    14.5        4.44      24.59       1.081      0.1168           F041900200063 
    14.5        4.44      35.57       0.9943     0.0936           F041900200064 
    14.5        4.44      46.6        0.884      0.0936           F041900200065 
    15.7        0.         1.087      0.1429     0.0179           F041900200066 
    15.7        0.        18.59       0.2685     0.0446           F041900200067 
    15.7        0.        30.26       0.5192     0.0626           F041900200068 
    15.7        0.        42.23       0.5466     0.0625           F041900200069 
    15.7        0.        48.92       0.5292     0.0536           F041900200070 
    15.7        0.        62.43       0.3871     0.0536           F041900200071 
    15.7        0.        73.06       0.4145     0.0447           F041900200072 
    15.7        0.        83.77       0.3794     0.0536           F041900200073 
    15.7        0.        94.39       0.4157     0.0446           F041900200074 
    15.7        0.       103.7        0.4431     0.0447           F041900200075 
    15.7        0.       115.7        0.417      0.0536           F041900200076 
    15.7        0.       125.1        0.3461     0.0447           F041900200077 
    15.7        0.       135.9        0.2931     0.0268           F041900200078 
    15.7        0.       142.4        0.3739     0.0446           F041900200079 
    15.7        0.       151.7        0.4458     0.1071           F041900200080 
    15.7        4.44       0.9167     0.6818     0.1141           F041900200081 
    15.7        4.44      10.34       0.5501     0.046            F041900200082 
    15.7        4.44      10.6        0.7089     0.1197           F041900200083 
    15.7        4.44      33.28       0.7422     0.1367           F041900200084 
    15.7        4.44      44.06       0.7699     0.0914           F041900200085 
    15.7        4.44      57.73       0.6854     0.0901           F041900200086 
    15.7        4.44      67.38       0.5764     0.046            F041900200087 
    15.7        4.44      78.15       0.6041     0.0687           F041900200088 
    15.7        4.44      89.15       0.4957     0.0447           F041900200089 
    15.9        0.         2.104      0.2        0.0273           F041900200090 
    15.9        0.        15.67       0.2644     0.0273           F041900200091 
    15.9        0.        27.32       0.4835     0.0455           F041900200092 
    15.9        0.        37.94       0.5116     0.0547           F041900200093 
    15.9        0.        50.06       0.4306     0.0545           F041900200094 
    15.9        0.        59.57       0.3222     0.0455           F041900200095 
    15.9        0.        71.5        0.3686     0.0545           F041900200096 
    15.9        0.        80.94       0.2965     0.0365           F041900200097 
    15.9        0.        91.68       0.2519     0.0365           F041900200098 
    15.9        0.       102.4        0.2436     0.0273           F041900200099 
    15.9        0.       113.1        0.2171     0.0182           F041900200100 
    15.9        0.       122.4        0.1996     0.0273           F041900200101 
    15.9        0.       133.1        0.2004     0.0273           F041900200102 
    15.9        0.       139.8        0.1918     0.0182           F041900200103 
    15.9        0.       149.1        0.2106     0.0273           F041900200104 
    15.9        0.       158.4        0.1841     0.0182           F041900200105 
    15.9        0.       164.9        0.3118     0.0364           F041900200106 
    15.9        0.       172.9        0.2943     0.0274           F041900200107 
    15.9        4.44       1.614      0.8865     0.0901           F041900200108 
    15.9        4.44      10.24       0.5954     0.0914           F041900200109 
    15.9        4.44      22.52       0.5333     0.0688           F041900200110 
    15.9        4.44      34.37       0.7209     0.0914           F041900200111 
    15.9        4.44      46.5        0.7496     0.0681           F041900200112 
    15.9        4.44      57.43       0.6868     0.0688           F041900200113 
    15.9        4.44      68.48       0.556      0.0461           F041900200114 
    15.9        4.44      79.37       0.5159     0.0681           F041900200115 
    15.9        4.44      88.99       0.4298     0.0681           F041900200116 
    15.9        4.44      98.53       0.389      0.0461           F041900200117 
    15.9        4.44     109.3        0.4171     0.0461           F041900200118 
    15.9        4.44     118.7        0.4671     0.0461           F041900200119 
    15.9        4.44     126.7        0.5165     0.0461           F041900200120 
    15.9        4.44     136.3        0.453      0.0454           F041900200121 
    15.9        4.44     143.         0.5018     0.0461           F041900200122 
    15.9        4.44     151.1        0.4831     0.0461           F041900200123 
    17.         0.         1.318      0.0893     0.0179           F041900200124 
    17.         0.         7.795      0.242      0.0446           F041900200125 
    17.         0.        21.03       0.3683     0.0357           F041900200126 
    17.         0.        31.9        0.3516     0.0446           F041900200127 
    17.         0.        42.82       0.3081     0.0537           F041900200128 
    17.         0.        53.9        0.2021     0.0358           F041900200129 
    17.         0.        65.95       0.2569     0.0357           F041900200130 
    17.         0.        74.07       0.2577     0.0358           F041900200131 
    17.         0.        85.1        0.1695     0.0268           F041900200132 
    17.         0.        95.75       0.2421     0.0358           F041900200133 
    17.         0.       105.3        0.2163     0.0268           F041900200134 
    17.         0.       113.4        0.2349     0.0269           F041900200135 
    17.         0.       124.2        0.2271     0.0358           F041900200136 
    17.         0.       133.8        0.1745     0.0268           F041900200137 
    17.         0.       141.9        0.1754     0.0358           F041900200138 
    17.         0.       159.5        0.195      0.0358           F041900200139 
    17.         0.       166.4        0.1332     0.018            F041900200140 
    17.         4.44       0.4697     0.4452     0.0659           F041900200141 
    17.         4.44      10.22       0.2946     0.0451           F041900200142 
    17.         4.44      22.43       0.2786     0.0444           F041900200143 
    17.         4.44      32.83       0.5059     0.0888           F041900200144 
    17.         4.44      46.05       0.6681     0.0881           F041900200145 
    17.         4.44      56.95       0.6292     0.0666           F041900200146 
    17.         4.44      68.17       0.4127     0.0666           F041900200147 
    17.         4.44      80.46       0.3523     0.0659           F041900200148 
    17.         4.44      89.84       0.4014     0.0666           F041900200149 
    17.         4.44      99.39       0.3618     0.0222           F041900200150 
    17.         4.44     110.2        0.3451     0.0666           F041900200151 
    18.         0.         0.2174     0.2234     0.0446           F041900200152 
    18.         0.        11.76       0.3227     0.0446           F041900200153 
    18.         0.        23.32       0.6272     0.0626           F041900200154 
    18.         0.        34.34       0.53       0.0714           F041900200155 
    18.         0.        45.53       0.3524     0.0625           F041900200156 
    18.         0.        56.52       0.2731     0.0446           F041900200157 
    18.         0.        67.21       0.3365     0.0448           F041900200158 
    18.         0.        76.77       0.2927     0.0268           F041900200159 
    18.         0.        89.19       0.1777     0.0268           F041900200160 
    18.         0.        97.38       0.1427     0.018            F041900200161 
    18.         0.       109.5        0.1617     0.0179           F041900200162 
    18.         0.       117.7        0.1445     0.018            F041900200163 
    18.         0.       126.9        0.2614     0.0268           F041900200164 
    18.         0.       136.5        0.1998     0.0269           F041900200165 
    18.         0.       145.6        0.3791     0.0356           F041900200166 
    18.         0.       158.9        0.5232     0.0714           F041900200167 
    18.         0.       169.         0.2026     0.0446           F041900200168 
    18.         4.44       0.6816     0.9993     0.0928           F041900200169 
    18.         4.44      10.46       0.8193     0.0928           F041900200170 
    18.         4.44      22.75       0.756      0.0928           F041900200171 
    18.         4.44      33.68       0.692      0.0703           F041900200172 
    18.         4.44      45.81       0.7215     0.0935           F041900200173 
    18.         4.44      56.82       0.6112     0.0696           F041900200174 
    18.         4.44      66.33       0.5929     0.0464           F041900200175 
    18.         4.44      77.39       0.4593     0.0696           F041900200176 
    18.         4.44      89.51       0.4888     0.0696           F041900200177 
    18.         4.44      97.66       0.4698     0.0464           F041900200178 
    18.         4.44     107.2        0.4516     0.0471           F041900200179 
    18.         4.44     118.         0.434      0.0464           F041900200180 
    18.3        0.         0.7243     0.0909     0.0182           F041900200181 
    18.3        0.        12.27       0.3467     0.0454           F041900200182 
    18.3        0.        20.73       0.7567     0.091            F041900200183 
    18.3        0.        32.         0.5762     0.0638           F041900200184 
    18.3        0.        43.27       0.3956     0.0547           F041900200185 
    18.3        0.        54.25       0.3332     0.0454           F041900200186 
    18.3        0.        65.17       0.2981     0.0545           F041900200187 
    18.3        0.        75.85       0.3538     0.0545           F041900200188 
    18.3        0.        87.01       0.2187     0.0362           F041900200189 
    18.3        0.        96.51       0.2107     0.0364           F041900200190 
    18.3        0.       107.6        0.1028     0.0182           F041900200191 
    18.3        0.       115.7        0.1037     0.0273           F041900200192 
    18.3        0.       125.         0.1684     0.0183           F041900200193 
    18.3        0.       133.1        0.1966     0.0041           F041900200194 
    18.3        0.       134.5        0.1695     0.0041           F041900200195 
    18.3        0.       143.7        0.2705     0.0362           F041900200196 
    18.3        0.       151.9        0.2532     0.1728           F041900200197 
    18.3        0.       158.8        0.1995     0.0182           F041900200198 
    18.3        4.44       1.467      0.7905     0.0928           F041900200199 
    18.3        4.44      12.31       0.7256     0.0928           F041900200200 
    18.3        4.44      23.36       0.5215     0.0464           F041900200201 
    18.3        4.44      33.92       0.6424     0.0928           F041900200202 
    18.3        4.44      47.17       0.7645     0.0929           F041900200203 
    18.3        4.44      55.26       0.7449     0.1161           F041900200204 
    18.3        4.44      66.28       0.564      0.0702           F041900200205 
    18.3        4.44      78.5        0.4765     0.0464           F041900200206 
    18.3        4.44      87.58       0.6897     0.0702           F041900200207 
    18.3        4.44      98.42       0.6248     0.0928           F041900200208 
    18.3        4.44     106.9        0.3267     0.0702           F041900200209 
    18.3        4.44     117.7        0.2851     0.0232           F041900200210 
    18.3        4.44     125.8        0.2655     0.0464           F041900200211 
    18.3        4.44     135.2        0.2697     0.0238           F041900200212 
    19.3        0.         1.205      0.1295     0.0463           F041900200213 
    19.3        0.         6.868      0.4732     0.0742           F041900200214 
    19.3        0.        18.9        0.5393     0.0742           F041900200215 
    19.3        0.        30.94       0.6053     0.0648           F041900200216 
    19.3        0.        42.21       0.4027     0.0648           F041900200217 
    19.3        0.        52.97       0.3116     0.0926           F041900200218 
    19.3        0.        62.8        0.2659     0.0464           F041900200219 
    19.3        0.        73.5        0.3226     0.0464           F041900200220 
    19.3        0.        84.51       0.2404     0.037            F041900200221 
    19.3        0.        94.08       0.195      0.0188           F041900200222 
    19.3        0.       103.7        0.1497     0.0279           F041900200223 
    19.3        0.       114.4        0.1693     0.0278           F041900200224 
    19.3        0.       124.1        0.1055     0.0185           F041900200225 
    19.3        0.       132.1        0.1434     0.0093           F041900200226 
    19.3        0.       141.5        0.1629     0.0185           F041900200227 
    19.3        0.       149.6        0.1822     0.0094           F041900200228 
    19.3        0.       156.4        0.1829     0.0279           F041900200229 
    19.3        4.44       1.052      1.688      0.1776           F041900200230 
    19.3        4.44      12.45       1.271      0.1338           F041900200231 
    19.3        4.44      24.36       0.5208     0.0888           F041900200232 
    19.3        4.44      35.03       0.5698     0.0888           F041900200233 
    19.3        4.44      46.69       0.8413     0.1338           F041900200234 
    19.3        4.44      57.5        0.8014     0.0894           F041900200235 
    19.3        4.44      69.72       0.7178     0.1104           F041900200236 
    19.3        4.44      78.22       0.4326     0.0672           F041900200237 
    19.3        4.44      88.99       0.415      0.0666           F041900200238 
    19.3        4.44      98.32       0.4634     0.0444           F041900200239 
    19.3        4.44     109.1        0.4236     0.0666           F041900200240 
    19.3        4.44     118.7        0.3166     0.0444           F041900200241 
    19.3        4.44     128.1        0.3206     0.0666           F041900200242 
    19.3        4.44     134.9        0.279      0.045            F041900200243 
    19.3        4.44     145.4        0.3946     0.0444           F041900200244 
    19.3        4.44     153.3        0.509      0.0444           F041900200245 
    19.3        4.44     160.1        0.4453     0.0444           F041900200246 
    20.3        0.         1.655      0.1546     0.0272           F041900200247 
    20.3        0.        13.59       0.4824     0.0637           F041900200248 
    20.3        0.        24.3        0.6829     0.0727           F041900200249 
    20.3        0.        32.46       0.7014     0.0728           F041900200250 
    20.3        0.        44.94       0.4929     0.0545           F041900200251 
    20.3        0.        56.07       0.2843     0.0273           F041900200252 
    20.3        0.        65.59       0.3029     0.0364           F041900200253 
    20.3        0.        76.46       0.3489     0.0364           F041900200254 
    20.3        0.        86.09       0.2584     0.0274           F041900200255 
    20.3        0.        98.44       0.1862     0.0182           F041900200256 
    20.3        0.       106.7        0.1593     0.0182           F041900200257 
    20.3        0.       117.6        0.1598     0.0182           F041900200258 
    20.3        0.       125.8        0.1511     0.0273           F041900200259 
    20.3        0.       135.3        0.1334     0.0273           F041900200260 
    20.3        0.       144.8        0.152      0.0182           F041900200261 
    20.3        0.       151.7        0.125      0.0182           F041900200262 
    20.3        0.       157.2        0.0889     0.0182           F041900200263 
    20.3        0.       166.7        0.1348     0.0091           F041900200264 
    20.3        4.44       1.089      2.439      0.1843           F041900200265 
    20.3        4.44      11.01       1.595      0.2066           F041900200266 
    20.3        4.44      21.81       0.7269     0.0918           F041900200267 
    20.3        4.44      31.54       0.5247     0.0918           F041900200268 
    20.3        4.44      43.44       0.6452     0.0695           F041900200269 
    20.3        4.44      53.95       0.788      0.0925           F041900200270 
    20.3        4.44      66.33       0.61       0.0689           F041900200271 
    20.3        4.44      77.32       0.4544     0.0695           F041900200272 
    20.3        4.44      88.13       0.4135     0.0459           F041900200273 
    20.3        4.44      96.11       0.4632     0.0465           F041900200274 
    20.3        4.44     106.9        0.4453     0.0695           F041900200275 
    20.3        4.44     116.4        0.3809     0.0459           F041900200276 
    20.3        4.44     124.3        0.4765     0.0695           F041900200277 
    20.3        4.44     135.4        0.2749     0.0459           F041900200278 
    20.3        4.44     142.1        0.2781     0.0038           F041900200279 
    20.3        4.44     151.4        0.3054     0.0038           F041900200280 
    20.3        4.44     155.5        0.3073     0.0038           F041900200281 
    20.3        4.44     167.5        0.313      0.0459           F041900200282 
    21.2        0.         1.317      0.2365     0.0454           F041900200283 
    21.2        0.        12.79       0.2916     0.0454           F041900200284 
    21.2        0.        24.79       0.4922     0.0818           F041900200285 
    21.2        0.        35.54       0.611      0.0635           F041900200286 
    21.2        0.        46.67       0.4481     0.0636           F041900200287 
    21.2        0.        57.85       0.2488     0.0454           F041900200288 
    21.2        0.        68.79       0.2222     0.0364           F041900200289 
    21.2        0.        79.7        0.2228     0.0273           F041900200290 
    21.2        0.        89.28       0.1961     0.0273           F041900200291 
    21.2        0.       100.3        0.1513     0.0183           F041900200292 
    21.2        0.       109.8        0.1337     0.0273           F041900200293 
    21.2        0.       119.4        0.1252     0.0182           F041900200294 
    21.2        0.       127.6        0.1257     0.0183           F041900200295 
    21.2        0.       137.1        0.1354     0.0182           F041900200296 
    21.2        0.       146.6        0.1359     0.0182           F041900200297 
    21.2        0.       154.9        0.1091     0.0183           F041900200298 
    21.2        0.       163.         0.1096     0.0364           F041900200299 
    21.2        0.       171.2        0.1192     0.0273           F041900200300 
    21.2        4.44       0.3345     1.677      0.3247           F041900200301 
    21.2        4.44      10.83       1.435      0.1603           F041900200302 
    21.2        4.44      23.03       0.6516     0.1517           F041900200303 
    21.2        4.44      34.74       0.3898     0.1047           F041900200304 
    21.2        4.44      45.74       0.3074     0.0962           F041900200305 
    21.2        4.44      57.86       0.614      0.0919           F041900200306 
    21.2        4.44      69.37       0.0872     0.0492           F041900200307 
    21.2        4.44      79.66       0.2333     0.0833           F041900200308 
    21.2        4.44      89.9        0.2086     0.0726           F041900200309 
    21.2        4.44     100.1        0.2244     0.0534           F041900200310 
    21.2        4.44     110.         0.3043     0.0641           F041900200311 
    21.2        4.44     120.1        0.2048     0.062            F041900200312 
    21.2        4.44     129.5        0.1799     0.1261           F041900200313 
    21.2        4.44     138.2        0.2618     0.0705           F041900200314 
    21.2        4.44     145.7        0.3052     0.0748           F041900200315 
    21.2        4.44     153.9        0.2974     0.0791           F041900200316 
    21.2        4.44     161.5        0.2532     0.0727           F041900200317 
    21.2        4.44     170.1        0.1748     0.0684           F041900200318 
    22.1        0.         1.519      0.3125     0.0536           F041900200319 
    22.1        0.        14.27       0.4203     0.0625           F041900200320 
    22.1        0.        24.72       0.7333     0.0715           F041900200321 
    22.1        0.        35.9        0.5466     0.0715           F041900200322 
    22.1        0.        49.78       0.3868     0.0446           F041900200323 
    22.1        0.        59.51       0.2535     0.0446           F041900200324 
    22.1        0.        70.53       0.1828     0.0267           F041900200325 
    22.1        0.        80.13       0.1477     0.0179           F041900200326 
    22.1        0.        92.38       0.1574     0.0267           F041900200327 
    22.1        0.       100.6        0.14       0.0179           F041900200328 
    22.1        0.       111.5        0.1229     0.0179           F041900200329 
    22.1        0.       119.7        0.1145     0.0179           F041900200330 
    22.1        0.       129.2        0.1329     0.0179           F041900200331 
    22.1        0.       137.4        0.1334     0.0268           F041900200332 
    22.1        0.       145.5        0.1964     0.0269           F041900200333 
    22.1        0.       155.2        0.0988     0.0089           F041900200334 
    22.1        0.       159.3        0.0902     0.0179           F041900200335 
    22.1        0.       167.3        0.1889     0.0267           F041900200336 
    22.1        4.44       1.903      1.682      0.1591           F041900200337 
    22.1        4.44       7.084      1.114      0.1364           F041900200338 
    22.1        4.44      17.76       0.4328     0.1136           F041900200339 
    22.1        4.44      29.67       0.4332     0.1137           F041900200340 
    22.1        4.44      40.24       0.5927     0.0909           F041900200341 
    22.1        4.44      50.82       0.6159     0.0682           F041900200342 
    22.1        4.44      61.43       0.4345     0.091            F041900200343 
    22.1        4.44      73.36       0.3213     0.0681           F041900200344 
    22.1        4.44      82.58       0.6626     0.0432           F041900200345 
    22.1        4.44      91.89       0.3221     0.0455           F041900200346 
    22.1        4.44     102.5        0.2543     0.0454           F041900200347 
    22.1        4.44     113.1        0.2547     0.0217           F041900200348 
    22.1        4.44     122.3        0.2778     0.0217           F041900200349 
    22.1        4.44     130.3        0.3009     0.0217           F041900200350 
    22.1        4.44     140.9        0.324      0.0217           F041900200351 
    22.1        4.44     146.1        0.3469     0.0217           F041900200352 
    22.1        4.44     159.4        0.2111     0.0217           F041900200353 
    23.         0.         1.106      0.2411     0.0714           F041900200354 
    23.         0.        14.97       0.5631     0.0982           F041900200355 
    23.         0.        25.86       0.5816     0.0893           F041900200356 
    23.         0.        35.41       0.5732     0.0536           F041900200357 
    23.         0.        46.5        0.4309     0.0626           F041900200358 
    23.         0.        57.4        0.4405     0.0804           F041900200359 
    23.         0.        69.78       0.3519     0.0626           F041900200360 
    23.         0.        80.94       0.156      0.0357           F041900200361 
    23.         0.        91.84       0.1656     0.0357           F041900200362 
    23.         0.       101.4        0.1304     0.0268           F041900200363 
    23.         0.       112.4        0.1042     0.0179           F041900200364 
    23.         0.       128.7        0.1497     0.0268           F041900200365 
    23.         0.       145.         0.1952     0.0356           F041900200366 
    23.         0.       169.6        0.1162     0.0179           F041900200367 
    23.         4.44       0.6099     1.78       0.1818           F041900200368 
    23.         4.44       6.429      1.167      0.159            F041900200369 
    23.         4.44      17.1        0.7363     0.0682           F041900200370 
    23.         4.44      27.67       0.8278     0.0908           F041900200371 
    23.         4.44      39.58       0.8513     0.1363           F041900200372 
    23.         4.44      51.58       0.3975     0.0909           F041900200373 
    23.         4.44      63.49       0.3983     0.0909           F041900200374 
    23.         4.44      72.77       0.3534     0.0682           F041900200375 
    23.         4.44      83.37       0.2631     0.0454           F041900200376 
    23.         4.44      92.63       0.3091     0.0682           F041900200377 
    23.         4.44     103.2        0.2416     0.0681           F041900200378 
    23.         4.44     121.8        0.2655     0.0454           F041900200379 
    23.         4.44     140.2        0.4257     0.0454           F041900200380 
    23.         4.44     160.1        0.3587     0.0683           F041900200381 
ENDDATA            369          0                                 F041900200382 
ENDSUBENT          381          0                                 F041900299999 
SUBENT        F0419003   19990410                             0000F041900300001 
BIB                  3          4                                 F041900300002 
REACTION   (6-C-13(A,N)8-O-16,PAR,DA,,REL,EXP)                    F041900300003 
ERR-ANALYS (DATA-ERR1) Digitizing error                           F041900300004 
           (DATA-ERR2) Error from graphic bars (statistic)        F041900300005 
STATUS     (CURVE) Fig.4                                          F041900300006 
ENDBIB               4          0                                 F041900300007 
COMMON               3          3                                 F041900300008 
E-LVL      ANG-ERR    DATA-ERR1                                   F041900300009 
MEV        ADEG       ARB-UNITS                                   F041900300010 
 0.0        0.3        0.002                                      F041900300011 
ENDCOMMON            3          0                                 F041900300012 
DATA                 4         68                                 F041900300013 
EN         ANG-CM     DATA-CM    DATA-ERR2                        F041900300014 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        F041900300015 
    19.2        0.3525     2.447      0.2404                      F041900300016 
    19.2       11.08       1.651      0.1226                      F041900300017 
    19.2       23.07       1.588      0.1442                      F041900300018 
    19.2       34.11       2.22       0.1659                      F041900300019 
    19.2       45.63       1.979      0.1298                      F041900300020 
    19.2       56.17       1.287      0.0817                      F041900300021 
    19.2       66.82       1.286      0.0817                      F041900300022 
    19.2       77.96       1.541      0.1154                      F041900300023 
    19.2       88.16       1.555      0.1034                      F041900300024 
    19.2       97.71       1.22       0.0841                      F041900300025 
    19.2      107.4        1.143      0.0697                      F041900300026 
    19.2      116.9        1.138      0.0769                      F041900300027 
    19.2      126.1        1.169      0.0769                      F041900300028 
    19.2      136.1        1.15       0.0577                      F041900300029 
    19.2      144.8        1.149      0.0577                      F041900300030 
    19.2      160.7        1.447      0.1539                      F041900300031 
    19.2      168.5        1.97       0.226                       F041900300032 
    20.2        0.4503     1.446      0.1131                      F041900300033 
    20.2       10.8        1.029      0.1453                      F041900300034 
    20.2       21.45       0.7158     0.8959                      F041900300035 
    20.2       33.15       1.299      0.1453                      F041900300036 
    20.2       44.55       1.252      0.1453                      F041900300037 
    20.2       55.8        0.8136     0.9685                      F041900300038 
    20.2       66.45       0.5928     0.9685                      F041900300039 
    20.2       76.8        0.7207     0.9201                      F041900300040 
    20.2       86.7        0.7348     0.92                        F041900300041 
    20.2       97.5        0.5406     0.8716                      F041900300042 
    20.2      106.8        0.4385     0.5326                      F041900300043 
    20.2      115.5        0.4163     0.6536                      F041900300044 
    20.2      125.4        0.4692     0.7507                      F041900300045 
    20.2      144.1        0.3642     0.4843                      F041900300046 
    20.2      160.         0.7994     0.1283                      F041900300047 
    20.2      168.4        1.111      0.1768                      F041900300048 
    21.5        0.1363     0.9259     0.2014                      F041900300049 
    21.5       12.97       0.3979     0.1134                      F041900300050 
    21.5       22.71       0.3653     0.0926                      F041900300051 
    21.5       34.03       0.8812     0.1991                      F041900300052 
    21.5       45.61       1.129      0.25                        F041900300053 
