ENTRY            F0041   20030519                             0000F004100000001 
SUBENT        F0041001   20030519                             0000F004100100001 
BIB                 10         11                                 F004100100002 
TITLE      Effects of the interference in the reactions           F004100100003 
           7Li(d,n)8Be near 1 MeV rezonance                       F004100100004 
AUTHOR     (C.NUSSBAUM)                                           F004100100005 
INSTITUTE  (2SWTNEU)                                              F004100100006 
REFERENCE  (J,HPA,42,361,1969)                                    F004100100007 
SAMPLE     Natural lithium                                        F004100100008 
DETECTOR   (SCIN)                                                 F004100100009 
FACILITY   (VDG)                                                  F004100100010 
METHOD     (PHD)                                                  F004100100011 
ERR-ANALYS (DATA-ERR) Digitizing error                            F004100100012 
HISTORY    (19840105C)                                            F004100100013 
ENDBIB              11          0                                 F004100100014 
NOCOMMON             0          0                                 F004100100015 
ENDSUBENT           14          0                                 F004100199999 
SUBENT        F0041002   20030519                             0000F004100200001 
BIB                  4          5                                 F004100200002 
REACTION   (3-LI-7(D,N)4-BE-8,PAR,DA,,,EXP)                       F004100200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F004100200004 
           (DATA-ERR1) Error from graphic bars (statistic)        F004100200005 
EN-SEC     (E-LVL,4-BE-8)                                         F004100200006 
STATUS     (CURVE) Fig 13,14                                      F004100200007 
ENDBIB               5          0                                 F004100200008 
COMMON               2          3                                 F004100200009 
ANG-ERR    DATA-ERR                                               F004100200010 
ADEG       PER-CENT                                               F004100200011 
 0.5        0.2                                                   F004100200012 
ENDCOMMON            3          0                                 F004100200013 
DATA                 5        134                                 F004100200014 
EN         E-LVL      ANG        DATA       DATA-ERR1             F004100200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 F004100200016 
  0.001     0.04                                                  F004100400012 
ENDCOMMON            3          0                                 F004100400013 
DATA                 5         48                                 F004100400014 
EN         E-LVL      ANG        DATA       DATA-ERR1             F004100400015 
MEV        MEV        ADEG       MB/SR      MB/SR                 F004100400016 
 0.8536      0.000      0.000      3.096     0.4895               F004100400017 
 0.8600      2.940      0.000      11.10      1.166               F004100400018 
 0.8609      0.000      90.00      4.625     0.6548               F004100400019 
 0.8609      2.940      90.00      9.525      1.181               F004100400020 
 0.9103      2.940      0.000      7.267      1.053               F004100400021 
 0.9107      0.000      0.000      2.426     0.5648               F004100400022 
 0.9125      2.940      90.00      10.70      1.181               F004100400023 
 0.9130      0.000      90.00      5.023     0.5729               F004100400024 
 0.9404      0.000      0.000      2.355     0.5272               F004100400025 
 0.9409      0.000      90.00      4.608     0.5730               F004100400026 
 0.9409      2.940      90.00      11.22      1.304               F004100400027 
 0.9420      2.940      0.000      11.67      1.542               F004100400028 
 0.9687      0.000      90.00      3.824     0.5731               F004100400029 
 0.9687      2.940      90.00      13.17      1.385               F004100400030 
 0.9706      0.000      0.000      2.548     0.5271               F004100400031 
 0.9722      2.940      0.000      18.26      2.144               F004100400032 
 0.9997      0.000      90.00      3.940     0.5321               F004100400033 
  1.000      2.940      90.00      17.48      1.792               F004100400034 
  1.001      0.000      0.000      2.477     0.4895               F004100400035 
  1.003      2.940      0.000      21.00      2.369               F004100400036 
  1.008      0.000      90.00      4.020     0.5731               F004100400037 
  1.009      2.940      90.00      16.70      1.833               F004100400038 
  1.012      0.000      0.000      1.800     0.6023               F004100400039 
  1.013      2.940      0.000      22.28      2.407               F004100400040 
