ENTRY            F0524   20140310                             F054F052400000001 
SUBENT        F0524001   20140310                             F054F052400100001 
BIB                 11         28                                 F052400100002 
INSTITUTE  (4RUSEPA)                                              F052400100003 
REFERENCE  (J,IZV,64,440,2000)                                    F052400100004 
           (J,BAS,64,352,2000)  Engl. transl. of IZV,64,440       F052400100005 
           (C,2001SAROV,,186,2001) Two last Subents were derived. F052400100006 
AUTHOR     (L.N.Generalov,S.N.Abramovich,A.G.Zvenigorodskii)      F052400100007 
TITLE      9Be(d,p0,1) and 9Be(d,t0) reaction cross sections.     F052400100008 
FACILITY   (VDGT,4RUSEPA)                                         F052400100009 
SAMPLE     Two targets (40 and 267 mu-g/cm2 thick) of 9Be         F052400100010 
            evaporated onto thin (30 mu-g/cm2 thick)              F052400100011 
            poly-n-xylilene C8H8 backing.                         F052400100012 
           In additional experiments poly-n-xylilene C8H8 backing F052400100013 
            and Al2O3 backing were used as targets.               F052400100014 
DETECTOR   (TELES,SOLST,SOLST) Ten silicon diffusion-drift        F052400100015 
            detectors on the movable table.                       F052400100016 
           Monitor detector fixed at 20 degr.                     F052400100017 
ERR-ANALYS (ERR-SYS)   Systematic error                           F052400100018 
           (ERR-S)     Statistical error                          F052400100019 
REL-REF    (M,,S.Abramovich+,J,IZV,57,173,1993) Experim. method.  F052400100020 
STATUS     (APRVD)  Approved by Generalov L.N.                    F052400100021 
HISTORY    (20010205C)                                            F052400100022 
           (20030505A) Changed headings in sub.002,004,006, added F052400100023 
            reference and subents 007,008.                        F052400100024 
           (20040714C) Data error headings updated.               F052400100025 
           (20060828A) Common headings in sub007 updated. Sub009  F052400100026 
           was added.                                             F052400100027 
           (20090626) Error designations were changed. Energy     F052400100028 
           values in sub 9 were corrected.                        F052400100029 
           (20140310U) SD: Ref. on Engl.transl. added.            F052400100030 
ENDBIB              28          0                                 F052400100031 
COMMON               1          3                                 F052400100032 
ERR-SYS                                                           F052400100033 
PER-CENT                                                          F052400100034 
  3.0                                                             F052400100035 
ENDCOMMON            3          0                                 F052400100036 
ENDSUBENT           35          0                                 F052400199999 
SUBENT        F0524002   20090626                             F036F052400200001 
BIB                  2          2                                 F052400200002 
REACTION   (4-BE-9(D,P)4-BE-10,PAR,DA)                            F052400200003 
EN-SEC     (E-LVL,4-BE-10)                                        F052400200004 
ENDBIB               2          0                                 F052400200005 
NOCOMMON             0          0                                 F052400200006 
DATA                 5        760                                 F052400200007 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 F052400200008 
        3.5         0.        11.        2.8        6.9           F052400200055 
        3.5         0.       16.4         3.        6.9           F052400200056 
        3.5         0.       21.9       3.52         7.           F052400200057 
        3.5         0.       32.8       2.91        7.3           F052400200058 
        3.5         0.       38.2       2.58         9.           F052400200059 
        3.5         0.       43.6       1.81        8.8           F052400200060 
        3.5         0.       64.8       0.72        7.1           F052400200061 
        3.5         0.       74.2      0.751        7.1           F052400200062 
        3.5         0.       80.4      0.794         7.           F052400200063 
        3.5         0.       85.5      0.912        7.8           F052400200064 
        3.5         0.       95.5      0.952        7.3           F052400200065 
        3.5         0.      100.5       1.02        7.3           F052400200066 
        3.5         0.      105.5        0.9        7.4           F052400200067 
        3.5         0.      110.4       1.05        7.4           F052400200068 
        3.5         0.      115.2      0.811        7.6           F052400200069 
        3.5         0.       120.      0.896         7.           F052400200070 
        3.5         0.      124.8      0.786        7.3           F052400200071 
        3.5         0.      129.5      0.616        7.1           F052400200072 
        3.5         0.      134.2      0.543        7.2           F052400200073 
        3.5         0.      143.6      0.564         7.           F052400200074 
        3.5         0.      148.2      0.556         7.           F052400200075 
        3.5         0.      152.8       0.52         7.           F052400200076 
        3.5         0.      161.9      0.486        7.2           F052400200077 
        3.5         0.      166.4      0.405        7.3           F052400200078 
        3.5         0.       171.      0.403        7.3           F052400200079 
        3.5      3.368       16.9       4.02        9.1           F052400200080 
        3.5      3.368       22.5       4.46         7.           F052400200081 
        3.5      3.368       33.7       4.41        7.2           F052400200082 
        3.5      3.368       39.2       3.86         7.           F052400200083 
        3.5      3.368       44.7       3.52        9.5           F052400200084 
        3.5      3.368       55.7        2.2        8.8           F052400200085 
        3.5      3.368       61.1       1.35        8.5           F052400200086 
        3.5      3.368       66.4       1.23        7.4           F052400200087 
        3.5      3.368        77.       1.03        7.2           F052400200088 
        3.5      3.368       82.1       1.05        7.1           F052400200089 
        3.5      3.368       87.3       1.13        8.9           F052400200090 
        3.5      3.368       97.4      0.998        8.7           F052400200091 
        3.5      3.368      102.4      0.963       18.4           F052400200092 
        3.5      3.368      107.3       1.04        7.2           F052400200093 
        3.5      3.368      112.1       1.07         7.           F052400200094 
        3.5      3.368       117.       0.98        7.1           F052400200095 
        3.5      3.368      121.7       1.31        7.3           F052400200096 
        3.5      3.368      126.4       1.25        7.4           F052400200097 
        3.5      3.368      135.7       1.42         7.           F052400200098 
        3.5      3.368      144.7       1.54        7.6           F052400200099 
        3.5      3.368      149.2        1.6         7.           F052400200100 
        3.5      3.368      153.7       1.62        7.1           F052400200101 
        3.5      3.368      162.5       1.79        7.1           F052400200102 
        3.5      3.368      166.9        1.6        8.2           F052400200103 
        3.5      3.368      171.3       1.98        9.2           F052400200104 
        4.0         0.        11.       2.92        6.9           F052400200105 
        4.0         0.       16.5       3.47        6.9           F052400200106 
        4.0         0.        22.       3.56        6.9           F052400200107 
        4.0         0.       32.9       3.48        6.9           F052400200108 
        4.0         0.       38.3       2.75        6.9           F052400200109 
        4.0         0.       43.7       1.64        7.6           F052400200110 
        4.0         0.       54.3       1.08        7.3           F052400200111 
        4.0         0.       59.7      0.753        7.3           F052400200112 
        4.0         0.       75.4      0.748        6.9           F052400200113 
        4.0         0.       80.6      0.803        6.9           F052400200114 
        4.0         0.       85.7      0.845        7.1           F052400200115 
        4.0         0.       95.8      0.819        7.3           F052400200116 
        4.0         0.      100.7       0.76        7.4           F052400200117 
        4.0         0.      105.7      0.748         7.           F052400200118 
        4.0         0.      110.6      0.759        7.2           F052400200119 
        4.0         0.      115.4       0.62        7.2           F052400200120 
        4.0         0.      120.2       0.61        7.1           F052400200121 
        4.0         0.       125.      0.656         7.           F052400200122 
        4.0         0.      134.4      0.554        7.2           F052400200123 
        4.0         0.      143.7      0.564        7.2           F052400200124 
        4.0         0.      148.3        0.5        7.2           F052400200125 
        4.0         0.      152.9      0.386         7.           F052400200126 
        4.0         0.       162.      0.393        7.2           F052400200127 
        4.0         0.      166.5       0.39         8.           F052400200128 
        4.0         0.       171.      0.369        7.2           F052400200129 
        4.0      3.368       16.9       4.51       14.2           F052400200130 
        4.0      3.368       22.6       5.58        10.           F052400200131 
        4.0      3.368       39.3       4.09        10.           F052400200132 
        4.0      3.368       44.8        3.1        8.3           F052400200133 
        4.0      3.368       55.8       1.65        8.5           F052400200134 
        4.0      3.368       61.2       1.36        8.6           F052400200135 
        4.0      3.368       66.5       1.19        9.2           F052400200136 
        4.0      3.368       77.1       1.07        8.4           F052400200137 
        4.0      3.368       82.3      0.993        10.           F052400200138 
        4.0      3.368       87.4       1.08        7.2           F052400200139 
        4.0      3.368       97.6      0.951         7.           F052400200140 
        4.0      3.368      102.5      0.887        7.4           F052400200141 
        4.0      3.368      107.4      0.852         9.           F052400200142 
        4.0      3.368      112.3      0.873        7.2           F052400200143 
        4.0      3.368      117.1       1.24        7.4           F052400200144 
        4.0      3.368      121.8       1.34         7.           F052400200145 
        4.0      3.368      126.5       1.29         7.           F052400200146 
        4.0      3.368      135.8       1.38         7.           F052400200147 
        4.0      3.368      144.8       1.63        7.1           F052400200148 
        4.0      3.368      149.3       1.58         7.           F052400200149 
        4.0      3.368      153.8       1.62        7.1           F052400200150 
        4.0      3.368      162.6       1.53        7.2           F052400200151 
        4.0      3.368      166.9       1.42        7.2           F052400200152 
        4.0      3.368      171.3       1.56        10.           F052400200153 
        4.5         0.        11.       3.93         7.           F052400200154 
        4.5         0.       16.5       4.05         7.           F052400200155 
        4.5         0.        22.       4.88        7.2           F052400200156 
        4.5         0.        33.        3.6        7.2           F052400200157 
        4.5         0.       38.4       2.83        6.9           F052400200158 
        4.5         0.       43.8       1.72        6.9           F052400200159 
        4.5         0.       59.9      0.603        10.           F052400200160 
        4.5         0.       75.6      0.691        9.2           F052400200161 
        4.5         0.       80.8      0.802        9.3           F052400200162 
        4.5         0.       85.9      0.829        7.4           F052400200163 
        4.5         0.        96.      0.685        7.9           F052400200164 
        4.5         0.      100.9      0.644         7.           F052400200165 
        4.5         0.      105.9      0.719         7.           F052400200166 
        4.5         0.      115.6      0.665         7.           F052400200167 
        4.5         0.      120.4       0.69        7.1           F052400200168 
        4.5         0.      125.2      0.641        7.3           F052400200169 
        4.5         0.      129.9      0.667        7.2           F052400200170 
        4.5         0.      134.6      0.675        7.1           F052400200171 
        4.5         0.      143.8      0.696         7.           F052400200172 
        4.5         0.      148.4      0.594        6.9           F052400200173 
        4.5         0.       153.      0.563        6.9           F052400200174 
        4.5         0.       162.      0.426        6.9           F052400200175 
        4.5         0.      166.5      0.416        6.9           F052400200176 
        4.5         0.       171.      0.381        6.8           F052400200177 
        4.5      3.368        17.        4.2       10.2           F052400200178 
        4.5      3.368       22.6       5.34        10.           F052400200179 
        4.5      3.368       33.8       4.93         8.           F052400200180 
        4.5      3.368       39.4       4.52        10.           F052400200181 
        4.5      3.368       44.9         3.        8.3           F052400200182 
        4.5      3.368       66.6       1.13        9.2           F052400200183 
        4.5      3.368       77.2       1.09        8.4           F052400200184 
        4.5      3.368       82.4      0.993        10.           F052400200185 
        4.5      3.368       87.6       1.08        7.2           F052400200186 
        4.5      3.368       97.7      0.951         7.           F052400200187 
        4.5      3.368      102.6       1.05        7.4           F052400200188 
        4.5      3.368      107.6        1.1         9.           F052400200189 
        4.5      3.368      112.4      0.873        7.2           F052400200190 
        4.5      3.368      117.2       1.19        7.4           F052400200191 
        4.5      3.368       122.       1.21         7.           F052400200192 
        4.5      3.368      126.6       1.28         7.           F052400200193 
        4.5      3.368      135.9       1.23         7.           F052400200194 
        4.5      3.368      144.9       1.34        7.1           F052400200195 
        4.5      3.368      153.8       1.45        7.1           F052400200196 
        4.5      3.368      162.6       1.38        7.2           F052400200197 
        4.5      3.368       169.        1.4        7.2           F052400200198 
        4.5      3.368      171.3       1.48        10.           F052400200199 
        5.0         0.        11.       3.76        6.9           F052400200200 
        5.0         0.       16.6       4.16        6.9           F052400200201 
        5.0         0.       22.1       4.52        6.9           F052400200202 
        5.0         0.        33.       3.78        6.9           F052400200203 
        5.0         0.       43.9       1.85        8.8           F052400200204 
        5.0         0.       75.8      0.751        6.9           F052400200205 
        5.0         0.       80.9       0.83        6.9           F052400200206 
        5.0         0.        86.      0.795        6.9           F052400200207 
        5.0         0.       96.1      0.681         7.           F052400200208 
        5.0         0.      101.1      0.543        7.1           F052400200209 
        5.0         0.       106.      0.621        6.9           F052400200210 
        5.0         0.      110.9      0.648        6.9           F052400200211 
        5.0         0.      115.8      0.611        6.9           F052400200212 
        5.0         0.      120.6      0.645        6.9           F052400200213 
        5.0         0.       130.      0.694        6.9           F052400200214 
        5.0         0.      134.7      0.708        6.9           F052400200215 
        5.0         0.      143.9       0.77        6.9           F052400200216 
        5.0         0.      153.1      0.825        6.9           F052400200217 
        5.0         0.      162.1      0.782        6.9           F052400200218 
        5.0         0.      166.6       0.79        7.3           F052400200219 
        5.0         0.      171.1      0.689        7.6           F052400200220 
        5.0      3.368       11.3       5.43         8.           F052400200221 
        5.0      3.368        17.       5.79        9.3           F052400200222 
        5.0      3.368       22.7       6.13        9.4           F052400200223 
        5.0      3.368       33.9       5.28        9.3           F052400200224 
        5.0      3.368       39.5       4.24        8.8           F052400200225 
        5.0      3.368        45.        2.7        10.           F052400200226 
        5.0      3.368       61.4       1.73        8.6           F052400200227 
        5.0      3.368       66.7        1.1        8.7           F052400200228 
        5.0      3.368       77.3       1.01        7.1           F052400200229 
        5.0      3.368       82.5       1.08        6.9           F052400200230 
        5.0      3.368       87.7       1.11        8.8           F052400200231 
        5.0      3.368       97.8       1.15        6.9           F052400200232 
        5.0      3.368      102.8       1.19        6.9           F052400200233 
        5.0      3.368      107.7       1.14        6.9           F052400200234 
        5.0      3.368      112.5       1.06        6.9           F052400200235 
        5.0      3.368      117.3       1.25        6.9           F052400200236 
        5.0      3.368       122.        1.3        7.3           F052400200237 
        5.0      3.368      131.4       1.23        7.4           F052400200238 
        5.0      3.368       136.       1.26        7.3           F052400200239 
        5.0      3.368       145.       1.45         7.           F052400200240 
        5.0      3.368      149.5       1.41        7.2           F052400200241 
        5.0      3.368      153.9       1.44        7.1           F052400200242 
        5.0      3.368      162.7       1.29        7.2           F052400200243 
        5.0      3.368       167.       1.46        7.2           F052400200244 
        5.0      3.368      171.3       1.38        7.6           F052400200245 
        5.5         0.       11.1       3.32        6.9           F052400200246 
        5.5         0.       16.6       4.02        6.9           F052400200247 
        5.5         0.       22.1        4.4        6.9           F052400200248 
        5.5         0.       33.1       3.65        6.9           F052400200249 
        5.5         0.        44.       1.63        8.8           F052400200250 
        5.5         0.       60.2      0.602        9.9           F052400200251 
        5.5         0.       65.4      0.642        8.8           F052400200252 
        5.5         0.       75.9      0.697        6.9           F052400200253 
        5.5         0.       81.1      0.774        6.9           F052400200254 
        5.5         0.       86.2       0.75        9.9           F052400200255 
        5.5         0.       96.3      0.499        6.9           F052400200256 
        5.5         0.      101.3      0.405        6.9           F052400200257 
        5.5         0.      105.2       0.49        6.9           F052400200258 
        5.5         0.      111.1      0.584        7.1           F052400200259 
        5.5         0.      115.9      0.546        7.3           F052400200260 
        5.5         0.      120.7      0.583        7.3           F052400200261 
        5.5         0.      125.4       0.68        6.9           F052400200262 
        5.5         0.      130.1       0.65        6.9           F052400200263 
        5.5         0.      134.8      0.683        6.9           F052400200264 
        5.5         0.       144.      0.791        6.9           F052400200265 
        5.5         0.      148.6      0.729        6.9           F052400200266 
        5.5         0.      153.1       0.78        6.9           F052400200267 
        5.5         0.      162.1       0.83        7.2           F052400200268 
        5.5         0.      166.6       0.71        7.2           F052400200269 
        5.5         0.      171.1      0.608        6.9           F052400200270 
        5.5      3.368       11.4       5.47        9.3           F052400200271 
        5.5      3.368        17.       5.66         9.           F052400200272 
        5.5      3.368       22.7       6.38        8.8           F052400200273 
        5.5      3.368       33.9       5.02        8.7           F052400200274 
        5.5      3.368       39.5       4.14        8.9           F052400200275 
        5.5      3.368       61.4       1.43        8.5           F052400200276 
        5.5      3.368       66.8      0.998        7.3           F052400200277 
        5.5      3.368       77.4      0.803        8.8           F052400200278 
        5.5      3.368       82.6      0.955        9.3           F052400200279 
        5.5      3.368       87.7      0.997        7.3           F052400200280 
        5.5      3.368       97.9       1.25         7.           F052400200281 
        5.5      3.368      102.8       1.17         7.           F052400200282 
        5.5      3.368      107.7       1.13        7.2           F052400200283 
        5.5      3.368      112.6       1.18        7.1           F052400200284 
        5.5      3.368      122.1       1.26         7.           F052400200285 
        5.5      3.368      126.8       1.19        7.3           F052400200286 
        5.5      3.368       136.       1.17        7.4           F052400200287 
        5.5      3.368       145.       1.21        7.4           F052400200288 
        5.5      3.368      149.5       1.16        7.8           F052400200289 
        5.5      3.368      153.9       1.26        6.9           F052400200290 
        5.5      3.368      162.7       1.18        7.3           F052400200291 
        5.5      3.368       167.       1.33        7.3           F052400200292 
        5.5      3.368      171.4      0.956        8.8           F052400200293 
        6.0         0.       11.1       3.28         7.           F052400200294 
        6.0         0.       16.7        4.3        7.2           F052400200295 
        6.0         0.       22.2       4.21        7.1           F052400200296 
        6.0         0.       33.2       3.58         7.           F052400200297 
        6.0         0.       38.6       2.64         7.           F052400200298 
        6.0         0.       65.6       0.66        7.8           F052400200299 
        6.0         0.        76.      0.801        7.5           F052400200300 
        6.0         0.       81.2      0.753        7.3           F052400200301 
        6.0         0.       86.3      0.643        7.1           F052400200302 
        6.0         0.       96.4      0.412         7.           F052400200303 
        6.0         0.      101.4      0.388        7.1           F052400200304 
        6.0         0.      106.3      0.381        7.4           F052400200305 
        6.0         0.       111.      0.435        7.1           F052400200306 
        6.0         0.       116.      0.514        7.3           F052400200307 
        6.0         0.      120.8      0.542        7.2           F052400200308 
        6.0         0.      125.6      0.615        7.2           F052400200309 
        6.0         0.      130.3      0.646         7.           F052400200310 
        6.0         0.      134.9      0.617        7.9           F052400200311 
        6.0         0.      144.1      0.778        6.9           F052400200312 
        6.0         0.      148.7      0.746        6.9           F052400200313 
        6.0         0.      153.2      0.718        6.9           F052400200314 
        6.0         0.      162.2       0.71        6.9           F052400200315 
        6.0         0.      166.7      0.799        6.9           F052400200316 
        6.0         0.      171.1      0.698        8.9           F052400200317 
        6.0      3.368       11.4       5.52        10.           F052400200318 
        6.0      3.368       17.1       6.82        9.1           F052400200319 
        6.0      3.368       22.7       6.48        8.8           F052400200320 
        6.0      3.368        34.       5.57        8.3           F052400200321 
        6.0      3.368        45.       1.98        8.5           F052400200322 
        6.0      3.368       56.1        1.3         9.           F052400200323 
        6.0      3.368       66.9      0.721        8.1           F052400200324 
        6.0      3.368       77.5      0.806        6.9           F052400200325 
        6.0      3.368       87.8       1.11        6.9           F052400200326 
        6.0      3.368       97.9       1.02        6.9           F052400200327 
        6.0      3.368      107.8       1.16        7.4           F052400200328 
        6.0      3.368      112.7       1.13         7.           F052400200329 
        6.0      3.368      117.5        1.1         7.           F052400200330 
        6.0      3.368      122.2        1.2        7.1           F052400200331 
        6.0      3.368      126.9       1.13         7.           F052400200332 
        6.0      3.368      131.5       1.21        7.4           F052400200333 
        6.0      3.368      136.1       1.08        7.2           F052400200334 
        6.0      3.368      145.1       1.13        7.3           F052400200335 
        6.0      3.368      149.5       1.03        7.4           F052400200336 
        6.0      3.368       154.       1.12         7.           F052400200337 
        6.0      3.368      162.7      0.982        7.3           F052400200338 
        6.0      3.368      167.1      0.961         7.           F052400200339 
        6.0      3.368      171.4      0.942         9.           F052400200340 
        6.5         0.       11.2       1.97        6.9           F052400200341 
        6.5         0.       16.7       2.65        6.9           F052400200342 
        6.5         0.       22.2       3.48        7.2           F052400200343 
        6.5         0.       33.3       2.75        6.9           F052400200344 
        6.5         0.       44.1        1.1        8.9           F052400200345 
        6.5         0.       65.7      0.559        8.6           F052400200346 
        6.5         0.       76.2      0.734        6.9           F052400200347 
        6.5         0.       81.3      0.718        6.9           F052400200348 
        6.5         0.       86.5      0.653        6.9           F052400200349 
        6.5         0.       96.6      0.392        7.3           F052400200350 
        6.5         0.      101.5      0.302        6.9           F052400200351 
        6.5         0.      111.3      0.481        6.9           F052400200352 
        6.5         0.      116.2      0.509        6.9           F052400200353 
        6.5         0.      120.9      0.558        6.9           F052400200354 
        6.5         0.      130.4      0.671        6.9           F052400200355 
        6.5         0.       135.      0.636        6.9           F052400200356 
        6.5         0.      148.8      0.749        6.9           F052400200357 
        6.5         0.      153.3        0.8        6.9           F052400200358 
        6.5         0.      171.1      0.811        9.2           F052400200359 
        6.5      3.368       11.4       4.95        9.3           F052400200360 
        6.5      3.368       17.1       5.81        8.4           F052400200361 
        6.5      3.368       22.7       6.02        6.9           F052400200362 
        6.5      3.368        34.       4.86        9.8           F052400200363 
        6.5      3.368       45.1       2.81        7.3           F052400200364 
        6.5      3.368       56.1       1.12        6.9           F052400200365 
        6.5      3.368       66.9      0.849        6.9           F052400200366 
        6.5      3.368       77.5      0.854        6.9           F052400200367 
        6.5      3.368       82.7      0.773        6.9           F052400200368 
        6.5      3.368       87.9         1.         7.           F052400200369 
        6.5      3.368        98.       1.05        7.1           F052400200370 
        6.5      3.368       103.       1.07        7.2           F052400200371 
        6.5      3.368      112.7       1.14        7.3           F052400200372 
        6.5      3.368      122.3       1.13        7.4           F052400200373 
        6.5      3.368      131.6       1.09        7.3           F052400200374 
        6.5      3.368      136.1       1.13        7.6           F052400200375 
        6.5      3.368      149.6       1.15        7.4           F052400200376 
        6.5      3.368       154.        1.2        7.5           F052400200377 
        6.5      3.368      167.1       1.13        6.9           F052400200378 
        6.5      3.368      171.4      0.902         7.           F052400200379 
        7.0         0.       22.3       3.02        6.9           F052400200380 
        7.0         0.       33.3       2.53        6.9           F052400200381 
        7.0         0.       38.8        1.8        6.9           F052400200382 
        7.0         0.       44.3      0.811        6.9           F052400200383 
        7.0         0.        55.      0.406        6.9           F052400200384 
        7.0         0.       60.5      0.503        6.9           F052400200385 
        7.0         0.       65.7       0.52         7.           F052400200386 
        7.0         0.       76.3      0.604        6.9           F052400200387 
        7.0         0.       81.4      0.512        6.9           F052400200388 
        7.0         0.       86.6      0.384        6.9           F052400200389 
        7.0         0.       96.7      0.345        6.9           F052400200390 
        7.0         0.      101.6      0.328        6.9           F052400200391 
        7.0         0.      106.6      0.329        6.9           F052400200392 
        7.0         0.      111.4      0.361        6.9           F052400200393 
        7.0         0.      116.3      0.436        6.9           F052400200394 
        7.0         0.       121.      0.475        6.9           F052400200395 
        7.0         0.      125.8      0.506        6.9           F052400200396 
        7.0         0.      130.5      0.537        6.9           F052400200397 
        7.0         0.      135.1       0.53        6.9           F052400200398 
        7.0         0.      144.3       0.58        7.2           F052400200399 
        7.0         0.      148.8      0.681        7.2           F052400200400 
        7.0         0.      153.3      0.685        6.9           F052400200401 
        7.0         0.      162.3       0.82         7.           F052400200402 
        7.0         0.      166.7      0.772         7.           F052400200403 
        7.0      3.368       11.4       4.73        7.3           F052400200404 
        7.0      3.368       17.1       5.06        7.4           F052400200405 
        7.0      3.368       22.8       5.32        8.9           F052400200406 
        7.0      3.368        34.       4.33         9.           F052400200407 
        7.0      3.368       39.6       3.49        9.1           F052400200408 
        7.0      3.368       56.2        0.9        9.3           F052400200409 
        7.0      3.368        67.      0.698        6.9           F052400200410 
        7.0      3.368       77.6       0.74         7.           F052400200411 
        7.0      3.368       82.8      0.891        7.2           F052400200412 
        7.0      3.368       87.9      0.948        7.3           F052400200413 
        7.0      3.368       98.1       1.08        7.4           F052400200414 
        7.0      3.368       103.       1.03         7.           F052400200415 
        7.0      3.368      107.9      0.991         7.           F052400200416 
        7.0      3.368      112.8       1.06        7.4           F052400200417 
        7.0      3.368      117.6       1.07        7.2           F052400200418 
        7.0      3.368      122.3       1.15         7.           F052400200419 
        7.0      3.368       127.       1.11        7.3           F052400200420 
        7.0      3.368      131.6       1.06        6.9           F052400200421 
        7.0      3.368      145.2      0.945        6.9           F052400200422 
        7.0      3.368      162.8       0.84         9.           F052400200423 
        7.0      3.368      167.1      0.744         9.           F052400200424 
        7.5         0.       22.3       2.58        6.9           F052400200425 
        7.5         0.       33.4       1.74         7.           F052400200426 
        7.5         0.       44.3      0.902       10.3           F052400200427 
        7.5         0.       60.5      0.473        7.4           F052400200428 
        7.5         0.       65.9       0.51        6.9           F052400200429 
        7.5         0.       76.4      0.571        6.9           F052400200430 
        7.5         0.       81.5      0.446        6.9           F052400200431 
