ENTRY            F0353   20040615                             0000F035300000001 
SUBENT        F0353001   20040615                             0000F035300100001 
BIB                  7         13                                 F035300100002 
TITLE      Analysis of the angular distributions and excitation   F035300100003 
           functions of the elastic scattering of 20-24 MeV alpha-F035300100004 
           particles by carbon and oxygen.                        F035300100005 
AUTHOR     (J.Aguilar,C.Fernandez Pineda,J.Catala,J.L.Ferrero,    F035300100006 
           A.Garcia)                                              F035300100007 
INSTITUTE  (2SPNJNE,2SPNVAL)                                      F035300100008 
REFERENCE  (J,ARS,65,201,1969)                                    F035300100009 
METHOD     The experimetal method is given in ref.J,These Anales/AF035300100010 
           LXIII,35,217,1967.                                     F035300100011 
ERR-ANALYS (DATA-ERR1)Error from the graphic bars                 F035300100012 
           (ANG-ERR-D)Digitizing error                            F035300100013 
           (ERR-DIG)Digitizing error                              F035300100014 
HISTORY    (20040318C)                                            F035300100015 
ENDBIB              13          0                                 F035300100016 
NOCOMMON             0          0                                 F035300100017 
ENDSUBENT           16          0                                 F035300199999 
SUBENT        F0353002   20040615                             0000F035300200001 
BIB                  2          2                                 F035300200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F035300200003 
STATUS     (CURVE)Fig.1-4                                         F035300200004 
ENDBIB               2          0                                 F035300200005 
COMMON               2          3                                 F035300200006 
ANG-ERR-D  ERR-DIG                                                F035300200007 
ADEG       PER-CENT                                               F035300200008 
 0.27       0.2                                                   F035300200009 
ENDCOMMON            3          0                                 F035300200010 
DATA                 5        198                                 F035300200011 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR1             F035300200012 
 23.900    0.18000     63.235     89.195     5.4409               F035300200175 
 23.900    0.18000     66.527     59.283     4.1998               F035300200176 
 23.900    0.18000     69.263     45.154     2.7564               F035300200177 
 23.900    0.18000     72.278     31.959     1.9495               F035300200178 
 23.900    0.18000     75.912     11.805    0.95080               F035300200179 
 23.900    0.18000     79.219     6.9912    0.62952               F035300200180 
 23.900    0.18000     82.002     3.6121    0.35955               F035300200181 
 23.900    0.18000     84.747     2.5298    0.20363               F035300200182 
 23.900    0.18000     86.903     2.6670    0.21480               F035300200183 
 23.900    0.18000     87.949     3.5783    0.35618               F035300200184 
 23.900    0.18000     89.319     3.0581    0.21650               F035300200185 
 23.900    0.18000     91.308     1.3784    0.11089               F035300200186 
 23.900    0.18000     94.327    0.93549    0.10191               F035300200187 
 23.900    0.18000     96.684     1.7562    0.19131               F035300200188 
 23.900    0.18000     99.887     2.4325    0.26520               F035300200189 
 23.900    0.18000     102.73     7.1702    0.71403               F035300200190 
 23.900    0.18000     104.85     10.355    0.73311               F035300200191 
 23.900    0.18000     107.79     13.467     1.2139               F035300200192 
 23.900    0.18000     110.20     15.604     1.5540               F035300200193 
 23.900    0.18000     112.62     17.521     1.2396               F035300200194 
 23.900    0.18000     118.84     17.358     1.7293               F035300200195 
 23.900    0.18000     123.46     13.506     1.0871               F035300200196 
 23.900    0.18000     128.01     20.781     1.4722               F035300200197 
 23.900    0.18000     132.01     31.308     2.8206               F035300200198 
 23.900    0.18000     136.92     22.401     1.5859               F035300200199 
 23.900    0.18000     140.98     20.830     1.4747               F035300200200 
 23.900    0.18000     145.39     10.542    0.64305               F035300200201 
 23.900    0.18000     150.53     9.6012    0.58567               F035300200202 
 23.900    0.18000     153.45     14.615     1.4547               F035300200203 
 23.900    0.18000     158.28     20.896     2.4734               F035300200204 
 23.900    0.18000     162.61     19.229     1.3614               F035300200205 
 23.900    0.18000     164.80     15.273     1.6631               F035300200206 
 23.900    0.18000     169.97     11.760     1.1712               F035300200207 
 23.900    0.18000     170.68     26.939     2.9359               F035300200208 
 23.900    0.18000     174.67     46.031     3.7052               F035300200209 
 23.900    0.18000     175.92     102.19     8.2207               F035300200210 
 23.900    0.18000     178.49     317.41     28.581               F035300200211 
ENDDATA            200          0                                 F035300200212 
ENDSUBENT          211          0                                 F035300299999 
SUBENT        F0353003   20040615                             0000F035300300001 
BIB                  2          2                                 F035300300002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               F035300300003 
STATUS     (CURVE)Fig.5-7                                         F035300300004 
ENDBIB               2          0                                 F035300300005 
COMMON               2          3                                 F035300300006 
ANG-ERR-D  ERR-DIG                                                F035300300007 
ADEG       PER-CENT                                               F035300300008 
  0.2       0.2                                                   F035300300009 
ENDCOMMON            3          0                                 F035300300010 
DATA                 5        188                                 F035300300011 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR1             F035300300012 
MEV        MEV        ADEG       MB/SR      MB/SR                 F035300300013 
 20.100    0.23000     12.817     5323.4     282.34               F035300300014 
 20.100    0.23000     15.583     3262.4     256.07               F035300300015 
 20.100    0.23000     17.784     1143.5     60.645               F035300300016 
 20.100    0.23000     21.412     245.51     16.167               F035300300017 
 20.100    0.23000     23.469     187.07     12.319               F035300300018 
 20.100    0.23000     24.533     134.94     8.8728               F035300300019 
 20.100    0.23000     27.840     165.70     8.7884               F035300300020 
 20.100    0.23000     31.123     233.18     12.367               F035300300021 
 20.100    0.23000     33.522     170.58     11.233               F035300300022 
 20.100    0.23000     36.027     70.411     2.8198               F035300300023 
 20.100    0.23000     40.267     20.685     1.0991               F035300300024 
 20.100    0.23000     43.490     6.5034    0.42826               F035300300025 
 20.100    0.23000     46.859     35.262     2.7677               F035300300026 
 20.100    0.23000     49.424     64.268     5.0384               F035300300027 
 20.100    0.23000     52.694     96.815     6.3754               F035300300028 
