ENTRY            F0114   19990412                             0000F011400000001 
SUBENT        F0114001   19990412                             0000F011400100001 
BIB                 10         14                                 F011400100002 
TITLE      Investigation of the reactions 9Be(d,a0)7Li,           F011400100003 
           9Be(d,a1)7Li* 9Be(d,t)8Be and 9Be(d,p0)10Be            F011400100004 
           in the energy interval from 300 keV to 1000 keV        F011400100005 
AUTHOR     (F.BERTRAND,G.GRENIER,J.PORNET)                        F011400100006 
INSTITUTE  (2FR VNV)                                              F011400100007 
REFERENCE  (R,CEA-R-3504,,196805)                                 F011400100008 
MONITOR    (4-BE-9(D,A)3-LI-7,PAR,DA)                             F011400100009 
MONIT-REF  (,BIGGERSTAFF+,J,NP,36,(4),631,196208)                 F011400100010 
ERR-ANALYS (MONIT-ERR) Systematic error                           F011400100011 
           (DATA-ERR) Digitizing error                            F011400100012 
           (DATA-ERR1) Relative error from graphic bars           F011400100013 
FACILITY   (CCW) Philips                                          F011400100014 
DETECTOR   (SOLST) Semiconductor                                  F011400100015 
HISTORY    (19860204C)                                            F011400100016 
ENDBIB              14          0                                 F011400100017 
COMMON               4          3                                 F011400100018 
EN-NRM     ANG-NRM    MONIT      MONIT-ERR                        F011400100019 
MEV        ADEG       MB/SR      PER-CENT                         F011400100020 
  1.         100.0      2.850      5.                             F011400100021 
ENDCOMMON            3          0                                 F011400100022 
ENDSUBENT           21          0                                 F011400199999 
SUBENT        F0114002   19990412                             0000F011400200001 
BIB                  4          4                                 F011400200002 
REACTION   (4-BE-9(D,A)3-LI-7,PAR,DA,,,EXP)                       F011400200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F011400200004 
STATUS     (CURVE) Fig 8-11                                       F011400200005 
EN-SEC     (E-LVL,3-LI-7)                                         F011400200006 
ENDBIB               4          0                                 F011400200007 
COMMON               2          3                                 F011400200008 
ANG-ERR    DATA-ERR                                               F011400200009 
ADEG       MB/SR                                                  F011400200010 
 0.2        0.002                                                 F011400200011 
ENDCOMMON            3          0                                 F011400200012 
DATA                 5        226                                 F011400200013 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR1             F011400200014 
     0.5        0.48      63.77       1.097      0.024            F011400200089 
     0.5        0.48      73.67       1.035      0.0192           F011400200090 
     0.5        0.48      85.02       0.9668     0.0336           F011400200091 
     0.5        0.48      95.17       0.8895     0.0192           F011400200092 
     0.5        0.48     104.8        0.8457     0.024            F011400200093 
     0.5        0.48     114.         0.8116     0.0288           F011400200094 
     0.5        0.48     123.9        0.7727     0.0288           F011400200095 
     0.5        0.48     132.6        0.7099     0.0432           F011400200096 
     0.5        0.48     143.2        0.7572     0.0192           F011400200097 
     0.5        0.48     152.2        0.7663     0.0192           F011400200098 
     0.5        0.48     161.8        0.7226     0.0624           F011400200099 
     0.6        0.        32.52       0.7322     0.0237           F011400200100 
     0.6        0.        43.67       0.809      0.019            F011400200101 
     0.6        0.        54.58       0.9334     0.0285           F011400200102 
     0.6        0.        65.25       1.034      0.0333           F011400200103 
     0.6        0.        75.21       1.158      0.0285           F011400200104 
     0.6        0.        85.17       1.23       0.019            F011400200105 
     0.6        0.        96.08       1.388      0.0237           F011400200106 
     0.6        0.       106.3        1.469      0.076            F011400200107 
     0.6        0.       115.7        1.693      0.0285           F011400200108 
     0.6        0.       125.5        1.846      0.0237           F011400200109 
     0.6        0.       134.5        1.942      0.0237           F011400200110 
     0.6        0.       143.7        1.999      0.0665           F011400200111 
     0.6        0.       152.7        2.181      0.0238           F011400200112 
     0.6        0.       163.2        2.305      0.019            F011400200113 
     0.6        0.48      32.21       1.9        0.024            F011400200114 
     0.6        0.48      42.86       1.654      0.0192           F011400200115 
     0.6        0.48      53.76       1.586      0.0192           F011400200116 
     0.6        0.48      64.65       1.465      0.0192           F011400200117 
     0.6        0.48      74.58       1.373      0.0288           F011400200118 
     0.6        0.48      84.75       1.243      0.0288           F011400200119 
     0.6        0.48      95.4        1.146      0.024            F011400200120 
     0.6        0.48     106.3        1.035      0.024            F011400200121 
     0.6        0.48     114.8        0.914      0.0288           F011400200122 
     0.6        0.48     124.         0.8798     0.024            F011400200123 
     0.6        0.48     134.1        0.86       0.024            F011400200124 
     0.6        0.48     143.3        0.8595     0.0192           F011400200125 
     0.6        0.48     152.1        0.8782     0.024            F011400200126 
     0.6        0.48     162.2        0.9161     0.0385           F011400200127 
     0.7        0.        33.28       1.117      0.0481           F011400200128 
     0.7        0.        44.57       1.057      0.0673           F011400200129 
     0.7        0.        53.97       1.199      0.0481           F011400200130 
     0.7        0.        65.06       1.331      0.0577           F011400200131 
     0.7        0.        74.95       1.444      0.0481           F011400200132 
     0.7        0.        85.06       1.519      0.0481           F011400200133 
     0.7        0.        95.2        1.709      0.0577           F011400200134 
     0.7        0.       105.6        1.822      0.0577           F011400200135 
     0.7        0.       114.7        1.974      0.0481           F011400200136 
     0.7        0.       125.3        2.038      0.0768           F011400200137 
     0.7        0.       134.3        2.325      0.0481           F011400200138 
     0.7        0.       143.2        2.457      0.0481           F011400200139 
     0.7        0.       153.1        2.686      0.0384           F011400200140 
     0.7        0.       161.8        2.857      0.0576           F011400200141 
     0.7        0.48      32.68       2.135      0.0601           F011400200142 
     0.7        0.48      44.21       2.081      0.06             F011400200143 
     0.7        0.48      54.05       2.05       0.06             F011400200144 
     0.7        0.48      64.64       1.888      0.06             F011400200145 
     0.7        0.48      74.03       1.725      0.0601           F011400200146 
     0.7        0.48      84.4        1.49       0.06             F011400200147 
     0.7        0.48      95.49       1.268      0.0601           F011400200148 
     0.7        0.48     105.6        1.081      0.048            F011400200149 
     0.7        0.48     114.7        1.014      0.0839           F011400200150 
     0.7        0.48     124.8        0.8755     0.048            F011400200151 
     0.7        0.48     133.7        0.8921     0.048            F011400200152 
     0.7        0.48     142.6        0.9088     0.0601           F011400200153 
     0.7        0.48     152.2        0.9499     0.048            F011400200154 
     0.7        0.48     161.         1.003      0.048            F011400200155 
     0.8        0.        22.17       0.8777     0.0481           F011400200156 
     0.8        0.        33.5        1.163      0.0576           F011400200157 
     0.8        0.        44.58       1.313      0.0578           F011400200158 
     0.8        0.        54.46       1.474      0.048            F011400200159 
     0.8        0.        64.58       1.701      0.1058           F011400200160 
     0.8        0.        74.7        1.823      0.0384           F011400200161 
     0.8        0.        85.3        1.839      0.0481           F011400200162 
     0.8        0.        95.42       1.913      0.0961           F011400200163 
     0.8        0.       105.3        2.025      0.0577           F011400200164 
     0.8        0.       114.2        2.051      0.0769           F011400200165 
     0.8        0.       124.6        2.202      0.0865           F011400200166 
     0.8        0.       133.5        2.401      0.0865           F011400200167 
     0.8        0.       145.3        2.667      0.0577           F011400200168 
     0.8        0.       152.8        2.885      0.0481           F011400200169 
     0.8        0.       161.7        3.094      0.0481           F011400200170 
     0.8        0.48      22.15       2.529      0.0721           F011400200171 
     0.8        0.48      32.73       2.522      0.0722           F011400200172 
     0.8        0.48      44.06       2.432      0.0721           F011400200173 
     0.8        0.48      54.64       2.437      0.0603           F011400200174 
     0.8        0.48      64.01       2.43       0.1084           F011400200175 
     0.8        0.48      74.96       2.087      0.0603           F011400200176 
     0.8        0.48      85.16       1.791      0.1083           F011400200177 
     0.8        0.48      95.62       1.448      0.0603           F011400200178 
     0.8        0.48     105.8        1.092      0.0481           F011400200179 
     0.8        0.48     115.         0.9886     0.0602           F011400200180 
     0.8        0.48     124.7        0.8853     0.0602           F011400200181 
     0.8        0.48     134.         0.9023     0.0602           F011400200182 
     0.8        0.48     143.9        1.004      0.0481           F011400200183 
     0.8        0.48     152.7        1.165      0.084            F011400200184 
     0.8        0.48     161.3        1.23       0.0481           F011400200185 
     0.9        0.        22.51       1.766      0.0476           F011400200186 
     0.9        0.        33.87       1.991      0.0476           F011400200187 
     0.9        0.        44.95       2.122      0.0476           F011400200188 
     0.9        0.        55.05       2.138      0.0382           F011400200189 
     0.9        0.        64.45       2.221      0.0476           F011400200190 
     0.9        0.        76.24       2.256      0.0381           F011400200191 
     0.9        0.        86.34       2.282      0.0476           F011400200192 
     0.9        0.        96.18       2.232      0.0953           F011400200193 
     0.9        0.       106.8        2.496      0.0476           F011400200194 
     0.9        0.       116.         2.617      0.0381           F011400200195 
     0.9        0.       125.4        2.814      0.0476           F011400200196 
     0.9        0.       136.         3.011      0.0381           F011400200197 
     0.9        0.       146.4        3.151      0.1428           F011400200198 
     0.9        0.       153.9        3.483      0.0572           F011400200199 
     0.9        0.       162.2        3.681      0.0476           F011400200200 
     0.9        0.48      21.54       3.914      0.0723           F011400200201 
     0.9        0.48      32.6        3.848      0.0602           F011400200202 
     0.9        0.48      43.75       3.529      0.0602           F011400200203 
     0.9        0.48      54.98       3.017      0.0722           F011400200204 
     0.9        0.48      64.23       2.673      0.0722           F011400200205 
     0.9        0.48      75.19       2.221      0.0602           F011400200206 
     0.9        0.48      85.18       1.817      0.0602           F011400200207 
     0.9        0.48      95.86       1.474      0.0602           F011400200208 
     0.9        0.48     105.6        1.166      0.0722           F011400200209 
     0.9        0.48     115.9        1.099      0.0722           F011400200210 
     0.9        0.48     124.3        1.031      0.0964           F011400200211 
     0.9        0.48     134.9        0.9648     0.0721           F011400200212 
     0.9        0.48     143.7        1.054      0.0844           F011400200213 
     0.9        0.48     153.         1.311      0.0723           F011400200214 
     0.9        0.48     161.1        1.484      0.0481           F011400200215 
     1.         0.        33.51       2.505      0.0386           F011400200216 
     1.         0.        44.61       2.587      0.0577           F011400200217 
     1.         0.        54.75       2.688      0.0865           F011400200218 
     1.         0.        65.59       2.674      0.048            F011400200219 
     1.         0.        76.2        2.756      0.0577           F011400200220 
     1.         0.        85.84       2.733      0.0673           F011400200221 
     1.         0.        95.73       2.844      0.1155           F011400200222 
     1.         0.       105.6        2.869      0.0481           F011400200223 
     1.         0.       115.         2.884      0.1058           F011400200224 
     1.         0.       125.2        3.139      0.0578           F011400200225 
     1.         0.       135.6        3.519      0.0385           F011400200226 
     1.         0.       143.8        3.987      0.0864           F011400200227 
     1.         0.       153.1        4.425      0.0769           F011400200228 
     1.         0.       162.5        4.825      0.0385           F011400200229 
     1.         0.48      32.87       4.445      0.0599           F011400200230 
     1.         0.48      44.37       3.842      0.0597           F011400200231 
     1.         0.48      54.9        3.251      0.0479           F011400200232 
     1.         0.48      64.68       2.791      0.0479           F011400200233 
     1.         0.48      75.16       2.355      0.0479           F011400200234 
     1.         0.48      85.61       2.004      0.0599           F011400200235 
     1.         0.48      95.79       1.759      0.0479           F011400200236 
     1.         0.48     106.3        1.384      0.06             F011400200237 
     1.         0.48     116.7        1.14       0.0599           F011400200238 
     1.         0.48     125.6        1.158      0.0599           F011400200239 
     1.         0.48     135.1        1.297      0.06             F011400200240 
     1.         0.48     144.3        1.327      0.0718           F011400200241 
ENDDATA            228          0                                 F011400200242 
ENDSUBENT          241          0                                 F011400299999 
SUBENT        F0114003   19990412                             0000F011400300001 
BIB                  3          3                                 F011400300002 
REACTION   (4-BE-9(D,T)4-BE-8,,DA,,,EXP)                          F011400300003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F011400300004 
STATUS     (CURVE) Fig 12,13                                      F011400300005 
ENDBIB               3          0                                 F011400300006 
COMMON               2          3                                 F011400300007 
ANG-ERR    DATA-ERR                                               F011400300008 
ADEG       MB/SR                                                  F011400300009 
 0.2        0.001                                                 F011400300010 
ENDCOMMON            3          0                                 F011400300011 
DATA                 4        108                                 F011400300012 
EN         ANG-CM     DATA-CM    DATA-ERR1                        F011400300013 
MEV        ADEG       MB/SR      MB/SR                            F011400300014 
     0.3       17.12       0.0591 0.6097E-02                      F011400300015 
     0.3       26.97       0.0594 0.4877E-02                      F011400300016 
     0.3       36.6        0.0549 0.9763E-02                      F011400300017 
     0.3       46.4        0.0784 0.6105E-02                      F011400300018 
     0.3       57.87       0.1044 0.6105E-02                      F011400300019 
     0.3       68.35       0.1437 0.7308E-02                      F011400300020 
     0.3       98.36       0.1606 0.6088E-02                      F011400300021 
     0.3      103.7        0.1535 0.7316E-02                      F011400300022 
     0.3      113.1        0.1489 0.6097E-02                      F011400300023 
     0.3      129.4        0.1446 0.6088E-02                      F011400300024 
     0.3      134.2        0.1545 0.6088E-02                      F011400300025 
     0.3      151.8        0.1247     0.0159                      F011400300026 
     0.3      162.6        0.136  0.4877E-02                      F011400300027 
     0.4       27.66       0.1394 0.8382E-02                      F011400300028 
     0.4       36.75       0.1602 0.5999E-02                      F011400300029 
     0.4       47.79       0.1703     0.012                       F011400300030 
     0.4       58.25       0.2319 0.7185E-02                      F011400300031 
     0.4       69.         0.2635 0.4790E-02                      F011400300032 
     0.4       85.05       0.2942 0.7185E-02                      F011400300033 
     0.4       95.06       0.3402 0.5976E-02                      F011400300034 
     0.4      105.2        0.3371     0.0288                      F011400300035 
     0.4      114.7        0.3615 0.5987E-02                      F011400300036 
     0.4      124.6        0.3368 0.4790E-02                      F011400300037 
     0.4      133.1        0.3145 0.5999E-02                      F011400300038 
     0.4      143.5        0.2898 0.5987E-02                      F011400300039 
     0.4      152.1        0.3118     0.03                        F011400300040 
     0.4      160.9        0.335  0.7185E-02                      F011400300041 
     0.5       32.71       0.3252 0.4790E-02                      F011400300042 
     0.5       42.99       0.3495 0.7185E-02                      F011400300043 
     0.5       53.55       0.3547 0.5987E-02                      F011400300044 
     0.5       63.8        0.3909 0.5987E-02                      F011400300045 
     0.5       75.12       0.4823     0.0227                      F011400300046 
     0.5       85.47       0.4743 0.5995E-02                      F011400300047 
     0.5       95.26       0.5022 0.4798E-02                      F011400300048 
     0.5      105.6        0.5193 0.5987E-02                      F011400300049 
     0.5      114.         0.5016     0.0227                      F011400300050 
     0.5      124.6        0.4936 0.5987E-02                      F011400300051 
     0.5      134.1        0.4328 0.7193E-02                      F011400300052 
     0.5      143.5        0.4247 0.4790E-02                      F011400300053 
     0.5      151.8        0.3783     0.0335                      F011400300054 
     0.5      161.4        0.393  0.4798E-02                      F011400300055 
     0.6       33.01       0.3963 0.6024E-02                      F011400300056 
     0.6       42.28       0.4327 0.8433E-02                      F011400300057 
     0.6       53.39       0.4946 0.6032E-02                      F011400300058 
     0.6       64.44       0.4973     0.0193                      F011400300059 
     0.6       74.23       0.6037 0.4819E-02                      F011400300060 
     0.6       85.13       0.6595 0.6024E-02                      F011400300061 
     0.6       94.62       0.7032     0.0301                      F011400300062 
     0.6      105.3        0.6698 0.7236E-02                      F011400300063 
     0.6      114.5        0.6424     0.0289                      F011400300064 
     0.6      124.6        0.6391 0.7228E-02                      F011400300065 
     0.6      133.6        0.5936 0.6032E-02                      F011400300066 
     0.6      142.8        0.5024     0.0241                      F011400300067 
     0.6      152.2        0.5015 0.4819E-02                      F011400300068 
     0.6      161.3        0.4283 0.6024E-02                      F011400300069 
     0.7       33.26       0.6685     0.0236                      F011400300070 
     0.7       43.74       0.6191     0.0283                      F011400300071 
     0.7       54.64       0.6643     0.0236                      F011400300072 
     0.7       65.35       0.6292     0.0236                      F011400300073 
     0.7       85.21       0.8085     0.0236                      F011400300074 
     0.7       95.43       0.8063     0.033                       F011400300075 
     0.7      105.2        0.8087     0.0283                      F011400300076 
     0.7      115.1        0.8017     0.0282                      F011400300077 
     0.7      125.2        0.7287     0.0235                      F011400300078 
     0.7      134.2        0.6838     0.0331                      F011400300079 
     0.7      143.3        0.5492     0.0471                      F011400300080 
     0.7      152.5        0.6128     0.0284                      F011400300081 
     0.7      161.8        0.5443     0.0282                      F011400300082 
     0.8       21.83       0.8519     0.0238                      F011400300083 
     0.8       32.07       0.83       0.0381                      F011400300084 
     0.8       42.88       0.694      0.0191                      F011400300085 
     0.8       53.49       0.7769     0.0238                      F011400300086 
     0.8       64.8        0.8743     0.0333                      F011400300087 
     0.8       74.86       1.038      0.0286                      F011400300088 
     0.8       95.07       1.018      0.0619                      F011400300089 
     0.8      105.1        0.9629     0.0191                      F011400300090 
     0.8      114.5        0.8409     0.019                       F011400300091 
     0.8      124.3        0.719      0.0286                      F011400300092 
     0.8      133.2        0.635      0.0286                      F011400300093 
     0.8      144.5        0.5228     0.0238                      F011400300094 
     0.8      152.1        0.4814     0.0238                      F011400300095 
     0.8      161.2        0.3974     0.0238                      F011400300096 
     0.9       21.93       2.274      0.0238                      F011400300097 
     0.9       32.68       1.629      0.0714                      F011400300098 
     0.9       44.         1.299      0.0416                      F011400300099 
     0.9       55.25       1.118      0.0357                      F011400300100 
     0.9       64.28       1.115      0.0298                      F011400300101 
     0.9       76.34       1.232      0.0239                      F011400300102 
     0.9       95.77       1.327      0.0298                      F011400300103 
     0.9      105.8        1.259      0.0655                      F011400300104 
     0.9      115.7        1.309      0.0238                      F011400300105 
     0.9      125.5        1.199      0.0475                      F011400300106 
     0.9      135.3        1.089      0.0297                      F011400300107 
     0.9      143.7        0.8837     0.0238                      F011400300108 
     0.9      152.8        0.7139     0.0238                      F011400300109 
     0.9      161.4        0.6213     0.0417                      F011400300110 
     1.        32.98       2.219      0.0239                      F011400300111 
     1.        44.42       1.638      0.0191                      F011400300112 
     1.        55.5        1.321      0.0239                      F011400300113 
     1.        65.74       1.261      0.0239                      F011400300114 
     1.        77.32       1.388      0.0239                      F011400300115 
     1.        86.28       1.525      0.0239                      F011400300116 
     1.        95.99       1.584      0.0526                      F011400300117 
     1.       106.2        1.558      0.067                       F011400300118 
     1.       116.9        1.671      0.0239                      F011400300119 
     1.       126.8        1.683      0.0717                      F011400300120 
     1.       135.5        1.508      0.0239                      F011400300121 
     1.       144.6        1.199      0.0765                      F011400300122 
ENDDATA            110          0                                 F011400300123 
ENDSUBENT          122          0                                 F011400399999 
SUBENT        F0114004   19990412                             0000F011400400001 
BIB                  4          4                                 F011400400002 
REACTION   (4-BE-9(D,P)4-BE-10,PAR,DA,,,EXP)                      F011400400003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F011400400004 
STATUS     (CURVE) Fig 14,15                                      F011400400005 
EN-SEC     (E-LVL,4-BE-10)                                        F011400400006 
ENDBIB               4          0                                 F011400400007 
COMMON               3          3                                 F011400400008 
E-LVL      ANG-ERR    DATA-ERR                                    F011400400009 
MEV        ADEG       MB/SR                                       F011400400010 
 0.          0.2       0.001                                      F011400400011 
ENDCOMMON            3          0                                 F011400400012 
DATA                 4        120                                 F011400400013 
EN         ANG-CM     DATA-CM    DATA-ERR1                        F011400400014 
MEV        ADEG       MB/SR      MB/SR                            F011400400015 
     0.3        6.267      0.0213 0.9600E-02                      F011400400016 
     0.3       15.7        0.0291     0.012                       F011400400017 
     0.3       25.87       0.0274     0.0121                      F011400400018 
     0.3       35.77       0.0474     0.0121                      F011400400019 
     0.3       45.92       0.0577     0.0121                      F011400400020 
     0.3       56.08       0.068      0.0121                      F011400400021 
     0.3       66.22       0.0856 0.7200E-02                      F011400400022 
     0.3       76.37       0.0983     0.0121                      F011400400023 
     0.3       87.         0.1183     0.0121                      F011400400024 
     0.3       96.87       0.1527     0.0121                      F011400400025 
     0.3      106.         0.1774     0.0121                      F011400400026 
     0.3      117.6        0.2071     0.012                       F011400400027 
     0.3      126.8        0.2462     0.0121                      F011400400028 
     0.3      136.7        0.2421     0.0265                      F011400400029 
     0.3      145.9        0.2668     0.0121                      F011400400030 
     0.3      150.7        0.272      0.0169                      F011400400031 
     0.4       16.05       0.0492     0.0121                      F011400400032 
     0.4       26.19       0.0716     0.0121                      F011400400033 
     0.4       35.86       0.0843     0.0169                      F011400400034 
     0.4       45.75       0.1115     0.0121                      F011400400035 
     0.4       57.11       0.1267 0.9600E-02                      F011400400036 
     0.4       67.72       0.1684     0.012                       F011400400037 
     0.4       77.38       0.1859 0.9600E-02                      F011400400038 
     0.4       87.72       0.2444     0.0193                      F011400400039 
     0.4       96.15       0.2835     0.0121                      F011400400040 
     0.4      102.6        0.3298     0.0121                      F011400400041 
     0.4      112.5        0.3858 0.9600E-02                      F011400400042 
     0.4      122.8        0.4347     0.0265                      F011400400043 
     0.4      132.5        0.4788     0.0169                      F011400400044 
     0.4      141.3        0.5492     0.0121                      F011400400045 
     0.4      150.7        0.6342     0.0265                      F011400400046 
     0.5       10.84       0.1197     0.0143                      F011400400047 
     0.5       21.23       0.1394     0.0119                      F011400400048 
     0.5       31.14       0.1592     0.0119                      F011400400049 
     0.5       41.52       0.1932     0.0119                      F011400400050 
     0.5       50.69       0.2224     0.0119                      F011400400051 
     0.5       62.27       0.2684     0.0119                      F011400400052 
     0.5       72.85       0.3429 0.9500E-02                      F011400400053 
     0.5       82.94       0.4197 0.9500E-02                      F011400400054 
     0.5       92.56       0.4846     0.0143                      F011400400055 
     0.5      102.9        0.5949     0.0119                      F011400400056 
     0.5      112.7        0.6907     0.0143                      F011400400057 
     0.5      122.8        0.77       0.0119                      F011400400058 
     0.5      133.4        0.8231     0.0262                      F011400400059 
     0.5      142.5        0.9213 0.9500E-02                      F011400400060 
     0.5      152.2        0.9505     0.0119                      F011400400061 
     0.6       11.34       0.2489     0.0121                      F011400400062 
     0.6       21.5        0.264      0.0145                      F011400400063 
     0.6       31.39       0.3008     0.0121                      F011400400064 
     0.6       42.24       0.3498 0.9600E-02                      F011400400065 
     0.6       52.38       0.3842     0.0145                      F011400400066 
     0.6       62.53       0.409      0.0217                      F011400400067 
     0.6       73.12       0.4771     0.0145                      F011400400068 
     0.6       82.92       0.6248     0.0121                      F011400400069 
     0.6       93.         0.7267 0.9600E-02                      F011400400070 
     0.6      102.8        0.8382     0.0121                      F011400400071 
     0.6      112.8        1.008      0.0169                      F011400400072 
