ENTRY            14104   20061027                             13421410400000001 
SUBENT        14104001   20061027                             13421410400100001 
BIB                 12         22                                 1410400100002 
INSTITUTE  (1USABNL,4ZZZDUB,3CZRCTI)                              1410400100003 
REFERENCE  (J,NP/A,729,679,2003)                                  1410400100004 
AUTHOR     (C.Granja,,S.Pospisil,S.A.Telezhnikov,R.E.Chrien)      1410400100005 
TITLE      Levels of 159Gd populated in average resonance         1410400100006 
            neutron capture                                       1410400100007 
FACILITY   (REAC,1USABNL) the high flux beam reactor at Brookhaven1410400100008 
            national laboratory                                   1410400100009 
INC-SOURCE (REAC) In addition to the standard 2 keV and 24 keV    1410400100010 
            neutron beams, a non-standard non-thermal beam was    1410400100011 
            assembled to produce a wide-energy neutron beam above 1410400100012 
            thermal energies in order to target the first neutron 1410400100013 
            resonance in 158Gd at 22.3 eV                         1410400100014 
DETECTOR   (GELI) A pair spectrometer using a Ge(Li) and two      1410400100015 
            NaI(Tl) detectors in a three coincidence setup        1410400100016 
SAMPLE     The sample target consisted of 80 g of Gd2O3 enriched  1410400100017 
            in 158Gd (152    154   155   156  157   158    160    1410400100018 
                     <0.05  <0.05  0.6   0.7  1.7   95.8   1.1 %) 1410400100019 
PART-DET   (G)                                                    1410400100020 
MONITOR    A thermal beam was also used namely as reference for   1410400100021 
            calibration and background identification.            1410400100022 
STATUS     (TABLE) Data taken from Table 3                        1410400100023 
HISTORY    (20061027C) DR                                         1410400100024 
ENDBIB              22          0                                 1410400100025 
NOCOMMON             0          0                                 1410400100026 
ENDSUBENT           25          0                                 1410400199999 
SUBENT        14104002   20061027                             13421410400200001 
BIB                  2          3                                 1410400200002 
REACTION   (64-GD-158(N,G)64-GD-159,,SPC,,REL)                    1410400200003 
             Intensities normalized to the strongest transitions  1410400200004 
ERR-ANALYS (ERR-T) Total uncertainty                              1410400200005 
ENDBIB               3          0                                 1410400200006 
NOCOMMON             0          0                                 1410400200007 
DATA                 5        287                                 1410400200008 
EN         E          E-ERR      DATA       ERR-T                 1410400200009 
 2.        4223.41      0.28        6.7      0.3                  1410400200056 
 2.        4196.4       0.11        2.4      2.1                  1410400200057 
 2.        4186.73      0.12       15.3      0.3                  1410400200058 
 2.        4172.90      0.14       14.0      0.3                  1410400200059 
 2.        4162.74      0.12       15.7      0.3                  1410400200060 
 2.        4136.7       0.4         4.7      0.3                  1410400200061 
 2.        4119.87      0.17        9.7      0.3                  1410400200062 
 2.        4113.8       0.4         4.5      0.3                  1410400200063 
 2.        4092.4       0.8         1.8      0.3                  1410400200064 
 2.        4075.71      0.28        6.4      0.3                  1410400200065 
 2.        4061.68      0.10       19.5      0.3                  1410400200066 
 2.        4044.8       0.5         3.9      0.3                  1410400200067 
 2.        3999.3       0.4         5.5      0.3                  1410400200068 
 2.        3990.7       0.4         5.5      0.3                  1410400200069 
 2.        3974.1       0.3         6.8      0.3                  1410400200070 
 2.        3961.8       0.5         3.1      0.3                  1410400200071 
 2.        3938.0       0.6         3.0      0.3                  1410400200072 
 2.        3933.90      0.16       12.4      0.3                  1410400200073 
 2.        3912.31      0.22        9.0      0.3                  1410400200074 
 2.        3905.38      0.24        8.0      0.3                  1410400200075 
 2.        3894.4       0.4         5.6      0.3                  1410400200076 
 2.        3870.88      0.15       14.1      0.4                  1410400200077 
 2.        3857.3       0.10        2.1      0.3                  1410400200078 
 2.        3835.3       0.6         3.7      0.3                  1410400200079 
 2.        3828.6       0.5         5.3      0.3                  1410400200080 
 2.        3823.6       0.6         3.7      0.3                  1410400200081 
 2.        3807.7       0.5         5.3      0.3                  1410400200082 
 2.        3794.7       0.5         4.7      0.3                  1410400200083 
 2.        3787.26      0.20       10.5      0.4                  1410400200084 
 2.        3780.40      0.23        9.2      0.4                  1410400200085 
 2.        3762.81      0.13       18.1      0.4                  1410400200086 
 2.        3757.00      0.27        8.7      0.4                  1410400200087 
 2.        3751.6       0.6         4.0      0.4                  1410400200088 
 2.        3734.6       0.4         6.3      0.4                  1410400200089 
 2.        3730.3       0.4         6.3      0.4                  1410400200090 
 2.        3723.3       0.7         2.3      0.4                  1410400200091 
 2.        3711.00      0.17       13.5      0.4                  1410400200092 
 2.        3692.6       0.5         5.2      0.4                  1410400200093 
 2.        3688.77      0.19       12.4      0.4                  1410400200094 
 2.        3685.0       0.4         6.6      0.4                  1410400200095 
 2.        3661.5       0.4         5.7      0.4                  1410400200096 
 2.        3657.79      0.21       10.1      0.4                  1410400200097 
 2.        3644.5       0.4         6.8      0.4                  1410400200098 
 2.        3630.52      0.20       11.6      0.5                  1410400200099 
 2.        3626.9       0.4         6.9      0.4                  1410400200100 
 2.        3611.39      0.21       11.6      0.5                  1410400200101 
 2.        3598.7       0.4         7.9      0.5                  1410400200102 
 2.        3592.2       0.4         6.8      0.5                  1410400200103 
 2.        3587.69      0.15       17.3      0.5                  1410400200104 
 2.        3566.2       0.4         5.6      0.5                  1410400200105 
 2.        3559.13      0.26        8.4      0.5                  1410400200106 
 2.        3553.99      0.19       12.7      0.5                  1410400200107 
 2.        3544.5       0.4         6.7      0.5                  1410400200108 
 2.        3533.97      0.22       10.7      0.5                  1410400200109 
 2.        3528.7       0.5         5.6      0.5                  1410400200110 
 2.        3523.4       0.4         7.9      0.5                  1410400200111 
 2.        3506.1       0.4         6.9      0.5                  1410400200112 
 2.        3498.96      0.26        9.9      0.5                  1410400200113 
 2.        3492.5       0.3         9.2      0.5                  1410400200114 
 2.        3474.82      0.29        8.5      0.5                  1410400200115 
 2.        3458.63      0.28        8.9      0.5                  1410400200116 
 2.        3449.7       0.8         2.9      0.5                  1410400200117 
 2.        3405.97      0.28        9.2      0.6                  1410400200118 
 2.        3399.18      0.29        8.2      0.6                  1410400200119 
 2.        3387.23      0.24       10.0      0.6                  1410400200120 
 2.        3380.5       0.4         7.2      0.6                  1410400200121 
 2.        3357.3       0.4         7.9      0.6                  1410400200122 
 2.        3327.46      0.27        9.6      0.6                  1410400200123 
 2.        3319.7       0.4         5.9      0.6                  1410400200124 
 2.        3303.1       0.4         9.1      0.7                  1410400200125 
 2.        3276.8       0.5         6.3      0.7                  1410400200126 
 2.        3268.8       1.5         3.2      0.7                  1410400200127 
 2.        3257.50      0.25       12.1      0.7                  1410400200128 
 2.        3245.4       1.0         3.6      0.7                  1410400200129 
 2.        3239.0       0.7         5.9      0.7                  1410400200130 
 2.        3224.8       0.6         6.5      0.7                  1410400200131 
 2.        3216.7       0.6         5.9      0.7                  1410400200132 
 2.        3210.1       0.9         4.1      0.7                  1410400200133 
 2.        3196.9       1.0         4.1      0.8                  1410400200134 
 2.        3191.8       0.7         4.7      0.8                  1410400200135 
 2.        3183.2       0.7         4.0      0.8                  1410400200136 
 2.        3178.1       0.4         7.0      0.8                  1410400200137 
 2.        3153.9       0.6         4.4      0.8                  1410400200138 
 2.        3150.7       0.4         9.7      0.8                  1410400200139 
 2.        3129.9       0.9         3.6      0.8                  1410400200140 
 2.        3096.7       0.5         6.3      0.9                  1410400200141 
 2.        3078.0       0.7         4.5      0.9                  1410400200142 
 2.        3071.2       0.5         7.5      0.9                  1410400200143 
 2.        3062.3       0.7         4.6      0.9                  1410400200144 
 2.        3039.3       0.6         6.7      1.0                  1410400200145 
 2.        3027.0       0.5         8.2      1.0                  1410400200146 
 2.        3009.6       0.5         8.1      1.0                  1410400200147 
 2.        2997.4       0.5         5.9      1.0                  1410400200148 
 2.        2985.6       0.5         6.9      1.1                  1410400200149 
 2.        2977.6       1.0         6.2      1.1                  1410400200150 
 2.        2948.96      0.28       12.0      1.2                  1410400200151 
 2.        2935.5       1.0         5.5      1.1                  1410400200152 
 2.        2926.3       0.4         8.3      1.2                  1410400200153 
 2.        2921.7       0.9         4.6      1.2                  1410400200154 
 2.        2916.1       0.8         5.9      1.2                  1410400200155 
 2.        2903.6       0.7         7.6      1.2                  1410400200156 
24.        5967.40      0.05      100.0      1.4                  1410400200157 
24.        5899.58      0.08       56.5      1.2                  1410400200158 
24.        5820.45      0.23       14.2      0.9                  1410400200159 
24.        5459.71      0.09       47.4      1.2                  1410400200160 
24.        5409.34      0.07       55.2      1.2                  1410400200161 
24.        5377.7       0.6         7.0      0.9                  1410400200162 
24.        5365.69      0.8        51.1      1.2                  1410400200163 
24.        5320.37      0.11       33.6      1.1                  1410400200164 
24.        5222.99      0.10       41.0      1.2                  1410400200165 
24.        5185.18      0.10       40.5      1.2                  1410400200166 
24.        5166.80      0.11       35.0      1.2                  1410400200167 
24.        5148.83      0.16       23.1      1.1                  1410400200168 
24.        5109.17      0.12       32.5      1.2                  1410400200169 
24.        5094.70      0.25       16.9      1.1                  1410400200170 
24.        5086.7       0.6         7.1      1.0                  1410400200171 
24.        4992.83      0.10       38.9      1.2                  1410400200172 
24.        4965.92      0.14       29.0      1.2                  1410400200173 
24.        4904.85      0.10       37.0      1.4                  1410400200174 
24.        4887.61      0.12       34.7      1.3                  1410400200175 
24.        4856.90      0.26       15.2      1.2                  1410400200176 
24.        4839.23      0.14       27.0      1.2                  1410400200177 
24.        4828.07      0.25       15.6      1.2                  1410400200178 
24.        4822.56      0.23       17.4      1.2                  1410400200179 
24.        4807.82      0.23       18.2      1.2                  1410400200180 
24.        4788.3       0.8         5.2      1.1                  1410400200181 
24.        4683.16      0.25       14.9      1.2                  1410400200182 
24.        4641.3       0.13        4.4      1.1                  1410400200183 
24.        4623.0       0.5         9.1      1.2                  1410400200184 
24.        4572.99      0.17       24.3      1.3                  1410400200185 
24.        4536.9       0.5        31.5      1.9                  1410400200186 
24.        4498.79      0.24       18.1      1.4                  1410400200187 
24.        4490.11      0.15       30.1      1.4                  1410400200188 
24.        4446.84      0.22       20.8      1.4                  1410400200189 
24.        4427.3       0.5        10.6      1.4                  1410400200190 
24.        4422.8       0.6        7.4       1.3                  1410400200191 
24.        4406.88      0.15       31.6      1.5                  1410400200192 
24.        4395.54      0.18       26.4      1.5                  1410400200193 
24.        4388.33      0.23       21.6      1.5                  1410400200194 
24.        4382.83      0.21       23.9      1.5                  1410400200195 
24.        4374.24      0.28       16.8      1.4                  1410400200196 
24.        4364.26      0.22       21.4      1.5                  1410400200197 
24.        4340.8       0.5        12.0      1.4                  1410400200198 
24.        4325.07      0.15       31.7      1.6                  1410400200199 
24.        4294.4       0.4        13.0      1.5                  1410400200200 
24.        4277.2       0.7         9.1      1.5                  1410400200201 
24.        4245.84      0.28       14.9      1.5                  1410400200202 
24.        4220.4       0.7         7.2      1.5                  1410400200203 
24.        4208.45      0.22       21.3      1.6                  1410400200204 
24.        4193.3       0.6         8.3      1.5                  1410400200205 
24.        4185.09      0.26       19.8      1.6                  1410400200206 
24.        4159.2       0.6         8.7      1.6                  1410400200207 
24.        4126.4       0.4        17.0      1.7                  1410400200208 
24.        4115.7       0.7         8.4      1.6                  1410400200209 
24.        4095.1       0.7         9.2      1.7                  1410400200210 
24.        4083.75      0.20       28.1      1.8                  1410400200211 
24.        4076.9       0.6        10.8      1.7                  1410400200212 
24.        4068.3       0.6         9.8      1.7                  1410400200213 
24.        4049.8       0.5        11.5      1.7                  1410400200214 
24.        4021.8       0.5        10.7      1.7                  1410400200215 
24.        4013.2       0.6         9.3      1.8                  1410400200216 
24.        3996.4       0.4        13.7      1.8                  1410400200217 
24.        3971.0       0.4        17.1      1.9                  1410400200218 
24.        3959.9       0.4        14.9      1.9                  1410400200219 
24.        3955.00      0.28       20.1      1.9                  1410400200220 
24.        3934.4       0.4        17.0      1.9                  1410400200221 
24.        3927.98      0.23       25.2      2.0                  1410400200222 
24.        3916.60      0.24       24.9      2.0                  1410400200223 
24.        3893.38      0.28       22.3      2.0                  1410400200224 
24.        3864.5       0.8         7.5      2.0                  1410400200225 
24.        3815.9       0.7         8.3      2.1                  1410400200226 
24.        3807.90      0.27       28.0      2.2                  1410400200227 
24.        3801.48      0.25       26.9      2.2                  1410400200228 
24.        3785.58      0.29       22.3      2.2                  1410400200229 
24.        3779.9       0.6        12.6      2.2                  1410400200230 
24.        3763.7       0.4        14.9      2.2                  1410400200231 
24.        3756.9       0.5        11.6      2.2                  1410400200232 
24.        3752.4       0.5        12.7      2.2                  1410400200233 
24.        3745.8       0.8         7.9      2.2                  1410400200234 
24.        3733.01      0.26       26.4      2.3                  1410400200235 
24.        3715.3       0.4        20.4      2.4                  1410400200236 
24.        3709.64      0.23       30.5      2.5                  1410400200237 
24.        3705.1       0.4        21.0      2.4                  1410400200238 
24.        3683.80      0.24       28.9      2.5                  1410400200239 
24.        3678.9       0.4        17.3      2.4                  1410400200240 
24.        3663.8       0.4        18.9      2.5                  1410400200241 
24.        3651.0       0.4        22.1      2.5                  1410400200242 
24.        3645.8       0.7        11.5      2.5                  1410400200243 
24.        3633.13      0.29       29.0      2.6                  1410400200244 
24.        3620.3       0.5        18.5      2.6                  1410400200245 
24.        3614.06      0.05       18.8      2.6                  1410400200246 
24.        3609.4       0.4        22.8      2.7                  1410400200247 
24.        3589.18      0.19       45.8      2.8                  1410400200248 
24.        3580.3       0.6        12.7      2.7                  1410400200249 
24.        3575.5       0.4        25.4      2.8                  1410400200250 
24.        3567.6       0.5        18.1      2.8                  1410400200251 
24.        3556.6       0.3        25.5      2.9                  1410400200252 
24.        3552.3       0.4        20.1      2.9                  1410400200253 
24.        3545.75      0.26       29.02                          1410400200254 
24.        3539.4       0.5        13.8      2.8                  1410400200255 
24.        3529.0       0.5        15.4      2.9                  1410400200256 
24.        3521.5       0.5        22.9      2.9                  1410400200257 
24.        3513.7       0.7        14.7      2.9                  1410400200258 
24.        3478.8       0.6        18.4      0.3                  1410400200259 
24.        3471.9       0.4        30.       4.                   1410400200260 
24.        3440.5       0.7        12.       4.                   1410400200261 
24.        3427.7       0.9        13.       4.                   1410400200262 
24.        3406.2       0.7        15.       4.                   1410400200263 
24.        3379.82      0.28       31.       4.                   1410400200264 
24.        3368.8       0.5        19.       4.                   1410400200265 
24.        3329.0       0.6        15.       4.                   1410400200266 
24.        3324.2       0.6        13.       4.                   1410400200267 
24.        3301.5       0.5        24.       4.                   1410400200268 
24.        3290.7       0.5        24.       4.                   1410400200269 
24.        3279.7       0.4        31.       4.                   1410400200270 
24.        3267.1       0.4        35.       5.                   1410400200271 
24.        3262.5       0.4        33.       5.                   1410400200272 
24.        3247.0       0.4        33.       5.                   1410400200273 
24.        3239.7       0.4        35.       5.                   1410400200274 
24.        3233.4       0.4        28.       5.                   1410400200275 
24.        3218.7       0.6        23.       5.                   1410400200276 
24.        3212.9       0.5        29.       5.                   1410400200277 
24.        3203.9       1.0        15.       5.                   1410400200278 
24.        3174.10      0.29       37.       5.                   1410400200279 
24.        3170.1       0.4        27.       5.                   1410400200280 
24.        3161.1       0.8        15.       5.                   1410400200281 
24.        3149.9       0.8        17.       5.                   1410400200282 
24.        3141.1       0.6        22.       5.                   1410400200283 
24.        3132.5       1.2        19.       5.                   1410400200284 
24.        3118.2       0.5        23.       5.                   1410400200285 
24.        3109.0       1.1        15.       5.                   1410400200286 
24.        3093.5       1.0        19.       6.                   1410400200287 
24.        3030.3       0.4        41.       6.                   1410400200288 
24.        3025.7       0.7        25.       6.                   1410400200289 
24.        3017.8       0.8        19.       6.                   1410400200290 
24.        3007.7       0.7        20.       6.                   1410400200291 
24.        3000.5       0.7        19.       6.                   1410400200292 
24.        2984.2       0.8        22.       7.                   1410400200293 
24.        2968.9       0.6        37.       7.                   1410400200294 
24.        2957.2       0.5        34.       7.                   1410400200295 
24.        2937.9       0.5        39.       7.                   1410400200296 
24.        2925.7       0.5        46.       7.                   1410400200297 
ENDDATA            289          0                                 1410400200298 
ENDSUBENT          297          0                                 1410400299999 
SUBENT        14104003   20061027                             13421410400300001 
BIB                  2          3                                 1410400300002 
REACTION   (64-GD-158(N,G)64-GD-159,,SPC,,REL)                    1410400300003 
             Intensities normalized to the strongest transitions  1410400300004 
ERR-ANALYS (ERR-T) Total uncertainty                              1410400300005 
ENDBIB               3          0                                 1410400300006 
COMMON               2          3                                 1410400300007 
EN-MEAN    EN-RSL-FW                                              1410400300008 
KEV        KEV                                                    1410400300009 
0.001      1.                                                     1410400300010 
ENDCOMMON            3          0                                 1410400300011 
DATA                 4         83                                 1410400300012 
E          E-ERR      DATA       ERR-T                            1410400300013 
KEV        KEV        ARB-UNITS  ARB-UNITS                        1410400300014 
5943.97    0.03       100.0       1.2                             1410400300015 
5436.46    0.13        16.0       0.6                             1410400300016 
5385.86    0.9         18.4       0.6                             1410400300017 
5342.16    0.21         7.2       0.5                             1410400300018 
5296.0     0.8          2.7       0.4                             1410400300019 
5199.43    0.26         6.9       0.5                             1410400300020 
5083.1     0.8          2.4       0.4                             1410400300021 
5029.1     0.8          2.2       0.5                             1410400300022 
4971.0     0.5          3.2       0.5                             1410400300023 
4864.60    0.8         30.2       0.8                             1410400300024 
4833.38    0.22         7.9       0.6                             1410400300025 
4814.9     0.5          5.6       0.6                             1410400300026 
4804.22    0.18        10.8       0.7                             1410400300027 
4797.99    0.15        13.3       0.7                             1410400300028 
4661.1     0.6          2.8       0.6                             1410400300029 
4549.8     1.0          2.3       0.6                             1410400300030 
4525.5     0.5          4.4       0.6                             1410400300031 
4465.1     0.5          4.9       0.7                             1410400300032 
4422.9     0.5          3.4       0.7                             1410400300033 
4402.3     0.9          2.3       0.7                             1410400300034 
4384.5     0.6          4.7       0.7                             1410400300035 
4365.7     0.7          3.3       0.7                             1410400300036 
4361.3     0.5          5.4       0.7                             1410400300037 
4349.0     0.5          4.4       0.7                             1410400300038 
4308.3     0.7          3.0       0.7                             1410400300039 
4302.8     0.7          3.4       0.7                             1410400300040 
4273.4     0.7          3.5       0.7                             1410400300041 
4222.4     0.5          5.1       0.8                             1410400300042 
4197.9     0.7          3.0       0.8                             1410400300043 
4187.0     0.6          4.5       0.8                             1410400300044 
4171.7     0.7          3.9       0.8                             1410400300045 
4163.5     0.14         2.9       0.8                             1410400300046 
4119.3     0.4          7.1       0.9                             1410400300047 
4092.0     0.6          5.4       0.9                             1410400300048 
4074.40    0.25        10.9       1.0                             1410400300049 
4060.6     0.4          8.4       0.9                             1410400300050 
4045.0     0.8          3.2       0.9                             1410400300051 
4016.2     0.6          4.5       0.9                             1410400300052 
3989.2     0.5          8.4       1.0                             1410400300053 
3972.20    0.29        10.7       1.0                             1410400300054 
3931.7     0.10         3.3       1.0                             1410400300055 
3892.0     0.9          3.3       1.0                             1410400300056 
3892.0     0.9          3.3       1.0                             1410400300057 
3870.43    0.20        16.6       1.2                             1410400300058 
3833.0     0.5          7.5       1.1                             1410400300059 
3826.3     0.9          4.5       1.1                             1410400300060 
3807.3     0.9          4.1       1.1                             1410400300061 
3787.1     0.6          5.1       1.2                             1410400300062 
3781.0     0.5          7.1       1.2                             1410400300063 
3762.7     0.5          7.8       1.2                             1410400300064 
3737.9     0.8          4.0       1.2                             1410400300065 
3709.2     0.8          4.0       1.2                             1410400300066 
3686.7     0.5          8.2       1.3                             1410400300067 
3656.6     0.5          8.1       1.4                             1410400300068 
3629.5     0.4         10.7       1.4                             1410400300069 
3609.1     0.4         12.0       1.5                             1410400300070 
3597.1     0.4         13.4       1.5                             1410400300071 
3585.8     0.4         14.6       1.5                             1410400300072 
3565.4     0.6          9.8       1.5                             1410400300073 
3553.64    0.26        17.6       1.6                             1410400300074 
3532.8     0.4          9.6       1.6                             1410400300075 
3526.3     0.6          7.0       1.6                             1410400300076 
3520.3     0.9          5.4       1.6                             1410400300077 
3505.6     0.4         12.0       1.7                             1410400300078 
3498.2     0.5          8.2       1.6                             1410400300079 
3490.9     0.6          6.1       1.6                             1410400300080 
3454.4     0.6          7.1       1.7                             1410400300081 
3416.2     0.6          8.9       1.8                             1410400300082 
3327.3     0.6          8.3       2.1                             1410400300083 
3306.2     0.4         14.8       2.2                             1410400300084 
3301.5     0.6          9.4       2.2                             1410400300085 
3278.4     0.7          8.0       2.2                             1410400300086 
3215.7     0.5         15.2       2.5                             1410400300087 
3194.9     0.7         10.2       2.4                             1410400300088 
3175.4     0.5         14.9       2.6                             1410400300089 
3150.77    0.10        11.3       2.8                             1410400300090 
3118.8     0.7         14.6       2.8                             1410400300091 
3084.0     0.6         14.0       2.9                             1410400300092 
3006.3     0.6         16.2       2.6                             1410400300093 
3001.7     0.9         13.2       2.4                             1410400300094 
2934.0     0.6         15.8       1.9                             1410400300095 
2919.0     0.8         14.6       2.6                             1410400300096 
2903.2     0.7         16.3       2.8                             1410400300097 
ENDDATA             85          0                                 1410400300098 
ENDSUBENT           97          0                                 1410400399999 
ENDENTRY             3          0                                 1410499999999 
