ENTRY            12175   20240314                             150812175000    1 
SUBENT        12175001   20240314                             150812175001    1 
BIB                  8         15                                 12175001    2 
INSTITUTE  (1USAANL)                                              12175001    3 
REFERENCE  (R,ANL-6727,1963)                                      12175001    4 
           (W,SMITH,1962) Angular distribution data               12175001    5 
AUTHOR     (A.B.Smith)                                            12175001    6 
TITLE      Fast neutron scattering from Ta-181.                   12175001    7 
INC-SOURCE (P-LI7)                                                12175001    8 
METHOD     (TOF)                                                  12175001    9 
STATUS     (SCSRS)                                                12175001   10 
           (SPSDD,10631001)                                       12175001   11 
HISTORY    (19760803T) Translated from SCISRS                     12175001   12 
           (19821012A) Converted to reaction formalism            12175001   13 
           (19830401A) Data superseded.                           12175001   14 
           (20230911A) OS. REACTIONs corrected, added INC-SOURCE, 12175001   15 
            ERR-ANALYS, converted to lower and upper case         12175001   16 
           (20240314A) On. Major alterations in 002-004.          12175001   17 
ENDBIB              15          0                                 12175001   18 
COMMON               1          3                                 12175001   19 
EN-RSL                                                            12175001   20 
KEV                                                               12175001   21 
 20.                                                              12175001   22 
ENDCOMMON            3          0                                 12175001   23 
ENDSUBENT           22          0                                 1217500199999 
SUBENT        12175002   20240314                             150812175002    1 
BIB                  5          8                                 12175002    2 
REACTION   (73-TA-181(N,SCT)73-TA-181,PAR,DA)                     12175002    3 
DETECTOR   (SCIN)     Biased scintillator                         12175002    4 
MONITOR    (6-C-0(N,EL)6-C-0,,SIG)                                12175002    5 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties  12175002    6 
HISTORY    (20230911A) (N,EL) changed to (N,SCT),PAR.             12175002    7 
             COMMON added                                         12175002    8 
           (20240314A) On. DATA -> DATA-CM;                       12175002    9 
                           ERR-ANALYS moved from 001.             12175002   10 
ENDBIB               8          0                                 12175002   11 
COMMON               2          3                                 12175002   12 
LVL-NUMB   LVL-NUMB                                               12175002   13 
NO-DIM     NO-DIM                                                 12175002   14 
  0.          1.                                                  12175002   15 
ENDCOMMON            3          0                                 12175002   16 
DATA                 4        127                                 12175002   17 
EN         COS-CM     DATA-CM    DATA-ERR                         12175002   18 
MEV        NO-DIM     MB/SR      MB/SR                            12175002   19 
 9.50   -01 0.49585    4.823  +02 3.88   +01                      12175002  119 
 9.50   -01 0.25366    2.623  +02 2.09   +01                      12175002  120 
 9.50   -01-0.0055     1.700  +02 1.40   +01                      12175002  121 
 9.50   -01-0.2640     1.454  +02 1.20   +01                      12175002  122 
 9.50   -01-0.5041     1.257  +02 1.01   +01                      12175002  123 
 9.50   -01-0.7099     1.663  +02 1.31   +01                      12175002  124 
 9.50   -01-0.7901     1.755  +02 1.41   +01                      12175002  125 
 1.020  +00 0.93287    1.584  +03 1.29   +02                      12175002  126 
 1.020  +00 0.86464    1.238  +03 9.9    +01                      12175002  127 
 1.020  +00 0.70434    7.243  +02 5.76   +01                      12175002  128 
 1.020  +00 0.49585    3.928  +02 3.18   +01                      12175002  129 
 1.020  +00 0.25366    2.274  +02 1.80   +01                      12175002  130 
 1.020  +00-0.0055     1.350  +02 1.10   +01                      12175002  131 
 1.020  +00-0.2640     1.264  +02 1.00   +01                      12175002  132 
 1.020  +00-0.5041     1.277  +02 1.01   +01                      12175002  133 
 1.020  +00-0.7099     1.381  +02 1.11   +01                      12175002  134 
 1.020  +00-0.7793     1.533  +02 1.21   +01                      12175002  135 
 1.100  +00 0.93287    1.782  +03 1.39   +02                      12175002  136 
 1.100  +00 0.86464    1.387  +03 1.09   +02                      12175002  137 
 1.100  +00 0.86464    1.337  +03 1.09   +02                      12175002  138 
 1.100  +00 0.70434    6.846  +02 5.46   +01                      12175002  139 
 1.100  +00 0.49585    3.531  +02 2.79   +01                      12175002  140 
 1.100  +00 0.25366    1.556  +02 1.20   +01                      12175002  141 
 1.100  +00-0.0055     9.200  +01 7.00   +00                      12175002  142 
 1.100  +00-0.2640     9.026  +01 7.02   +00                      12175002  143 
 1.100  +00-0.5041     9.653  +01 8.04   +00                      12175002  144 
 1.100  +00-0.7099     1.099  +02 9.1    +00                      12175002  145 
 1.100  +00-0.8109     1.140  +02 9.1    +00                      12175002  146 
ENDDATA            129          0                                 12175002  147 
ENDSUBENT          146          0                                 1217500299999 
SUBENT        12175003   20240314                             150812175003    1 
BIB                  5         11                                 12175003    2 
REACTION   (73-TA-181(N,SCT)73-TA-181,PAR,SIG)                    12175003    3 
STATUS     (DEP,12175002)                                         12175003    4 
           (COREL,12175004)                                       12175003    5 
           (SPSDD,10631002)                                       12175003    6 
ANALYSIS   (INTAD) From Legendre polynomial fit to angular        12175003    7 
            distribution                                          12175003    8 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties  12175003    9 
HISTORY    (20230911A) (N,EL) changed to (N,SCT),PAR.             12175003   10 
             COMMON added                                         12175003   11 
           (20240314A) On. STATUS=SPSDD added;                    12175003   12 
                           ERR-ANALYS moved from 001.             12175003   13 
ENDBIB              11          0                                 12175003   14 
COMMON               2          3                                 12175003   15 
LVL-NUMB   LVL-NUMB                                               12175003   16 
NO-DIM     NO-DIM                                                 12175003   17 
  0.          1.                                                  12175003   18 
ENDCOMMON            3          0                                 12175003   19 
DATA                 2         25                                 12175003   20 
EN         DATA                                                   12175003   21 
KEV        B                                                      12175003   22 
  300.      6.48                                                  12175003   23 
  350.      6.65                                                  12175003   24 
  415.      5.98                                                  12175003   25 
  475.      5.99                                                  12175003   26 
  500.      7.07                                                  12175003   27 
  570.      6.31                                                  12175003   28 
  600.      5.79                                                  12175003   29 
  650.      5.89                                                  12175003   30 
  670.      5.55                                                  12175003   31 
  720.      5.09                                                  12175003   32 
  775.      4.81                                                  12175003   33 
  800.      4.72                                                  12175003   34 
  870.      5.10                                                  12175003   35 
  900.      4.32                                                  12175003   36 
 1020.      4.69                                                  12175003   37 
 1050.      4.50                                                  12175003   38 
 1100.      4.64                                                  12175003   39 
 1150.      4.67                                                  12175003   40 
 1200.      4.25                                                  12175003   41 
 1250.      4.38                                                  12175003   42 
 1300.      3.98                                                  12175003   43 
 1350.      3.54                                                  12175003   44 
 1400.      4.67                                                  12175003   45 
 1450.      4.05                                                  12175003   46 
 1500.      4.56                                                  12175003   47 
ENDDATA             27          0                                 12175003   48 
ENDSUBENT           47          0                                 1217500399999 
SUBENT        12175004   20240314                             150812175004    1 
BIB                  4          9                                 12175004    2 
REACTION   (73-TA-181(N,SCT)73-TA-181,PAR,DA,,LEG/RS)             12175004    3 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties  12175004    4 
STATUS     (DEP,12175002)                                         12175004    5 
           (COREL,12175003)                                       12175004    6 
           (SPSDD,10631003)                                       12175004    7 
HISTORY    (20230911A) (N,EL) changed to (N,SCT),PAR.             12175004    8 
             COMMON added                                         12175004    9 
           (20240314A) On. STATUS=SPSDD added;                    12175004   10 
                           ERR-ANALYS moved from 001.             12175004   11 
ENDBIB               9          0                                 12175004   12 
COMMON               2          3                                 12175004   13 
LVL-NUMB   LVL-NUMB                                               12175004   14 
NO-DIM     NO-DIM                                                 12175004   15 
  0.          1.                                                  12175004   16 
ENDCOMMON            3          0                                 12175004   17 
DATA                 4        125                                 12175004   18 
EN         NUMBER     DATA       DATA-ERR                         12175004   19 
KEV        NO-DIM     NO-DIM     NO-DIM                           12175004   20 
  300.      1.         0.729      0.017                           12175004   21 
  300.      2.         0.520      0.020                           12175004   22 
  300.      3.         0.223      0.038                           12175004   23 
  300.      4.         0.171      0.031                           12175004   24 
  300.      5.         0.070      0.048                           12175004   25 
  350.      1.         0.835      0.050                           12175004   26 
  350.      2.         0.313      0.040                           12175004   27 
  350.      3.         0.100      0.150                           12175004   28 
  350.      4.         0.080      0.100                           12175004   29 
  350.      5.        -0.050      0.100                           12175004   30 
  415.      1.         0.726      0.072                           12175004   31 
  415.      2.         0.536      0.107                           12175004   32 
  415.      3.         0.300      0.150                           12175004   33 
  415.      4.         0.010      0.050                           12175004   34 
  415.      5.        -0.060      0.100                           12175004   35 
  475.      1.         0.844      0.030                           12175004   36 
  475.      2.         0.585      0.030                           12175004   37 
  475.      3.         0.179      0.040                           12175004   38 
  475.      4.         0.009      0.010                           12175004   39 
  475.      5.         0.010      0.010                           12175004   40 
  500.      1.         0.880      0.030                           12175004   41 
  500.      2.         0.783      0.045                           12175004   42 
  500.      3.         0.269      0.061                           12175004   43 
  500.      4.         0.102      0.066                           12175004   44 
  500.      5.        -0.031      0.061                           12175004   45 
  570.      1.         0.760      0.035                           12175004   46 
  570.      2.         0.653      0.056                           12175004   47 
  570.      3.         0.089      0.064                           12175004   48 
  570.      4.         0.060      0.070                           12175004   49 
  570.      5.         0.037      0.060                           12175004   50 
  600.      1.         1.030      0.060                           12175004   51 
  600.      2.         0.885      0.110                           12175004   52 
  600.      3.         0.325      0.100                           12175004   53 
  600.      4.         0.085      0.100                           12175004   54 
  600.      5.         0.101      0.100                           12175004   55 
  650.      1.         1.210      0.060                           12175004   56 
  650.      2.         0.901      0.040                           12175004   57 
  650.      3.         0.390      0.050                           12175004   58 
  650.      4.         0.044      0.050                           12175004   59 
  650.      5.         0.053      0.050                           12175004   60 
  670.      1.         1.125      0.003                           12175004   61 
  670.      2.         0.895      0.042                           12175004   62 
  670.      3.         0.233      0.046                           12175004   63 
  670.      4.         0.086      0.060                           12175004   64 
  670.      5.         0.001      0.020                           12175004   65 
  720.      1.         1.129      0.030                           12175004   66 
  720.      2.         0.889      0.027                           12175004   67 
  720.      3.         0.267      0.054                           12175004   68 
  720.      4.         0.105      0.090                           12175004   69 
  720.      5.         0.000      0.050                           12175004   70 
  775.      1.         1.261      0.050                           12175004   71 
  775.      2.         1.070      0.050                           12175004   72 
  775.      3.         0.408      0.050                           12175004   73 
  775.      4.         0.140      0.050                           12175004   74 
  775.      5.         0.000      0.050                           12175004   75 
  800.      1.         1.245      0.016                           12175004   76 
  800.      2.         1.314      0.023                           12175004   77 
  800.      3.         0.761      0.030                           12175004   78 
  800.      4.         0.329      0.033                           12175004   79 
  800.      5.         0.167      0.033                           12175004   80 
  870.      1.         1.330      0.040                           12175004   81 
  870.      2.         1.205      0.120                           12175004   82 
  870.      3.         0.517      0.153                           12175004   83 
  870.      4.         0.114      0.150                           12175004   84 
  870.      5.         0.050      0.100                           12175004   85 
  900.      1.         1.378      0.029                           12175004   86 
  900.      2.         1.500      0.042                           12175004   87 
  900.      3.         0.971      0.053                           12175004   88 
  900.      4.         0.450      0.059                           12175004   89 
  900.      5.         0.161      0.061                           12175004   90 
 1020.      1.         1.398      0.032                           12175004   91 
 1020.      2.         1.531      0.050                           12175004   92 
 1020.      3.         0.807      0.048                           12175004   93 
 1020.      4.         0.400      0.063                           12175004   94 
 1020.      5.         0.147      0.090                           12175004   95 
 1050.      1.         1.490      0.082                           12175004   96 
 1050.      2.         1.498      0.116                           12175004   97 
 1050.      3.         1.166      0.148                           12175004   98 
 1050.      4.         0.413      0.164                           12175004   99 
 1050.      5.         0.332      0.168                           12175004  100 
 1100.      1.         1.579      0.080                           12175004  101 
 1100.      2.         1.514      0.100                           12175004  102 
 1100.      3.         0.910      0.100                           12175004  103 
 1100.      4.         0.273      0.120                           12175004  104 
 1100.      5.         0.109      0.120                           12175004  105 
 1150.      1.         1.600      0.051                           12175004  106 
 1150.      2.         1.689      0.070                           12175004  107 
 1150.      3.         1.282      0.092                           12175004  108 
 1150.      4.         0.539      0.101                           12175004  109 
 1150.      5.         0.202      0.101                           12175004  110 
 1200.      1.         1.853      0.200                           12175004  111 
 1200.      2.         1.570      0.283                           12175004  112 
 1200.      3.         1.693      0.367                           12175004  113 
 1200.      4.         0.416      0.363                           12175004  114 
 1200.      5.         0.300      0.300                           12175004  115 
 1250.      1.         1.820      0.180                           12175004  116 
 1250.      2.         1.800      0.200                           12175004  117 
 1250.      3.         1.380      0.250                           12175004  118 
 1250.      4.         0.607      0.300                           12175004  119 
 1250.      5.         0.426      0.300                           12175004  120 
 1300.      1.         1.832      0.126                           12175004  121 
 1300.      2.         1.842      0.181                           12175004  122 
 1300.      3.         1.609      0.223                           12175004  123 
 1300.      4.         0.531      0.230                           12175004  124 
 1300.      5.         0.429      0.205                           12175004  125 
 1350.      1.         1.825      0.091                           12175004  126 
 1350.      2.         1.990      0.106                           12175004  127 
 1350.      3.         1.845      0.168                           12175004  128 
 1350.      4.         0.884      0.154                           12175004  129 
 1350.      5.         0.527      0.192                           12175004  130 
 1400.      1.         1.899      0.091                           12175004  131 
 1400.      2.         1.786      0.131                           12175004  132 
 1400.      3.         1.968      0.162                           12175004  133 
 1400.      4.         0.587      0.167                           12175004  134 
 1400.      5.         0.644      0.149                           12175004  135 
 1450.      1.         1.851      0.072                           12175004  136 
 1450.      2.         1.945      0.104                           12175004  137 
 1450.      3.         1.955      0.130                           12175004  138 
 1450.      4.         0.891      0.146                           12175004  139 
 1450.      5.         0.660      0.149                           12175004  140 
 1500.      1.         1.840      0.077                           12175004  141 
 1500.      2.         1.861      0.110                           12175004  142 
 1500.      3.         1.972      0.140                           12175004  143 
 1500.      4.         0.664      0.155                           12175004  144 
 1500.      5.         0.704      0.160                           12175004  145 
ENDDATA            127          0                                 12175004  146 
ENDSUBENT          145          0                                 1217500499999 
ENDENTRY             4          0                                 1217599999999 
