ENTRY            12930   19901019                             00001293000000001 
SUBENT        12930001   19901019                             00001293000100001 
BIB                 12         19                                 1293000100002 
INSTITUTE  (1USATNL)                                              1293000100003 
REFERENCE  (J,NP/A,438,187,8505)                                  1293000100004 
AUTHOR     (P.P.GUSS,R.C.BYRD,C.E.FLOYD,C.R.HOWELL,K.MURPHY,      1293000100005 
           G.TUNGATE,R.S.PEDRONI,R.L.WALTER,J.P.DELAROCHE,        1293000100006 
           T.B.CLEGG)                                             1293000100007 
TITLE      CROSS SECTIONS AND ANALYZING POWERS FOR FAST NEUTRON   1293000100008 
           SCATTERING TO THE GROUND AND FIRST EXCITED STATES OF   1293000100009 
           58NI AND 60NI.                                         1293000100010 
FACILITY   (VDGT)                                                 1293000100011 
INC-SOURCE (D-D) AT 0 DEGREES. BEAM POLARIZATION UNKNOWN.         1293000100012 
METHOD     (TOF) VERSUS DEUTERON RECOIL ENERGY                    1293000100013 
DETECTOR   (SCIN) NE 213 LIQUID SCINTILLATORS                     1293000100014 
CORRECTION CORRECTED FOR FINITE GEOMETRY AND MULTIPLE SCATTERING  1293000100015 
            USING MONTE CARLO TECHNIQUES.                         1293000100016 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1293000100017 
STATUS     NO REPLY TO AUTHOR PROOF.                              1293000100018 
HISTORY    (860206C)                                              1293000100019 
           (870114A) BIB UPDATE.                                  1293000100020 
           (901019U) BIB UPDATE                                   1293000100021 
ENDBIB              19          0                                 1293000100022 
NOCOMMON             0          0                                 1293000100023 
ENDSUBENT           22          0                                 1293000199999 
SUBENT        12930002   19860402                             00001293000200001 
BIB                  4          6                                 1293000200002 
REACTION   (28-NI-58(N,EL)28-NI-58,,DA)                           1293000200003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000200004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293000200005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000200006 
           NORMALIZATION UNCERTAINTY.                             1293000200007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000200008 
ENDBIB               6          0                                 1293000200009 
NOCOMMON             0          0                                 1293000200010 
DATA                 5        105                                 1293000200011 
EN         EN-ERR     ANG-CM     DATA       DATA-ERR              1293000200012 
 11.952     0.12        29.63      356.76     27.96               1293000200065 
 11.952     0.12        34.44      191.10     11.09               1293000200066 
 11.952     0.12        39.37       69.47      3.78               1293000200067 
 11.952     0.12        44.60       24.53      1.35               1293000200068 
 11.952     0.12        50.10       12.12      0.98               1293000200069 
 11.952     0.12        55.29        8.17      0.63               1293000200070 
 11.952     0.12        60.34        5.19      0.43               1293000200071 
 11.952     0.12        65.77        4.26      0.33               1293000200072 
 11.952     0.12        71.33        5.96      1.27               1293000200073 
 11.952     0.12        76.39        8.27      0.53               1293000200074 
 11.952     0.12        81.20       13.06      0.62               1293000200075 
 11.952     0.12        85.98       16.60      0.48               1293000200076 
 11.952     0.12        90.76       16.10      0.56               1293000200077 
 11.952     0.12        95.57       15.73      0.53               1293000200078 
 11.952     0.12       100.40       12.32      0.47               1293000200079 
 11.952     0.12       105.29        9.71      0.47               1293000200080 
 11.952     0.12       110.26        6.62      0.28               1293000200081 
 11.952     0.12       115.40        4.54      0.24               1293000200082 
 11.952     0.12       120.69        4.69      0.30               1293000200083 
 11.952     0.12       125.85        5.29      0.28               1293000200084 
 11.952     0.12       130.78        6.79      0.35               1293000200085 
 11.952     0.12       135.59        8.06      0.34               1293000200086 
 11.952     0.12       140.39        9.27      0.34               1293000200087 
 11.952     0.12       145.24        9.12      0.40               1293000200088 
 11.952     0.12       150.20        8.98      0.38               1293000200089 
 11.952     0.12       155.20       10.42      0.42               1293000200090 
 13.941     0.10        20.02      914.03     46.22               1293000200091 
 13.941     0.10        21.95      724.93     27.06               1293000200092 
 13.941     0.10        24.84      532.08     18.44               1293000200093 
 13.941     0.10        29.60      319.84     20.14               1293000200094 
 13.941     0.10        34.26      111.56      6.46               1293000200095 
 13.941     0.10        36.18       81.84      5.80               1293000200096 
 13.941     0.10        39.40       40.32      1.82               1293000200097 
 13.941     0.10        45.79       24.18      0.93               1293000200098 
 13.941     0.10        50.64       26.15      1.17               1293000200099 
 13.941     0.10        54.80       18.76      1.02               1293000200100 
 13.941     0.10        58.88       10.94      0.76               1293000200101 
 13.941     0.10        66.78        3.13      0.37               1293000200102 
 13.941     0.10        71.91        7.74      0.63               1293000200103 
 13.941     0.10        76.24       12.17      0.65               1293000200104 
 13.941     0.10        81.08       18.71      0.53               1293000200105 
 13.941     0.10        85.98       19.90      0.68               1293000200106 
 13.941     0.10        95.08       16.70      0.73               1293000200107 
 13.941     0.10        99.48        9.87      0.52               1293000200108 
 13.941     0.10       111.42        5.45      0.25               1293000200109 
 13.941     0.10       115.79        5.41      0.29               1293000200110 
 13.941     0.10       120.48        6.27      0.37               1293000200111 
 13.941     0.10       125.79        7.09      0.38               1293000200112 
 13.941     0.10       130.78        8.69      0.36               1293000200113 
 13.941     0.10       135.35        8.93      0.41               1293000200114 
 13.941     0.10       140.08        8.70      0.33               1293000200115 
 13.941     0.10       145.31        8.47      0.34               1293000200116 
 13.941     0.10       150.15        8.75      0.42               1293000200117 
 13.941     0.10       153.73       11.01      0.55               1293000200118 
ENDDATA            107          0                                 1293000200119 
ENDSUBENT          118          0                                 1293000299999 
SUBENT        12930003   19860402                             00001293000300001 
BIB                  4          6                                 1293000300002 
REACTION   (28-NI-58(N,INL)28-NI-58,PAR,DA)                       1293000300003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000300004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293000300005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000300006 
           NORMALIZATION UNCERTAINTY.                             1293000300007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000300008 
ENDBIB               6          0                                 1293000300009 
COMMON               1          3                                 1293000300010 
E-LVL                                                             1293000300011 
MEV                                                               1293000300012 
 1.454                                                            1293000300013 
ENDCOMMON            3          0                                 1293000300014 
DATA                 5        105                                 1293000300015 
EN         EN-ERR     ANG-CM     DATA       DATA-ERR              1293000300016 
MEV        MEV        ADEG       MB/SR      MB/SR                 1293000300017 
 7.904      0.19       25.56      16.88      3.74                 1293000300018 
 7.904      0.19       30.52      13.29      1.89                 1293000300019 
 7.904      0.19       35.51      10.71      1.13                 1293000300020 
 7.904      0.19       40.51       9.59      0.86                 1293000300021 
 7.904      0.19       45.51       9.50      0.99                 1293000300022 
 7.904      0.19       50.53       7.43      1.63                 1293000300023 
 7.904      0.19       55.56       6.40      0.93                 1293000300024 
 7.904      0.19       60.61       5.11      0.88                 1293000300025 
 7.904      0.19       65.67       5.37      1.25                 1293000300026 
 7.904      0.19       70.74       4.53      1.33                 1293000300027 
 7.904      0.19       75.80       4.51      0.84                 1293000300028 
 7.904      0.19       80.85       3.90      1.14                 1293000300029 
 7.904      0.19       81.86       4.44      1.12                 1293000300030 
 7.904      0.19       85.87       4.54      0.89                 1293000300031 
 7.904      0.19       90.87       4.80      1.00                 1293000300032 
 7.904      0.19       95.84       4.80      0.91                 1293000300033 
 7.904      0.19      100.79       4.72      1.21                 1293000300034 
 7.904      0.19      105.73       4.66      0.82                 1293000300035 
 7.904      0.19      110.66       4.58      0.94                 1293000300036 
 7.904      0.19      115.59       4.89      0.91                 1293000300037 
 7.904      0.19      120.52       5.46      1.21                 1293000300038 
 7.904      0.19      125.46       4.14      0.79                 1293000300039 
 7.904      0.19      130.41       3.94      0.74                 1293000300040 
 7.904      0.19      135.38       3.57      0.60                 1293000300041 
 7.904      0.19      140.37       3.87      0.91                 1293000300042 
 7.904      0.19      145.34       2.99      0.84                 1293000300043 
 7.904      0.19      150.27       4.68      0.80                 1293000300044 
 7.904      0.19      153.21       3.79      0.94                 1293000300045 
 7.904      0.19      156.13       5.04      1.33                 1293000300046 
 9.958      0.14       25.55      14.55      2.17                 1293000300047 
 9.958      0.14       30.50      16.14      2.94                 1293000300048 
 9.958      0.14       35.46      10.52      1.29                 1293000300049 
 9.958      0.14       40.43      10.21      2.89                 1293000300050 
 9.958      0.14       45.41       7.75      3.00                 1293000300051 
 9.958      0.14       50.42       6.52      1.70                 1293000300052 
 9.958      0.14       55.47       4.87      1.05                 1293000300053 
 9.958      0.14       60.58       4.03      0.56                 1293000300054 
 9.958      0.14       70.85       3.70      1.05                 1293000300055 
 9.958      0.14       80.92       5.51      1.09                 1293000300056 
 9.958      0.14       90.80       5.19      1.80                 1293000300057 
 9.958      0.14       95.72       5.25      1.08                 1293000300058 
 9.958      0.14      100.63       4.67      0.97                 1293000300059 
 9.958      0.14      105.55       4.26      1.40                 1293000300060 
 9.958      0.14      115.42       3.33      0.86                 1293000300061 
 9.958      0.14      125.46       1.75      0.74                 1293000300062 
 9.958      0.14      135.51       2.41      0.53                 1293000300063 
 9.958      0.14      140.46       2.50      0.71                 1293000300064 
 9.958      0.14      145.34       2.59      0.74                 1293000300065 
 9.958      0.14      150.20       2.51      0.71                 1293000300066 
 9.958      0.14      155.02       3.29      0.83                 1293000300067 
 11.952     0.12       25.84       8.67      1.89                 1293000300068 
 11.952     0.12       30.70      10.13      1.10                 1293000300069 
 11.952     0.12       35.58       9.41      0.77                 1293000300070 
 11.952     0.12       40.48       8.18      0.92                 1293000300071 
 11.952     0.12       45.40       6.68      0.85                 1293000300072 
 11.952     0.12       50.36       4.83      0.71                 1293000300073 
 11.952     0.12       55.41       3.68      0.62                 1293000300074 
 11.952     0.12       60.58       2.77      0.54                 1293000300075 
 11.952     0.12       65.80       2.56      0.52                 1293000300076 
 11.952     0.12       70.94       2.50      0.45                 1293000300077 
 11.952     0.12       75.97       3.10      0.55                 1293000300078 
 11.952     0.12       80.91       2.88      0.49                 1293000300079 
 11.952     0.12       85.82       3.37      0.59                 1293000300080 
 11.952     0.12       90.71       2.69      0.45                 1293000300081 
 11.952     0.12       95.61       2.58      0.48                 1293000300082 
 11.952     0.12      100.53       2.39      0.43                 1293000300083 
 11.952     0.12      105.49       2.03      0.44                 1293000300084 
 11.952     0.12      110.50       1.22      0.25                 1293000300085 
 11.952     0.12      115.59       1.18      0.29                 1293000300086 
 11.952     0.12      120.70       1.27      0.29                 1293000300087 
 11.952     0.12      125.75       1.35      0.28                 1293000300088 
 11.952     0.12      130.73       1.55      0.34                 1293000300089 
 11.952     0.12      135.63       1.60      0.32                 1293000300090 
 11.952     0.12      140.51       1.82      0.38                 1293000300091 
 11.952     0.12      145.35       2.19      0.38                 1293000300092 
 11.952     0.12      150.19       2.46      0.36                 1293000300093 
 11.952     0.12      155.00       2.03      0.39                 1293000300094 
 13.941     0.10       20.50      40.29     57.08                 1293000300095 
 13.941     0.10       22.46      38.90     63.13                 1293000300096 
 13.941     0.10       25.41      24.40     41.66                 1293000300097 
 13.941     0.10       30.35      15.69      4.57                 1293000300098 
 13.941     0.10       35.30       8.62      3.03                 1293000300099 
 13.941     0.10       37.28      11.96      2.99                 1293000300100 
 13.941     0.10       40.27       8.68      1.63                 1293000300101 
 13.941     0.10       45.27       5.87      1.12                 1293000300102 
 13.941     0.10       50.31       4.47      1.07                 1293000300103 
 13.941     0.10       55.44       3.26      0.67                 1293000300104 
 13.941     0.10       60.62       2.34      0.49                 1293000300105 
 13.941     0.10       65.79       2.38      0.52                 1293000300106 
 13.941     0.10       70.88       2.48      0.55                 1293000300107 
 13.941     0.10       75.88       2.85      0.47                 1293000300108 
 13.941     0.10       80.83       3.16      0.49                 1293000300109 
 13.941     0.10       85.76       3.29      0.87                 1293000300110 
 13.941     0.10       95.57       2.03      0.49                 1293000300111 
 13.941     0.10      100.46       1.53      0.39                 1293000300112 
 13.941     0.10      110.33       1.16      0.28                 1293000300113 
 13.941     0.10      115.42       0.87      0.27                 1293000300114 
 13.941     0.10      120.63       0.66      0.22                 1293000300115 
 13.941     0.10      125.81       0.75      0.20                 1293000300116 
 13.941     0.10      130.82       0.92      0.15                 1293000300117 
 13.941     0.10      135.72       0.96      0.35                 1293000300118 
 13.941     0.10      140.58       1.70      0.28                 1293000300119 
 13.941     0.10      145.41       1.98      0.53                 1293000300120 
 13.941     0.10      150.24       1.92      0.37                 1293000300121 
 13.941     0.10      155.05       2.03      0.42                 1293000300122 
ENDDATA            107          0                                 1293000300123 
ENDSUBENT          122          0                                 1293000399999 
SUBENT        12930004   19860402                             00001293000400001 
BIB                  4          6                                 1293000400002 
REACTION   (28-NI-60(N,EL)28-NI-60,,DA)                           1293000400003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000400004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.79 PERCENT.           1293000400005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000400006 
           NORMALIZATION UNCERTAINTY.                             1293000400007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000400008 
ENDBIB               6          0                                 1293000400009 
NOCOMMON             0          0                                 1293000400010 
DATA                 5        105                                 1293000400011 
EN         EN-ERR     ANG-CM     DATA       DATA-ERR              1293000400012 
MEV        MEV        ADEG       MB/SR      MB/SR                 1293000400013 
 7.904      0.19       25.09      1181.81    34.10                1293000400014 
 7.904      0.19       29.93       760.64    31.94                1293000400015 
 7.904      0.19       34.77       450.77    18.89                1293000400016 
 7.904      0.19       39.58       260.20    12.15                1293000400017 
 7.904      0.19       44.32       124.81     8.63                1293000400018 
 7.904      0.19       48.91        34.78     2.56                1293000400019 
 7.904      0.19       53.69        11.25     1.33                1293000400020 
 7.904      0.19       61.84         5.24     0.87                1293000400021 
 7.904      0.19       66.75        12.74     0.97                1293000400022 
 7.904      0.19       71.22        20.75     0.84                1293000400023 
 7.904      0.19       75.90        24.38     0.96                1293000400024 
 7.904      0.19       80.70        25.76     1.05                1293000400025 
 7.904      0.19       81.66        26.67     0.94                1293000400026 
 7.904      0.19       85.55        25.75     0.97                1293000400027 
 7.904      0.19       90.44        21.90     0.85                1293000400028 
 7.904      0.19       95.38        18.72     0.85                1293000400029 
 7.904      0.19      100.36        14.91     0.72                1293000400030 
 7.904      0.19      105.34        13.31     0.81                1293000400031 
 7.904      0.19      110.27         8.90     0.64                1293000400032 
 7.904      0.19      115.11         7.41     0.59                1293000400033 
 7.904      0.19      119.87         4.73     0.58                1293000400034 
 7.904      0.19      124.69         3.24     0.40                1293000400035 
 7.904      0.19      130.28         1.98     0.30                1293000400036 
 7.904      0.19      136.16         2.49     0.42                1293000400037 
 7.904      0.19      141.08         6.31     0.47                1293000400038 
 7.904      0.19      145.76         7.81     0.75                1293000400039 
 7.904      0.19      150.45        15.02     0.83                1293000400040 
 7.904      0.19      153.28        14.14     0.81                1293000400041 
 7.904      0.19      156.11        18.07     0.70                1293000400042 
 9.958      0.14       25.05       929.95    26.22                1293000400043 
 9.958      0.14       29.87       623.12    23.12                1293000400044 
 9.958      0.14       34.68       351.94    16.80                1293000400045 
 9.958      0.14       39.43       152.09     8.51                1293000400046 
 9.958      0.14       44.09        59.71     4.13                1293000400047 
 9.958      0.14       48.66        18.58     2.34                1293000400048 
 9.958      0.14       54.98         1.87     0.39                1293000400049 
 9.958      0.14       61.75         5.06     0.76                1293000400050 
 9.958      0.14       71.01        10.83     0.64                1293000400051 
 9.958      0.14       80.86        15.15     0.57                1293000400052 
 9.958      0.14       90.65        17.38     0.68                1293000400053 
 9.958      0.14       95.49        14.26     0.42                1293000400054 
 9.958      0.14      100.33        13.89     0.70                1293000400055 
 9.958      0.14      105.20         8.78     0.37                1293000400056 
 9.958      0.14      115.30         4.61     0.25                1293000400057 
 9.958      0.14      125.60         4.12     0.23                1293000400058 
 9.958      0.14      135.61         5.54     0.28                1293000400059 
 9.958      0.14      140.59         7.25     0.52                1293000400060 
 9.958      0.14      145.51         8.45     0.41                1293000400061 
 9.958      0.14      150.36        12.01     0.66                1293000400062 
 9.958      0.14      155.15        13.26     0.37                1293000400063 
 11.952     0.12       24.84       805.60    30.28                1293000400064 
 11.952     0.12       29.61       427.57    21.55                1293000400065 
 11.952     0.12       34.36       207.75    11.34                1293000400066 
 11.952     0.12       39.18        70.31     4.20                1293000400067 
 11.952     0.12       44.45        21.32     1.31                1293000400068 
 11.952     0.12       50.24        10.28     0.66                1293000400069 
 11.952     0.12       55.37         8.37     0.59                1293000400070 
 11.952     0.12       60.21         5.40     0.43                1293000400071 
 11.952     0.12       65.68         3.92     0.29                1293000400072 
 11.952     0.12       71.42         5.20     0.47                1293000400073 
 11.952     0.12       76.40         9.64     0.55                1293000400074 
 11.952     0.12       81.14        14.80     0.53                1293000400075 
 11.952     0.12       85.88        17.83     0.48                1293000400076 
 11.952     0.12       90.66        17.22     0.58                1293000400077 
 11.952     0.12       95.46        16.81     0.58                1293000400078 
 11.952     0.12      100.30        12.04     0.45                1293000400079 
 11.952     0.12      105.22         9.19     0.45                1293000400080 
 11.952     0.12      110.31         6.27     0.22                1293000400081 
 11.952     0.12      115.57         5.23     0.29                1293000400082 
 11.952     0.12      120.76         5.93     0.30                1293000400083 
 11.952     0.12      125.75         6.76     0.34                1293000400084 
 11.952     0.12      130.63         8.76     0.37                1293000400085 
 11.952     0.12      135.50         8.89     0.34                1293000400086 
 11.952     0.12      140.36        10.36     0.35                1293000400087 
 11.952     0.12      145.25        10.19     0.36                1293000400088 
 11.952     0.12      150.15        10.51     0.42                1293000400089 
 11.952     0.12      155.08        11.23     0.41                1293000400090 
 13.941     0.10       20.02       999.84    47.36                1293000400091 
 13.941     0.10       21.92       796.79    29.77                1293000400092 
 13.941     0.10       24.76       586.66    23.91                1293000400093 
 13.941     0.10       29.48       292.87    14.89                1293000400094 
 13.941     0.10       34.28       110.91     7.69                1293000400095 
 13.941     0.10       36.35        69.65     4.13                1293000400096 
 13.941     0.10       39.79        38.24     1.59                1293000400097 
 13.941     0.10       45.62        27.18     0.99                1293000400098 
 13.941     0.10       50.38        25.06     1.05                1293000400099 
 13.941     0.10       54.86        17.89     1.01                1293000400100 
 13.941     0.10       59.68         8.22     0.53                1293000400101 
 13.941     0.10       65.98         3.86     0.36                1293000400102 
 13.941     0.10       71.59         8.04     0.62                1293000400103 
 13.941     0.10       76.40        14.18     0.70                1293000400104 
 13.941     0.10       81.14        21.05     0.91                1293000400105 
 13.941     0.10       85.81        22.45     0.86                1293000400106 
 13.941     0.10       95.17        17.06     0.87                1293000400107 
 13.941     0.10      100.11         8.98     0.49                1293000400108 
 13.941     0.10      110.67         5.70     0.22                1293000400109 
 13.941     0.10      115.78         6.08     0.30                1293000400110 
 13.941     0.10      120.78         7.24     0.35                1293000400111 
 13.941     0.10      125.66         8.42     0.33                1293000400112 
 13.941     0.10      130.50         8.49     0.35                1293000400113 
 13.941     0.10      135.40         9.15     0.35                1293000400114 
 13.941     0.10      140.24         8.98     0.41                1293000400115 
 13.941     0.10      144.99         7.16     1.24                1293000400116 
 13.941     0.10      149.98         6.70     0.77                1293000400117 
 13.941     0.10      155.45         7.17     0.36                1293000400118 
ENDDATA            107          0                                 1293000400119 
ENDSUBENT          118          0                                 1293000499999 
SUBENT        12930005   19860402                             00001293000500001 
BIB                  4          6                                 1293000500002 
REACTION   (28-NI-60(N,INL)28-NI-60,PAR,DA)                       1293000500003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000500004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.79 PERCENT.           1293000500005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000500006 
           NORMALIZATION UNCERTAINTY.                             1293000500007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000500008 
ENDBIB               6          0                                 1293000500009 
COMMON               1          3                                 1293000500010 
E-LVL                                                             1293000500011 
MEV                                                               1293000500012 
 1.331                                                            1293000500013 
ENDCOMMON            3          0                                 1293000500014 
DATA                 5        105                                 1293000500015 
EN         EN-ERR     ANG-CM     DATA       DATA-ERR              1293000500016 
MEV        MEV        ADEG       MB/SR      MB/SR                 1293000500017 
 7.904      0.19       25.61      18.21      1.94                 1293000500018 
 7.904      0.19       30.53      19.02      1.78                 1293000500019 
 7.904      0.19       35.46      15.92      1.30                 1293000500020 
 7.904      0.19       40.41      13.33      1.51                 1293000500021 
 7.904      0.19       45.38      11.35      1.08                 1293000500022 
 7.904      0.19       50.40       9.18      1.74                 1293000500023 
 7.904      0.19       55.47       7.01      0.80                 1293000500024 
 7.904      0.19       60.58       6.33      1.01                 1293000500025 
 7.904      0.19       65.70       5.60      1.92                 1293000500026 
 7.904      0.19       70.79       6.35      1.07                 1293000500027 
 7.904      0.19       75.82       6.59      0.90                 1293000500028 
 7.904      0.19       80.82       6.95      1.13                 1293000500029 
 7.904      0.19       81.82       7.93      1.04                 1293000500030 
 7.904      0.19       85.80       7.06      0.97                 1293000500031 
 7.904      0.19       90.76       8.02      0.96                 1293000500032 
 7.904      0.19       95.72       7.73      0.93                 1293000500033 
 7.904      0.19      100.67       7.36      1.07                 1293000500034 
 7.904      0.19      105.62       7.12      1.13                 1293000500035 
 7.904      0.19      110.56       6.02      1.07                 1293000500036 
 7.904      0.19      115.51       6.57      1.02                 1293000500037 
 7.904      0.19      120.47       5.69      1.18                 1293000500038 
 7.904      0.19      125.45       5.13      0.90                 1293000500039 
 7.904      0.19      130.43       5.52      0.84                 1293000500040 
 7.904      0.19      135.41       4.50      0.71                 1293000500041 
 7.904      0.19      140.35       6.47      0.86                 1293000500042 
 7.904      0.19      145.25       5.84      0.82                 1293000500043 
 7.904      0.19      150.11       7.01      1.30                 1293000500044 
 7.904      0.19      153.01       4.86      0.79                 1293000500045 
 7.904      0.19      155.90       5.85      0.72                 1293000500046 
 9.959      0.14       25.71      17.65      1.05                 1293000500047 
 9.959      0.14       30.56      22.16      2.69                 1293000500048 
 9.959      0.14       35.43      16.26      1.26                 1293000500049 
 9.959      0.14       40.32      13.86      2.24                 1293000500050 
 9.959      0.14       45.24       8.79      0.84                 1293000500051 
 9.959      0.14       50.25       7.63      1.74                 1293000500052 
 9.959      0.14       55.41       5.03      0.64                 1293000500053 
 9.959      0.14       60.69       4.87      1.09                 1293000500054 
 9.959      0.14       70.93       4.99      1.04                 1293000500055 
