ENTRY            12263   19840821                             00001226300000001 
SUBENT        12263001   19840821                             00001226300100001 
BIB                  8         13                                 1226300100002 
INSTITUTE  (1USAMTR)                                              1226300100003 
REFERENCE  (J,NSE,28,133,67)                                      1226300100004 
           (C,66WASH,,67,6603) EXP. PROCEDURE                     1226300100005 
           (R,IN-1014,6607) TABULATED DATA                        1226300100006 
           (J,NSE,20,235,6410) PRELIMINARY RESULTS, 0.01 - 1.0 EV.1226300100007 
           (C,61SACLAY,,85,61)                                    1226300100008 
AUTHOR     (F.B.SIMPSON,J.W.CODDING JR)                           1226300100009 
TITLE      TOTAL NEUTRON CROSS SECTION OF PROTACTINIUM-233.       1226300100010 
FACILITY   (CHOPF) MTR FAST CHOPPER                               1226300100011 
METHOD     (TOF)                                                  1226300100012 
STATUS     (SCSRS)                                                1226300100013 
HISTORY    (760803T) TRANSLATED FROM SCISRS                       1226300100014 
           (840821A) CONVERTED TO REACTION FORMALISM              1226300100015 
ENDBIB              13          0                                 1226300100016 
NOCOMMON             0          0                                 1226300100017 
ENDSUBENT           16          0                                 1226300199999 
SUBENT        12263002   19840821                             00001226300200001 
BIB                  2          2                                 1226300200002 
REACTION   (91-PA-233(N,TOT),,SIG)                                1226300200003 
FLAG       (1.) WEIGHTED AVERAGE OF 5 RUNS.                       1226300200004 
ENDBIB               2          0                                 1226300200005 
NOCOMMON             0          0                                 1226300200006 
DATA                 5        847                                 1226300200007 
EN         EN-RSL     DATA       THICKNESS  FLAG                  1226300200008 
 1.245  -06  180.      2.058  +02 340.                            1226300200075 
 1.249  -06  180.      2.093  +02 340.                            1226300200076 
 1.252  -06  180.      2.542  +02 340.                            1226300200077 
 1.256  -06  180.      2.490  +02 340.                            1226300200078 
 1.260  -06  180.      2.752  +02 340.                            1226300200079 
 1.264  -06  180.      3.172  +02 340.                            1226300200080 
 1.268  -06  180.      3.645  +02 340.                            1226300200081 
 1.272  -06  180.      3.886  +02 340.                            1226300200082 
 1.274  -06  180.      4.778  +022879.                            1226300200083 
 1.278  -06  180.      5.339  +022879.                            1226300200084 
 1.282  -06  180.      5.034  +022879.                            1226300200085 
 1.286  -06  180.      6.005  +022879.                            1226300200086 
 1.290  -06  180.      7.192  +022879.                            1226300200087 
 1.294  -06  180.      8.161  +022879.                            1226300200088 
 1.298  -06  180.      9.248  +022879.                            1226300200089 
 1.302  -06  180.      1.089  +032879.                            1226300200090 
 1.307  -06  180.      1.290  +032879.                            1226300200091 
 1.311  -06  180.      1.454  +032879.                            1226300200092 
 1.315  -06  180.      1.590  +032879.                            1226300200093 
 1.319  -06  180.      1.830  +032879.                            1226300200094 
 1.323  -06  180.      1.912  +032879.                            1226300200095 
 1.327  -06  180.      2.135  +032879.                            1226300200096 
 1.332  -06  180.      2.304  +032879.                            1226300200097 
 1.336  -06  180.      2.311  +032879.                            1226300200098 
 1.340  -06  180.      2.210  +032879.                            1226300200099 
 1.344  -06  180.      2.185  +032879.                            1226300200100 
 1.349  -06  180.      1.989  +032879.                            1226300200101 
 1.353  -06  180.      1.896  +032879.                            1226300200102 
 1.358  -06  180.      1.726  +032879.                            1226300200103 
 1.362  -06  180.      1.537  +032879.                            1226300200104 
 1.366  -06  180.      1.480  +032879.                            1226300200105 
 1.371  -06  180.      1.235  +032879.                            1226300200106 
 1.375  -06  180.      9.177  +022879.                            1226300200107 
 1.380  -06  180.      9.010  +022879.                            1226300200108 
 1.384  -06  180.      8.133  +022879.                            1226300200109 
 1.389  -06  180.      6.648  +022879.                            1226300200110 
 1.393  -06  180.      5.877  +022879.                            1226300200111 
 1.398  -06  180.      5.200  +022879.                            1226300200112 
 1.402  -06  180.      4.452  +022879.                            1226300200113 
 1.407  -06  180.      4.606  +022879.                            1226300200114 
 1.412  -06  180.      3.877  +022879.                            1226300200115 
 1.414  -06  180.      3.864  +02 340.                            1226300200116 
 1.419  -06  180.      3.617  +02 340.                            1226300200117 
 1.423  -06  180.      3.024  +02 340.                            1226300200118 
 1.428  -06  180.      2.837  +02 340.                            1226300200119 
 1.433  -06  180.      2.387  +02 340.                            1226300200120 
 1.437  -06  180.      2.434  +02 340.                            1226300200121 
 1.442  -06  180.      2.468  +02 340.                            1226300200122 
 1.447  -06  180.      2.485  +02 340.                            1226300200123 
 1.452  -06  180.      2.024  +02 340.                            1226300200124 
 1.457  -06  180.      2.251  +02 340.                            1226300200125 
 1.462  -06  180.      2.022  +02 340.                            1226300200126 
 1.467  -06  180.      2.150  +02 340.                            1226300200127 
 1.471  -06  180.      2.132  +02 340.                            1226300200128 
 1.476  -06  180.      2.097  +02 340.                            1226300200129 
 1.481  -06  180.      2.241  +02 340.                            1226300200130 
 1.486  -06  180.      2.138  +02 340.                            1226300200131 
 1.491  -06  180.      2.101  +02 340.                            1226300200132 
 1.496  -06  180.      2.236  +02 340.                            1226300200133 
 1.502  -06  180.      2.508  +02 340.                            1226300200134 
 1.507  -06  180.      2.528  +02 340.                            1226300200135 
 1.512  -06  180.      2.449  +02 340.                            1226300200136 
 1.517  -06  180.      2.738  +02 340.                            1226300200137 
 1.522  -06  180.      3.110  +02 340.                            1226300200138 
 1.527  -06  180.      3.085  +02 340.                            1226300200139 
 1.533  -06  180.      3.921  +02 340.                            1226300200140 
 1.538  -06  180.      3.724  +02 340.                            1226300200141 
 1.543  -06  180.      3.844  +02 340.                            1226300200142 
 1.548  -06  180.      4.769  +02 340.                            1226300200143 
 1.554  -06  180.      5.552  +02 340.                            1226300200144 
 1.556  -06  180.      5.329  +022879.                            1226300200145 
 1.562  -06  180.      7.054  +022879.                            1226300200146 
 1.567  -06  180.      7.346  +022879.                            1226300200147 
 1.573  -06  180.      9.196  +022879.                            1226300200148 
 1.578  -06  180.      9.520  +022879.                            1226300200149 
 1.584  -06  180.      1.151  +032879.                            1226300200150 
 1.589  -06  180.      1.339  +032879.                            1226300200151 
 1.595  -06  180.      1.594  +032879.                            1226300200152 
 1.600  -06  180.      2.037  +032879.                            1226300200153 
 1.606  -06  180.      2.533  +032879.                            1226300200154 
 1.612  -06  180.      3.017  +032879.                            1226300200155 
 1.617  -06  180.      3.409  +032879.                            1226300200156 
 1.623  -06  180.      4.277  +032879.                            1226300200157 
 1.629  -06  180.      4.748  +032879.                            1226300200158 
 1.634  -06  180.      4.952  +032879.                            1226300200159 
 1.640  -06  180.      5.199  +032879.                            1226300200160 
 1.646  -06  180.      5.061  +032879.                            1226300200161 
 1.652  -06  180.      4.917  +032879.                            1226300200162 
 1.658  -06  180.      4.038  +032879.                            1226300200163 
 1.664  -06  180.      3.818  +032879.                            1226300200164 
 1.670  -06  180.      3.090  +032879.                            1226300200165 
 1.676  -06  180.      2.859  +032879.                            1226300200166 
 1.682  -06  180.      2.219  +032879.                            1226300200167 
 1.688  -06  180.      1.810  +032879.                            1226300200168 
 1.694  -06  180.      1.392  +032879.                            1226300200169 
 1.700  -06  180.      1.097  +032879.                            1226300200170 
 1.706  -06  180.      7.956  +022879.                            1226300200171 
 1.712  -06  180.      7.681  +022879.                            1226300200172 
 1.718  -06  180.      6.324  +022879.                            1226300200173 
 1.722  -06  180.      6.522  +02 340.                            1226300200174 
 1.728  -06  180.      5.473  +02 340.                            1226300200175 
 1.734  -06  180.      4.661  +02 340.                            1226300200176 
 1.740  -06  180.      4.282  +02 340.                            1226300200177 
 1.747  -06  180.      3.434  +02 340.                            1226300200178 
 1.753  -06  180.      3.211  +02 340.                            1226300200179 
 1.760  -06  180.      2.932  +02 340.                            1226300200180 
 1.766  -06  180.      2.465  +02 340.                            1226300200181 
 1.773  -06  180.      2.387  +02 340.                            1226300200182 
 1.779  -06  180.      1.980  +02 340.                            1226300200183 
 1.786  -06  180.      1.922  +02 340.                            1226300200184 
 1.792  -06  180.      1.656  +02 340.                            1226300200185 
 1.799  -06  180.      1.683  +02 340.                            1226300200186 
 1.806  -06  180.      1.184  +02 340.                            1226300200187 
 1.813  -06  180.      1.302  +02 340.                            1226300200188 
 1.840  -06  180.      1.074  +02 340.                            1226300200189 
 1.889  -06  180.      7.63   +01 340.                            1226300200190 
 1.940  -06  180.      5.57   +01 340.                            1226300200191 
 1.990  -06  180.      4.28   +01 340.                            1226300200192 
 2.041  -06  180.      3.35   +01 340.                            1226300200193 
 2.095  -06  180.      3.58   +01 340.                            1226300200194 
 2.142  -06  180.      3.62   +01 340.                            1226300200195 
 2.190  -06  180.      3.10   +01 340.                            1226300200196 
 2.240  -06  180.      3.00   +01 340.                            1226300200197 
 2.269  -06  180.      3.63   +01 340.                            1226300200198 
 2.278  -06  180.      2.99   +01 340.                            1226300200199 
 2.288  -06  180.      3.27   +01 340.                            1226300200200 
 2.297  -06  180.      4.46   +01 340.                            1226300200201 
 2.307  -06  180.      5.39   +01 340.                            1226300200202 
 2.317  -06  180.      1.008  +02 340.                            1226300200203 
 2.326  -06  180.      6.89   +01 340.                            1226300200204 
 2.336  -06  180.      1.083  +02 340.                            1226300200205 
 2.346  -06  180.      1.010  +02 340.                            1226300200206 
 2.356  -06  180.      1.040  +02 340.                            1226300200207 
 2.366  -06  180.      1.037  +02 340.                            1226300200208 
 2.376  -06  180.      8.63   +01 340.                            1226300200209 
 2.397  -06  180.      6.78   +01 340.                            1226300200210 
 2.422  -06  180.      4.62   +01 340.                            1226300200211 
 2.449  -06  180.      4.07   +01 340.                            1226300200212 
 2.475  -06  180.      3.20   +01 340.                            1226300200213 
 2.497  -06  180.      3.14   +01 340.                            1226300200214 
 2.519  -06  180.      2.91   +01 340.                            1226300200215 
 2.547  -06  180.      5.11   +01 340.                            1226300200216 
 2.575  -06  180.      3.03   +01 340.                            1226300200217 
 2.598  -06  180.      2.95   +01 340.                            1226300200218 
 2.622  -06  180.      4.30   +01 340.                            1226300200219 
 2.645  -06  180.      5.97   +01 340.                            1226300200220 
 2.669  -06  180.      6.05   +01 340.                            1226300200221 
 2.688  -06  180.      8.09   +01 340.                            1226300200222 
 2.700  -06  180.      1.104  +02 340.                            1226300200223 
 2.712  -06  180.      1.293  +02 340.                            1226300200224 
 2.724  -06  180.      1.654  +02 340.                            1226300200225 
 2.737  -06  180.      2.027  +02 340.                            1226300200226 
 2.750  -06  180.      2.693  +02 340.                            1226300200227 
 2.762  -06   96.      3.702  +022418.                            1226300200228 
 2.772  -06   96.      4.698  +022418.                            1226300200229 
 2.781  -06   96.      6.208  +022418.                            1226300200230 
 2.791  -06   96.      8.738  +022418.                            1226300200231 
 2.801  -06   96.      9.609  +022418.                            1226300200232 
 2.810  -06   96.      1.066  +032418.                            1226300200233 
 2.820  -06   96.      1.185  +032418.                            1226300200234 
 2.830  -06   96.      1.356  +032418.                            1226300200235 
 2.840  -06   96.      1.249  +032418.                            1226300200236 
 2.850  -06   96.      8.536  +022418.                            1226300200237 
 2.860  -06   96.      7.897  +022418.                            1226300200238 
 2.870  -06   96.      6.281  +022418.                            1226300200239 
 2.880  -06   96.      3.462  +022418.                            1226300200240 
 2.894  -06   96.      3.620  +02 325.                            1226300200241 
 2.904  -06   96.      2.842  +02 325.                            1226300200242 
 2.914  -06   96.      2.041  +02 325.                            1226300200243 
 2.925  -06   96.      1.630  +02 325.                            1226300200244 
 2.935  -06   96.      1.380  +02 325.                            1226300200245 
 2.942  -06   96.      1.041  +02 325.                            1226300200246 
 2.959  -06   96.      8.15   +01 325.                            1226300200247 
 2.984  -06   96.      6.79   +01 325.                            1226300200248 
 3.009  -06   96.      5.15   +01 325.                            1226300200249 
 3.035  -06   96.      5.95   +01 325.                            1226300200250 
 3.061  -06   96.      5.39   +01 325.                            1226300200251 
 3.087  -06   96.      4.07   +01 325.                            1226300200252 
 3.109  -06   96.      4.53   +01 325.                            1226300200253 
 3.136  -06   96.      6.17   +01 325.                            1226300200254 
 3.163  -06   96.      5.86   +01 325.                            1226300200255 
 3.187  -06   96.      6.89   +01 325.                            1226300200256 
 3.210  -06   96.      7.52   +01 325.                            1226300200257 
 3.230  -06   96.      8.50   +01 325.                            1226300200258 
 3.246  -06   96.      1.219  +02 325.                            1226300200259 
 3.263  -06   96.      1.458  +02 325.                            1226300200260 
 3.279  -06   96.      2.108  +02 325.                            1226300200261 
 3.291  -06   96.      2.530  +02 325.                            1226300200262 
 3.304  -06   96.      4.797  +023061.                            1226300200263 
 3.316  -06   96.      5.437  +023061.                            1226300200264 
 3.333  -06   96.      7.553  +023061.                            1226300200265 
 3.350  -06   96.      1.488  +033061.                            1226300200266 
 3.367  -06   96.      1.790  +033061.                            1226300200267 
 3.380  -06   96.      2.197  +033061.                            1226300200268 
 3.393  -06   96.      1.935  +033061.                            1226300200269 
 3.410  -06   96.      1.606  +033061.                            1226300200270 
 3.423  -06   96.      1.368  +033061.                            1226300200271 
 3.436  -06   96.      7.302  +023061.                            1226300200272 
 3.454  -06   96.      6.345  +023061.                            1226300200273 
 3.472  -06   96.      3.477  +02 325.                            1226300200274 
 3.485  -06   96.      2.490  +02 325.                            1226300200275 
 3.503  -06   96.      1.795  +02 325.                            1226300200276 
 3.517  -06   96.      1.165  +02 325.                            1226300200277 
 3.531  -06   96.      1.160  +02 325.                            1226300200278 
 3.545  -06   96.      7.80   +01 325.                            1226300200279 
 3.577  -06   96.      6.35   +01 325.                            1226300200280 
 3.629  -06   96.      5.14   +01 325.                            1226300200281 
 3.677  -06   96.      3.18   +01 325.                            1226300200282 
 3.727  -06   96.      3.00   +01 325.                            1226300200283 
 3.777  -06   96.      2.93   +01 325.                            1226300200284 
 3.828  -06   96.      2.53   +01 325.                            1226300200285 
 3.881  -06   96.      2.40   +01 325.                            1226300200286 
 3.929  -06   96.      3.49   +01 325.                            1226300200287 
 3.978  -06   96.      2.62   +01 325.                            1226300200288 
 4.027  -06   96.      2.88   +01 325.                            1226300200289 
 4.078  -06   96.      2.91   +01 325.                            1226300200290 
 4.130  -06   96.      3.65   +01 325.                            1226300200291 
 4.177  -06   96.      6.71   +01 325.                            1226300200292 
 4.206  -06   96.      1.064  +02 325.                            1226300200293 
 4.218  -06   96.      1.453  +02 325.                            1226300200294 
 4.230  -06   96.      1.921  +02 325.                            1226300200295 
 4.242  -06   96.      2.535  +02 325.                            1226300200296 
 4.255  -06   96.      3.021  +02 325.                            1226300200297 
 4.267  -06   96.      3.588  +02 325.                            1226300200298 
 4.279  -06   96.      3.850  +02 325.                            1226300200299 
 4.291  -06   96.      4.070  +02 325.                            1226300200300 
 4.304  -06   96.      3.847  +02 325.                            1226300200301 
 4.316  -06   96.      3.409  +02 325.                            1226300200302 
 4.328  -06   96.      2.903  +02 325.                            1226300200303 
 4.341  -06   96.      2.326  +02 325.                            1226300200304 
 4.353  -06   96.      1.774  +02 325.                            1226300200305 
 4.366  -06   96.      1.157  +02 325.                            1226300200306 
 4.379  -06   96.      1.067  +02 325.                            1226300200307 
 4.391  -06   96.      7.73   +01 325.                            1226300200308 
 4.423  -06   96.      4.83   +01 325.                            1226300200309 
 4.475  -06   96.      4.00   +01 325.                            1226300200310 
 4.528  -06   96.      2.24   +01 325.                            1226300200311 
 4.582  -06   96.      2.62   +01 325.                            1226300200312 
 4.630  -06   96.      2.54   +01 325.                            1226300200313 
 4.678  -06   96.      1.66   +01 325.                            1226300200314 
 4.728  -06   96.      1.84   +01 325.                            1226300200315 
 4.778  -06   96.      2.78   +01 325.                            1226300200316 
 4.829  -06   96.      3.42   +01 325.                            1226300200317 
 4.881  -06   96.      4.30   +01 325.                            1226300200318 
 4.933  -06   96.      5.74   +01 325.                            1226300200319 
 4.979  -06   96.      8.40   +01 325.                            1226300200320 
 5.010  -06   96.      1.112  +02 325.                            1226300200321 
 5.025  -06   96.      1.870  +02 325.                            1226300200322 
 5.041  -06   96.      2.186  +02 325.                            1226300200323 
 5.065  -06   96.      4.247  +022418.                            1226300200324 
 5.080  -06   96.      5.265  +022418.                            1226300200325 
 5.096  -06   96.      8.498  +022418.                            1226300200326 
 5.112  -06   96.      1.097  +032418.                            1226300200327 
 5.128  -06   96.      1.411  +032418.                            1226300200328 
 5.144  -06   96.      1.404  +032418.                            1226300200329 
 5.161  -06   96.      1.381  +032418.                            1226300200330 
 5.177  -06   96.      1.048  +032418.                            1226300200331 
 5.193  -06   96.      8.451  +022418.                            1226300200332 
 5.210  -06   96.      5.169  +022418.                            1226300200333 
 5.234  -06   96.      3.877  +02 325.                            1226300200334 
 5.251  -06   96.      2.935  +02 325.                            1226300200335 
 5.268  -06   96.      1.934  +02 325.                            1226300200336 
 5.284  -06   96.      1.483  +02 325.                            1226300200337 
 5.301  -06   96.      9.78   +01 325.                            1226300200338 
 5.318  -06   96.      9.37   +01 325.                            1226300200339 
 5.335  -06   96.      5.97   +01 325.                            1226300200340 
 5.395  -06   96.      4.51   +01 325.                            1226300200341 
 5.492  -06   96.      2.30   +01 325.                            1226300200342 
 5.591  -06   96.      2.63   +01 325.                            1226300200343 
 5.693  -06   96.      1.86   +01 325.                            1226300200344 
 5.788  -06   96.      2.24   +01 325.                            1226300200345 
 5.886  -06   96.      1.56   +01 325.                            1226300200346 
 5.986  -06   96.      1.70   +01 325.                            1226300200347 
 6.088  -06   96.      1.39   +01 325.                            1226300200348 
 6.194  -06   96.      1.20   +01 325.                            1226300200349 
 6.291  -06   96.      2.54   +01 325.                            1226300200350 
 6.390  -06   96.      2.68   +01 325.                            1226300200351 
 6.492  -06   96.      1.70   +01 325.                            1226300200352 
 6.596  -06   96.      1.42   +01 325.                            1226300200353 
 6.703  -06   96.      2.60   +01 325.                            1226300200354 
 6.800  -06   96.      2.31   +01 325.                            1226300200355 
 6.899  -06   96.      1.55   +01 325.                            1226300200356 
 7.000  -06   96.      3.51   +01 325.                            1226300200357 
 7.091  -06   96.      1.295  +02 325.                            1226300200358 
 7.143  -06   96.      2.614  +02 325.                            1226300200359 
 7.170  -06   96.      3.077  +02 325.                            1226300200360 
 7.196  -06   96.      3.270  +02 325.                            1226300200361 
 7.223  -06   96.      2.640  +02 325.                            1226300200362 
 7.250  -06   96.      1.727  +02 325.                            1226300200363 
 7.277  -06   96.      1.289  +02 325.                            1226300200364 
 7.304  -06   96.      7.28   +01 325.                            1226300200365 
 7.332  -06   96.      4.84   +01 325.                            1226300200366 
 7.359  -06   96.      2.23   +01 325.                            1226300200367 
 7.457  -06   96.      1.46   +01 325.                            1226300200368 
 7.614  -06   96.      2.02   +01 325.                            1226300200369 
 7.762  -06   96.      1.28   +01 325.                            1226300200370 
 7.913  -06   96.      1.39   +01 325.                            1226300200371 
 8.054  -06   96.      1.61   +01 325.                            1226300200372 
 8.133  -06   96.      3.86   +01 325.                            1226300200373 
 8.166  -06   96.      3.45   +01 325.                            1226300200374 
 8.198  -06   96.      6.60   +01 325.                            1226300200375 
 8.231  -06   96.      8.31   +01 325.                            1226300200376 
 8.263  -06   96.      8.61   +01 325.                            1226300200377 
 8.296  -06   96.      7.70   +01 325.                            1226300200378 
 8.329  -06   96.      6.49   +01 325.                            1226300200379 
 8.363  -06   96.      5.07   +01 325.                            1226300200380 
 8.396  -06   96.      2.97   +01 325.                            1226300200381 
 8.430  -06   96.      3.87   +01 325.                            1226300200382 
 8.464  -06   96.      1.85   +01 325.                            1226300200383 
 8.498  -06   96.      2.75   +01 325.                            1226300200384 
 8.533  -06   96.      1.72   +01 325.                            1226300200385 
 8.567  -06   96.      2.80   +01 325.                            1226300200386 
 8.602  -06   96.      2.73   +01 325.                            1226300200387 
 8.637  -06   96.      1.22   +01 325.                            1226300200388 
 8.672  -06   96.      1.93   +01 325.                            1226300200389 
 8.708  -06   96.      2.35   +01 325.                            1226300200390 
 8.743  -06   96.      3.16   +01 325.                            1226300200391 
 8.779  -06   96.      5.31   +01 325.                            1226300200392 
 8.815  -06   96.      5.77   +01 325.                            1226300200393 
 8.852  -06   96.      7.71   +01 560.                            1226300200394 
 8.870  -06   96.      1.322  +02 560.                            1226300200395 
 8.906  -06   96.      1.661  +02 560.                            1226300200396 
 8.943  -06   96.      2.335  +02 560.                            1226300200397 
 8.980  -06   96.      2.345  +02 560.                            1226300200398 
 9.018  -06   96.      2.077  +02 560.                            1226300200399 
 9.055  -06   96.      1.671  +02 560.                            1226300200400 
 9.093  -06   96.      1.363  +02 560.                            1226300200401 
 9.131  -06   96.      1.279  +02 560.                            1226300200402 
 9.170  -06   96.      1.937  +02 560.                            1226300200403 
 9.208  -06   96.      2.847  +02 560.                            1226300200404 
 9.247  -06   96.      3.828  +02 560.                            1226300200405 
 9.286  -06   96.      6.262  +02 560.                            1226300200406 
 9.325  -06   96.      9.675  +02 325.                            1226300200407 
 9.365  -06   96.      1.254  +03 325.                            1226300200408 
 9.404  -06   96.      1.174  +03 325.                            1226300200409 
 9.444  -06   96.      8.406  +02 325.                            1226300200410 
 9.485  -06   96.      5.056  +02 325.                            1226300200411 
 9.525  -06   96.      2.947  +02 325.                            1226300200412 
 9.566  -06   96.      1.454  +02 325.                            1226300200413 
 9.628  -06   96.      7.02   +01 325.                            1226300200414 
 9.669  -06   96.      5.93   +01 325.                            1226300200415 
 9.711  -06   96.      4.06   +01 325.                            1226300200416 
 9.753  -06   96.      3.83   +01 325.                            1226300200417 
 9.795  -06   96.      2.76   +01 325.                            1226300200418 
 9.838  -06   96.      2.99   +01 325.                            1226300200419 
 9.880  -06   96.      2.18   +01 325.                            1226300200420 
 9.924  -06   96.      1.88   +01 325.                            1226300200421 
 9.967  -06   96.      2.80   +01 325.                            1226300200422 
 1.001  -05   96.      2.94   +01 325.                            1226300200423 
 1.005  -05   96.      2.12   +01 325.                            1226300200424 
 1.009  -05   96.      2.52   +01 325.                            1226300200425 
 1.014  -05   96.      2.59   +01 325.                            1226300200426 
 1.018  -05   96.      4.51   +01 325.                            1226300200427 
 1.023  -05   96.      6.57   +01 325.                            1226300200428 
 1.027  -05   96.      9.42   +01 325.                            1226300200429 
 1.032  -05   96.      1.320  +02 325.                            1226300200430 
 1.037  -05   96.      1.458  +02 325.                            1226300200431 
 1.041  -05   96.      1.164  +02 325.                            1226300200432 
 1.046  -05   96.      7.83   +01 325.                            1226300200433 
 1.051  -05   96.      4.87   +01 325.                            1226300200434 
 1.055  -05   96.      2.53   +01 325.                            1226300200435 
 1.060  -05   96.      2.31   +01 325.                            1226300200436 
 1.065  -05   96.      3.75   +01 325.                            1226300200437 
 1.070  -05   96.      3.87   +01 325.                            1226300200438 
 1.075  -05   96.      7.96   +01 325.                            1226300200439 
