ENTRY            12403   19760804                             00001240300000001 
SUBENT        12403001   19760804                             00001240300100001 
BIB                  6          8                                 1240300100002 
INSTITUTE  (1USACOL)                                              1240300100003 
REFERENCE  (J,NSE,3,435,58)                                       1240300100004 
AUTHOR     (E.MELKONIAN,V.PEREZ-MENDEZ,M.L.MELKONIAN,             1240300100005 
           W.W.HAVENS JR,L.J.RAINWATER)                           1240300100006 
TITLE      SLOW NEUTRON VELOCITY SPECTROMETER STUDIES OF THE TOTAL1240300100007 
           AND FISSION CROSS SECTIONS OF U235.                    1240300100008 
STATUS     (SCSRS)                                                1240300100009 
HISTORY    (760804T) TRANSLATED FROM SCISRS                       1240300100010 
ENDBIB               8          0                                 1240300100011 
NOCOMMON             0          0                                 1240300100012 
ENDSUBENT           11          0                                 1240300199999 
SUBENT        12403002   19860829                             00001240300200001 
BIB                  3          3                                 1240300200002 
REACTION   (92-U-235(N,TOT),,SIG)                                 1240300200003 
METHOD     (TOF) TIME-OF-FLIGHT                                   1240300200004 
HISTORY    (860828A) DATA POINT CORRECTED.                        1240300200005 
ENDBIB               3          0                                 1240300200006 
NOCOMMON             0          0                                 1240300200007 
DATA                 3        223                                 1240300200008 
EN         DATA       DATA-ERR                                    1240300200009 
MEV        B          B                                           1240300200010 
 2.57   -05 5.36   +01 5.1    +00                                 1240300200197 
 2.70   -05 4.91   +01 5.3    +00                                 1240300200198 
 2.83   -05 3.80   +01 5.1    +00                                 1240300200199 
 2.98   -05 5.01   +01 4.9    +00                                 1240300200200 
 3.14   -05 5.20   +01 5.0    +00                                 1240300200201 
 3.30   -05 6.91   +01 7.7    +00                                 1240300200202 
 3.48   -05 1.211  +02 5.4    +00                                 1240300200203 
 3.68   -05 8.00   +01 5.1    +00                                 1240300200204 
 3.90   -05 6.94   +01 7.2    +00                                 1240300200205 
 4.14   -05 5.96   +01 4.9    +00                                 1240300200206 
 4.40   -05 6.06   +01 4.9    +00                                 1240300200207 
 4.68   -05 5.87   +01 4.7    +00                                 1240300200208 
 5.00   -05 8.36   +01 5.0    +00                                 1240300200209 
 5.33   -05 8.22   +01 4.9    +00                                 1240300200210 
 5.72   -05 7.39   +01 4.8    +00                                 1240300200211 
 6.14   -05 5.07   +01 5.1    +00                                 1240300200212 
 6.61   -05 5.33   +01 4.3    +00                                 1240300200213 
 7.14   -05 4.28   +01 4.1    +00                                 1240300200214 
 7.73   -05 4.33   +01 4.3    +00                                 1240300200215 
 8.41   -05 6.45   +01 4.6    +00                                 1240300200216 
 9.17   -05 4.78   +01 4.5    +00                                 1240300200217 
 1.00   -04 4.59   +01 4.3    +00                                 1240300200218 
 1.10   -04 4.47   +01 4.1    +00                                 1240300200219 
 1.22   -04 5.40   +01 4.3    +00                                 1240300200220 
 1.36   -04 3.98   +01 4.0    +00                                 1240300200221 
 1.52   -04 3.86   +01 4.0    +00                                 1240300200222 
 1.70   -04 4.12   +01 3.9    +00                                 1240300200223 
 1.93   -04 4.42   +01 3.9    +00                                 1240300200224 
 2.21   -04 4.23   +01 3.9    +00                                 1240300200225 
 2.55   -04 3.78   +01 3.9    +00                                 1240300200226 
 2.97   -04 3.99   +01 3.9    +00                                 1240300200227 
 3.51   -04 3.53   +01 5.0    +00                                 1240300200228 
 5.81   -04 3.57   +01 3.5    +00                                 1240300200229 
 9.64   -04 2.93   +01 3.5    +00                                 1240300200230 
 1.875  -03 2.02   +01 3.5    +00                                 1240300200231 
 5.230  -03 1.47   +01 3.1    +00                                 1240300200232 
 4.800  -02 1.58   +01 3.2    +00                                 1240300200233 
ENDDATA            225          0                                 1240300200234 
ENDSUBENT          233          0                                 1240300299999 
SUBENT        12403003   19841018                             00001240300300001 
BIB                  5          5                                 1240300300002 
