ENTRY            10321   20020926                             00001032100000001 
SUBENT        10321001   20020926                             00001032100100001 
BIB                 14         27                                 1032100100002 
INSTITUTE  (1USAARL)                                              1032100100003 
REFERENCE  (J,PR/C,7,1736,197305)                                 1032100100004 
AUTHOR     (D.E.Velkley,J.C.Brandenberger,D.W.Glasgow,            1032100100005 
           M.T.Mc Ellistrem,J.C.Manthuruthil,C.P.Poirier)         1032100100006 
TITLE      Scattering of Neutrons by Carbon from 7 to 9 MeV       1032100100007 
FACILITY   (VDGT,1USAARL) Tandem Van-de-Graaff                    1032100100008 
INC-SOURCE (D-D) D(d,n) source in deuterium gas cell              1032100100009 
SAMPLE      Circular cylinder diameter 0.95 cm, height 2.54 cm    1032100100010 
            99.98% carbon                                         1032100100011 
METHOD     (TOF) Time-of-flight over 1.5 to 4.0 meters            1032100100012 
DETECTOR   (SCIN) NE213 scintillator coupled to photomultiplier.  1032100100013 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1032100100014 
CORRECTION Corrections for angular resolution,attenuation of beam,1032100100015 
           and inscattering                                       1032100100016 
ERR-ANALYS (DATA-ERR) Data errors given are relative uncertainties1032100100017 
            Uncertainties in measured cross section due to        1032100100018 
            normalization uncertainties:                          1032100100019 
            . flux attenuation correction (<1%),                  1032100100020 
            . n-p cross section uncertainty (<1%),                1032100100021 
            . efficiency curve (3%),                              1032100100022 
            . n-p counting statistics (<1.4%).                    1032100100023 
STATUS     Tabulated data received from Velkley, Jan., 1973       1032100100024 
HISTORY    (19740510C)                                            1032100100025 
           (19750902A) Reference added                            1032100100026 
           (19830118A) Converted to REACTION formalism            1032100100027 
           (19841212A) SAN003, SAN004 and SAN005 added.           1032100100028 
           (20020926A) Updated to new date formats, lower case.   1032100100029 
ENDBIB              27          0                                 1032100100030 
NOCOMMON             0          0                                 1032100100031 
ENDSUBENT           30          0                                 1032100199999 
SUBENT        10321002   20020926                             00001032100200001 
BIB                  2          2                                 1032100200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1032100200003 
HISTORY    (20020926A) Reaction product added.                    1032100200004 
ENDBIB               2          0                                 1032100200005 
NOCOMMON             0          0                                 1032100200006 
DATA                 5        106                                 1032100200007 
EN         EN-RSL     ANG-CM     DATA-CM    DATA-ERR              1032100200008 
7.73       0.05       48.4       84.5       2.1                   1032100200050 
7.73       0.05       53.7       37.3       1.4                   1032100200051 
7.73       0.05       58.9       19.8       1.0                   1032100200052 
7.73       0.05       64.2       14.9       0.9                   1032100200053 
7.73       0.05       69.4       17.3       0.9                   1032100200054 
7.73       0.05       74.5       25.7       1.1                   1032100200055 
7.73       0.05       79.7       29.5       1.2                   1032100200056 
7.73       0.05       84.8       36.1       1.3                   1032100200057 
7.73       0.05       89.8       38.7       1.4                   1032100200058 
7.73       0.05       94.8       40.7       1.4                   1032100200059 
7.73       0.05       99.8       47.9       1.6                   1032100200060 
7.73       0.05       104.8      53.6       1.7                   1032100200061 
7.73       0.05       109.7      71.2       2.0                   1032100200062 
7.73       0.05       114.5      82.3       2.1                   1032100200063 
7.73       0.05       119.4      104.2      4.4                   1032100200064 
7.73       0.05       124.2      117.6      2.6                   1032100200065 
7.73       0.05       129.0      131.7      2.8                   1032100200066 
7.73       0.05       133.7      149.3      3.1                   1032100200067 
7.73       0.05       138.4      166.6      3.2                   1032100200068 
7.73       0.05       143.1      174.2      3.4                   1032100200069 
7.73       0.05       147.8      187.3      3.5                   1032100200070 
7.73       0.05       152.4      196.1      3.7                   1032100200071 
8.20       0.05       32.4       314.8      4.9                   1032100200072 
8.20       0.05       37.8       224.4      3.8                   1032100200073 
8.20       0.05       43.1       143.6      2.9                   1032100200074 
8.20       0.05       48.4       81.4       2.0                   1032100200075 
8.20       0.05       53.7       40.9       1.4                   1032100200076 
8.20       0.05       58.9       16.0       0.9                   1032100200077 
8.20       0.05       64.2       7.9        0.7                   1032100200078 
8.20       0.05       69.4       9.6        0.7                   1032100200079 
8.20       0.05       74.5       13.8       0.8                   1032100200080 
8.20       0.05       79.7       23.4       1.1                   1032100200081 
8.20       0.05       84.8       32.5       1.3                   1032100200082 
8.20       0.05       89.8       35.0       1.3                   1032100200083 
8.20       0.05       94.8       35.6       1.3                   1032100200084 
8.20       0.05       99.8       36.5       1.4                   1032100200085 
8.20       0.05       104.8      35.9       1.4                   1032100200086 
8.20       0.05       109.7      30.8       1.2                   1032100200087 
8.20       0.05       114.5      27.0       1.2                   1032100200088 
8.20       0.05       119.4      24.4       1.1                   1032100200089 
8.20       0.05       124.2      23.2       1.1                   1032100200090 
8.20       0.05       129.0      20.5       1.0                   1032100200091 
8.20       0.05       133.7      22.4       1.1                   1032100200092 
8.20       0.05       138.4      25.5       1.2                   1032100200093 
8.20       0.05       143.1      26.5       1.2                   1032100200094 
8.20       0.05       147.8      32.0       1.3                   1032100200095 
8.20       0.05       152.4      32.0       1.3                   1032100200096 
9.00       0.19       32.4       173.5      2.0                   1032100200097 
9.00       0.19       37.8       135.2      2.3                   1032100200098 
9.00       0.19       43.1       95.3       1.3                   1032100200099 
9.00       0.19       48.4       64.3       1.1                   1032100200100 
9.00       0.19       53.7       37.2       0.8                   1032100200101 
9.00       0.19       58.9       20.9       0.7                   1032100200102 
9.00       0.19       64.2       9.9        0.5                   1032100200103 
9.00       0.19       69.4       5.8        0.5                   1032100200104 
9.00       0.19       74.5       6.5        0.5                   1032100200105 
9.00       0.19       79.7       10.0       0.4                   1032100200106 
9.00       0.19       84.8       17.9       0.6                   1032100200107 
9.00       0.19       94.8       36.4       0.8                   1032100200108 
9.00       0.19       104.8      49.8       0.9                   1032100200109 
9.00       0.19       119.4      56.4       1.0                   1032100200110 
9.00       0.19       129.0      46.8       0.9                   1032100200111 
9.00       0.19       138.4      34.5       0.8                   1032100200112 
9.00       0.19       147.8      22.7       0.7                   1032100200113 
9.00       0.19       157.0      15.3       0.6                   1032100200114 
9.00       0.19       164.0      12.1       0.6                   1032100200115 
ENDDATA            108          0                                 1032100200116 
ENDSUBENT          115          0                                 1032100299999 
SUBENT        10321003   20020926                             00001032100300001 
BIB                  4          4                                 1032100300002 
REACTION   (6-C-12(N,EL)6-C-12,,SIG)                              1032100300003 
ANALYSIS   From Legendre polynomial fit:  4*pi*A0                 1032100300004 
STATUS     (DEP,10321002)                                         1032100300005 
HISTORY    (19841212C) MD                                         1032100300006 
ENDBIB               4          0                                 1032100300007 
NOCOMMON             0          0                                 1032100300008 
DATA                 4          5                                 1032100300009 
EN         EN-RSL     DATA-CM    DATA-ERR                         1032100300010 
MEV        MEV        MB         MB                               1032100300011 
 7.20       0.05        580.      30.                             1032100300012 
 7.35       0.05       1210.      30.                             1032100300013 
 7.73       0.05       1600.      70.                             1032100300014 
 8.20       0.05       1000.      40.                             1032100300015 
 9.00       0.19        710.      30.                             1032100300016 
ENDDATA              7          0                                 1032100300017 
ENDSUBENT           16          0                                 1032100399999 
SUBENT        10321004   20020926                             00001032100400001 
BIB                  4          4                                 1032100400002 
REACTION   (6-C-12(N,INL)6-C-12,PAR,SIG)                          1032100400003 
ANALYSIS   From Legendre polynomial fit:  4*pi*A0                 1032100400004 
STATUS     (DEP,10321005)                                         1032100400005 
HISTORY    (19841212C) MD                                         1032100400006 
ENDBIB               4          0                                 1032100400007 
COMMON               1          3                                 1032100400008 
E-LVL                                                             1032100400009 
MEV                                                               1032100400010 
 4.43                                                             1032100400011 
ENDCOMMON            3          0                                 1032100400012 
DATA                 4          3                                 1032100400013 
EN         EN-RSL     DATA-CM    DATA-ERR                         1032100400014 
MEV        MEV        MB         MB                               1032100400015 
 7.73       0.05       380.       20.                             1032100400016 
 8.20       0.05       450.       20.                             1032100400017 
 9.00       0.19       280.       12.                             1032100400018 
ENDDATA              5          0                                 1032100400019 
ENDSUBENT           18          0                                 1032100499999 
SUBENT        10321005   20020926                             00001032100500001 
BIB                  2          2                                 1032100500002 
REACTION   (6-C-12(N,INL)6-C-12,PAR,DA)                           1032100500003 
HISTORY    (19841212C) MD                                         1032100500004 
ENDBIB               2          0                                 1032100500005 
COMMON               1          3                                 1032100500006 
E-LVL                                                             1032100500007 
MEV                                                               1032100500008 
 4.43                                                             1032100500009 
ENDCOMMON            3          0                                 1032100500010 
DATA                 5         62                                 1032100500011 
EN         EN-RSL     ANG-CM     DATA-CM    DATA-ERR              1032100500012 
MEV        MEV        ADEG       MB/SR      MB/SR                 1032100500013 
 7.73       0.05        33.9      24.1       1.3                  1032100500014 
 7.73       0.05        39.5      26.5       1.4                  1032100500015 
 7.73       0.05        45.0      28.6       1.4                  1032100500016 
 7.73       0.05        50.5      27.3       1.5                  1032100500017 
 7.73       0.05        56.0      30.3       1.5                  1032100500018 
 7.73       0.05        61.4      26.8       1.4                  1032100500019 
 7.73       0.05        66.8      28.5       1.5                  1032100500020 
 7.73       0.05        72.1      28.5       1.6                  1032100500021 
 7.73       0.05        77.4      29.6       1.7                  1032100500022 
 7.73       0.05        82.6      29.5       1.8                  1032100500023 
 7.73       0.05        87.7      33.0       2.1                  1032100500024 
 7.73       0.05        92.8      31.5       2.2                  1032100500025 
 7.73       0.05        97.9      32.4       2.6                  1032100500026 
 7.73       0.05       102.8      31.7       2.7                  1032100500027 
 7.73       0.05       107.7      31.8       3.1                  1032100500028 
 7.73       0.05       112.6      32.2       3.6                  1032100500029 
 7.73       0.05       117.4      32.0       3.9                  1032100500030 
 7.73       0.05       122.1      34.8       5.1                  1032100500031 
 7.73       0.05       126.8      29.8       5.4                  1032100500032 
 8.20       0.05        33.7      39.8       1.7                  1032100500033 
 8.20       0.05        39.3      41.0       1.7                  1032100500034 
 8.20       0.05        44.8      39.4       1.7                  1032100500035 
 8.20       0.05        50.3      41.6       1.7                  1032100500036 
 8.20       0.05        55.7      36.3       1.6                  1032100500037 
 8.20       0.05        61.1      37.8       1.6                  1032100500038 
 8.20       0.05        66.5      37.0       1.6                  1032100500039 
 8.20       0.05        71.8      36.4       1.6                  1032100500040 
 8.20       0.05        77.1      27.9       1.4                  1032100500041 
 8.20       0.05        82.2      27.5       1.4                  1032100500042 
 8.20       0.05        87.4      25.4       1.3                  1032100500043 
 8.20       0.05        92.5      21.0       1.2                  1032100500044 
 8.20       0.05        97.5      17.8       1.1                  1032100500045 
 8.20       0.05       102.5      22.9       1.5                  1032100500046 
 8.20       0.05       107.4      22.7       1.3                  1032100500047 
 8.20       0.05       112.2      23.8       1.6                  1032100500048 
 8.20       0.05       117.1      26.0       1.8                  1032100500049 
 8.20       0.05       121.8      32.5       2.2                  1032100500050 
 8.20       0.05       126.5      41.6       2.8                  1032100500051 
 8.20       0.05       131.1      49.7       3.6                  1032100500052 
 8.20       0.05       135.7      53.7       3.9                  1032100500053 
 8.20       0.05       140.3      65.1       4.9                  1032100500054 
 8.20       0.05       144.8      73.9       6.7                  1032100500055 
 8.20       0.05       149.3      79.3       7.6                  1032100500056 
 8.20       0.05       153.7      83.0       8.6                  1032100500057 
 9.00       0.19        33.5      32.3       1.4                  1032100500058 
 9.00       0.19        39.0      30.2       1.3                  1032100500059 
 9.00       0.19        44.5      25.1       1.1                  1032100500060 
 9.00       0.19        50.0      22.9       1.0                  1032100500061 
 9.00       0.19        55.4      18.9       0.9                  1032100500062 
 9.00       0.19        60.7      18.6       0.9                  1032100500063 
 9.00       0.19        66.1      16.8       0.8                  1032100500064 
 9.00       0.19        71.4      14.0       0.7                  1032100500065 
 9.00       0.19        76.6      13.7       0.7                  1032100500066 
 9.00       0.19        86.9      13.0       0.7                  1032100500067 
 9.00       0.19        97.0      14.9       0.8                  1032100500068 
 9.00       0.19       106.9      17.7       0.9                  1032100500069 
 9.00       0.19       121.4      19.7       1.0                  1032100500070 
 9.00       0.19       130.7      24.7       1.2                  1032100500071 
 9.00       0.19       140.0      27.2       1.3                  1032100500072 
 9.00       0.19       149.0      31.5       1.5                  1032100500073 
 9.00       0.19       158.0      37.6       1.8                  1032100500074 
 9.00       0.19       165.0      37.0       1.7                  1032100500075 
ENDDATA             64          0                                 1032100500076 
ENDSUBENT           75          0                                 1032100599999 
ENDENTRY             5          0                                 1032199999999 
