ENTRY            10824   19861209                             00001082400000001 
SUBENT        10824001   19861209                             00001082400100001 
BIB                 13         38                                 1082400100002 
INSTITUTE  (1USADAV)                                              1082400100003 
REFERENCE  (J,PR/C,34,1580,8611)                                  1082400100004 
           (T,SUBRAMANIAN,79)                                     1082400100005 
AUTHOR     (T.S.SUBRAMANIAN,J.L.ROMERO,F.P.BRADY,D.H.FITZGERALD,  1082400100006 
           R.GARRETT,G.A.NEEDHAM,J.L.ULLMANN,J.WATSON,C.I.ZANELLI,1082400100007 
           D.J.BRENNER,R.E.PRAEL)                                 1082400100008 
TITLE      DOUBLE-DIFFERENTIAL INCLUSIVE HYDROGEN AND HELIUM      1082400100009 
            SPECTRA FROM NEUTRON-INDUCED REACTIONS AT 27.4, 39.7  1082400100010 
            AND 60.7 MEV: OXYGEN AND NITROGEN.                    1082400100011 
FACILITY   CROCKER NUCLEAR LABORATORY                             1082400100012 
INC-SOURCE (P-LI7)                                                1082400100013 
DETECTOR   (TELES,SOLST,NAICR) TWO SI(SB) DELTA-E DETECTORS AND   1082400100014 
            ONE NAI E DETECTOR USED TO MEASURE OUTGOING PARTICLES.1082400100015 
           (TELES,SCIN) CHARGED PARTICLE VETO DETECTOR FOLLOWED BY1082400100016 
            A PAIR OF PLASTIC SCINTILLATORS WITH A CH(2) CONVERTER1082400100017 
            USED TO MONITOR NEUTRON BEAM.                         1082400100018 
METHOD     TIME-OF-FLIGHT USED TO ELIMINATE NEUTRON BEAM TAIL.    1082400100019 
CORRECTION CORRECTIONS MADE FOR BACKGROUND, ENERGY AND PARTICLE   1082400100020 
            LOSS IN SAMPLE, AND DEAD GAP IN NAI DETECTOR.         1082400100021 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1082400100022 
ERR-ANALYS (ERR-S) QUOTED ERRORS ARE STATISTICAL ONLY.            1082400100023 
           OTHER SYSTEMATIC UNCERTAINTIES INCLUDE-                1082400100024 
            - STATISTICS NORMALIZATION TO HYDROGEN PEAK(2 PERCENT)1082400100025 
            - TAIL ELIMINATION TIME CUT NORMALIZATION TO  HYDROGEN1082400100026 
              PEAK (2 PERCENT)                                    1082400100027 
            - NEUTRON BEAM WIDTH, APPROXIMATELY 2 PERCENT         1082400100028 
            - BACKGROUND SUBTRACTION, APPROXIMATELY 8 PERCENT     1082400100029 
            - TRITIUM CONTAMINATION IN ALPHA SPECTRUM             1082400100030 
               FOR 27.4 MEV, NEGLIGIBLE                           1082400100031 
               FOR 39.7 MEV, APPROXIMATELY 3 PERCENT              1082400100032 
               FOR 60.7 MEV, APPROXIMATELY 5 PERCENT              1082400100033 
STATUS     DATA TAKEN FROM PRIVATE COMM., ROMERO, 85/9            1082400100034 
           (APRVD) J.L.ROMERO, 11/8/85.                           1082400100035 
HISTORY    (820527C)                                              1082400100036 
           (830328U) TITLE CORRECTED                              1082400100037 
           (830914A)SUBENTRIES 2-6,17-21,32-36 MOVED TO AN 12838. 1082400100038 
           (850808A) DATA REPLACED, BIB UPDATE                    1082400100039 
           (861209A) BIB UPDATE.                                  1082400100040 
ENDBIB              38          0                                 1082400100041 
COMMON               1          3                                 1082400100042 
ANG-RSL                                                           1082400100043 
ADEG                                                              1082400100044 
 3.                                                               1082400100045 
ENDCOMMON            3          0                                 1082400100046 
ENDSUBENT           45          0                                 1082400199999 
NOSUBENT      10824002   19830914                             00001082400200001 
NOSUBENT      10824003   19830914                             00001082400300001 
NOSUBENT      10824004   19830914                             00001082400400001 
NOSUBENT      10824005   19830914                             00001082400500001 
NOSUBENT      10824006   19830914                             00001082400600001 
SUBENT        10824007   19851119                             00001082400700001 
BIB                  4          7                                 1082400700002 
REACTION   (7-N-14(N,X)1-H-1,,DA/DE)                              1082400700003 
SAMPLE     C(3)H(6)O(2) EVAPORATED ONTO THIN MYLAR BACKINGS       1082400700004 
CORRECTION CORRECTED FOR PROTON LOSS IN STOPPING DETECTOR DUE TO  1082400700005 
            NUCLEAR INTERACTIONS. RANGES FROM 1.5 PERCENT AT 39.7 1082400700006 
            MEV TO 4 PERCENT AT 60.7 MEV.                         1082400700007 
ERR-ANALYS OVERALL NORMALIZATION UNCERTAINTY, 10 PERCENT          1082400700008 
            HYDROGEN SURFACE DENSITY, APPROXIMATELY 10 PERCENT    1082400700009 
ENDBIB               7          0                                 1082400700010 
NOCOMMON             0          0                                 1082400700011 
DATA                 5        326                                 1082400700012 
EN         ANG        E          DATA       ERR-S                 1082400700013 
    60.7          15.0       50.0       0.56       0.03           1082400700174 
    60.7          15.0       52.0       1.00       0.04           1082400700175 
    60.7          15.0       54.0       0.30       0.02           1082400700176 
    60.7          15.0       58.0       0.05       0.01           1082400700177 
    60.7          20.0        4.1       1.00       0.12           1082400700178 
    60.7          20.0        6.1       0.83       0.12           1082400700179 
    60.7          20.0       12.1       1.18       0.18           1082400700180 
    60.7          20.0       13.0       0.64       0.03           1082400700181 
    60.7          20.0       14.1       0.45       0.18           1082400700182 
    60.7          20.0       15.0       0.89       0.03           1082400700183 
    60.7          20.0       16.1       0.99       0.18           1082400700184 
    60.7          20.0       17.0       0.90       0.03           1082400700185 
    60.7          20.0       18.1       0.78       0.19           1082400700186 
    60.7          20.0       19.0       1.01       0.04           1082400700187 
    60.7          20.0       20.1       1.07       0.19           1082400700188 
    60.7          20.0       21.0       1.01       0.04           1082400700189 
    60.7          20.0       22.1       0.78       0.19           1082400700190 
    60.7          20.0       23.0       1.04       0.04           1082400700191 
    60.7          20.0       24.1       1.03       0.20           1082400700192 
    60.7          20.0       25.0       1.10       0.04           1082400700193 
    60.7          20.0       26.1       1.07       0.20           1082400700194 
    60.7          20.0       27.0       1.08       0.04           1082400700195 
    60.7          20.0       28.1       0.88       0.19           1082400700196 
    60.7          20.0       29.0       1.13       0.04           1082400700197 
    60.7          20.0       30.1       0.92       0.18           1082400700198 
    60.7          20.0       31.0       1.16       0.04           1082400700199 
    60.7          20.0       32.1       1.27       0.20           1082400700200 
    60.7          20.0       33.0       1.31       0.04           1082400700201 
    60.7          20.0       34.1       1.24       0.19           1082400700202 
    60.7          20.0       35.0       1.38       0.04           1082400700203 
    60.7          20.0       36.1       1.29       0.18           1082400700204 
    60.7          20.0       37.0       1.59       0.05           1082400700205 
    60.7          20.0       38.1       1.37       0.18           1082400700206 
    60.7          20.0       39.0       1.79       0.05           1082400700207 
    60.7          20.0       40.1       1.72       0.19           1082400700208 
    60.7          20.0       41.0       1.18       0.04           1082400700209 
    60.7          20.0       42.1       1.84       0.19           1082400700210 
    60.7          20.0       43.0       0.97       0.04           1082400700211 
    60.7          20.0       44.1       1.40       0.21           1082400700212 
    60.7          20.0       45.0       0.58       0.03           1082400700213 
    60.7          20.0       47.0       0.54       0.03           1082400700214 
    60.7          20.0       49.0       0.32       0.02           1082400700215 
    60.7          20.0       51.0       1.00       0.04           1082400700216 
    60.7          20.0       53.0       0.17       0.02           1082400700217 
    60.7          20.0       55.0       0.02       0.02           1082400700218 
    60.7          20.0       58.0       0.02       0.02           1082400700219 
    60.7          35.0       16.0       0.90       0.04           1082400700220 
    60.7          35.0       18.0       0.79       0.04           1082400700221 
    60.7          35.0       20.0       0.80       0.04           1082400700222 
    60.7          35.0       22.0       0.70       0.04           1082400700223 
    60.7          35.0       24.0       0.77       0.04           1082400700224 
    60.7          35.0       26.0       0.76       0.04           1082400700225 
    60.7          35.0       28.0       0.74       0.04           1082400700226 
    60.7          35.0       30.0       0.75       0.04           1082400700227 
    60.7          35.0       32.0       0.76       0.04           1082400700228 
    60.7          35.0       34.0       0.67       0.04           1082400700229 
    60.7          35.0       36.0       0.78       0.04           1082400700230 
    60.7          35.0       38.0       0.82       0.04           1082400700231 
    60.7          35.0       40.0       0.71       0.04           1082400700232 
    60.7          35.0       42.0       0.58       0.03           1082400700233 
    60.7          35.0       44.0       0.38       0.03           1082400700234 
    60.7          35.0       46.0       0.31       0.03           1082400700235 
    60.7          35.0       48.0       0.17       0.02           1082400700236 
    60.7          35.0       50.0       0.43       0.03           1082400700237 
    60.7          35.0       52.0       0.08       0.01           1082400700238 
    60.7          35.0       54.0       0.01       0.01           1082400700239 
    60.7          40.0        7.3       0.65       0.12           1082400700240 
    60.7          40.0        9.3       0.60       0.13           1082400700241 
    60.7          40.0       11.3       0.57       0.13           1082400700242 
    60.7          40.0       13.3       0.79       0.13           1082400700243 
    60.7          40.0       15.3       0.61       0.12           1082400700244 
    60.7          40.0       17.0       0.63       0.04           1082400700245 
    60.7          40.0       17.3       0.70       0.13           1082400700246 
    60.7          40.0       19.0       0.66       0.04           1082400700247 
    60.7          40.0       19.3       0.79       0.14           1082400700248 
    60.7          40.0       21.0       0.65       0.04           1082400700249 
    60.7          40.0       21.3       0.39       0.13           1082400700250 
    60.7          40.0       23.0       0.73       0.04           1082400700251 
    60.7          40.0       23.3       0.59       0.13           1082400700252 
    60.7          40.0       25.0       0.56       0.04           1082400700253 
    60.7          40.0       25.3       0.72       0.13           1082400700254 
    60.7          40.0       27.0       0.59       0.04           1082400700255 
    60.7          40.0       29.0       0.57       0.04           1082400700256 
    60.7          40.0       31.0       0.55       0.04           1082400700257 
    60.7          40.0       33.0       0.53       0.04           1082400700258 
    60.7          40.0       35.0       0.50       0.04           1082400700259 
    60.7          40.0       37.0       0.60       0.04           1082400700260 
    60.7          40.0       39.0       0.48       0.03           1082400700261 
    60.7          40.0       41.0       0.47       0.03           1082400700262 
    60.7          40.0       43.0       0.46       0.03           1082400700263 
    60.7          40.0       45.0       0.21       0.02           1082400700264 
    60.7          40.0       45.3       0.78       0.11           1082400700265 
    60.7          40.0       47.0       0.16       0.02           1082400700266 
    60.7          40.0       47.3       0.26       0.08           1082400700267 
    60.7          40.0       49.0       0.23       0.02           1082400700268 
    60.7          40.0       49.3       0.36       0.07           1082400700269 
    60.7          40.0       51.0       0.16       0.02           1082400700270 
    60.7          40.0       51.3       0.23       0.06           1082400700271 
    60.7          40.0       53.3       0.06       0.04           1082400700272 
    60.7          45.0        6.3       0.81       0.12           1082400700273 
    60.7          45.0        8.3       0.44       0.12           1082400700274 
    60.7          45.0       10.3       0.61       0.13           1082400700275 
    60.7          45.0       12.3       0.37       0.13           1082400700276 
    60.7          45.0       13.0       0.54       0.04           1082400700277 
    60.7          45.0       14.3       0.62       0.13           1082400700278 
    60.7          45.0       15.0       0.56       0.04           1082400700279 
    60.7          45.0       16.3       0.54       0.14           1082400700280 
    60.7          45.0       17.0       0.50       0.04           1082400700281 
    60.7          45.0       19.0       0.47       0.04           1082400700282 
    60.7          45.0       21.0       0.48       0.04           1082400700283 
    60.7          45.0       23.0       0.45       0.04           1082400700284 
    60.7          45.0       25.0       0.52       0.04           1082400700285 
    60.7          45.0       27.0       0.48       0.04           1082400700286 
    60.7          45.0       29.0       0.45       0.04           1082400700287 
    60.7          45.0       31.0       0.47       0.04           1082400700288 
    60.7          45.0       33.0       0.36       0.03           1082400700289 
    60.7          45.0       35.0       0.50       0.04           1082400700290 
    60.7          45.0       37.0       0.54       0.04           1082400700291 
    60.7          45.0       39.0       0.42       0.03           1082400700292 
    60.7          45.0       40.3       0.40       0.10           1082400700293 
    60.7          45.0       41.0       0.32       0.03           1082400700294 
    60.7          45.0       42.3       0.32       0.10           1082400700295 
    60.7          45.0       43.0       0.18       0.02           1082400700296 
    60.7          45.0       44.3       0.31       0.08           1082400700297 
    60.7          45.0       45.0       0.08       0.02           1082400700298 
    60.7          45.0       46.3       0.22       0.07           1082400700299 
    60.7          45.0       47.0       0.08       0.02           1082400700300 
    60.7          45.0       48.3       0.25       0.06           1082400700301 
    60.7          45.0       49.0       0.09       0.02           1082400700302 
    60.7          45.0       53.0       0.02       0.01           1082400700303 
    60.7          65.0       12.0       0.46       0.04           1082400700304 
    60.7          65.0       14.0       0.38       0.04           1082400700305 
    60.7          65.0       16.0       0.43       0.04           1082400700306 
    60.7          65.0       18.0       0.37       0.04           1082400700307 
    60.7          65.0       19.4       0.25       0.10           1082400700308 
    60.7          65.0       20.0       0.28       0.03           1082400700309 
    60.7          65.0       21.4       0.21       0.09           1082400700310 
    60.7          65.0       22.0       0.36       0.04           1082400700311 
    60.7          65.0       23.4       0.34       0.09           1082400700312 
    60.7          65.0       24.0       0.29       0.03           1082400700313 
    60.7          65.0       25.4       0.29       0.09           1082400700314 
    60.7          65.0       26.0       0.30       0.03           1082400700315 
    60.7          65.0       27.4       0.13       0.08           1082400700316 
    60.7          65.0       28.0       0.26       0.03           1082400700317 
    60.7          65.0       29.4       0.35       0.09           1082400700318 
    60.7          65.0       30.0       0.21       0.03           1082400700319 
    60.7          65.0       31.4       0.21       0.08           1082400700320 
    60.7          65.0       32.0       0.21       0.03           1082400700321 
    60.7          65.0       33.4       0.19       0.09           1082400700322 
    60.7          65.0       34.0       0.22       0.03           1082400700323 
    60.7          65.0       35.4       0.04       0.08           1082400700324 
    60.7          65.0       36.0       0.21       0.03           1082400700325 
    60.7          65.0       37.4       0.09       0.07           1082400700326 
    60.7          65.0       38.0       0.16       0.02           1082400700327 
    60.7          65.0       39.4       0.24       0.07           1082400700328 
    60.7          65.0       40.0       0.15       0.02           1082400700329 
    60.7          65.0       41.4       0.16       0.06           1082400700330 
    60.7          65.0       42.0       0.08       0.02           1082400700331 
    60.7          65.0       43.4       0.14       0.05           1082400700332 
    60.7          65.0       44.0       0.04       0.01           1082400700333 
    60.7          65.0       45.4       0.02       0.04           1082400700334 
    60.7          65.0       47.0       0.03       0.01           1082400700335 
    60.7          65.0       47.4       0.13       0.05           1082400700336 
    60.7          65.0       49.4       0.03       0.04           1082400700337 
    60.7          65.0       50.5       0.03       0.01           1082400700338 
    60.7          65.0       51.4       0.01       0.02           1082400700339 
    60.7          65.0       53.4       0.01       0.01           1082400700340 
ENDDATA            328          0                                 1082400700341 
ENDSUBENT          340          0                                 1082400799999 
SUBENT        10824008   19851119                             00001082400800001 
BIB                  3          4                                 1082400800002 
REACTION   (7-N-14(N,X)1-H-2,,DA/DE)                              1082400800003 
SAMPLE     C(3)H(6)O(2) EVAPORATED ONTO THIN MYLAR BACKINGS       1082400800004 
ERR-ANALYS OVERALL NORMALIZATION UNCERTAINTY, 10 PERCENT          1082400800005 
            HYDROGEN SURFACE DENSITY, APPROXIMATELY 10 PERCENT    1082400800006 
ENDBIB               4          0                                 1082400800007 
NOCOMMON             0          0                                 1082400800008 
DATA                 5        385                                 1082400800009 
