ENTRY            10413   20030220                             00001041300000001 
SUBENT        10413001   20030220                             00001041300100001 
BIB                 14         36                                 1041300100002 
INSTITUTE  (1USAORL)                                              1041300100003 
REFERENCE  (R,ORNL-4806,197401)                                   1041300100004 
AUTHOR     (W.E.Kinney,F.G.Perey)                                 1041300100005 
TITLE      Natural chromium and 52Cr neutron elastic and          1041300100006 
            inelastic scattering cross sections from 4.07 to      1041300100007 
            8.56 MeV                                              1041300100008 
FACILITY   (VDG,1USAORL) ORNL Van-de-Graaff pulsed at 2 MHz and   1041300100009 
            bunched.                                              1041300100010 
INC-SOURCE (D-D) D(D,N) Reaction using gas cells of length        1041300100011 
            1 and 2 cm. Neutron energy resolution between         1041300100012 
            60 and 70 keV.                                        1041300100013 
SAMPLE     Solid right circular cylinder 1.760 cm diameter,       1041300100014 
            2.86 cm high placed 10 to 30 cm from gas cell.        1041300100015 
METHOD     (TOF) 2.5 ns resolution (FWHM) 2 MHz repetition rate.  1041300100016 
DETECTOR   (SCIN) 12.5 cm dia ne-213 liquid scintillator viewed   1041300100017 
            by XP-1040 photomultipliers. Flight paths of 4 to 6   1041300100018 
            meters employed.                                      1041300100019 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1041300100020 
CORRECTION Corrected for multiple scattering and other finite     1041300100021 
            sample size effects.                                  1041300100022 
ERR-ANALYS (DATA-ERR) Includes:                                   1041300100023 
           . uncertainties in geometric parameters,               1041300100024 
           . uncertainties in finite size corrections,            1041300100025 
           . statistics,                                          1041300100026 
           . uncertainties in residual background effects due     1041300100027 
             to peak stripping procedures.                        1041300100028 
           . estimated error in absolute value of detector        1041300100029 
             efficiency (7%).                                     1041300100030 
STATUS     (APRVD) Approved by author                             1041300100031 
           Data received on magnetic tape, Kinney, 2 May 1974.    1041300100032 
HISTORY    (19740918C)                                            1041300100033 
           (19760220A) Data added                                 1041300100034 
           (19760420A) Data added                                 1041300100035 
           (19830527A) Converted to REACTION formalism            1041300100036 
           (19840423A) BIB correction.                            1041300100037 
           (20030220A) Updated to new date formats, lower case.   1041300100038 
ENDBIB              36          0                                 1041300100039 
NOCOMMON             0          0                                 1041300100040 
ENDSUBENT           39          0                                 1041300199999 
SUBENT        10413002   20030220                             00001041300200001 
BIB                  2          2                                 1041300200002 
REACTION   (24-CR-0(N,EL)24-CR-0,,DA)                             1041300200003 
HISTORY    (19860319A) REACTION product added.                    1041300200004 
ENDBIB               2          0                                 1041300200005 
NOCOMMON             0          0                                 1041300200006 
DATA                 6        112                                 1041300200007 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300200008 
8.04       0.05        86.10       13.11     7.8       10.3       1041300200104 
8.56       0.05        15.29     2066.95     5.6        7.1       1041300200105 
8.56       0.05        22.93     1342.76     5.1        8.3       1041300200106 
8.56       0.05        28.01      862.89     5.6        6.8       1041300200107 
8.56       0.05        35.64      399.88     5.5        7.9       1041300200108 
8.56       0.05        43.25      160.22     7.1        6.7       1041300200109 
8.56       0.05        48.32       78.89     9.1       10.1       1041300200110 
8.56       0.05        55.91       19.83    15.4       18.5       1041300200111 
8.56       0.05        63.48        5.50    30.1       32.4       1041300200112 
8.56       0.05        71.04        7.61    28.2       28.6       1041300200113 
8.56       0.05        78.58        8.18    15.9       23.6       1041300200114 
8.56       0.05        86.10       10.37    17.7       15.8       1041300200115 
8.56       0.05        93.60       15.02    10.2       14.3       1041300200116 
8.56       0.05       101.09       17.71     8.2       13.8       1041300200117 
8.56       0.05       108.55       18.08     9.1       10.7       1041300200118 
8.56       0.05       120.46       15.22    11.4       13.3       1041300200119 
8.56       0.05       127.88        8.59    17.5       18.7       1041300200120 
8.56       0.05       135.29        5.44    21.3       24.1       1041300200121 
ENDDATA            114          0                                 1041300200122 
ENDSUBENT          121          0                                 1041300299999 
SUBENT        10413003   20030220                             00001041300300001 
BIB                  3          3                                 1041300300002 
REACTION   (24-CR-0(N,EL)24-CR-0,,DA,,LEG/2L2)                    1041300300003 
STATUS     (DEP,10413002)                                         1041300300004 
HISTORY    (19860319A) REACTION product added.                    1041300300005 
ENDBIB               3          0                                 1041300300006 
NOCOMMON             0          0                                 1041300300007 
DATA                 5         46                                 1041300300008 
EN         EN-RSL-HW  NUMBER     DATA-CM    DATA-ERR              1041300300009 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1041300300010 
4.34       0.07       0.         388.49658    2.0                 1041300300011 
4.34       0.07       1.         263.73169    2.4                 1041300300012 
4.34       0.07       2.         194.42108    2.6                 1041300300013 
4.34       0.07       3.         131.38455    3.0                 1041300300014 
4.34       0.07       4.          62.81519    5.3                 1041300300015 
4.34       0.07       5.          21.49561   13.4                 1041300300016 
4.34       0.07       6.           8.86383   28.6                 1041300300017 
4.34       0.07       7.           3.90331   48.1                 1041300300018 
4.34       0.07       8.           1.32871  104.2                 1041300300019 
4.92       0.06       0.         389.12012    1.8                 1041300300020 
4.92       0.06       1.         278.49316    2.1                 1041300300021 
4.92       0.06       2.         204.45857    2.3                 1041300300022 
4.92       0.06       3.         141.91414    2.6                 1041300300023 
4.92       0.06       4.          75.05717    4.2                 1041300300024 
4.92       0.06       5.          27.65166    9.5                 1041300300025 
4.92       0.06       6.           9.39938   23.6                 1041300300026 
4.92       0.06       7.           2.54682   64.0                 1041300300027 
4.92       0.06       8.           1.22824  102.1                 1041300300028 
6.44       0.07       0.         346.94800    1.9                 1041300300029 
6.44       0.07       1.         278.89722    2.1                 1041300300030 
6.44       0.07       2.         217.43750    2.3                 1041300300031 
6.44       0.07       3.         155.66310    2.6                 1041300300032 
6.44       0.07       4.          90.21782    3.6                 1041300300033 
6.44       0.07       5.          42.95523    5.7                 1041300300034 
6.44       0.07       6.          18.38136    9.4                 1041300300035 
6.44       0.07       7.           5.85265   18.2                 1041300300036 
6.44       0.07       8.           1.31388   49.0                 1041300300037 
7.54       0.06       0.         304.74561    2.1                 1041300300038 
7.54       0.06       1.         255.33163    2.3                 1041300300039 
7.54       0.06       2.         204.70767    2.4                 1041300300040 
7.54       0.06       3.         151.21625    2.6                 1041300300041 
7.54       0.06       4.          95.13348    3.2                 1041300300042 
7.54       0.06       5.          50.30403    4.3                 1041300300043 
7.54       0.06       6.          23.83644    6.0                 1041300300044 
7.54       0.06       7.           8.42546    9.9                 1041300300045 
7.54       0.06       8.           2.00243   24.2                 1041300300046 
8.56       0.05       0.         285.02979    2.7                 1041300300047 
8.56       0.05       1.         240.45734    2.9                 1041300300048 
8.56       0.05       2.         196.80482    3.1                 1041300300049 
8.56       0.05       3.         150.06050    3.4                 1041300300050 
8.56       0.05       4.          99.47911    4.1                 1041300300051 
8.56       0.05       5.          56.69565    5.5                 1041300300052 
8.56       0.05       6.          30.02299    7.4                 1041300300053 
8.56       0.05       7.          12.83146   11.8                 1041300300054 
8.56       0.05       8.           4.16914   22.0                 1041300300055 
8.56       0.05       9.           1.01623   49.3                 1041300300056 
ENDDATA             48          0                                 1041300300057 
ENDSUBENT           56          0                                 1041300399999 
SUBENT        10413004   20030220                             00001041300400001 
BIB                  2          2                                 1041300400002 
REACTION   (24-CR-0(N,INL)24-CR-0,PAR,DA)                         1041300400003 
HISTORY    (19860319A) REACTION product added.                    1041300400004 
ENDBIB               2          0                                 1041300400005 
COMMON               1          3                                 1041300400006 
E-LVL                                                             1041300400007 
MEV                                                               1041300400008 
1.434                                                             1041300400009 
ENDCOMMON            3          0                                 1041300400010 
DATA                 6         93                                 1041300400011 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300400012 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041300400013 
4.07       0.08        71.31     29.80       9.1       12.9       1041300400014 
4.07       0.08        78.86     29.77       6.0       12.2       1041300400015 
4.07       0.08        86.38     30.89       7.8       12.2       1041300400016 
4.34       0.07        40.88     31.61      14.8       20.1       1041300400017 
4.34       0.07        48.50     28.90      16.9       22.8       1041300400018 
4.34       0.07        56.11     23.13      14.5       20.3       1041300400019 
4.34       0.07        63.70     21.15      14.2       12.9       1041300400020 
4.34       0.07        71.27     21.76      13.8       11.9       1041300400021 
4.34       0.07        78.83     19.80      12.9       12.4       1041300400022 
4.34       0.07        86.35     20.72      13.9       11.2       1041300400023 
4.34       0.07        96.35     21.09      11.5       11.4       1041300400024 
4.34       0.07       103.83     26.38       9.7        8.5       1041300400025 
4.34       0.07       111.27     22.07      15.6       15.9       1041300400026 
4.34       0.07       122.66     22.82      11.7        8.7       1041300400027 
4.34       0.07       130.06     24.05      12.2       11.3       1041300400028 
4.34       0.07       137.43     24.22      13.6       11.0       1041300400029 
4.65       0.07        71.26     18.71      13.9       15.8       1041300400030 
4.65       0.07        78.81     14.50      18.4       16.9       1041300400031 
4.65       0.07        86.33     15.93      14.8        9.0       1041300400032 
4.92       0.06        15.34     44.12       6.5        6.5       1041300400033 
4.92       0.06        25.56     33.43      13.7       24.0       1041300400034 
4.92       0.06        33.21     22.84      19.7       24.3       1041300400035 
4.92       0.06        40.85     20.88      15.7       15.2       1041300400036 
4.92       0.06        48.47     22.29      13.9       10.6       1041300400037 
4.92       0.06        56.08     20.52      11.3       12.3       1041300400038 
4.92       0.06        63.67     16.09      16.4       15.2       1041300400039 
4.92       0.06        71.24     21.22      20.0       19.4       1041300400040 
4.92       0.06        78.79     20.03      23.8       15.9       1041300400041 
4.92       0.06        86.31     21.37      14.5       15.4       1041300400042 
4.92       0.06        96.31     16.43      15.2       14.3       1041300400043 
4.92       0.06       103.79     17.71      18.7       14.1       1041300400044 
4.92       0.06       111.24     18.80      16.3        8.1       1041300400045 
4.92       0.06       122.63     20.91      13.2       11.8       1041300400046 
4.92       0.06       130.03     22.99      12.3       15.6       1041300400047 
4.92       0.06       137.41     19.47      15.7       11.2       1041300400048 
5.23       0.05        71.22     11.43      16.9       17.9       1041300400049 
5.23       0.05        78.77     10.16      22.6       17.5       1041300400050 
5.23       0.05        86.30     12.02      14.5       14.0       1041300400051 
5.50       0.05        48.45     14.91      19.9       13.3       1041300400052 
5.50       0.05        56.06     11.28      14.6       14.2       1041300400053 
5.50       0.05        63.65     10.89      27.7       25.8       1041300400054 
6.44       0.07        28.09     17.33      19.8       31.8       1041300400055 
6.44       0.07        35.72     14.10      15.9       23.3       1041300400056 
6.44       0.07        43.35     13.92      12.1       15.7       1041300400057 
6.44       0.07        48.43     13.23      15.0       14.0       1041300400058 
6.44       0.07        56.03     11.71      12.9       15.1       1041300400059 
6.44       0.07        63.62      9.83      10.9       12.2       1041300400060 
6.44       0.07        71.18      8.31      13.4        6.9       1041300400061 
6.44       0.07        78.73      8.01      15.9       11.6       1041300400062 
6.44       0.07        86.25      7.18      11.6       16.7       1041300400063 
6.44       0.07        93.75      8.07      10.9       11.6       1041300400064 
6.44       0.07       101.24      7.56      15.3       14.6       1041300400065 
6.44       0.07       108.70      8.29      14.0       12.2       1041300400066 
6.44       0.07       120.60     11.50      13.1       14.4       1041300400067 
6.44       0.07       128.01     11.18      13.2       11.3       1041300400068 
6.44       0.07       135.40     11.95      14.1       10.9       1041300400069 
7.03       0.06        71.17      6.71      10.0       12.6       1041300400070 
7.03       0.06        78.71      5.50      17.7       13.3       1041300400071 
7.03       0.06        86.23      5.34      15.1       12.6       1041300400072 
7.54       0.06        35.71      9.38      21.7       27.9       1041300400073 
7.54       0.06        43.33      9.34      19.0       17.8       1041300400074 
7.54       0.06        48.41      7.89      25.6       15.7       1041300400075 
7.54       0.06        48.41      7.93      20.1       13.5       1041300400076 
7.54       0.06        56.01      6.65      17.1       11.5       1041300400077 
7.54       0.06        56.01      8.24       9.8        9.8       1041300400078 
7.54       0.06        63.59      7.45      17.5       11.4       1041300400079 
7.54       0.06        63.59      6.48      14.4       11.7       1041300400080 
7.54       0.06        71.16      5.75      19.1       11.2       1041300400081 
7.54       0.06        78.70      6.00      23.3       14.4       1041300400082 
7.54       0.06        86.22      5.04      18.2       15.3       1041300400083 
7.54       0.06        93.73      4.66      16.0       19.2       1041300400084 
7.54       0.06       101.21      4.70      14.5       15.3       1041300400085 
7.54       0.06       108.67      4.62      15.3       18.5       1041300400086 
7.54       0.06       120.57      7.71      13.2       20.2       1041300400087 
7.54       0.06       127.98      8.87      10.4       12.6       1041300400088 
7.54       0.06       135.38      9.77       8.8       11.7       1041300400089 
8.04       0.05        71.15      4.42      23.4       17.0       1041300400090 
8.04       0.05        78.69      4.72      13.4       20.6       1041300400091 
8.04       0.05        86.22      4.37      20.1       24.6       1041300400092 
8.56       0.05        35.70      8.68      39.3       29.6       1041300400093 
8.56       0.05        43.32      8.93      12.9       23.5       1041300400094 
8.56       0.05        48.39      5.80      20.7       19.5       1041300400095 
8.56       0.05        55.99      5.29      25.4       17.9       1041300400096 
8.56       0.05        63.58      5.04      19.0       12.2       1041300400097 
8.56       0.05        71.14      6.23      22.9       15.6       1041300400098 
8.56       0.05        78.68      5.56      11.5       12.8       1041300400099 
8.56       0.05        86.21      5.05      16.1       24.2       1041300400100 
8.56       0.05        93.71      4.46      23.5       25.6       1041300400101 
8.56       0.05       101.19      3.45      24.8       18.3       1041300400102 
8.56       0.05       108.65      4.43      12.3       21.6       1041300400103 
8.56       0.05       120.55      5.37      12.2       16.2       1041300400104 
8.56       0.05       127.97      4.90      21.8       23.7       1041300400105 
8.56       0.05       135.36      5.20      18.3       16.7       1041300400106 
ENDDATA             95          0                                 1041300400107 
ENDSUBENT          106          0                                 1041300499999 
SUBENT        10413005   20030220                             00001041300500001 
BIB                  2          2                                 1041300500002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,DA)                        1041300500003 
HISTORY    (19860319A) REACTION product added.                    1041300500004 
ENDBIB               2          0                                 1041300500005 
COMMON               1          3                                 1041300500006 
E-LVL                                                             1041300500007 
MEV                                                               1041300500008 
2.369                                                             1041300500009 
ENDCOMMON            3          0                                 1041300500010 
DATA                 6         88                                 1041300500011 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1041300500012 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041300500013 
4.07       0.08        71.64     11.88      19.5       30.1       1041300500014 
4.07       0.08        79.20      7.17      20.4       35.8       1041300500015 
4.07       0.08        86.74     11.31      25.6       32.0       1041300500016 
4.34       0.07        48.73     10.73      27.1       28.7       1041300500017 
4.34       0.07        56.37     11.28      16.6       12.4       1041300500018 
4.34       0.07        63.97     12.78      19.9       15.2       1041300500019 
4.34       0.07        71.56      9.87      18.6       18.0       1041300500020 
4.34       0.07        79.14      8.75      21.2       17.7       1041300500021 
4.34       0.07        86.66      7.68      10.1       10.1       1041300500022 
4.34       0.07        96.66     13.11      23.4       16.4       1041300500023 
4.34       0.07       104.12      8.49      25.6       18.6       1041300500024 
4.34       0.07       111.56      6.58      32.8       31.1       1041300500025 
4.34       0.07       122.91      9.01      23.7       18.6       1041300500026 
4.34       0.07       130.29     10.26      21.5       18.6       1041300500027 
4.34       0.07       137.64     14.56      14.9       14.0       1041300500028 
4.65       0.07        71.50      8.76      21.6       13.5       1041300500029 
4.65       0.07        79.06      8.75      21.8       19.2       1041300500030 
4.65       0.07        86.59      7.37      29.7       18.6       1041300500031 
4.92       0.06        25.66      9.50      27.5       25.8       1041300500032 
4.92       0.06        33.33      6.58      42.9       32.8       1041300500033 
4.92       0.06        41.00      6.31      27.9       27.7       1041300500034 
4.92       0.06        48.64      8.99      18.7       26.6       1041300500035 
4.92       0.06        56.27      7.89      24.9       22.4       1041300500036 
4.92       0.06        63.88      8.78      33.9       26.9       1041300500037 
4.92       0.06        71.45      9.12      23.1       17.9       1041300500038 
4.92       0.06        79.01     10.17      16.4       14.2       1041300500039 
4.92       0.06        86.54     11.68      17.1       17.8       1041300500040 
4.92       0.06        96.55      7.46      24.2       13.9       1041300500041 
4.92       0.06       104.01      5.84      38.9       19.4       1041300500042 
4.92       0.06       111.46      5.20      54.0       26.6       1041300500043 
4.92       0.06       122.83      5.13      40.4       33.3       1041300500044 
4.92       0.06       130.21      6.02      34.0       23.9       1041300500045 
4.92       0.06       137.57      7.57      21.8       14.1       1041300500046 
5.23       0.05        71.42      8.29      17.3       18.1       1041300500047 
5.23       0.05        78.98      9.00      17.9       17.0       1041300500048 
5.23       0.05        86.50      6.32      24.3       14.9       1041300500049 
5.50       0.05        48.59      8.11      16.9       18.4       1041300500050 
5.50       0.05        56.22      4.65      32.4       21.9       1041300500051 
5.50       0.05        63.81      6.88      25.8       22.5       1041300500052 
6.44       0.07        28.15      8.17      19.1       26.3       1041300500053 
6.44       0.07        35.81      7.44      25.3       33.0       1041300500054 
6.44       0.07        43.44      6.26      20.8       26.3       1041300500055 
6.44       0.07        48.53      4.56      18.2       24.5       1041300500056 
6.44       0.07        56.15      4.98      12.0       21.8       1041300500057 
6.44       0.07        63.74      4.97      18.1       24.1       1041300500058 
6.44       0.07        71.32      4.91      17.7       19.0       1041300500059 
6.44       0.07        78.87      4.12      18.5       13.2       1041300500060 
6.44       0.07        86.40      4.79      16.1       20.9       1041300500061 
6.44       0.07        93.90      4.49      23.0       22.5       1041300500062 
6.44       0.07       101.38      5.60      19.1       20.9       1041300500063 
6.44       0.07       108.84      5.05      21.6       26.2       1041300500064 
6.44       0.07       120.72      5.21      15.1       15.6       1041300500065 
6.44       0.07       128.12      4.45      26.1       24.0       1041300500066 
6.44       0.07       135.50      4.60      14.2       22.5       1041300500067 
7.03       0.06        71.28      3.09      11.9       20.5       1041300500068 
7.03       0.06        78.83      2.77      17.1       29.4       1041300500069 
7.03       0.06        86.36      2.96      14.3       23.6       1041300500070 
7.54       0.06        43.41      3.11      26.8       31.5       1041300500071 
7.54       0.06        48.49      3.22      27.0       36.1       1041300500072 
7.54       0.06        48.49      3.03      24.8       35.2       1041300500073 
7.54       0.06        56.10      2.55      23.9       24.5       1041300500074 
7.54       0.06        56.10      2.23      33.0       30.7       1041300500075 
7.54       0.06        63.69      2.90      32.8       26.3       1041300500076 
7.54       0.06        63.69      2.30      39.0       24.6       1041300500077 
7.54       0.06        71.26      2.70      25.9       36.9       1041300500078 
7.54       0.06        78.80      3.26      26.9       17.4       1041300500079 
7.54       0.06        86.33      2.50      21.2       27.0       1041300500080 
7.54       0.06        93.84      2.38      22.4       28.9       1041300500081 
7.54       0.06       101.32      2.20      20.8       33.1       1041300500082 
7.54       0.06       108.77      2.29      20.9       31.0       1041300500083 
7.54       0.06       120.67      1.98      20.2       31.9       1041300500084 
7.54       0.06       128.07      1.83      22.3       26.3       1041300500085 
7.54       0.06       135.46      1.89      20.8       33.5       1041300500086 
8.04       0.05        71.24      1.59      42.9       28.6       1041300500087 
8.04       0.05        78.79      2.15      24.4       31.3       1041300500088 
8.04       0.05        86.32      0.95      78.8       29.6       1041300500089 
8.56       0.05        43.38      3.59      21.6       35.7       1041300500090 
8.56       0.05        48.46      1.61      38.5       38.5       1041300500091 
8.56       0.05        63.66      1.49      40.2       37.2       1041300500092 
8.56       0.05        71.22      1.25      45.8       41.8       1041300500093 
8.56       0.05        78.77      1.98      28.7       33.1       1041300500094 
8.56       0.05        86.29      1.62      22.9       34.0       1041300500095 
8.56       0.05        93.80      1.72      33.7       31.9       1041300500096 
