ENTRY            13500   19920421                             00001350000000001 
SUBENT        13500001   19920421                             00001350000100001 
BIB                 15         32                                 1350000100002 
INSTITUTE  (1USAORL)                                              1350000100003 
REFERENCE  (C,91JUELIC,,(O31),9105)                               1350000100004 
           (R,ORNL-TM-11671,9009)                                 1350000100005 
AUTHOR     (J.K.DICKENS,C.Y.FU,D.M.HETRICK,D.C.LARSON,J.H.TODD)   1350000100006 
TITLE      EXPERIMENTAL AND CALCULATED EXCITATION FUNCTIONS FOR   1350000100007 
            DISCRETE-LINE GAMMA-RAY PRODUCTION DUE TO 1-40 MEV    1350000100008 
            NEUTRON INTERACTIONS WITH 56FE.                       1350000100009 
FACILITY   (LINAC) ORELA                                          1350000100010 
INC-SOURCE (PHOTO) ELECTRONS ON TANTALUM+BERYLIUM BLOCK TARGET    1350000100011 
SAMPLE     POWDERED METAL SAMPLE, ENRICHED TO 99.93% 56FE. SAMPLE 1350000100012 
            IMPURITIES: 0.01% CU, 0.1% SI.                        1350000100013 
METHOD     (TOF) TIME-OF-FLIGHT USED TO DETERMINE NEUTRON ENERGY  1350000100014 
DETECTOR   (GE-IN) HIGH-RESOLUTION INTRINSIC GERMANIUM DETECTOR   1350000100015 
           (SCIN) FLUX MONITORED BY NE-110 SCINTILLATION DETECTOR 1350000100016 
MONITOR    DETECTOR ENERGY AND EFFICIENCY CALIBRATED USING        1350000100017 
            STANDARD RADIOACTIVE SOURCES.                         1350000100018 
ANALYSIS   USED COMPUTER CODES GRPGLI (MODIFICATION OF TPASS,     1350000100019 
            ORNL-5732) AND PLOTDATA (ORNL/TM-10191).              1350000100020 
CORRECTION CORRECTED FOR:                                         1350000100021 
           .ABSORPTION OF GAMMA RADIATION BY SAMPLE               1350000100022 
           .ATTENUATION OF THE INCIDENT NEUTRON BEAM              1350000100023 
           .MULTIPLE SCATTERING                                   1350000100024 
           .TIME SLEWING                                          1350000100025 
ERR-ANALYS (ERR-T) TOTAL 1-SIGMA UNCERTAINTIES.  DOMINATED BY     1350000100026 
            STATISTICAL UNCERTAINTIES. SEE TABLES 2 AND 3 IN      1350000100027 
            REPORT FOR SYSTEMATIC UNCERTAINTY DETAILS.            1350000100028 
STATUS     DATA RECEIVED BY E-MAIL FROM J.K.DICKENS AND           1350000100029 
            D.C.LARSON, 91/1/15                                   1350000100030 
           (APRVD) J.K.DICKENS, 91/7/9                            1350000100031 
HISTORY    (910123C)                                              1350000100032 
           (910916A) REFERENCE UPDATE                             1350000100033 
           (920421U) BIB UPDATE                                   1350000100034 
ENDBIB              32          0                                 1350000100035 
NOCOMMON             0          0                                 1350000100036 
ENDSUBENT           35          0                                 1350000199999 
SUBENT        13500002   19910124                             00001350000200001 
BIB                  2          3                                 1350000200002 
REACTION   (26-FE-56(N,INL)26-FE-56,PAR,SIG,G,AV)                 1350000200003 
STATUS     DATA FOR 1312.2 AND 1360.3 KEV GAMMA RECEIVED IN       1350000200004 
            PRIVATE COMMUNICATION FROM K.DICKENS, 6/14/91         1350000200005 
ENDBIB               3          0                                 1350000200006 
NOCOMMON             0          0                                 1350000200007 
DATA                 5        204                                 1350000200008 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350000200009 
 1238.3     3.83       4.71       238.6      12.8                 1350000200066 
 1238.3     4.71       5.65       310.       14.                  1350000200067 
 1238.3     5.65       6.56       400.       30.                  1350000200068 
 1238.3     6.56       7.49       402.       26.                  1350000200069 
 1238.3     7.49       8.26       421.       28.                  1350000200070 
 1238.3     8.26       9.02       444.       31.                  1350000200071 
 1238.3     9.02       9.90       469.       32.                  1350000200072 
 1238.3     9.90      10.56       520.       36.                  1350000200073 
 1238.3    10.56      11.28       499.       23.                  1350000200074 
 1238.3    11.28      12.09       511.       26.                  1350000200075 
 1238.3    12.09      12.98       490.       21.                  1350000200076 
 1238.3    12.98      13.97       431.       18.                  1350000200077 
 1238.3    13.97      15.09       290.       16.                  1350000200078 
 1238.3    15.09      16.69       193.       14.                  1350000200079 
 1238.3    16.69      18.55       126.6       8.2                 1350000200080 
 1238.3    18.55      20.76        96.6       5.5                 1350000200081 
 1238.3    20.76      22.82        63.6       4.7                 1350000200082 
 1238.3    22.82      25.20        51.9       4.8                 1350000200083 
 1238.3    25.20      27.99        43.3       3.8                 1350000200084 
 1238.3    27.99      30.40        38.3       3.7                 1350000200085 
 1238.3    30.40      33.15        38.0       4.2                 1350000200086 
 1238.3    33.15      36.29        33.3       7.1                 1350000200087 
 1238.3    36.29      38.64        27.6       6.7                 1350000200088 
 1238.3    38.64      41.23        16.8       4.8                 1350000200089 
 1303.0     3.83       4.71         3.9       1.4                 1350000200090 
 1303.0     4.71       5.65        11.2       1.5                 1350000200091 
 1303.0     5.65       6.56        17.7       1.8                 1350000200092 
 1303.0     6.56       7.49        35.8       2.8                 1350000200093 
 1303.0     7.49       8.26        40.0       3.0                 1350000200094 
 1303.0     8.26       9.02        50.6       3.5                 1350000200095 
 1303.0     9.02       9.90        54.9       4.4                 1350000200096 
 1303.0     9.90      10.56        72.8       6.5                 1350000200097 
 1303.0    10.56      11.28        70.5       4.7                 1350000200098 
 1303.0    11.28      12.09        76.5       4.9                 1350000200099 
 1303.0    12.09      12.98        78.0       4.7                 1350000200100 
 1303.0    12.98      13.97        81.0       4.3                 1350000200101 
 1303.0    13.97      15.09        73.1       4.8                 1350000200102 
 1303.0    15.09      16.69        48.3       3.5                 1350000200103 
 1303.0    16.69      18.55        27.8       3.0                 1350000200104 
 1303.0    18.55      20.76        21.5       3.0                 1350000200105 
 1303.0    20.76      22.82        11.7       3.0                 1350000200106 
 1303.0    22.82      25.20         8.0       2.4                 1350000200107 
 1312.2     8.26       9.90         4.7       1.7                 1350000200108 
 1312.2     9.90      11.28         6.0       2.9                 1350000200109 
 1312.2    11.28      12.98        11.0       2.3                 1350000200110 
 1312.2    12.98      15.09         8.2       2.2                 1350000200111 
 1312.2    15.09      18.55         7.0       3.2                 1350000200112 
 1360.3     3.51       3.83         8.2       2.2                 1350000200113 
 1360.3     3.83       4.71        11.3       1.2                 1350000200114 
 1360.3     4.71       5.65        13.0       1.8                 1350000200115 
 1360.3     5.65       6.56        17.7       2.8                 1350000200116 
 1360.3     6.56       7.49        16.5       2.1                 1350000200117 
 1360.3     7.49       8.26        14.0       2.3                 1350000200118 
 1360.3     8.26       9.02        11.4       2.5                 1350000200119 
 1360.3     9.02       9.90        15.8       2.5                 1350000200120 
 1360.3     9.90      11.28        12.1       2.3                 1350000200121 
 1360.3    11.28      12.98         8.0       2.1                 1350000200122 
 1360.3    12.98      15.09         6.3       1.9                 1350000200123 
 1360.3    15.09      18.55         4.6       1.4                 1350000200124 
 1669.9     4.71       5.65         4.8       1.3                 1350000200125 
 1669.9     5.65       6.56        20.2       3.3                 1350000200126 
 1669.9     6.56       7.49        24.8       3.2                 1350000200127 
 1669.9     7.49       8.26        26.4       3.6                 1350000200128 
 1669.9     8.26       9.02        34.5       4.2                 1350000200129 
 1669.9     9.02       9.90        40.1       4.3                 1350000200130 
 1669.9     9.90      10.56        38.5       4.4                 1350000200131 
 1669.9    10.56      11.28        51.0       6.1                 1350000200132 
 1669.9    11.28      12.09        47.4       5.8                 1350000200133 
 1669.9    12.09      12.98        52.5       5.7                 1350000200134 
 1669.9    12.98      13.97        60.0       6.4                 1350000200135 
 1669.9    13.97      15.09        54.5       5.6                 1350000200136 
 1669.9    15.09      16.69        30.1       3.7                 1350000200137 
 1810.8     2.71       3.07        82.7       8.4                 1350000200138 
 1810.8     3.07       3.83       167.5      12.6                 1350000200139 
 1810.8     3.83       4.71       143.6       8.2                 1350000200140 
 1810.8     4.71       5.65       153.6       9.0                 1350000200141 
 1810.8     5.65       6.56       151.7      10.3                 1350000200142 
 1810.8     6.56       7.49       135.1      10.3                 1350000200143 
 1810.8     7.49       8.26       115.0       8.9                 1350000200144 
 1810.8     8.26       9.02       111.0       8.8                 1350000200145 
 1810.8     9.02       9.90       106.2       8.3                 1350000200146 
 1810.8     9.90      10.56       100.0       9.2                 1350000200147 
 1810.8    10.56      11.28        96.9       6.9                 1350000200148 
 1810.8    11.28      12.09        91.3       7.0                 1350000200149 
 1810.8    12.09      12.98        80.6       6.8                 1350000200150 
 1810.8    12.98      13.97        51.7       5.5                 1350000200151 
 1810.8    13.97      15.09        37.5       4.6                 1350000200152 
 1810.8    15.09      16.69        30.8       3.9                 1350000200153 
 1810.8    16.69      18.55        21.5       4.1                 1350000200154 
 1810.8    18.55      20.76        10.5       2.8                 1350000200155 
 1810.8    20.76      22.82         7.4       3.0                 1350000200156 
 2034.9     4.20       4.71         7.6       1.0                 1350000200157 
 2034.9     4.71       5.65        25.6       2.6                 1350000200158 
 2034.9     5.65       6.56        27.5       3.5                 1350000200159 
 2034.9     6.56       7.49        25.9       3.1                 1350000200160 
 2034.9     7.49       8.26        24.0       3.6                 1350000200161 
 2034.9     8.26       9.02        17.5       3.6                 1350000200162 
 2034.9     9.02       9.90        17.4       3.4                 1350000200163 
 2034.9     9.90      10.56        22.8       4.6                 1350000200164 
 2034.9    10.56      11.28        16.8       5.0                 1350000200165 
 2034.9    11.28      12.09        15.9       5.1                 1350000200166 
 2034.9    12.09      12.98        17.9       5.6                 1350000200167 
 2034.9    12.98      13.97        14.4       5.5                 1350000200168 
 2034.9    13.97      15.09        10.2       3.5                 1350000200169 
 2094.5     3.07       3.83        32.0       2.8                 1350000200170 
 2094.5     3.83       4.71        34.8       3.3                 1350000200171 
 2094.5     4.71       5.65        24.6       2.7                 1350000200172 
 2094.5     5.65       6.56        21.2       3.3                 1350000200173 
 2094.5     6.56       7.49        10.8       2.5                 1350000200174 
 2094.5     7.49       8.26         7.0       2.5                 1350000200175 
 2094.5     8.26       9.02         6.4       2.6                 1350000200176 
 2094.5     9.02       9.90         3.0       1.6                 1350000200177 
 2094.5     9.90      10.56         3.2       2.6                 1350000200178 
 2094.5    10.56      11.28         2.2       1.4                 1350000200179 
 2113.2     3.01       3.07        27.1       8.7                 1350000200180 
 2113.2     3.07       3.83        99.6       7.9                 1350000200181 
 2113.2     3.83       4.71       103.9       7.2                 1350000200182 
 2113.2     4.71       5.65       100.5       7.0                 1350000200183 
 2113.2     5.65       6.56        90.3       6.8                 1350000200184 
 2113.2     6.56       7.49        64.2       5.2                 1350000200185 
 2113.2     7.49       8.26        48.6       5.2                 1350000200186 
 2113.2     8.26       9.02        47.2       5.1                 1350000200187 
 2113.2     9.02       9.90        52.4       5.3                 1350000200188 
 2113.2     9.90      10.56        54.3       7.8                 1350000200189 
 2113.2    10.56      11.28        49.8       6.0                 1350000200190 
 2113.2    11.28      12.09        30.8       6.9                 1350000200191 
 2113.2    12.09      12.98        35.5       6.2                 1350000200192 
 2113.2    12.98      13.97        24.8       4.7                 1350000200193 
 2113.2    13.97      15.09        15.3       4.7                 1350000200194 
 2113.2    15.09      16.69        11.9       2.9                 1350000200195 
 2113.2    16.69      18.55         6.8       3.8                 1350000200196 
 2113.2    18.55      20.76         7.5       4.6                 1350000200197 
 2113.2    20.76      22.82         4.5       3.5                 1350000200198 
 2273.2     3.18       3.83        56.3       5.7                 1350000200199 
 2273.2     3.83       4.71        67.8       6.0                 1350000200200 
 2273.2     4.71       5.65        57.5       5.3                 1350000200201 
 2273.2     5.65       6.56        41.4       5.2                 1350000200202 
 2273.2     6.56       7.49        35.2       4.2                 1350000200203 
 2273.2     7.49       8.26        29.5       4.2                 1350000200204 
 2273.2     8.26       9.02        32.8       4.5                 1350000200205 
 2273.2     9.02       9.90        22.7       5.0                 1350000200206 
 2273.2     9.90      10.56        30.1       5.7                 1350000200207 
 2273.2    10.56      11.28        18.2       4.8                 1350000200208 
 2273.2    11.28      12.09        17.3       6.5                 1350000200209 
 2273.2    12.09      12.98        20.4       5.7                 1350000200210 
 2273.2    12.98      13.97        17.4       5.4                 1350000200211 
 2273.2    13.97      15.09         6.2       4.3                 1350000200212 
 2273.2    15.09      16.69         6.0       2.6                 1350000200213 
 2273.2    16.69      18.55         5.7       3.0                 1350000200214 
ENDDATA            206          0                                 1350000200215 
ENDSUBENT          214          0                                 1350000299999 
SUBENT        13500003   19910521                             00001350000300001 
BIB                  1          1                                 1350000300002 
REACTION   (26-FE-56(N,P)25-MN-56,PAR,SIG,G,AV)                   1350000300003 
ENDBIB               1          0                                 1350000300004 
NOCOMMON             0          0                                 1350000300005 
DATA                 5         62                                 1350000300006 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350000300007 
KEV        MEV        MEV        MB         MB                    1350000300008 
  212.0     3.18       3.83        0.82      0.76                 1350000300009 
  212.0     3.83       4.71        0.80      0.76                 1350000300010 
  212.0     4.71       5.65        1.15      0.97                 1350000300011 
  212.0     5.65       6.56        2.80      1.12                 1350000300012 
  212.0     6.56       7.49        6.61      0.65                 1350000300013 
  212.0     7.49       8.26       10.15      0.95                 1350000300014 
  212.0     8.26       9.02        9.67      0.88                 1350000300015 
  212.0     9.02       9.90       12.9       1.1                  1350000300016 
  212.0     9.90      10.56       14.8       1.3                  1350000300017 
  212.0    10.56      11.28       15.9       1.1                  1350000300018 
  212.0    11.28      12.09       16.6       1.3                  1350000300019 
  212.0    12.09      12.98       16.6       1.2                  1350000300020 
  212.0    12.98      13.97       17.1       1.2                  1350000300021 
  271.1     7.49         8.26       3.0      1.7                  1350000300022 
  271.1     8.26         9.02       7.0      2.2                  1350000300023 
  271.1     9.02         9.90       8.4      0.9                  1350000300024 
  271.1     9.90        11.28       7.8      0.7                  1350000300025 
  271.1    11.28        12.98       5.8      0.5                  1350000300026 
  271.1    12.98        15.09       4.7      1.2                  1350000300027 
  271.1    15.09        16.69       4.2      1.9                  1350000300028 
  271.1    18.55        22.82       1.2      0.9                  1350000300029 
  271.1    22.82        27.99       2.9      1.2                  1350000300030 
  314.4     5.65        6.56        1.72     1.13                 1350000300031 
  314.4     6.56        7.49        3.5      1.5                  1350000300032 
  314.4     7.49        8.26        4.7      1.4                  1350000300033 
  314.4     8.26        9.02        6.56     0.71                 1350000300034 
  314.4     9.02        9.90        4.9      1.9                  1350000300035 
  314.4     9.90       10.56        8.10     0.94                 1350000300036 
  314.4    10.56       11.28       11.40     1.03                 1350000300037 
  314.4    11.28       12.09        9.57     0.93                 1350000300038 
  314.4    12.09       12.98       11.79     1.05                 1350000300039 
  314.4    12.98        15.09       8.16     0.58                 1350000300040 
  314.4    15.09        18.55       6.13     0.46                 1350000300041 
  314.4    18.55        22.82       3.00     0.88                 1350000300042 
  335.5     7.49       8.26        1.1       2.2                  1350000300043 
  335.5     8.26       9.02        4.2       2.2                  1350000300044 
  335.5     9.02       9.90        6.0       2.6                  1350000300045 
  335.5     9.90       10.56       5.5       2.7                  1350000300046 
  335.5    10.56       11.28       9.40      0.95                 1350000300047 
  335.5    11.28       12.09       10.14     0.95                 1350000300048 
  335.5    12.09       12.98       10.0      2.1                  1350000300049 
  335.5    12.98       13.97       12.2      1.0                  1350000300050 
  335.5    13.97       15.09        9.80     0.92                 1350000300051 
  335.5    15.09       16.69        9.48     0.82                 1350000300052 
  335.5    16.69       18.55        9.34     0.83                 1350000300053 
  335.5    18.55       20.76        3.1      3.0                  1350000300054 
  335.5    20.76       22.82        5.4      2.8                  1350000300055 
  335.5    22.82       25.20        4.7      2.9                  1350000300056 
  454.3     9.90        10.56       2.8      3.4                  1350000300057 
  454.3    10.56        11.28       4.0      3.2                  1350000300058 
  454.3    11.28        12.98       5.1      2.4                  1350000300059 
  454.3    12.98        15.09       5.62     0.58                 1350000300060 
  454.3    15.09        18.55       2.8      2.0                  1350000300061 
  454.3    18.55        22.82       3.1      2.1                  1350000300062 
  541.4     8.26         9.02       1.6      0.9                  1350000300063 
  541.4     9.02         9.90       2.3      1.2                  1350000300064 
  541.4     9.90        11.28       4.1      2.6                  1350000300065 
  541.4    11.28        12.98       4.8      2.5                  1350000300066 
  541.4    12.98        15.09       8.9      0.8                  1350000300067 
  541.4    15.09        18.55       5.6      0.6                  1350000300068 
  541.4    18.55        22.82       5.2      2.3                  1350000300069 
  541.4    22.82        27.99       5.7      3.8                  1350000300070 
ENDDATA             64          0                                 1350000300071 
ENDSUBENT           70          0                                 1350000399999 
SUBENT        13500004   19910124                             00001350000400001 
BIB                  1          1                                 1350000400002 
REACTION   (26-FE-56(N,A)24-CR-53,PAR,SIG,G,AV)                   1350000400003 
ENDBIB               1          0                                 1350000400004 
NOCOMMON             0          0                                 1350000400005 
DATA                 5         21                                 1350000400006 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350000400007 
KEV        MEV        MEV        MB         MB                    1350000400008 
 1006.5     6.55         8.26       0.7      1.7                  1350000400009 
 1006.5     8.26         9.90       5.7      1.8                  1350000400010 
 1006.5     9.90        11.28       6.0      2.6                  1350000400011 
 1006.5    11.28        12.98       8.1      0.9                  1350000400012 
 1006.5    12.98        13.97      12.5      3.9                  1350000400013 
 1006.5    13.97        15.09      13.3      1.5                  1350000400014 
 1006.5    15.09        16.69      11.6      1.5                  1350000400015 
 1006.5    16.69        18.55      12.4      3.5                  1350000400016 
 1006.5    18.55        22.82       7.3      2.5                  1350000400017 
 1006.5    22.82        27.99       8.0      3.2                  1350000400018 
 1006.5    27.99        33.15       1.2      2.7                  1350000400019 
 1289.6     6.55         8.26       1.0      1.6                  1350000400020 
 1289.6     8.26         9.90       4.4      1.8                  1350000400021 
 1289.6     9.90        11.28       6.6      2.5                  1350000400022 
 1289.6    11.28        12.98      12.5      1.2                  1350000400023 
 1289.6    12.98        15.09       7.7      2.3                  1350000400024 
 1289.6    15.09        16.69      11.9      1.4                  1350000400025 
 1289.6    16.69        18.55      11.0      1.4                  1350000400026 
 1289.6    18.55        22.82      10.3      1.1                  1350000400027 
 1289.6    22.82        27.99       6.0      2.4                  1350000400028 
 1289.6    27.99        33.15       5.1      2.3                  1350000400029 
ENDDATA             23          0                                 1350000400030 
ENDSUBENT           29          0                                 1350000499999 
SUBENT        13500005   19910124                             00001350000500001 
BIB                  2          2                                 1350000500002 
REACTION   (26-FE-56(N,A)24-CR-53,PAR,SIG,G,AV)                   1350000500003 
CORRECTION NOT CORRECTED FOR TIME SLEWING                         1350000500004 
ENDBIB               2          0                                 1350000500005 
COMMON               2          3                                 1350000500006 
EN-MIN     EN-MAX                                                 1350000500007 
MEV        MEV                                                    1350000500008 
13.0       18.6                                                   1350000500009 
ENDCOMMON            3          0                                 1350000500010 
DATA                 3         10                                 1350000500011 
E          DATA       ERR-T                                       1350000500012 
KEV        MB         MB                                          1350000500013 
  247.1     1.5        1.3                                        1350000500014 
  530.2     6.9        0.5                                        1350000500015 
  564.1     4.7        1.6                                        1350000500016 
  882.8     7.2        0.7                                        1350000500017 
 1006.5    12.0        0.7                                        1350000500018 
 1289.5    10.4        0.7                                        1350000500019 
 1446.8     2.2        1.5                                        1350000500020 
 1649.4     2.0        1.4                                        1350000500021 
 1973.6     1.5        1.4                                        1350000500022 
 2320.5     1.5        1.5                                        1350000500023 
ENDDATA             12          0                                 1350000500024 
ENDSUBENT           23          0                                 1350000599999 
SUBENT        13500006   19910521                             00001350000600001 
BIB                  1          1                                 1350000600002 
REACTION   (26-FE-56(N,2N)26-FE-55,PAR,SIG,G,AV)                  1350000600003 
ENDBIB               1          0                                 1350000600004 
NOCOMMON             0          0                                 1350000600005 
DATA                 5         92                                 1350000600006 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350000600007 
KEV        MEV        MEV        MB         MB                    1350000600008 
  273.5      14.26     15.09       15.9       3.6                 1350000600009 
  273.5      15.09     16.69       21.2       2.6                 1350000600010 
  273.5      16.69     18.55       31.0       1.7                 1350000600011 
  273.5      18.55     20.76       44.0       3.4                 1350000600012 
  273.5      20.76     22.82       57.0       4.5                 1350000600013 
  273.5      22.82     25.20       44.3       3.6                 1350000600014 
  273.5      25.20     27.99       41.2       3.8                 1350000600015 
  273.5      27.99     30.40       23.5       1.9                 1350000600016 
  273.5      30.40     33.15       16.7       3.0                 1350000600017 
  273.5      33.15     36.29       15.3       3.3                 1350000600018 
  411.3      12.09     12.98        6.3       2.8                 1350000600019 
  411.3      12.98     13.97       28.0       4.0                 1350000600020 
  411.3      13.97     15.09       32.5       2.4                 1350000600021 
  411.3      15.09     16.69       41.9       2.2                 1350000600022 
  411.3      16.69     18.55       46.3       2.4                 1350000600023 
  411.3      18.55     20.76       36.6       3.2                 1350000600024 
  411.3      20.76     22.82       33.7       2.2                 1350000600025 
  477.2      12.98     13.97        8.0       3.7                 1350000600026 
  477.2      13.97     15.09       38.0       4.3                 1350000600027 
  477.2      15.09     16.69       67.6       5.8                 1350000600028 
  477.2      16.69     18.55       63.9       3.0                 1350000600029 
  477.2      18.55     20.76       66.2       4.2                 1350000600030 
  477.2      20.76     22.82       64.7       3.3                 1350000600031 
  477.2      22.82     25.20       54.1       3.4                 1350000600032 
  477.2      25.20     27.99       41.8       2.8                 1350000600033 
  477.2      27.99     30.40       33.9       4.3                 1350000600034 
  477.2      30.40     33.15       22.6       4.1                 1350000600035 
  477.2      33.15     36.29       17.4       4.1                 1350000600036 
  477.2      36.29     41.23       14.4       2.9                 1350000600037 
  771.6      15.09     16.69        3.2       2.4                 1350000600038 
  771.6      16.69     18.55       10.2       2.9                 1350000600039 
  771.6      18.55     20.76       12.3       2.7                 1350000600040 
  771.6      20.76     22.82       16.9       3.9                 1350000600041 
