ENTRY            11224   19860121                             00001122400000001 
SUBENT        11224001   19860121                             00001122400100001 
BIB                 11         14                                 1122400100002 
INSTITUTE  (1USAANL)                                              1122400100003 
REFERENCE  (J,PR,107,1077,57)                                     1122400100004 
AUTHOR     (A.LANGSDORF JR,R.O.LANE,J.E.MONAHAN)                  1122400100005 
TITLE      ANGULAR DISTRIBUTIONS OF SCATTERED NEUTRONS.           1122400100006 
FACILITY   (VDG)                                                  1122400100007 
INC-SOURCE (P-LI7)                                                1122400100008 
DETECTOR   (MTANK) MODERATING TANK DETECTOR                       1122400100009 
MONITOR    (6-C-0(N,EL)6-C-0,,SIG)                                1122400100010 
CORRECTION CORRECTED FOR MULTIPLE SCATTERING AND ANGULAR          1122400100011 
            RESOLUTION.                                           1122400100012 
STATUS     (SCSRS)                                                1122400100013 
HISTORY    (760929T) TRANSLATED FROM SCISRS                       1122400100014 
           (800820A) CONVERTED TO REACTION FORMALISM              1122400100015 
           (860121A) BIB CORRECTIONS.                             1122400100016 
ENDBIB              14          0                                 1122400100017 
NOCOMMON             0          0                                 1122400100018 
ENDSUBENT           17          0                                 1122400199999 
SUBENT        11224002   19860917                             00001122400200001 
BIB                  3          3                                 1122400200002 
REACTION   (4-BE-9(N,EL)4-BE-9,,SIG)                              1122400200003 
STATUS     (DEP,11224003) INTEGRATED ANGULAR DISTRIBUTION.        1122400200004 
HISTORY    (860917A) REACTION UPDATED.                            1122400200005 
ENDBIB               3          0                                 1122400200006 
NOCOMMON             0          0                                 1122400200007 
DATA                 3         20                                 1122400200008 
EN         DATA       DATA-ERR                                    1122400200009 
MEV        B          PER-CENT                                    1122400200010 
 3.0    -02 5.90   +00   10.                                      1122400200011 
 6.0    -02 5.77   +00   10.                                      1122400200012 
 1.35   -01 5.23   +00   10.                                      1122400200013 
 2.30   -01 4.53   +00   10.                                      1122400200014 
 3.15   -01 4.10   +00   10.                                      1122400200015 
 3.30   -01 4.03   +00   10.                                      1122400200016 
 3.97   -01 3.85   +00   10.                                      1122400200017 
 4.77   -01 3.52   +00   10.                                      1122400200018 
 5.60   -01 3.49   +00   10.                                      1122400200019 
 6.40   -01 4.55   +00   10.                                      1122400200020 
 7.25   -01 3.52   +00   10.                                      1122400200021 
 8.05   -01 3.63   +00   10.                                      1122400200022 
 8.85   -01 3.53   +00   10.                                      1122400200023 
 9.70   -01 3.36   +00   10.                                      1122400200024 
 1.045  +00 3.20   +00   10.                                      1122400200025 
 1.130  +00 3.01   +00   10.                                      1122400200026 
 1.210  +00 2.81   +00   10.                                      1122400200027 
 1.290  +00 2.63   +00   10.                                      1122400200028 
 1.365  +00 2.45   +00   10.                                      1122400200029 
 1.450  +00 2.25   +00   10.                                      1122400200030 
ENDDATA             22          0                                 1122400200031 
ENDSUBENT           30          0                                 1122400299999 
SUBENT        11224003   19860917                             00001122400300001 
BIB                  2          2                                 1122400300002 
REACTION   (4-BE-9(N,EL)4-BE-9,,DA)                               1122400300003 
HISTORY    (860917A) REACTION UPDATED.                            1122400300004 
ENDBIB               2          0                                 1122400300005 
NOCOMMON             0          0                                 1122400300006 
DATA                 5        100                                 1122400300007 
EN         EN-RSL     COS-CM     ANG-RSL    DATA                  1122400300008 
MEV        MEV        NO-DIM     ADEG       MB/SR                 1122400300009 
ENDBIB               2          0                                 1122400400005 
COMMON               1          3                                 1122400400006 
DATA-ERR                                                          1122400400007 
PER-CENT                                                          1122400400008 
 10.                                                              1122400400009 
ENDCOMMON            3          0                                 1122400400010 
DATA                 3         23                                 1122400400011 
EN         EN-RSL     DATA                                        1122400400012 
MEV        PER-CENT   B                                           1122400400013 
 6.001  -02   99.      4.100  +00                                 1122400400014 
 1.560  -01   64.      3.800  +00                                 1122400400015 
 2.460  -01   41.      3.400  +00                                 1122400400016 
 3.300  -01   30.      3.200  +00                                 1122400400017 
 4.080  -01   25.      4.550  +00                                 1122400400018 
 4.920  -01   20.      3.530  +00                                 1122400400019 
 4.980  -01   20.      3.400  +00                                 1122400400020 
 5.801  -01   17.      2.780  +00                                 1122400400021 
 6.601  -01   15.      2.430  +00                                 1122400400022 
 7.321  -01   14.      2.200  +00                                 1122400400023 
 8.161  -01   12.      1.950  +00                                 1122400400024 
 8.921  -01   11.      1.850  +00                                 1122400400025 
 9.811  -01   10.      1.730  +00                                 1122400400026 
 1.056  +00    9.0     1.800  +00                                 1122400400027 
 1.140  +00    9.0     2.080  +00                                 1122400400028 
 1.218  +00    8.0     2.700  +00                                 1122400400029 
 1.302  +00    8.0     3.430  +00                                 1122400400030 
 1.380  +00    7.0     2.750  +00                                 1122400400031 
 1.460  +00    7.0     2.250  +00                                 1122400400032 
 1.545  +00    6.0     2.100  +00                                 1122400400033 
 1.629  +00    6.0     2.020  +00                                 1122400400034 
 1.700  +00    6.0     2.150  +00                                 1122400400035 
 1.802  +00    6.0     2.400  +00                                 1122400400036 
ENDDATA             25          0                                 1122400400037 
ENDSUBENT           36          0                                 1122400499999 
SUBENT        11224005   19860121                             00001122400500001 
BIB                  1          1                                 1122400500002 
REACTION   (5-B-0(N,SCT)5-B-0,,DA)                                1122400500003 
ENDBIB               1          0                                 1122400500004 
NOCOMMON             0          0                                 1122400500005 
DATA                 5        115                                 1122400500006 
EN         EN-RSL     COS-CM     ANG-RSL    DATA                  1122400500007 
MEV        MEV        NO-DIM     ADEG       MB/SR                 1122400500008 
 6.0    -02 1.00   -01 0.87120       5.      3.65   +02           1122400500009 
 6.0    -02 1.00   -01 0.50990       5.      3.58   +02           1122400500010 
 6.0    -02 1.00   -01-0.1097        5.      3.44   +02           1122400500011 
 6.0    -02 1.00   -01-0.4676        3.      3.35   +02           1122400500012 
 6.0    -02 1.00   -01-0.8397        3.      3.23   +02           1122400500013 
 1.55   -01            0.87120       5.      3.29   +02           1122400500014 
 1.55   -01            0.50990       5.      3.22   +02           1122400500015 
 1.55   -01           -0.1097        5.      3.09   +02           1122400500016 
 1.55   -01           -0.4676        3.      3.01   +02           1122400500017 
 1.55   -01           -0.8397        3.      2.94   +02           1122400500018 
 2.45   -01            0.87120       5.      2.89   +02           1122400500019 
 2.45   -01            0.50990       5.      2.89   +02           1122400500020 
 2.45   -01           -0.1097        5.      2.84   +02           1122400500021 
 2.45   -01           -0.4676        3.      2.76   +02           1122400500022 
 2.45   -01           -0.8397        3.      2.63   +02           1122400500023 
 3.30   -01            0.87120       5.      2.39   +02           1122400500024 
 3.30   -01            0.50990       5.      2.62   +02           1122400500025 
 3.30   -01           -0.1097        5.      2.78   +02           1122400500026 
