ENTRY            10283   20071108                             Y0011028300000001 
SUBENT        10283001   20071108                             Y0011028300100001 
BIB                 13         23                                 1028300100002 
INSTITUTE  (1USAORL)                                              1028300100003 
REFERENCE  (R,ORNL-4805,197402)                                   1028300100004 
AUTHOR     (F.G.Perey,W.E.Kinney)                                 1028300100005 
TITLE      Nitrogen neutron elastic and inelastic scattering cross1028300100006 
            sections from 4.34 to 8.56 MeV                        1028300100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mHz and  1028300100008 
            bunched.                                              1028300100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells 1 and 2 cm       1028300100010 
            in length.                                            1028300100011 
INC-SPECT  Neutron energy resolution (total energy spread)        1028300100012 
            between 60 and 70 keV.                                1028300100013 
SAMPLE     Ammonium azide (NH4N3),in cylindrical can 1.94 cm      1028300100014 
            diameter,2.67 cm high placed 10-30 cm from gas cell.  1028300100015 
METHOD     (TOF). Flight paths of 4-6 meters.                     1028300100016 
DETECTOR   (SCIN) 12.5 cm diameter NE 213 liquid scintillator     1028300100017 
            viewed by XP-1040 photomultipliers.  MONITOR    (1-H-11028300100018 
CORRECTION  Corrected for multiple scattering and other finite    1028300100019 
            sample size effects.                                  1028300100020 
STATUS     (APRVD) Approved by author.                            1028300100021 
HISTORY    (19720712R)                                            1028300100022 
           (19830124A) Converted to REACTION formalism            1028300100023 
           (20011227A) Updated to new date formats, lower case.   1028300100024 
           (20071108A) ERR-ANALYS corrections                     1028300100025 
ENDBIB              23          0                                 1028300100026 
NOCOMMON             0          0                                 1028300100027 
ENDSUBENT           26          0                                 1028300199999 
SUBENT        10283002   20071108                             Y0011028300200001 
BIB                  2          7                                 1028300200002 
REACTION   (7-N-14(N,EL)7-N-14,,DA)                               1028300200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1028300200004 
            . geometric parameters,                               1028300200005 
            . finite size corrections,                            1028300200006 
            . statistics,                                         1028300200007 
            . residual background effects due to peak stripping   1028300200008 
              procedures.                                         1028300200009 
ENDBIB               7          0                                 1028300200010 
NOCOMMON             0          0                                 1028300200011 
DATA                 6        136                                 1028300200012 
EN         EN-RSL     ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1028300200013 
 4.92       0.06       106.51         51.68     6.0        7.0    1028300200049 
 4.92       0.06       113.86         50.49     8.3        6.4    1028300200050 
 4.92       0.06       125.00         46.58     8.1        7.2    1028300200051 
 4.92       0.06       132.19         44.22     7.1        7.7    1028300200052 
 4.92       0.06       139.33         45.94     9.0        7.7    1028300200053 
 6.01       0.07        16.10        277.90    10.1       10.1    1028300200054 
 6.01       0.07        24.10        228.00    10.1       10.1    1028300200055 
 6.01       0.07        29.39        201.93     8.2        8.0    1028300200056 
 6.01       0.07        37.36        160.43     4.8        4.7    1028300200057 
 6.01       0.07        45.27        110.86     7.6        7.4    1028300200058 
 6.01       0.07        50.52         97.80     6.5        6.8    1028300200059 
 6.01       0.07        58.36         67.06     7.9        7.2    1028300200060 
 6.01       0.07        66.14         47.99    10.1        8.5    1028300200061 
 6.01       0.07        73.86         49.60     6.4        6.8    1028300200062 
 6.01       0.07        81.51         49.99     6.6        6.8    1028300200063 
 6.01       0.07        89.09         63.69     5.6        7.1    1028300200064 
 6.01       0.07        96.60         71.58     6.2        7.0    1028300200065 
 6.01       0.07       104.04         74.50     5.9        6.3    1028300200066 
 6.01       0.07       111.41         70.54     5.8        6.3    1028300200067 
 6.01       0.07       123.07         59.73     8.6        8.6    1028300200068 
 6.01       0.07       130.28         58.56     8.6        8.4    1028300200069 
 6.01       0.07       137.43         58.28     7.9        9.3    1028300200070 
 6.44       0.07        16.06        302.84     9.5       10.6    1028300200071 
 6.44       0.07        24.07        238.45    12.6        9.3    1028300200072 
 6.44       0.07        29.39        225.05     5.0        5.1    1028300200073 
 6.44       0.07        37.35        151.12     5.4        5.8    1028300200074 
 6.44       0.07        45.27         91.59     7.4        6.3    1028300200075 
 6.44       0.07        50.53         74.76     8.2        5.0    1028300200076 
 6.44       0.07        58.36         47.76     5.1        4.8    1028300200077 
 6.44       0.07        66.14         33.17     5.4        6.5    1028300200078 
 6.44       0.07        73.85         33.46     5.9        5.9    1028300200079 
 6.44       0.07        81.51         44.08     5.4        5.2    1028300200080 
 6.44       0.07        89.09         52.29     5.6        4.6    1028300200081 
 6.44       0.07        96.60         65.36     4.2        4.9    1028300200082 
 6.44       0.07       104.04         65.41     4.4        5.0    1028300200083 
 6.44       0.07       111.42         58.59     4.8        4.9    1028300200084 
 6.44       0.07       123.07         42.46     6.5        5.4    1028300200085 
 6.44       0.07       130.28         35.21     6.1        6.4    1028300200086 
 6.44       0.07       137.43         35.90     5.8        5.7    1028300200087 
 7.03       0.06        29.39        167.34     6.4        6.6    1028300200088 
 7.03       0.06        37.35        121.23     6.3        6.0    1028300200089 
 7.03       0.06        45.30         80.37     7.1        7.1    1028300200090 
 7.03       0.06        50.52         56.97     5.4        7.0    1028300200091 
 7.03       0.06        58.36         31.86     7.0       10.1    1028300200092 
 7.03       0.06        66.14         18.17     8.1        7.7    1028300200093 
 7.03       0.06        73.80         19.19     8.4        8.4    1028300200094 
 7.03       0.06        81.50         26.85     6.9        7.0    1028300200095 
 7.03       0.06        89.09         38.23     7.3        5.5    1028300200096 
 7.03       0.06        96.60         52.32     5.6        5.5    1028300200097 
 7.03       0.06       104.04         62.03     5.5        5.4    1028300200098 
 7.03       0.06       111.41         61.51     5.4        4.8    1028300200099 
 7.03       0.06       123.07         57.34     5.8        5.1    1028300200100 
 7.03       0.06       130.28         44.31     5.2        5.8    1028300200101 
 7.03       0.06       137.43         38.60     5.5        6.4    1028300200102 
 7.54       0.06        16.06        494.41     7.4        7.4    1028300200103 
 7.54       0.06        24.07        328.55     8.2        8.1    1028300200104 
 7.54       0.06        29.39        251.25     5.5        5.2    1028300200105 
 7.54       0.06        37.35        136.37     6.3        6.2    1028300200106 
 7.54       0.06        45.27         67.11     7.3        7.2    1028300200107 
 7.54       0.06        50.52         42.39     5.7        5.5    1028300200108 
 7.54       0.06        58.36         24.56     6.6        7.5    1028300200109 
 7.54       0.06        66.14         24.81     6.2        6.2    1028300200110 
 7.54       0.06        73.85         36.52     5.3        6.2    1028300200111 
 7.54       0.06        81.50         53.28     5.1        4.9    1028300200112 
 7.54       0.06        89.09         58.18     4.7        4.7    1028300200113 
 7.54       0.06        96.60         67.32     4.8        4.5    1028300200114 
 7.54       0.06       104.04         64.44     4.4        4.7    1028300200115 
 7.54       0.06       111.41         58.62     5.1        5.2    1028300200116 
 7.54       0.06       123.07         55.11     4.9        6.2    1028300200117 
 7.54       0.06       130.28         52.02     5.5        5.9    1028300200118 
 7.54       0.06       137.43         52.45     5.1        5.3    1028300200119 
 8.04       0.05        29.39        219.97     7.4        6.0    1028300200120 
 8.04       0.05        37.35        121.64     6.5        7.1    1028300200121 
 8.04       0.05        45.31         57.59     7.6        8.9    1028300200122 
 8.04       0.05        50.52         36.63     6.8        7.1    1028300200123 
 8.04       0.05        58.36         24.29     7.0        7.5    1028300200124 
 8.04       0.05        66.14         29.27     6.5        5.8    1028300200125 
 8.04       0.05        73.85         43.10     5.7        5.5    1028300200126 
 8.04       0.05        81.50         55.02     4.7        5.6    1028300200127 
 8.04       0.05        89.09         60.58     4.7        5.0    1028300200128 
 8.04       0.05        96.60         54.90     6.8        5.9    1028300200129 
 8.04       0.05       104.04         55.60     5.4        5.6    1028300200130 
 8.04       0.05       111.41         43.01     7.8        7.5    1028300200131 
 8.04       0.05       123.07         37.54     6.4        6.2    1028300200132 
 8.04       0.05       130.28         36.89     6.8        5.5    1028300200133 
 8.04       0.05       137.42         37.38     5.5        6.3    1028300200134 
 8.56       0.05        24.07        303.89     9.0        9.2    1028300200135 
 8.56       0.05        29.39        192.64     6.9        6.1    1028300200136 
 8.56       0.05        37.35        119.93     7.2        6.5    1028300200137 
 8.56       0.05        45.28         62.80     8.7        6.7    1028300200138 
 8.56       0.05        50.52         49.22     5.1        4.2    1028300200139 
 8.56       0.05        58.36         24.59     4.8        5.7    1028300200140 
 8.56       0.05        66.14         18.88     6.2        6.1    1028300200141 
 8.56       0.05        73.86         26.73     7.1        6.5    1028300200142 
 8.56       0.05        81.50         38.77     5.2        5.2    1028300200143 
 8.56       0.05        89.09         49.70     5.5        5.2    1028300200144 
 8.56       0.05        96.60         57.13     5.1        4.1    1028300200145 
 8.56       0.05       104.04         55.68     4.4        4.2    1028300200146 
 8.56       0.05       111.41         50.53     4.9        4.4    1028300200147 
 8.56       0.05       123.07         34.59     6.9        7.4    1028300200148 
 8.56       0.05       130.27         21.14     7.5        7.9    1028300200149 
 8.56       0.05       137.42         22.75     7.6        9.1    1028300200150 
ENDDATA            138          0                                 1028300200151 
ENDSUBENT          150          0                                 1028300299999 
SUBENT        10283003   20071108                             Y0011028300300001 
BIB                  3          8                                 1028300300002 
REACTION   (7-N-14(N,EL)7-N-14,,DA,,LEG/2L2)                      1028300300003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1028300300004 
            . geometric parameters,                               1028300300005 
            . finite size corrections,                            1028300300006 
            . statistics,                                         1028300300007 
            . residual background effects due to peak stripping   1028300300008 
              procedures.                                         1028300300009 
STATUS     (DEP,10283002)                                         1028300300010 
ENDBIB               8          0                                 1028300300011 
NOCOMMON             0          0                                 1028300300012 
DATA                 5         56                                 1028300300013 
EN         EN-RSL     NUMBER     DATA       DATA-ERR              1028300300014 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1028300300015 
 4.34       0.07       0.          204.09093    2.0               1028300300016 
 4.34       0.07       1.           62.02466    6.0               1028300300017 
 4.34       0.07       2.           68.86284    4.0               1028300300018 
 4.34       0.07       3.           28.57903    9.0               1028300300019 
 4.34       0.07       4.            9.55242   16.0               1028300300020 
 4.34       0.07       5.            3.55062   39.0               1028300300021 
 4.92       0.06       0.          102.32668    2.0               1028300300022 
 4.92       0.06       1.            7.78747   29.0               1028300300023 
 4.92       0.06       2.            7.90209   22.0               1028300300024 
 4.92       0.06       3.            8.21329   19.0               1028300300025 
 4.92       0.06       4.            5.38686   19.0               1028300300026 
 4.92       0.06       5.            0.86897  104.0               1028300300027 
 6.01       0.07       0.          171.99825    2.0               1028300300028 
 6.01       0.07       1.           32.72182   11.0               1028300300029 
 6.01       0.07       2.           31.69382    9.0               1028300300030 
 6.01       0.07       3.           16.22054   16.0               1028300300031 
 6.01       0.07       4.            9.89505   16.0               1028300300032 
 6.01       0.07       5.           -3.10324   42.0               1028300300033 
 6.44       0.07       0.          147.47893    2.0               1028300300034 
 6.44       0.07       1.           40.78864    7.0               1028300300035 
 6.44       0.07       2.           33.33762    7.0               1028300300036 
 6.44       0.07       3.           21.25345    8.0               1028300300037 
 6.44       0.07       4.           14.00822   11.0               1028300300038 
 6.44       0.07       5.           -2.23108   41.0               1028300300039 
 6.44       0.07       6.           -0.21372  377.0               1028300300040 
 7.03       0.06       0.          122.44164    3.0               1028300300041 
 7.03       0.06       1.           26.61214   11.0               1028300300042 
 7.03       0.06       2.           26.97580   11.0               1028300300043 
 7.03       0.06       3.           22.00330    9.0               1028300300044 
 7.03       0.06       4.            9.07875   20.0               1028300300045 
 7.03       0.06       5.           -2.70384   36.0               1028300300046 
 7.03       0.06       6.            0.88281   98.0               1028300300047 
 7.54       0.06       0.          163.31798    2.0               1028300300048 
 7.54       0.06       1.           46.88576    8.0               1028300300049 
 7.54       0.06       2.           47.05289    6.0               1028300300050 
 7.54       0.06       3.           37.39905    7.0               1028300300051 
 7.54       0.06       4.           25.58768    7.0               1028300300052 
 7.54       0.06       5.            8.71722   17.0               1028300300053 
 7.54       0.06       6.            2.47646   34.0               1028300300054 
 7.54       0.06       7.            1.07458   72.0               1028300300055 
 8.04       0.05       0.          140.54094    3.0               1028300300056 
 8.04       0.05       1.           43.74666   10.0               1028300300057 
 8.04       0.05       2.           37.48163   10.0               1028300300058 
 8.04       0.05       3.           28.92119   11.0               1028300300059 
 8.04       0.05       4.           23.43137   10.0               1028300300060 
 8.04       0.05       5.            7.81744   23.0               1028300300061 
 8.04       0.05       6.            1.61394   64.0               1028300300062 
 8.04       0.05       7.            0.02767 3088.0               1028300300063 
 8.56       0.05       0.          125.26854    3.0               1028300300064 
 8.56       0.05       1.           41.54575    8.0               1028300300065 
 8.56       0.05       2.           33.57845    8.0               1028300300066 
 8.56       0.05       3.           26.36707    9.0               1028300300067 
 8.56       0.05       4.           19.54555    8.0               1028300300068 
 8.56       0.05       5.            1.58617   91.0               1028300300069 
 8.56       0.05       6.            1.22309   63.0               1028300300070 
 8.56       0.05       7.            0.95945   71.0               1028300300071 
ENDDATA             58          0                                 1028300300072 
ENDSUBENT           71          0                                 1028300399999 
SUBENT        10283004   20071108                             Y0011028300400001 
BIB                  3          8                                 1028300400002 
REACTION   (7-N-14(N,INL)7-N-14,PAR,DA)                           1028300400003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1028300400004 
            . geometric parameters,                               1028300400005 
            . finite size corrections,                            1028300400006 
            . statistics,                                         1028300400007 
            . residual background effects due to peak stripping   1028300400008 
              procedures.                                         1028300400009 
HISTORY    (20011227A) Subentries 4-10 combined                   1028300400010 
ENDBIB               8          0                                 1028300400011 
NOCOMMON             0          0                                 1028300400012 
DATA                 8         93                                 1028300400013 
EN         EN-RSL     E-LVL      E-LVL      ANG-CM     DATA       1028300400014 
+DATA-ERR  -DATA-ERR                                              1028300400015 
MEV        MEV        MEV        MEV        ADEG       MB/SR      1028300400016 
PER-CENT   PER-CENT                                               1028300400017 
 6.01       0.07        3.945                 92.58          6.43 1028300400018 
   17.9       17.9                                                1028300400019 
 6.01       0.07        3.945                100.08         10.66 1028300400020 
   22.7       21.5                                                1028300400021 
 6.01       0.07        3.945                107.43          6.01 1028300400022 
   32.1       28.4                                                1028300400023 
 6.01       0.07        3.945                114.75          6.04 1028300400024 
   37.3       33.7                                                1028300400025 
 6.01       0.07        3.945                126.12          7.76 1028300400026 
   37.5       35.4                                                1028300400027 
 6.01       0.07        3.945      4.910      84.89          8.12 1028300400028 
   24.9       18.9                                                1028300400029 
 6.44       0.07        3.945                 30.72          8.07 1028300400030 
   20.5       21.8                                                1028300400031 
 6.44       0.07        3.945                 38.99          8.16 1028300400032 
   15.8       20.8                                                1028300400033 
 6.44       0.07        3.945                 47.22          5.70 1028300400034 
   28.0       22.0                                                1028300400035 
 6.44       0.07        3.945                 52.66          7.48 1028300400036 
   15.0       16.4                                                1028300400037 
 6.44       0.07        3.945                 68.70          6.75 1028300400038 
   13.7       13.2                                                1028300400039 
 6.44       0.07        3.945                 76.59          7.96 1028300400040 
   11.9       14.7                                                1028300400041 
 6.44       0.07        3.945                 84.35          6.81 1028300400042 
   13.6       12.0                                                1028300400043 
 6.44       0.07        3.945                 91.99          7.12 1028300400044 
   14.3       13.3                                                1028300400045 
 6.44       0.07        3.945                 99.49          6.37 1028300400046 
   17.2       17.6                                                1028300400047 
 6.44       0.07        3.945                106.90          6.81 1028300400048 
   11.0       14.4                                                1028300400049 
 6.44       0.07        3.945                114.20          6.29 1028300400050 
   15.2       11.8                                                1028300400051 
 6.44       0.07        3.945                125.60          6.88 1028300400052 
   18.1       17.2                                                1028300400053 
 6.44       0.07        3.945                132.59          6.92 1028300400054 
   12.8       12.9                                                1028300400055 
 6.44       0.07        3.945                139.54          6.28 1028300400056 
   24.6       21.1                                                1028300400057 
 7.03       0.06        3.945                 30.50          8.71 1028300400058 
   27.1       23.4                                                1028300400059 
 7.03       0.06        3.945                 38.73          7.64 1028300400060 
   18.5       14.8                                                1028300400061 
 7.03       0.06        3.945                 68.27          6.98 1028300400062 
   13.4       23.1                                                1028300400063 
 7.03       0.06        3.945                 83.86          7.90 1028300400064 
   10.7       10.7                                                1028300400065 
 7.03       0.06        3.945                 91.49          8.07 1028300400066 
   12.9       12.7                                                1028300400067 
 7.03       0.06        3.945                 99.01          9.47 1028300400068 
   13.5       16.4                                                1028300400069 
 7.03       0.06        3.945                106.44         10.47 1028300400070 
   11.9       11.3                                                1028300400071 
 7.03       0.06        3.945                113.72          8.86 1028300400072 
   13.1       16.7                                                1028300400073 
 7.03       0.06        3.945                125.17         10.09 1028300400074 
   10.9       13.3                                                1028300400075 
 7.03       0.06        3.945                132.20         10.14 1028300400076 
    9.4       12.1                                                1028300400077 
 7.03       0.06        3.945                139.15          9.01 1028300400078 
   11.5       13.2                                                1028300400079 
 7.03       0.06        4.910      5.100      86.13          3.97 1028300400080 
   28.4       26.8                                                1028300400081 
 7.03       0.06        4.910      5.100      93.82          3.18 1028300400082 
   45.2       34.7                                                1028300400083 
 7.03       0.06        4.910      5.100     101.37          6.27 1028300400084 
              25.5                                                1028300400085 
 7.03       0.06        4.910      5.100     108.75          5.05 1028300400086 
   41.4       28.4                                                1028300400087 
 7.03       0.06        4.910      5.100     115.96          4.52 1028300400088 
   39.6       33.1                                                1028300400089 
 7.03       0.06        4.910      5.100     127.08          4.76 1028300400090 
   35.9       34.5                                                1028300400091 
 7.03       0.06        4.910      5.100     134.00          3.87 1028300400092 
   50.8       40.3                                                1028300400093 
 7.54       0.06        3.945                 30.35         10.53 1028300400094 
   18.2       23.3                                                1028300400095 
 7.54       0.06        3.945                 38.55          5.29 1028300400096 
   31.4       27.0                                                1028300400097 
 7.54       0.06        3.945                 68.01          4.14 1028300400098 
   18.4       15.6                                                1028300400099 
 7.54       0.06        3.945                 75.81          5.60 1028300400100 
   19.4       18.7                                                1028300400101 
 7.54       0.06        3.945                 83.56          5.70 1028300400102 
   13.7       14.8                                                1028300400103 
 7.54       0.06        3.945                 91.16          5.47 1028300400104 
   13.8       14.6                                                1028300400105 
 7.54       0.06        3.945                 98.69          5.58 1028300400106 
   13.3       14.7                                                1028300400107 
 7.54       0.06        3.945                106.10          5.81 1028300400108 
   12.9       12.7                                                1028300400109 
 7.54       0.06        3.945                113.42          6.42 1028300400110 
   14.2       11.5                                                1028300400111 
 7.54       0.06        3.945                124.89          6.74 1028300400112 
   11.1       14.9                                                1028300400113 
 7.54       0.06        3.945                131.96          6.46 1028300400114 
   12.8       15.4                                                1028300400115 
 7.54       0.06        3.945                138.92          6.07 1028300400116 
   17.3       20.4                                                1028300400117 
 7.54       0.06        4.910      5.100     100.42          2.41 1028300400118 
   24.6                                                           1028300400119 
 7.54       0.06        5.100                 92.89          4.75 1028300400120 
   19.6       23.8                                                1028300400121 
 7.54       0.06        5.100                100.44          3.67 1028300400122 
   24.5       21.0                                                1028300400123 
 7.54       0.06        5.100                107.77          3.05 1028300400124 
   29.9       27.8                                                1028300400125 
 8.04       0.05        3.945                 59.88          4.22 1028300400126 
   15.7       18.4                                                1028300400127 
 8.04       0.05        3.945                 67.78          3.97 1028300400128 
   24.4       16.5                                                1028300400129 
 8.04       0.05        3.945                 75.59          5.02 1028300400130 
   18.8       15.0                                                1028300400131 
 8.04       0.05        3.945                 83.30          4.51 1028300400132 
   17.0       13.9                                                1028300400133 
 8.04       0.05        3.945                 90.93          4.09 1028300400134 
   18.5       23.4                                                1028300400135 
 8.04       0.05        3.945                 98.45          3.41 1028300400136 
   32.4       29.1                                                1028300400137 
 8.04       0.05        3.945                105.87          4.11 1028300400138 
   21.2       24.5                                                1028300400139 
 8.04       0.05        3.945                113.21          5.32 1028300400140 
   17.8       16.3                                                1028300400141 
 8.04       0.05        3.945                124.68          5.50 1028300400142 
   21.7       15.3                                                1028300400143 
 8.04       0.05        3.945                131.76          5.12 1028300400144 
   13.0       14.2                                                1028300400145 
 8.04       0.05        3.945                138.75          4.75 1028300400146 
   16.2       13.6                                                1028300400147 
 8.04       0.05        4.910                106.89          1.43 1028300400148 
   36.2       40.1                                                1028300400149 
 8.04       0.05        4.910      5.100      68.93          3.10 1028300400150 
   18.6       18.6                                                1028300400151 
 8.04       0.05        5.100                 68.93          2.94 1028300400152 
   20.7       20.7                                                1028300400153 
 8.04       0.05        5.100                 76.85          4.03 1028300400154 
   20.9       36.9                                                1028300400155 
 8.04       0.05        5.100                 84.59          3.20 1028300400156 
   24.8       22.1                                                1028300400157 
 8.04       0.05        5.100                 92.27          4.02 1028300400158 
   17.0       25.0                                                1028300400159 
 8.04       0.05        5.100                107.17          5.56 1028300400160 
   23.0       19.1                                                1028300400161 
 8.04       0.05        5.100                114.47          6.20 1028300400162 
   17.4       27.7                                                1028300400163 
 8.04       0.05        5.100                125.81          5.53 1028300400164 
   19.6       17.9                                                1028300400165 
 8.04       0.05        5.690                 77.85          2.11 1028300400166 
   37.1       40.8                                                1028300400167 
 8.04       0.05        5.690                 85.58          2.01 1028300400168 
   30.5       34.7                                                1028300400169 
 8.04       0.05        5.690                 93.35          1.67 1028300400170 
   35.4       35.9                                                1028300400171 
 8.04       0.05        5.830                 78.30          6.04 1028300400172 
   21.4       31.3                                                1028300400173 
 8.04       0.05        5.830                 86.07          6.16 1028300400174 
   16.3       16.1                                                1028300400175 
 8.04       0.05        5.830                 93.77          6.04 1028300400176 
   15.7       25.3                                                1028300400177 
 8.56       0.05        3.945                 30.15          7.59 1028300400178 
   21.6       24.6                                                1028300400179 
 8.56       0.05        3.945                 59.73          5.10 1028300400180 
    8.7        8.4                                                1028300400181 
 8.56       0.05        3.945                 67.61          5.06 1028300400182 
    8.3       10.7                                                1028300400183 
 8.56       0.05        3.945                 75.41          4.14 1028300400184 
   17.7       20.7                                                1028300400185 
 8.56       0.05        3.945                 83.13          5.06 1028300400186 
   14.7       17.3                                                1028300400187 
 8.56       0.05        3.945                 90.74          4.38 1028300400188 
   19.2       22.3                                                1028300400189 
 8.56       0.05        3.945                 98.27          4.18 1028300400190 
   17.1       17.8                                                1028300400191 
 8.56       0.05        3.945                105.69          4.86 1028300400192 
   12.0       14.2                                                1028300400193 
 8.56       0.05        3.945                113.00          4.29 1028300400194 
   13.9       13.6                                                1028300400195 
 8.56       0.05        4.910                 99.14          1.59 1028300400196 
   29.6       27.3                                                1028300400197 
 8.56       0.05        5.100                 91.83          5.65 1028300400198 
   18.4       23.6                                                1028300400199 
 8.56       0.05        5.100                 99.35          5.26 1028300400200 
   12.8       15.6                                                1028300400201 
 8.56       0.05        5.100                114.03          5.49 1028300400202 
   14.0       12.8                                                1028300400203 
ENDDATA            190          0                                 1028300400204 
ENDSUBENT          203          0                                 1028300499999 
NOSUBENT      10283005   20020102                             00001028300500001 
NOSUBENT      10283006   20020102                             00001028300600001 
NOSUBENT      10283007   20020102                             00001028300700001 
NOSUBENT      10283008   20020102                             00001028300800001 
NOSUBENT      10283009   20020102                             00001028300900001 
NOSUBENT      10283010   20020102                             00001028301000001 
SUBENT        10283011   20011227                             00001028301100001 
BIB                  3         10                                 1028301100002 
REACTION   (7-N-14(N,EL)7-N-14,,SIG)                              1028301100003 
ERR-ANALYS (DATA-ERR) Includes absolute error of +/- 7% due to    1028301100004 
            estimated error in absolute value of the detector     1028301100005 
            efficiency, plus uncertainties in:                    1028301100006 
            . geometric parameters,                               1028301100007 
            . finite size corrections,                            1028301100008 
            . statistics,                                         1028301100009 
            . residual background effects due to peak stripping   1028301100010 
              procedures.                                         1028301100011 
STATUS     (DEP,10283002)                                         1028301100012 
ENDBIB              10          0                                 1028301100013 
NOCOMMON             0          0                                 1028301100014 
