ENTRY            11292   19810428                             00001129200000001 
SUBENT        11292001   19810428                             00001129200100001 
BIB                  6          7                                 1129200100002 
INSTITUTE  (1USAORL)                                              1129200100003 
REFERENCE  (P,ORNL-1365,1,5301)                                   1129200100004 
AUTHOR     (C.H.JOHNSON,H.B.WILLARD,J.K.BAIR,J.D.KINGTON)         1129200100005 
TITLE      TOTAL NEUTRON CROSS SECTIONS OF N14, GE, SE, CD AND HG.1129200100006 
STATUS     (SCSRS)                                                1129200100007 
HISTORY    (761001T) TRANSLATED FROM SCISRS                       1129200100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129200100009 
ENDBIB               7          0                                 1129200100010 
COMMON               2          3                                 1129200100011 
EN-ERR     EN-RSL                                                 1129200100012 
KEV        KEV                                                    1129200100013 
 50.        35.                                                   1129200100014 
ENDCOMMON            3          0                                 1129200100015 
ENDSUBENT           14          0                                 1129200199999 
SUBENT        11292002   19810428                             00001129200200001 
BIB                  1          1                                 1129200200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129200200003 
ENDBIB               1          0                                 1129200200004 
NOCOMMON             0          0                                 1129200200005 
DATA                 3        196                                 1129200200006 
EN         DATA       DATA-ERR                                    1129200200007 
MEV        B          PER-CENT                                    1129200200008 
 2.66   +00 3.70   +00                                            1129200400041 
 2.76   +00 4.05   +00                                            1129200400042 
 2.87   +00 4.33   +00                                            1129200400043 
 2.97   +00 4.05   +00                                            1129200400044 
 3.09   +00 4.15   +00                                            1129200400045 
 3.19   +00 3.75   +00                                            1129200400046 
 3.19   +00 3.65   +00                                            1129200400047 
 3.31   +00 4.40   +00                                            1129200400048 
 3.31   +00 4.00   +00                                            1129200400049 
ENDDATA             43          0                                 1129200400050 
ENDSUBENT           49          0                                 1129200499999 
SUBENT        11292005   19810428                             00001129200500001 
BIB                  1          1                                 1129200500002 
REACTION   (48-CD-0(N,TOT),,SIG)                                  1129200500003 
ENDBIB               1          0                                 1129200500004 
NOCOMMON             0          0                                 1129200500005 
DATA                 2         32                                 1129200500006 
EN         DATA                                                   1129200500007 
MEV        B                                                      1129200500008 
 3.40   -01 7.00   +00                                            1129200500009 
 4.30   -01 7.23   +00                                            1129200500010 
 5.10   -01 6.80   +00                                            1129200500011 
 5.90   -01 6.85   +00                                            1129200500012 
 6.70   -01 6.75   +00                                            1129200500013 
 7.60   -01 6.80   +00                                            1129200500014 
 8.50   -01 6.45   +00                                            1129200500015 
 9.30   -01 6.35   +00                                            1129200500016 
 1.020  +00 6.65   +00                                            1129200500017 
 1.110  +00 6.35   +00                                            1129200500018 
 1.190  +00 6.15   +00                                            1129200500019 
 1.285  +00 6.40   +00                                            1129200500020 
 1.370  +00 5.85   +00                                            1129200500021 
 1.470  +00 6.15   +00                                            1129200500022 
 1.570  +00 5.75   +00                                            1129200500023 
 1.670  +00 5.75   +00                                            1129200500024 
 1.740  +00 5.45   +00                                            1129200500025 
 1.850  +00 5.35   +00                                            1129200500026 
 1.950  +00 5.25   +00                                            1129200500027 
 2.050  +00 5.35   +00                                            1129200500028 
 2.150  +00 5.15   +00                                            1129200500029 
 2.260  +00 5.33   +00                                            1129200500030 
 2.350  +00 5.05   +00                                            1129200500031 
 2.450  +00 4.75   +00                                            1129200500032 
 2.560  +00 5.00   +00                                            1129200500033 
 2.660  +00 4.75   +00                                            1129200500034 
 2.770  +00 4.25   +00                                            1129200500035 
 2.870  +00 4.20   +00                                            1129200500036 
 2.970  +00 4.35   +00                                            1129200500037 
 3.090  +00 4.25   +00                                            1129200500038 
 3.190  +00 4.45   +00                                            1129200500039 
 3.310  +00 4.25   +00                                            1129200500040 
ENDDATA             34          0                                 1129200500041 
ENDSUBENT           40          0                                 1129200599999 
SUBENT        11292006   19810428                             00001129200600001 
BIB                  1          1                                 1129200600002 
REACTION   (80-HG-0(N,TOT),,SIG)                                  1129200600003 
ENDBIB               1          0                                 1129200600004 
NOCOMMON             0          0                                 1129200600005 
DATA                 2         33                                 1129200600006 
EN         DATA                                                   1129200600007 
MEV        B                                                      1129200600008 
 3.40   -01 7.55   +00                                            1129200600009 
 4.50   -01 7.30   +00                                            1129200600010 
 5.00   -01 7.05   +00                                            1129200600011 
 5.40   -01 6.18   +00                                            1129200600012 
 6.60   -01 6.20   +00                                            1129200600013 
 7.50   -01 5.70   +00                                            1129200600014 
 8.40   -01 5.35   +00                                            1129200600015 
 9.30   -01 5.30   +00                                            1129200600016 
 1.02   +00 5.90   +00                                            1129200600017 
 1.11   +00 5.45   +00                                            1129200600018 
 1.20   +00 5.25   +00                                            1129200600019 
 1.28   +00 5.45   +00                                            1129200600020 
 1.37   +00 5.90   +00                                            1129200600021 
 1.47   +00 6.35   +00                                            1129200600022 
 1.56   +00 6.25   +00                                            1129200600023 
 1.66   +00 6.18   +00                                            1129200600024 
 1.75   +00 5.45   +00                                            1129200600025 
 1.85   +00 6.90   +00                                            1129200600026 
 1.96   +00 6.50   +00                                            1129200600027 
 2.05   +00 6.65   +00                                            1129200600028 
 2.15   +00 6.70   +00                                            1129200600029 
 2.25   +00 6.70   +00                                            1129200600030 
 2.35   +00 7.20   +00                                            1129200600031 
 2.45   +00 7.05   +00                                            1129200600032 
 2.55   +00 6.75   +00                                            1129200600033 
 2.65   +00 6.75   +00                                            1129200600034 
 2.75   +00 7.05   +00                                            1129200600035 
 2.88   +00 7.35   +00                                            1129200600036 
 2.98   +00 6.50   +00                                            1129200600037 
 3.09   +00 6.90   +00                                            1129200600038 
 3.20   +00 7.20   +00                                            1129200600039 
 3.31   +00 7.05   +00                                            1129200600040 
 3.42   +00 7.15   +00                                            1129200600041 
ENDDATA             35          0                                 1129200600042 
ENDSUBENT           41          0                                 1129200699999 
ENDENTRY             6          0                                 1129299999999 
