ENTRY            10174   20101018                             13671017400000001 
SUBENT        10174001   20101018                             13671017400100001 
BIB                 12         20                                 1017400100002 
INSTITUTE  (1USAKTY)                                              1017400100003 
REFERENCE  (J,PR/C,5,1508,197205)                                 1017400100004 
AUTHOR     (W.Galati,J.D.Brandberger,J.L.Weil)                    1017400100005 
TITLE      Scattering of Neutrons by Carbon from 3 to 7 MeV.      1017400100006 
FACILITY   (VDG,1USAKTY) Van-de-Graaff.                           1017400100007 
INC-SOURCE (P-T) T(p,n) source for neutrons from 3.0-5.5 MeV.     1017400100008 
           (D-D) D(d,n) source for neutrons from 5.5-7.0 MeV.     1017400100009 
METHOD     (TOF) Time-of-flight.                                  1017400100010 
DETECTOR   (SCIN)  Organic liquid scintillator.                   1017400100011 
MONITOR    (1-H-1(N,TOT),,SIG)                                    1017400100012 
ERR-ANALYS (ANG-ERR) Estimated uncertainty in scattering angle.   1017400100013 
STATUS     (TABLE) Tabulated data received, W.Galati, May 1971.   1017400100014 
HISTORY    (19710715C)                                            1017400100015 
           (19730509A) ANG-ERR changed to ANG-RSL                 1017400100016 
           (19750702U) Reference changed                          1017400100017 
           (19760205U) Reference corrected                        1017400100018 
           (19820915A) Converted to REACTION formalism            1017400100019 
           (20001214A) Converted to new date formats, lower case. 1017400100020 
           (20101018A) VM. BIB updates. Angle error heading       1017400100021 
                       corrected. Subentry 002 updated.           1017400100022 
ENDBIB              20          0                                 1017400100023 
COMMON               3          3                                 1017400100024 
EN-RSL     ANG-ERR    MONIT-ERR                                   1017400100025 
MEV        ADEG       PER-CENT                                    1017400100026 
0.01       0.5          1.                                        1017400100027 
ENDCOMMON            3          0                                 1017400100028 
ENDSUBENT           27          0                                 1017400199999 
SUBENT        10174002   20101018                             13671017400200001 
BIB                  3          8                                 1017400200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1017400200003 
ERR-ANALYS (ERR-SYS) Systematic uncertainty..                     1017400200004 
           (ERR-T)   Absolute error. RMS standard deviation.      1017400200005 
            See reference text for a complete discussion of       1017400200006 
            uncertainties.                                        1017400200007 
HISTORY    (19750407A) Reaction corrected. Subentries 2-33        1017400200008 
                       combined.                                  1017400200009 
           (20001214A) Reaction SF4 added.                        1017400200010 
ENDBIB               8          0                                 1017400200011 
NOCOMMON             0          0                                 1017400200012 
DATA                 6        476                                 1017400200013 
EN         EN-RSL     ANG-CM     DATA-CM    ERR-SYS    ERR-T      1017400200014 
 3.460      0.080      64.2      109.9       5.          7.1      1017400200054 
 3.460      0.080      74.5       42.3       5.          3.7      1017400200055 
 3.460      0.080      84.7        8.2       5.          0.8      1017400200056 
 3.460      0.080      94.8        5.2       5.          0.9      1017400200057 
 3.460      0.080     104.7       45.5       5.          3.3      1017400200058 
 3.460      0.080     114.5      116.0       5.          8.2      1017400200059 
 3.460      0.080     124.2      211.2       5.         13.0      1017400200060 
 3.460      0.080     133.7      301.3       5.         19.4      1017400200061 
 3.460      0.080     143.1      393.6       5.         24.2      1017400200062 
 3.460      0.080     152.4      477.0       5.         29.3      1017400200063 
 3.670      0.075      16.3      717.1       5.         46.3      1017400200064 
 3.670      0.075      21.6      575.4       5.         36.2      1017400200065 
 3.670      0.075      32.4      436.8       5.         26.8      1017400200066 
 3.670      0.075      43.1      318.5       5.         19.3      1017400200067 
 3.670      0.075      53.7      191.7       5.         11.8      1017400200068 
 3.670      0.075      64.2      102.3       5.          6.6      1017400200069 
 3.670      0.075      74.5       43.0       5.          3.1      1017400200070 
 3.670      0.075      84.7       21.7       5.          2.5      1017400200071 
 3.670      0.075      94.8       32.0       5.          2.8      1017400200072 
 3.670      0.075     104.7       66.3       5.          4.7      1017400200073 
 3.670      0.075     114.5      115.2       5.          7.3      1017400200074 
 3.670      0.075     124.2      180.2       5.         11.0      1017400200075 
 3.670      0.075     133.7      272.0       5.         16.9      1017400200076 
 3.670      0.075     143.1      337.5       5.         20.6      1017400200077 
 3.670      0.075     152.4      426.5       5.         27.5      1017400200078 
 3.670      0.075     157.0      454.9       5.         29.2      1017400200079 
 3.860      0.075      16.3      526.2       5.         33.7      1017400200080 
 3.860      0.075      21.6      502.4       5.         32.2      1017400200081 
 3.860      0.075      32.4      392.2       5.         25.5      1017400200082 
 3.860      0.075      43.1      253.0       5.         16.5      1017400200083 
 3.860      0.075      53.7      147.8       5.          9.5      1017400200084 
 3.860      0.075      64.2       81.2       5.          5.8      1017400200085 
 3.860      0.075      74.5       51.5       5.         3.6       1017400200086 
 3.860      0.075      84.7       43.6       5.         3.1       1017400200087 
 3.860      0.075      94.8       54.9       5.         4.0       1017400200088 
 3.860      0.075     104.7       81.8       5.         5.3       1017400200089 
 3.860      0.075     114.5      116.0       5.         7.2       1017400200090 
 3.860      0.075     124.2      162.6       5.        10.0       1017400200091 
 3.860      0.075     133.7      203.5       5.        14.6       1017400200092 
 3.860      0.075     143.1      263.5       5.        16.3       1017400200093 
 3.860      0.075     152.4      324.2       5.        23.0       1017400200094 
 3.860      0.075     157.0      350.7       5.        25.3       1017400200095 
 4.075      0.075      16.3      436.9       5.        26.6       1017400200096 
 4.075      0.075      21.6      379.8       5.        22.7       1017400200097 
 4.075      0.075      32.4      284.2       5.        17.1       1017400200098 
 4.075      0.075      43.1      185.4       5.        11.4       1017400200099 
 4.075      0.075      53.7      108.1       5.         6.6       1017400200100 
 4.075      0.075      64.2       70.8       5.         4.3       1017400200101 
 4.075      0.075      74.5       57.1       5.         3.5       1017400200102 
 4.075      0.075      84.7       59.4       5.         3.6       1017400200103 
 4.075      0.075      94.8       71.9       5.         4.4       1017400200104 
 4.075      0.075     104.7       90.0       5.         5.5       1017400200105 
 4.075      0.075     114.5      109.4       5.         6.7       1017400200106 
 4.075      0.075     124.2      141.5       5.         8.5       1017400200107 
 4.075      0.075     133.7      175.6       5.        10.5       1017400200108 
 4.075      0.075     143.1      217.0       5.        13.3       1017400200109 
 4.075      0.075     152.4      261.9       5.        15.7       1017400200110 
 4.075      0.075     157.0      274.9       5.        16.7       1017400200111 
 4.150      0.070      16.3      386.0       5.        24.7       1017400200112 
 4.150      0.070      21.6      363.1       5.        23.2       1017400200113 
 4.150      0.070      27.0      332.2       5.        21.5       1017400200114 
 4.150      0.070      32.4      260.3       5.        17.0       1017400200115 
 4.150      0.070      43.1      192.3       5.        12.6       1017400200116 
 4.150      0.070      53.7      122.8       5.         7.6       1017400200117 
 4.150      0.070      64.2       92.4       5.         6.0       1017400200118 
 4.150      0.070      74.5       80.9       5.         5.2       1017400200119 
 4.150      0.070      84.7       85.9       5.         5.6       1017400200120 
 4.150      0.070      94.8       84.3       5.         5.6       1017400200121 
 4.150      0.070     104.7      100.6       5.         6.5       1017400200122 
 4.150      0.070     114.5      104.3       5.         6.7       1017400200123 
 4.150      0.070     124.2      125.1       5.         8.0       1017400200124 
 4.150      0.070     133.7      148.8       5.         9.5       1017400200125 
 4.150      0.070     143.1      190.7       5.        12.3       1017400200126 
 4.150      0.070     152.4      236.1       5.        15.4       1017400200127 
 4.250      0.070      16.3      490.1       5.        34.7       1017400200128 
 4.250      0.070      21.6      474.7       5.        34.2       1017400200129 
 4.250      0.070      27.0      433.6       5.        30.8       1017400200130 
 4.250      0.070      32.4      390.4       5.        28.0       1017400200131 
 4.250      0.070      43.1      310.2       5.        21.9       1017400200132 
 4.250      0.070      53.7      227.5       5.        16.4       1017400200133 
 4.250      0.070      62.4      175.5       5.        12.5       1017400200134 
 4.250      0.070      74.5      140.2       5.         9.9       1017400200135 
 4.250      0.070      84.7      126.3       5.         9.0       1017400200136 
 4.250      0.070      94.8      111.4       5.         7.9       1017400200137 
 4.250      0.070     104.7       95.7       5.         6.8       1017400200138 
 4.250      0.070     114.5       92.6       5.         6.6       1017400200139 
 4.250      0.070     124.2       75.8       5.         5.4       1017400200140 
 4.250      0.070     133.7       69.5       5.         4.9       1017400200141 
 4.250      0.070     143.1       91.8       5.         6.5       1017400200142 
 4.250      0.070     152.4      127.7       5.         9.0       1017400200143 
 4.350      0.060      16.3      643.9       5.        41.4       1017400200144 
 4.350      0.060      21.6      637.9       5.        38.2       1017400200145 
 4.350      0.060      32.4      478.8       5.        28.8       1017400200146 
 4.350      0.060      43.1      357.5       5.        21.5       1017400200147 
 4.350      0.060      53.7      232.8       5.        14.5       1017400200148 
 4.350      0.060      64.2      180.6       5.        11.6       1017400200149 
 4.350      0.060      74.5      136.9       5.         9.7       1017400200150 
 4.350      0.060      84.7      119.1       5.         9.3       1017400200151 
 4.350      0.060      94.8      105.1       5.         7.5       1017400200152 
 4.350      0.060     104.7       81.8       5.         5.9       1017400200153 
 4.350      0.060     114.5       71.8       5.         4.7       1017400200154 
 4.350      0.060     124.2       48.5       5.         3.9       1017400200155 
 4.350      0.060     133.7       43.1       5.         3.1       1017400200156 
 4.350      0.060     143.1       43.3       5.         3.5       1017400200157 
 4.350      0.060     157.0       56.3       5.         4.9       1017400200158 
 4.450      0.065      16.3      535.2       5.        32.2       1017400200159 
 4.450      0.065      21.6      497.9       5.        30.1       1017400200160 
 4.450      0.065      27.0      454.2       5.        27.8       1017400200161 
 4.450      0.065      32.4      424.9       5.        25.4       1017400200162 
 4.450      0.065      43.1      298.1       5.        17.9       1017400200163 
 4.450      0.065      53.7      207.9       5.        12.5       1017400200164 
 4.450      0.065      64.2      147.9       5.         8.9       1017400200165 
 4.450      0.065      74.5      125.2       5.         7.4       1017400200166 
 4.450      0.065      84.7      106.0       5.         6.8       1017400200167 
 4.450      0.065      94.8       97.8       5.         6.2       1017400200168 
 4.450      0.065     104.7       97.0       5.         5.9       1017400200169 
 4.450      0.065     114.5       84.3       5.         5.2       1017400200170 
 4.450      0.065     124.2       67.7       5.         4.1       1017400200171 
 4.450      0.065     133.7       59.4       5.         3.6       1017400200172 
 4.450      0.065     143.1       56.5       5.         3.5       1017400200173 
 4.450      0.065     152.4       61.9       5.         3.7       1017400200174 
 4.550      0.065      16.3      496.8       5.        30.1       1017400200175 
 4.550      0.065      21.6      474.3       5.        28.6       1017400200176 
 4.550      0.065      32.4      335.9       5.        20.6       1017400200177 
 4.550      0.065      43.1      249.5       5.        15.1       1017400200178 
 4.550      0.065      53.7      163.8       5.         9.9       1017400200179 
 4.550      0.065      64.2      120.3       5.         7.8       1017400200180 
 4.550      0.065      74.5       90.4       5.         5.8       1017400200181 
 4.550      0.065      84.7       96.6       5.         6.3       1017400200182 
 4.550      0.065      94.8       94.9       5.         5.7       1017400200183 
 4.550      0.065     104.7       92.5       5.         5.5       1017400200184 
 4.550      0.065     114.5       83.7       5.         5.1       1017400200185 
 4.550      0.065     124.2       69.6       5.         4.3       1017400200186 
 4.550      0.065     133.7       65.8       5.         4.2       1017400200187 
 4.550      0.065     143.1       55.6       5.         4.0       1017400200188 
 4.550      0.065     152.4       62.0       5.         4.9       1017400200189 
 4.550      0.065     157.0       66.3       5.         5.3       1017400200190 
 4.640      0.065      16.3      435.2       5.        27.0       1017400200191 
 4.640      0.065      21.6      400.4       5.        25.0       1017400200192 
 4.640      0.065      27.0      342.6       5.        21.5       1017400200193 
 4.640      0.065      32.4      327.2       5.        20.3       1017400200194 
 4.640      0.065      37.8      259.0       5.        15.8       1017400200195 
 4.640      0.065      43.1      217.8       5.        13.5       1017400200196 
 4.640      0.065      53.7      163.3       5.        10.1       1017400200197 
 4.640      0.065      64.2      104.2       5.         6.6       1017400200198 
 4.640      0.065      74.5       84.5       5.         5.3       1017400200199 
 4.640      0.065      84.7       90.4       5.         5.6       1017400200200 
 4.640      0.065      94.8       97.0       5.         5.9       1017400200201 
 4.640      0.065     104.7       90.6       5.         5.5       1017400200202 
 4.640      0.065     114.5       93.4       5.         5.8       1017400200203 
 4.640      0.065     124.2       74.8       5.         4.6       1017400200204 
 4.640      0.065     133.7       61.9       5.         4.0       1017400200205 
 4.640      0.065     143.1       64.4       5.         5.1       1017400200206 
 4.640      0.065     152.4       54.3       5.         4.8       1017400200207 
 4.730      0.080      16.3      339.3       5.        26.2       1017400200208 
 4.730      0.080      21.6      329.2       5.        25.1       1017400200209 
 4.730      0.080      32.4      275.1       5.        18.9       1017400200210 
 4.730      0.080      43.1      199.9       5.        13.2       1017400200211 
 4.730      0.080      53.7      120.5       5.         8.0       1017400200212 
 4.730      0.080      64.2       93.7       5.         6.4       1017400200213 
 4.730      0.080      74.5       75.2       5.         5.1       1017400200214 
 4.730      0.080      84.7       78.7       5.         5.3       1017400200215 
 4.730      0.080      94.8       76.9       5.         4.9       1017400200216 
 4.730      0.080     104.7       80.4       5.         4.8       1017400200217 
 4.730      0.080     114.5       74.8       5.         4.6       1017400200218 
 4.730      0.080     124.2       65.3       5.         4.0       1017400200219 
 4.730      0.080     133.7       54.6       5.         3.6       1017400200220 
 4.730      0.080     143.1       51.6       5.         3.5       1017400200221 
 4.730      0.080     152.4       51.7       5.         3.5       1017400200222 
 4.910      0.037      16.3      312.7       5.        20.3       1017400200223 
 4.910      0.037      21.6      301.0       5.        18.6       1017400200224 
 4.910      0.037      32.4      238.8       5.        15.6       1017400200225 
 4.910      0.037      43.1      162.9       5.         9.8       1017400200226 
 4.910      0.037      53.7      115.2       5.         7.2       1017400200227 
 4.910      0.037      64.2       81.5       5.         6.0       1017400200228 
 4.910      0.037      74.5       71.8       5.         4.7       1017400200229 
 4.910      0.037      84.7       73.7       5.         5.1       1017400200230 
 4.910      0.037      94.8       85.0       5.         5.3       1017400200231 
 4.910      0.037     104.7       88.5       5.         5.5       1017400200232 
 4.910      0.037     114.5       79.9       5.         5.0       1017400200233 
 4.910      0.037     124.2       66.0       5.         4.5       1017400200234 
 4.910      0.037     133.7       56.4       5.         3.6       1017400200235 
 4.910      0.037     143.1       51.3       5.         3.3       1017400200236 
 4.910      0.037     152.4       56.0       5.         3.6       1017400200237 
 4.933      0.035      21.6      321.3       5.        23.4       1017400200238 
 4.933      0.035      32.4      219.1       5.        19.4       1017400200239 
 4.933      0.035      43.1      155.2       5.        13.5       1017400200240 
 4.933      0.035      53.7      108.8       5.         9.7       1017400200241 
 4.933      0.035      64.2       87.9       5.         9.1       1017400200242 
 4.933      0.035      74.5       73.5       5.         7.9       1017400200243 
 4.933      0.035      84.7       76.7       5.         7.8       1017400200244 
 4.933      0.035      94.8       88.0       5.         8.7       1017400200245 
 4.933      0.035     104.7       93.4       5.         9.7       1017400200246 
 4.933      0.035     114.5       87.5       5.         9.0       1017400200247 
 4.933      0.035     124.2       80.9       5.         8.6       1017400200248 
 4.933      0.035     133.7       67.4       5.         7.3       1017400200249 
 4.933      0.035     143.1       59.4       5.         6.4       1017400200250 
 4.933      0.035     152.4       59.3       5.         6.3       1017400200251 
 5.050      0.070      16.3      260.9       5.        22.2       1017400200252 
 5.050      0.070      21.6      266.4       5.        20.1       1017400200253 
 5.050      0.070      32.4      198.6       5.        14.8       1017400200254 
 5.050      0.070      43.1      152.7       5.        10.3       1017400200255 
 5.050      0.070      53.7      105.7       5.         7.4       1017400200256 
 5.050      0.070      64.2       77.1       5.         5.4       1017400200257 
 5.050      0.070      74.5       63.8       5.         4.5       1017400200258 
 5.050      0.070      84.7       70.7       5.         4.5       1017400200259 
 5.050      0.070      94.8       76.9       5.         5.5       1017400200260 
 5.050      0.070     104.7       82.7       5.         4.9       1017400200261 
 5.050      0.070     114.5       79.6       5.         5.1       1017400200262 
 5.050      0.070     124.2       68.9       5.         4.4       1017400200263 
 5.050      0.070     133.7       59.4       5.         4.0       1017400200264 
 5.050      0.070     143.1       48.7       5.         3.3       1017400200265 
 5.050      0.070     152.4       52.2       5.         3.4       1017400200266 
 5.150      0.070      16.3      282.4       5.        21.3       1017400200267 
 5.150      0.070      21.6      246.2       5.        17.2       1017400200268 
 5.150      0.070      32.4      218.5       5.        14.8       1017400200269 
 5.150      0.070      43.1      143.8       5.         9.1       1017400200270 
 5.150      0.070      53.7      100.7       5.         6.4       1017400200271 
 5.150      0.070      64.2       69.9       5.         4.6       1017400200272 
 5.150      0.070      74.5       63.3       5.         4.2       1017400200273 
 5.150      0.070      84.7       68.3       5.         4.5       1017400200274 
 5.150      0.070      94.8       77.8       5.         4.9       1017400200275 
 5.150      0.070     104.7       82.0       5.         5.1       1017400200276 
 5.150      0.070     114.5       76.4       5.         4.9       1017400200277 
 5.150      0.070     124.2       67.4       5.         4.3       1017400200278 
 5.150      0.070     133.7       59.2       5.         3.9       1017400200279 
 5.150      0.070     143.1       49.5       5.         3.3       1017400200280 
 5.150      0.070     152.4       49.3       5.         3.3       1017400200281 
 5.324      0.037      16.3      168.4       6.        14.9       1017400200282 
 5.324      0.037      21.6      170.4       6.        14.3       1017400200283 
 5.324      0.037      32.4      142.5       6.        11.4       1017400200284 
 5.324      0.037      43.1      103.1       6.         7.5       1017400200285 
 5.324      0.037      53.7       81.0       6.         6.0       1017400200286 
 5.324      0.037      64.2       75.8       6.         5.5       1017400200287 
 5.324      0.037      74.5       67.1       6.         5.0       1017400200288 
 5.324      0.037      84.7       62.2       6.         4.5       1017400200289 
 5.324      0.037      94.8       62.9       6.         4.5       1017400200290 
 5.324      0.037     104.7       57.5       6.         4.1       1017400200291 
 5.324      0.037     114.5       53.7       6.         4.0       1017400200292 
 5.324      0.037     124.2       38.7       6.         3.1       1017400200293 
 5.324      0.037     133.7       31.7       6.         2.8       1017400200294 
 5.324      0.037     143.1       28.9       6.         2.6       1017400200295 
 5.324      0.037     150.8       40.1       6.         3.1       1017400200296 
 5.324      0.037     154.4       51.1       6.         4.7       1017400200297 
 5.348      0.037      21.6      207.5       6.        17.3       1017400200298 
 5.348      0.037      32.4      178.7       6.        15.4       1017400200299 
 5.348      0.037      43.1      137.8       6.        10.8       1017400200300 
 5.348      0.037      53.7      106.2       6.         7.6       1017400200301 
 5.348      0.037      64.2       90.1       6.         6.7       1017400200302 
 5.348      0.037      74.5       83.5       6.         6.1       1017400200303 
 5.348      0.037      84.7       79.7       6.         5.7       1017400200304 
 5.348      0.037      94.8       75.6       6.         5.4       1017400200305 
 5.348      0.037     104.7       62.4       6.         4.7       1017400200306 
 5.348      0.037     114.5       52.5       6.         3.8       1017400200307 
 5.348      0.037     124.2       38.2       6.         2.6       1017400200308 
 5.348      0.037     133.7       30.4       6.         2.4       1017400200309 
 5.348      0.037     143.1       37.2       6.         2.8       1017400200310 
 5.348      0.037     152.4       52.6       6.         3.7       1017400200311 
 5.361      0.037      21.6      351.1       6.        30.5       1017400200312 
 5.361      0.037      32.4      311.4       6.        25.9       1017400200313 
 5.361      0.037      43.1      215.8       6.        17.0       1017400200314 
 5.361      0.037      53.7      153.4       6.        11.3       1017400200315 
 5.361      0.037      64.2      104.1       6.         8.1       1017400200316 
 5.361      0.037      74.5       86.5       6.         6.6       1017400200317 
 5.361      0.037      84.7       78.3       6.         6.0       1017400200318 
 5.361      0.037      94.8       75.8       6.         5.6       1017400200319 
 5.361      0.037     104.7       69.4       6.         5.0       1017400200320 
 5.361      0.037     114.5       63.2       6.         4.6       1017400200321 
 5.361      0.037     124.2       51.8       6.         3.9       1017400200322 
 5.361      0.037     133.7       41.4       6.         3.4       1017400200323 
 5.361      0.037     143.1       39.2       6.         3.2       1017400200324 
 5.361      0.037     152.4       44.3       6.         3.8       1017400200325 
 5.377      0.037      16.3      378.4       6.        30.3       1017400200326 
 5.377      0.037      21.6      374.7       6.        28.8       1017400200327 
 5.377      0.037      32.4      303.1       6.        21.8       1017400200328 
 5.377      0.037      43.1      218.6       6.        15.6       1017400200329 
 5.377      0.037      53.7      125.8       6.         9.2       1017400200330 
 5.377      0.037      64.2       88.9       6.         6.7       1017400200331 
 5.377      0.037      74.5       60.5       6.         4.6       1017400200332 
 5.377      0.037      84.7       61.9       6.         4.6       1017400200333 
 5.377      0.037      94.8       70.3       6.         5.0       1017400200334 
 5.377      0.037     104.7       81.2       6.         5.6       1017400200335 
 5.377      0.037     114.5       78.8       6.         5.6       1017400200336 
 5.377      0.037     124.2       73.6       6.         5.1       1017400200337 
 5.377      0.037     133.7       57.9       6.         4.2       1017400200338 
 5.377      0.037     143.1       47.7       6.         3.2       1017400200339 
 5.377      0.037     152.4       39.8       6.         3.1       1017400200340 
 5.470      0.040      21.6      208.5       6.        17.1       1017400200341 
 5.470      0.040      32.4      189.8       6.        14.3       1017400200342 
 5.470      0.040      43.1      119.3       6.         9.0       1017400200343 
 5.470      0.040      53.7       73.4       6.         5.3       1017400200344 
 5.470      0.040      64.2       49.8       6.         4.4       1017400200345 
 5.470      0.040      74.5       36.5       6.         2.8       1017400200346 
 5.470      0.040      84.7       47.5       6.         3.7       1017400200347 
 5.470      0.040      94.8       58.0       6.         4.1       1017400200348 
 5.470      0.040     104.7       70.5       6.         4.9       1017400200349 
 5.470      0.040     114.5       77.0       6.         5.3       1017400200350 
 5.470      0.040     124.2       66.7       6.         4.9       1017400200351 
 5.470      0.040     133.7       52.3       6.         3.7       1017400200352 
 5.470      0.040     143.1       46.1       6.         3.6       1017400200353 
 5.470      0.040     152.4       38.7       6.         3.1       1017400200354 
 5.570      0.165      21.6      272.4       6.        20.9       1017400200355 
 5.570      0.165      32.4      227.4       6.        18.8       1017400200356 
 5.570      0.165      43.1      151.0       6.        11.0       1017400200357 
 5.570      0.165      53.7       97.6       6.         7.3       1017400200358 
 5.570      0.165      64.2       57.9       6.         4.7       1017400200359 
 5.570      0.165      74.5       42.9       6.         3.6       1017400200360 
 5.570      0.165      84.7       50.1       6.         3.6       1017400200361 
 5.570      0.165      94.8       63.4       6.         4.8       1017400200362 
 5.570      0.165     104.7       77.4       6.         5.5       1017400200363 
 5.570      0.165     114.5       76.8       6.         5.5       1017400200364 
 5.570      0.165     124.2       72.6       6.         5.3       1017400200365 
 5.570      0.165     133.7       65.5       6.         4.8       1017400200366 
 5.570      0.165     143.1       49.2       6.         3.7       1017400200367 
 5.570      0.165     152.4       41.5       6.         3.2       1017400200368 
 5.780      0.155      21.6      228.6       6.        20.6       1017400200369 
 5.780      0.155      32.4      163.1       6.        14.0       1017400200370 
 5.780      0.155      43.1      116.8       6.         9.2       1017400200371 
 5.780      0.155      53.7       71.7       6.         5.6       1017400200372 
 5.780      0.155      64.2       44.8       6.         3.8       1017400200373 
 5.780      0.155      74.5       31.8       6.         2.8       1017400200374 
 5.780      0.155      84.7       37.8       6.         3.0       1017400200375 
 5.780      0.155      94.8       52.4       6.         4.0       1017400200376 
 5.780      0.155     104.7       60.9       6.         4.2       1017400200377 
 5.780      0.155     114.5       67.0       6.         4.7       1017400200378 
 5.780      0.155     124.2       64.2       6.         4.5       1017400200379 
 5.780      0.155     133.7       50.3       6.         3.6       1017400200380 
 5.780      0.155     143.1       43.1       6.         3.0       1017400200381 
 5.780      0.155     152.4       37.7       6.         2.7       1017400200382 
 6.000      0.145      21.6      186.1       6.        16.8       1017400200383 
 6.000      0.145      32.4      156.7       6.        13.0       1017400200384 
 6.000      0.145      43.1      113.0       6.         8.4       1017400200385 
