ENTRY            10111   20000202                             00001011100000001 
SUBENT        10111001   20000202                             00001011100100001 
BIB                 13         31                                 1011100100002 
INSTITUTE  (1USAORL)                                              1011100100003 
REFERENCE  (R,ORNL-4515,197006)                                   1011100100004 
AUTHOR     (W.E.KINNEY,F.G.PEREY)                                 1011100100005 
TITLE      Neutron elastic- and inelastic-scattering cross        1011100100006 
           sections for 56Fe in the energy range 4.19 to 8.56 MeV 1011100100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1011100100008 
            bunched.                                              1011100100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1011100100010 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1011100100011 
            60 to 340 keV.                                        1011100100012 
SAMPLE     Solid right circular cylinder 2.54 cm diameter,        1011100100013 
            2 cm high placed 10 to 30 cm from gas cell.           1011100100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1011100100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1011100100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1011100100017 
            4 to 6 meters employed.                               1011100100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1011100100019 
            relative to n-p cross section.                        1011100100020 
CORRECTION  Corrected for multiple scattering and other finite    1011100100021 
            sample size effects.                                  1011100100022 
STATUS     (APRVD) Approved by authors.                           1011100100023 
           Data rec'd in private comm., Kinney, September 1971.   1011100100024 
HISTORY    (19711009R)  Received on tape in CSISRS format         1011100100025 
           (19750421A) ISO-QUANT corrected on subentries 141-145, 1011100100026 
            147-151.                                              1011100100027 
           (19800807A) Converted to REACTION formalism. BIB       1011100100028 
            correction.                                           1011100100029 
           (19840418A) BIB corrections.                           1011100100030 
           (19860407A) Data heading, BIB corrections.             1011100100031 
           (20000202A) Converted to new date format, lower case.  1011100100032 
                       BIB corrections.                           1011100100033 
ENDBIB              31          0                                 1011100100034 
NOCOMMON             0          0                                 1011100100035 
ENDSUBENT           34          0                                 1011100199999 
SUBENT        10111002   20000202                             00001011100200001 
BIB                  3         13                                 1011100200002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011100200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011100200004 
            . geometric parameters,                               1011100200005 
            . finite size corrections,                            1011100200006 
            . statistics,                                         1011100200007 
            . residual background effects due to peak stripping   1011100200008 
              procedures.                                         1011100200009 
            Does not include absolute error of + or - 7%,         1011100200010 
             estimated error in the absolute value of the         1011100200011 
             detector efficiency.                                 1011100200012 
HISTORY    (19800807A) SUBENTRIES 2,6,13,20,29,38,46,55,57,67,76, 1011100200013 
            86,96,107,117,127, AND 131 COMBINED.                  1011100200014 
           (19840418A) DATA SORTED.                               1011100200015 
ENDBIB              13          0                                 1011100200016 
COMMON               1          3                                 1011100200017 
E-LVL                                                             1011100200018 
MEV                                                               1011100200019 
  0.846                                                           1011100200020 
ENDCOMMON            3          0                                 1011100200021 
DATA                 6        169                                 1011100200022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011100200023 
  5.44     0.17         38.18         26.78    35.8       17.4    1011100200073 
  5.44     0.17         42.75         29.22    11.8       10.4    1011100200074 
  5.44     0.17         43.76         24.32    20.9       15.4    1011100200075 
  5.44     0.17         48.33         23.40     9.1       11.1    1011100200076 
  5.44     0.17         53.89         21.29     8.4        8.9    1011100200077 
  5.44     0.17         61.36         18.56    10.2        8.5    1011100200078 
  5.44     0.17         73.07         15.01     7.4       10.1    1011100200079 
  5.44     0.17         78.60         15.89     8.8        8.4    1011100200080 
  5.44     0.17         84.11         15.41    10.6        8.7    1011100200081 
  5.44     0.17         89.12         15.03     7.9        9.8    1011100200082 
  5.44     0.17         94.61         14.84     9.7       11.0    1011100200083 
  5.44     0.17        100.11         15.66    10.3       12.4    1011100200084 
  5.44     0.17        104.09         17.03     8.2       15.4    1011100200085 
  5.44     0.17        109.56         15.57    10.8       10.7    1011100200086 
  5.44     0.17        115.02         17.91     8.1        8.2    1011100200087 
  5.50     0.05         91.12         11.30     9.1        6.1    1011100200088 
  5.56     0.04         30.56         19.35    59.4       14.8    1011100200089 
  5.56     0.04         43.76         18.18    16.1        8.0    1011100200090 
  5.56     0.04         43.76         13.29    33.8        9.3    1011100200091 
  5.56     0.04         51.87         15.32    18.8       14.0    1011100200092 
  5.56     0.04         60.97          7.50     9.3       11.9    1011100200093 
  5.56     0.04         76.08          9.13    19.8       10.0    1011100200094 
  5.56     0.04         91.12         10.97    13.5        7.0    1011100200095 
  5.56     0.04        106.08         10.71    18.6        9.2    1011100200096 
  5.56     0.04        118.99         14.20    11.6        7.5    1011100200097 
  5.56     0.04        132.83         11.78    19.9        7.2    1011100200098 
  6.00     0.13         53.38         21.44     6.8        8.7    1011100200099 
  6.00     0.13        118.98         15.07     6.2        7.7    1011100200100 
  6.13     0.04         30.56         17.73    39.6       11.5    1011100200101 
  6.13     0.04         40.71         12.03    46.7       11.8    1011100200102 
  6.13     0.04         40.72         10.18    51.2       22.2    1011100200103 
  6.13     0.04         45.79         15.11    14.6        9.7    1011100200104 
  6.13     0.04         50.85         10.36    27.5       11.8    1011100200105 
  6.13     0.04         50.85         15.88     8.2        8.3    1011100200106 
  6.13     0.04         55.91         11.13    12.6        9.5    1011100200107 
  6.13     0.04         66.01          4.62    12.9       15.2    1011100200108 
  6.13     0.04         71.04         12.49    16.9       14.8    1011100200109 
  6.13     0.04         81.09          8.77    36.7       11.7    1011100200110 
  6.13     0.04         91.11         10.35    21.8       13.5    1011100200111 
  6.13     0.04         96.11         10.53    15.1       10.5    1011100200112 
  6.13     0.04        114.72         11.30    22.2       13.1    1011100200113 
  6.44     0.13         15.28         42.89    33.7       34.9    1011100200114 
  6.44     0.13         22.92         32.42    21.0       24.2    1011100200115 
  6.44     0.13         28.01         41.13     7.9       14.2    1011100200116 
  6.44     0.13         32.59         27.44    19.7       10.9    1011100200117 
  6.44     0.13         33.09         43.24     9.7       11.2    1011100200118 
  6.44     0.13         38.18         25.82     9.8       13.2    1011100200119 
  6.44     0.13         43.75         18.75     8.8       10.0    1011100200120 
  6.44     0.13         47.81         17.47     6.4       11.4    1011100200121 
  6.44     0.13         53.38         16.23     5.9        8.0    1011100200122 
  6.44     0.13         53.38         13.67     7.7        7.3    1011100200123 
  6.44     0.13         58.94         14.94     7.1       10.4    1011100200124 
  6.44     0.13         62.98         13.05     9.5        9.7    1011100200125 
  6.44     0.13         68.52         12.43    10.2        8.4    1011100200126 
  6.44     0.13         74.06         13.78     6.8       10.8    1011100200127 
  6.44     0.13         78.08         11.70     7.9       10.0    1011100200128 
  6.44     0.13         83.60         12.13     6.8        9.7    1011100200129 
  6.44     0.13         89.10         11.47     8.2        9.6    1011100200130 
  6.44     0.13         93.10         12.46     6.9        7.4    1011100200131 
  6.44     0.13         98.59         12.95     8.2        9.1    1011100200132 
  6.44     0.13        103.08         14.01     8.2        9.7    1011100200133 
  6.44     0.13        104.08         12.48     7.3        9.4    1011100200134 
  6.44     0.13        108.55         11.72     9.3        8.1    1011100200135 
  6.44     0.13        114.02         14.02     6.8        8.8    1011100200136 
  6.44     0.13        118.98         12.47     6.4        8.1    1011100200137 
  6.44     0.13        120.46         11.55     6.8        8.8    1011100200138 
  6.44     0.13        127.88         12.06     6.7        7.7    1011100200139 
  6.44     0.13        135.29         11.30     5.9        7.2    1011100200140 
  6.53     0.03         30.55         19.80    39.0       11.4    1011100200141 
  6.53     0.03         40.71         13.40    28.1       12.4    1011100200142 
  6.53     0.03         40.71         14.68    17.5       13.8    1011100200143 
  6.53     0.03         50.85          9.04    26.7       12.4    1011100200144 
  6.53     0.03         55.91         10.46    16.0       10.3    1011100200145 
  6.53     0.03         55.91          9.72    15.6       10.5    1011100200146 
  6.53     0.03         60.96          9.60    13.9       11.0    1011100200147 
  6.53     0.03         71.04          8.00    30.4       11.2    1011100200148 
  6.53     0.03         81.09          6.67    18.1       12.5    1011100200149 
  6.53     0.03         86.10          8.59    13.4       14.4    1011100200150 
  6.53     0.03         94.10          8.30    24.1       15.5    1011100200151 
  6.53     0.03        101.09          7.66    20.9       10.1    1011100200152 
  6.53     0.03        108.06          8.89    14.3       13.6    1011100200153 
  6.53     0.03        111.04          7.98    16.4        9.2    1011100200154 
  6.53     0.03        115.01          7.39    15.1       12.1    1011100200155 
  7.54     0.04         15.28         65.20    21.5       23.8    1011100200156 
  7.54     0.04         22.92         29.12    24.8       22.5    1011100200157 
  7.54     0.04         25.46         17.08    78.1        8.6    1011100200158 
  7.54     0.04         30.55         16.74    35.3       20.1    1011100200159 
  7.54     0.04         35.63         15.10    30.6        9.1    1011100200160 
  7.54     0.04         40.70         14.49    33.9       13.2    1011100200161 
  7.54     0.04         40.70         11.38    16.3       14.6    1011100200162 
  7.54     0.04         45.77          8.68    21.0        9.8    1011100200163 
  7.54     0.04         50.84          7.80    16.9       11.7    1011100200164 
  7.54     0.04         55.89          9.55    12.0       11.6    1011100200165 
  7.54     0.04         60.94          7.71     7.6        8.9    1011100200166 
  7.54     0.04         65.99          7.42     8.9       12.6    1011100200167 
  7.54     0.04         71.02          7.63     7.9       12.3    1011100200168 
  7.54     0.04         84.08          7.29    19.7       11.8    1011100200169 
  7.54     0.04         91.09          6.66    10.1       15.8    1011100200170 
  7.54     0.04        101.08          5.11    13.7       16.8    1011100200171 
  7.54     0.04        108.04          6.66    10.4        8.4    1011100200172 
  7.54     0.04        115.00          5.80    14.8        9.6    1011100200173 
  7.54     0.04        120.45          8.49     7.7       10.4    1011100200174 
  7.54     0.04        127.87          8.80     7.4        7.3    1011100200175 
  7.54     0.04        135.28          7.11    11.7        8.3    1011100200176 
  7.60     0.10         53.37          8.08     5.7        8.6    1011100200177 
  7.60     0.10        118.97          7.23     7.5        8.9    1011100200178 
  8.56     0.08         30.54          9.65    64.5       31.6    1011100200179 
  8.56     0.08         35.62         19.61    14.7       21.1    1011100200180 
  8.56     0.08         40.70         18.24    16.3       16.0    1011100200181 
  8.56     0.08         50.83          9.48    14.8       29.2    1011100200182 
  8.56     0.08         55.89          8.10     7.8       12.7    1011100200183 
  8.56     0.08         60.94          7.73    12.0       10.8    1011100200184 
  8.56     0.08         65.98          6.68    17.1       14.3    1011100200185 
  8.56     0.08         71.02          7.82    12.9       11.9    1011100200186 
  8.56     0.08         81.07          6.87    13.9       11.5    1011100200187 
  8.56     0.08         91.08          6.24    11.7       11.1    1011100200188 
  8.56     0.08        101.07          6.14    15.7       11.6    1011100200189 
  8.56     0.08        115.29          6.18    11.4       14.5    1011100200190 
  8.56     0.08        120.44          7.86     6.6       11.9    1011100200191 
  8.56     0.08        127.87          6.53    10.2        9.7    1011100200192 
  8.56     0.08        135.27          7.83     7.8        8.1    1011100200193 
ENDDATA            171          0                                 1011100200194 
ENDSUBENT          193          0                                 1011100299999 
SUBENT        10111003   20000202                             00001011100300001 
BIB                  3         14                                 1011100300002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011100300003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011100300004 
            . geometric parameters,                               1011100300005 
            . finite size corrections,                            1011100300006 
            . statistics,                                         1011100300007 
            . residual background effects due to peak stripping   1011100300008 
              procedures.                                         1011100300009 
            Does not include absolute error of + or - 7%,         1011100300010 
             estimated error in the absolute value of the         1011100300011 
             detector efficiency.                                 1011100300012 
HISTORY    (19800807A)                                            1011100300013 
             SUBENTRIES 3,7,15,21,30,39,47,56,58,68,77,87,        1011100300014 
            97,108,118,128, AND 132 COMBINED.                     1011100300015 
           (19840418A) DATA SORTED.                               1011100300016 
ENDBIB              14          0                                 1011100300017 
COMMON               1          3                                 1011100300018 
E-LVL                                                             1011100300019 
MEV                                                               1011100300020 
  2.084                                                           1011100300021 
ENDCOMMON            3          0                                 1011100300022 
DATA                 6        117                                 1011100300023 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011100300024 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011100300025 
  4.19     0.08         91.47         11.54     8.9       12.4    1011100300026 
  4.46     0.07         91.42          9.27    10.8       10.7    1011100300027 
  4.60     0.05         30.70          4.15    43.2       23.6    1011100300028 
  4.60     0.05         43.95          7.91    12.8       14.5    1011100300029 
  4.60     0.05         56.15          8.93    14.2       13.1    1011100300030 
  4.60     0.05         69.30         10.37    15.9       16.0    1011100300031 
  4.60     0.05         81.38          8.37    17.9       13.3    1011100300032 
  4.60     0.05         94.40          8.66    10.0       11.0    1011100300033 
  4.60     0.05         94.41          8.63    50.6       25.7    1011100300034 
  4.60     0.05        106.35          8.07    16.1        9.7    1011100300035 
  4.60     0.05        119.24          7.40    14.0       14.3    1011100300036 
  4.60     0.05        119.24          8.34    12.3       15.3    1011100300037 
  4.60     0.05        119.24          7.73    23.2       14.6    1011100300038 
  4.60     0.05        133.04          7.81    17.0       15.2    1011100300039 
  5.00     0.04         40.88          3.43    18.7       20.4    1011100300040 
  5.00     0.04         47.99          4.40    19.3       14.7    1011100300041 
  5.00     0.04         47.99          3.74    24.3       16.5    1011100300042 
  5.00     0.05         56.11          5.59    13.7       10.4    1011100300043 
  5.00     0.04         56.11          4.51    18.1       14.2    1011100300044 
  5.00     0.04         56.11          4.17    20.5        9.6    1011100300045 
  5.00     0.04         61.17          2.92    14.4       15.9    1011100300046 
  5.00     0.04         66.23          4.27    19.6       10.8    1011100300047 
  5.00     0.04         74.30          4.29    16.2       13.3    1011100300048 
  5.00     0.04         81.33          5.13    11.0       16.4    1011100300049 
  5.00     0.05         91.36          5.68    16.2        8.4    1011100300050 
  5.00     0.05         91.36          7.57     9.5        8.4    1011100300051 
  5.00     0.04         91.36          5.84    13.5       10.6    1011100300052 
  5.00     0.04        101.34          5.02    11.0       16.2    1011100300053 
  5.00     0.04        111.28          5.27    12.4        9.5    1011100300054 
  5.00     0.04        116.23          3.22    32.7       25.1    1011100300055 
  5.00     0.04        140.87          5.23    14.8       19.0    1011100300056 
  5.04     0.04         30.68          5.07    22.6       20.4    1011100300057 
  5.04     0.04         43.92          4.73    21.3       13.8    1011100300058 
  5.04     0.04         56.11          6.13     9.7       19.3    1011100300059 
  5.04     0.04         56.11          6.84    12.1       12.0    1011100300060 
  5.04     0.04         56.11          5.67    18.4       15.6    1011100300061 
  5.04     0.04         69.26          5.30    15.8       10.3    1011100300062 
  5.04     0.04         81.33          6.88    11.2       10.6    1011100300063 
  5.04     0.04         94.35          7.18    10.5        8.0    1011100300064 
  5.04     0.04        106.31          5.92    15.2        8.6    1011100300065 
  5.04     0.04        118.21          7.01    13.2       11.4    1011100300066 
  5.04     0.04        131.04          5.82    12.1       11.2    1011100300067 
  5.18     0.05         91.34          6.97     8.8        8.8    1011100300068 
  5.44     0.17         48.47          7.49     8.1        8.1    1011100300069 
  5.44     0.17         54.05          7.39     8.4        8.4    1011100300070 
  5.44     0.17         73.26          6.58     7.9        7.9    1011100300071 
  5.44     0.17         78.79          7.60     7.4        7.4    1011100300072 
  5.44     0.17         84.30          7.66     7.5        7.5    1011100300073 
  5.44     0.17         89.32          6.08     8.8        8.8    1011100300074 
  5.44     0.17         94.81          6.75     8.2        8.2    1011100300075 
  5.44     0.17        100.30          7.25     7.9        7.9    1011100300076 
  5.44     0.17        104.28          7.16     9.6        9.6    1011100300077 
  5.44     0.17        109.75          6.12    10.4       10.4    1011100300078 
  5.50     0.05         91.31          5.54     8.6        7.6    1011100300079 
  5.56     0.04         30.65          3.93    44.8       19.7    1011100300080 
  5.56     0.04         43.89          3.47    33.2       15.0    1011100300081 
  5.56     0.04         43.90          3.15    41.0       19.2    1011100300082 
  5.56     0.04         52.02          3.66    16.7       15.8    1011100300083 
  5.56     0.04         61.13          2.18    19.6       11.3    1011100300084 
  5.56     0.04         76.26          4.32    12.7       13.8    1011100300085 
  5.56     0.04         91.31          5.17    12.5       10.4    1011100300086 
  5.56     0.04        106.27          4.30    18.5       12.4    1011100300087 
  5.56     0.04        119.16          5.29    23.1       11.9    1011100300088 
  5.56     0.04        132.97          5.35    16.8        9.3    1011100300089 
  6.00     0.13         53.50          5.43     6.7       13.4    1011100300090 
  6.00     0.13        119.11          5.06    10.2       10.5    1011100300091 
  6.13     0.04         40.82          2.57    57.8       19.5    1011100300092 
  6.13     0.04         45.90          3.14    19.2       14.3    1011100300093 
  6.13     0.04         50.97          2.79    46.5       23.1    1011100300094 
  6.13     0.04         50.97          3.09    22.5       17.8    1011100300095 
  6.13     0.04         56.04          2.83    18.8       13.3    1011100300096 
  6.13     0.04         71.19          2.69    77.9       19.8    1011100300097 
  6.13     0.04         91.27          3.17    39.3       24.3    1011100300098 
  6.13     0.04         96.27          3.62    11.0       11.8    1011100300099 
  6.44     0.13         43.86          3.24    18.6       22.9    1011100300100 
  6.44     0.13         53.49          4.40     8.4       12.5    1011100300101 
  6.44     0.13         53.50          3.90    12.4       18.8    1011100300102 
  6.44     0.13         59.06          3.95    11.2       21.8    1011100300103 
  6.44     0.13         63.11          4.77    12.0       22.4    1011100300104 
  6.44     0.13         68.66          3.88    14.8       16.6    1011100300105 
  6.44     0.13         74.20          4.70    11.7       17.6    1011100300106 
  6.44     0.13         78.23          4.67    10.8       13.5    1011100300107 
  6.44     0.13         83.74          4.91     9.9       16.9    1011100300108 
  6.44     0.13         89.26          5.33    10.6       10.4    1011100300109 
  6.44     0.13         93.26          5.08    10.9       10.9    1011100300110 
  6.44     0.13         98.75          4.06    12.6       12.8    1011100300111 
  6.44     0.13        103.23          4.79    10.9       13.6    1011100300112 
  6.44     0.13        104.22          5.51    10.5       15.2    1011100300113 
  6.44     0.13        108.70          5.45    10.1       16.9    1011100300114 
  6.44     0.13        114.16          4.83    11.6       16.9    1011100300115 
  6.44     0.13        119.10          4.27     7.2        9.6    1011100300116 
  6.44     0.13        120.59          4.32    11.1       10.8    1011100300117 
  6.44     0.13        128.00          5.21     9.8        7.5    1011100300118 
  6.44     0.13        135.40          3.84     9.5       14.6    1011100300119 
  6.53     0.03         40.80          2.72    13.7       11.1    1011100300120 
  6.53     0.03         56.03          3.23    18.8       12.1    1011100300121 
  6.53     0.03        111.18          2.94    11.3       11.6    1011100300122 
  6.53     0.03        115.15          2.10    41.0       19.9    1011100300123 
  7.54     0.04         40.78          2.84    12.4       12.4    1011100300124 
  7.54     0.04         45.86          1.93    10.6       10.6    1011100300125 
  7.54     0.04         71.14          1.69    23.4       24.0    1011100300126 
  7.54     0.04         84.20          2.01    19.1       30.9    1011100300127 
  7.54     0.04         91.21          2.12    16.1       16.1    1011100300128 
  7.54     0.04        101.19          1.33    23.9       23.9    1011100300129 
  7.54     0.04        108.16          1.12    27.8       27.8    1011100300130 
  7.54     0.04        115.11          1.57    19.3       19.3    1011100300131 
  7.54     0.04        120.56          1.62    38.3       25.0    1011100300132 
  7.54     0.04        127.97          1.54    34.3       24.2    1011100300133 
  7.54     0.04        135.36          1.10    21.7       23.7    1011100300134 
  7.60     0.10         53.46          1.52    10.2       14.9    1011100300135 
  7.60     0.10        119.07          1.78    11.2       18.1    1011100300136 
  8.56     0.08         55.97          1.16     7.6        7.6    1011100300137 
  8.56     0.08         61.03          2.13    21.0       21.0    1011100300138 
  8.56     0.08         91.18          1.00    19.8       19.8    1011100300139 
  8.56     0.08        120.53          0.97    31.5       31.3    1011100300140 
  8.56     0.08        127.94          1.33    26.5       26.9    1011100300141 
  8.56     0.08        135.34          1.03    28.7       20.9    1011100300142 
ENDDATA            119          0                                 1011100300143 
ENDSUBENT          142          0                                 1011100399999 
SUBENT        10111004   20000202                             00001011100400001 
BIB                  3         14                                 1011100400002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011100400003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011100400004 
            . geometric parameters,                               1011100400005 
            . finite size corrections,                            1011100400006 
            . statistics,                                         1011100400007 
            . residual background effects due to peak stripping   1011100400008 
              procedures.                                         1011100400009 
            Does not include absolute error of + or - 7%,         1011100400010 
             estimated error in the absolute value of the         1011100400011 
             detector efficiency.                                 1011100400012 
HISTORY    (19800807A)                                            1011100400013 
             SUBENTRIES 4,8,16,22,31,40,48,59,69,78,88,98,        1011100400014 
            109,119,129, AND 133 COMBINED.                        1011100400015 
           (19840418A) DATA SORTED.                               1011100400016 
ENDBIB              14          0                                 1011100400017 
COMMON               1          3                                 1011100400018 
E-LVL                                                             1011100400019 
MEV                                                               1011100400020 
  2.654                                                           1011100400021 
ENDCOMMON            3          0                                 1011100400022 
DATA                 6         74                                 1011100400023 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011100400024 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011100400025 
  4.19     0.08         91.74         12.72    15.0       14.8    1011100400026 
  4.46     0.07         91.64         10.05    14.7       10.6    1011100400027 
  4.60     0.05         30.81          8.19    13.2       12.8    1011100400028 
  4.60     0.05         44.09         11.81    16.5       16.2    1011100400029 
  4.60     0.05         56.32         11.49    10.7       10.2    1011100400030 
  4.60     0.05         69.50         10.48    16.8       15.9    1011100400031 
  4.60     0.05         81.58         10.26    11.3       13.3    1011100400032 
  4.60     0.05         94.60         14.80    37.3       20.6    1011100400033 
  4.60     0.05         94.61          7.72    15.3       11.1    1011100400034 
  4.60     0.05        106.55          8.09    17.2       14.5    1011100400035 
