ENTRY            10582   20040723                             00001058200000001 
SUBENT        10582001   20040723                             00001058200100001 
BIB                 12         18                                 1058200100002 
INSTITUTE  (1USAORL)                                              1058200100003 
REFERENCE  (R,ORNL-TM-4544,197405)                                1058200100004 
           (J,NSE,62,515,197703) Review                           1058200100005 
AUTHOR     (J.K.Dickens,T.A.Love,G.L.Morgan)                      1058200100006 
TITLE      Gamma-Ray Production due to Neutron Interactions with  1058200100007 
            Magnesium for Incident Neutron Energies between 0.8   1058200100008 
            and 20 MeV: Tabulated Differential Cross Sections     1058200100009 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1058200100010 
INC-SOURCE (PHOTO) Photneutrons from water-cooled Ta target.      1058200100011 
SAMPLE     30-cm by 30-cm by 2.5-cm thick, total thickness is     1058200100012 
            0.11 atoms/barn                                       1058200100013 
METHOD     Sample placed at 45 degree angle to beam. Linac pulse  1058200100014 
            width is 5 nano-sec.                                  1058200100015 
DETECTOR   (NAICR) Sodium-iodide spectrometer, 12.7-cm by 12.7-cm 1058200100016 
MONITOR    No information                                         1058200100017 
STATUS     (APRVD) Approved by G.L.Morgan, 1978/12/15.            1058200100018 
HISTORY    (19781023C)                                            1058200100019 
           (20040723A) Converted to new data formts, lower case.  1058200100020 
ENDBIB              18          0                                 1058200100021 
NOCOMMON             0          0                                 1058200100022 
ENDSUBENT           21          0                                 1058200199999 
SUBENT        10582002   20040723                             00001058200200001 
BIB                  4         14                                 1058200200002 
REACTION   (12-MG-0(N,X)0-G-0,,DA/DE)                             1058200200003 
ANALYSIS   Data are middle values of confidence interval. Each    1058200200004 
            set of data for neutron energy grouped into pulse     1058200200005 
            height bins corresponding to detector responce matrix 1058200200006 
            and unfolded using ferd.                              1058200200007 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1058200200008 
            . neutron flux measurements,                          1058200200009 
            . effective area of beam,                             1058200200010 
            . absolute efficiency of detector.                    1058200200011 
           Absolute normalization error (not included in quoted   1058200200012 
            value) approx 10%.                                    1058200200013 
           Relative error between adjacent neutron energy groups  1058200200014 
            for same gamma energy <5%.                            1058200200015 
HISTORY    (19841205A) REACTION corrected.                        1058200200016 
ENDBIB              14          0                                 1058200200017 
COMMON               1          3                                 1058200200018 
ANG                                                               1058200200019 
ADEG                                                              1058200200020 
 90.                                                              1058200200021 
ENDCOMMON            3          0                                 1058200200022 
DATA                 5       2595                                 1058200200023 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              1058200200024 
  1.00       1.25      5.330 E+00 6.13  E-06 1.82  E-05           1058200200087 
  1.00       1.25      5.430 E+00 7.07  E-06 1.64  E-05           1058200200088 
  1.00       1.25      5.530 E+00 8.63  E-06 1.46  E-05           1058200200089 
  1.00       1.25      5.630 E+00 9.81  E-06 1.42  E-05           1058200200090 
  1.00       1.25      5.730 E+00 8.82  E-06 1.55  E-05           1058200200091 
  1.00       1.25      5.830 E+00 3.37  E-06 1.51  E-05           1058200200092 
  1.00       1.25      5.930 E+00-2.71  E-06 1.39  E-05           1058200200093 
  1.00       1.25      6.030 E+00-8.64  E-06 1.37  E-05           1058200200094 
  1.00       1.25      6.130 E+00-1.16  E-05 1.35  E-05           1058200200095 
  1.00       1.25      6.230 E+00-7.70  E-06 1.57  E-05           1058200200096 
  1.00       1.25      6.330 E+00-9.53  E-07 1.58  E-05           1058200200097 
  1.00       1.25      6.440 E+00 8.51  E-06 1.53  E-05           1058200200098 
  1.00       1.25      6.560 E+00 1.21  E-05 1.37  E-05           1058200200099 
  1.00       1.25      6.680 E+00 1.18  E-05 1.33  E-05           1058200200100 
  1.00       1.25      6.800 E+00 1.67  E-05 1.31  E-05           1058200200101 
  1.00       1.25      6.920 E+00 2.12  E-05 1.19  E-05           1058200200102 
  1.00       1.25      7.040 E+00 1.88  E-05 9.92  E-06           1058200200103 
  1.00       1.25      7.160 E+00 1.20  E-05 8.75  E-06           1058200200104 
  1.00       1.25      7.280 E+00 5.93  E-06 8.43  E-06           1058200200105 
  1.00       1.25      7.400 E+00 4.08  E-06 7.90  E-06           1058200200106 
  1.00       1.25      7.520 E+00 8.51  E-06 7.23  E-06           1058200200107 
  1.00       1.25      7.640 E+00 1.67  E-05 6.51  E-06           1058200200108 
  1.00       1.25      7.760 E+00 2.12  E-05 6.01  E-06           1058200200109 
  1.00       1.25      7.890 E+00 1.59  E-05 5.65  E-06           1058200200110 
  1.00       1.25      8.030 E+00 6.18  E-06 4.67  E-06           1058200200111 
  1.00       1.25      8.170 E+00 3.40  E-06 3.78  E-06           1058200200112 
  1.00       1.25      8.310 E+00 6.37  E-06 3.34  E-06           1058200200113 
  1.00       1.25      8.450 E+00 7.67  E-06 3.19  E-06           1058200200114 
  1.00       1.25      8.590 E+00 5.59  E-06 2.78  E-06           1058200200115 
  1.00       1.25      8.730 E+00 3.31  E-06 2.21  E-06           1058200200116 
  1.00       1.25      8.870 E+00 2.61  E-06 1.79  E-06           1058200200117 
