ENTRY            10977   20030529                             00001097700000001 
SUBENT        10977001   20030529                             00001097700100001 
BIB                 13         37                                 1097700100002 
INSTITUTE  (1USAORL)                                              1097700100003 
REFERENCE  (R,ORNL-5499,197902)                                   1097700100004 
AUTHOR     (G.L.MORGAN)                                           1097700100005 
TITLE      Cross sections for the Cu(n,xn) and Cu(n,x-gamma)      1097700100006 
            reactions between 1 and 20 MeV                        1097700100007 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1097700100008 
SAMPLE     1872-gms of natural copper, purity greater than 99%.   1097700100009 
            Shaped into annular ring of 25-cm outer diameter,     1097700100010 
            15-cm inner diameter, 0.65-cm thick.                  1097700100011 
METHOD     (TOF) Neutron flux measurements uses time of flight    1097700100012 
            with sample and shadow bar removed. Sample placed     1097700100013 
            47.8-meters from neutron source. Detector shielded    1097700100014 
            with shadow bar, pulse discrimination used to identify1097700100015 
            events as neutrons or gammas. Background determined   1097700100016 
            with sample-out measurement.                          1097700100017 
DETECTOR   (SCIN) NE-213 scintillator placed along samples axis.  1097700100018 
           Plastic scintillator place on edge of beam 30 meters   1097700100019 
            from source to monitor flux for normalization.        1097700100020 
MONITOR    Cross sections needed for corrections taken from       1097700100021 
            ENDF/B-IV.                                            1097700100022 
CORRECTION Corrections made for finite sample effects including:  1097700100023 
            .average transmission of neutron flux,                1097700100024 
            .average transmission of secondary neutrons and gammas1097700100025 
             out of sample,                                       1097700100026 
            .multiple scattering.                                 1097700100027 
ERR-ANALYS (DATA-ERR) Errors listed are mainly statistical        1097700100028 
            and include:                                          1097700100029 
            .statistics associated with background correction     1097700100030 
              (background ranged from 10-50% of foreground),      1097700100031 
            .multiple scattering correction (assumed 10% of       1097700100032 
             correction factor),                                  1097700100033 
            .normalization error about 10% (mainly due to flux    1097700100034 
             determination).                                      1097700100035 
STATUS     (APRVD) Approved by G.L.Morgan, 1982/1/4.              1097700100036 
HISTORY    (19810903C)                                            1097700100037 
           (20030529A) Reactions corrected. Converted to new date 1097700100038 
                       formats, lower case.                       1097700100039 
ENDBIB              37          0                                 1097700100040 
COMMON               1          3                                 1097700100041 
ANG                                                               1097700100042 
ADEG                                                              1097700100043 
 130.                                                             1097700100044 
ENDCOMMON            3          0                                 1097700100045 
ENDSUBENT           44          0                                 1097700199999 
SUBENT        10977002   20030529                             00001097700200001 
BIB                  1          1                                 1097700200002 
REACTION   (29-CU-0(N,X)0-NN-1,,DA/DE)                            1097700200003 
ENDBIB               1          0                                 1097700200004 
NOCOMMON             0          0                                 1097700200005 
DATA                 5        583                                 1097700200006 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              1097700200007 
  1.76       2.00       2.112      64.3      1.0                  1097700200053 
  1.76       2.00       2.310      17.3      0.3                  1097700200054 
  1.76       2.00       2.499       4.2      0.1                  1097700200055 
  1.76       2.00       2.693       1.4      0.1                  1097700200056 
  2.00       2.25       0.909      59.1      2.4                  1097700200057 
  2.00       2.25       1.013      63.9      2.4                  1097700200058 
  2.00       2.25       1.114      63.4      2.1                  1097700200059 
  2.00       2.25       1.212      57.1      1.9                  1097700200060 
  2.00       2.25       1.310      45.4      1.5                  1097700200061 
  2.00       2.25       1.413      31.5      1.2                  1097700200062 
  2.00       2.25       1.511      26.8      1.1                  1097700200063 
  2.00       2.25       1.611      43.6      1.2                  1097700200064 
  2.00       2.25       1.709      86.8      1.7                  1097700200065 
  2.00       2.25       1.807     141.0      2.4                  1097700200066 
  2.00       2.25       2.112     149.2      2.4                  1097700200067 
  2.00       2.25       2.310      69.6      1.1                  1097700200068 
  2.00       2.25       2.499      24.1      0.4                  1097700200069 
  2.00       2.25       2.693       7.1      0.2                  1097700200070 
  2.00       2.25       2.898       2.1      0.1                  1097700200071 
  2.25       2.51       0.909      79.3      2.8                  1097700200072 
  2.25       2.51       1.013      69.2      2.5                  1097700200073 
  2.25       2.51       1.114      60.1      2.2                  1097700200074 
  2.25       2.51       1.212      54.9      1.9                  1097700200075 
  2.25       2.51       1.310      52.5      1.7                  1097700200076 
  2.25       2.51       1.413      50.8      1.6                  1097700200077 
  2.25       2.51       1.511      46.2      1.5                  1097700200078 
  2.25       2.51       1.611      37.6      1.3                  1097700200079 
  2.25       2.51       1.709      30.1      1.1                  1097700200080 
  2.25       2.51       1.807      34.8      1.1                  1097700200081 
  2.25       2.51       1.938      72.4      1.5                  1097700200082 
  2.25       2.51       2.112     136.2      2.2                  1097700200083 
  2.25       2.51       2.310     133.6      2.1                  1097700200084 
  2.25       2.51       2.499      77.4      1.2                  1097700200085 
  2.25       2.51       2.693      31.4      0.5                  1097700200086 
  2.25       2.51       2.898       9.9      0.2                  1097700200087 
  2.51       2.75       0.909      61.4      2.5                  1097700200088 
  2.51       2.75       1.013      73.0      2.6                  1097700200089 
  2.51       2.75       1.114      71.3      2.4                  1097700200090 
  2.51       2.75       1.212      63.3      2.1                  1097700200091 
  2.51       2.75       1.310      56.8      1.9                  1097700200092 
  2.51       2.75       1.413      53.6      1.8                  1097700200093 
  2.51       2.75       1.511      51.0      1.7                  1097700200094 
  2.51       2.75       1.611      46.0      1.6                  1097700200095 
  2.51       2.75       1.709      38.4      1.4                  1097700200096 
  2.51       2.75       1.807      29.6      1.2                  1097700200097 
  2.51       2.75       1.938      24.6      1.2                  1097700200098 
  2.51       2.75       2.112      52.4      1.4                  1097700200099 
  2.51       2.75       2.310     108.6      2.1                  1097700200100 
  2.51       2.75       2.499     114.0      2.2                  1097700200101 
  2.51       2.75       2.693      72.8      1.4                  1097700200102 
  2.51       2.75       2.898      31.2      0.7                  1097700200103 
  2.51       2.75       3.102      10.7      0.3                  1097700200104 
  2.75       2.99       0.909      41.9      2.3                  1097700200105 
  2.75       2.99       1.013      43.1      2.1                  1097700200106 
  2.75       2.99       1.114      49.8      2.2                  1097700200107 
  2.75       2.99       1.212      59.5      2.3                  1097700200108 
  2.75       2.99       1.310      65.7      2.2                  1097700200109 
  2.75       2.99       1.413      64.0      2.0                  1097700200110 
  2.75       2.99       1.511      57.1      1.9                  1097700200111 
  2.75       2.99       1.611      49.8      1.8                  1097700200112 
  2.75       2.99       1.709      44.4      1.6                  1097700200113 
  2.75       2.99       1.807      39.8      1.5                  1097700200114 
  2.75       2.99       1.938      33.4      1.5                  1097700200115 
  2.75       2.99       2.112      26.6      1.3                  1097700200116 
  2.75       2.99       2.310      41.8      1.3                  1097700200117 
  2.75       2.99       2.499      81.0      1.5                  1097700200118 
  2.75       2.99       2.693      97.4      1.6                  1097700200119 
  2.75       2.99       2.898      70.6      1.3                  1097700200120 
  2.75       2.99       3.102      34.8      0.8                  1097700200121 
  2.75       2.99       3.301      14.0      0.4                  1097700200122 
  2.75       2.99       3.505       5.0      0.2                  1097700200123 
  2.99       3.50       0.909      57.9      2.7                  1097700200124 
  2.99       3.50       1.013      56.1      2.3                  1097700200125 
  2.99       3.50       1.114      54.3      1.9                  1097700200126 
  2.99       3.50       1.212      51.1      1.6                  1097700200127 
  2.99       3.50       1.310      47.3      1.4                  1097700200128 
  2.99       3.50       1.413      46.5      1.3                  1097700200129 
  2.99       3.50       1.511      48.6      1.3                  1097700200130 
  2.99       3.50       1.611      51.0      1.3                  1097700200131 
  2.99       3.50       1.709      51.6      1.2                  1097700200132 
  2.99       3.50       1.807      49.6      1.2                  1097700200133 
  2.99       3.50       1.938      43.2      1.2                  1097700200134 
  2.99       3.50       2.112      33.4      1.0                  1097700200135 
  2.99       3.50       2.310      26.5      1.0                  1097700200136 
  2.99       3.50       2.499      29.7      0.9                  1097700200137 
  2.99       3.50       2.693      46.5      1.1                  1097700200138 
  2.99       3.50       2.898      63.6      1.3                  1097700200139 
  2.99       3.50       3.102      60.6      1.2                  1097700200140 
  2.99       3.50       3.301      42.7      0.9                  1097700200141 
  2.99       3.50       3.505      23.2      0.5                  1097700200142 
  2.99       3.50       3.712      10.5      0.3                  1097700200143 
  2.99       3.50       3.901       4.8      0.2                  1097700200144 
  2.99       3.50       4.147       1.9      0.1                  1097700200145 
  3.50       4.01       0.909      67.7      3.1                  1097700200146 
  3.50       4.01       1.013      66.9      2.8                  1097700200147 
  3.50       4.01       1.114      62.1      2.5                  1097700200148 
  3.50       4.01       1.212      57.3      2.2                  1097700200149 
  3.50       4.01       1.310      53.4      1.9                  1097700200150 
  3.50       4.01       1.413      49.8      1.7                  1097700200151 
  3.50       4.01       1.511      45.6      1.6                  1097700200152 
  3.50       4.01       1.611      41.0      1.4                  1097700200153 
  3.50       4.01       1.709      37.4      1.2                  1097700200154 
  3.50       4.01       1.807      35.6      1.3                  1097700200155 
  3.50       4.01       1.938      35.2      1.3                  1097700200156 
  3.50       4.01       2.112      35.7      1.0                  1097700200157 
  3.50       4.01       2.310      34.0      1.2                  1097700200158 
  3.50       4.01       2.499      29.0      1.0                  1097700200159 
  3.50       4.01       2.693      22.4      0.8                  1097700200160 
  3.50       4.01       2.898      20.4      0.8                  1097700200161 
  3.50       4.01       3.102      29.7      0.9                  1097700200162 
  3.50       4.01       3.301      41.9      1.1                  1097700200163 
  3.50       4.01       3.505      44.5      1.0                  1097700200164 
  3.50       4.01       3.712      35.6      0.8                  1097700200165 
  3.50       4.01       3.901      23.8      0.5                  1097700200166 
  3.50       4.01       4.147      11.2      0.3                  1097700200167 
  3.50       4.01       4.457       3.7      0.1                  1097700200168 
  3.50       4.01       4.754       1.4      0.1                  1097700200169 
  4.01       4.50       0.909      59.1      2.6                  1097700200170 
  4.01       4.50       1.013      58.0      2.3                  1097700200171 
  4.01       4.50       1.114      57.6      2.2                  1097700200172 
  4.01       4.50       1.212      59.3      2.1                  1097700200173 
  4.01       4.50       1.310      60.1      1.9                  1097700200174 
  4.01       4.50       1.413      57.9      1.7                  1097700200175 
  4.01       4.50       1.511      53.7      1.6                  1097700200176 
  4.01       4.50       1.611      48.9      1.4                  1097700200177 
  4.01       4.50       1.709      44.8      1.4                  1097700200178 
  4.01       4.50       1.807      41.1      1.5                  1097700200179 
  4.01       4.50       1.938      36.4      1.5                  1097700200180 
  4.01       4.50       2.112      30.9      1.0                  1097700200181 
  4.01       4.50       2.310      27.4      1.2                  1097700200182 
  4.01       4.50       2.499      26.5      0.9                  1097700200183 
  4.01       4.50       2.693      25.7      0.9                  1097700200184 
  4.01       4.50       2.898      22.9      0.8                  1097700200185 
  4.01       4.50       3.102      18.4      0.9                  1097700200186 
  4.01       4.50       3.301      16.5      0.9                  1097700200187 
  4.01       4.50       3.505      21.1      0.8                  1097700200188 
  4.01       4.50       3.712      28.8      0.8                  1097700200189 
  4.01       4.50       3.901      31.7      0.7                  1097700200190 
  4.01       4.50       4.147      26.0      0.6                  1097700200191 
  4.01       4.50       4.457      13.1      0.4                  1097700200192 
  4.01       4.50       4.754       5.2      0.2                  1097700200193 
  4.01       4.50       5.057       1.9      0.1                  1097700200194 
  4.01       4.50       5.360       0.8      0.1                  1097700200195 
  4.50       5.02       0.909      56.7      2.9                  1097700200196 
  4.50       5.02       1.013      57.2      2.6                  1097700200197 
  4.50       5.02       1.114      55.8      2.5                  1097700200198 
  4.50       5.02       1.212      53.9      2.3                  1097700200199 
  4.50       5.02       1.310      51.3      2.1                  1097700200200 
  4.50       5.02       1.413      48.2      1.9                  1097700200201 
  4.50       5.02       1.511      45.5      1.7                  1097700200202 
  4.50       5.02       1.611      43.7      1.6                  1097700200203 
  4.50       5.02       1.709      42.2      1.5                  1097700200204 
  4.50       5.02       1.807      40.7      1.6                  1097700200205 
  4.50       5.02       1.938      38.3      1.5                  1097700200206 
  4.50       5.02       2.112      34.7      1.1                  1097700200207 
  4.50       5.02       2.310      29.3      1.2                  1097700200208 
  4.50       5.02       2.499      24.0      0.9                  1097700200209 
  4.50       5.02       2.693      21.2      0.8                  1097700200210 
  4.50       5.02       2.898      21.0      0.8                  1097700200211 
  4.50       5.02       3.102      20.0      0.9                  1097700200212 
  4.50       5.02       3.301      17.4      0.8                  1097700200213 
  4.50       5.02       3.505      14.4      0.7                  1097700200214 
  4.50       5.02       3.712      13.0      0.6                  1097700200215 
  4.50       5.02       3.901      14.5      0.6                  1097700200216 
  4.50       5.02       4.147      18.7      0.7                  1097700200217 
  4.50       5.02       4.457      19.5      0.6                  1097700200218 
  4.50       5.02       4.754      13.6      0.4                  1097700200219 
  4.50       5.02       5.057       6.9      0.3                  1097700200220 
  4.50       5.02       5.360       3.0      0.2                  1097700200221 
  4.50       5.02       5.644       1.4      0.1                  1097700200222 
  4.50       5.02       5.936       0.7      0.1                  1097700200223 
  5.02       6.01       0.909      57.4      2.7                  1097700200224 
  5.02       6.01       1.013      56.9      2.4                  1097700200225 
  5.02       6.01       1.114      54.8      2.2                  1097700200226 
  5.02       6.01       1.212      52.7      1.9                  1097700200227 
  5.02       6.01       1.310      51.2      1.8                  1097700200228 
  5.02       6.01       1.413      49.7      1.6                  1097700200229 
  5.02       6.01       1.511      47.4      1.5                  1097700200230 
  5.02       6.01       1.611      44.1      1.4                  1097700200231 
  5.02       6.01       1.709      40.7      1.3                  1097700200232 
  5.02       6.01       1.807      37.9      1.3                  1097700200233 
  5.02       6.01       1.938      35.1      1.3                  1097700200234 
  5.02       6.01       2.112      32.9      1.0                  1097700200235 
  5.02       6.01       2.310      29.5      1.0                  1097700200236 
  5.02       6.01       2.499      25.3      0.8                  1097700200237 
  5.02       6.01       2.693      22.1      0.7                  1097700200238 
  5.02       6.01       2.898      19.9      0.7                  1097700200239 
  5.02       6.01       3.102      17.9      0.7                  1097700200240 
  5.02       6.01       3.301      15.5      0.7                  1097700200241 
  5.02       6.01       3.505      13.3      0.6                  1097700200242 
  5.02       6.01       3.712      12.0      0.6                  1097700200243 
  5.02       6.01       3.901      11.5      0.6                  1097700200244 
  5.02       6.01       4.147      11.1      0.5                  1097700200245 
  5.02       6.01       4.457      10.8      0.4                  1097700200246 
  5.02       6.01       4.754      10.8      0.4                  1097700200247 
  5.02       6.01       5.057      10.0      0.4                  1097700200248 
  5.02       6.01       5.360       8.0      0.4                  1097700200249 
  5.02       6.01       5.644       5.5      0.3                  1097700200250 
  5.02       6.01       5.936       3.2      0.2                  1097700200251 
  5.02       6.01       6.251       1.7      0.1                  1097700200252 
  5.02       6.01       6.551       1.0      0.1                  1097700200253 
  5.02       6.01       6.833       0.7      0.1                  1097700200254 
  6.01       7.01       0.909      47.1      2.4                  1097700200255 
  6.01       7.01       1.013      49.1      2.3                  1097700200256 
  6.01       7.01       1.114      48.4      2.1                  1097700200257 
  6.01       7.01       1.212      46.7      1.9                  1097700200258 
  6.01       7.01       1.310      45.1      1.8                  1097700200259 
  6.01       7.01       1.413      43.8      1.6                  1097700200260 
  6.01       7.01       1.511      43.1      1.5                  1097700200261 
  6.01       7.01       1.611      42.3      1.4                  1097700200262 
  6.01       7.01       1.709      41.1      1.3                  1097700200263 
  6.01       7.01       1.807      39.2      1.3                  1097700200264 
  6.01       7.01       1.938      35.5      1.2                  1097700200265 
  6.01       7.01       2.112      31.0      1.0                  1097700200266 
  6.01       7.01       2.310      27.1      1.0                  1097700200267 
  6.01       7.01       2.499      25.2      0.8                  1097700200268 
  6.01       7.01       2.693      24.1      0.7                  1097700200269 
  6.01       7.01       2.898      21.6      0.7                  1097700200270 
  6.01       7.01       3.102      18.4      0.8                  1097700200271 
  6.01       7.01       3.301      16.0      0.6                  1097700200272 
  6.01       7.01       3.505      14.3      0.7                  1097700200273 
  6.01       7.01       3.712      12.5      0.7                  1097700200274 
  6.01       7.01       3.901      10.7      0.5                  1097700200275 
  6.01       7.01       4.147       8.7      0.5                  1097700200276 
  6.01       7.01       4.457       7.9      0.4                  1097700200277 
  6.01       7.01       4.754       7.6      0.4                  1097700200278 
  6.01       7.01       5.057       7.1      0.4                  1097700200279 
  6.01       7.01       5.360       6.8      0.4                  1097700200280 
  6.01       7.01       5.644       6.5      0.4                  1097700200281 
  6.01       7.01       5.936       6.0      0.3                  1097700200282 
  6.01       7.01       6.251       4.8      0.3                  1097700200283 
  6.01       7.01       6.551       3.4      0.2                  1097700200284 
  6.01       7.01       6.833       2.2      0.2                  1097700200285 
  6.01       7.01       7.227       1.1      0.1                  1097700200286 
  6.01       7.01       7.726       0.6      0.1                  1097700200287 
  6.01       7.01       8.252       0.3      0.1                  1097700200288 
  7.01       8.01       0.909      40.8      2.1                  1097700200289 
  7.01       8.01       1.013      41.5      1.9                  1097700200290 
  7.01       8.01       1.114      41.2      1.8                  1097700200291 
  7.01       8.01       1.212      41.3      1.7                  1097700200292 
  7.01       8.01       1.310      40.2      1.5                  1097700200293 
  7.01       8.01       1.413      38.2      1.4                  1097700200294 
  7.01       8.01       1.511      37.0      1.4                  1097700200295 
  7.01       8.01       1.611      36.4      1.3                  1097700200296 
  7.01       8.01       1.709      35.7      1.3                  1097700200297 
  7.01       8.01       1.807      34.3      1.3                  1097700200298 
  7.01       8.01       1.938      31.8      1.2                  1097700200299 
  7.01       8.01       2.112      28.6      0.9                  1097700200300 
  7.01       8.01       2.310      25.5      1.0                  1097700200301 
  7.01       8.01       2.499      23.6      0.8                  1097700200302 
  7.01       8.01       2.693      22.8      0.7                  1097700200303 
  7.01       8.01       2.898      21.2      0.7                  1097700200304 
  7.01       8.01       3.102      18.4      0.8                  1097700200305 
  7.01       8.01       3.301      15.7      0.6                  1097700200306 
  7.01       8.01       3.505      13.8      0.6                  1097700200307 
  7.01       8.01       3.712      12.7      0.7                  1097700200308 
  7.01       8.01       3.901      11.9      0.6                  1097700200309 
  7.01       8.01       4.147      10.5      0.5                  1097700200310 
  7.01       8.01       4.457       8.2      0.4                  1097700200311 
  7.01       8.01       4.754       6.2      0.4                  1097700200312 
  7.01       8.01       5.057       5.0      0.4                  1097700200313 
  7.01       8.01       5.360       4.7      0.4                  1097700200314 
  7.01       8.01       5.644       4.7      0.4                  1097700200315 
  7.01       8.01       5.936       4.6      0.3                  1097700200316 
  7.01       8.01       6.251       4.6      0.3                  1097700200317 
  7.01       8.01       6.551       4.7      0.3                  1097700200318 
  7.01       8.01       6.833       4.7      0.3                  1097700200319 
  7.01       8.01       7.227       4.0      0.2                  1097700200320 
  7.01       8.01       7.726       2.5      0.2                  1097700200321 
  7.01       8.01       8.252       1.3      0.1                  1097700200322 
  7.01       8.01       8.770       0.7      0.1                  1097700200323 
  7.01       8.01       9.242       0.4      0.1                  1097700200324 
  8.01       8.99       0.909      37.1      2.1                  1097700200325 
  8.01       8.99       1.013      37.6      1.8                  1097700200326 
  8.01       8.99       1.114      37.5      1.6                  1097700200327 
  8.01       8.99       1.212      37.8      1.5                  1097700200328 
  8.01       8.99       1.310      37.6      1.4                  1097700200329 
  8.01       8.99       1.413      36.4      1.3                  1097700200330 
  8.01       8.99       1.511      35.2      1.3                  1097700200331 
  8.01       8.99       1.611      34.3      1.2                  1097700200332 
  8.01       8.99       1.709      33.3      1.2                  1097700200333 
  8.01       8.99       1.807      32.0      1.3                  1097700200334 
  8.01       8.99       1.938      29.7      1.2                  1097700200335 
  8.01       8.99       2.112      27.2      0.9                  1097700200336 
  8.01       8.99       2.310      25.8      1.0                  1097700200337 
  8.01       8.99       2.499      24.4      0.8                  1097700200338 
  8.01       8.99       2.693      22.5      0.7                  1097700200339 
  8.01       8.99       2.898      20.2      0.7                  1097700200340 
  8.01       8.99       3.102      18.1      0.8                  1097700200341 
  8.01       8.99       3.301      16.1      0.7                  1097700200342 
  8.01       8.99       3.505      14.3      0.7                  1097700200343 
  8.01       8.99       3.712      13.3      0.7                  1097700200344 
  8.01       8.99       3.901      12.7      0.6                  1097700200345 
  8.01       8.99       4.147      11.3      0.6                  1097700200346 
  8.01       8.99       4.457       8.7      0.4                  1097700200347 
  8.01       8.99       4.754       6.5      0.4                  1097700200348 
  8.01       8.99       5.057       5.5      0.4                  1097700200349 
  8.01       8.99       5.360       5.2      0.5                  1097700200350 
  8.01       8.99       5.644       4.9      0.4                  1097700200351 
  8.01       8.99       5.936       4.5      0.4                  1097700200352 
  8.01       8.99       6.251       4.0      0.4                  1097700200353 
  8.01       8.99       6.551       3.7      0.4                  1097700200354 
  8.01       8.99       6.833       3.9      0.4                  1097700200355 
  8.01       8.99       7.227       4.8      0.3                  1097700200356 
  8.01       8.99       7.726       5.6      0.3                  1097700200357 
  8.01       8.99       8.252       4.5      0.2                  1097700200358 
  8.01       8.99       8.770       2.7      0.2                  1097700200359 
  8.01       8.99       9.242       1.4      0.1                  1097700200360 
  8.01       8.99       9.718       0.7      0.1                  1097700200361 
  8.01       8.99      10.233       0.4      0.1                  1097700200362 
  8.01       8.99      10.747       0.3      0.1                  1097700200363 
  8.99      10.01       0.909      30.6      1.9                  1097700200364 
  8.99      10.01       1.013      32.4      1.7                  1097700200365 
  8.99      10.01       1.114      33.9      1.6                  1097700200366 
  8.99      10.01       1.212      34.2      1.5                  1097700200367 
  8.99      10.01       1.310      33.2      1.4                  1097700200368 
  8.99      10.01       1.413      31.8      1.3                  1097700200369 
  8.99      10.01       1.511      31.0      1.2                  1097700200370 
  8.99      10.01       1.611      30.6      1.2                  1097700200371 
  8.99      10.01       1.709      30.2      1.1                  1097700200372 
  8.99      10.01       1.807      29.4      1.2                  1097700200373 
  8.99      10.01       1.938      27.8      1.2                  1097700200374 
  8.99      10.01       2.112      25.6      0.9                  1097700200375 
  8.99      10.01       2.310      23.3      1.0                  1097700200376 
  8.99      10.01       2.499      21.8      0.8                  1097700200377 
  8.99      10.01       2.693      20.6      0.7                  1097700200378 
  8.99      10.01       2.898      19.0      0.7                  1097700200379 
  8.99      10.01       3.102      17.0      0.8                  1097700200380 
  8.99      10.01       3.301      14.8      0.7                  1097700200381 
  8.99      10.01       3.505      13.0      0.7                  1097700200382 
  8.99      10.01       3.712      12.1      0.7                  1097700200383 
  8.99      10.01       3.901      11.9      0.6                  1097700200384 
  8.99      10.01       4.147      11.2      0.6                  1097700200385 
  8.99      10.01       4.457       8.9      0.4                  1097700200386 
  8.99      10.01       4.754       6.8      0.4                  1097700200387 
  8.99      10.01       5.057       5.8      0.4                  1097700200388 
  8.99      10.01       5.360       5.8      0.5                  1097700200389 
  8.99      10.01       5.644       5.5      0.4                  1097700200390 
  8.99      10.01       5.936       4.6      0.4                  1097700200391 
  8.99      10.01       6.251       3.6      0.4                  1097700200392 
  8.99      10.01       6.551       3.5      0.4                  1097700200393 
  8.99      10.01       6.833       3.8      0.4                  1097700200394 
  8.99      10.01       7.227       3.8      0.4                  1097700200395 
  8.99      10.01       7.726       3.6      0.4                  1097700200396 
