EN         EN-RSL-FW  DATA       ERR-T      MISC1      MISC2      1004700200009 
MEV        MEV        B          B          B          B          1004700200010 
  4.862       .128     1.6621      .0256      .0119     -.0028    1004700200134 
  4.899       .127     1.6703      .0246      .0123     -.0022    1004700200135 
  4.935       .131     1.5736      .0237      .0120     -.0031    1004700200136 
  4.973       .132     1.6097      .0241      .0126     -.0029    1004700200137 
  5.012       .132     1.6576      .0252      .0125     -.0027    1004700200138 
  5.051       .133     1.6314      .0258      .0129     -.0027    1004700200139 
  5.090       .136     1.6170      .0263      .0131     -.0029    1004700200140 
  5.130       .138     1.6152      .0258      .0133     -.0029    1004700200141 
  5.170       .138     1.5968      .0266      .0141     -.0025    1004700200142 
  5.210       .139     1.6124      .0262      .0130     -.0026    1004700200143 
  5.249       .141     1.5137      .0250      .0126     -.0035    1004700200144 
  5.291       .143     1.5395      .0255      .0131     -.0034    1004700200145 
  5.333       .144     1.5636      .0269      .0136     -.0031    1004700200146 
  5.375       .146     1.5430      .0274      .0137     -.0028    1004700200147 
  5.417       .147     1.5287      .0265      .0136     -.0028    1004700200148 
  5.459       .147     1.5359      .0264      .0132     -.0030    1004700200149 
  5.502       .149     1.4880      .0254      .0131     -.0027    1004700200150 
  5.544       .152     1.5272      .0262      .0134     -.0033    1004700200151 
  5.588       .153     1.5051      .0262      .0126     -.0030    1004700200152 
  5.632       .156     1.4798      .0252      .0132     -.0031    1004700200153 
  5.676       .156     1.4835      .0255      .0131     -.0030    1004700200154 
  5.721       .158     1.4475      .0255      .0130     -.0033    1004700200155 
  5.769       .158     1.4486      .0257      .0132     -.0029    1004700200156 
  5.815       .161     1.4573      .0249      .0128     -.0035    1004700200157 
  5.862       .163     1.4670      .0260      .0125     -.0040    1004700200158 
  5.912       .165     1.4297      .0268      .0127     -.0038    1004700200159 
  5.964       .168     1.4438      .0285      .0134     -.0041    1004700200160 
  6.014       .169     1.3935      .0268      .0126     -.0044    1004700200161 
  6.063       .169     1.4052      .0279      .0123     -.0049    1004700200162 
  6.114       .175     1.3893      .0290      .0116     -.0057    1004700200163 
  6.167       .175     1.3668      .0295      .0114     -.0062    1004700200164 
  6.222       .178     1.4128      .0336      .0123     -.0061    1004700200165 
  6.277       .177     1.4522      .0338      .0120     -.0060    1004700200166 
  6.332       .180     1.3820      .0342      .0117     -.0060    1004700200167 
  6.389       .183     1.3295      .0317      .0117     -.0056    1004700200168 
  6.444       .185     1.3479      .0305      .0113     -.0051    1004700200169 
  6.499       .187     1.3610      .0292      .0111     -.0048    1004700200170 
  6.554       .188     1.2983      .0287      .0112     -.0047    1004700200171 
  6.608       .192     1.2917      .0277      .0115     -.0048    1004700200172 
  6.665       .193     1.3032      .0270      .0116     -.0044    1004700200173 
  6.724       .195     1.2590      .0266      .0124     -.0044    1004700200174 
  6.781       .199     1.2912      .0272      .0123     -.0044    1004700200175 
  6.842       .202     1.2718      .0267      .0120     -.0043    1004700200176 
  6.903       .203     1.2899      .0268      .0124     -.0043    1004700200177 
  6.961       .205     1.2842      .0264      .0119     -.0043    1004700200178 
  7.024       .207     1.2841      .0256      .0121     -.0041    1004700200179 
  7.086       .209     1.2688      .0261      .0126     -.0040    1004700200180 
  7.150       .215     1.2897      .0267      .0128     -.0046    1004700200181 
  7.214       .217     1.2420      .0279      .0127     -.0048    1004700200182 
  7.282       .219     1.1928      .0285      .0137     -.0050    1004700200183 
  7.348       .220     1.1722      .0299      .0152     -.0057    1004700200184 
  7.416       .220     1.1957      .0319      .0155     -.0049    1004700200185 
  7.488       .223     1.2464      .0327      .0153     -.0056    1004700200186 
  7.559       .227     1.1611      .0336      .0152     -.0062    1004700200187 
  7.629       .234     1.1454      .0359      .0163     -.0067    1004700200188 
  7.700       .235     1.1831      .0365      .0162     -.0054    1004700200189 
  7.771       .239     1.1866      .0390      .0182     -.0056    1004700200190 
  7.841       .243     1.1663      .0377      .0177     -.0054    1004700200191 
  7.914       .247     1.1277      .0355      .0176     -.0055    1004700200192 
  7.991       .245     1.1628      .0357      .0165     -.0051    1004700200193 
  8.068       .251     1.1509      .0332      .0150     -.0057    1004700200194 
  8.147       .252     1.1175      .0332      .0141     -.0056    1004700200195 
  8.228       .256     1.0975      .0324      .0139     -.0052    1004700200196 
  8.309       .256     1.0680      .0314      .0140     -.0041    1004700200197 
  8.387       .262     1.0820      .0293      .0140     -.0037    1004700200198 
  8.465       .267     1.0700      .0278      .0143     -.0041    1004700200199 
  8.545       .271     1.0800      .0277      .0139     -.0046    1004700200200 
  8.633       .276     1.0409      .0276      .0132     -.0050    1004700200201 
  8.723       .279     1.0449      .0264      .0127     -.0044    1004700200202 
  8.809       .282     1.0478      .0265      .0129     -.0045    1004700200203 
  8.893       .285     1.0018      .0261      .0133     -.0044    1004700200204 
  8.980       .290     1.0462      .0259      .0132     -.0046    1004700200205 
  9.070       .293     1.0580      .0260      .0127     -.0050    1004700200206 
  9.167       .298     1.0492      .0272      .0124     -.0051    1004700200207 
  9.266       .304     1.0363      .0268      .0120     -.0054    1004700200208 
  9.362       .305     1.0483      .0277      .0107     -.0054    1004700200209 
  9.459       .310      .9490      .0270      .0113     -.0054    1004700200210 
  9.554       .317      .9903      .0262      .0111     -.0051    1004700200211 
  9.652       .321      .9839      .0259      .0109     -.0052    1004700200212 
  9.757       .325      .9962      .0256      .0106     -.0048    1004700200213 
  9.863       .330      .9665      .0251      .0107     -.0049    1004700200214 
  9.965       .335      .9363      .0236      .0102     -.0049    1004700200215 
 10.072       .341      .9355      .0234      .0096     -.0047    1004700200216 
 10.185       .344      .9322      .0220      .0097     -.0041    1004700200217 
 10.296       .350      .9095      .0211      .0098     -.0039    1004700200218 
 10.410       .355      .8981      .0205      .0093     -.0040    1004700200219 
 10.529       .362      .8813      .0197      .0097     -.0036    1004700200220 
 10.646       .367      .8730      .0195      .0096     -.0036    1004700200221 
 10.763       .374      .8673      .0191      .0092     -.0037    1004700200222 
 10.881       .377      .8949      .0191      .0086     -.0036    1004700200223 
 11.005       .383      .8579      .0179      .0083     -.0034    1004700200224 
 11.130       .388      .8634      .0169      .0080     -.0029    1004700200225 
 11.256       .393      .8690      .0158      .0074     -.0027    1004700200226 
 11.388       .399      .8589      .0145      .0074     -.0021    1004700200227 
 11.517       .406      .8471      .0135      .0072     -.0018    1004700200228 
 11.646       .415      .8406      .0128      .0066     -.0019    1004700200229 
 11.779       .420      .8145      .0122      .0063     -.0020    1004700200230 
 11.914       .427      .8146      .0116      .0059     -.0019    1004700200231 
 12.053       .433      .8231      .0108      .0055     -.0017    1004700200232 
 12.199       .441      .8004      .0100      .0054     -.0015    1004700200233 
 12.345       .448      .7865      .0096      .0051     -.0015    1004700200234 
 12.494       .457      .7616      .0092      .0052     -.0015    1004700200235 
 12.645       .467      .7520      .0091      .0052     -.0016    1004700200236 
 12.800       .478      .7584      .0094      .0052     -.0018    1004700200237 
 12.956       .487      .7240      .0098      .0055     -.0020    1004700200238 
 13.113       .496      .7411      .0104      .0055     -.0023    1004700200239 
 13.277       .506      .7356      .0111      .0058     -.0025    1004700200240 
 13.442       .515      .7251      .0121      .0065     -.0028    1004700200241 
 13.608       .526      .6775      .0135      .0074     -.0034    1004700200242 
 13.782       .536      .6886      .0152      .0084     -.0036    1004700200243 
 13.957       .542      .7270      .0171      .0090     -.0036    1004700200244 
 14.137       .547      .7181      .0180      .0092     -.0033    1004700200245 
 14.319       .553      .6899      .0172      .0087     -.0029    1004700200246 
 14.505       .561      .6653      .0155      .0079     -.0013    1004700200247 
 14.689       .573      .6451      .0141     -.0010     -.0013    1004700200248 
ENDDATA            240          0                                 1004700200249 
ENDSUBENT          248          0                                 1004700299999 
SUBENT        10047003   19990907                             00001004700300001 
BIB                  5          7                                 1004700300002 
REFERENCE  (J,PR,157,764,196705)                                  1004700300003 
REACTION   (1-H-2(N,TOT),,SIG)                                    1004700300004 
SAMPLE     Deuterated polyethylene enriched to 94.7 at.percent in 1004700300005 
            deuterium.                                            1004700300006 
STATUS     (SPSDD,10047108) Superseded in private comm. 1970.     1004700300007 
           Data rec'd on tape, Foster, May 1967.                  1004700300008 
HISTORY    (19771110U) BIB CORRECTION                             1004700300009 
ENDBIB               7          0                                 1004700300010 
NOCOMMON             0          0                                 1004700300011 
NODATA               0          0                                 1004700300012 
ENDSUBENT           11          0                                 1004700399999 
SUBENT        10047004   19990907                             00001004700400001 
BIB                  2          2                                 1004700400002 
REACTION   (3-LI-0(N,TOT),,SIG)                                   1004700400003 
STATUS     Data rec'd on tape, Foster, May 1967.                  1004700400004 
ENDBIB               2          0                                 1004700400005 
NOCOMMON             0          0                                 1004700400006 
DATA                 6        243                                 1004700400007 
EN         EN-RSL-FW  DATA       ERR-T      MISC1      MISC2      1004700400008 
MEV        MEV        B          B          B          B          1004700400009 
  2.272       .050     1.8437      .0379      .0235      .0053    1004700400010 
  2.284       .050     1.8499      .0379      .0215      .0050    1004700400011 
  2.296       .050     1.8564      .0357      .0217      .0032    1004700400012 
  2.308       .050     1.8590      .0352      .0215      .0036    1004700400013 
  2.320       .050     1.8686      .0352      .0211      .0053    1004700400014 
  2.333       .051     1.8685      .0347      .0211      .0043    1004700400015 
  2.345       .051     1.8346      .0343      .0213      .0055    1004700400016 
  2.356       .052     1.8264      .0339      .0196      .0024    1004700400017 
  2.368       .052     1.8211      .0339      .0199      .0021    1004700400018 
  2.380       .054     1.8291      .0336      .0179      .0009    1004700400019 
  2.392       .053     1.8338      .0339      .0192     -.0015    1004700400020 
  2.404       .053     1.8458      .0357      .0161     -.0014    1004700400021 
  2.416       .054     1.8861      .0319      .0176      .0036    1004700400022 
  2.429       .054     1.9239      .0342      .0174      .0035    1004700400023 
  2.442       .054     1.8789      .0322      .0182      .0022    1004700400024 
  2.454       .054     1.8959      .0336      .0174      .0029    1004700400025 
  2.466       .054     1.8974      .0364      .0152     -.0024    1004700400026 
  2.479       .054     1.8973      .0345      .0147      .0018    1004700400027 
  2.492       .055     1.9285      .0332      .0158      .0029    1004700400028 
  2.505       .056     1.9849      .0331      .0160      .0035    1004700400029 
  2.519       .056     1.9622      .0315      .0168      .0038    1004700400030 
  2.532       .056     1.9713      .0328      .0160      .0024    1004700400031 
  2.545       .057     1.9327      .0322      .0145      .0009    1004700400032 
  2.559       .057     1.9145      .0325      .0149     -.0004    1004700400033 
  2.573       .056     1.9664      .0333      .0158      .0041    1004700400034 
  2.587       .058     1.9700      .0310      .0156      .0043    1004700400035 
  2.601       .059     1.8855      .0280      .0157      .0050    1004700400036 
  2.615       .057     1.9422      .0296      .0169      .0055    1004700400037 
  2.629       .058     1.9646      .0275      .0152      .0043    1004700400038 
  2.644       .059     1.9289      .0257      .0151      .0030    1004700400039 
  2.658       .059     1.9483      .0258      .0141      .0019    1004700400040 
  2.673       .060     1.9526      .0276      .0137      .0027    1004700400041 
  2.688       .060     1.9724      .0285      .0142      .0045    1004700400042 
  2.703       .062     1.9350      .0272      .0147      .0037    1004700400043 
  2.717       .061     1.9850      .0261      .0148      .0054    1004700400044 
  2.732       .062     1.9795      .0254      .0149      .0061    1004700400045 
  2.747       .062     1.9342      .0245      .0164      .0068    1004700400046 
  2.761       .062     1.9721      .0249      .0169      .0065    1004700400047 
  2.775       .064     1.9995      .0246      .0161      .0065    1004700400048 
  2.790       .064     2.0142      .0247      .0160      .0060    1004700400049 
  2.805       .063     2.0334      .0244      .0153      .0055    1004700400050 
  2.822       .063     2.0154      .0241      .0149      .0050    1004700400051 
  2.837       .063     2.0073      .0220      .0131      .0046    1004700400052 
  2.853       .064     1.9871      .0212      .0128      .0041    1004700400053 
  2.869       .065     1.9827      .0211      .0128      .0037    1004700400054 
  2.885       .064     2.0213      .0219      .0133      .0038    1004700400055 
  2.902       .065     2.0174      .0219      .0130      .0037    1004700400056 
  2.918       .066     2.0154      .0227      .0114      .0003    1004700400057 
  2.934       .068     2.0247      .0223      .0105     -.0017    1004700400058 
  2.951       .067     2.0455      .0227      .0110      .0015    1004700400059 
  2.968       .068     2.0751      .0228      .0114      .0035    1004700400060 
  2.985       .068     2.0513      .0213      .0115      .0036    1004700400061 
  3.001       .068     2.0693      .0206      .0120      .0042    1004700400062 
  3.019       .069     2.0667      .0202      .0121      .0034    1004700400063 
  3.037       .069     2.0360      .0191      .0110      .0033    1004700400064 
  3.055       .071     2.0157      .0187      .0116      .0037    1004700400065 
  3.073       .071     2.0351      .0190      .0114      .0034    1004700400066 
  3.092       .071     2.0313      .0186      .0116      .0035    1004700400067 
  3.110       .071     2.0471      .0189      .0113      .0032    1004700400068 
  3.129       .072     2.0702      .0189      .0115      .0035    1004700400069 
  3.148       .073     2.0953      .0191      .0113      .0037    1004700400070 
  3.166       .074     2.0691      .0185      .0116      .0041    1004700400071 
  3.185       .074     2.0563      .0180      .0114      .0039    1004700400072 
  3.203       .074     2.0632      .0181      .0115      .0040    1004700400073 
  3.222       .075     2.0698      .0183      .0109      .0037    1004700400074 
  3.242       .076     2.0801      .0177      .0113      .0043    1004700400075 
  3.261       .076     2.0714      .0180      .0113      .0037    1004700400076 
  3.280       .077     2.0860      .0180      .0105      .0035    1004700400077 
  3.300       .078     2.0669      .0183      .0109      .0037    1004700400078 
  3.319       .078     2.0923      .0196      .0105      .0029    1004700400079 
  3.339       .079     2.0783      .0191      .0098      .0023    1004700400080 
  3.359       .079     2.0815      .0192      .0096      .0020    1004700400081 
  3.380       .080     2.0873      .0186      .0091      .0020    1004700400082 
  3.402       .080     2.0891      .0189      .0096      .0025    1004700400083 
  3.422       .081     2.0797      .0191      .0101      .0019    1004700400084 
  3.442       .081     2.1018      .0193      .0095      .0018    1004700400085 
  3.462       .081     2.1272      .0194      .0094      .0020    1004700400086 
  3.483       .083     2.1259      .0187      .0098      .0024    1004700400087 
  3.504       .083     2.1272      .0182      .0098      .0030    1004700400088 
  3.527       .084     2.1310      .0170      .0100      .0032    1004700400089 
  3.549       .084     2.1341      .0169      .0105      .0037    1004700400090 
  3.572       .085     2.1465      .0168      .0107      .0037    1004700400091 
  3.593       .087     2.1537      .0164      .0104      .0032    1004700400092 
  3.616       .087     2.1736      .0163      .0101      .0033    1004700400093 
  3.640       .088     2.1567      .0161      .0105      .0036    1004700400094 
  3.663       .088     2.1887      .0163      .0104      .0035    1004700400095 
  3.686       .089     2.2028      .0160      .0103      .0033    1004700400096 
  3.709       .090     2.2212      .0160      .0104      .0032    1004700400097 
  3.733       .090     2.2418      .0161      .0105      .0024    1004700400098 
  3.758       .091     2.2396      .0162      .0100      .0020    1004700400099 
  3.782       .092     2.2359      .0168      .0097      .0009    1004700400100 
  3.806       .093     2.2485      .0179      .0089     -.0005    1004700400101 
  3.831       .094     2.2678      .0183      .0085     -.0011    1004700400102 
  3.856       .095     2.2794      .0179      .0081     -.0013    1004700400103 
  3.882       .096     2.2753      .0176      .0081     -.0013    1004700400104 
  3.908       .098     2.2863      .0177      .0087     -.0005    1004700400105 
  3.934       .098     2.3092      .0192      .0083     -.0005    1004700400106 
  3.959       .098     2.3144      .0191      .0088      .0012    1004700400107 
  3.986       .099     2.3677      .0190      .0094      .0015    1004700400108 
  4.011       .101     2.3364      .0178      .0090      .0008    1004700400109 
  4.039       .101     2.3506      .0172      .0089      .0006    1004700400110 
  4.066       .101     2.3600      .0169      .0087      .0014    1004700400111 
  4.094       .103     2.3814      .0172      .0093      .0016    1004700400112 
  4.122       .102     2.4333      .0183      .0099      .0023    1004700400113 
  4.150       .104     2.4221      .0170      .0091      .0021    1004700400114 
  4.179       .105     2.4431      .0169      .0096      .0027    1004700400115 
  4.208       .106     2.4120      .0162      .0096      .0025    1004700400116 
  4.237       .106     2.4472      .0164      .0100      .0028    1004700400117 
  4.268       .106     2.4646      .0165      .0102      .0030    1004700400118 
  4.298       .106     2.5139      .0167      .0105      .0034    1004700400119 
  4.328       .109     2.4963      .0165      .0105      .0033    1004700400120 
  4.358       .110     2.5045      .0163      .0103      .0034    1004700400121 
  4.388       .111     2.4885      .0158      .0101      .0034    1004700400122 
  4.420       .111     2.5017      .0157      .0104      .0038    1004700400123 
  4.452       .112     2.4961      .0157      .0103      .0034    1004700400124 
  4.484       .113     2.5073      .0155      .0104      .0035    1004700400125 
  4.516       .115     2.5193      .0162      .0106      .0032    1004700400126 
  4.550       .116     2.5440      .0168      .0107      .0033    1004700400127 
  4.584       .118     2.5073      .0170      .0107      .0031    1004700400128 
  4.617       .118     2.5137      .0168      .0101      .0031    1004700400129 
  4.652       .120     2.5181      .0163      .0103      .0032    1004700400130 
  4.686       .121     2.4922      .0163      .0105      .0033    1004700400131 
  4.721       .123     2.4840      .0166      .0107      .0032    1004700400132 
  4.756       .123     2.5021      .0168      .0101      .0027    1004700400133 
  4.790       .123     2.4498      .0160      .0094      .0027    1004700400134 
  4.826       .126     2.4191      .0162      .0103      .0025    1004700400135 
  4.861       .128     2.4327      .0175      .0100      .0023    1004700400136 
  4.897       .130     2.4231      .0184      .0097      .0019    1004700400137 
  4.932       .129     2.3931      .0176      .0098      .0013    1004700400138 
  4.968       .129     2.3926      .0194      .0087     -.0006    1004700400139 
  5.007       .132     2.3255      .0185      .0086     -.0013    1004700400140 
  5.046       .135     2.2781      .0186      .0091     -.0010    1004700400141 
  5.085       .137     2.2913      .0192      .0093      .0008    1004700400142 
  5.123       .137     2.3231      .0201      .0090      .0006    1004700400143 
  5.161       .139     2.3078      .0193      .0094      .0012    1004700400144 
  5.200       .139     2.2708      .0187      .0101      .0016    1004700400145 
  5.239       .141     2.2185      .0178      .0099      .0017    1004700400146 
  5.279       .142     2.1646      .0171      .0100      .0015    1004700400147 
