ENTRY            13997   20050518                             13401399700000001 
SUBENT        13997001   20050518                             13401399700100001 
BIB                  9         18                                 1399700100002 
INSTITUTE  (1USALRL)                                              1399700100003 
REFERENCE  (R,UCRL-TR-209474,,2005)                               1399700100004 
           (C,2004SANTA,1,1035,2004)                              1399700100005 
AUTHOR     (D.Dashdorj,G.E.Mitchell,P.E.Garrett,U.Agvaanluvsan,   1399700100006 
            J.A.Becker,L.A.Bernstein,J.R.Cooper,R.D.Hoffman,      1399700100007 
            W.Younes,N.Devlin,N.Fotiades,R.O.Nelson)              1399700100008 
TITLE      48Ti (n,xnp alpha gamma) reaction cross sections using 1399700100009 
            spallation neutrons for En=1-20 MeV                   1399700100010 
FACILITY   (LINAC,1USALAS) LANSCE accelerator and WNR Facility    1399700100011 
DETECTOR   (GE-IN) Geanie detector array, 11 Compton-suppressed   1399700100012 
            planar germanium detectors and 14 coaxial Ge          1399700100013 
            detectors (9 Compton-suppressed and 5 unsuppressed).  1399700100014 
METHOD     (TOF)                                                  1399700100015 
SAMPLE     3.3 grams of TiO2 in form of disks, 2.4 cm diameter,   1399700100016 
            enriched to 99.81 % in 48Ti                           1399700100017 
HISTORY    (20050509C) DR                                         1399700100018 
           (20050914C) DR Second reference added                  1399700100019 
           (20060517C) DR Page corrected for second reference     1399700100020 
ENDBIB              18          0                                 1399700100021 
NOCOMMON             0          0                                 1399700100022 
ENDSUBENT           21          0                                 1399700199999 
SUBENT        13997002   20050518                             13351399700200001 
BIB                  3          4                                 1399700200002 
REACTION   (22-TI-48(N,INL)22-TI-48,PAR,SIG,G)                    1399700200003 
ERR-ANALYS (DATA-ERR) Statistical and systematics uncertainties   1399700200004 
           (ERR-S) Statistical uncertainties                      1399700200005 
STATUS     Data taken from Tables 8 to 73                         1399700200006 
ENDBIB               4          0                                 1399700200007 
NOCOMMON             0          0                                 1399700200008 
DATA                 6       4121                                 1399700200009 
E          EN         EN-ERR     DATA       ERR-S      DATA-ERR   1399700200010 
 175.3      2.243     0.029      0.0004     0.0001     0.0001     1399700200044 
 175.3      2.313     0.031      0.0004     0.0001     0.0001     1399700200045 
 175.3      2.387     0.031      0.0001     0.0001     0.0001     1399700200046 
 175.3      2.463     0.034      0.0005     0.0001     0.0001     1399700200047 
 175.3      2.546     0.035      0.0005     0.0001     0.0001     1399700200048 
 175.3      2.631     0.037      0.0003     0.0001     0.0001     1399700200049 
 175.3      2.719     0.039      0.0002     0.0001     0.0001     1399700200050 
 175.3      2.815     0.041      0.0003     0.0001     0.0001     1399700200051 
 175.3      2.913     0.043      0.0003     0.0001     0.0001     1399700200052 
 175.3      3.019     0.045      0.0004     0.0001     0.0001     1399700200053 
 175.3      3.127     0.048      0.0003     0.0001     0.0001     1399700200054 
 175.3      3.245     0.052      0.0004     0.0002     0.0002     1399700200055 
 175.3      3.367     0.053      0.0004     0.0001     0.0002     1399700200056 
 175.3      3.498     0.056      0.0003     0.0001     0.0002     1399700200057 
 175.3      3.636     0.061      0.0008     0.0002     0.0002     1399700200058 
 175.3      3.782     0.064      0.0006     0.0001     0.0002     1399700200059 
 175.3      3.937     0.068      0.0015     0.0002     0.0002     1399700200060 
 175.3      4.103     0.073      0.0024     0.0002     0.0003     1399700200061 
 175.3      4.279     0.076      0.0037     0.0002     0.0005     1399700200062 
 175.3      4.464     0.082      0.0052     0.0002     0.0006     1399700200063 
 175.3      4.665     0.088      0.0067     0.0002     0.0008     1399700200064 
 175.3      4.879     0.094      0.0072     0.0002     0.0008     1399700200065 
 175.3      5.108     0.100      0.0080     0.0003     0.0009     1399700200066 
 175.3      5.350     0.107      0.0112     0.0003     0.0013     1399700200067 
 175.3      5.617     0.116      0.0141     0.0004     0.0016     1399700200068 
 175.3      5.899     0.124      0.0166     0.0004     0.0019     1399700200069 
 175.3      6.205     0.135      0.0187     0.0004     0.0021     1399700200070 
 175.3      6.532     0.145      0.0216     0.0005     0.0024     1399700200071 
 175.3      6.891     0.158      0.0260     0.0005     0.0029     1399700200072 
 175.3      7.281     0.171      0.0290     0.0006     0.0032     1399700200073 
 175.3      7.695     0.186      0.0335     0.0006     0.0037     1399700200074 
 175.3      8.158     0.205      0.0372     0.0007     0.0041     1399700200075 
 175.3      8.658     0.223      0.0394     0.0007     0.0044     1399700200076 
 175.3      9.203     0.243      0.0433     0.0008     0.0048     1399700200077 
 175.3      9.809     0.270      0.0475     0.0009     0.0053     1399700200078 
 175.3     10.467     0.297      0.0531     0.0010     0.0059     1399700200079 
 175.3     11.208     0.326      0.0582     0.0011     0.0065     1399700200080 
 175.3     12.019     0.366      0.0612     0.0012     0.0068     1399700200081 
 175.3     12.933     0.403      0.0587     0.0012     0.0066     1399700200082 
 175.3     13.961     0.457      0.0484     0.0010     0.0054     1399700200083 
 175.3     15.094     0.512      0.0345     0.0007     0.0039     1399700200084 
 175.3     16.403     0.589      0.0245     0.0006     0.0028     1399700200085 
 175.3     17.862     0.685      0.0166     0.0004     0.0019     1399700200086 
 175.3     19.551     0.691      0.0106     0.0003     0.0012     1399700200087 
 344.2      1.031     0.010      0.0000     0.0003     0.0003     1399700200088 
 344.2      1.053     0.009      0.0006     0.0003     0.0003     1399700200089 
 344.2      1.075     0.010      0.0002     0.0003     0.0003     1399700200090 
 344.2      1.100     0.010      0.0003     0.0003     0.0003     1399700200091 
 344.2      1.122     0.009      0.0006     0.0002     0.0002     1399700200092 
 344.2      1.148     0.011      0.0000     0.0001     0.0001     1399700200093 
 344.2      1.174     0.011      0.0003     0.0002     0.0002     1399700200094 
 344.2      1.198     0.012      0.0004     0.0002     0.0002     1399700200095 
 344.2      1.227     0.012      0.0006     0.0003     0.0003     1399700200096 
 344.2      1.256     0.012      0.0002     0.0002     0.0002     1399700200097 
 344.2      1.285     0.012      0.0002     0.0002     0.0002     1399700200098 
 344.2      1.314     0.013      0.0001     0.0002     0.0002     1399700200099 
 344.2      1.346     0.014      0.0005     0.0002     0.0002     1399700200100 
 344.2      1.378     0.014      0.0001     0.0002     0.0002     1399700200101 
 344.2      1.412     0.014      0.0001     0.0003     0.0003     1399700200102 
 344.2      1.447     0.015      0.0004     0.0002     0.0002     1399700200103 
 344.2      1.522     0.016      0.0004     0.0002     0.0002     1399700200104 
 344.2      1.560     0.017      0.0004     0.0002     0.0002     1399700200105 
 344.2      1.601     0.017      0.0003     0.0002     0.0003     1399700200106 
 344.2      1.687     0.019      0.0005     0.0002     0.0003     1399700200107 
 344.2      1.733     0.020      0.0009     0.0002     0.0003     1399700200108 
 344.2      1.780     0.020      0.0004     0.0002     0.0003     1399700200109 
 344.2      1.830     0.021      0.0005     0.0002     0.0003     1399700200110 
 344.2      1.935     0.023      0.0004     0.0002     0.0002     1399700200111 
 344.2      1.991     0.024      0.0004     0.0002     0.0002     1399700200112 
 344.2      2.050     0.026      0.0001     0.0002     0.0002     1399700200113 
 344.2      2.112     0.027      0.0005     0.0003     0.0003     1399700200114 
 344.2      2.176     0.028      0.0000     0.0002     0.0002     1399700200115 
 344.2      2.243     0.029      0.0003     0.0002     0.0002     1399700200116 
 344.2      2.387     0.031      0.0003     0.0002     0.0002     1399700200117 
 344.2      2.463     0.034      0.0002     0.0002     0.0002     1399700200118 
 344.2      2.546     0.035      0.0003     0.0003     0.0003     1399700200119 
 344.2      2.631     0.037      0.0006     0.0003     0.0003     1399700200120 
 344.2      2.815     0.041      0.0007     0.0003     0.0003     1399700200121 
 344.2      2.913     0.043      0.0004     0.0003     0.0003     1399700200122 
 344.2      3.019     0.045      0.0000     0.0002     0.0002     1399700200123 
 344.2      3.498     0.056      0.0002     0.0003     0.0003     1399700200124 
 344.2      3.782     0.064      0.0002     0.0003     0.0003     1399700200125 
 344.2      3.937     0.068      0.0003     0.0003     0.0003     1399700200126 
 344.2      4.279     0.076      0.0005     0.0003     0.0003     1399700200127 
 344.2      4.464     0.082      0.0017     0.0003     0.0004     1399700200128 
 344.2      4.665     0.088      0.0028     0.0003     0.0004     1399700200129 
 344.2      4.879     0.094      0.0028     0.0003     0.0004     1399700200130 
 344.2      5.108     0.100      0.0028     0.0003     0.0004     1399700200131 
 344.2      5.350     0.107      0.0027     0.0003     0.0004     1399700200132 
 344.2      5.617     0.116      0.0029     0.0003     0.0005     1399700200133 
 344.2      5.899     0.124      0.0035     0.0003     0.0005     1399700200134 
 344.2      6.205     0.135      0.0028     0.0003     0.0004     1399700200135 
 344.2      6.532     0.145      0.0024     0.0003     0.0004     1399700200136 
 344.2      6.891     0.158      0.0022     0.0003     0.0004     1399700200137 
 344.2      7.281     0.171      0.0026     0.0003     0.0004     1399700200138 
 344.2      7.695     0.186      0.0024     0.0003     0.0004     1399700200139 
 344.2      8.158     0.205      0.0027     0.0003     0.0005     1399700200140 
 344.2      8.658     0.223      0.0020     0.0003     0.0004     1399700200141 
 344.2      9.203     0.243      0.0021     0.0003     0.0004     1399700200142 
 344.2      9.809     0.270      0.0030     0.0004     0.0005     1399700200143 
 344.2     10.467     0.297      0.0014     0.0004     0.0004     1399700200144 
 344.2     11.208     0.326      0.0024     0.0004     0.0005     1399700200145 
 344.2     12.019     0.366      0.0011     0.0004     0.0004     1399700200146 
 344.2     12.933     0.403      0.0017     0.0004     0.0004     1399700200147 
 344.2     13.961     0.457      0.0014     0.0004     0.0004     1399700200148 
 344.2     15.094     0.512      0.0016     0.0004     0.0004     1399700200149 
 344.2     16.403     0.589      0.0004     0.0004     0.0004     1399700200150 
 344.2     17.862     0.685      0.0003     0.0004     0.0004     1399700200151 
 344.2     19.551     0.691      0.0006     0.0003     0.0003     1399700200152 
 423.6      1.009     0.009      0.0004     0.0003     0.0003     1399700200153 
 423.6      1.031     0.010      0.0003     0.0003     0.0003     1399700200154 
 423.6      1.053     0.009      0.0003     0.0003     0.0004     1399700200155 
 423.6      1.075     0.010      0.0007     0.0004     0.0004     1399700200156 
 423.6      1.122     0.009      0.0003     0.0003     0.0003     1399700200157 
 423.6      1.148     0.011      0.0002     0.0003     0.0003     1399700200158 
 423.6      1.174     0.011      0.0002     0.0003     0.0003     1399700200159 
 423.6      1.198     0.012      0.0003     0.0003     0.0003     1399700200160 
 423.6      1.227     0.012      0.0003     0.0003     0.0003     1399700200161 
 423.6      1.256     0.012      0.0004     0.0003     0.0003     1399700200162 
 423.6      1.285     0.012      0.0009     0.0003     0.0003     1399700200163 
 423.6      1.314     0.013      0.0002     0.0003     0.0003     1399700200164 
 423.6      1.346     0.014      0.0005     0.0003     0.0003     1399700200165 
 423.6      1.378     0.014      0.0009     0.0003     0.0003     1399700200166 
 423.6      1.447     0.015      0.0009     0.0003     0.0003     1399700200167 
 423.6      1.522     0.016      0.0006     0.0003     0.0003     1399700200168 
 423.6      1.601     0.017      0.0008     0.0003     0.0003     1399700200169 
 423.6      1.642     0.018      0.0002     0.0003     0.0003     1399700200170 
 423.6      1.687     0.019      0.0000     0.0003     0.0003     1399700200171 
 423.6      1.780     0.020      0.0000     0.0003     0.0003     1399700200172 
 423.6      1.830     0.021      0.0006     0.0003     0.0003     1399700200173 
 423.6      1.882     0.023      0.0002     0.0003     0.0003     1399700200174 
 423.6      1.935     0.023      0.0008     0.0003     0.0003     1399700200175 
 423.6      2.050     0.026      0.0003     0.0003     0.0003     1399700200176 
 423.6      2.176     0.028      0.0001     0.0003     0.0003     1399700200177 
 423.6      2.243     0.029      0.0002     0.0003     0.0003     1399700200178 
 423.6      2.313     0.031      0.0004     0.0003     0.0003     1399700200179 
 423.6      2.387     0.031      0.0003     0.0003     0.0003     1399700200180 
 423.6      2.463     0.034      0.0000     0.0003     0.0003     1399700200181 
 423.6      2.546     0.035      0.0002     0.0003     0.0003     1399700200182 
 423.6      2.631     0.037      0.0007     0.0003     0.0003     1399700200183 
 423.6      2.719     0.039      0.0004     0.0003     0.0003     1399700200184 
 423.6      2.815     0.041      0.0004     0.0003     0.0003     1399700200185 
 423.6      2.913     0.043      0.0000     0.0003     0.0003     1399700200186 
 423.6      3.019     0.045      0.0007     0.0004     0.0004     1399700200187 
 423.6      3.127     0.048      0.0000     0.0001     0.0001     1399700200188 
 423.6      3.245     0.052      0.0008     0.0004     0.0004     1399700200189 
 423.6      3.367     0.053      0.0009     0.0004     0.0004     1399700200190 
 423.6      3.498     0.056      0.0006     0.0004     0.0004     1399700200191 
 423.6      3.636     0.061      0.0005     0.0004     0.0004     1399700200192 
 423.6      3.782     0.064      0.0009     0.0004     0.0004     1399700200193 
 423.6      3.937     0.068      0.0083     0.0005     0.0010     1399700200194 
 423.6      4.103     0.073      0.0123     0.0006     0.0015     1399700200195 
 423.6      4.279     0.076      0.0149     0.0006     0.0017     1399700200196 
 423.6      4.464     0.082      0.0177     0.0007     0.0021     1399700200197 
 423.6      4.665     0.088      0.0177     0.0007     0.0021     1399700200198 
 423.6      4.879     0.094      0.0178     0.0007     0.0021     1399700200199 
 423.6      5.108     0.100      0.0182     0.0007     0.0021     1399700200200 
 423.6      5.350     0.107      0.0191     0.0007     0.0022     1399700200201 
 423.6      5.617     0.116      0.0209     0.0007     0.0024     1399700200202 
 423.6      5.899     0.124      0.0219     0.0007     0.0025     1399700200203 
 423.6      6.205     0.135      0.0252     0.0008     0.0029     1399700200204 
 423.6      6.532     0.145      0.0257     0.0007     0.0029     1399700200205 
 423.6      6.891     0.158      0.0251     0.0007     0.0029     1399700200206 
 423.6      7.281     0.171      0.0257     0.0007     0.0029     1399700200207 
 423.6      7.695     0.186      0.0281     0.0008     0.0032     1399700200208 
 423.6      8.158     0.205      0.0290     0.0008     0.0033     1399700200209 
 423.6      8.658     0.223      0.0300     0.0008     0.0034     1399700200210 
 423.6      9.203     0.243      0.0294     0.0008     0.0033     1399700200211 
 423.6      9.809     0.270      0.0299     0.0008     0.0034     1399700200212 
 423.6     10.467     0.297      0.0300     0.0009     0.0034     1399700200213 
 423.6     11.208     0.326      0.0308     0.0009     0.0035     1399700200214 
 423.6     12.019     0.366      0.0327     0.0010     0.0037     1399700200215 
 423.6     12.933     0.403      0.0302     0.0009     0.0034     1399700200216 
 423.6     13.961     0.457      0.0231     0.0008     0.0027     1399700200217 
 423.6     15.094     0.512      0.0163     0.0007     0.0019     1399700200218 
 423.6     16.403     0.589      0.0118     0.0006     0.0014     1399700200219 
 423.6     17.862     0.685      0.0088     0.0006     0.0011     1399700200220 
 423.6     19.551     0.691      0.0067     0.0005     0.0009     1399700200221 
 458.0      1.009     0.009      0.0021     0.0003     0.0004     1399700200222 
 458.0      1.031     0.010      0.0027     0.0004     0.0005     1399700200223 
 458.0      1.053     0.009      0.0027     0.0004     0.0005     1399700200224 
 458.0      1.075     0.010      0.0029     0.0004     0.0005     1399700200225 
 458.0      1.100     0.010      0.0020     0.0003     0.0004     1399700200226 
 458.0      1.122     0.009      0.0019     0.0003     0.0003     1399700200227 
 458.0      1.148     0.011      0.0016     0.0003     0.0003     1399700200228 
 458.0      1.174     0.011      0.0018     0.0002     0.0003     1399700200229 
 458.0      1.198     0.012      0.0017     0.0002     0.0003     1399700200230 
 458.0      1.227     0.012      0.0017     0.0003     0.0003     1399700200231 
 458.0      1.256     0.012      0.0017     0.0003     0.0003     1399700200232 
 458.0      1.285     0.012      0.0008     0.0002     0.0002     1399700200233 
 458.0      1.314     0.013      0.0009     0.0002     0.0002     1399700200234 
 458.0      1.346     0.014      0.0009     0.0002     0.0002     1399700200235 
 458.0      1.378     0.014      0.0009     0.0002     0.0002     1399700200236 
 458.0      1.412     0.014      0.0004     0.0002     0.0002     1399700200237 
 458.0      1.447     0.015      0.0003     0.0002     0.0002     1399700200238 
 458.0      1.483     0.016      0.0006     0.0002     0.0002     1399700200239 
 458.0      1.522     0.016      0.0005     0.0002     0.0002     1399700200240 
 458.0      1.560     0.017      0.0004     0.0002     0.0002     1399700200241 
 458.0      1.601     0.017      0.0003     0.0002     0.0002     1399700200242 
 458.0      1.642     0.018      0.0004     0.0002     0.0002     1399700200243 
 458.0      1.882     0.023      0.0004     0.0002     0.0002     1399700200244 
 458.0      1.935     0.023      0.0002     0.0002     0.0002     1399700200245 
 458.0      2.243     0.029      0.0000     0.0001     0.0001     1399700200246 
 458.0      2.546     0.035      0.0000     0.0001     0.0001     1399700200247 
 458.0      4.279     0.076      0.0004     0.0002     0.0003     1399700200248 
 458.0      4.464     0.082      0.0021     0.0003     0.0003     1399700200249 
 458.0      4.665     0.088      0.0043     0.0003     0.0006     1399700200250 
 458.0      4.879     0.094      0.0040     0.0003     0.0005     1399700200251 
 458.0      5.108     0.100      0.0046     0.0003     0.0006     1399700200252 
 458.0      5.350     0.107      0.0047     0.0003     0.0006     1399700200253 
 458.0      5.617     0.116      0.0052     0.0003     0.0006     1399700200254 
 458.0      5.899     0.124      0.0053     0.0003     0.0006     1399700200255 
 458.0      6.205     0.135      0.0041     0.0003     0.0005     1399700200256 
 458.0      6.532     0.145      0.0041     0.0003     0.0005     1399700200257 
 458.0      6.891     0.158      0.0047     0.0003     0.0006     1399700200258 
 458.0      7.281     0.171      0.0041     0.0003     0.0005     1399700200259 
 458.0      7.695     0.186      0.0040     0.0003     0.0005     1399700200260 
 458.0      8.158     0.205      0.0047     0.0003     0.0006     1399700200261 
 458.0      8.658     0.223      0.0038     0.0003     0.0005     1399700200262 
 458.0      9.203     0.243      0.0033     0.0003     0.0005     1399700200263 
 458.0      9.809     0.270      0.0037     0.0003     0.0005     1399700200264 
 458.0     10.467     0.297      0.0037     0.0003     0.0005     1399700200265 
 458.0     11.208     0.326      0.0029     0.0003     0.0005     1399700200266 
 458.0     12.019     0.366      0.0032     0.0004     0.0005     1399700200267 
 458.0     12.933     0.403      0.0029     0.0004     0.0005     1399700200268 
 458.0     13.961     0.457      0.0025     0.0003     0.0004     1399700200269 
 458.0     15.094     0.512      0.0020     0.0003     0.0004     1399700200270 
 458.0     16.403     0.589      0.0023     0.0003     0.0004     1399700200271 
 458.0     17.862     0.685      0.0016     0.0003     0.0004     1399700200272 
 458.0     19.551     0.691      0.0016     0.0003     0.0003     1399700200273 
 497.1      1.009     0.009      0.0012     0.0002     0.0002     1399700200274 
 497.1      1.031     0.010      0.0014     0.0003     0.0003     1399700200275 
 497.1      1.053     0.009      0.0010     0.0002     0.0003     1399700200276 
 497.1      1.075     0.010      0.0017     0.0003     0.0004     1399700200277 
 497.1      1.100     0.010      0.0011     0.0002     0.0003     1399700200278 
 497.1      1.122     0.009      0.0007     0.0002     0.0002     1399700200279 
 497.1      1.148     0.011      0.0006     0.0002     0.0002     1399700200280 
 497.1      1.174     0.011      0.0009     0.0002     0.0002     1399700200281 
 497.1      1.198     0.012      0.0008     0.0002     0.0002     1399700200282 
 497.1      1.227     0.012      0.0010     0.0002     0.0003     1399700200283 
 497.1      1.256     0.012      0.0003     0.0002     0.0002     1399700200284 
 497.1      1.285     0.012      0.0003     0.0002     0.0002     1399700200285 
 497.1      1.314     0.013      0.0001     0.0002     0.0002     1399700200286 
 497.1      1.378     0.014      0.0002     0.0002     0.0002     1399700200287 
 497.1      1.412     0.014      0.0004     0.0002     0.0002     1399700200288 
 497.1      1.447     0.015      0.0000     0.0002     0.0002     1399700200289 
 497.1      1.522     0.016      0.0002     0.0002     0.0002     1399700200290 
 497.1      4.103     0.073      0.0000     0.0003     0.0003     1399700200291 
 497.1      4.279     0.076      0.0003     0.0003     0.0003     1399700200292 
 497.1      4.464     0.082      0.0019     0.0003     0.0003     1399700200293 
 497.1      4.665     0.088      0.0029     0.0003     0.0004     1399700200294 
 497.1      4.879     0.094      0.0027     0.0003     0.0004     1399700200295 
 497.1      5.108     0.100      0.0031     0.0003     0.0004     1399700200296 
 497.1      5.350     0.107      0.0036     0.0003     0.0005     1399700200297 
 497.1      5.617     0.116      0.0037     0.0003     0.0005     1399700200298 
 497.1      5.899     0.124      0.0032     0.0003     0.0005     1399700200299 
 497.1      6.205     0.135      0.0037     0.0003     0.0005     1399700200300 
 497.1      6.532     0.145      0.0033     0.0003     0.0005     1399700200301 
 497.1      6.891     0.158      0.0033     0.0003     0.0005     1399700200302 
 497.1      7.281     0.171      0.0026     0.0003     0.0004     1399700200303 
 497.1      7.695     0.186      0.0031     0.0003     0.0005     1399700200304 
 497.1      8.158     0.205      0.0029     0.0003     0.0004     1399700200305 
 497.1      8.658     0.223      0.0022     0.0003     0.0004     1399700200306 
 497.1      9.203     0.243      0.0023     0.0003     0.0004     1399700200307 
 497.1      9.809     0.270      0.0027     0.0003     0.0004     1399700200308 
 497.1     10.467     0.297      0.0021     0.0003     0.0004     1399700200309 
 497.1     11.208     0.326      0.0022     0.0004     0.0004     1399700200310 
 497.1     12.019     0.366      0.0022     0.0004     0.0004     1399700200311 
 497.1     12.933     0.403      0.0022     0.0004     0.0004     1399700200312 
 497.1     13.961     0.457      0.0007     0.0003     0.0003     1399700200313 
 497.1     15.094     0.512      0.0014     0.0003     0.0004     1399700200314 
 497.1     16.403     0.589      0.0010     0.0003     0.0003     1399700200315 
 497.1     17.862     0.685      0.0009     0.0003     0.0003     1399700200316 
 497.1     19.551     0.691      0.0008     0.0003     0.0003     1399700200317 
 555.4      1.009     0.009      0.0030     0.0004     0.0005     1399700200318 
 555.4      1.031     0.010      0.0035     0.0005     0.0006     1399700200319 
 555.4      1.053     0.009      0.0034     0.0005     0.0006     1399700200320 
 555.4      1.075     0.010      0.0040     0.0006     0.0007     1399700200321 
 555.4      1.100     0.010      0.0031     0.0004     0.0005     1399700200322 
 555.4      1.122     0.009      0.0025     0.0003     0.0004     1399700200323 
 555.4      1.148     0.011      0.0026     0.0003     0.0004     1399700200324 
 555.4      1.174     0.011      0.0020     0.0002     0.0003     1399700200325 
 555.4      1.198     0.012      0.0028     0.0003     0.0004     1399700200326 
 555.4      1.227     0.012      0.0025     0.0003     0.0004     1399700200327 
 555.4      1.256     0.012      0.0020     0.0003     0.0003     1399700200328 
 555.4      1.285     0.012      0.0014     0.0002     0.0003     1399700200329 
 555.4      1.314     0.013      0.0015     0.0002     0.0003     1399700200330 
 555.4      1.346     0.014      0.0012     0.0002     0.0003     1399700200331 
 555.4      1.378     0.014      0.0009     0.0002     0.0002     1399700200332 
 555.4      1.412     0.014      0.0011     0.0003     0.0003     1399700200333 
 555.4      1.447     0.015      0.0006     0.0002     0.0002     1399700200334 
 555.4      1.483     0.016      0.0004     0.0002     0.0002     1399700200335 
 555.4      1.522     0.016      0.0008     0.0002     0.0003     1399700200336 
 555.4      1.560     0.017      0.0005     0.0002     0.0002     1399700200337 
 555.4      1.601     0.017      0.0003     0.0002     0.0002     1399700200338 
 555.4      1.642     0.018      0.0006     0.0003     0.0003     1399700200339 
 555.4      1.687     0.019      0.0005     0.0002     0.0002     1399700200340 
 555.4      1.733     0.020      0.0006     0.0002     0.0002     1399700200341 
 555.4      1.780     0.020      0.0003     0.0002     0.0002     1399700200342 
 555.4      1.830     0.021      0.0001     0.0002     0.0002     1399700200343 
 555.4      4.279     0.076      0.0008     0.0003     0.0003     1399700200344 
 555.4      4.464     0.082      0.0063     0.0004     0.0008     1399700200345 
 555.4      4.665     0.088      0.0069     0.0004     0.0008     1399700200346 
 555.4      4.879     0.094      0.0080     0.0004     0.0009     1399700200347 
 555.4      5.108     0.100      0.0086     0.0004     0.0010     1399700200348 
 555.4      5.350     0.107      0.0106     0.0004     0.0012     1399700200349 
 555.4      5.617     0.116      0.0101     0.0004     0.0012     1399700200350 
 555.4      5.899     0.124      0.0087     0.0004     0.0010     1399700200351 
 555.4      6.205     0.135      0.0096     0.0004     0.0011     1399700200352 
