ENTRY            10524   20040504                             00001052400000001 
SUBENT        10524001   20040504                             00001052400100001 
BIB                  9         14                                 1052400100002 
INSTITUTE  (1USAANL)                                              1052400100003 
REFERENCE  (J,NP/A,244,213,197506)                                1052400100004 
           (R,ANL-NDM-7,197406)                                   1052400100005 
AUTHOR     (A.B.Smith,P.Guenther,J.Whalen)                        1052400100006 
TITLE      Neutron total and scattering cross sections of some    1052400100007 
           even Mo isotopes and the optical model.                1052400100008 
FACILITY   (DYNAM,1USAANL)                                        1052400100009 
INC-SOURCE (P-LI7)                                                1052400100010 
METHOD     (TOF) Time-of-flight                                   1052400100011 
STATUS     (APRVD) Approved by author 1976/1/19.                  1052400100012 
           Data received on magnetic tape, Smith, 1975/8          1052400100013 
HISTORY    (19751110C)                                            1052400100014 
           (19830107A) Converted to REACTION formalism            1052400100015 
           (20040504A) Updated to new date formats, lower case.   1052400100016 
ENDBIB              14          0                                 1052400100017 
NOCOMMON             0          0                                 1052400100018 
ENDSUBENT           17          0                                 1052400199999 
SUBENT        10524002   20040504                             00001052400200001 
BIB                  5          8                                 1052400200002 
REACTION   (42-MO-92(N,EL)42-MO-92,,DA)                           1052400200003 
INC-SPECT  Incident neutron resolution of 30 to 50 keV.           1052400200004 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1052400200005 
           A carbon sample was used to monitor detector           1052400200006 
           efficiency.                                            1052400200007 
MONIT-REF  (,Hopkins+,J,ND/A,9,145,1971)                          1052400200008 
ERR-ANALYS (DATA-ERR) Errors include uncertainties in angular     1052400200009 
            position and systematic errors.                       1052400200010 
ENDBIB               8          0                                 1052400200011 
NOCOMMON             0          0                                 1052400200012 
DATA                 4        238                                 1052400200013 
EN         ANG        DATA       DATA-ERR                         1052400200014 
MEV        ADEG       B/SR       PER-CENT                         1052400200015 
 3.8000E+00 6.7300E+01 1.2900E-01 1.5000E+01                      1052400200221 
 3.8000E+00 7.7300E+01 1.4500E-01 1.5000E+01                      1052400200222 
 3.8000E+00 8.3300E+01 1.3600E-01 1.5000E+01                      1052400200223 
 3.8000E+00 9.3300E+01 8.3000E-02 1.5000E+01                      1052400200224 
 3.8000E+00 9.9300E+01 6.4000E-02 1.5000E+01                      1052400200225 
 3.8000E+00 1.0930E+02 3.0000E-02 1.5000E+01                      1052400200226 
 3.8000E+00 1.1530E+02 2.6000E-02 1.5380E+01                      1052400200227 
 3.8000E+00 1.2520E+02 2.9000E-02 1.5000E+01                      1052400200228 
 3.8000E+00 1.3120E+02 3.8000E-02 1.5000E+01                      1052400200229 
 3.8000E+00 1.4120E+02 5.1000E-02 1.5000E+01                      1052400200230 
 3.8000E+00 1.4710E+02 6.8000E-02 1.5000E+01                      1052400200231 
 3.8000E+00 1.5110E+02 9.0000E-02 1.5000E+01                      1052400200232 
 3.8000E+00 1.5700E+02 1.2000E-01 1.5000E+01                      1052400200233 
 4.0000E+00 2.0300E+01 9.4900E-01 1.5000E+01                      1052400200234 
 4.0000E+00 2.6200E+01 6.4200E-01 1.5000E+01                      1052400200235 
 4.0000E+00 3.0200E+01 4.7300E-01 1.5000E+01                      1052400200236 
 4.0000E+00 3.6100E+01 2.6700E-01 1.5000E+01                      1052400200237 
 4.0000E+00 4.6100E+01 9.2000E-02 1.5000E+01                      1052400200238 
 4.0000E+00 5.2100E+01 6.2000E-02 1.5000E+01                      1052400200239 
 4.0000E+00 6.2100E+01 9.3000E-02 1.5000E+01                      1052400200240 
 4.0000E+00 6.8000E+01 1.1400E-01 1.5000E+01                      1052400200241 
 4.0000E+00 7.8000E+01 1.3500E-01 1.5000E+01                      1052400200242 
 4.0000E+00 8.4000E+01 1.1100E-01 1.5000E+01                      1052400200243 
 4.0000E+00 9.4000E+01 7.2000E-02 1.5000E+01                      1052400200244 
 4.0000E+00 1.0000E+02 5.3000E-02 1.5000E+01                      1052400200245 
 4.0000E+00 1.1000E+02 2.8000E-02 1.5000E+01                      1052400200246 
 4.0000E+00 1.1600E+02 2.3000E-02 1.7390E+01                      1052400200247 
 4.0000E+00 1.2590E+02 3.5000E-02 1.5000E+01                      1052400200248 
 4.0000E+00 1.3190E+02 3.0000E-02 1.5000E+01                      1052400200249 
 4.0000E+00 1.4190E+02 4.7000E-02 1.5000E+01                      1052400200250 
 4.0000E+00 1.4780E+02 5.3000E-02 1.5000E+01                      1052400200251 
 4.0000E+00 1.5180E+02 7.6000E-02 1.5000E+01                      1052400200252 
 4.0000E+00 1.5770E+02 9.4000E-02 1.5000E+01                      1052400200253 
ENDDATA            240          0                                 1052400200254 
ENDSUBENT          253          0                                 1052400299999 
SUBENT        10524003   20040504                             00001052400300001 
BIB                  5          8                                 1052400300002 
REACTION   (42-MO-96(N,EL)42-MO-96,,DA)                           1052400300003 
INC-SPECT  Incident neutron resolution of 30 to 50 keV.           1052400300004 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1052400300005 
           A carbon sample was used to monitor detector           1052400300006 
           efficiency.                                            1052400300007 
MONIT-REF  (,Hopkins+,J,ND/A,9,145,1971)                          1052400300008 
ERR-ANALYS (DATA-ERR) Errors include uncertainties in angular     1052400300009 
            position and systematic errors.                       1052400300010 
ENDBIB               8          0                                 1052400300011 
NOCOMMON             0          0                                 1052400300012 
DATA                 4        240                                 1052400300013 
EN         ANG        DATA       DATA-ERR                         1052400300014 
MEV        ADEG       B/SR       PER-CENT                         1052400300015 
 1.8000E+00 2.0320E+01 1.1760E+00 1.2000E+01                      1052400300016 
 1.8000E+00 2.6240E+01 1.0870E+00 1.2000E+01                      1052400300017 
 1.8000E+00 3.0200E+01 9.3200E-01 1.2000E+01                      1052400300018 
 1.8000E+00 3.6160E+01 8.3720E-01 1.2000E+01                      1052400300019 
 1.8000E+00 4.6110E+01 4.6440E-01 1.2000E+01                      1052400300020 
 1.8000E+00 5.2090E+01 3.9130E-01 1.2000E+01                      1052400300021 
 1.8000E+00 6.2060E+01 2.4280E-01 1.2000E+01                      1052400300022 
 1.8000E+00 6.8050E+01 1.9970E-01 1.2000E+01                      1052400300023 
 1.8000E+00 7.8020E+01 1.5910E-01 1.2000E+01                      1052400300024 
 1.8000E+00 8.4010E+01 1.4040E-01 1.2000E+01                      1052400300025 
 1.8000E+00 9.3990E+01 1.1630E-01 1.2000E+01                      1052400300026 
 1.8000E+00 9.9980E+01 1.0510E-01 1.2000E+01                      1052400300027 
 1.8000E+00 1.1000E+02 7.5750E-02 1.2000E+01                      1052400300028 
 1.8000E+00 1.1590E+02 6.6030E-02 1.2000E+01                      1052400300029 
 1.8000E+00 1.2590E+02 6.3650E-02 1.2000E+01                      1052400300030 
 1.8000E+00 1.3190E+02 6.3620E-02 1.2000E+01                      1052400300031 
 1.8000E+00 1.4190E+02 1.1090E-01 1.2000E+01                      1052400300032 
 1.8000E+00 1.4680E+02 1.1570E-01 1.2000E+01                      1052400300033 
 1.8000E+00 1.5180E+02 1.7640E-01 2.0000E+01                      1052400300034 
 1.8000E+00 1.5670E+02 2.0330E-01 2.0000E+01                      1052400300035 
 2.0000E+00 2.0320E+01 1.2140E+00 1.2000E+01                      1052400300036 
 2.0000E+00 2.6240E+01 1.0080E+00 1.2000E+01                      1052400300037 
 2.0000E+00 3.0200E+01 9.4620E-01 1.2000E+01                      1052400300038 
 2.0000E+00 3.6160E+01 7.3000E-01 1.2000E+01                      1052400300039 
 2.0000E+00 4.6110E+01 4.5250E-01 1.2000E+01                      1052400300040 
