ENTRY            13706   20100525                             13641370600000001 
SUBENT        13706001   20100525                             13641370600100001 
BIB                 11         26                                 1370600100002 
INSTITUTE  (1USALAS)                                              1370600100003 
REFERENCE  (J,PR,120,198,196010)                                  1370600100004 
AUTHOR     (J.E.Simmons,R.L.Henkel)                               1370600100005 
TITLE      Angular Distribution of Fragments in Fission Induced   1370600100006 
            by MeV Neutrons                                       1370600100007 
FACILITY   (VDG)                                                  1370600100008 
INC-SOURCE (P-T) 0.5 to 5 MeV                                     1370600100009 
           (D-D) 5 to 9 MeV                                       1370600100010 
           (D-T) 14 to 23 MeV                                     1370600100011 
DETECTOR   (PROPC)                                                1370600100012 
CORRECTION Corrected for:                                         1370600100013 
            . neutron background (1%),                            1370600100014 
            . accidental coincidence background (2%),             1370600100015 
            . relative counter efficiency,                        1370600100016 
            . break-up of neutrons at energy >21 MeV (1%),        1370600100017 
            . center-of-mass effect (1.5%),                       1370600100018 
            . resolution effect (2%).                             1370600100019 
           Not corrected for isotopic impurities.                 1370600100020 
ERR-ANALYS (EN-ERR) the half-energy loss of the incident charged- 1370600100021 
            particle in the gas target.                           1370600100022 
           (DATA-ERR) Standard deviation, dominated by statistical1370600100023 
            uncertainties, and including uncertainties in first 3 1370600100024 
            corrections.                                          1370600100025 
STATUS     (TABLE) Data taken from article.                       1370600100026 
HISTORY    (19980817C)                                            1370600100027 
           (20100525A) Subentry 13706.006 corrected. BIB update.  1370600100028 
ENDBIB              26          0                                 1370600100029 
NOCOMMON             0          0                                 1370600100030 
ENDSUBENT           29          0                                 1370600199999 
SUBENT        13706002   19980821                             00001370600200001 
BIB                  1          1                                 1370600200002 
REACTION   (92-U-233(N,F),,DA,FF,RSD)                             1370600200003 
ENDBIB               1          0                                 1370600200004 
NOCOMMON             0          0                                 1370600200005 
DATA                 5        108                                 1370600200006 
EN         EN-ERR     ANG        DATA       DATA-ERR              1370600200007 
 4.50       0.06       67.5       1.02       0.02                 1370600200041 
 4.50       0.06       45.        1.06       0.01                 1370600200042 
 4.50       0.06       22.5       1.15       0.02                 1370600200043 
 4.50       0.06       10.        1.10       0.02                 1370600200044 
 5.00       0.19       67.5       1.03       0.03                 1370600200045 
 5.00       0.19       45.        1.07       0.03                 1370600200046 
 5.00       0.19       22.5       1.18       0.03                 1370600200047 
 5.00       0.19       10.        1.12       0.02                 1370600200048 
 5.50       0.16       67.5       1.05       0.02                 1370600200049 
 5.50       0.16       45.        1.10       0.02                 1370600200050 
 5.50       0.16       22.5       1.14       0.03                 1370600200051 
 5.50       0.16       10.        1.10       0.03                 1370600200052 
 6.00       0.18       67.5       1.06       0.02                 1370600200053 
 6.00       0.18       45.        1.11       0.02                 1370600200054 
 6.00       0.18       22.5       1.20       0.02                 1370600200055 
 6.00       0.18       10.        1.18       0.02                 1370600200056 
 6.50       0.16       67.5       1.04       0.01                 1370600200057 
 6.50       0.16       45.        1.13       0.02                 1370600200058 
 6.50       0.16       22.5       1.24       0.02                 1370600200059 
 6.50       0.16       10.        1.24       0.02                 1370600200060 
 7.00       0.14       67.5       1.05       0.02                 1370600200061 
 7.00       0.14       45.        1.14       0.02                 1370600200062 
 7.00       0.14       22.5       1.25       0.02                 1370600200063 
 7.00       0.14       10.        1.29       0.02                 1370600200064 
 7.50       0.13       67.5       1.07       0.01                 1370600200065 
 7.50       0.13       45.        1.18       0.02                 1370600200066 
 7.50       0.13       22.5       1.29       0.02                 1370600200067 
 7.50       0.13       10.        1.32       0.02                 1370600200068 
 8.00       0.18       67.5       1.08       0.02                 1370600200069 
 8.00       0.18       45.        1.16       0.02                 1370600200070 
 8.00       0.18       22.5       1.28       0.02                 1370600200071 
 8.00       0.18       10.        1.33       0.02                 1370600200072 
 8.50       0.16       67.5       1.06       0.01                 1370600200073 
 8.50       0.16       45.        1.16       0.01                 1370600200074 
 8.50       0.16       22.5       1.27       0.01                 1370600200075 
 8.50       0.16       10.        1.27       0.02                 1370600200076 
 8.80       0.08       67.5       1.03       0.03                 1370600200077 
 8.80       0.08       45.        1.13       0.03                 1370600200078 
 8.80       0.08       22.5       1.24       0.03                 1370600200079 
 8.80       0.08       10.        1.25       0.04                 1370600200080 
 9.05       0.05       67.5       1.09       0.03                 1370600200081 
 9.05       0.05       45.        1.14       0.03                 1370600200082 
 9.05       0.05       22.5       1.24       0.03                 1370600200083 
 9.05       0.05       10.        1.25       0.03                 1370600200084 
14.8        0.20       67.5       1.12       0.07                 1370600200085 
14.8        0.20       45.        1.20       0.07                 1370600200086 
14.8        0.20       22.5       1.32       0.07                 1370600200087 
14.8        0.20       10.        1.32       0.08                 1370600200088 
16.0        0.29       67.5       1.11       0.04                 1370600200089 
16.0        0.29       45.        1.25       0.04                 1370600200090 
16.0        0.29       22.5       1.42       0.04                 1370600200091 
16.0        0.29       10.        1.26       0.05                 1370600200092 
18.0        0.26       67.5       1.04       0.02                 1370600200093 
18.0        0.26       45.        1.16       0.02                 1370600200094 
18.0        0.26       22.5       1.25       0.02                 1370600200095 
18.0        0.26       10.        1.20       0.03                 1370600200096 
19.0        0.14       67.5       1.01       0.03                 1370600200097 
19.0        0.14       45.        1.08       0.03                 1370600200098 
19.0        0.14       22.5       1.19       0.04                 1370600200099 
19.0        0.14       10.        1.19       0.04                 1370600200100 
20.0        0.08       67.5       1.12       0.04                 1370600200101 
20.0        0.08       45.        1.20       0.04                 1370600200102 
20.0        0.08       22.5       1.26       0.04                 1370600200103 
20.0        0.08       10.        1.27       0.04                 1370600200104 
21.0        0.07       67.5       1.11       0.04                 1370600200105 
21.0        0.07       45.        1.18       0.04                 1370600200106 
21.0        0.07       22.5       1.32       0.04                 1370600200107 
21.0        0.07       10.        1.25       0.04                 1370600200108 
22.0        0.09       67.5       1.04       0.02                 1370600200109 
22.0        0.09       45.        1.10       0.02                 1370600200110 
22.0        0.09       22.5       1.17       0.03                 1370600200111 
22.0        0.09       10.        1.14       0.03                 1370600200112 
23.0        0.03       67.5       1.90       0.03                 1370600200113 
23.0        0.03       45.        1.04       0.03                 1370600200114 
23.0        0.03       22.5       1.06       0.03                 1370600200115 
23.0        0.03       10.        1.16       0.03                 1370600200116 
ENDDATA            110          0                                 1370600200117 
ENDSUBENT          116          0                                 1370600299999 
SUBENT        13706003   19980821                             00001370600300001 
BIB                  1          1                                 1370600300002 
REACTION   (92-U-235(N,F),,DA,FF,RSD)                             1370600300003 
ENDBIB               1          0                                 1370600300004 
NOCOMMON             0          0                                 1370600300005 
DATA                 5        112                                 1370600300006 
EN         EN-ERR     ANG        DATA       DATA-ERR              1370600300007 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1370600300008 
 0.52       0.12       67.5       1.03       0.03                 1370600300009 
 0.52       0.12       45.        1.00       0.03                 1370600300010 
 0.52       0.12       22.5       1.04       0.03                 1370600300011 
 0.52       0.12       10.        1.04       0.03                 1370600300012 
 1.00       0.09       67.5       0.99       0.04                 1370600300013 
 1.00       0.09       45.        1.02       0.04                 1370600300014 
 1.00       0.09       22.5       1.09       0.04                 1370600300015 
 1.00       0.09       10.        1.09       0.04                 1370600300016 
 1.50       0.08       67.5       1.07       0.04                 1370600300017 
 1.50       0.08       45.        1.16       0.04                 1370600300018 
 1.50       0.08       22.5       1.18       0.04                 1370600300019 
 1.50       0.08       10.        1.12       0.04                 1370600300020 
 2.00       0.07       67.5       1.05       0.03                 1370600300021 
 2.00       0.07       45.        1.11       0.02                 1370600300022 
 2.00       0.07       22.5       1.19       0.03                 1370600300023 
 2.00       0.07       10.        1.21       0.03                 1370600300024 
 2.51       0.05       67.5       1.02       0.02                 1370600300025 
 2.51       0.05       45.        1.08       0.03                 1370600300026 
 2.51       0.05       22.5       1.15       0.03                 1370600300027 
 2.51       0.05       10.        1.15       0.03                 1370600300028 
 3.00       0.05       67.5       1.02       0.02                 1370600300029 
 3.00       0.05       45.        1.07       0.02                 1370600300030 
 3.00       0.05       22.5       1.12       0.03                 1370600300031 
 3.00       0.05       10.        1.18       0.03                 1370600300032 
 3.50       0.03       67.5       1.00       0.03                 1370600300033 
 3.50       0.03       45.        1.02       0.03                 1370600300034 
 3.50       0.03       22.5       1.13       0.03                 1370600300035 
 3.50       0.03       10.        1.15       0.03                 1370600300036 
 4.00       0.04       67.5       1.00       0.03                 1370600300037 
 4.00       0.04       45.        1.05       0.03                 1370600300038 
 4.00       0.04       22.5       1.11       0.03                 1370600300039 
 4.00       0.04       10.        1.11       0.03                 1370600300040 
 4.25       0.04       67.5       1.00       0.03                 1370600300041 
 4.25       0.04       45.        1.06       0.03                 1370600300042 
 4.25       0.04       22.5       1.14       0.03                 1370600300043 
 4.25       0.04       10.        1.13       0.03                 1370600300044 
 4.50       0.04       67.5       1.05       0.03                 1370600300045 
 4.50       0.04       45.        1.12       0.03                 1370600300046 
 4.50       0.04       22.5       1.18       0.03                 1370600300047 
 4.50       0.04       10.        1.18       0.04                 1370600300048 
 5.00       0.19       67.5       1.04       0.03                 1370600300049 
 5.00       0.19       45.        1.08       0.04                 1370600300050 
 5.00       0.19       22.5       1.17       0.04                 1370600300051 
 5.00       0.19       10.        1.19       0.04                 1370600300052 
 5.50       0.16       67.5       1.07       0.03                 1370600300053 
 5.50       0.16       45.        1.09       0.03                 1370600300054 
 5.50       0.16       22.5       1.15       0.03                 1370600300055 
 5.50       0.16       10.        1.18       0.03                 1370600300056 
 6.00       0.14       67.5       1.03       0.03                 1370600300057 
 6.00       0.14       45.        1.08       0.03                 1370600300058 
 6.00       0.14       22.5       1.15       0.03                 1370600300059 
 6.00       0.14       10.        1.15       0.03                 1370600300060 
 6.50       0.11       67.5       1.04       0.03                 1370600300061 
 6.50       0.11       45.        1.14       0.03                 1370600300062 
 6.50       0.11       22.5       1.31       0.03                 1370600300063 
 6.50       0.11       10.        1.30       0.03                 1370600300064 
 7.00       0.10       67.5       1.01       0.04                 1370600300065 
 7.00       0.10       45.        1.16       0.04                 1370600300066 
 7.00       0.10       22.5       1.24       0.04                 1370600300067 
 7.00       0.10       10.        1.32       0.05                 1370600300068 
 7.50       0.10       67.5       1.06       0.02                 1370600300069 
 7.50       0.10       45.        1.27       0.03                 1370600300070 
 7.50       0.10       22.5       1.34       0.03                 1370600300071 
 7.50       0.10       10.        1.36       0.03                 1370600300072 
 8.00       0.09       67.5       1.04       0.02                 1370600300073 
 8.00       0.09       45.        1.19       0.03                 1370600300074 
 8.00       0.09       22.5       1.31       0.03                 1370600300075 
 8.00       0.09       10.        1.32       0.03                 1370600300076 
 8.50       0.08       67.5       1.05       0.02                 1370600300077 
 8.50       0.08       45.        1.16       0.02                 1370600300078 
 8.50       0.08       22.5       1.32       0.02                 1370600300079 
 8.50       0.08       10.        1.33       0.03                 1370600300080 
 8.80       0.08       67.5       1.07       0.03                 1370600300081 
 8.80       0.08       45.        1.17       0.03                 1370600300082 
 8.80       0.08       22.5       1.33       0.03                 1370600300083 
 8.80       0.08       10.        1.35       0.03                 1370600300084 
 9.05       0.05       67.5       1.04       0.03                 1370600300085 
 9.05       0.05       45.        1.16       0.03                 1370600300086 
 9.05       0.05       22.5       1.25       0.03                 1370600300087 
 9.05       0.05       10.        1.34       0.04                 1370600300088 
14.8        0.20       67.5       0.94       0.07                 1370600300089 
14.8        0.20       45.        1.14       0.08                 1370600300090 
14.8        0.20       22.5       1.22       0.08                 1370600300091 
14.8        0.20       10.        1.30       0.09                 1370600300092 
16.0        0.29       67.5       1.12       0.04                 1370600300093 
16.0        0.29       45.        1.24       0.04                 1370600300094 
16.0        0.29       22.5       1.38       0.04                 1370600300095 
16.0        0.29       10.        1.35       0.05                 1370600300096 
18.0        0.20       67.5       1.04       0.04                 1370600300097 
18.0        0.20       45.        1.16       0.04                 1370600300098 
18.0        0.20       22.5       1.25       0.04                 1370600300099 
18.0        0.20       10.        1.28       0.04                 1370600300100 
19.0        0.14       67.5       1.03       0.03                 1370600300101 
19.0        0.14       45.        1.12       0.03                 1370600300102 
19.0        0.14       22.5       1.22       0.04                 1370600300103 
19.0        0.14       10.        1.29       0.04                 1370600300104 
20.0        0.08       67.5       1.08       0.04                 1370600300105 
20.0        0.08       45.        1.13       0.04                 1370600300106 
20.0        0.08       22.5       1.26       0.04                 1370600300107 
20.0        0.08       10.        1.28       0.04                 1370600300108 
21.0        0.07       67.5       1.06       0.04                 1370600300109 
21.0        0.07       45.        1.18       0.04                 1370600300110 
21.0        0.07       22.5       1.23       0.04                 1370600300111 
21.0        0.07       10.        1.25       0.04                 1370600300112 
22.0        0.09       67.5       1.03       0.03                 1370600300113 
22.0        0.09       45.        1.09       0.03                 1370600300114 
22.0        0.09       22.5       1.23       0.03                 1370600300115 
22.0        0.09       10.        1.32       0.03                 1370600300116 
23.0        0.03       67.5       1.08       0.03                 1370600300117 
23.0        0.03       45.        1.08       0.03                 1370600300118 
23.0        0.03       22.5       1.19       0.03                 1370600300119 
23.0        0.03       10.        1.25       0.03                 1370600300120 
ENDDATA            114          0                                 1370600300121 
ENDSUBENT          120          0                                 1370600399999 
SUBENT        13706004   19980821                             00001370600400001 
BIB                  1          1                                 1370600400002 
REACTION   (94-PU-239(N,F),,DA,FF,RSD)                            1370600400003 
ENDBIB               1          0                                 1370600400004 
NOCOMMON             0          0                                 1370600400005 
DATA                 5         56                                 1370600400006 
EN         EN-ERR     ANG        DATA       DATA-ERR              1370600400007 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1370600400008 
 0.50       0.10       67.5       0.94       0.04                 1370600400009 
 0.50       0.10       45.        0.96       0.04                 1370600400010 
 0.50       0.10       22.5       1.04       0.04                 1370600400011 
 0.50       0.10       10.        1.04       0.05                 1370600400012 
 1.00       0.08       67.5       1.00       0.04                 1370600400013 
 1.00       0.08       45.        1.01       0.04                 1370600400014 
 1.00       0.08       22.5       1.06       0.04                 1370600400015 
 1.00       0.08       10.        1.07       0.05                 1370600400016 
 1.50       0.12       67.5       1.00       0.02                 1370600400017 
 1.50       0.12       45.        1.05       0.02                 1370600400018 
 1.50       0.12       22.5       1.07       0.02                 1370600400019 
 1.50       0.12       10.        1.08       0.02                 1370600400020 
 2.00       0.10       67.        1.03       0.02                 1370600400021 
 2.00       0.10       45.        1.04       0.02                 1370600400022 
 2.00       0.10       22.5       1.07       0.02                 1370600400023 
 2.00       0.10       10.        1.11       0.03                 1370600400024 
 2.50       0.09       65.5       1.02       0.02                 1370600400025 
 2.50       0.09       45.        1.06       0.03                 1370600400026 
 2.50       0.09       22.5       1.09       0.02                 1370600400027 
 2.50       0.09       10.        1.12       0.02                 1370600400028 
 3.00       0.08       67.5       1.02       0.02                 1370600400029 
 3.00       0.08       45.        1.06       0.02                 1370600400030 
 3.00       0.08       22.5       1.11       0.02                 1370600400031 
 3.00       0.08       10.        1.12       0.03                 1370600400032 
 3.50       0.07       67.5       1.02       0.02                 1370600400033 
 3.50       0.07       45.        1.05       0.03                 1370600400034 
 3.50       0.07       22.5       1.07       0.02                 1370600400035 
 3.50       0.07       10.        1.10       0.02                 1370600400036 
 4.00       0.06       67.5       0.99       0.02                 1370600400037 
 4.00       0.06       45.        1.03       0.03                 1370600400038 
 4.00       0.06       22.5       1.08       0.02                 1370600400039 
 4.00       0.06       10.        1.09       0.02                 1370600400040 
 4.50       0.06       67.5       0.98       0.02                 1370600400041 
 4.50       0.06       45.        1.04       0.02                 1370600400042 
 4.50       0.06       22.5       1.07       0.02                 1370600400043 
 4.50       0.06       10.        1.08       0.02                 1370600400044 
 5.32       0.05       67.5       1.00       0.02                 1370600400045 
 5.32       0.05       45.        1.02       0.02                 1370600400046 
 5.32       0.05       22.5       1.08       0.02                 1370600400047 
 5.32       0.05       10.        1.09       0.03                 1370600400048 
 6.00       0.18       67.5       1.01       0.02                 1370600400049 
 6.00       0.18       45.        1.07       0.02                 1370600400050 
 6.00       0.18       22.5       1.10       0.02                 1370600400051 
 6.00       0.18       10.        1.12       0.03                 1370600400052 
 6.50       0.16       67.5       1.03       0.02                 1370600400053 
 6.50       0.16       45.        1.07       0.02                 1370600400054 
 6.50       0.16       22.5       1.15       0.02                 1370600400055 
 6.50       0.16       10.        1.18       0.03                 1370600400056 
 7.00       0.10       67.5       1.03       0.02                 1370600400057 
 7.00       0.10       45.        1.10       0.02                 1370600400058 
 7.00       0.10       22.5       1.18       0.02                 1370600400059 
 7.00       0.10       10.        1.21       0.02                 1370600400060 
 7.50       0.13       67.5       1.03       0.02                 1370600400061 
 7.50       0.13       45.        1.08       0.02                 1370600400062 
 7.50       0.13       22.5       1.17       0.02                 1370600400063 
 7.50       0.13       10.        1.21       0.03                 1370600400064 
ENDDATA             58          0                                 1370600400065 
ENDSUBENT           64          0                                 1370600499999 
SUBENT        13706005   19980821                             00001370600500001 
BIB                  1          1                                 1370600500002 
REACTION   (93-NP-237(N,F),,DA,FF,RSD)                            1370600500003 
ENDBIB               1          0                                 1370600500004 
NOCOMMON             0          0                                 1370600500005 
DATA                 5         80                                 1370600500006 
EN         EN-ERR     ANG        DATA       DATA-ERR              1370600500007 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1370600500008 
 1.00       0.08       67.5       1.01       0.07                 1370600500009 
 1.00       0.08       45.        1.04       0.07                 1370600500010 
 1.00       0.08       22.5       1.12       0.07                 1370600500011 
 1.0        0.08       10.        1.16       0.07                 1370600500012 
 1.25       0.08       67.5       1.01       0.04                 1370600500013 
 1.25       0.08       45.        1.06       0.04                 1370600500014 
 1.25       0.08       22.5       1.09       0.04                 1370600500015 
 1.25       0.08       10.        1.06       0.04                 1370600500016 
 1.50       0.12       67.5       1.01       0.02                 1370600500017 
 1.50       0.12       45.        1.03       0.02                 1370600500018 
 1.50       0.12       22.5       1.09       0.02                 1370600500019 
 1.50       0.12       10.        1.14       0.02                 1370600500020 
 1.75       0.07       67.5       0.98       0.03                 1370600500021 
 1.75       0.07       45.        1.03       0.03                 1370600500022 
 1.75       0.07       22.5       1.08       0.03                 1370600500023 
 1.75       0.07       10.        1.12       0.03                 1370600500024 
 2.00       0.10       67.5       0.99       0.02                 1370600500025 
 2.00       0.10       45.        1.06       0.02                 1370600500026 
 2.00       0.10       22.5       1.08       0.02                 1370600500027 
 2.00       0.10       10.        1.12       0.02                 1370600500028 
 2.50       0.09       67.5       1.01       0.01                 1370600500029 
 2.50       0.09       45.        1.07       0.01                 1370600500030 
 2.50       0.09       22.5       1.09       0.01                 1370600500031 
 2.50       0.09       10.        1.11       0.02                 1370600500032 
 3.00       0.07       67.5       0.96       0.03                 1370600500033 
 3.00       0.07       45.        1.02       0.03                 1370600500034 
 3.00       0.07       22.5       1.12       0.03                 1370600500035 
 3.00       0.07       10.        1.12       0.04                 1370600500036 
 3.50       0.06       67.5       1.00       0.02                 1370600500037 
 3.50       0.06       45.        1.06       0.02                 1370600500038 
 3.50       0.06       22.5       1.14       0.02                 1370600500039 
 3.50       0.06       10.        1.16       0.02                 1370600500040 
 4.00       0.04       67.5       1.10       0.05                 1370600500041 
 4.00       0.04       45.        1.07       0.05                 1370600500042 
 4.00       0.04       22.5       1.16       0.05                 1370600500043 
 4.00       0.04       10.        1.16       0.05                 1370600500044 
 4.50       0.06       67.5       0.97       0.02                 1370600500045 
 4.50       0.06       45.        0.99       0.02                 1370600500046 
 4.50       0.06       22.5       1.07       0.02                 1370600500047 
 4.50       0.06       10.        1.10       0.02                 1370600500048 
 5.00       0.19       67.5       1.03       0.02                 1370600500049 
 5.00       0.19       45.        1.09       0.02                 1370600500050 
 5.00       0.19       22.5       1.12       0.02                 1370600500051 
 5.00       0.19       10.        1.16       0.02                 1370600500052 
 5.50       0.18       67.5       1.02       0.02                 1370600500053 
 5.50       0.18       45.        1.03       0.02                 1370600500054 
 5.50       0.18       22.5       1.06       0.02                 1370600500055 
 5.50       0.18       10.        1.10       0.03                 1370600500056 
 6.00       0.17       67.5       1.08       0.02                 1370600500057 
 6.00       0.17       45.        1.14       0.02                 1370600500058 
 6.00       0.17       22.5       1.19       0.02                 1370600500059 
 6.00       0.17       10.        1.21       0.03                 1370600500060 
 6.50       0.19       67.5       1.02       0.02                 1370600500061 
 6.50       0.19       45.        1.11       0.02                 1370600500062 
 6.50       0.19       22.5       1.21       0.02                 1370600500063 
 6.50       0.19       10.        1.26       0.03                 1370600500064 
 7.00       0.19       67.5       1.03       0.02                 1370600500065 
 7.00       0.19       45.        1.10       0.02                 1370600500066 
 7.00       0.19       22.5       1.21       0.02                 1370600500067 
 7.00       0.19       10.        1.26       0.02                 1370600500068 
 7.21       0.19       67.5       1.04       0.02                 1370600500069 
 7.21       0.19       45.        1.10       0.02                 1370600500070 
 7.21       0.19       22.5       1.24       0.02                 1370600500071 
 7.21       0.19       10.        1.30       0.02                 1370600500072 
 7.50       0.17       67.5       1.04       0.02                 1370600500073 
 7.50       0.17       45.        1.14       0.02                 1370600500074 
 7.50       0.17       22.5       1.22       0.02                 1370600500075 
 7.50       0.17       10.        1.31       0.02                 1370600500076 
 8.00       0.09       67.5       1.06       0.03                 1370600500077 
 8.00       0.09       45.        1.16       0.03                 1370600500078 
 8.00       0.09       22.5       1.27       0.04                 1370600500079 
 8.00       0.09       10.        1.26       0.04                 1370600500080 
 8.50       0.08       67.5       1.02       0.02                 1370600500081 
 8.50       0.08       45.        1.10       0.02                 1370600500082 
 8.50       0.08       22.5       1.18       0.02                 1370600500083 
 8.50       0.08       10.        1.22       0.02                 1370600500084 
 8.80       0.08       67.5       1.08       0.03                 1370600500085 
 8.80       0.08       45.        1.17       0.03                 1370600500086 
 8.80       0.08       22.5       1.31       0.03                 1370600500087 
 8.80       0.08       10.        1.33       0.04                 1370600500088 
ENDDATA             82          0                                 1370600500089 
ENDSUBENT           88          0                                 1370600599999 
SUBENT        13706006   20100525                             13641370600600001 
BIB                  2          2                                 1370600600002 
REACTION   (90-TH-230(N,F),,DA,FF,RSD)                            1370600600003 
HISTORY    (20100525A) Reaction target corrected.                 1370600600004 
ENDBIB               2          0                                 1370600600005 
NOCOMMON             0          0                                 1370600600006 
DATA                 5         72                                 1370600600007 
EN         EN-ERR     ANG        DATA       DATA-ERR              1370600600008 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1370600600009 
 1.00       0.14       67.5       0.80       0.10                 1370600600010 
 1.00       0.14       45.        0.95       0.11                 1370600600011 
 1.00       0.14       22.5       1.12       0.11                 1370600600012 
 1.00       0.14       10.        1.34       0.12                 1370600600013 
 1.25       0.12       67.5       0.84       0.07                 1370600600014 
 1.25       0.12       45.        1.08       0.08                 1370600600015 
 1.25       0.12       22.5       1.24       0.09                 1370600600016 
 1.25       0.12       10.        1.29       0.08                 1370600600017 
 1.50       0.12       67.5       1.06       0.06                 1370600600018 
 1.50       0.12       45.        1.06       0.07                 1370600600019 
 1.50       0.12       22.5       0.94       0.07                 1370600600020 
 1.50       0.12       10.        0.94       0.07                 1370600600021 
 1.75       0.11       67.5       1.05       0.06                 1370600600022 
 1.75       0.11       45.        1.12       0.06                 1370600600023 
 1.75       0.11       22.5       1.19       0.06                 1370600600024 
 1.75       0.11       10.        1.30       0.06                 1370600600025 
 2.00       0.10       67.5       0.90       0.05                 1370600600026 
 2.00       0.10       45.        1.01       0.05                 1370600600027 
 2.00       0.10       22.5       1.29       0.06                 1370600600028 
 2.00       0.10       10.        1.27       0.05                 1370600600029 
 2.10       0.10       67.5       1.12       0.07                 1370600600030 
 2.10       0.10       45.        1.24       0.07                 1370600600031 
 2.10       0.10       22.5       1.51       0.08                 1370600600032 
 2.10       0.10       10.        1.67       0.07                 1370600600033 
 2.50       0.09       67.5       0.84       0.06                 1370600600034 
 2.50       0.09       45.        1.11       0.07                 1370600600035 
 2.50       0.09       22.5       1.12       0.07                 1370600600036 
 2.50       0.09       10.        1.13       0.07                 1370600600037 
 3.00       0.09       67.5       0.99       0.02                 1370600600038 
 3.00       0.09       45.        1.08       0.02                 1370600600039 
 3.00       0.09       22.5       1.20       0.02                 1370600600040 
 3.00       0.09       10.        1.19       0.02                 1370600600041 
 4.00       0.05       67.5       0.94       0.04                 1370600600042 
