ENTRY            12838   19851119                             00001283800000001 
SUBENT        12838001   19851119                             00001283800100001 
BIB                 13         32                                 1283800100002 
INSTITUTE  (1USADAV,1USALAS)                                      1283800100003 
REFERENCE  (J,PR/C,28,521,8308)                                   1283800100004 
AUTHOR     (T.S.SUBRAMANIAN,J.L.ROMERO,F.P.BRADY,J.W.WATSON,      1283800100005 
           D.H.FITZGERALD,R.GARRETT,G.A.NEEDHAM,J.L.ULLMAN,       1283800100006 
           C.I.ZANELLI,D.J.BRENNER,R.A.PRAEL)                     1283800100007 
TITLE      DOUBLE DIFFERENTIAL INCLUSIVE HYDROGEN AND HELIUM      1283800100008 
            SPECTRA FROM NEUTRON-INDUCED REACTIONS ON CARBON      1283800100009 
            27.4, 39.7, AND 60.7 MEV                              1283800100010 
INC-SOURCE (P-LI7)                                                1283800100011 
SAMPLE     SHEETS OF C-H                                          1283800100012 
DETECTOR   (TELES,SOLST,NAICR) 2 SI(SB) DELTA-E DETECTORS         1283800100013 
            COUPLED WITH NAI DETECTOR FOR OUTGOING PARTICLES      1283800100014 
           (TELES,SCIN) CHARGED-PARTICLE VETO DETECTOR COUPLED    1283800100015 
            WITH 2 PLASTIC SCINTILLATORS WITH A CH2 CONVERTER     1283800100016 
            FOR NEUTRON BEAM MONITOR                              1283800100017 
METHOD     TIME-OF-FLIGHT USED TO ELIMINATE NEUTRON BEAM TAIL.    1283800100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1283800100019 
CORRECTION CORRECTED FOR BACKGROUND, ENERGY AND PARTICLE          1283800100020 
            LOSS IN SAMPLE, AND DEAD GAP IN NAI DETECTOR          1283800100021 
ERR-ANALYS (ERR-S) QUOTED ERRORS ARE STAISTICAL                   1283800100022 
           SYSTEMATIC ERRORS INCLUDE                              1283800100023 
            - NORMALIZATION TO H PEAK (2 PERCENT)                 1283800100024 
            - BACKGROUND SUBTRACTION (APPROX. 8 PERCENT)          1283800100025 
            - HE3 CONTAMINATION IN ALPHA SPECTRUM                 1283800100026 
               FOR 27.4 MEV, NEGLIGIBLE                           1283800100027 
               FOR 39.7 MEV, APPROX. 3 PERCENT                    1283800100028 
               FOR 60.7 MEV, APPORX. 5 PERCENT                    1283800100029 
            - OVERALL NORMALIZATION UNCERTAINTY 5 PERCENT         1283800100030 
            - HYDROGEN SURFACE DENSITY (APPROX. 4 PERCENT)        1283800100031 
STATUS     DATA TAKEN FROM PRIVATE COMM., ROMERO, 85/9            1283800100032 
           (APRVD) J.L.ROMERO, 11/5/85.                           1283800100033 
HISTORY    (850812C)                                              1283800100034 
ENDBIB              32          0                                 1283800100035 
NOCOMMON             0          0                                 1283800100036 
ENDSUBENT           35          0                                 1283800199999 
SUBENT        12838002   19851119                             00001283800200001 
BIB                  2          4                                 1283800200002 
REACTION   (6-C-12(N,X)1-H-1,,DA/DE)                              1283800200003 
CORRECTION CORRECTED FOR PROTON LOSS IN STOPPING DETECTOR DUE TO  1283800200004 
            NUCLEAR INTERACTIONS. RANGES FROM 1.5 PERCENT AT 39.7 1283800200005 
            MEV TO 4 PERCENT AT 60.7 MEV.                         1283800200006 
ENDBIB               4          0                                 1283800200007 
NOCOMMON             0          0                                 1283800200008 
DATA                 5        223                                 1283800200009 
EN         ANG        E          DATA       ERR-S                 1283800200010 
    39.7          35.0        9.1       0.66       0.13           1283800200069 
    39.7          35.0       11.1       0.46       0.13           1283800200070 
    39.7          35.0       13.1       0.87       0.12           1283800200071 
    39.7          35.0       15.1       0.53       0.16           1283800200072 
    39.7          35.0       17.1       0.96       0.13           1283800200073 
    39.7          35.0       19.1       0.93       0.15           1283800200074 
    39.7          40.0        2.3       0.54       0.10           1283800200075 
    39.7          40.0        6.3       0.70       0.17           1283800200076 
    39.7          40.0        8.3       0.28       0.12           1283800200077 
    39.7          40.0       10.3       0.36       0.14           1283800200078 
    39.7          40.0       12.3       0.47       0.13           1283800200079 
    39.7          40.0       14.3       0.46       0.14           1283800200080 
    39.7          45.0        5.4       0.85       0.15           1283800200081 
    39.7          45.0        7.4       0.64       0.17           1283800200082 
    39.7          45.0        9.4       0.57       0.12           1283800200083 
    39.7          45.0       11.4       0.40       0.16           1283800200084 
    39.7          65.0       11.0       0.27       0.11           1283800200085 
    39.7          65.0       13.0       0.33       0.10           1283800200086 
    39.7          65.0       15.0       0.28       0.11           1283800200087 
    39.7          65.0       17.0       0.19       0.10           1283800200088 
    39.7          65.0       19.0       0.30       0.13           1283800200089 
    39.7          65.0       21.0       0.45       0.10           1283800200090 
    39.7          65.0       23.0       0.21       0.08           1283800200091 
    39.7          90.0        2.8       0.49       0.09           1283800200092 
    39.7          90.0       12.8       0.03       0.08           1283800200093 
    39.7          90.0       14.8       0.11       0.10           1283800200094 
    39.7          90.0       16.8       0.13       0.05           1283800200095 
    39.7          90.0       18.8       0.08       0.04           1283800200096 
    39.7          90.0       20.8       0.17       0.06           1283800200097 
    39.7          90.0       22.8       0.04       0.04           1283800200098 
    39.7         130.0        2.8       0.43       0.16           1283800200099 
    39.7         130.0       10.8       0.26       0.07           1283800200100 
    39.7         130.0       12.8       0.14       0.11           1283800200101 
    39.7         130.0       14.8       0.09       0.10           1283800200102 
    39.7         130.0       16.8      -0.09       0.14           1283800200103 
    39.7         130.0       18.8      -0.05       0.09           1283800200104 
    39.7         150.0        2.8       0.62       0.08           1283800200105 
    39.7         150.0       10.8       0.33       0.12           1283800200106 
    39.7         150.0       12.8       0.10       0.10           1283800200107 
    39.7         150.0       14.8       0.19       0.11           1283800200108 
    39.7         150.0       16.8      -0.05       0.12           1283800200109 
    60.7          15.0        4.7       0.61       0.11           1283800200110 
    60.7          15.0        6.7       0.48       0.15           1283800200111 
    60.7          15.0       10.7       0.85       0.15           1283800200112 
    60.7          15.0       12.7       0.38       0.20           1283800200113 
    60.7          15.0       14.7       1.03       0.19           1283800200114 
    60.7          15.0       16.7       0.51       0.20           1283800200115 
    60.7          15.0       18.7       0.78       0.20           1283800200116 
    60.7          15.0       20.7       0.96       0.21           1283800200117 
    60.7          15.0       22.7       0.73       0.21           1283800200118 
    60.7          15.0       24.7       1.05       0.20           1283800200119 
    60.7          15.0       26.7       0.98       0.21           1283800200120 
    60.7          15.0       28.7       1.28       0.20           1283800200121 
    60.7          15.0       30.7       0.77       0.20           1283800200122 
    60.7          15.0       32.7       1.07       0.20           1283800200123 
    60.7          15.0       34.7       1.05       0.19           1283800200124 
    60.7          15.0       36.7       1.01       0.18           1283800200125 
    60.7          15.0       38.7       1.94       0.18           1283800200126 
    60.7          15.0       40.7       1.57       0.16           1283800200127 
    60.7          15.0       42.7       1.56       0.16           1283800200128 
    60.7          15.0       44.7       0.98       0.16           1283800200129 
    60.7          15.0       46.7       1.41       0.15           1283800200130 
    60.7          20.0        4.7       0.80       0.09           1283800200131 
    60.7          20.0        6.7       0.76       0.09           1283800200132 
    60.7          20.0       10.7       0.64       0.12           1283800200133 
    60.7          20.0       12.7       0.83       0.13           1283800200134 
    60.7          20.0       14.7       0.41       0.16           1283800200135 
    60.7          20.0       16.7       0.88       0.15           1283800200136 
    60.7          20.0       18.7       0.88       0.15           1283800200137 
    60.7          20.0       20.7       1.27       0.16           1283800200138 
    60.7          20.0       22.7       0.82       0.17           1283800200139 
    60.7          20.0       24.7       0.75       0.16           1283800200140 
    60.7          20.0       26.7       0.93       0.16           1283800200141 
    60.7          20.0       28.7       1.16       0.15           1283800200142 
    60.7          20.0       30.7       0.92       0.15           1283800200143 
    60.7          20.0       32.7       0.92       0.16           1283800200144 
    60.7          20.0       34.7       0.80       0.15           1283800200145 
    60.7          20.0       36.7       1.08       0.14           1283800200146 
    60.7          20.0       38.7       1.51       0.14           1283800200147 
    60.7          20.0       40.7       1.43       0.14           1283800200148 
    60.7          20.0       42.7       1.57       0.14           1283800200149 
    60.7          35.0        3.8       0.91       0.07           1283800200150 
    60.7          35.0        7.8       1.04       0.10           1283800200151 
    60.7          35.0        9.8       0.52       0.11           1283800200152 
    60.7          35.0       11.8       0.74       0.10           1283800200153 
    60.7          35.0       13.8       0.51       0.12           1283800200154 
    60.7          35.0       15.8       0.65       0.11           1283800200155 
    60.7          35.0       17.8       0.55       0.11           1283800200156 
    60.7          35.0       19.8       0.46       0.13           1283800200157 
    60.7          35.0       21.8       0.52       0.12           1283800200158 
    60.7          35.0       23.8       0.45       0.12           1283800200159 
    60.7          35.0       25.8       0.46       0.12           1283800200160 
    60.7          35.0       27.8       0.58       0.13           1283800200161 
    60.7          35.0       29.8       0.59       0.14           1283800200162 
    60.7          40.0        3.4       0.66       0.06           1283800200163 
    60.7          40.0        7.4       0.50       0.10           1283800200164 
    60.7          40.0        9.4       0.31       0.12           1283800200165 
    60.7          40.0       11.4       0.51       0.11           1283800200166 
    60.7          40.0       13.4       0.48       0.10           1283800200167 
    60.7          40.0       15.4       0.43       0.11           1283800200168 
    60.7          40.0       17.4       0.46       0.10           1283800200169 
    60.7          40.0       19.4       0.55       0.13           1283800200170 
    60.7          40.0       21.4       0.47       0.11           1283800200171 
    60.7          40.0       23.4       0.54       0.12           1283800200172 
    60.7          40.0       25.4       0.63       0.10           1283800200173 
    60.7          40.0       45.4       0.12       0.09           1283800200174 
    60.7          45.0        4.1       0.43       0.07           1283800200175 
    60.7          45.0        8.1       0.52       0.10           1283800200176 
    60.7          45.0       10.1       0.31       0.10           1283800200177 
    60.7          45.0       12.1       0.23       0.12           1283800200178 
    60.7          45.0       14.1       0.29       0.11           1283800200179 
    60.7          45.0       16.1       0.28       0.11           1283800200180 
    60.7          45.0       40.1       0.51       0.08           1283800200181 
    60.7          45.0       42.1       0.38       0.07           1283800200182 
    60.7          45.0       44.1       0.13       0.06           1283800200183 
    60.7          65.0       19.4       0.21       0.09           1283800200184 
    60.7          65.0       21.4       0.19       0.08           1283800200185 
    60.7          65.0       23.4       0.26       0.07           1283800200186 
    60.7          65.0       25.4       0.15       0.07           1283800200187 
    60.7          65.0       27.4       0.13       0.07           1283800200188 
    60.7          65.0       29.4       0.23       0.07           1283800200189 
    60.7          65.0       31.4       0.13       0.06           1283800200190 
    60.7          65.0       33.4       0.00       0.07           1283800200191 
    60.7          65.0       35.4       0.08       0.07           1283800200192 
    60.7          65.0       37.4       0.12       0.06           1283800200193 
    60.7          65.0       39.4       0.13       0.05           1283800200194 
    60.7          65.0       41.4       0.07       0.05           1283800200195 
    60.7          90.0        2.8       0.45       0.12           1283800200196 
    60.7          90.0        8.8       0.10       0.08           1283800200197 
    60.7          90.0       10.8       0.31       0.13           1283800200198 
    60.7          90.0       12.8       0.12       0.13           1283800200199 
    60.7          90.0       14.8       0.31       0.11           1283800200200 
    60.7          90.0       16.8       0.12       0.13           1283800200201 
    60.7          90.0       18.8      -0.06       0.12           1283800200202 
    60.7          90.0       20.8       0.25       0.09           1283800200203 
    60.7          90.0       22.8       0.19       0.10           1283800200204 
    60.7          90.0       24.8       0.13       0.06           1283800200205 
    60.7          90.0       26.8       0.08       0.09           1283800200206 
    60.7          90.0       28.8       0.14       0.08           1283800200207 
    60.7          90.0       30.8       0.04       0.09           1283800200208 
    60.7         130.0        2.8       0.45       0.12           1283800200209 
    60.7         130.0        8.8       0.03       0.10           1283800200210 
    60.7         130.0       10.8       0.18       0.12           1283800200211 
    60.7         130.0       12.8       0.28       0.11           1283800200212 
    60.7         130.0       14.8       0.18       0.12           1283800200213 
    60.7         130.0       16.8       0.02       0.13           1283800200214 
    60.7         130.0       18.8      -0.03       0.14           1283800200215 
    60.7         130.0       20.8      -0.05       0.14           1283800200216 
    60.7         130.0       22.8       0.23       0.10           1283800200217 
    60.7         130.0       24.8       0.10       0.05           1283800200218 
    60.7         130.0       26.8       0.04       0.03           1283800200219 
    60.7         130.0       28.8       0.06       0.05           1283800200220 
    60.7         130.0       30.8       0.03       0.03           1283800200221 
    60.7         150.0        2.8       0.42       0.10           1283800200222 
    60.7         150.0        8.8       0.25       0.13           1283800200223 
    60.7         150.0       10.8       0.18       0.19           1283800200224 
    60.7         150.0       12.8       0.17       0.21           1283800200225 
    60.7         150.0       14.8      -0.04       0.23           1283800200226 
    60.7         150.0       16.8      -0.28       0.23           1283800200227 
    60.7         150.0       18.8       0.13       0.23           1283800200228 
    60.7         150.0       20.8       0.21       0.21           1283800200229 
    60.7         150.0       22.8      -0.10       0.19           1283800200230 
    60.7         150.0       24.8       0.04       0.10           1283800200231 
    60.7         150.0       26.8      -0.01       0.09           1283800200232 
    60.7         150.0       28.8      -0.01       0.08           1283800200233 
    60.7         150.0       30.8      -0.14       0.12           1283800200234 
ENDDATA            225          0                                 1283800200235 
ENDSUBENT          234          0                                 1283800299999 
SUBENT        12838003   19850812                             00001283800300001 
BIB                  1          1                                 1283800300002 
REACTION   (6-C-12(N,X)1-H-2,,DA/DE)                              1283800300003 
ENDBIB               1          0                                 1283800300004 
NOCOMMON             0          0                                 1283800300005 
DATA                 5        275                                 1283800300006 
EN         ANG        E          DATA       ERR-S                 1283800300007 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             1283800300008 
    27.4          15.0        4.8       0.64       0.10           1283800300009 
    27.4          15.0        6.7       0.88       0.12           1283800300010 
    27.4          15.0        8.8       0.71       0.12           1283800300011 
    27.4          15.0       10.7       0.64       0.12           1283800300012 
    27.4          15.0       12.8       4.20       0.27           1283800300013 
    27.4          15.0       14.7       1.53       0.24           1283800300014 
    27.4          20.0        4.4       0.86       0.11           1283800300015 
    27.4          20.0        6.4       0.92       0.13           1283800300016 
    27.4          20.0        8.4       0.62       0.11           1283800300017 
    27.4          20.0       10.4       0.56       0.12           1283800300018 
    27.4          20.0       12.4       3.01       0.21           1283800300019 
    27.4          20.0       14.4       1.81       0.18           1283800300020 
    27.4          35.0        5.3       0.36       0.09           1283800300021 
    27.4          35.0        7.3       0.36       0.12           1283800300022 
    27.4          35.0        9.3       0.77       0.13           1283800300023 
    27.4          35.0       11.3       1.99       0.21           1283800300024 
    27.4          35.0       13.3       0.12       0.18           1283800300025 
    27.4          40.0        4.3       0.56       0.09           1283800300026 
    27.4          40.0        6.3       0.49       0.10           1283800300027 
    27.4          40.0        8.3       0.39       0.08           1283800300028 
    27.4          40.0       10.3       0.53       0.10           1283800300029 
    27.4          40.0       12.3       1.69       0.16           1283800300030 
    27.4          40.0       14.3       0.13       0.04           1283800300031 
    27.4          40.0       16.3       0.06       0.03           1283800300032 
    27.4          45.0        4.3       0.50       0.09           1283800300033 
    27.4          45.0        6.3       0.55       0.10           1283800300034 
    27.4          45.0        8.3       0.56       0.10           1283800300035 
    27.4          45.0       10.3       0.62       0.11           1283800300036 
    27.4          45.0       12.3       1.37       0.14           1283800300037 
    27.4          65.0        5.1       0.30       0.06           1283800300038 
    27.4          65.0        7.1       0.36       0.08           1283800300039 
    27.4          65.0        9.1       0.36       0.08           1283800300040 
    27.4          65.0       11.1       0.70       0.11           1283800300041 
    39.7          15.0        4.4       0.45       0.14           1283800300042 
    39.7          15.0        6.4       0.55       0.11           1283800300043 
    39.7          15.0        8.4       0.41       0.15           1283800300044 
    39.7          15.0       10.4       0.29       0.18           1283800300045 
    39.7          15.0       12.4       0.37       0.14           1283800300046 
    39.7          15.0       14.4       0.41       0.15           1283800300047 
    39.7          15.0       16.4       0.53       0.12           1283800300048 
    39.7          15.0       18.4       0.65       0.14           1283800300049 
    39.7          15.0       20.4       0.62       0.18           1283800300050 
    39.7          15.0       22.4       0.77       0.21           1283800300051 
    39.7          15.0       24.4       4.24       0.29           1283800300052 
    39.7          15.0       26.4       5.17       0.30           1283800300053 
    39.7          20.0        4.2       0.53       0.10           1283800300054 
    39.7          20.0        6.2       0.62       0.11           1283800300055 
    39.7          20.0        8.2       0.66       0.12           1283800300056 
    39.7          20.0       10.2       0.57       0.13           1283800300057 
    39.7          20.0       12.2       0.38       0.11           1283800300058 
    39.7          20.0       14.2       0.36       0.11           1283800300059 
    39.7          20.0       16.2       0.53       0.09           1283800300060 
    39.7          20.0       18.2       0.60       0.12           1283800300061 
    39.7          20.0       20.2       0.72       0.11           1283800300062 
    39.7          20.0       22.2       1.20       0.12           1283800300063 
    39.7          20.0       24.2       3.64       0.25           1283800300064 
    39.7          35.0        3.2       0.40       0.08           1283800300065 
    39.7          35.0        5.2       0.47       0.08           1283800300066 
    39.7          35.0        7.2       0.51       0.09           1283800300067 
    39.7          35.0        9.2       0.48       0.09           1283800300068 
    39.7          35.0       11.2       0.12       0.12           1283800300069 
    39.7          35.0       13.2       0.12       0.09           1283800300070 
    39.7          35.0       15.2       0.30       0.07           1283800300071 
    39.7          35.0       17.2       0.24       0.12           1283800300072 
    39.7          35.0       19.2       0.08       0.15           1283800300073 
    39.7          35.0       21.2       0.43       0.09           1283800300074 
    39.7          40.0        3.6       0.45       0.08           1283800300075 
    39.7          40.0        5.6       0.38       0.08           1283800300076 
    39.7          40.0        7.6       0.41       0.10           1283800300077 
    39.7          40.0        9.6       0.42       0.09           1283800300078 
    39.7          40.0       11.6       0.26       0.10           1283800300079 
    39.7          40.0       13.6       0.26       0.05           1283800300080 
    39.7          40.0       15.6       0.26       0.10           1283800300081 
    39.7          40.0       17.6       0.40       0.08           1283800300082 
    39.7          40.0       19.6       0.28       0.09           1283800300083 
    39.7          40.0       21.6       0.59       0.10           1283800300084 
    39.7          40.0       23.6       1.65       0.16           1283800300085 
    39.7          40.0       25.6       0.36       0.07           1283800300086 
    39.7          45.0        5.0       0.42       0.09           1283800300087 
    39.7          45.0        7.0       0.53       0.09           1283800300088 
    39.7          45.0        9.0       0.31       0.09           1283800300089 
    39.7          45.0       11.0       0.46       0.11           1283800300090 
    39.7          45.0       13.0       0.22       0.06           1283800300091 
    39.7          45.0       15.0       0.30       0.08           1283800300092 
    39.7          45.0       17.0       0.48       0.08           1283800300093 
    39.7          45.0       19.0       0.44       0.10           1283800300094 
    39.7          45.0       21.0       0.34       0.11           1283800300095 
    39.7          45.0       23.0       1.27       0.15           1283800300096 
    39.7          45.0       25.0       0.49       0.13           1283800300097 
    39.7          65.0        3.4       0.43       0.09           1283800300098 
    39.7          65.0        5.4       0.41       0.08           1283800300099 
    39.7          65.0        7.4       0.27       0.08           1283800300100 
    39.7          65.0        9.4       0.29       0.08           1283800300101 
    39.7          65.0       13.4       0.11       0.11           1283800300102 
    39.7          65.0       15.4       0.13       0.09           1283800300103 
    39.7          65.0       17.4       0.12       0.05           1283800300104 
    39.7          65.0       19.4       0.27       0.08           1283800300105 
    39.7          65.0       21.4       0.60       0.10           1283800300106 
    39.7          90.0        3.6       0.19       0.09           1283800300107 
    39.7          90.0        5.6       0.13       0.06           1283800300108 
    39.7          90.0       13.6       0.15       0.13           1283800300109 
    39.7          90.0       15.6       0.19       0.08           1283800300110 
    39.7          90.0       17.6       0.25       0.09           1283800300111 
    39.7         130.0        3.9       0.16       0.06           1283800300112 
    39.7         130.0        5.9       0.09       0.10           1283800300113 
    39.7         130.0       13.9       0.10       0.04           1283800300114 
    39.7         150.0        3.8       0.25       0.06           1283800300115 
    39.7         150.0        5.8       0.14       0.06           1283800300116 
    39.7         150.0       13.8      -0.03       0.12           1283800300117 
    60.7          15.0        4.3       0.40       0.04           1283800300118 
    60.7          15.0        6.3       0.39       0.06           1283800300119 
    60.7          15.0        8.3       0.38       0.08           1283800300120 
    60.7          15.0       10.3       0.41       0.09           1283800300121 
    60.7          15.0       12.3       0.34       0.10           1283800300122 
    60.7          15.0       14.3       0.30       0.09           1283800300123 
    60.7          15.0       16.3       0.23       0.09           1283800300124 
    60.7          15.0       18.3       0.45       0.08           1283800300125 
    60.7          15.0       20.3       0.31       0.10           1283800300126 
    60.7          15.0       22.3       0.38       0.10           1283800300127 
    60.7          15.0       24.3       0.03       0.11           1283800300128 
    60.7          15.0       26.3       0.23       0.12           1283800300129 
    60.7          15.0       28.3       0.35       0.10           1283800300130 
    60.7          15.0       30.3       0.20       0.11           1283800300131 
    60.7          15.0       32.3       0.29       0.11           1283800300132 
    60.7          15.0       34.3       0.42       0.11           1283800300133 
    60.7          15.0       36.3       0.51       0.11           1283800300134 
    60.7          15.0       38.3       0.57       0.11           1283800300135 
    60.7          15.0       40.3       0.96       0.12           1283800300136 
    60.7          15.0       42.3       0.78       0.12           1283800300137 
    60.7          15.0       44.3       2.92       0.14           1283800300138 
    60.7          15.0       46.3       3.52       0.14           1283800300139 
    60.7          15.0       48.3       0.20       0.09           1283800300140 
    60.7          20.0        4.3       0.45       0.05           1283800300141 
    60.7          20.0        6.3       0.44       0.05           1283800300142 
    60.7          20.0        8.3       0.37       0.07           1283800300143 
    60.7          20.0       10.3       0.42       0.07           1283800300144 
    60.7          20.0       12.3       0.44       0.07           1283800300145 
    60.7          20.0       14.3       0.33       0.06           1283800300146 
    60.7          20.0       16.3       0.38       0.07           1283800300147 
    60.7          20.0       18.3       0.20       0.08           1283800300148 
    60.7          20.0       20.3       0.30       0.07           1283800300149 
    60.7          20.0       22.3       0.24       0.07           1283800300150 
    60.7          20.0       24.3       0.18       0.08           1283800300151 
    60.7          20.0       26.3       0.35       0.07           1283800300152 
    60.7          20.0       28.3       0.28       0.08           1283800300153 
    60.7          20.0       30.3       0.19       0.08           1283800300154 
    60.7          20.0       32.3       0.22       0.09           1283800300155 
