ENTRY            11319   19840606                             00001131900000001 
SUBENT        11319001   19840606                             00001131900100001 
BIB                  8         11                                 1131900100002 
INSTITUTE  (1USAORL)                                              1131900100003 
REFERENCE  (J,PR,109,891,58)                                      1131900100004 
AUTHOR     (J.E.WILLS JR,J.K.BAIR,H.O.COHN,H.B.WILLARD)           1131900100005 
TITLE      SCATTERING OF FAST NEUTRONS FROM C-12 AND F-19.        1131900100006 
INC-SOURCE (P-T,P-LI7)                                            1131900100007 
DETECTOR   (PROPC,SCIN) BIASED PROPORTIONAL COUNTER PLUS, ABOVE   1131900100008 
            2.5 MEV, BIASED LIQUID SCINTILLATOR                   1131900100009 
STATUS     (SCSRS)                                                1131900100010 
HISTORY    (760714T) TRANSLATED FROM SCISRS                       1131900100011 
           (810428A) CONVERTED TO REACTION FORMALISM              1131900100012 
           (840607A) BIB CORRECTION.                              1131900100013 
ENDBIB              11          0                                 1131900100014 
NOCOMMON             0          0                                 1131900100015 
ENDSUBENT           14          0                                 1131900199999 
SUBENT        11319002   19870224                             00001131900200001 
BIB                  2          3                                 1131900200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1131900200003 
HISTORY    (840607A) DATA SORTED.                                 1131900200004 
           (870224A) REACTION UPDATE.                             1131900200005 
ENDBIB               3          0                                 1131900200006 
COMMON               1          3                                 1131900200007 
EN-RSL                                                            1131900200008 
KEV                                                               1131900200009 
 50.                                                              1131900200010 
ENDCOMMON            3          0                                 1131900200011 
DATA                 6        107                                 1131900200012 
EN         EN-RSL     COS-CM     DATA       DATA-ERR   DATA-MAX   1131900200013 
 3.76   +00            0.78000    3.15   +02 1.1    +01           1131900200112 
 4.10   +00           -0.8000     1.95   +02 9.     +00           1131900200113 
 4.10   +00           -0.6000     1.58   +02 9.     +00           1131900200114 
 4.10   +00           -0.4100     7.8    +01 8.     +00           1131900200115 
 4.10   +00           -0.2000     6.1    +01 7.     +00           1131900200116 
 4.10   +00           -0.0100     5.6    +01 6.     +00           1131900200117 
 4.10   +00            0.19000    5.6    +01 6.     +00           1131900200118 
 4.10   +00            0.39000    5.3    +01 6.     +00           1131900200119 
 4.10   +00            0.59000    8.9    +01 6.     +00           1131900200120 
 4.10   +00            0.78000    2.01   +02 6.     +00           1131900200121 
ENDDATA            109          0                                 1131900200122 
ENDSUBENT          121          0                                 1131900299999 
SUBENT        11319003   19870224                             00001131900300001 
BIB                  2          2                                 1131900300002 
REACTION   (6-C-0(N,TOT),,SIG)                                    1131900300003 
HISTORY    (870224A) REACTION UPDATE.                             1131900300004 
ENDBIB               2          0                                 1131900300005 
NOCOMMON             0          0                                 1131900300006 
DATA                 4         23                                 1131900300007 
EN         EN-RSL     DATA       DATA-ERR                         1131900300008 
MEV        MEV        B          PER-CENT                         1131900300009 
 2.041  +00 4.     -03 1.64   +00    6.0                          1131900300010 
 2.046  +00 4.     -03 1.68   +00    6.0                          1131900300011 
 2.051  +00 4.     -03 1.70   +00    6.0                          1131900300012 
 2.056  +00 4.     -03 1.77   +00    6.0                          1131900300013 
 2.061  +00 4.     -03 1.87   +00    5.0                          1131900300014 
 2.068  +00 3.     -03 2.43   +00    4.0                          1131900300015 
 2.071  +00 3.     -03 2.60   +00    4.0                          1131900300016 
 2.073  +00 3.     -03 3.75   +00    3.0                          1131900300017 
 2.074  +00 3.     -03 4.65   +00    2.0                          1131900300018 
 2.075  +00 3.     -03 4.83   +00    2.0                          1131900300019 
 2.076  +00 3.     -03 5.00   +00    2.0                          1131900300020 
 2.078  +00 3.     -03 4.93   +00    2.0                          1131900300021 
 2.079  +00 3.     -03 4.04   +00    2.0                          1131900300022 
 2.080  +00 3.     -03 3.45   +00    3.0                          1131900300023 
 2.083  +00 3.     -03 2.60   +00    4.0                          1131900300024 
 2.085  +00 3.     -03 2.49   +00    4.0                          1131900300025 
 2.089  +00 3.     -03 2.10   +00    5.0                          1131900300026 
 2.093  +00 3.     -03 1.77   +00    6.0                          1131900300027 
 2.098  +00 3.     -03 2.03   +00    5.0                          1131900300028 
 2.103  +00 4.     -03 1.79   +00    3.0                          1131900300029 
 2.108  +00 4.     -03 1.80   +00    3.0                          1131900300030 
 2.113  +00 4.     -03 1.78   +00    3.0                          1131900300031 
 2.118  +00 4.     -03 1.85   +00    3.0                          1131900300032 
ENDDATA             25          0                                 1131900300033 
ENDSUBENT           32          0                                 1131900399999 
SUBENT        11319004   19810428                             00001131900400001 
BIB                  1          4                                 1131900400002 
REACTION  1(6-C-12(N,0),,EN)                                      1131900400003 
          2(6-C-12(N,TOT),,WID)                                   1131900400004 
          3(6-C-12(N,0),,J)                                       1131900400005 
          4(6-C-12(N,0),,L)                                       1131900400006 
ENDBIB               4          0                                 1131900400007 
NOCOMMON             0          0                                 1131900400008 
DATA                 5          3                                 1131900400009 
DATA      1DATA-ERR  1DATA      2DATA      3DATA      4           1131900400010 
MEV        MEV        KEV        NO-DIM     NO-DIM                1131900400011 
 2.076      8.     -03    7.0     2.50       2.                   1131900400012 
 2.95                    90.      1.50       2.                   1131900400013 
 3.67                  1690.      1.50       2.                   1131900400014 
ENDDATA              5          0                                 1131900400015 
ENDSUBENT           14          0                                 1131900499999 
SUBENT        11319005   19810428                             00001131900500001 
BIB                  1          1                                 1131900500002 
REACTION   (9-F-19(N,0),,EN)                                      1131900500003 
ENDBIB               1          0                                 1131900500004 
NOCOMMON             0          0                                 1131900500005 
DATA                 1          2                                 1131900500006 
DATA                                                              1131900500007 
MEV                                                               1131900500008 
 1.10                                                             1131900500009 
 2.25                                                             1131900500010 
ENDDATA              4          0                                 1131900500011 
ENDSUBENT           10          0                                 1131900599999 
SUBENT        11319006   19861029                             00001131900600001 
BIB                  2          2                                 1131900600002 
REACTION   (9-F-19(N,TOT),,SIG)                                   1131900600003 
HISTORY    (861029A) BAD DATA POINTS BELOW 0.6 MEV DELETED.       1131900600004 
ENDBIB               2          0                                 1131900600005 
NOCOMMON             0          0                                 1131900600006 
DATA                 4        220                                 1131900600007 
EN         EN-RSL     DATA       DATA-ERR                         1131900600008 
MEV        MEV        B          B                                1131900600009 
 0.60   +00            4.90   +00                                 1131900600010 
 0.62   +00            4.65   +00                                 1131900600011 
 0.63   +00            4.00   +00                                 1131900600012 
 0.65   +00            4.72   +00                                 1131900600013 
 0.68   +00            3.57   +00                                 1131900600014 
 0.70   +00            3.25   +00                                 1131900600015 
 0.72   +00            3.45   +00                                 1131900600016 
 0.72   +00            3.70   +00                                 1131900600017 
 0.75   +00            4.00   +00                                 1131900600018 
 0.76   +00            4.40   +00                                 1131900600019 
 0.77   +00            4.25   +00                                 1131900600020 
 0.80   +00            4.10   +00                                 1131900600021 
 0.82   +00            4.10   +00                                 1131900600022 
 0.85   +00            4.40   +00                                 1131900600023 
 0.85   +00            4.10   +00                                 1131900600024 
 0.86   +00            3.85   +00                                 1131900600025 
 0.88   +00            3.75   +00                                 1131900600026 
 0.90   +00            3.37   +00                                 1131900600027 
 0.92   +00            3.67   +00                                 1131900600028 
 0.95   +00            4.20   +00                                 1131900600029 
 0.95   +00            4.40   +00                                 1131900600030 
 0.97   +00            3.67   +00                                 1131900600031 
 1.00   +00            3.50   +00                                 1131900600032 
 1.00   +00            3.35   +00                                 1131900600033 
 1.03   +00            2.65   +00                                 1131900600034 
 1.04   +00            3.26   +00                                 1131900600035 
 1.04   +00            3.76   +00                                 1131900600036 
 1.06   +00            2.88   +00                                 1131900600037 
 1.08   +00            2.78   +00                                 1131900600038 
 1.08   +00            2.12   +00                                 1131900600039 
 1.13   +00            3.50   +00                                 1131900600040 
 1.16   +00            2.70   +00                                 1131900600041 
 1.17   +00            3.16   +00                                 1131900600042 
 1.18   +00            3.38   +00                                 1131900600043 
 1.2    +00            3.68   +00                                 1131900600044 
 1.23   +00            3.88   +00                                 1131900600045 
 1.24   +00            4.50   +00                                 1131900600046 
 1.24   +00            4.10   +00                                 1131900600047 
 1.25   +00            4.07   +00                                 1131900600048 
 1.27   +00            3.53   +00                                 1131900600049 
 1.32   +00            3.25   +00                                 1131900600050 
 1.35   +00            3.12   +00                                 1131900600051 
 1.40   +00            2.84   +00                                 1131900600052 
 1.43   +00            2.70   +00                                 1131900600053 
 1.45   +00            2.50   +00                                 1131900600054 
 1.47   +00            2.90   +00                                 1131900600055 
 1.48   +00            2.70   +00                                 1131900600056 
 1.51   +00            3.28   +00                                 1131900600057 
 1.57   +00            2.99   +00                                 1131900600058 
 1.57   +00            3.42   +00                                 1131900600059 
 1.59   +00            3.59   +00                                 1131900600060 
 1.63   +00            3.20   +00                                 1131900600061 
 1.68   +00            3.29   +00                                 1131900600062 
 1.69   +00            3.00   +00                                 1131900600063 
 1.70   +00            2.90   +00                                 1131900600064 
 1.73   +00            3.00   +00                                 1131900600065 
 1.75   +00            2.64   +00                                 1131900600066 
 1.79   +00            2.75   +00                                 1131900600067 
 1.80   +00            2.91   +00                                 1131900600068 
 1.83   +00            2.32   +00                                 1131900600069 
 1.87   +00            2.72   +00                                 1131900600070 
 1.90   +00            2.60   +00                                 1131900600071 
 1.93   +00            3.00   +00                                 1131900600072 
 1.95   +00            3.50   +00                                 1131900600073 
 1.965  +00 7.0    -02 3.18   +00                                 1131900600074 
 1.975  +00 2.0    -02 2.81   +00 1.1    -01                      1131900600075 
 1.99   +00 2.     -02 3.22   +00                                 1131900600076 
 2.005  +00 7.0    -02 3.09   +00                                 1131900600077 
 2.02   +00 2.     -02 3.22   +00                                 1131900600078 
 2.04   +00 7.     -02 2.87   +00                                 1131900600079 
 2.06   +00 2.     -02 2.92   +00                                 1131900600080 
 2.065  +00 2.0    -02 3.08   +00                                 1131900600081 
 2.07   +00 7.     -02 2.59   +00                                 1131900600082 
 2.09   +00 2.     -02 2.52   +00                                 1131900600083 
 2.115  +00 7.0    -02 2.42   +00                                 1131900600084 
 2.135  +00 2.0    -02 2.81   +00                                 1131900600085 
 2.15   +00 7.     -02 2.37   +00                                 1131900600086 
 2.17   +00 2.     -02 2.79   +00                                 1131900600087 
 2.18   +00 7.     -02 2.28   +00                                 1131900600088 
 2.205  +00 2.0    -02 2.32   +00                                 1131900600089 
 2.225  +00 2.0    -02 2.50   +00                                 1131900600090 
 2.23   +00 7.     -02 2.84   +00                                 1131900600091 
 2.25   +00 7.     -02 2.75   +00                                 1131900600092 
 2.25   +00 2.     -02 2.22   +00                                 1131900600093 
 2.27   +00 2.     -02 2.76   +00                                 1131900600094 
 2.29   +00 7.     -02 2.62   +00                                 1131900600095 
 2.31   +00 2.     -02 2.73   +00                                 1131900600096 
 2.32   +00 7.     -02 2.37   +00                                 1131900600097 
 2.33   +00 2.     -02 2.66   +00                                 1131900600098 
 2.36   +00 7.     -02 2.45   +00                                 1131900600099 
 2.38   +00 7.     -02 2.58   +00                                 1131900600100 
 2.38   +00 2.     -02 2.37   +00                                 1131900600101 
 2.43   +00 7.     -02 2.74   +00                                 1131900600102 
 2.43   +00 2.     -02 2.81   +00                                 1131900600103 
 2.455  +00 2.0    -02 2.86   +00                                 1131900600104 
 2.495  +00 2.0    -02 3.10   +00 1.0    -01                      1131900600105 
 2.505  +00 7.0    -02 2.99   +00                                 1131900600106 
 2.540  +00 2.0    -02 2.95   +00                                 1131900600107 
 2.560  +00 7.0    -02 2.93   +00                                 1131900600108 
 2.585  +00 7.0    -02 2.72   +00                                 1131900600109 
 2.590  +00 2.0    -02 2.88   +00                                 1131900600110 
 2.61   +00 2.     -02 2.66   +00                                 1131900600111 
 2.65   +00 7.     -02 2.65   +00                                 1131900600112 
 2.66   +00 2.     -02 2.84   +00                                 1131900600113 
 2.68   +00 2.     -02 2.60   +00                                 1131900600114 
 2.69   +00 7.     -02 2.57   +00                                 1131900600115 
 2.735  +00 7.0    -02 2.37   +00                                 1131900600116 
 2.735  +00 2.0    -02 2.45   +00                                 1131900600117 
 2.76   +00 2.     -02 2.65   +00                                 1131900600118 
 2.78   +00 7.     -02 2.31   +00                                 1131900600119 
 2.80   +00 2.     -02 2.55   +00                                 1131900600120 
 2.80   +00 2.     -02 2.37   +00                                 1131900600121 
 2.82   +00 7.     -02 2.22   +00                                 1131900600122 
 2.835  +00 2.0    -02 2.43   +00                                 1131900600123 
 2.85   +00 7.     -02 2.22   +00                                 1131900600124 
 2.87   +00 2.     -02 2.24   +00                                 1131900600125 
 2.89   +00 7.     -02 2.17   +00                                 1131900600126 
 2.915  +00 2.0    -02 2.03   +00                                 1131900600127 
 2.94   +00 7.     -02 2.09   +00                                 1131900600128 
 2.945  +00 2.0    -02 1.97   +00                                 1131900600129 
 2.98   +00 7.     -02 2.08   +00                                 1131900600130 
 2.99   +00 2.     -02 2.10   +00                                 1131900600131 
 3.02   +00 7.     -02 2.27   +00                                 1131900600132 
 3.025  +00 2.0    -02 2.06   +00                                 1131900600133 
 3.03   +00 2.     -02 2.24   +00                                 1131900600134 
 3.05   +00 7.     -02 2.24   +00                                 1131900600135 
 3.07   +00 2.     -02 2.24   +00                                 1131900600136 
 3.10   +00 7.     -02 2.18   +00                                 1131900600137 
 3.11   +00 2.     -02 2.12   +00                                 1131900600138 
 3.13   +00 7.     -02 2.16   +00                                 1131900600139 
 3.15   +00 2.     -02 1.99   +00                                 1131900600140 
 3.19   +00 7.     -02 1.94   +00                                 1131900600141 
 3.19   +00 2.     -02 2.01   +00                                 1131900600142 
 3.215  +00 7.0    -02 2.04   +00                                 1131900600143 
 3.235  +00 2.0    -02 2.11   +00                                 1131900600144 
 3.255  +00 7.0    -02 1.94   +00                                 1131900600145 
 3.275  +00 2.0    -02 1.94   +00                                 1131900600146 
 3.295  +00 7.0    -02 1.93   +00                                 1131900600147 
 3.31   +00 2.     -02 1.86   +00                                 1131900600148 
 3.32   +00 2.     -02 1.70   +00                                 1131900600149 
 3.33   +00 7.     -02 1.66   +00                                 1131900600150 
 3.34   +00 2.     -02 1.83   +00                                 1131900600151 
 3.37   +00 7.     -02 1.80   +00                                 1131900600152 
 3.39   +00 2.     -02 2.22   +00                                 1131900600153 
 3.405  +00 7.0    -02 2.16   +00                                 1131900600154 
 3.43   +00 2.     -02 2.10   +00                                 1131900600155 
 3.46   +00 7.     -02 2.05   +00                                 1131900600156 
 3.48   +00 2.     -02 2.00   +00                                 1131900600157 
 3.51   +00 7.     -02 1.91   +00                                 1131900600158 
 3.52   +00 2.     -02 1.90   +00                                 1131900600159 
 3.56   +00 7.     -02 1.96   +00                                 1131900600160 
 3.565  +00 2.0    -02 2.09   +00                                 1131900600161 
 3.585  +00 7.0    -02 2.10   +00                                 1131900600162 
