ENTRY            13527   19951218                             00001352700000001 
SUBENT        13527001   19951218                             00001352700100001 
BIB                 13         22                                 1352700100002 
INSTITUTE  (1USALAS,1USAOHO,1USADAV,1USATNL,2SWDUPP)              1352700100003 
REFERENCE  (J,PR/C,45,1791,9204)                                  1352700100004 
AUTHOR     (B.K.PARK,J.RAPAPORT,J.L.ULLMANN,A.G.LING,D.S.SORENSON,1352700100005 
           F.P.BRADY,J.L.ROMERO,C.R.HOWELL,W.TORNOW,C.T.RONNQVIST)1352700100006 
TITLE      Gamow-Teller and dipole strength distribution in       1352700100007 
            40Ca(n,p)40K reaction.                                1352700100008 
FACILITY   (MESON) LAMPF-WNR                                      1352700100009 
INC-SOURCE White neutron source, spallation neutrons from 800 MeV 1352700100010 
            protons on tungsten                                   1352700100011 
SAMPLE     Natural calcium in multi-target array.                 1352700100012 
DETECTOR   (MWPC) 4 single-plane multiwire proportional counters. 1352700100013 
           (CSICR) To measure energy of detected protons          1352700100014 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1352700100015 
CORRECTION Corrected for:                                         1352700100016 
           - background                                           1352700100017 
           - misidentification of events due to target chamber    1352700100018 
             inefficiencies                                       1352700100019 
           - angular resolution                                   1352700100020 
ERR-ANALYS (DATA-ERR) statistical uncertainty                     1352700100021 
STATUS     Data received by electronic file transfer, 96/8/6.     1352700100022 
           (APRVD) Approved by B. Park, 96/9/13                   1352700100023 
HISTORY    (911219C)                                              1352700100024 
ENDBIB              22          0                                 1352700100025 
NOCOMMON             0          0                                 1352700100026 
ENDSUBENT           25          0                                 1352700199999 
SUBENT        13527002   19951218                             00001352700200001 
BIB                  1          1                                 1352700200002 
REACTION   (20-CA-40(N,P)19-K-40,,DA/DE)                          1352700200003 
ENDBIB               1          0                                 1352700200004 
COMMON               2          3                                 1352700200005 
EN-MIN     EN-MAX                                                 1352700200006 
MEV        MEV                                                    1352700200007 
 60.        70.                                                   1352700200008 
ENDCOMMON            3          0                                 1352700200009 
DATA                 5        419                                 1352700200010 
ANG-MIN    ANG-MAX    E-EXC      DATA       DATA-ERR              1352700200011 
         4.         6.        0.3 0.6053E+00 0.5906E-01           1352700200139 
         4.         6.        0.8 0.4225E+00 0.4929E-01           1352700200140 
         4.         6.        1.3 0.5879E+00 0.5814E-01           1352700200141 
         4.         6.        1.8 0.5628E+00 0.5686E-01           1352700200142 
         4.         6.        2.3 0.5045E+00 0.5371E-01           1352700200143 
         4.         6.        2.8 0.4877E+00 0.5279E-01           1352700200144 
         4.         6.        3.3 0.4294E+00 0.4948E-01           1352700200145 
         4.         6.        3.8 0.3879E+00 0.4692E-01           1352700200146 
         4.         6.        4.3 0.3050E+00 0.4162E-01           1352700200147 
         4.         6.        4.8 0.4286E+00 0.4933E-01           1352700200148 
         4.         6.        5.3 0.3625E+00 0.4555E-01           1352700200149 
         4.         6.        5.8 0.5760E+00 0.5746E-01           1352700200150 
         4.         6.        6.3 0.4194E+00 0.4896E-01           1352700200151 
         4.         6.        6.8 0.4437E+00 0.5028E-01           1352700200152 
         4.         6.        7.3 0.5418E+00 0.5559E-01           1352700200153 
         4.         6.        7.8 0.6398E+00 0.6047E-01           1352700200154 
         4.         6.        8.3 0.6887E+00 0.6280E-01           1352700200155 
         4.         6.        8.8 0.9586E+00 0.7440E-01           1352700200156 
         4.         6.        9.3 0.8760E+00 0.7096E-01           1352700200157 
         4.         6.        9.8 0.9653E+00 0.7487E-01           1352700200158 
         4.         6.       10.3 0.1169E+01 0.8228E-01           1352700200159 
         4.         6.       10.8 0.1454E+01 0.9214E-01           1352700200160 
         4.         6.       11.3 0.1371E+01 0.8935E-01           1352700200161 
         4.         6.       11.8 0.1378E+01 0.8965E-01           1352700200162 
         4.         6.       12.3 0.1777E+01 0.1021E+00           1352700200163 
         4.         6.       12.8 0.2175E+01 0.1134E+00           1352700200164 
         4.         6.       13.3 0.1855E+01 0.1045E+00           1352700200165 
         4.         6.       13.8 0.1886E+01 0.1052E+00           1352700200166 
         4.         6.       14.3 0.1584E+01 0.9605E-01           1352700200167 
         4.         6.       14.8 0.1258E+01 0.8521E-01           1352700200168 
         4.         6.       15.3 0.1420E+01 0.9069E-01           1352700200169 
         4.         6.       15.8 0.1582E+01 0.9607E-01           1352700200170 
         4.         6.       16.3 0.1176E+01 0.8226E-01           1352700200171 
         4.         6.       16.8 0.8024E+00 0.6779E-01           1352700200172 
         4.         6.       17.3 0.1241E+01 0.8457E-01           1352700200173 
         4.         6.       17.8 0.1160E+01 0.8193E-01           1352700200174 
         4.         6.       18.3 0.9649E+00 0.7431E-01           1352700200175 
         4.         6.       18.8 0.8838E+00 0.7110E-01           1352700200176 
         4.         6.       19.3 0.9977E+00 0.7553E-01           1352700200177 
         4.         6.       19.8 0.8192E+00 0.6829E-01           1352700200178 
         4.         6.       20.3 0.7464E+00 0.6508E-01           1352700200179 
         4.         6.       20.8 0.8195E+00 0.6841E-01           1352700200180 
         4.         6.       21.3 0.5600E+00 0.5625E-01           1352700200181 
         4.         6.       21.8 0.7471E+00 0.6514E-01           1352700200182 
         4.         6.       22.3 0.7637E+00 0.6587E-01           1352700200183 
         4.         6.       22.8 0.5201E+00 0.5430E-01           1352700200184 
         4.         6.       23.3 0.4310E+00 0.4917E-01           1352700200185 
         4.         6.       23.8 0.3580E+00 0.4474E-01           1352700200186 
         4.         6.       24.3 0.4314E+00 0.4921E-01           1352700200187 
         4.         6.       24.8 0.3095E+00 0.4168E-01           1352700200188 
         4.         6.       25.3 0.1467E+00 0.2852E-01           1352700200189 
         4.         6.       25.8 0.1305E+00 0.2684E-01           1352700200190 
         4.         6.       26.3 0.4897E-01 0.1638E-01           1352700200191 
         4.         6.       26.8 0.6533E-01 0.1895E-01           1352700200192 
         4.         6.       27.3 0.2452E-01 0.1160E-01           1352700200193 
         6.         8.       -2.7 0.5662E-01 0.2330E-01           1352700200194 
         6.         8.       -2.2 0.2834E-01 0.1642E-01           1352700200195 
         6.         8.       -1.7 0.1277E+00 0.3499E-01           1352700200196 
         6.         8.       -1.2 0.8522E-01 0.2859E-01           1352700200197 
         6.         8.       -0.7 0.9953E-01 0.3100E-01           1352700200198 
         6.         8.       -0.2 0.4128E+00 0.6359E-01           1352700200199 
         6.         8.        0.3 0.5131E+00 0.7107E-01           1352700200200 
         6.         8.        0.8 0.7564E+00 0.8677E-01           1352700200201 
         6.         8.        1.3 0.6003E+00 0.7711E-01           1352700200202 
         6.         8.        1.8 0.5870E+00 0.7654E-01           1352700200203 
         6.         8.        2.3 0.5734E+00 0.7573E-01           1352700200204 
         6.         8.        2.8 0.3734E+00 0.6076E-01           1352700200205 
         6.         8.        3.3 0.3165E+00 0.5595E-01           1352700200206 
         6.         8.        3.8 0.4898E+00 0.6997E-01           1352700200207 
         6.         8.        4.3 0.4619E+00 0.6786E-01           1352700200208 
         6.         8.        4.8 0.2747E+00 0.5234E-01           1352700200209 
         6.         8.        5.3 0.2893E+00 0.5358E-01           1352700200210 
         6.         8.        5.8 0.3473E+00 0.5869E-01           1352700200211 
         6.         8.        6.3 0.5527E+00 0.7453E-01           1352700200212 
         6.         8.        6.8 0.6686E+00 0.8225E-01           1352700200213 
         6.         8.        7.3 0.6370E+00 0.8021E-01           1352700200214 
         6.         8.        7.8 0.7004E+00 0.8421E-01           1352700200215 
         6.         8.        8.3 0.9727E+00 0.9942E-01           1352700200216 
         6.         8.        8.8 0.8188E+00 0.9136E-01           1352700200217 
         6.         8.        9.3 0.9607E+00 0.9885E-01           1352700200218 
         6.         8.        9.8 0.1447E+01 0.1221E+00           1352700200219 
         6.         8.       10.3 0.1608E+01 0.1289E+00           1352700200220 
         6.         8.       10.8 0.1524E+01 0.1253E+00           1352700200221 
         6.         8.       11.3 0.1407E+01 0.1203E+00           1352700200222 
         6.         8.       11.8 0.1811E+01 0.1370E+00           1352700200223 
         6.         8.       12.3 0.2243E+01 0.1531E+00           1352700200224 
         6.         8.       12.8 0.2092E+01 0.1476E+00           1352700200225 
         6.         8.       13.3 0.2351E+01 0.1568E+00           1352700200226 
         6.         8.       13.8 0.1639E+01 0.1304E+00           1352700200227 
         6.         8.       14.3 0.2091E+01 0.1474E+00           1352700200228 
         6.         8.       14.8 0.1950E+01 0.1421E+00           1352700200229 
         6.         8.       15.3 0.1476E+01 0.1230E+00           1352700200230 
         6.         8.       15.8 0.1941E+01 0.1418E+00           1352700200231 
         6.         8.       16.3 0.1812E+01 0.1365E+00           1352700200232 
         6.         8.       16.8 0.1694E+01 0.1318E+00           1352700200233 
         6.         8.       17.3 0.1012E+01 0.1008E+00           1352700200234 
         6.         8.       17.8 0.1312E+01 0.1150E+00           1352700200235 
         6.         8.       18.3 0.9403E+00 0.9726E-01           1352700200236 
         6.         8.       18.8 0.7989E+00 0.8919E-01           1352700200237 
         6.         8.       19.3 0.1148E+01 0.1071E+00           1352700200238 
         6.         8.       19.8 0.9761E+00 0.9873E-01           1352700200239 
         6.         8.       20.3 0.1100E+01 0.1045E+00           1352700200240 
         6.         8.       20.8 0.9430E+00 0.9640E-01           1352700200241 
         6.         8.       21.3 0.9940E+00 0.9893E-01           1352700200242 
         6.         8.       21.8 0.7594E+00 0.8608E-01           1352700200243 
         6.         8.       22.3 0.5621E+00 0.7385E-01           1352700200244 
         6.         8.       22.8 0.6389E+00 0.7850E-01           1352700200245 
