ENTRY            12994   19870615                             00001299400000001 
SUBENT        12994001   19870615                             00001299400100001 
BIB                 12         18                                 1299400100002 
INSTITUTE  (1USATNL)                                              1299400100003 
REFERENCE  (J,PR/C,34,825,8609)                                   1299400100004 
AUTHOR     (G.M.HONORE,R.S.PEDRONI,C.R.HOWELL,H.G.PFUETZNER,      1299400100005 
           R.C.BYRD,G.TUNGATE,R.L.WALTER)                         1299400100006 
TITLE      DIFFERENTIAL CROSS SECTIONS AND ANALYZING POWERS FOR   1299400100007 
           NEUTRON ELASTIC SCATTERING FROM 89Y BETWEEN 8 AND 17   1299400100008 
           MEV                                                    1299400100009 
INC-SOURCE (D-D)                                                  1299400100010 
FACILITY   (VDGT)                                                 1299400100011 
METHOD     (TOF)                                                  1299400100012 
DETECTOR   (STANK)                                                1299400100013 
SAMPLE     32.9 GM CYLINDRICAL TARGET, 1.91 CM DIAMETER, 2.54 CM  1299400100014 
           HIGH. ESTIMATED TO BE 99.5 PERCENT Y-89.               1299400100015 
CORRECTION FINITE GEOMETRY EFFECTS AND MULTIPLE SCATTERING        1299400100016 
           CORRECTIONS WERE MADE TO BOTH ANGULAR DISTRIBUTION     1299400100017 
           DATA AND ANALYZING POWER DATA.                         1299400100018 
STATUS     NO REPLY TO AUTHOR PROOF.                              1299400100019 
HISTORY    (870113C)                                              1299400100020 
ENDBIB              18          0                                 1299400100021 
NOCOMMON             0          0                                 1299400100022 
ENDSUBENT           21          0                                 1299400199999 
SUBENT        12994002   19870615                             00001299400200001 
BIB                  2          4                                 1299400200002 
REACTION   (39-Y-89(N,EL)39-Y-89,,DA)                             1299400200003 
ERR-ANALYS UNCERTAINTIES IN ANGULAR DISTRIBUTION DATA IS BETWEEN  1299400200004 
           2.5 AND 6 PERCENT, WITH AN ABSOLUTE NORMALIZATION      1299400200005 
           UNCERTAINTY OF 3 PERCENT.                              1299400200006 
ENDBIB               4          0                                 1299400200007 
NOCOMMON             0          0                                 1299400200008 
DATA                 5        149                                 1299400200009 
EN         EN-RSL     ANG-CM     DATA       DATA-ERR              1299400200010 
 9.954      0.084      55.3         96.19     2.22                1299400200048 
 9.954      0.084      59.8         93.28     2.03                1299400200049 
 9.954      0.084      65.3         83.80     1.86                1299400200050 
 9.954      0.084      70.9         66.72     2.30                1299400200051 
 9.954      0.084      74.0         58.24     1.28                1299400200052 
 9.954      0.084      78.8         34.39     1.21                1299400200053 
 9.954      0.084      83.8         22.43     0.63                1299400200054 
 9.954      0.084      88.9         12.30     0.64                1299400200055 
 9.954      0.084      96.0          8.15     0.28                1299400200056 
 9.954      0.084     100.4          6.92     0.34                1299400200057 
 9.954      0.084     104.9          7.27     0.31                1299400200058 
 9.954      0.084     112.1         11.29     0.54                1299400200059 
 9.954      0.084     116.9         16.50     0.47                1299400200060 
 9.954      0.084     121.6         19.94     0.78                1299400200061 
 9.954      0.084     126.2         23.38     0.66                1299400200062 
 9.954      0.084     130.8         19.22     0.78                1299400200063 
 9.954      0.084     133.9         17.13     0.44                1299400200064 
 9.954      0.084     140.7         10.98     0.52                1299400200065 
 9.954      0.084     146.1         11.35     0.37                1299400200066 
 9.954      0.084     151.3         11.49     0.55                1299400200067 
 9.954      0.084     154.7         16.24     0.42                1299400200068 
 9.954      0.084     161.4         27.55     0.62                1299400200069 
11.944      0.068      19.6       2411.50    49.87                1299400200070 
11.944      0.068      24.2       1454.91    25.88                1299400200071 
11.944      0.068      28.9        634.27    16.16                1299400200072 
11.944      0.068      33.3        270.83     8.50                1299400200073 
11.944      0.068      38.2         70.99     2.30                1299400200074 
11.944      0.068      45.6         17.54     0.69                1299400200075 
11.944      0.068      51.4         39.43     0.85                1299400200076 
11.944      0.068      55.9         57.23     1.64                1299400200077 
11.944      0.068      60.6         62.11     1.40                1299400200078 
11.944      0.068      65.1         54.72     1.34                1299400200079 
11.944      0.068      70.1         42.96     0.88                1299400200080 
11.944      0.068      74.8         34.31     0.85                1299400200081 
11.944      0.068      79.9         21.26     0.44                1299400200082 
11.944      0.068      84.7         15.59     0.42                1299400200083 
11.944      0.068      90.2         10.64     0.26                1299400200084 
11.944      0.068      95.5          9.90     0.29                1299400200085 
11.944      0.068     100.8         11.94     0.34                1299400200086 
11.944      0.068     105.5         12.89     0.35                1299400200087 
11.944      0.068     110.6         13.91     0.36                1299400200088 
11.944      0.068     115.5         15.47     0.42                1299400200089 
11.944      0.068     120.6         17.27     0.43                1299400200090 
11.944      0.068     125.1         17.81     0.49                1299400200091 
11.944      0.068     129.9         15.63     0.48                1299400200092 
11.944      0.068     134.2         12.38     0.52                1299400200093 
11.944      0.068     139.3          6.42     0.28                1299400200094 
11.944      0.068     145.3          3.91     0.27                1299400200095 
11.944      0.068     151.3         10.11     0.35                1299400200096 
11.944      0.068     155.9         16.08     0.48                1299400200097 
11.944      0.068     160.8         30.86     0.56                1299400200098 
13.934      0.054      26.8        661.38    17.16                1299400200099 
13.934      0.054      28.5        473.17    12.17                1299400200100 
13.934      0.054      31.2        264.43     6.84                1299400200101 
13.934      0.054      34.7         95.24     4.83                1299400200102 
13.934      0.054      37.9         33.28     2.40                1299400200103 
13.934      0.054      43.0          6.13     0.61                1299400200104 
13.934      0.054      48.6         14.73     0.94                1299400200105 
13.934      0.054      51.0         19.69     0.87                1299400200106 
13.934      0.054      56.2         26.20     0.79                1299400200107 
13.934      0.054      60.5         30.18     0.94                1299400200108 
13.934      0.054      66.0         32.87     0.89                1299400200109 
13.934      0.054      70.0         32.26     1.07                1299400200110 
13.934      0.054      75.3         29.59     0.97                1299400200111 
13.934      0.054      79.3         21.20     0.71                1299400200112 
13.934      0.054      85.1         10.94     0.40                1299400200113 
13.934      0.054      90.1          8.76     0.32                1299400200114 
13.934      0.054      96.3         10.72     0.38                1299400200115 
13.934      0.054     100.4         15.20     0.52                1299400200116 
13.934      0.054     105.8         15.74     0.46                1299400200117 
13.934      0.054     109.9         14.43     0.45                1299400200118 
13.934      0.054     115.6         14.35     0.34                1299400200119 
13.934      0.054     120.0         12.78     0.42                1299400200120 
13.934      0.054     125.5         13.87     0.52                1299400200121 
13.934      0.054     129.5         12.14     0.41                1299400200122 
13.934      0.054     134.9          9.69     0.36                1299400200123 
13.934      0.054     139.1          6.38     0.29                1299400200124 
13.934      0.054     145.6          4.88     0.23                1299400200125 
13.934      0.054     150.9          8.25     0.38                1299400200126 
13.934      0.054     156.1         14.18     0.49                1299400200127 
13.934      0.054     160.1         20.43     0.64                1299400200128 
16.928      0.159      19.5       1642.14    19.90                1299400200129 
16.928      0.159      24.1        773.71    10.25                1299400200130 
16.928      0.159      28.7        259.66     5.76                1299400200131 
16.928      0.159      33.7         68.57     1.56                1299400200132 
16.928      0.159      40.0         19.52     0.56                1299400200133 
16.928      0.159      43.3         18.90     0.59                1299400200134 
16.928      0.159      45.2         18.83     0.78                1299400200135 
16.928      0.159      48.0         17.86     0.49                1299400200136 
16.928      0.159      50.0         12.60     0.39                1299400200137 
16.928      0.159      52.9         10.56     0.32                1299400200138 
16.928      0.159      56.0         11.45     0.42                1299400200139 
16.928      0.159      61.4         25.36     0.77                1299400200140 
16.928      0.159      66.0         39.32     0.75                1299400200141 
16.928      0.159      70.5         44.27     0.87                1299400200142 
16.928      0.159      75.1         40.82     0.95                1299400200143 
16.928      0.159      79.8         27.83     0.64                1299400200144 
16.928      0.159      84.8         13.43     0.46                1299400200145 
16.928      0.159      90.8         10.94     0.45                1299400200146 
16.928      0.159      96.1         17.26     0.47                1299400200147 
16.928      0.159     100.7         23.72     0.59                1299400200148 
16.928      0.159     105.3         23.65     0.48                1299400200149 
16.928      0.159     109.9         18.34     0.51                1299400200150 
16.928      0.159     114.8         11.89     0.48                1299400200151 
16.928      0.159     120.2          8.01     0.33                1299400200152 
16.928      0.159     125.6          9.05     0.47                1299400200153 
16.928      0.159     130.4         10.61     0.40                1299400200154 
16.928      0.159     135.1         11.27     0.28                1299400200155 
16.928      0.159     139.9          8.90     0.36                1299400200156 
16.928      0.159     145.1          7.45     0.30                1299400200157 
16.928      0.159     150.4          8.50     0.39                1299400200158 
16.928      0.159     155.3         12.07     0.46                1299400200159 
16.928      0.159     160.2         15.83     0.48                1299400200160 
ENDDATA            151          0                                 1299400200161 
ENDSUBENT          160          0                                 1299400299999 
SUBENT        12994003   19870615                             00001299400300001 
BIB                  2          6                                 1299400300002 
REACTION   (39-Y-89(N,EL)39-Y-89,,POL/DA,,ANA)                    1299400300003 
ERR-ANALYS ANALYZING POWER UNCERTAINTIES ARE 0.02 AT FORWARD      1299400300004 
           ANGLES AND 0.08 AT SOME BACKWARD ANGLES. THERE IS A    1299400300005 
           UNIFORM SCALE FACTOR OF 0.03, ATTRIBUTABLE TO          1299400300006 
           UNCERTAINTIES IN THE QUENCH RATIO MEASUREMENT AND IN   1299400300007 
           THE (D-D) POLARIZATION TRANSFER COEFFICIENT.           1299400300008 
ENDBIB               6          0                                 1299400300009 
COMMON               1          3                                 1299400300010 
POL-BM                                                            1299400300011 
NO-DIM                                                            1299400300012 
 0.63                                                             1299400300013 
ENDCOMMON            3          0                                 1299400300014 
DATA                 5         66                                 1299400300015 
EN         EN-RSL     ANG-CM     DATA       DATA-ERR              1299400300016 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1299400300017 
 9.954      0.248      20.0       -0.015     0.008                1299400300018 
 9.954      0.248      24.5       -0.031     0.010                1299400300019 
 9.954      0.248      29.1       -0.056     0.006                1299400300020 
 9.954      0.248      33.5       -0.141     0.012                1299400300021 
 9.954      0.248      38.3       -0.119     0.029                1299400300022 
 9.954      0.248      45.6        0.207     0.042                1299400300023 
 9.954      0.248      51.7        0.473     0.036                1299400300024 
 9.954      0.248      56.0        0.552     0.028                1299400300025 
 9.954      0.248      60.6        0.372     0.032                1299400300026 
 9.954      0.248      70.0        0.167     0.022                1299400300027 
 9.954      0.248      79.6       -0.222     0.042                1299400300028 
 9.954      0.248      89.9       -0.356     0.045                1299400300029 
 9.954      0.248     100.2        0.266     0.059                1299400300030 
 9.954      0.248     105.7        0.398     0.050                1299400300031 
 9.954      0.248     110.9        0.181     0.051                1299400300032 
 9.954      0.248     115.8        0.018     0.038                1299400300033 
 9.954      0.248     120.6        0.048     0.034                1299400300034 
 9.954      0.248     130.0        0.155     0.029                1299400300035 
 9.954      0.248     134.8       -0.076     0.035                1299400300036 
 9.954      0.248     139.6       -0.391     0.040                1299400300037 
 9.954      0.248     144.9       -0.808     0.063                1299400300038 
 9.954      0.248     150.2       -0.469     0.042                1299400300039 
 9.954      0.248     155.3        0.339     0.039                1299400300040 
13.934      0.167      19.7       -0.041     0.013                1299400300041 
13.934      0.167      24.2       -0.030     0.022                1299400300042 
13.934      0.167      28.7       -0.004     0.022                1299400300043 
13.934      0.167      33.0       -0.046     0.034                1299400300044 
13.934      0.167      37.9        0.282     0.144                1299400300045 
13.934      0.167      46.6        0.563     0.071                1299400300046 
13.934      0.167      56.0        0.763     0.046                1299400300047 
13.934      0.167      60.7        0.580     0.038                1299400300048 
13.934      0.167      70.4       -0.053     0.033                1299400300049 
13.934      0.167      79.7       -0.602     0.049                1299400300050 
13.934      0.167      84.7       -0.807     0.045                1299400300051 
13.934      0.167      90.4       -0.446     0.044                1299400300052 
13.934      0.167     100.7        0.415     0.061                1299400300053 
13.934      0.167     105.5        0.163     0.045                1299400300054 
13.934      0.167     110.3       -0.072     0.040                1299400300055 
13.934      0.167     120.3       -0.724     0.054                1299400300056 
13.934      0.167     125.1       -0.671     0.041                1299400300057 
13.934      0.167     129.8       -0.322     0.049                1299400300058 
13.934      0.167     134.4        0.046     0.047                1299400300059 
13.934      0.167     139.3        0.274     0.075                1299400300060 
13.934      0.167     150.8       -0.428     0.070                1299400300061 
13.934      0.167     158.3       -0.050     0.041                1299400300062 
16.930      0.159      19.7       -0.041     0.016                1299400300063 
16.930      0.159      24.3       -0.019     0.013                1299400300064 
16.930      0.159      28.9       -0.042     0.038                1299400300065 
16.930      0.159      33.8       -0.038     0.033                1299400300066 
16.930      0.159      40.2       -0.631     0.090                1299400300067 
16.930      0.159      45.3       -0.794     0.092                1299400300068 
16.930      0.159      50.1       -0.108     0.071                1299400300069 
16.930      0.159      56.1        0.733     0.079                1299400300070 
16.930      0.159      61.4        0.174     0.050                1299400300071 
16.930      0.159      66.0       -0.204     0.043                1299400300072 
16.930      0.159      70.6       -0.428     0.056                1299400300073 
16.930      0.159      75.1       -0.569     0.053                1299400300074 
16.930      0.159      79.7       -0.963     0.081                1299400300075 
16.930      0.159      90.8       -0.212     0.064                1299400300076 
16.930      0.159     100.7       -0.025     0.055                1299400300077 
16.930      0.159     110.0       -0.228     0.071                1299400300078 
16.930      0.159     120.2       -0.703     0.118                1299400300079 
16.930      0.159     130.4        0.059     0.059                1299400300080 
16.930      0.159     139.8        0.504     0.067                1299400300081 
16.930      0.159     150.3       -0.581     0.081                1299400300082 
16.930      0.159     159.1       -0.247     0.070                1299400300083 
ENDDATA             68          0                                 1299400300084 
ENDSUBENT           83          0                                 1299400399999 
ENDENTRY             3          0                                 1299499999999 
