ENTRY            10964   19810624                             00001096400000001 
SUBENT        10964001   19810624                             00001096400100001 
BIB                 12         18                                 1096400100002 
INSTITUTE  (1CANALA)                                              1096400100003 
REFERENCE  (J,PR/C,22,2485,8012)                                  1096400100004 
AUTHOR     (S.T.LAM,L.L.YU,H.W.FIELDING,W.K.DAWSON,G.C.NEILSON,   1096400100005 
           J.T.SAMPLE)                                            1096400100006 
TITLE      FAST NEUTRON INDUCED FISSION OF U-238.                 1096400100007 
FACILITY   (VDG) VAN DE GRAAFF WITH MOBLEY BUNCHING SYSTEM.       1096400100008 
N-SOURCE   (P-T) PROTONS ON TRITIUM GAS CELL                      1096400100009 
SAMPLE     U-F(4) SAMPLE IN FORM OF SPHERICAL DISH                1096400100010 
DETECTOR   ORTEC 300 MM-SQ HEAVY-ION DETECTOR AT CENTER OF        1096400100011 
            CURVATURE OF URANIUM TARGET.                          1096400100012 
           NEUTRON FLUX MONITORED BY LIQUID SCINTILLATOR          1096400100013 
METHOD     MEASURED FLIGHT TIME AND ENERGY OF FISSION FRAGMENT.   1096400100014 
            FRAGMENT MASS CALCULATED USING THE RELATIONSHIP       1096400100015 
            BETWEEN FRAGMENT ENERGY AND FLIGHT TIME -             1096400100016 
            E=0.5M(D/T)**2.                                       1096400100017 
ERR-ANALYS NO INFORMATION                                         1096400100018 
STATUS     (APRVD) APPROVED BY S.T.LAM, 81/9/10.                  1096400100019 
HISTORY    (810615C)                                              1096400100020 
ENDBIB              18          0                                 1096400100021 
NOCOMMON             0          0                                 1096400100022 
ENDSUBENT           21          0                                 1096400199999 
SUBENT        10964002   19810624                             00001096400200001 
BIB                  1          1                                 1096400200002 
REACTION   (92-U-238(N,F)MASS,CHN,FY)                             1096400200003 
ENDBIB               1          0                                 1096400200004 
NOCOMMON             0          0                                 1096400200005 
DATA                 5        273                                 1096400200006 
EN         MASS-MIN   MASS-MAX   DATA       DATA-ERR              1096400200007 
 3.1       101.       102.          .596E+01  5.8                 1096400200097 
 3.1       103.       104.          .464E+01  6.6                 1096400200098 
 3.1       105.       106.          .365E+01  7.5                 1096400200099 
 3.1       107.       108.          .194E+01 10.2                 1096400200100 
 3.1       109.       110.          .124E+01 12.8                 1096400200101 
 3.1       111.       112.          .608E+00 18.3                 1096400200102 
 3.1       113.       114.          .344E+00 24.3                 1096400200103 
 3.1       115.       116.          .243E+00 28.9                 1096400200104 
 3.1       117.       118.          .203E+00 31.6                 1096400200105 
 3.1       119.       120.          .810E-01 50.0                 1096400200106 
 3.1       121.       122.          .203E+00 31.6                 1096400200107 
 3.1       123.       124.          .648E+00 17.7                 1096400200108 
 3.1       125.       126.          .109E+01 13.6                 1096400200109 
 3.1       127.       128.          .249E+01  9.0                 1096400200110 
 3.1       129.       130.          .379E+01  7.3                 1096400200111 
 3.1       131.       132.          .559E+01  6.0                 1096400200112 
 3.1       133.       134.          .610E+01  5.8                 1096400200113 
 3.1       135.       136.          .695E+01  5.4                 1096400200114 
 3.1       137.       138.          .585E+01  5.9                 1096400200115 
 3.1       139.       140.          .523E+01  6.2                 1096400200116 
 3.1       141.       142.          .433E+01  6.8                 1096400200117 
 3.1       143.       144.          .277E+01  8.5                 1096400200118 
 3.1       145.       146.          .217E+01  9.7                 1096400200119 
 3.1       147.       148.          .126E+01 12.7                 1096400200120 
 3.1       149.       150.          .527E+00 19.6                 1096400200121 
 3.1       151.       152.          .223E+00 30.2                 1096400200122 
 3.1       153.       154.          .122E+00 40.8                 1096400200123 
 3.1       155.       156.          .182E+00 33.3                 1096400200124 
 3.1       157.       158.          .608E-01 57.7                 1096400200125 
 3.6        81.        82.          .300E+00 25.8                 1096400200126 
 3.6        83.        84.          .459E+00 20.9                 1096400200127 
 3.6        85.        86.          .108E+01 13.6                 1096400200128 
 3.6        87.        88.          .158E+01 11.3                 1096400200129 
 3.6        89.        90.          .192E+01 10.2                 1096400200130 
 3.6        91.        92.          .314E+01  8.0                 1096400200131 
 3.6        93.        94.          .370E+01  7.4                 1096400200132 
 3.6        95.        96.          .487E+01  6.4                 1096400200133 
 3.6        97.        98.          .563E+01  6.0                 1096400200134 
 3.6        99.       100.          .581E+01  5.9                 1096400200135 
 3.6       101.       102.          .581E+01  5.9                 1096400200136 
 3.6       103.       104.          .501E+01  6.3                 1096400200137 
 3.6       105.       106.          .439E+01  6.7                 1096400200138 
 3.6       107.       108.          .278E+01  8.5                 1096400200139 
 3.6       109.       110.          .104E+01 13.9                 1096400200140 
 3.6       111.       112.          .779E+00 16.0                 1096400200141 
 3.6       113.       114.          .400E+00 22.4                 1096400200142 
 3.6       115.       116.          .240E+00 28.9                 1096400200143 
 3.6       117.       118.          .120E+00 40.8                 1096400200144 
 3.6       119.       120.          .200E+00 31.6                 1096400200145 
 3.6       121.       122.          .280E+00 26.7                 1096400200146 
 3.6       123.       124.          .659E+00 17.4                 1096400200147 
 3.6       125.       126.          .859E+00 15.2                 1096400200148 
 3.6       127.       128.          .202E+01 10.0                 1096400200149 
 3.6       129.       130.          .356E+01  7.5                 1096400200150 
 3.6       131.       132.          .525E+01  6.2                 1096400200151 
 3.6       133.       134.          .611E+01  5.7                 1096400200152 
 3.6       135.       136.          .621E+01  5.7                 1096400200153 
 3.6       137.       138.          .691E+01  5.4                 1096400200154 
 3.6       139.       140.          .537E+01  6.1                 1096400200155 
 3.6       141.       142.          .475E+01  6.5                 1096400200156 
 3.6       143.       144.          .340E+01  7.7                 1096400200157 
 3.6       145.       146.          .224E+01  9.4                 1096400200158 
 3.6       147.       148.          .128E+01 12.5                 1096400200159 
 3.6       149.       150.          .719E+00 16.7                 1096400200160 
 3.6       151.       152.          .499E+00 20.0                 1096400200161 
 3.6       153.       154.          .300E+00 25.8                 1096400200162 
 3.6       155.       156.          .220E+00 30.2                 1096400200163 
 3.6       157.       158.          .999E-01 44.7                 1096400200164 
 4.1        81.        82.          .379E+00 22.4                 1096400200165 
 4.1        83.        84.          .984E+00 13.9                 1096400200166 
 4.1        85.        86.          .153E+01 11.1                 1096400200167 
 4.1        87.        88.          .191E+01 10.0                 1096400200168 
 4.1        89.        90.          .316E+01  7.7                 1096400200169 
 4.1        91.        92.          .407E+01  6.8                 1096400200170 
 4.1        93.        94.          .471E+01  6.3                 1096400200171 
 4.1        95.        96.          .555E+01  5.8                 1096400200172 
 4.1        97.        98.          .570E+01  5.8                 1096400200173 
 4.1        99.       100.          .579E+01  5.7                 1096400200174 
 4.1       101.       102.          .509E+01  6.1                 1096400200175 
 4.1       103.       104.          .418E+01  6.7                 1096400200176 
 4.1       105.       106.          .310E+01  7.8                 1096400200177 
 4.1       107.       108.          .174E+01 10.4                 1096400200178 
 4.1       109.       110.          .106E+01 13.4                 1096400200179 
 4.1       111.       112.          .397E+00 21.8                 1096400200180 
 4.1       113.       114.          .227E+00 28.9                 1096400200181 
 4.1       115.       116.          .189E+00 31.6                 1096400200182 
 4.1       117.       118.          .170E+00 33.3                 1096400200183 
 4.1       119.       120.          .397E+00 21.8                 1096400200184 
 4.1       121.       122.          .625E+00 17.4                 1096400200185 
 4.1       123.       124.          .102E+01 13.6                 1096400200186 
 4.1       125.       126.          .170E+01 10.5                 1096400200187 
 4.1       127.       128.          .295E+01  8.0                 1096400200188 
 4.1       129.       130.          .403E+01  6.9                 1096400200189 
 4.1       131.       132.          .526E+01  6.0                 1096400200190 
 4.1       133.       134.          .636E+01  5.5                 1096400200191 
 4.1       135.       136.          .662E+01  5.3                 1096400200192 
 4.1       137.       138.          .604E+01  5.6                 1096400200193 
 4.1       139.       140.          .469E+01  6.4                 1096400200194 
 4.1       141.       142.          .386E+01  7.0                 1096400200195 
 4.1       143.       144.          .265E+01  8.5                 1096400200196 
 4.1       145.       146.          .161E+01 10.8                 1096400200197 
 4.1       147.       148.          .927E+00 14.3                 1096400200198 
 4.1       149.       150.          .416E+00 21.3                 1096400200199 
 4.1       151.       152.          .341E+00 23.6                 1096400200200 
 4.1       153.       154.          .265E+00 26.7                 1096400200201 
 4.1       155.       156.          .170E+00 33.3                 1096400200202 
 4.1       157.       158.          .114E+00 40.8                 1096400200203 
 4.6        81.        82.          .304E+00 25.8                 1096400200204 
 4.6        83.        84.          .607E+00 18.3                 1096400200205 
 4.6        85.        86.          .103E+01 14.0                 1096400200206 
 4.6        87.        88.          .210E+01  9.8                 1096400200207 
 4.6        89.        90.          .281E+01  8.5                 1096400200208 
 4.6        91.        92.          .364E+01  7.5                 1096400200209 
 4.6        93.        94.          .482E+01  6.5                 1096400200210 
 4.6        95.        96.          .465E+01  6.6                 1096400200211 
 4.6        97.        98.          .571E+01  6.0                 1096400200212 
 4.6        99.       100.          .544E+01  6.1                 1096400200213 
 4.6       101.       102.          .524E+01  6.2                 1096400200214 
 4.6       103.       104.          .484E+01  6.5                 1096400200215 
 4.6       105.       106.          .372E+01  7.4                 1096400200216 
 4.6       107.       108.          .202E+01 10.0                 1096400200217 
 4.6       109.       110.          .789E+00 16.0                 1096400200218 
 4.6       111.       112.          .688E+00 17.1                 1096400200219 
 4.6       113.       114.          .364E+00 23.6                 1096400200220 
 4.6       115.       116.          .263E+00 27.7                 1096400200221 
 4.6       117.       118.          .162E+00 35.4                 1096400200222 
 4.6       119.       120.          .162E+00 35.4                 1096400200223 
 4.6       121.       122.          .384E+00 22.9                 1096400200224 
 4.6       123.       124.          .627E+00 18.0                 1096400200225 
 4.6       125.       126.          .103E+01 14.0                 1096400200226 
 4.6       127.       128.          .229E+01  9.4                 1096400200227 
 4.6       129.       130.          .415E+01  7.0                 1096400200228 
 4.6       131.       132.          .542E+01  6.1                 1096400200229 
 4.6       133.       134.          .672E+01  5.5                 1096400200230 
 4.6       135.       136.          .619E+01  5.7                 1096400200231 
 4.6       137.       138.          .650E+01  5.6                 1096400200232 
 4.6       139.       140.          .556E+01  6.0                 1096400200233 
 4.6       141.       142.          .457E+01  6.7                 1096400200234 
 4.6       143.       144.          .277E+01  8.5                 1096400200235 
 4.6       145.       146.          .196E+01 10.2                 1096400200236 
 4.6       147.       148.          .101E+01 14.1                 1096400200237 
 4.6       149.       150.          .607E+00 18.3                 1096400200238 
 4.6       151.       152.          .364E+00 23.6                 1096400200239 
 4.6       153.       154.          .243E+00 28.9                 1096400200240 
 4.6       155.       156.          .142E+00 37.8                 1096400200241 
 4.6       157.       158.          .809E-01 50.0                 1096400200242 
 5.2        81.        82.          .338E+00 24.3                 1096400200243 
 5.2        83.        84.          .596E+00 18.3                 1096400200244 
 5.2        85.        86.          .103E+01 13.9                 1096400200245 
 5.2        87.        88.          .153E+01 11.4                 1096400200246 
 5.2        89.        90.          .262E+01  8.7                 1096400200247 
 5.2        91.        92.          .354E+01  7.5                 1096400200248 
 5.2        93.        94.          .407E+01  7.0                 1096400200249 
 5.2        95.        96.          .499E+01  6.3                 1096400200250 
 5.2        97.        98.          .558E+01  6.0                 1096400200251 
 5.2        99.       100.          .546E+01  6.0                 1096400200252 
 5.2       101.       102.          .538E+01  6.1                 1096400200253 
 5.2       103.       104.          .524E+01  6.2                 1096400200254 
 5.2       105.       106.          .334E+01  7.7                 1096400200255 
 5.2       107.       108.          .254E+01  8.8                 1096400200256 
 5.2       109.       110.          .163E+01 11.0                 1096400200257 
 5.2       111.       112.          .715E+00 16.7                 1096400200258 
 5.2       113.       114.          .298E+00 25.8                 1096400200259 
 5.2       115.       116.          .357E+00 23.6                 1096400200260 
 5.2       117.       118.          .477E+00 20.4                 1096400200261 
 5.2       119.       120.          .397E+00 22.4                 1096400200262 
 5.2       121.       122.          .477E+00 20.4                 1096400200263 
 5.2       123.       124.          .755E+00 16.2                 1096400200264 
 5.2       125.       126.          .894E+00 14.9                 1096400200265 
 5.2       127.       128.          .220E+01  9.5                 1096400200266 
 5.2       129.       130.          .292E+01  8.2                 1096400200267 
 5.2       131.       132.          .453E+01  6.6                 1096400200268 
 5.2       133.       134.          .612E+01  5.7                 1096400200269 
 5.2       135.       136.          .667E+01  5.5                 1096400200270 
 5.2       137.       138.          .588E+01  5.8                 1096400200271 
 5.2       139.       140.          .570E+01  5.9                 1096400200272 
 5.2       141.       142.          .427E+01  6.8                 1096400200273 
 5.2       143.       144.          .369E+01  7.3                 1096400200274 
 5.2       145.       146.          .242E+01  9.1                 1096400200275 
 5.2       147.       148.          .123E+01 12.7                 1096400200276 
 5.2       149.       150.          .973E+00 14.3                 1096400200277 
 5.2       151.       152.          .556E+00 18.9                 1096400200278 
 5.2       153.       154.          .258E+00 27.7                 1096400200279 
 5.2       155.       156.          .139E+00 37.8                 1096400200280 
 5.2       157.       158.          .179E+00 33.3                 1096400200281 
ENDDATA            275          0                                 1096400200282 
ENDSUBENT          281          0                                 1096400299999 
ENDENTRY             2          0                                 1096499999999 
