ENTRY            10592   20040723                             00001059200000001 
SUBENT        10592001   20040723                             00001059200100001 
BIB                 14         28                                 1059200100002 
INSTITUTE  (1USAPTN,1USARUT)                                      1059200100003 
REFERENCE  (J,PR/D,13,535,19760201)                               1059200100004 
AUTHOR     (A.J.Bersbach,R.E.Mischke,T.J.Devlin)                  1059200100005 
TITLE      Neutron-proton forward elastic scattering from 58 to   1059200100006 
            391 MeV.                                              1059200100007 
FACILITY   (SYNCH,1USAPTN) Princeton-Pennsylvania Accelerator     1059200100008 
INC-SOURCE (EVAP) 3.0 GeV protons on Pt target.                   1059200100009 
SAMPLE     Liquid hydrogen target                                 1059200100010 
METHOD     (TOF) Time-of-flight of neutrons from production to    1059200100011 
            detection by scintillators.                           1059200100012 
DETECTOR   (SCIN) Liquid scintillator detectors.                  1059200100013 
MONITOR    No information                                         1059200100014 
CORRECTION Data corrected for scattering from target container,   1059200100015 
           detector efficiency, cosmic-ray background, production 1059200100016 
           of secondary proton pulses by the accelerator,         1059200100017 
           inconsistencies between data runs, scattering effects, 1059200100018 
           solid angle and normalization effects, and beam        1059200100019 
           attenuation.                                           1059200100020 
ERR-ANALYS (ERR-S) Data errors given are statistical errors only. 1059200100021 
           Errors given do not include a 10% uncertainty in the   1059200100022 
            normalization or a maximum of 5% uncertainty due to   1059200100023 
            approximations made to calculate dependence of the    1059200100024 
            detector efficiency on scattering angle.              1059200100025 
STATUS     (APRVD) Approved by author 1976/6/10.                  1059200100026 
HISTORY    (19760407C)                                            1059200100027 
           (19830914A) Converted to REACTION formalism            1059200100028 
           (20040723A) Converted to new data formts, lower case.  1059200100029 
                       Data error filed heading updated.          1059200100030 
ENDBIB              28          0                                 1059200100031 
NOCOMMON             0          0                                 1059200100032 
ENDSUBENT           31          0                                 1059200199999 
SUBENT        10592002   20040723                             00001059200200001 
BIB                  1          1                                 1059200200002 
REACTION   (1-H-1(N,EL)1-H-1,,DA)                                 1059200200003 
ENDBIB               1          0                                 1059200200004 
NOCOMMON             0          0                                 1059200200005 
DATA                 5        218                                 1059200200006 
EN-MIN     EN-MAX     ANG-CM     DATA-CM    ERR-S                 1059200200007 
 113.2      124.8      50.1        3.28      0.29                 1059200200083 
 124.8      136.7      11.0        8.89      0.42                 1059200200084 
 124.8      136.7      15.2        8.17      0.25                 1059200200085 
 124.8      136.7      19.4        7.46      0.19                 1059200200086 
 124.8      136.7      23.5        6.54      0.20                 1059200200087 
 124.8      136.7      27.5        6.46      0.37                 1059200200088 
 124.8      136.7      31.5        6.14      0.46                 1059200200089 
 124.8      136.7      35.4        5.44      0.29                 1059200200090 
 124.8      136.7      39.3        4.19      0.36                 1059200200091 
 124.8      136.7      43.0        5.12      0.26                 1059200200092 
 124.8      136.7      46.7        4.17      0.32                 1059200200093 
 124.8      136.7      50.2        3.55      0.30                 1059200200094 
 136.7      149.1      11.0        8.48      0.39                 1059200200095 
 136.7      149.1      15.2        7.66      0.22                 1059200200096 
 136.7      149.1      19.4        7.05      0.17                 1059200200097 
 136.7      149.1      23.6        6.55      0.19                 1059200200098 
 136.7      149.1      27.6        6.10      0.20                 1059200200099 
 136.7      149.1      31.6        5.16      0.25                 1059200200100 
 136.7      149.1      35.5        5.03      0.19                 1059200200101 
 136.7      149.1      39.4        4.70      0.41                 1059200200102 
 136.7      149.1      43.1        4.25      0.27                 1059200200103 
 136.7      149.1      46.8        3.70      0.34                 1059200200104 
 136.7      149.1      50.3        3.68      0.34                 1059200200105 
 149.1      162.0      11.1        8.34      0.39                 1059200200106 
 149.1      162.0      15.3        7.33      0.23                 1059200200107 
 149.1      162.0      19.5        6.27      0.17                 1059200200108 
 149.1      162.0      23.6        5.91      0.19                 1059200200109 
 149.1      162.0      27.7        5.70      0.20                 1059200200110 
 149.1      162.0      31.7        4.40      0.23                 1059200200111 
 149.1      162.0      35.6        4.28      0.19                 1059200200112 
 149.1      162.0      39.5        3.16      0.27                 1059200200113 
 149.1      162.0      43.2        3.78      0.18                 1059200200114 
 149.1      162.0      46.9        3.23      0.22                 1059200200115 
 149.1      162.0      50.5        2.70      0.22                 1059200200116 
 162.0      175.2      11.1        7.59      0.39                 1059200200117 
 162.0      175.2      15.3        6.89      0.23                 1059200200118 
 162.0      175.2      19.5        5.83      0.17                 1059200200119 
 162.0      175.2      23.7        5.61      0.19                 1059200200120 
 162.0      175.2      27.8        4.97      0.20                 1059200200121 
 162.0      175.2      31.8        4.35      0.25                 1059200200122 
 162.0      175.2      35.8        4.08      0.19                 1059200200123 
 162.0      175.2      39.6        2.92      0.29                 1059200200124 
 162.0      175.2      43.4        3.45      0.18                 1059200200125 
 162.0      175.2      47.0        3.05      0.22                 1059200200126 
 162.0      175.2      50.6        2.49      0.22                 1059200200127 
 175.2      188.9      11.1        6.54      0.39                 1059200200128 
 175.2      188.9      15.4        6.11      0.23                 1059200200129 
 175.2      188.9      19.6        5.75      0.18                 1059200200130 
 175.2      188.9      23.8        4.88      0.19                 1059200200131 
 175.2      188.9      27.9        4.39      0.20                 1059200200132 
 175.2      188.9      31.9        3.86      0.25                 1059200200133 
 175.2      188.9      35.9        3.68      0.20                 1059200200134 
 175.2      188.9      39.7        3.47      0.31                 1059200200135 
 175.2      188.9      43.5        3.16      0.20                 1059200200136 
 175.2      188.9      47.2        2.80      0.22                 1059200200137 
 175.2      188.9      50.8        2.16      0.22                 1059200200138 
 188.9      202.9      11.2        7.48      0.43                 1059200200139 
 188.9      202.9      15.4        6.10      0.24                 1059200200140 
 188.9      202.9      19.7        5.18      0.19                 1059200200141 
 188.9      202.9      23.9        4.98      0.21                 1059200200142 
 188.9      202.9      28.0        4.43      0.22                 1059200200143 
 188.9      202.9      32.0        3.95      0.28                 1059200200144 
 188.9      202.9      36.0        3.67      0.21                 1059200200145 
 188.9      202.9      39.9        3.16      0.34                 1059200200146 
 188.9      202.9      43.6        3.59      0.22                 1059200200147 
 188.9      202.9      47.3        2.57      0.26                 1059200200148 
 188.9      202.9      50.9        2.11      0.26                 1059200200149 
 202.9      217.3      11.2        6.72      0.46                 1059200200150 
 202.9      217.3      15.5        5.76      0.26                 1059200200151 
 202.9      217.3      19.7        5.20      0.21                 1059200200152 
 202.9      217.3      23.9        4.63      0.23                 1059200200153 
 202.9      217.3      28.1        4.15      0.24                 1059200200154 
 202.9      217.3      32.1        3.68      0.30                 1059200200155 
 202.9      217.3      36.1        3.85      0.25                 1059200200156 
 202.9      217.3      40.0        3.63      0.38                 1059200200157 
 202.9      217.3      43.8        3.65      0.25                 1059200200158 
 202.9      217.3      47.5        2.29      0.30                 1059200200159 
 202.9      217.3      51.1        2.33      0.30                 1059200200160 
 217.3      232.1      11.2        6.39      0.50                 1059200200161 
 217.3      232.1      15.5        6.06      0.28                 1059200200162 
 217.3      232.1      19.8        5.18      0.22                 1059200200163 
 217.3      232.1      24.0        4.82      0.25                 1059200200164 
 217.3      232.1      28.2        4.22      0.27                 1059200200165 
 217.3      232.1      32.2        4.13      0.34                 1059200200166 
 217.3      232.1      36.2        3.19      0.27                 1059200200167 
 217.3      232.1      40.1        3.40      0.41                 1059200200168 
 217.3      232.1      43.9        3.16      0.28                 1059200200169 
 217.3      232.1      47.6        2.26      0.31                 1059200200170 
 217.3      232.1      51.2        2.67      0.32                 1059200200171 
 232.1      247.2      11.3        5.40      0.52                 1059200200172 
 232.1      247.2      15.6        5.08      0.30                 1059200200173 
 232.1      247.2      19.9        4.55      0.24                 1059200200174 
 232.1      247.2      24.1        4.00      0.27                 1059200200175 
 232.1      247.2      28.2        4.05      0.31                 1059200200176 
 232.1      247.2      32.3        3.31      0.36                 1059200200177 
 232.1      247.2      36.3        3.42      0.30                 1059200200178 
 232.1      247.2      40.2        2.35      0.47                 1059200200179 
 232.1      247.2      44.1        2.90      0.31                 1059200200180 
 232.1      247.2      47.8        2.30      0.38                 1059200200181 
 232.1      247.2      51.4        2.31      0.38                 1059200200182 
 247.2      294.4      11.4        6.75      0.42                 1059200200183 
 247.2      294.4      15.7        5.27      0.23                 1059200200184 
 247.2      294.4      20.0        4.42      0.17                 1059200200185 
 247.2      294.4      24.3        4.15      0.20                 1059200200186 
 247.2      294.4      28.4        3.89      0.22                 1059200200187 
 247.2      294.4      32.6        3.61      0.28                 1059200200188 
 247.2      294.4      36.6        3.31      0.23                 1059200200189 
 247.2      294.4      40.5        2.82      0.34                 1059200200190 
 247.2      294.4      44.3        3.38      0.25                 1059200200191 
 247.2      294.4      48.1        2.73      0.30                 1059200200192 
 247.2      294.4      51.7        2.47      0.31                 1059200200193 
 294.4      327.4      11.5        6.91      0.73                 1059200200194 
 294.4      327.4      15.9        4.84      0.37                 1059200200195 
 294.4      327.4      20.2        4.65      0.30                 1059200200196 
 294.4      327.4      24.5        4.60      0.34                 1059200200197 
 294.4      327.4      28.7        4.29      0.39                 1059200200198 
 294.4      327.4      32.8        4.70      0.50                 1059200200199 
 294.4      327.4      36.9        3.87      0.41                 1059200200200 
 294.4      327.4      40.9        2.91      0.64                 1059200200201 
 294.4      327.4      44.7        3.01      0.45                 1059200200202 
 294.4      327.4      48.5        2.16      0.51                 1059200200203 
 294.4      327.4      52.1        1.97      0.53                 1059200200204 
 327.4      361.5      11.6        5.86      0.93                 1059200200205 
 327.4      361.5      16.0        5.60      0.51                 1059200200206 
 327.4      361.5      20.3        4.83      0.40                 1059200200207 
 327.4      361.5      24.7        3.64      0.42                 1059200200208 
 327.4      361.5      28.9        3.77      0.52                 1059200200209 
 327.4      361.5      33.1        3.28      0.61                 1059200200210 
 327.4      361.5      37.2        3.32      0.54                 1059200200211 
 327.4      361.5      41.1        1.74      0.84                 1059200200212 
 327.4      361.5      45.0        2.95      0.61                 1059200200213 
 327.4      361.5      48.8        1.75      0.71                 1059200200214 
 327.4      361.5      52.5        2.29      0.73                 1059200200215 
 361.5      432.6      11.7        7.16      0.98                 1059200200216 
 361.5      432.6      16.2        5.34      0.52                 1059200200217 
 361.5      432.6      20.6        4.66      0.40                 1059200200218 
 361.5      432.6      24.9        5.01      0.47                 1059200200219 
 361.5      432.6      29.2        4.82      0.52                 1059200200220 
 361.5      432.6      33.4        3.59      0.66                 1059200200221 
 361.5      432.6      37.6        4.44      0.53                 1059200200222 
 361.5      432.6      41.6        1.62      0.88                 1059200200223 
 361.5      432.6      45.5        3.95      0.68                 1059200200224 
 361.5      432.6      49.3        3.16      0.75                 1059200200225 
 361.5      432.6      53.0        3.84      0.86                 1059200200226 
ENDDATA            220          0                                 1059200200227 
ENDSUBENT          226          0                                 1059200299999 
ENDENTRY             2          0                                 1059299999999 
