ENTRY            14094   20060601                             13401409400000001 
SUBENT        14094001   20060601                             13401409400100001 
BIB                 12         42                                 1409400100002 
INSTITUTE  (1USALRL,1USABRK,1USAYAL) + University of Richmond     1409400100003 
REFERENCE  (J,PR/C,73,054604,2006)                                1409400100004 
AUTHOR     (J.T.Burke,L.A.Bernstein,J.Escher,L.Ahle,J.A.Church,   1409400100005 
            F.S.Dietrich,K.J.Moody,E.B.Norman,L.Phair,P.Fallon,   1409400100006 
            R.M.Clark,M.A.Deleplanque,M.Descovich,M.Cromaz,       1409400100007 
            I.Y.Lee,A.O.Macchiavelli,M.A.McMahan,L.G.Moretto,     1409400100008 
            E.Rodriguez-Vieitez,F.S.Stephens,H.Ai,C.Plettner,     1409400100009 
            C.Beausang,B.Crider)                                  1409400100010 
TITLE      Deducing the 237U(n,f) cross section using the         1409400100011 
            surrogate ratio method                                1409400100012 
FACILITY   (CYCLO,1USALBL) the 88 inch cyclotron at Lawrence      1409400100013 
            Berkeley National Laboratory                          1409400100014 
INC-SOURCE A 55MeV beam of a particles with an intensity of 2     1409400100015 
            to 5 pnA. The beam spot on the target was             1409400100016 
            approximately 3 mm in diameter.                       1409400100017 
METHOD     (EDE)                                                  1409400100018 
           Surrogate technique: Inelastically scattered a         1409400100019 
            particles from the 238U(a,a'f) and 236U(a,a'f)        1409400100020 
            reactions were detected using the STARS scattering    1409400100021 
            chamber.                                              1409400100022 
DETECTOR   (SIBAR) The silicon telescope produces differential    1409400100023 
            energy loss in the thin (DE) and thick (E) detectors, 1409400100024 
            which enables particle identification. The DE and E   1409400100025 
            detectors are both Micron S2 type with a thickness of 1409400100026 
            140 and 1000 microm, respectively.                    1409400100027 
MONITOR    The DE and E silicon detectors were calibrated using a 1409400100028 
            226Ra a source.                                       1409400100029 
SAMPLE     The 238U fission data were obtained from a             1409400100030 
            self-supporting metallic 3619 +/- 72 angstrom         1409400100031 
            (585 +/- 23 microg/cm2) thick 238U foil.              1409400100032 
           The 236U fission datawere obtained using a uranyl      1409400100033 
            nitrate 236UO2(NO3)2 target consisting of 99.68% 236U 1409400100034 
            and 0.32% 234U electroplated onto a 2.3 mg/cm2 Ta     1409400100035 
            foil. The 236U foil had an areal density of           1409400100036 
            approximately 184 +/- 9 microg/cm2.                   1409400100037 
ERR-ANALYS The sensitivity of the final cross section to the      1409400100038 
            fission cutoff point was determined to be 1.3 %       1409400100039 
           Normalization factor on 238U target thickness: 5 %     1409400100040 
           Normalization factor on 236U target thickness: 5 %     1409400100041 
           alpha spectra Fission spectrum: 1.3 %                  1409400100042 
           Total systematic uncertainty: 7.2 %                    1409400100043 
HISTORY    (20060516C) DR                                         1409400100044 
ENDBIB              42          0                                 1409400100045 
NOCOMMON             0          0                                 1409400100046 
ENDSUBENT           45          0                                 1409400199999 
SUBENT        14094002   20060601                             13401409400200001 
BIB                  4          5                                 1409400200002 
REACTION   (92-U-237(N,F),,SIG)                                   1409400200003 
MONITOR    (92-U-235(N,F),,SIG)                                   1409400200004 
ERR-ANALYS (ERR-S) Statistical uncertainty                        1409400200005 
           (ERR-SYS) Systematic uncertainty                       1409400200006 
STATUS     Data received from author (J. T. Burke) on 05/31/06    1409400200007 
ENDBIB               5          0                                 1409400200008 
NOCOMMON             0          0                                 1409400200009 
DATA                 6        245                                 1409400200010 
EN         EN-ERR     DATA       ERR-S      ERR-SYS    MONIT      1409400200011 
 5.693     0.220      0.592      0.063      0.042      1.057      1409400200065 
 5.793     0.220      0.487      0.052      0.035      1.047      1409400200066 
 5.893     0.220      0.537      0.059      0.039      1.037      1409400200067 
 5.993     0.220      0.561      0.062      0.040      1.036      1409400200068 
 6.093     0.220      0.437      0.047      0.031      1.035      1409400200069 
 6.193     0.220      0.453      0.046      0.033      1.038      1409400200070 
 6.293     0.220      0.637      0.068      0.046      1.065      1409400200071 
 6.393     0.220      0.505      0.051      0.036      1.091      1409400200072 
 6.493     0.220      0.605      0.060      0.043      1.135      1409400200073 
 6.593     0.220      0.489      0.043      0.035      1.179      1409400200074 
 6.693     0.220      0.572      0.051      0.041      1.229      1409400200075 
 6.793     0.220      0.550      0.047      0.040      1.281      1409400200076 
 6.893     0.220      0.748      0.064      0.054      1.333      1409400200077 
 6.993     0.220      0.632      0.049      0.045      1.378      1409400200078 
 7.093     0.220      0.965      0.080      0.069      1.423      1409400200079 
 7.193     0.220      0.657      0.047      0.047      1.464      1409400200080 
 7.293     0.220      0.847      0.062      0.061      1.503      1409400200081 
 7.393     0.220      0.942      0.069      0.068      1.542      1409400200082 
 7.493     0.220      0.936      0.066      0.067      1.579      1409400200083 
 7.593     0.220      1.135      0.082      0.082      1.615      1409400200084 
 7.693     0.220      0.810      0.051      0.058      1.647      1409400200085 
 7.793     0.220      0.921      0.059      0.066      1.674      1409400200086 
 7.893     0.220      0.861      0.054      0.062      1.700      1409400200087 
 7.993     0.220      0.968      0.058      0.070      1.715      1409400200088 
 8.093     0.220      0.966      0.060      0.069      1.730      1409400200089 
 8.193     0.220      1.009      0.062      0.072      1.747      1409400200090 
 8.293     0.220      1.062      0.063      0.076      1.766      1409400200091 
 8.393     0.220      0.927      0.053      0.067      1.785      1409400200092 
 8.493     0.220      1.041      0.063      0.075      1.790      1409400200093 
 8.593     0.220      0.930      0.052      0.067      1.795      1409400200094 
 8.693     0.220      0.973      0.054      0.070      1.797      1409400200095 
 8.793     0.220      1.105      0.063      0.079      1.795      1409400200096 
 8.893     0.220      1.120      0.063      0.080      1.793      1409400200097 
 8.993     0.220      0.990      0.055      0.071      1.790      1409400200098 
 9.093     0.220      1.092      0.061      0.078      1.787      1409400200099 
 9.193     0.220      0.872      0.045      0.063      1.785      1409400200100 
 9.293     0.220      1.110      0.062      0.080      1.782      1409400200101 
 9.393     0.220      0.803      0.041      0.058      1.779      1409400200102 
 9.493     0.220      1.034      0.056      0.074      1.777      1409400200103 
 9.593     0.220      1.080      0.060      0.078      1.775      1409400200104 
 9.693     0.220      1.107      0.062      0.079      1.773      1409400200105 
 9.793     0.220      0.868      0.044      0.062      1.771      1409400200106 
 9.893     0.220      0.894      0.047      0.064      1.769      1409400200107 
 9.993     0.220      0.865      0.045      0.062      1.767      1409400200108 
10.093     0.220      0.988      0.054      0.071      1.765      1409400200109 
10.193     0.220      0.861      0.043      0.062      1.763      1409400200110 
10.293     0.220      1.223      0.070      0.088      1.761      1409400200111 
10.393     0.220      0.866      0.045      0.062      1.759      1409400200112 
10.493     0.220      1.097      0.061      0.079      1.757      1409400200113 
10.593     0.220      1.055      0.057      0.076      1.754      1409400200114 
10.693     0.220      1.087      0.061      0.078      1.752      1409400200115 
10.793     0.220      1.055      0.058      0.076      1.750      1409400200116 
10.893     0.220      0.934      0.051      0.067      1.748      1409400200117 
10.993     0.220      1.081      0.061      0.078      1.745      1409400200118 
11.093     0.220      1.091      0.058      0.078      1.743      1409400200119 
11.193     0.220      0.917      0.050      0.066      1.741      1409400200120 
11.293     0.220      1.048      0.061      0.075      1.739      1409400200121 
11.393     0.220      1.019      0.058      0.073      1.736      1409400200122 
11.493     0.220      0.967      0.054      0.069      1.730      1409400200123 
11.593     0.220      1.177      0.068      0.085      1.724      1409400200124 
11.693     0.220      1.142      0.068      0.082      1.717      1409400200125 
11.793     0.220      1.010      0.057      0.073      1.710      1409400200126 
11.893     0.220      1.101      0.063      0.079      1.703      1409400200127 
11.993     0.220      0.988      0.053      0.071      1.702      1409400200128 
12.093     0.220      1.065      0.064      0.076      1.702      1409400200129 
12.193     0.220      1.062      0.061      0.076      1.706      1409400200130 
12.293     0.220      0.983      0.055      0.071      1.714      1409400200131 
12.393     0.220      1.132      0.065      0.081      1.722      1409400200132 
12.493     0.220      1.123      0.065      0.081      1.736      1409400200133 
12.593     0.220      1.136      0.066      0.082      1.751      1409400200134 
12.693     0.220      1.014      0.053      0.073      1.767      1409400200135 
12.793     0.220      1.261      0.075      0.091      1.783      1409400200136 
12.893     0.220      1.108      0.060      0.080      1.799      1409400200137 
12.993     0.220      1.048      0.056      0.075      1.816      1409400200138 
13.093     0.220      1.163      0.061      0.084      1.834      1409400200139 
13.193     0.220      1.110      0.057      0.080      1.851      1409400200140 
13.293     0.220      1.171      0.062      0.084      1.869      1409400200141 
13.393     0.220      1.019      0.051      0.073      1.886      1409400200142 
13.493     0.220      1.362      0.073      0.098      1.906      1409400200143 
13.593     0.220      1.333      0.069      0.096      1.925      1409400200144 
13.693     0.220      1.225      0.061      0.088      1.946      1409400200145 
13.793     0.220      1.244      0.062      0.089      1.967      1409400200146 
13.893     0.220      1.611      0.084      0.116      1.988      1409400200147 
13.993     0.220      1.603      0.083      0.115      2.008      1409400200148 
14.093     0.220      1.451      0.072      0.104      2.029      1409400200149 
14.193     0.220      1.272      0.058      0.091      2.047      1409400200150 
14.293     0.220      1.712      0.087      0.123      2.063      1409400200151 
14.393     0.220      1.437      0.067      0.103      2.080      1409400200152 
14.493     0.220      1.294      0.058      0.093      2.084      1409400200153 
14.593     0.220      1.508      0.068      0.108      2.088      1409400200154 
14.693     0.220      1.502      0.068      0.108      2.090      1409400200155 
14.793     0.220      1.447      0.065      0.104      2.091      1409400200156 
14.893     0.220      1.623      0.076      0.117      2.091      1409400200157 
14.993     0.220      1.544      0.071      0.111      2.098      1409400200158 
15.093     0.220      1.335      0.057      0.096      2.106      1409400200159 
15.193     0.220      1.413      0.062      0.101      2.113      1409400200160 
15.293     0.220      1.290      0.055      0.093      2.119      1409400200161 
15.393     0.220      1.444      0.062      0.104      2.126      1409400200162 
15.493     0.220      1.540      0.068      0.111      2.132      1409400200163 
15.593     0.220      1.399      0.059      0.100      2.137      1409400200164 
15.693     0.220      1.640      0.073      0.118      2.142      1409400200165 
15.793     0.220      1.837      0.084      0.132      2.147      1409400200166 
15.893     0.220      1.684      0.072      0.121      2.152      1409400200167 
15.993     0.220      1.537      0.066      0.110      2.154      1409400200168 
16.093     0.220      1.540      0.065      0.111      2.156      1409400200169 
16.193     0.220      1.581      0.066      0.114      2.156      1409400200170 
16.293     0.220      1.733      0.075      0.124      2.155      1409400200171 
16.393     0.220      1.715      0.074      0.123      2.154      1409400200172 
16.493     0.220      1.716      0.075      0.123      2.148      1409400200173 
16.593     0.220      1.596      0.067      0.115      2.143      1409400200174 
16.693     0.220      1.586      0.069      0.114      2.137      1409400200175 
16.793     0.220      1.457      0.060      0.105      2.132      1409400200176 
16.893     0.220      1.583      0.066      0.114      2.126      1409400200177 
16.993     0.220      1.526      0.062      0.110      2.121      1409400200178 
17.093     0.220      1.360      0.057      0.098      2.115      1409400200179 
17.193     0.220      1.723      0.074      0.124      2.109      1409400200180 
17.293     0.220      1.653      0.070      0.119      2.104      1409400200181 
17.393     0.220      1.470      0.062      0.106      2.098      1409400200182 
17.493     0.220      1.561      0.065      0.112      2.094      1409400200183 
17.593     0.220      1.969      0.088      0.141      2.090      1409400200184 
17.693     0.220      1.503      0.064      0.108      2.085      1409400200185 
17.793     0.220      1.713      0.076      0.123      2.081      1409400200186 
17.893     0.220      1.439      0.062      0.103      2.077      1409400200187 
17.993     0.220      1.934      0.090      0.139      2.073      1409400200188 
18.093     0.220      1.713      0.074      0.123      2.070      1409400200189 
18.193     0.220      1.372      0.057      0.098      2.066      1409400200190 
18.293     0.220      1.524      0.067      0.109      2.062      1409400200191 
18.393     0.220      1.528      0.065      0.110      2.059      1409400200192 
18.493     0.220      1.391      0.057      0.100      2.055      1409400200193 
18.593     0.220      1.391      0.058      0.100      2.052      1409400200194 
18.693     0.220      1.551      0.067      0.111      2.049      1409400200195 
18.793     0.220      1.461      0.062      0.105      2.046      1409400200196 
18.893     0.220      1.304      0.053      0.094      2.043      1409400200197 
18.993     0.220      1.443      0.062      0.104      2.041      1409400200198 
19.093     0.220      1.478      0.062      0.106      2.039      1409400200199 
19.193     0.220      1.501      0.065      0.108      2.036      1409400200200 
19.293     0.220      1.523      0.065      0.109      2.034      1409400200201 
19.393     0.220      1.727      0.078      0.124      2.032      1409400200202 
19.493     0.220      1.695      0.077      0.122      2.030      1409400200203 
19.593     0.220      1.662      0.074      0.119      2.029      1409400200204 
19.693     0.220      1.437      0.061      0.103      2.027      1409400200205 
19.793     0.220      1.709      0.077      0.123      2.026      1409400200206 
19.893     0.220      1.433      0.060      0.103      2.024      1409400200207 
19.993     0.220      1.651      0.074      0.119      2.024      1409400200208 
20.093     0.220      1.464      0.064      0.105      2.023      1409400200209 
20.193     0.220      1.386      0.059      0.099      2.022      1409400200210 
20.293     0.220      1.397      0.059      0.100      2.021      1409400200211 
20.393     0.220      1.837      0.087      0.132      2.021      1409400200212 
20.493     0.220      1.504      0.068      0.108      2.021      1409400200213 
20.593     0.220      1.498      0.068      0.108      2.021      1409400200214 
20.693     0.220      1.553      0.069      0.112      2.021      1409400200215 
20.793     0.220      1.821      0.087      0.131      2.021      1409400200216 
20.893     0.220      1.474      0.067      0.106      2.021      1409400200217 
20.993     0.220      1.474      0.066      0.106      2.021      1409400200218 
21.093     0.220      1.549      0.072      0.111      2.021      1409400200219 
21.193     0.220      1.622      0.075      0.116      2.021      1409400200220 
21.293     0.220      1.880      0.091      0.135      2.021      1409400200221 
21.393     0.220      1.397      0.062      0.100      2.021      1409400200222 
21.493     0.220      1.643      0.077      0.118      2.021      1409400200223 
21.593     0.220      1.485      0.065      0.107      2.021      1409400200224 
21.693     0.220      1.835      0.087      0.132      2.021      1409400200225 
21.793     0.220      1.369      0.060      0.098      2.021      1409400200226 
21.893     0.220      1.616      0.075      0.116      2.021      1409400200227 
21.993     0.220      1.592      0.075      0.114      2.021      1409400200228 
22.093     0.220      1.773      0.085      0.127      2.021      1409400200229 
22.193     0.220      1.795      0.088      0.129      2.021      1409400200230 
22.293     0.220      1.590      0.077      0.114      2.021      1409400200231 
22.393     0.220      1.648      0.084      0.118      2.021      1409400200232 
22.493     0.220      1.492      0.071      0.107      2.021      1409400200233 
22.593     0.220      1.419      0.067      0.102      2.021      1409400200234 
22.693     0.220      1.713      0.092      0.123      2.021      1409400200235 
22.793     0.220      1.639      0.085      0.118      2.021      1409400200236 
22.893     0.220      2.028      0.114      0.146      2.021      1409400200237 
22.993     0.220      1.441      0.074      0.104      2.021      1409400200238 
23.093     0.220      1.666      0.093      0.120      2.021      1409400200239 
23.193     0.220      1.399      0.070      0.100      2.021      1409400200240 
23.293     0.220      1.629      0.088      0.117      2.021      1409400200241 
23.393     0.220      1.675      0.091      0.120      2.021      1409400200242 
23.493     0.220      1.681      0.096      0.121      2.021      1409400200243 
23.593     0.220      1.537      0.083      0.110      2.021      1409400200244 
23.693     0.220      1.503      0.082      0.108      2.021      1409400200245 
23.793     0.220      1.535      0.092      0.110      2.021      1409400200246 
23.893     0.220      1.295      0.071      0.093      2.021      1409400200247 
23.993     0.220      1.591      0.091      0.114      2.021      1409400200248 
24.093     0.220      2.080      0.137      0.149      2.021      1409400200249 
24.193     0.220      1.296      0.075      0.093      2.021      1409400200250 
24.293     0.220      1.772      0.120      0.127      2.021      1409400200251 
24.393     0.220      1.617      0.104      0.116      2.021      1409400200252 
24.493     0.220      1.338      0.085      0.096      2.021      1409400200253 
24.593     0.220      1.994      0.146      0.143      2.021      1409400200254 
24.693     0.220      1.972      0.137      0.142      2.021      1409400200255 
24.793     0.220      1.509      0.100      0.108      2.021      1409400200256 
24.893     0.220      1.959      0.151      0.141      2.021      1409400200257 
ENDDATA            247          0                                 1409400200258 
ENDSUBENT          257          0                                 1409400299999 
ENDENTRY             2          0                                 1409499999999 
