ENTRY            13737   20211005                             149313737  0    1 
SUBENT        13737001   20211005                             149313737  1    1 
BIB                 12         20                                 13737  1    2 
TITLE      89Y+n resonances for E=10-740 keV and                  13737  1    3 
           intermediate structure                                 13737  1    4 
AUTHOR     (H.M.Agrawal,J.B.Garg,J.A.Harvey)                      13737  1    5 
REFERENCE  (J,NP/A,501,18,1989)                                   13737  1    6 
           #doi:10.1016/0375-9474(89)90563-0                      13737  1    7 
REL-REF    (I,10725001,M.S.Pandey+,J,PR/C,15,600,1977) ORELA      13737  1    8 
           neutron spectrometer.                                  13737  1    9 
INSTITUTE  (1USAORL,1USAALB)                                      13737  1   10 
FACILITY   (LINAC,1USAORL) ORELA.                                 13737  1   11 
INC-SOURCE (PHOTO) Photoneutrons from 5 nsec wide                 13737  1   12 
           electron pulses.                                       13737  1   13 
SAMPLE     Yttrium metal, 10.16cm diameter, 2,54 cm thick.        13737  1   14 
DETECTOR   (SCIN) NE-110 for neutron energies above 20 keV.       13737  1   15 
           (GLASD) 6Li glass detector for neutrons below 20 keV.  13737  1   16 
METHOD     (TOF) Flight path 200 m.                               13737  1   17 
CORRECTION Corrected for deadtime and background                  13737  1   18 
HISTORY    (20000217C) TK                                         13737  1   19 
           (20060309C) DR name of first author corrected          13737  1   20 
           (20211005A) BP: Updated entry, added doi. Digitized    13737  1   21 
                       data.                                      13737  1   22 
ENDBIB              20          0                                 13737  1   23 
NOCOMMON             0          0                                 13737  1   24 
ENDSUBENT           23          0                                 13737  199999 
SUBENT        13737002   20211005                             149313737  2    1 
BIB                  4          6                                 13737  2    2 
REACTION  1(39-Y-89(N,0),,EN)                                     13737  2    3 
          2(39-Y-89(N,EL),,WID,,G)                                13737  2    4 
          3(39-Y-89(N,0),,J)                                      13737  2    5 
ANALYSIS   Generalized R-matrix fits.                             13737  2    6 
ERR-ANALYS (DATA-ERR) Absolute uncertainty.                       13737  2    7 
STATUS     (TABLE) Table 1, pages 27-29.                          13737  2    8 
ENDBIB               6          0                                 13737  2    9 
COMMON               1          3                                 13737  2   10 
MOMENTUM L                                                        13737  2   11 
NO-DIM                                                            13737  2   12 
         0.                                                       13737  2   13 
ENDCOMMON            3          0                                 13737  2   14 
DATA                 5        144                                 13737  2   15 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3           13737  2   16 
KEV        KEV        EV         EV         NO-DIM                13737  2   17 
    274.989      8.767                                            13737  4 2526 
    275.083     11.377                                            13737  4 2527 
    275.129     13.726                                            13737  4 2528 
    275.229     11.376                                            13737  4 2529 
    275.330      8.046                                            13737  4 2530 
    275.479      5.239                                            13737  4 2531 
    275.674      4.585                                            13737  4 2532 
    275.818      5.432                                            13737  4 2533 
    276.206      5.690                                            13737  4 2534 
    276.207      4.907                                            13737  4 2535 
    276.351      6.407                                            13737  4 2536 
    276.446      7.908                                            13737  4 2537 
    276.447      7.125                                            13737  4 2538 
    276.494      8.299                                            13737  4 2539 
    276.591      9.017                                            13737  4 2540 
    276.687      9.669                                            13737  4 2541 
    277.020     14.888                                            13737  4 2542 
    277.115     16.715                                            13737  4 2543 
    277.116     15.801                                            13737  4 2544 
    277.265     13.777                                            13737  4 2545 
    277.464      9.663                                            13737  4 2546 
    277.513      9.010                                            13737  4 2547 
    277.563      7.900                                            13737  4 2548 
    277.611      8.422                                            13737  4 2549 
    277.806      7.507                                            13737  4 2550 
    278.001      7.114                                            13737  4 2551 
    278.098      6.526                                            13737  4 2552 
    278.146      7.570                                            13737  4 2553 
    278.291      7.895                                            13737  4 2554 
    278.506     12.446                                            13737  4 2555 
    278.568      7.628                                            13737  4 2556 
    278.735      8.799                                            13737  4 2557 
    278.885      5.608                                            13737  4 2558 
    278.974      7.561                                            13737  4 2559 
    279.220      8.145                                            13737  4 2560 
    279.457      6.321                                            13737  4 2561 
    279.466      8.469                                            13737  4 2562 
    279.860      5.472                                            13737  4 2563 
    279.868      7.555                                            13737  4 2564 
    280.037      8.921                                            13737  4 2565 
    280.277      8.139                                            13737  4 2566 
    280.426      4.752                                            13737  4 2567 
    280.701     12.368                                            13737  4 2568 
    280.775     10.609                                            13737  4 2569 
    280.854     10.088                                            13737  4 2570 
    280.934      9.697                                            13737  4 2571 
    281.014      9.241                                            13737  4 2572 
    281.174      8.589                                            13737  4 2573 
    281.354     13.080                                            13737  4 2574 
    281.508     10.930                                            13737  4 2575 
    281.605     14.836                                            13737  4 2576 
    281.776     16.723                                            13737  4 2577 
    281.927     13.987                                            13737  4 2578 
    282.163     12.033                                            13737  4 2579 
    282.241     11.121                                            13737  4 2580 
    282.314      9.167                                            13737  4 2581 
    282.316      9.688                                            13737  4 2582 
    282.556      8.645                                            13737  4 2583 
    282.635      8.059                                            13737  4 2584 
    282.714      7.602                                            13737  4 2585 
    283.038      7.275                                            13737  4 2586 
    283.278      6.232                                            13737  4 2587 
    283.445      7.468                                            13737  4 2588 
    283.772      7.856                                            13737  4 2589 
    283.936      8.246                                            13737  4 2590 
    284.101      8.766                                            13737  4 2591 
    284.102      9.091                                            13737  4 2592 
    284.105      9.742                                            13737  4 2593 
    284.353     10.717                                            13737  4 2594 
    284.441     12.474                                            13737  4 2595 
    284.527     13.581                                            13737  4 2596 
    284.602     11.887                                            13737  4 2597 
    284.744      6.809                                            13737  4 2598 
    284.756      9.933                                            13737  4 2599 
    285.079      9.280                                            13737  4 2600 
    285.411     10.906                                            13737  4 2601 
    285.745     13.182                                            13737  4 2602 
    286.152     13.245                                            13737  4 2603 
    286.224     11.031                                            13737  4 2604 
    286.297      8.947                                            13737  4 2605 
    286.381      9.598                                            13737  4 2606 
    286.539      8.425                                            13737  4 2607 
    286.619      8.034                                            13737  4 2608 
    286.938      6.534                                            13737  4 2609 
    286.942      7.511                                            13737  4 2610 
    287.265      7.118                                            13737  4 2611 
    287.833      6.789                                            13737  4 2612 
    288.073      5.876                                            13737  4 2613 
    288.403      6.981                                            13737  4 2614 
    288.730      7.370                                            13737  4 2615 
    289.059      8.474                                            13737  4 2616 
    289.139      7.953                                            13737  4 2617 
    289.312     10.556                                            13737  4 2618 
    289.387      9.123                                            13737  4 2619 
    289.398     11.662                                            13737  4 2620 
    289.485     13.224                                            13737  4 2621 
    289.553      9.838                                            13737  4 2622 
    289.709      8.405                                            13737  4 2623 
    290.045     10.942                                            13737  4 2624 
    290.211     11.852                                            13737  4 2625 
    290.283      9.443                                            13737  4 2626 
    290.290     11.266                                            13737  4 2627 
    290.375     12.177                                            13737  4 2628 
    290.449     10.288                                            13737  4 2629 
    290.540     12.631                                            13737  4 2630 
    290.541     13.022                                            13737  4 2631 
    290.624     13.477                                            13737  4 2632 
    290.789     13.997                                            13737  4 2633 
    291.034     14.256                                            13737  4 2634 
    291.183     11.000                                            13737  4 2635 
    291.588     10.477                                            13737  4 2636 
    291.602     14.057                                            13737  4 2637 
    291.679     12.885                                            13737  4 2638 
    291.681     13.406                                            13737  4 2639 
    291.908      9.303                                            13737  4 2640 
    291.920     12.297                                            13737  4 2641 
    292.081     11.841                                            13737  4 2642 
    292.242     11.449                                            13737  4 2643 
    292.321     10.928                                            13737  4 2644 
    292.554      8.192                                            13737  4 2645 
    292.644     10.405                                            13737  4 2646 
    292.806     10.143                                            13737  4 2647 
    293.211      9.880                                            13737  4 2648 
    293.445      7.340                                            13737  4 2649 
    293.780      9.682                                            13737  4 2650 
    294.028     10.722                                            13737  4 2651 
    294.265      9.158                                            13737  4 2652 
    294.282     13.194                                            13737  4 2653 
    294.356     11.436                                            13737  4 2654 
    294.743      6.746                                            13737  4 2655 
    294.834      8.894                                            13737  4 2656 
    295.324      9.607                                            13737  4 2657 
    295.397      7.523                                            13737  4 2658 
    295.568      9.540                                            13737  4 2659 
    295.647      9.019                                            13737  4 2660 
    295.976      9.863                                            13737  4 2661 
    295.977     10.189                                            13737  4 2662 
    296.142     10.708                                            13737  4 2663 
    296.144     11.294                                            13737  4 2664 
    296.309     11.879                                            13737  4 2665 
    296.393     12.530                                            13737  4 2666 
    296.477     13.180                                            13737  4 2667 
    296.564     14.547                                            13737  4 2668 
    296.642     13.765                                            13737  4 2669 
    296.653     16.434                                            13737  4 2670 
    296.797     11.941                                            13737  4 2671 
    296.807     14.350                                            13737  4 2672 
    296.964     13.112                                            13737  4 2673 
    297.029      8.945                                            13737  4 2674 
    297.119     11.158                                            13737  4 2675 
    297.182      6.731                                            13737  4 2676 
    297.338      4.907                                            13737  4 2677 
    297.590      6.858                                            13737  4 2678 
    297.772     11.805                                            13737  4 2679 
    297.939     12.911                                            13737  4 2680 
    298.195     15.904                                            13737  4 2681 
    298.258     11.281                                            13737  4 2682 
    298.556      4.704                                            13737  4 2683 
    298.740      9.911                                            13737  4 2684 
    299.074     11.992                                            13737  4 2685 
    299.164     14.075                                            13737  4 2686 
    299.405     13.487                                            13737  4 2687 
    299.417     16.547                                            13737  4 2688 
    299.633      9.580                                            13737  4 2689 
    299.656     15.113                                            13737  4 2690 
    299.722     11.337                                            13737  4 2691 
    299.948      7.104                                            13737  4 2692 
    300.190      6.452                                            13737  4 2693 
    300.194      7.558                                            13737  4 2694 
    300.269      6.060                                            13737  4 2695 
    300.674      5.602                                            13737  4 2696 
    300.752      4.755                                            13737  4 2697 
    300.916      5.210                                            13737  4 2698 
    301.163      5.860                                            13737  4 2699 
    301.328      6.444                                            13737  4 2700 
    301.330      7.095                                            13737  4 2701 
    301.346     10.871                                            13737  4 2702 
    301.768     14.644                                            13737  4 2703 
    301.776     16.728                                            13737  4 2704 
    301.833     10.803                                            13737  4 2705 
    301.910      9.696                                            13737  4 2706 
    302.225      7.220                                            13737  4 2707 
    302.561      9.952                                            13737  4 2708 
    302.651     12.035                                            13737  4 2709 
    302.654     12.686                                            13737  4 2710 
    302.894     11.708                                            13737  4 2711 
    302.973     11.121                                            13737  4 2712 
    303.052     10.665                                            13737  4 2713 
    303.130      9.753                                            13737  4 2714 
    303.131     10.144                                            13737  4 2715 
    303.291      9.297                                            13737  4 2716 
    303.533      8.904                                            13737  4 2717 
    303.771      7.536                                            13737  4 2718 
    303.773      8.057                                            13737  4 2719 
    304.020      8.706                                            13737  4 2720 
    304.104      9.292                                            13737  4 2721 
    304.350      9.811                                            13737  4 2722 
    304.433     10.331                                            13737  4 2723 
    304.686     12.543                                            13737  4 2724 
    305.252     11.888                                            13737  4 2725 
    305.270     16.120                                            13737  4 2726 
    305.409     10.520                                            13737  4 2727 
    305.471      5.767                                            13737  4 2728 
    305.909     13.382                                            13737  4 2729 
    306.327     16.309                                            13737  4 2730 
    306.558     13.182                                            13737  4 2731 
    306.853      5.759                                            13737  4 2732 
    306.865      8.623                                            13737  4 2733 
    307.116     10.379                                            13737  4 2734 
    307.580      4.582                                            13737  4 2735 
    307.584      5.364                                            13737  4 2736 
    307.749      6.144                                            13737  4 2737 
    307.833      6.664                                            13737  4 2738 
    307.930     10.700                                            13737  4 2739 
    308.023     13.434                                            13737  4 2740 
    308.849     16.553                                            13737  4 2741 
    308.859     19.222                                            13737  4 2742 
    308.919     13.884                                            13737  4 2743 
    309.005     15.055                                            13737  4 2744 
    309.321     12.709                                            13737  4 2745 
    309.398     11.797                                            13737  4 2746 
    309.474     10.495                                            13737  4 2747 
    309.790      8.019                                            13737  4 2748 
    309.964     10.948                                            13737  4 2749 
    310.051     12.314                                            13737  4 2750 
    310.298     13.029                                            13737  4 2751 
    310.456     12.051                                            13737  4 2752 
    310.606      8.925                                            13737  4 2753 
    310.682      7.688                                            13737  4 2754 
    310.685      8.339                                            13737  4 2755 
    310.693     10.292                                            13737  4 2756 
    310.770      9.315                                            13737  4 2757 
    311.006      7.165                                            13737  4 2758 
    311.330      6.903                                            13737  4 2759 
    311.735      6.510                                            13737  4 2760 
    312.140      6.181                                            13737  4 2761 
    312.464      5.854                                            13737  4 2762 
    312.938      5.927                                            13737  4 2763 
    313.181      6.239                                            13737  4 2764 
    313.586      6.550                                            13737  4 2765 
    313.743      6.081                                            13737  4 2766 
    313.829      6.862                                            13737  4 2767 
    314.073      7.278                                            13737  4 2768 
    314.237      7.694                                            13737  4 2769 
    314.321      8.162                                            13737  4 2770 
    314.347     11.652                                            13737  4 2771 
    314.647      8.786                                            13737  4 2772 
    314.731      9.202                                            13737  4 2773 
    314.815      9.671                                            13737  4 2774 
    314.819     10.192                                            13737  4 2775 
    314.998     12.639                                            13737  4 2776 
    315.409     13.940                                            13737  4 2777 
    315.471     11.387                                            13737  4 2778 
    315.522      7.429                                            13737  4 2779 
    315.526      8.054                                            13737  4 2780 
    315.536      9.356                                            13737  4 2781 
    315.678      6.803                                            13737  4 2782 
    315.831      5.761                                            13737  4 2783 
    315.834      6.230                                            13737  4 2784 
    315.989      5.448                                            13737  4 2785 
    316.305      4.666                                            13737  4 2786 
    316.308      5.083                                            13737  4 2787 
    316.624      4.404                                            13737  4 2788 
    316.783      4.091                                            13737  4 2789 
    316.861      3.727                                            13737  4 2790 
    316.939      3.414                                            13737  4 2791 
    317.016      3.049                                            13737  4 2792 
    317.206      6.902                                            13737  4 2793 
    317.209      7.319                                            13737  4 2794 
    317.284      6.590                                            13737  4 2795 
    317.442      6.277                                            13737  4 2796 
    317.520      5.912                                            13737  4 2797 
    317.677      5.443                                            13737  4 2798 
    317.997      5.233                                            13737  4 2799 
    318.476      4.815                                            13737  4 2800 
    318.632      4.137                                            13737  4 2801 
    318.634      4.398                                            13737  4 2802 
    318.884      5.647                                            13737  4 2803 
    319.121      4.969                                            13737  4 2804 
    319.123      5.281                                            13737  4 2805 
    319.276      4.239                                            13737  4 2806 
    319.448      5.697                                            13737  4 2807 
    319.566     10.853                                            13737  4 2808 
    319.621      7.363                                            13737  4 2809 
    319.871      8.612                                            13737  4 2810 
    320.067     13.299                                            13737  4 2811 
    320.117      9.288                                            13737  4 2812 
    320.299     12.100                                            13737  4 2813 
    320.463     12.569                                            13737  4 2814 
    320.525     10.016                                            13737  4 2815 
    320.531     10.902                                            13737  4 2816 
    320.752      8.141                                            13737  4 2817 
    320.757      8.870                                            13737  4 2818 
    320.978      6.056                                            13737  4 2819 
    320.984      6.890                                            13737  4 2820 
    320.987      7.306                                            13737  4 2821 
    321.141      6.473                                            13737  4 2822 
    321.216      5.691                                            13737  4 2823 
    321.455      5.378                                            13737  4 2824 
    321.527      4.336                                            13737  4 2825 
    321.532      4.961                                            13737  4 2826 
    321.934      4.959                                            13737  4 2827 
    322.091      4.438                                            13737  4 2828 
    322.657      4.905                                            13737  4 2829 
    322.732      4.176                                            13737  4 2830 
    323.062      5.320                                            13737  4 2831 
    323.162      7.976                                            13737  4 2832 
    323.178     10.111                                            13737  4 2833 
    323.236      7.143                                            13737  4 2834 
    323.330      8.913                                            13737  4 2835 
    323.377      4.434                                            13737  4 2836 
    323.615      3.964                                            13737  4 2837 
    323.624      5.214                                            13737  4 2838 
    323.692      3.495                                            13737  4 2839 
    323.849      2.974                                            13737  4 2840 
    324.005      2.348                                            13737  4 2841 
    324.323      1.878                                            13737  4 2842 
    324.575      3.440                                            13737  4 2843 
    325.004      7.032                                            13737  4 2844 
    325.012      8.022                                            13737  4 2845 
    325.089      7.605                                            13737  4 2846 
    325.177      8.698                                            13737  4 2847 
    325.415      8.229                                            13737  4 2848 
    325.647      6.978                                            13737  4 2849 
    325.739      8.540                                            13737  4 2850 
    325.916     10.727                                            13737  4 2851 
    326.209      6.872                                            13737  4 2852 
    326.212      7.341                                            13737  4 2853 
    326.367      6.507                                            13737  4 2854 
    326.524      6.090                                            13737  4 2855 
    326.612      7.079                                            13737  4 2856 
    326.763      5.776                                            13737  4 2857 
    326.769      6.558                                            13737  4 2858 
    327.093      6.817                                            13737  4 2859 
    327.330      6.295                                            13737  4 2860 
    327.416      7.128                                            13737  4 2861 
    327.661      7.544                                            13737  4 2862 
    327.832      8.898                                            13737  4 2863 
    327.905      8.012                                            13737  4 2864 
    327.908      8.377                                            13737  4 2865 
    327.995      9.262                                            13737  4 2866 
    328.079      9.678                                            13737  4 2867 
    328.163     10.199                                            13737  4 2868 
    328.178     12.178                                            13737  4 2869 
    328.522     15.198                                            13737  4 2870 
    328.835     14.103                                            13737  4 2871 
    328.977     11.654                                            13737  4 2872 
    329.326     15.299                                            13737  4 2873 
    329.391     13.216                                            13737  4 2874 
    329.607      9.829                                            13737  4 2875 
    329.778     11.183                                            13737  4 2876 
    329.845      9.464                                            13737  4 2877 
    329.851     10.193                                            13737  4 2878 
    329.923      9.047                                            13737  4 2879 
    329.934     10.557                                            13737  4 2880 
    330.081      8.734                                            13737  4 2881 
    330.236      7.952                                            13737  4 2882 
    330.239      8.369                                            13737  4 2883 
    330.393      7.483                                            13737  4 2884 
    330.470      6.962                                            13737  4 2885 
    330.544      6.076                                            13737  4 2886 
    330.548      6.597                                            13737  4 2887 
    330.699      5.399                                            13737  4 2888 
    330.707      6.388                                            13737  4 2889 
    330.944      5.814                                            13737  4 2890 
    331.037      7.585                                            13737  4 2891 
    331.055      9.981                                            13737  4 2892 
    331.280      7.845                                            13737  4 2893 
    331.437      7.323                                            13737  4 2894 
    331.514      6.906                                            13737  4 2895 
    331.672      6.437                                            13737  4 2896 
    332.071      6.019                                            13737  4 2897 
    332.229      5.758                                            13737  4 2898 
    332.467      5.288                                            13737  4 2899 
    332.553      6.069                                            13737  4 2900 
    332.565      7.580                                            13737  4 2901 
    332.711      5.704                                            13737  4 2902 
    332.908     10.495                                            13737  4 2903 
    333.002     12.318                                            13737  4 2904 
    333.288      7.525                                            13737  4 2905 
    333.307     10.077                                            13737  4 2906 
    333.439      6.327                                            13737  4 2907 
    333.598      6.014                                            13737  4 2908 
    333.835      5.492                                            13737  4 2909 
    334.081      6.064                                            13737  4 2910 
    334.084      6.481                                            13737  4 2911 
    334.408      6.897                                            13737  4 2912 
    334.561      5.802                                            13737  4 2913 
    334.646      6.427                                            13737  4 2914 
    334.891      6.999                                            13737  4 2915 
    334.978      7.884                                            13737  4 2916 
    335.055      7.415                                            13737  4 2917 
    335.072      9.707                                            13737  4 2918 
    335.416     12.674                                            13737  4 2919 
    335.707      8.559                                            13737  4 2920 
    336.047     11.058                                            13737  4 2921 
    336.146     13.505                                            13737  4 2922 
    336.418     17.671                                            13737  4 2923 
    336.720     15.118                                            13737  4 2924 
    336.850     10.899                                            13737  4 2925 
    336.944     12.721                                            13737  4 2926 
    336.990      8.190                                            13737  4 2927 
    337.063      7.148                                            13737  4 2928 
    337.068      7.877                                            13737  4 2929 
    337.073      8.554                                            13737  4 2930 
    337.141      6.835                                            13737  4 2931 
    337.146      7.512                                            13737  4 2932 
    337.380      6.522                                            13737  4 2933 
    337.611      5.219                                            13737  4 2934 
    337.618      6.157                                            13737  4 2935 
    337.622      6.677                                            13737  4 2936 
    337.696      5.792                                            13737  4 2937 
    337.865      6.937                                            13737  4 2938 
    337.958      8.603                                            13737  4 2939 
    338.029      7.353                                            13737  4 2940 
    338.034      7.978                                            13737  4 2941 
    338.273      7.769                                            13737  4 2942 
    338.358      8.342                                            13737  4 2943 
    338.363      8.966                                            13737  4 2944 
    338.749      6.934                                            13737  4 2945 
    338.834      7.454                                            13737  4 2946 
    338.918      8.027                                            13737  4 2947 
    339.003      8.600                                            13737  4 2948 
    339.005      8.912                                            13737  4 2949 
    339.415      9.953                                            13737  4 2950 
    339.676     12.608                                            13737  4 2951 
    339.874      6.878                                            13737  4 2952 
    339.896      9.795                                            13737  4 2953 
    340.031      6.305                                            13737  4 2954 
    340.046      8.284                                            13737  4 2955 
    340.109      5.992                                            13737  4 2956 
    340.265      5.314                                            13737  4 2957 
    340.268      5.731                                            13737  4 2958 
    340.512      6.095                                            13737  4 2959 
    340.676      6.511                                            13737  4 2960 
    340.759      6.979                                            13737  4 2961 
    341.022      9.895                                            13737  4 2962 
    341.036     11.770                                            13737  4 2963 
    341.317      6.300                                            13737  4 2964 
    341.333      8.384                                            13737  4 2965 
    341.392      5.519                                            13737  4 2966 
    341.475      5.883                                            13737  4 2967 
    341.881      6.403                                            13737  4 2968 
    341.884      6.871                                            13737  4 2969 
    341.888      7.392                                            13737  4 2970 
    342.138      8.641                                            13737  4 2971 
    342.294      7.964                                            13737  4 2972 
    342.412     13.015                                            13737  4 2973 
    342.544      9.109                                            13737  4 2974 
    342.581     14.161                                            13737  4 2975 
    342.750     15.254                                            13737  4 2976 
    342.974     12.961                                            13737  4 2977 
    342.978     13.430                                            13737  4 2978 
    342.985     14.420                                            13737  4 2979 
    343.264      8.637                                            13737  4 2980 
    343.357     10.408                                            13737  4 2981 
    343.655      7.230                                            13737  4 2982 
    343.823      8.219                                            13737  4 2983 
    343.900      7.698                                            13737  4 2984 
    344.148      8.687                                            13737  4 2985 
    344.224      8.113                                            13737  4 2986 
    344.461      7.540                                            13737  4 2987 
    344.535      6.602                                            13737  4 2988 
    344.619      7.175                                            13737  4 2989 
    344.624      7.852                                            13737  4 2990 
    344.789      8.424                                            13737  4 2991 
    345.144     12.798                                            13737  4 2992 
    345.146     13.058                                            13737  4 2993 
    345.153     14.048                                            13737  4 2994 
    345.217     11.912                                            13737  4 2995 
    345.220     12.329                                            13737  4 2996 
    345.229     13.475                                            13737  4 2997 
    345.455     11.390                                            13737  4 2998 
    345.922      9.358                                            13737  4 2999 
    346.017     11.284                                            13737  4 3000 
    346.173     10.711                                            13737  4 3001 
    346.248      9.982                                            13737  4 3002 
    346.341     11.700                                            13737  4 3003 
    346.482      9.043                                            13737  4 3004 
    346.639      8.522                                            13737  4 3005 
    346.716      8.001                                            13737  4 3006 
    346.871      7.271                                            13737  4 3007 
    347.045      9.093                                            13737  4 3008 
    347.130      9.718                                            13737  4 3009 
    347.303     11.280                                            13737  4 3010 
    347.583      5.758                                            13737  4 3011 
    347.596      7.477                                            13737  4 3012 
    347.896      4.611                                            13737  4 3013 
    347.982      5.288                                            13737  4 3014 
    348.461      4.922                                            13737  4 3015 
    348.546      5.547                                            13737  4 3016 
    348.865      5.181                                            13737  4 3017 
    348.872      6.066                                            13737  4 3018 
    349.126      7.784                                            13737  4 3019 
    349.134      8.878                                            13737  4 3020 
    349.221      9.815                                            13737  4 3021 
    349.363      7.263                                            13737  4 3022 
    349.519      6.637                                            13737  4 3023 
    349.526      7.575                                            13737  4 3024 
    349.837      6.115                                            13737  4 3025 
    349.924      7.000                                            13737  4 3026 
    349.927      7.521                                            13737  4 3027 
    350.111     10.646                                            13737  4 3028 
    350.264      9.499                                            13737  4 3029 
    350.363     12.103                                            13737  4 3030 
    350.548     15.332                                            13737  4 3031 
    350.861     14.185                                            13737  4 3032 
    351.019     13.768                                            13737  4 3033 
    351.245     11.736                                            13737  4 3034 
    351.313     10.121                                            13737  4 3035 
    351.455      7.516                                            13737  4 3036 
    351.463      8.662                                            13737  4 3037 
    351.927      6.108                                            13737  4 3038 
    351.933      6.994                                            13737  4 3039 
    352.090      6.524                                            13737  4 3040 
    352.403      5.273                                            13737  4 3041 
    352.407      5.846                                            13737  4 3042 
    352.573      6.523                                            13737  4 3043 
    352.726      5.533                                            13737  4 3044 
    353.044      5.063                                            13737  4 3045 
    353.127      5.375                                            13737  4 3046 
    353.203      4.750                                            13737  4 3047 
    353.451      5.739                                            13737  4 3048 
    353.539      6.676                                            13737  4 3049 
    353.615      6.155                                            13737  4 3050 
    353.783      7.144                                            13737  4 3051 
    354.319      6.138                                            13737  4 3052 
    354.393      6.782                                            13737  4 3053 
    354.841      6.350                                            13737  4 3054 
    354.914      7.137                                            13737  4 3055 
    355.287      7.565                                            13737  4 3056 
    355.288      6.849                                            13737  4 3057 
    355.584      8.208                                            13737  4 3058 
    355.810      7.276                                            13737  4 3059 
    356.033      7.920                                            13737  4 3060 
    356.406      7.775                                            13737  4 3061 
    356.631      7.058                                            13737  4 3062 
    356.781      6.627                                            13737  4 3063 
    356.928      7.629                                            13737  4 3064 
    357.226      8.129                                            13737  4 3065 
    357.524      8.629                                            13737  4 3066 
    357.598      9.130                                            13737  4 3067 
    357.821      9.773                                            13737  4 3068 
    358.044     10.416                                            13737  4 3069 
    358.117     11.132                                            13737  4 3070 
    358.415     11.632                                            13737  4 3071 
    358.487     12.992                                            13737  4 3072 
    358.488     12.276                                            13737  4 3073 
    358.491     10.915                                            13737  4 3074 
    358.715     10.556                                            13737  4 3075 
    358.866      9.195                                            13737  4 3076 
    359.015      9.839                                            13737  4 3077 
    359.088     10.340                                            13737  4 3078 
    359.311     10.983                                            13737  4 3079 
    359.314      9.337                                            13737  4 3080 
    359.387     10.195                                            13737  4 3081 
