ENTRY            13737   20211005                             149313737  0    1 
SUBENT        13737001   20211005                             149313737  1    1 
BIB                 12         20                                 13737  1    2 
TITLE      89Y+n resonances for E=10-740 keV and                  13737  1    3 
           intermediate structure                                 13737  1    4 
AUTHOR     (H.M.Agrawal,J.B.Garg,J.A.Harvey)                      13737  1    5 
REFERENCE  (J,NP/A,501,18,1989)                                   13737  1    6 
           #doi:10.1016/0375-9474(89)90563-0                      13737  1    7 
REL-REF    (I,10725001,M.S.Pandey+,J,PR/C,15,600,1977) ORELA      13737  1    8 
           neutron spectrometer.                                  13737  1    9 
INSTITUTE  (1USAORL,1USAALB)                                      13737  1   10 
FACILITY   (LINAC,1USAORL) ORELA.                                 13737  1   11 
INC-SOURCE (PHOTO) Photoneutrons from 5 nsec wide                 13737  1   12 
           electron pulses.                                       13737  1   13 
SAMPLE     Yttrium metal, 10.16cm diameter, 2,54 cm thick.        13737  1   14 
DETECTOR   (SCIN) NE-110 for neutron energies above 20 keV.       13737  1   15 
           (GLASD) 6Li glass detector for neutrons below 20 keV.  13737  1   16 
METHOD     (TOF) Flight path 200 m.                               13737  1   17 
CORRECTION Corrected for deadtime and background                  13737  1   18 
HISTORY    (20000217C) TK                                         13737  1   19 
           (20060309C) DR name of first author corrected          13737  1   20 
           (20211005A) BP: Updated entry, added doi. Digitized    13737  1   21 
                       data.                                      13737  1   22 
ENDBIB              20          0                                 13737  1   23 
NOCOMMON             0          0                                 13737  1   24 
ENDSUBENT           23          0                                 13737  199999 
SUBENT        13737002   20211005                             149313737  2    1 
BIB                  4          6                                 13737  2    2 
REACTION  1(39-Y-89(N,0),,EN)                                     13737  2    3 
          2(39-Y-89(N,EL),,WID,,G)                                13737  2    4 
          3(39-Y-89(N,0),,J)                                      13737  2    5 
ANALYSIS   Generalized R-matrix fits.                             13737  2    6 
ERR-ANALYS (DATA-ERR) Absolute uncertainty.                       13737  2    7 
STATUS     (TABLE) Table 1, pages 27-29.                          13737  2    8 
ENDBIB               6          0                                 13737  2    9 
COMMON               1          3                                 13737  2   10 
MOMENTUM L                                                        13737  2   11 
NO-DIM                                                            13737  2   12 
         0.                                                       13737  2   13 
ENDCOMMON            3          0                                 13737  2   14 
DATA                 5        144                                 13737  2   15 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3           13737  2   16 
KEV        KEV        EV         EV         NO-DIM                13737  2   17 
    246.950      0.040       449.        45.         1.           13737  3  185 
    247.643      0.040       752.        75.         2.           13737  3  186 
    248.875      0.020         6.         1.         0.           13737  3  187 
    250.400      0.025       117.        12.         0.           13737  3  188 
    250.962      0.025       320.        32.         2.           13737  3  189 
    252.280      0.035      1538.       155.         0.           13737  3  190 
    252.607      0.025       188.        19.         2.           13737  3  191 
    252.980      0.025       771.        78.         0.           13737  3  192 
    253.552      0.025       568.        57.         1.           13737  3  193 
    256.432      0.025        38.         4.         0.           13737  3  194 
    256.596      0.026       296.        30.         2.           13737  3  195 
    257.064      0.026       131.        15.         0.           13737  3  196 
    259.080      0.030       900.        90.         2.           13737  3  197 
    262.230      0.030      1449.       145.         1.           13737  3  198 
    262.360      0.026        76.         8.         2.           13737  3  199 
    262.680      0.026       214.        22.         0.           13737  3  200 
    263.310      0.026        85.         9.         2.           13737  3  201 
    264.400      0.026        79.         8.         2.           13737  3  202 
    266.012      0.027        56.         6.         0.           13737  3  203 
    266.816      0.027        62.         7.         0.           13737  3  204 
    267.070      0.027       164.        16.         1.           13737  3  205 
    268.470      0.027       380.        38.         2.           13737  3  206 
    269.192      0.027       199.        20.         0.           13737  3  207 
    270.340      0.035      1290.       130.         2.           13737  3  208 
    271.900      0.027        37.         4.         0.           13737  3  209 
    274.761      0.027        94.        10.         0.           13737  3  210 
    275.115      0.028       342.        35.         2.           13737  3  211 
    276.450      0.028       343.        35.         0.           13737  3  212 
    277.049      0.028       400.        40.         2.           13737  3  213 
    278.660      0.028       454.        45.         1.           13737  3  214 
    279.000      0.028       260.        26.         0.           13737  3  215 
    279.500      0.028       520.        52.         1.           13737  3  216 
    279.864      0.028       43.5         5.         0.           13737  3  217 
    280.160      0.028       163.        17.         2.           13737  3  218 
    280.814      0.028       131.        14.         1.           13737  3  219 
    281.900      0.028       723.        75.         2.           13737  3  220 
    284.980      0.028       470.        50.         1.           13737  3  221 
    285.930      0.040      1337.       140.         1.           13737  3  222 
    288.000      0.040      2247.       225.         0.           13737  3  223 
    289.980      0.029        79.         8.         2.           13737  3  224 
    291.250      0.050      3005.       300.         1.           13737  3  225 
    294.550      0.030       106.        10.         2.           13737  3  226 
    296.965      0.040       900.        90.         2.           13737  3  227 
    298.287      0.030       460.        48.         2.           13737  3  228 
    298.930      0.030       117.        12.         0.           13737  3  229 
    299.521      0.050      1100.       110.         2.           13737  3  230 
