EN-MIN     EN-MAX     DATA       MISC1      MISC2                 1438300200017 
EV         EV         NO-DIM     NO-DIM     NO-DIM                1438300200018 
   12.64736   12.67652    0.59880    0.52228    0.67531           1438300200121 
   12.67652   12.70574    0.63603    0.55859    0.71347           1438300200122 
   12.70574   12.73503    0.78068    0.70034    0.86102           1438300200123 
   12.73503   12.76439    0.60414    0.53634    0.67193           1438300200124 
   12.76439   12.79381    0.55517    0.48605    0.62430           1438300200125 
   12.79381   12.82331    0.62402    0.55165    0.69639           1438300200126 
   12.82331   12.85287    0.50036    0.42797    0.57274           1438300200127 
   12.85287   12.88250    0.52419    0.45500    0.59339           1438300200128 
   12.88250   12.91219    0.56055    0.49242    0.62867           1438300200129 
   12.91219   12.94196    0.45123    0.38952    0.51294           1438300200130 
   12.94196   12.97179    0.46134    0.39734    0.52535           1438300200131 
   12.97179   13.00170    0.52156    0.45970    0.58343           1438300200132 
   13.00170   13.03167    0.51946    0.45548    0.58343           1438300200133 
   13.03167   13.06171    0.35448    0.29775    0.41121           1438300200134 
   13.06171   13.09182    0.41844    0.36430    0.47257           1438300200135 
   13.09182   13.12200    0.35986    0.30818    0.41154           1438300200136 
   13.12200   13.15225    0.35099    0.29929    0.40270           1438300200137 
   13.15225   13.18257    0.29660    0.24594    0.34726           1438300200138 
   13.18257   13.21296    0.31925    0.26908    0.36943           1438300200139 
   13.21296   13.24342    0.38855    0.34057    0.43653           1438300200140 
   13.24342   13.27395    0.42864    0.37916    0.47811           1438300200141 
   13.27395   13.30454    0.31424    0.26749    0.36099           1438300200142 
   13.30454   13.33521    0.33828    0.29289    0.38368           1438300200143 
   13.33521   13.36596    0.31341    0.27019    0.35664           1438300200144 
   13.36596   13.39677    0.51952    0.47279    0.56626           1438300200145 
   13.39677   13.42765    0.42645    0.38429    0.46862           1438300200146 
   13.42765   13.45860    0.39549    0.35576    0.43523           1438300200147 
   13.45860   13.48963    0.30611    0.26834    0.34387           1438300200148 
   13.48963   13.52073    0.36059    0.32167    0.39950           1438300200149 
   13.52073   13.55189    0.36078    0.32588    0.39567           1438300200150 
   13.55189   13.58313    0.39940    0.36484    0.43397           1438300200151 
   13.58313   13.61445    0.35471    0.32239    0.38703           1438300200152 
   13.61445   13.64583    0.37544    0.34429    0.40658           1438300200153 
   13.64583   13.67729    0.35314    0.32361    0.38268           1438300200154 
   13.67729   13.70882    0.38537    0.35729    0.41346           1438300200155 
   13.70882   13.74042    0.38831    0.36050    0.41613           1438300200156 
   13.74042   13.77210    0.39683    0.37030    0.42336           1438300200157 
   13.77210   13.80384    0.36788    0.34356    0.39221           1438300200158 
   13.80384   13.83566    0.37291    0.35008    0.39574           1438300200159 
   13.83566   13.86756    0.41728    0.39464    0.43992           1438300200160 
   13.86756   13.89953    0.41089    0.39010    0.43167           1438300200161 
   13.89953   13.93157    0.46339    0.44317    0.48362           1438300200162 
   13.93157   13.96368    0.45102    0.43204    0.47000           1438300200163 
   13.96368   13.99587    0.49276    0.47432    0.51121           1438300200164 
   13.99587   14.02814    0.46985    0.45328    0.48641           1438300200165 
   14.02814   14.06048    0.45681    0.44138    0.47224           1438300200166 
   14.06048   14.09289    0.52351    0.50860    0.53842           1438300200167 
   14.09289   14.12538    0.51069    0.49694    0.52444           1438300200168 
   14.12538   14.15794    0.49564    0.48351    0.50777           1438300200169 
   14.15794   14.19058    0.52136    0.51030    0.53242           1438300200170 
   14.19058   14.22329    0.49431    0.48466    0.50395           1438300200171 
   14.22329   14.25608    0.51247    0.50370    0.52125           1438300200172 
   14.25608   14.28894    0.53563    0.52743    0.54382           1438300200173 
   14.28894   14.32188    0.56302    0.55519    0.57086           1438300200174 
   14.32188   14.35489    0.60002    0.59205    0.60798           1438300200175 
   14.35489   14.38799    0.64076    0.63231    0.64922           1438300200176 
   14.38799   14.42115    0.73955    0.72953    0.74957           1438300200177 
   14.42115   14.45440    0.86484    0.85257    0.87712           1438300200178 
   14.45440   14.48772    1.02843    1.01352    1.04333           1438300200179 
   14.48772   14.52112    1.18355    1.16699    1.20011           1438300200180 
   14.52112   14.55459    1.28025    1.26380    1.29669           1438300200181 
   14.55459   14.58814    1.26258    1.24851    1.27666           1438300200182 
   14.58814   14.62177    1.23749    1.22572    1.24926           1438300200183 
   14.62177   14.65548    1.17822    1.16857    1.18788           1438300200184 
   14.65548   14.68926    1.14356    1.13509    1.15203           1438300200185 
   14.68926   14.72313    1.09461    1.08682    1.10239           1438300200186 
   14.72313   14.75707    1.04974    1.04195    1.05753           1438300200187 
   14.75707   14.79108    0.98301    0.97477    0.99125           1438300200188 
   14.79108   14.82518    0.92046    0.91117    0.92974           1438300200189 
   14.82518   14.85936    0.80544    0.79505    0.81584           1438300200190 
   14.85936   14.89361    0.72567    0.71372    0.73762           1438300200191 
   14.89361   14.92794    0.58659    0.57433    0.59886           1438300200192 
   14.92794   14.96236    0.49009    0.47727    0.50291           1438300200193 
   14.96236   14.99685    0.42353    0.41081    0.43625           1438300200194 
   14.99685   15.03142    0.35682    0.34441    0.36923           1438300200195 
   15.03142   15.06607    0.30359    0.29159    0.31559           1438300200196 
   15.06607   15.10080    0.25423    0.24279    0.26567           1438300200197 
   15.10080   15.13561    0.23521    0.22396    0.24647           1438300200198 
   15.13561   15.17050    0.19995    0.18951    0.21039           1438300200199 
   15.17050   15.20548    0.20034    0.18997    0.21071           1438300200200 
   15.20548   15.24053    0.15148    0.14227    0.16070           1438300200201 
   15.24053   15.27566    0.16360    0.15425    0.17295           1438300200202 
   15.27566   15.31088    0.15503    0.14586    0.16420           1438300200203 
   15.31088   15.34617    0.14894    0.14026    0.15761           1438300200204 
