ENTRY            11558   19830412                             00001155800000001 
SUBENT        11558001   19830412                             00001155800100001 
BIB                  6          7                                 1155800100002 
INSTITUTE  (1USAWIS)                                              1155800100003 
REFERENCE  (J,PR,79,593,5008)                                     1155800100004 
AUTHOR     (R.E.PETERSON,H.H.BARSCHALL,C.K.BOCKELMAN)             1155800100005 
TITLE      INVESTIGATION OF NUCLEAR ENERGY LEVELS IN SULFUR.      1155800100006 
STATUS     (SCSRS)                                                1155800100007 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1155800100008 
           (830412A) CONVERTED TO REACTION FORMALISM              1155800100009 
ENDBIB               7          0                                 1155800100010 
NOCOMMON             0          0                                 1155800100011 
ENDSUBENT           10          0                                 1155800199999 
SUBENT        11558002   19830412                             00001155800200001 
BIB                  3          3                                 1155800200002 
REACTION   (16-S-0(N,TOT),,SIG)                                   1155800200003 
ERR-ANALYS  DATA-ERR GIVEN IS STATISTICAL ERROR ONLY              1155800200004 
HISTORY    (820628A) INCORRECT POINT AT 1.42 MEV DELETED.         1155800200005 
ENDBIB               3          0                                 1155800200006 
NOCOMMON             0          0                                 1155800200007 
DATA                 4        320                                 1155800200008 
EN         EN-RSL     DATA       DATA-ERR                         1155800200009 
MEV        MEV        B          B                                1155800200010 
 1.408  +00 6.     -03 2.3    +00                                 1155800200328 
 1.410  +00 6.     -03 2.0    +00                                 1155800200329 
 1.415  +00 6.     -03 1.9    +00                                 1155800200330 
ENDDATA            322          0                                 1155800200331 
ENDSUBENT          330          0                                 1155800299999 
SUBENT        11558003   19830412                             00001155800300001 
BIB                  1          4                                 1155800300002 
REACTION  1(16-S-32(N,0),,EN)                                     1155800300003 
          2(16-S-32(N,0),,J)                                      1155800300004 
          3(16-S-32(N,0),,L)                                      1155800300005 
          4(16-S-32(N,TOT),,WID)                                  1155800300006 
ENDBIB               4          0                                 1155800300007 
NOCOMMON             0          0                                 1155800300008 
DATA                 5          3                                 1155800300009 
DATA      1DATA      2DATA      3DATA      4DATA-ERR  4           1155800300010 
MEV        NO-DIM     NO-DIM     KEV        KEV                   1155800300011 
 3.75   -01 0.5    +00 0.         12.        1.5                  1155800300012 
 5.85   -01 1.5    +00             1.5                            1155800300013 
 7.00   -01 0.5    +00 0.         12.        1.5                  1155800300014 
ENDDATA              5          0                                 1155800300015 
ENDSUBENT           14          0                                 1155800399999 
SUBENT        11558004   19830412                             00001155800400001 
BIB                  1          1                                 1155800400002 
REACTION   (16-S-32(N,0),,EN)                                     1155800400003 
ENDBIB               1          0                                 1155800400004 
NOCOMMON             0          0                                 1155800400005 
DATA                 1          6                                 1155800400006 
DATA                                                              1155800400007 
MEV                                                               1155800400008 
 1.11   -01                                                       1155800400009 
 2.03   -01                                                       1155800400010 
 2.74   -01                                                       1155800400011 
 2.90   -01                                                       1155800400012 
 7.25   -01                                                       1155800400013 
 7.42   -01                                                       1155800400014 
ENDDATA              8          0                                 1155800400015 
ENDSUBENT           14          0                                 1155800499999 
ENDENTRY             4          0                                 1155899999999 
