ENTRY            13755   20020607                             00001375500000001 
SUBENT        13755001   20020607                             00001375500100001 
BIB                 13         21                                 1375500100002 
INSTITUTE  (1USAORL)                                              1375500100003 
REFERENCE  (R,ORNL-TM-11404,198910)                               1375500100004 
AUTHOR     (T.E.Slusarchyk)                                       1375500100005 
TITLE      Preliminary Cross Sections for Gamma Rays Produced by  1375500100006 
            Interaction of 1 to 40 MeV Neutrons with 59Co.        1375500100007 
FACILITY   (LINAC,1USAORL) ORELA.                                 1375500100008 
INC-SOURCE (PHOTO) Electrons on tantalum target.                  1375500100009 
SAMPLE     149-g Co metal disk.                                   1375500100010 
ANALYSIS   Data analyzed using computer code GRPGLI. Code         1375500100011 
            PLOTPACK was used to detect problems in assignment of 1375500100012 
            gamma peaks by GRPGLI.                                1375500100013 
DETECTOR   (GE-IN) For gamma-ray detection.                       1375500100014 
           (SCIN) Flux measured using NE-110 plastic scintillator.1375500100015 
CORRECTION Corrected for gamma attenuation in sample.             1375500100016 
           Not corrected for multiple scattering or electronic    1375500100017 
            timing variations.  Maximum error due to excluding    1375500100018 
            these corrections estimated to be 5%.                 1375500100019 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  1375500100020 
STATUS     (PRELM) No reply from D. Larson to author proof.       1375500100021 
           Data taken from tables in report.                      1375500100022 
HISTORY    (20011212C)                                            1375500100023 
ENDBIB              21          0                                 1375500100024 
NOCOMMON             0          0                                 1375500100025 
ENDSUBENT           24          0                                 1375500199999 
SUBENT        13755002   20020506                             00001375500200001 
BIB                  1          1                                 1375500200002 
REACTION   (27-CO-59(N,X)0-G-0,PAR,SIG)                           1375500200003 
ENDBIB               1          0                                 1375500200004 
NOCOMMON             0          0                                 1375500200005 
DATA                 5        579                                 1375500200006 
E          EN-MIN     EN-MAX     DATA       DATA-ERR              1375500200007 
 142.8     15.2       16.9           7.3     2.9                  1375500200039 
 321.0     10.4       11.1           5.1      3.4                 1375500200040 
 321.0     11.1       12.0          15.6      3.7                 1375500200041 
 321.0     12.0       12.9          37.0      4.3                 1375500200042 
 321.0     12.9       13.8          38.1      3.8                 1375500200043 
 321.0     13.8       15.2          98.5      5.2                 1375500200044 
 321.0     15.2       16.9          59.5      4.1                 1375500200045 
 321.0     16.9       18.8          69.5      5.6                 1375500200046 
 321.0     18.8       20.5          72.4      7.0                 1375500200047 
 321.0     20.5       22.5         127.0      8.8                 1375500200048 
 321.0     22.5       24.9         102.2      5.2                 1375500200049 
 321.0     24.9       26.9          81.2      5.0                 1375500200050 
 321.0     26.9       29.1          63.6      7.4                 1375500200051 
 321.0     29.1       31.7          44.9      4.5                 1375500200052 
 321.0     31.7       33.6          35.9      5.2                 1375500200053 
 321.0     33.6       35.7          24.1      8.3                 1375500200054 
 321.0     35.7       38.0          28.6      5.0                 1375500200055 
 349.1     12.0       12.9           4.5      3.6                 1375500200056 
 349.1     12.9       13.8           8.1      3.5                 1375500200057 
 349.1     13.8       15.2          11.5      3.1                 1375500200058 
 349.1     15.2       16.9           9.6      2.4                 1375500200059 
 349.1     16.9       18.8          18.2      3.5                 1375500200060 
 349.1     18.8       20.5          15.0      4.1                 1375500200061 
 349.1     20.5       22.5          14.8      4.2                 1375500200062 
 365.7     10.4       11.1           4.4      3.6                 1375500200063 
 365.7     11.1       12.0           5.5      3.6                 1375500200064 
 365.7     12.0       12.9          21.2      3.9                 1375500200065 
 365.7     12.9       13.8          19.7      3.7                 1375500200066 
 365.7     13.8       15.2          24.8      3.4                 1375500200067 
 365.7     15.2       16.9          33.3      3.6                 1375500200068 
 365.7     16.9       18.8          40.2      4.5                 1375500200069 
 365.7     18.8       20.5          33.5      4.7                 1375500200070 
 365.7     20.5       22.5          27.0      4.5                 1375500200071 
 365.7     22.5       24.9          22.3      4.5                 1375500200072 
 365.7     24.9       26.9          19.1      4.9                 1375500200073 
 365.7     26.9       29.1          23.2      5.8                 1375500200074 
 365.7     29.1       31.7          14.4      5.5                 1375500200075 
 365.7     31.7       33.6          13.9      6.8                 1375500200076 
 365.7     33.6       35.7          14.1      7.0                 1375500200077 
 365.7     35.7       38.0          11.9      7.3                 1375500200078 
 432.7     11.1       12.0           5.1      3.6                 1375500200079 
 432.7     12.0       12.9          15.0      3.6                 1375500200080 
 432.7     12.9       13.8          30.3      3.8                 1375500200081 
 432.7     13.8       15.2          54.0      2.9                 1375500200082 
 432.7     15.2       16.9          65.8      3.1                 1375500200083 
 432.7     16.9       18.8          69.5      4.6                 1375500200084 
 432.7     18.8       20.5          68.6      6.0                 1375500200085 
 432.7     20.5       22.5          58.9      4.4                 1375500200086 
 432.7     22.5       24.9          54.7      3.5                 1375500200087 
 432.7     24.9       26.9          23.5      5.5                 1375500200088 
 432.7     26.9       29.1          26.1      2.7                 1375500200089 
 432.7     29.1       31.7          21.5     10.1                 1375500200090 
 432.7     31.7       33.6          20.4     10.1                 1375500200091 
 432.7     33.6       35.7          23.5      8.2                 1375500200092 
 432.7     35.7       38.0          10.3      7.3                 1375500200093 
 454.3      7.75       8.44          5.4      3.0                 1375500200094 
 454.3      8.44       9.23          4.8      3.0                 1375500200095 
 454.3      9.23       9.82          8.1      3.8                 1375500200096 
 454.3      9.82      10.4           6.7      3.8                 1375500200097 
 454.3     10.4       11.1           4.6      3.7                 1375500200098 
 454.3     11.1       12.0          11.5      1.1                 1375500200099 
 454.3     12.0       12.9          12.2     12.2                 1375500200100 
 454.3     12.9       13.8           9.0      3.5                 1375500200101 
 454.3     13.8       15.2           8.6      3.2                 1375500200102 
 454.3     15.2       16.9           9.4      1.1                 1375500200103 
 454.3     16.9       18.8           8.8      3.5                 1375500200104 
 454.3     18.8       20.5           7.3      3.8                 1375500200105 
 454.3     20.5       22.5           8.2      4.4                 1375500200106 
 465.7     20.5       22.5           6.6      4.4                 1375500200107 
 465.7     22.5       24.9          15.2     17.3                 1375500200108 
 465.7     24.9       26.9          22.3      2.6                 1375500200109 
 465.7     26.9       29.1          39.5      4.0                 1375500200110 
 465.7     29.1       31.7          50.1      5.1                 1375500200111 
 465.7     31.7       33.6          50.3      7.3                 1375500200112 
 465.7     33.6       35.7          40.1      7.3                 1375500200113 
 465.7     35.7       38.0           9.7      6.9                 1375500200114 
 472.7      4.49       5.36          2.1     2.0                  1375500200115 
 472.7      5.36       6.19          3.8     2.3                  1375500200116 
 472.7      6.19       7.04          2.2     2.4                  1375500200117 
 472.7      7.04       7.75          3.0     2.7                  1375500200118 
 472.7      7.75       8.44          6.2     3.0                  1375500200119 
 472.7      8.44       9.23          7.7     3.1                  1375500200120 
 472.7      9.23       9.82          7.0     4.7                  1375500200121 
 472.7      9.82      10.4           5.5     3.8                  1375500200122 
 472.7     10.4       11.1           7.5     3.8                  1375500200123 
 472.7     11.1       12.0           8.9     3.8                  1375500200124 
 472.7     12.0       12.9           7.7     3.7                  1375500200125 
 472.7     12.9       13.8          10.1     3.5                  1375500200126 
 472.7     13.8       15.2           6.0     3.1                  1375500200127 
 472.7     15.2       16.9           4.3     3.1                  1375500200128 
 472.7     16.9       18.8           4.9     3.6                  1375500200129 
 472.7     18.8       20.5           6.5     4.1                  1375500200130 
 522.4      2.81       3.67          2.4     1.5                  1375500200131 
 522.4      3.67       4.49          6.2     1.9                  1375500200132 
 522.4      4.49       5.36          4.9     2.1                  1375500200133 
 522.4      5.36       6.19          8.3     2.3                  1375500200134 
 522.4      6.19       7.04          7.95    0.68                 1375500200135 
 522.4      7.04       7.75          3.4     2.8                  1375500200136 
 522.4      7.75       8.44          3.4     3.1                  1375500200137 
 522.4      8.44       9.23          4.2     3.1                  1375500200138 
 522.4      9.23       9.82          3.9     3.8                  1375500200139 
 580.0      1.95       2.28          8.83    0.52                 1375500200140 
 580.0      2.28       2.58         27.5     1.1                  1375500200141 
 580.0      2.58       2.81         32.6     1.7                  1375500200142 
 580.0      2.81       3.67         35.0     1.3                  1375500200143 
 580.0      3.67       4.49         28.6     1.1                  1375500200144 
 580.0      4.49       5.36         34.5     2.2                  1375500200145 
 580.0      5.36       6.19         25.4     1.3                  1375500200146 
 580.0      6.19       7.04         28.9     1.5                  1375500200147 
 580.0      7.04       7.75         21.4     1.6                  1375500200148 
 580.0      7.75       8.44         25.4     2.0                  1375500200149 
 580.0      8.44       9.23         24.3     1.7                  1375500200150 
 580.0      9.23       9.82         20.7     1.9                  1375500200151 
 580.0      9.82       10.4         23.0     3.1                  1375500200152 
 580.0     10.4        11.1         14.4     4.2                  1375500200153 
 580.0     11.1        12.0         10.8     4.2                  1375500200154 
 580.0     12.0        12.9          9.3     4.2                  1375500200155 
 580.0     12.9        13.8          7.5     3.9                  1375500200156 
 580.0     13.8        15.2          7.4     3.4                  1375500200157 
 650.7      2.28       2.58          7.91    0.76                 1375500200158 
 650.7      2.58       2.81         19.3     1.4                  1375500200159 
 650.7      2.81       3.67         23.7     0.9                  1375500200160 
 650.7      3.67       4.49         26.1     1.7                  1375500200161 
 650.7      4.49       5.36         24.8     1.3                  1375500200162 
 650.7      5.36       6.19         20.7     1.2                  1375500200163 
 650.7      6.19       7.04         21.8     1.5                  1375500200164 
 650.7      7.04       7.75         24.0     4.8                  1375500200165 
 650.7      7.75       8.44         23.7     2.0                  1375500200166 
 650.7      8.44       9.23         24.0     2.0                  1375500200167 
 650.7      9.23       9.82         17.8     5.5                  1375500200168 
 650.7      9.82       10.4         22.7     2.0                  1375500200169 
 650.7     10.4        11.1         19.6     1.9                  1375500200170 
 650.7     11.1        12.0         16.4     1.6                  1375500200171 
 650.7     12.0        12.9         19.1     1.7                  1375500200172 
 650.7     12.9        13.8          9.3     2.6                  1375500200173 
 723.5      1.95       2.28          2.0     1.5                  1375500200174 
 723.5      2.28       2.58         16.2     0.9                  1375500200175 
 723.5      2.58       2.81         17.4     1.4                  1375500200176 
 723.5      2.81       3.67         25.8     1.1                  1375500200177 
 723.5      3.67       4.49         21.9     1.5                  1375500200178 
 723.5      4.49       5.36         23.7     1.3                  1375500200179 
 723.5      5.36       6.19         17.6     1.1                  1375500200180 
 723.5      6.19       7.04         18.1     1.2                  1375500200181 
 723.5      7.04       7.75         15.8     1.3                  1375500200182 
 723.5      7.75       8.44         15.3     2.6                  1375500200183 
 723.5      8.44       9.23         12.6     1.3                  1375500200184 
 723.5      9.23       9.82         16.4     1.7                  1375500200185 
 723.5      9.82       10.4         11.3     4.4                  1375500200186 
 723.5     10.4        11.1          9.8     4.3                  1375500200187 
 723.5     11.1        12.0          6.4     4.2                  1375500200188 
 723.5     12.0        12.9          6.7     4.0                  1375500200189 
 723.5     12.9        13.8          4.9     3.9                  1375500200190 
 727.3     12.9       13.8          10.1      3.9                 1375500200191 
 727.3     13.8       15.2          16.3      1.6                 1375500200192 
 727.3     15.2       16.9          23.0      2.8                 1375500200193 
 727.3     16.9       18.8          28.2      2.6                 1375500200194 
 727.3     18.8       20.5          31.6      3.7                 1375500200195 
 727.3     20.5       22.5          26.4      2.8                 1375500200196 
 727.3     22.5       24.9          23.0      2.4                 1375500200197 
 727.3     24.9       26.9          16.5      5.8                 1375500200198 
 727.3     26.9       29.1           9.3      6.0                 1375500200199 
 727.3     29.1       31.7          10.6      6.3                 1375500200200 
 727.3     31.7       33.6          12.7      8.1                 1375500200201 
 727.3     33.6       35.7          11.9      8.0                 1375500200202 
 727.3     35.7       38.0           8.8      7.9                 1375500200203 
 774.2     13.8       15.2          15.4      1.7                 1375500200204 
 774.2     15.2       16.9          20.4      1.8                 1375500200205 
 774.2     16.9       18.8          19.2      2.1                 1375500200206 
 774.2     18.8       20.5          17.0      2.3                 1375500200207 
 774.2     20.5       22.5          21.4      5.1                 1375500200208 
 774.2     22.5       24.9          13.9      3.1                 1375500200209 
 774.2     24.9       26.9           7.4      5.4                 1375500200210 
 810.5      9.82      10.4           4.5      4.3                 1375500200211 
 810.5     10.4       11.1          10.6      2.1                 1375500200212 
 810.5     11.1       12.0          32.0      2.6                 1375500200213 
 810.5     12.0       12.9          14.9      2.8                 1375500200214 
 810.5     12.9       13.8          41.9      3.2                 1375500200215 
 810.5     13.8       15.2          47.7      3.0                 1375500200216 
 810.5     15.2       16.9          66.1      3.7                 1375500200217 
 810.5     16.9       18.8         101.3      6.9                 1375500200218 
 810.5     18.8       20.5         141.5     11.9                 1375500200219 
 810.5     20.5       22.5         145.2      9.9                 1375500200220 
 810.5     22.5       24.9         162.6      0.9                 1375500200221 
 810.5     24.9       26.9         146.2      8.9                 1375500200222 
 810.5     26.9       29.1         141.9      9.9                 1375500200223 
 810.5     29.1       31.7         121.2     10.8                 1375500200224 
 810.5     31.7       33.6         102.2     18.1                 1375500200225 
 810.5     33.6       35.7          97.6     11.7                 1375500200226 
 810.5     35.7       38.0          97.8     16.6                 1375500200227 
 858.2     20.5       22.5          10.6      5.1                 1375500200228 
 858.2     22.5       24.9          11.1      4.9                 1375500200229 
 858.2     24.9       26.9           7.7      6.1                 1375500200230 
 858.2     26.9       29.1           9.0      7.2                 1375500200231 
 858.2     29.1       31.7          11.3      7.0                 1375500200232 
 894.8     13.8       15.2          10.1      3.8                 1375500200233 
 894.8     15.2       16.9          13.5      3.8                 1375500200234 
 894.8     16.9       18.8          11.7      3.5                 1375500200235 
 894.8     18.8       20.5          14.3      4.6                 1375500200236 
 894.8     20.5       22.5          25.8      3.2                 1375500200237 
 894.8     22.5       24.9          18.2      5.4                 1375500200238 
 993.1      1.95       2.28          3.0     1.4                  1375500200239 
 993.1      2.28       2.58         44.6     1.7                  1375500200240 
 993.1      2.58       2.81         53.2     3.0                  1375500200241 
 993.1      2.81       3.67         60.9     2.1                  1375500200242 
 993.1      3.67       4.49         59.4     2.1                  1375500200243 
 993.1      4.49       5.36         72.1     3.2                  1375500200244 
 993.1      5.36       6.19         74.7     3.2                  1375500200245 
 993.1      6.19       7.04         69.1     3.4                  1375500200246 
 993.1      7.04       7.75         67.4     4.1                  1375500200247 
 993.1      7.75       8.44         76.8     5.2                  1375500200248 
 993.1      8.44       9.23         76.0     4.5                  1375500200249 
 993.1      9.23       9.82         78.8     5.2                  1375500200250 
 993.1      9.82       10.4         85.8     5.6                  1375500200251 
 993.1     10.4        11.1         80.7     5.6                  1375500200252 
 993.1     11.1        12.0         71.0     5.2                  1375500200253 
 993.1     12.0        12.9         54.9     3.6                  1375500200254 
 993.1     12.9        13.8         42.5     4.5                  1375500200255 
 993.1     13.8        15.2         26.8     3.2                  1375500200256 
 993.1     15.2        16.9         13.0     3.3                  1375500200257 
 993.1     16.9        18.8         18.9     3.9                  1375500200258 
 993.1     18.8        20.5         16.0     4.9                  1375500200259 
 993.1     20.5        22.5         21.1     4.9                  1375500200260 
 993.1     22.5        24.9         16.5     4.8                  1375500200261 
 993.1     24.9        26.9         18.3     3.0                  1375500200262 
 993.1     26.9        29.1         11.5     5.7                  1375500200263 
 993.1     29.1        31.7         12.3     8.3                  1375500200264 
 993.1     31.7        33.6          9.7     9.6                  1375500200265 
1003.6      2.81       3.67         11.1     1.8                  1375500200266 
1003.6      3.67       4.49         13.0     1.6                  1375500200267 
1003.6      4.49       5.36          8.37    0.75                 1375500200268 
1049.4     11.1       12.0           7.4      4.3                 1375500200269 
1049.4     12.0       12.9          13.6      4.7                 1375500200270 
1049.4     12.9       13.8          32.7      3.0                 1375500200271 
1049.4     13.8       15.2          26.3      4.7                 1375500200272 
1049.4     15.2       16.9          89.6      4.7                 1375500200273 
1049.4     16.9       18.8         115.9      7.1                 1375500200274 
1049.4     18.8       20.5          98.6      9.8                 1375500200275 
1049.4     20.5       22.5         115.1      8.3                 1375500200276 
1049.4     22.5       24.9          86.2      7.5                 1375500200277 
1049.4     24.9       26.9          61.4      7.5                 1375500200278 
1049.4     26.9       29.1          41.9      5.1                 1375500200279 
1049.4     29.1       31.7          45.6      6.2                 1375500200280 
1049.4     31.7       33.6          26.7     12.8                 1375500200281 
1049.4     33.6       35.7          16.8      7.8                 1375500200282 
1050.8     11.1       12.0           7.0      4.3                 1375500200283 
1050.8     12.0       12.9          12.2      4.7                 1375500200284 
1050.8     12.9       13.8          22.7      3.0                 1375500200285 
1050.8     13.8       15.2          56.9      4.7                 1375500200286 
1050.8     15.2       16.9          89.6      4.7                 1375500200287 
1050.8     16.9       18.8          97.3      8.1                 1375500200288 
1050.8     18.8       20.5         104.2     10.3                 1375500200289 
1050.8     20.5       22.5         115.3      8.8                 1375500200290 
1050.8     22.5       24.9          87.7      7.7                 1375500200291 
1050.8     24.9       26.9          49.2      7.5                 1375500200292 
1050.8     26.9       29.1          41.9      5.1                 1375500200293 
1050.8     29.1       31.7          45.6      6.2                 1375500200294 
1050.8     31.7       33.6          26.7     12.8                 1375500200295 
1050.8     33.6       35.7          19.6      7.8                 1375500200296 
1061.3     24.9       26.9          11.8      5.8                 1375500200297 
1061.3     26.9       29.1          23.6      3.4                 1375500200298 
1061.3     29.1       31.7          29.8      4.3                 1375500200299 
1061.3     31.7       33.6          44.1      7.7                 1375500200300 
1061.3     33.6       35.7          62.3     12.0                 1375500200301 
1061.3     35.7       38.0          46.7      8.6                 1375500200302 
1098.9      1.13       1.22         41.0     1.9                  1375500200303 
1098.9      1.22       1.35         59.4     2.4                  1375500200304 
1098.9      1.35       1.64         86.8     2.6                  1375500200305 
1098.9      1.64       1.95        121.2     3.2                  1375500200306 
1098.9      1.95       2.28        128.7     3.4                  1375500200307 
1098.9      2.28       2.58        135.8     3.8                  1375500200308 
1098.9      2.58       2.81        130.8     5.1                  1375500200309 
1098.9      2.81       3.67        127.0     3.8                  1375500200310 
1098.9      3.67       4.49        145.4     4.5                  1375500200311 
1098.9      4.49       5.36        146.5     5.8                  1375500200312 
1098.9      5.36       6.19        131.9     4.9                  1375500200313 
1098.9      6.19       7.04        124.2     5.8                  1375500200314 
1098.9      7.04       7.75        108.8     6.8                  1375500200315 
1098.9      7.75       8.44        114.0     7.5                  1375500200316 
1098.9      8.44       9.23        101.3     5.8                  1375500200317 
1098.9      9.23       9.82        100.7     6.2                  1375500200318 
1098.9      9.82      10.4         105.8     6.8                  1375500200319 
1098.9     10.4       11.1          88.1     6.0                  1375500200320 
1098.9     11.1       12.0          68.6     4.5                  1375500200321 
1098.9     12.0       12.9          64.8     4.3                  1375500200322 
1098.9     12.9       13.8          55.8     4.1                  1375500200323 
1098.9     13.8       15.2          32.9     2.4                  1375500200324 
1098.9     15.2       16.9          23.5     3.2                  1375500200325 
1098.9     16.9       18.8          27.6     4.7                  1375500200326 
1098.9     18.8       20.5          19.9     2.8                  1375500200327 
1098.9     20.5       22.5          20.7     2.8                  1375500200328 
1098.9     22.5       24.9          22.2     5.6                  1375500200329 
1098.9     24.9       26.9          19.5     6.2                  1375500200330 
1098.9     26.9       29.1          15.6     6.4                  1375500200331 
1166.3     24.9       26.9           7.9      5.8                 1375500200332 
1166.3     26.9       29.1          17.2      6.6                 1375500200333 
1166.3     29.1       31.7          13.1      6.6                 1375500200334 
1166.3     31.7       33.6          13.7      8.0                 1375500200335 
1166.3     33.6       35.7           9.2      7.5                 1375500200336 
1190.0      1.13       1.22         11.0     0.9                  1375500200337 
1190.0      1.22       1.35        123.3     4.1                  1375500200338 
1190.0      1.35       1.64        212.1     5.5                  1375500200339 
1190.0      1.64       1.95        262.5     6.2                  1375500200340 
1190.0      1.95       2.28        300.9     7.3                  1375500200341 
1190.0      2.28       2.58        343.6     8.3                  1375500200342 
1190.0      2.58       2.81        350.0    11.5                  1375500200343 
1190.0      2.81       3.67        371.3    10.0                  1375500200344 
1190.0      3.67       4.49        373.5    10.7                  1375500200345 
1190.0      4.49       5.36        394.8    14.3                  1375500200346 
1190.0      5.36       6.19        386.3    13.0                  1375500200347 
1190.0      6.19       7.04        337.2    14.5                  1375500200348 
1190.0      7.04       7.75        311.6    16.6                  1375500200349 
1190.0      7.75       8.44        341.4    20.1                  1375500200350 
1190.0      8.44       9.23        309.4    16.0                  1375500200351 
1190.0      9.23       9.82        337.2    17.7                  1375500200352 
1190.0      9.82      10.4         328.6    18.6                  1375500200353 
1190.0     10.4       11.1         288.1    17.5                  1375500200354 
1190.0     11.1       12.0         273.2    14.1                  1375500200355 
1190.0     12.0       12.9         219.8    11.3                  1375500200356 
1190.0     12.9       13.8         160.1    10.0                  1375500200357 
1190.0     13.8       15.2         113.1     7.0                  1375500200358 
1190.0     15.2       16.9          87.3     6.0                  1375500200359 
1190.0     16.9       18.8          65.5     6.0                  1375500200360 
1190.0     18.8       20.5          59.1     7.0                  1375500200361 
1190.0     20.5       22.5          60.6     5.8                  1375500200362 
1190.0     22.5       24.9          50.1     5.5                  1375500200363 
1190.0     24.9       26.9          24.6     4.9                  1375500200364 
1190.0     26.9       29.1          63.8     6.2                  1375500200365 
1190.0     29.1       31.7          41.8     6.8                  1375500200366 
1190.0     31.7       33.6          32.7     6.4                  1375500200367 
1190.0     33.6       35.7          44.2    10.2                  1375500200368 
1223.8     22.5       24.9          15.9      5.1                 1375500200369 
1223.8     24.9       26.9          51.6      5.3                 1375500200370 
1223.8     26.9       29.1          64.4      7.9                 1375500200371 
1223.8     29.1       31.7          50.9      9.6                 1375500200372 
1223.8     31.7       33.6          92.7     13.9                 1375500200373 
1223.8     33.6       35.7          53.3     13.6                 1375500200374 
1223.8     35.7       38.0          39.8     12.4                 1375500200375 
1236.9     13.8       15.2           7.7      3.5                 1375500200376 
1236.9     15.2       16.9           8.0      4.6                 1375500200377 
1236.9     16.9       18.8          10.6      2.8                 1375500200378 
1236.9     18.8       20.5          11.7      5.3                 1375500200379 
1236.9     20.5       22.5          13.7      3.9                 1375500200380 
1236.9     22.5       24.9           6.8      4.6                 1375500200381 
1291.3      1.22       1.35          5.15    0.57                 1375500200382 
1291.3      1.35       1.64         41.1     1.4                  1375500200383 
1291.3      1.64       1.95         66.8     2.0                  1375500200384 
1291.3      1.95       2.28         81.1     2.6                  1375500200385 
1291.3      2.28       2.58        106.8     3.4                  1375500200386 
1291.3      2.58       2.81        109.6     4.9                  1375500200387 
1291.3      2.81       3.67        117.5     3.6                  1375500200388 
1291.3      3.67       4.49         96.4     3.6                  1375500200389 
1291.3      4.49       5.36         91.7     4.3                  1375500200390 
1291.3      5.36       6.19         86.2     3.6                  1375500200391 
1291.3      6.19       7.04         82.8     4.3                  1375500200392 
1291.3      7.04       7.75         79.6     5.5                  1375500200393 
1291.3      7.75       8.44         77.9     5.3                  1375500200394 
1291.3      8.44       9.23         73.2     4.5                  1375500200395 
1291.3      9.23       9.82         74.9     5.1                  1375500200396 
1291.3      9.82      10.4          71.1     5.7                  1375500200397 
1291.3     10.4       11.1          53.4     4.9                  1375500200398 
1291.3     11.1       12.0          47.5     3.4                  1375500200399 
1291.3     12.0       12.9          34.3     3.6                  1375500200400 
1291.3     12.9       13.8          26.8     3.2                  1375500200401 
1291.3     13.8       15.2          17.6     3.6                  1375500200402 
1291.3     15.2       16.9          16.1     1.6                  1375500200403 
1291.3     16.9       18.8          11.9     3.8                  1375500200404 
1291.3     18.8       20.5          10.4     4.3                  1375500200405 
1291.3     20.5       22.5           5.7     4.0                  1375500200406 
1291.3     22.5       24.9           6.4     4.5                  1375500200407 
1291.3     24.9       26.9           8.2     4.9                  1375500200408 
1458.8      1.35       1.64         40.7     1.5                  1375500200409 
1458.8      1.64       1.95        125.4     3.4                  1375500200410 
1458.8      1.95       2.28        151.7     4.0                  1375500200411 
1458.8      2.28       2.58        173.4     4.9                  1375500200412 
1458.8      2.58       2.81        168.5     7.2                  1375500200413 
1458.8      2.81       3.67        181.4     5.3                  1375500200414 
1458.8      3.67       4.49        206.0     6.6                  1375500200415 
1458.8      4.49       5.36        227.1     8.9                  1375500200416 
1458.8      5.36       6.19        222.8     8.5                  1375500200417 
1458.8      6.19       7.04        239.8    10.8                  1375500200418 
1458.8      7.04       7.75        235.5    13.2                  1375500200419 
1458.8      7.75       8.44        250.4    15.1                  1375500200420 
1458.8      8.44       9.23        258.9    13.8                  1375500200421 
1458.8      9.23       9.82        244.0    14.0                  1375500200422 
1458.8      9.82      10.4         295.0    16.8                  1375500200423 
1458.8     10.4       11.1         273.7    16.8                  1375500200424 
1458.8     11.1       12.0         248.3    12.9                  1375500200425 
1458.8     12.0       12.9         201.2    10.8                  1375500200426 
