ENTRY            13885   20031008                             00001388500000001 
SUBENT        13885001   20031008                             00001388500100001 
BIB                 14         33                                 1388500100002 
INSTITUTE  (1USALRL,1USAKTY,1USALAS,1USAMSU)                      1388500100003 
REFERENCE  (J,PR/C,68,024312,2003)                                1388500100004 
AUTHOR     (P.E.Garrett,W.Younes,J.A.Becker,L.A.Bernstein,        1388500100005 
           E.M.Baum,D.P.DiPrete,R.A.Gatenby,E.L.Johnson,          1388500100006 
           C.A.McGrath,S.W.Yates,M.Deblin,N.Fotiades,R.O.Nelson,  1388500100007 
           B.A.Brown)                                             1388500100008 
TITLE      Nuclear structure of the closed subshell nucleus 90Zr  1388500100009 
            studied with the (n,n'gamma) reaction                 1388500100010 
FACILITY   (LINAC,1USALAS) LANSCE/WNR facility.                   1388500100011 
INC-SOURCE (SPALL) 800-MeV protons on natural W target.           1388500100012 
INC-SPECT  Data given under the heading EN-RSL represents the     1388500100013 
            square root of the variance in energy.                1388500100014 
SAMPLE     Metallic Zr disk, enriched to 97.65% 90Zr.             1388500100015 
DETECTOR   (HPGE) GEANIE spectrometer, consisting of 11 high-     1388500100016 
            purity Ge planar detectors and coaxial detectors.     1388500100017 
            All planar detectors and 9 of the coaxial detectors   1388500100018 
            equipped with bismuth germanate Compton suppression   1388500100019 
            shields with NaI supression nose cones.               1388500100020 
MONITOR    (92-U-238(N,F),,SIG,,,EVAL) Data taken from ENDF/B-VI. 1388500100021 
           Neutron flux monitored using a fission chamber         1388500100022 
            containing both 235U and 238U foils.                  1388500100023 
           Energy calibrated using well-known lines from 90Zr+n.  1388500100024 
           Efficiency determined using calibrated gamma-ray       1388500100025 
            standard sources                                      1388500100026 
CORRECTION Corrected for background, sample attenuation, and      1388500100027 
            geometry effects.                                     1388500100028 
ERR-ANALYS (ERR-S) Statistical uncertainty given.                 1388500100029 
            Systematic uncertainty include erros in:              1388500100030 
            . detector array efficiency (5%),                     1388500100031 
            . 90Zr target thickness (5%).                         1388500100032 
STATUS     Data received by email from P. Garrett, 2 October 2003.1388500100033 
           (APRVD) Approved by P. Garrett, 7 October 2003.        1388500100034 
HISTORY    (20031007C)                                            1388500100035 
ENDBIB              33          0                                 1388500100036 
NOCOMMON             0          0                                 1388500100037 
ENDSUBENT           36          0                                 1388500199999 
SUBENT        13885002   20031007                             00001388500200001 
BIB                  1          1                                 1388500200002 
REACTION   (40-ZR-90(N,INL)40-ZR-90,PAR,SIG,G)                    1388500200003 
ENDBIB               1          0                                 1388500200004 
NOCOMMON             0          0                                 1388500200005 
DATA                 5        152                                 1388500200006 
E          EN         EN-RSL     DATA       ERR-S                 1388500200007 
1584.      11.753      0.459      0.020990   0.001132             1388500200053 
1584.      12.627      0.510      0.018906   0.001068             1388500200054 
1584.      13.619      0.575      0.012983   0.000880             1388500200055 
1584.      14.721      0.636      0.009047   0.000760             1388500200056 
1584.      15.969      0.735      0.005233   0.000654             1388500200057 
1584.      17.403      0.836      0.003787   0.000618             1388500200058 
1584.      19.046      0.907      0.001687   0.000573             1388500200059 
1639.       4.050      0.091      0.005022   0.000544             1388500200060 
1639.       4.220      0.098      0.013274   0.000769             1388500200061 
1639.       4.402      0.103      0.020831   0.001007             1388500200062 
1639.       4.601      0.112      0.025275   0.001149             1388500200063 
1639.       4.806      0.117      0.025661   0.001163             1388500200064 
1639.       5.032      0.128      0.028212   0.001252             1388500200065 
1639.       5.272      0.136      0.026346   0.001197             1388500200066 
1639.       5.528      0.146      0.025789   0.001185             1388500200067 
1639.       5.804      0.157      0.026745   0.001213             1388500200068 
1639.       6.103      0.170      0.027454   0.001240             1388500200069 
1639.       6.424      0.184      0.027553   0.001239             1388500200070 
1639.       6.777      0.200      0.029448   0.001298             1388500200071 
1639.       7.148      0.213      0.028318   0.001264             1388500200072 
1639.       7.554      0.235      0.028831   0.001289             1388500200073 
1639.       8.000      0.257      0.030636   0.001369             1388500200074 
1639.       8.496      0.280      0.029597   0.001342             1388500200075 
1639.       9.024      0.305      0.030855   0.001375             1388500200076 
1639.       9.606      0.337      0.029560   0.001346             1388500200077 
1639.      10.246      0.370      0.030795   0.001394             1388500200078 
1639.      10.954      0.410      0.033202   0.001484             1388500200079 
1639.      11.753      0.459      0.032523   0.001485             1388500200080 
1639.      12.627      0.510      0.029502   0.001398             1388500200081 
1639.      13.619      0.575      0.022516   0.001174             1388500200082 
1639.      14.721      0.636      0.017268   0.001001             1388500200083 
1639.      15.969      0.735      0.010917   0.000823             1388500200084 
1639.      17.403      0.836      0.007689   0.000755             1388500200085 
1639.      19.046      0.907      0.006951   0.000756             1388500200086 
1938.       4.050      0.091      0.001554   0.000688             1388500200087 
1938.       4.220      0.098      0.007435   0.000792             1388500200088 
1938.       4.402      0.103      0.024010   0.001245             1388500200089 
1938.       4.601      0.112      0.030515   0.001435             1388500200090 
1938.       4.806      0.117      0.028850   0.001390             1388500200091 
1938.       5.032      0.128      0.025126   0.001310             1388500200092 
1938.       5.272      0.136      0.019654   0.001167             1388500200093 
1938.       5.528      0.146      0.016619   0.001079             1388500200094 
1938.       5.804      0.157      0.014080   0.001024             1388500200095 
1938.       6.103      0.170      0.010664   0.000960             1388500200096 
1938.       6.424      0.184      0.010086   0.000955             1388500200097 
1938.       6.777      0.200      0.009046   0.000947             1388500200098 
1938.       7.148      0.213      0.007423   0.000910             1388500200099 
1938.       7.554      0.235      0.006994   0.000924             1388500200100 
1938.       8.000      0.257      0.006481   0.000945             1388500200101 
1938.       8.496      0.280      0.006402   0.000925             1388500200102 
1938.       9.024      0.305      0.005491   0.000910             1388500200103 
1938.       9.606      0.337      0.006373   0.000942             1388500200104 
1938.      10.246      0.370      0.005640   0.000932             1388500200105 
1938.      10.954      0.410      0.004804   0.000950             1388500200106 
1938.      11.753      0.459      0.004863   0.000982             1388500200107 
1938.      12.627      0.510      0.003138   0.000918             1388500200108 
1938.      13.619      0.575      0.005255   0.000865             1388500200109 
1938.      14.721      0.636      0.002211   0.000747             1388500200110 
1938.      15.969      0.735      0.000530   0.000701             1388500200111 
1938.      17.403      0.836      0.000000   0.000000             1388500200112 
1938.      19.046      0.907      0.000000   0.000000             1388500200113 
2056.       5.032      0.128      0.000865   0.000523             1388500200114 
2056.       5.272      0.136      0.001661   0.000561             1388500200115 
2056.       5.528      0.146      0.002135   0.000571             1388500200116 
2056.       5.804      0.157      0.003026   0.000616             1388500200117 
2056.       6.103      0.170      0.004291   0.000645             1388500200118 
2056.       6.424      0.184      0.005592   0.000685             1388500200119 
2056.       6.777      0.200      0.005197   0.000689             1388500200120 
2056.       7.148      0.213      0.006499   0.000721             1388500200121 
2056.       7.554      0.235      0.006912   0.000763             1388500200122 
2056.       8.000      0.257      0.008052   0.000821             1388500200123 
2056.       8.496      0.280      0.008768   0.000825             1388500200124 
2056.       9.024      0.305      0.010681   0.000867             1388500200125 
2056.       9.606      0.337      0.011044   0.000878             1388500200126 
2056.      10.246      0.370      0.012661   0.000936             1388500200127 
2056.      10.954      0.410      0.015259   0.001022             1388500200128 
2056.      11.753      0.459      0.016746   0.001087             1388500200129 
2056.      12.627      0.510      0.020700   0.001200             1388500200130 
2056.      13.619      0.575      0.017526   0.001071             1388500200131 
2056.      14.721      0.636      0.014341   0.000941             1388500200132 
2056.      15.969      0.735      0.012168   0.000851             1388500200133 
2056.      17.403      0.836      0.009659   0.000771             1388500200134 
2056.      19.046      0.907      0.006182   0.000707             1388500200135 
2076.       4.402      0.103      0.011321   0.000740             1388500200136 
2076.       4.601      0.112      0.027954   0.001254             1388500200137 
2076.       4.806      0.117      0.027853   0.001248             1388500200138 
2076.       5.032      0.128      0.027129   0.001243             1388500200139 
2076.       5.272      0.136      0.022437   0.001103             1388500200140 
2076.       5.528      0.146      0.020411   0.001051             1388500200141 
2076.       5.804      0.157      0.017340   0.000962             1388500200142 
2076.       6.103      0.170      0.016019   0.000943             1388500200143 
2076.       6.424      0.184      0.014842   0.000921             1388500200144 
2076.       6.777      0.200      0.016625   0.000968             1388500200145 
2076.       7.148      0.213      0.014539   0.000925             1388500200146 
2076.       7.554      0.235      0.012975   0.000899             1388500200147 
2076.       8.000      0.257      0.013189   0.000935             1388500200148 
2076.       8.496      0.280      0.013478   0.000935             1388500200149 
2076.       9.024      0.305      0.011508   0.000884             1388500200150 
2076.       9.606      0.337      0.011668   0.000907             1388500200151 
2076.      10.246      0.370      0.010351   0.000882             1388500200152 
2076.      10.954      0.410      0.009743   0.000889             1388500200153 
2076.      11.753      0.459      0.008990   0.000905             1388500200154 
2076.      12.627      0.510      0.008440   0.000873             1388500200155 
2076.      13.619      0.575      0.005552   0.000758             1388500200156 
2076.      14.721      0.636      0.004289   0.000679             1388500200157 
2076.      15.969      0.735      0.002021   0.000584             1388500200158 
2076.      17.403      0.836      0.001035   0.000557             1388500200159 
2076.      19.046      0.907      0.000000   0.000000             1388500200160 
ENDDATA            154          0                                 1388500200161 
ENDSUBENT          160          0                                 1388500299999 
ENDENTRY             2          0                                 1388599999999 
