ENTRY            12692   20140415                             14011269200000001 
SUBENT        12692001   20140415                             14011269200100001 
BIB                  9         17                                 1269200100002 
INSTITUTE  (1USATNC)                                              1269200100003 
REFERENCE  (J,DA/B,31,4260,197101)                                1269200100004 
           (P,ORO-2791-32,53,197102) - data tables                1269200100005 
           ((P,NCSAC-31,215,197005)=(S,INDC(USA)-22,215,1970))    1269200100006 
           (J,BAP,13,873(AD15),196806)                            1269200100007 
AUTHOR     (P.S.Buchanan,G.H.Williams)                            1269200100008 
TITLE      Study of the (n,n'gamma) reaction in Y-89 by means of  1269200100009 
           Ge(Li) spectrometer                                    1269200100010 
FACILITY   (VDG,1USATNC)                                          1269200100011 
METHOD     (TOF)                                                  1269200100012 
DETECTOR   (GELI)      34-cc Ge(Li)  detector                     1269200100013 
ERR-ANALYS (DATA-ERR) No details available                        1269200100014 
HISTORY    (19850328C)                                            1269200100015 
           (20140415A) SD: Updated to new date formats,lower case.1269200100016 
            Corrections according last EXFOR rules and Dict.      1269200100017 
            DATA units in Subent 3 corrected. STATUS moved to     1269200100018 
            Subents 2,3. Ref.INDC(USA)-22,215 added. Sub. 4 added.1269200100019 
ENDBIB              17          0                                 1269200100020 
NOCOMMON             0          0                                 1269200100021 
ENDSUBENT           20          0                                 1269200199999 
SUBENT        12692002   20140415                             14011269200200001 
BIB                  2          3                                 1269200200002 
REACTION   (39-Y-89(N,INL)39-Y-89,PAR,DA,G,RSD)                   1269200200003 
STATUS     (TABLE) Tbl. from ORO-2791-32,p.57                     1269200200004 
           (COREL,11875003) Data at 1.72, 3.25 MeV                1269200200005 
ENDBIB               3          0                                 1269200200006 
NOCOMMON             0          0                                 1269200200007 
DATA                 6        152                                 1269200200008 
EN         EN-RSL     E          ANG        DATA       DATA-ERR   1269200200009 
 4.75       0.17       1.714      40.        0.831      0.234     1269200200100 
 4.75       0.17       1.714      55.        1.263      0.250     1269200200101 
 4.75       0.17       1.714      90.        1.000      0.169     1269200200102 
 4.75       0.17       1.745      30.        1.232      0.084     1269200200103 
 4.75       0.17       1.745      40.        1.211      0.058     1269200200104 
 4.75       0.17       1.745      55.        1.166      0.051     1269200200105 
 4.75       0.17       1.745      90.        1.000      0.036     1269200200106 
 4.75       0.17       1.963      30.        0.800      0.228     1269200200107 
 4.75       0.17       1.963      40.        0.804      0.140     1269200200108 
 4.75       0.17       1.963      55.        0.872      0.118     1269200200109 
 4.75       0.17       1.963      90.        1.000      0.100     1269200200110 
 4.75       0.17       2.052      30.        1.435      0.354     1269200200111 
 4.75       0.17       2.052      40.        1.536      0.266     1269200200112 
 4.75       0.17       2.052      55.        0.999      0.175     1269200200113 
 4.75       0.17       2.052      90.        1.000      0.134     1269200200114 
 4.75       0.17       2.503      30.        1.409      0.352     1269200200115 
 4.75       0.17       2.503      40.        1.340      0.268     1269200200116 
 4.75       0.17       2.503      55.        1.186      0.228     1269200200117 
 4.75       0.17       2.503      90.        1.000      0.149     1269200200118 
 4.75       0.17       2.542      30.        0.861      0.251     1269200200119 
 4.75       0.17       2.542      40.        0.817      0.190     1269200200120 
 4.75       0.17       2.542      55.        0.882      0.172     1269200200121 
 4.75       0.17       2.542      90.        1.000      0.137     1269200200122 
 4.75       0.17       2.808      30.        1.498      0.481     1269200200123 
 4.75       0.17       2.808      40.        1.284      0.366     1269200200124 
 4.75       0.17       2.808      55.        0.946      0.285     1269200200125 
 4.75       0.17       2.808      90.        1.000      0.197     1269200200126 
 4.75       0.17       2.840      30.        1.441      0.432     1269200200127 
 4.75       0.17       2.840      40.        1.188      0.311     1269200200128 
 4.75       0.17       2.840      55.        1.101      0.272     1269200200129 
 4.75       0.17       2.840      90.        1.000      0.186     1269200200130 
 4.75       0.17       2.881      30.        0.813      0.152     1269200200131 
 4.75       0.17       2.881      40.        0.969      0.124     1269200200132 
 4.75       0.17       2.881      55.        1.028      0.116     1269200200133 
 4.75       0.17       2.881      90.        1.000      0.083     1269200200134 
 4.75       0.17       3.067      30.        0.923      0.137     1269200200135 
 4.75       0.17       3.067      40.        0.980      0.121     1269200200136 
 4.75       0.17       3.067      55.        0.880      0.107     1269200200137 
 4.75       0.17       3.067      90.        1.000      0.081     1269200200138 
 4.75       0.17       3.106      30.        1.341      0.197     1269200200139 
 4.75       0.17       3.106      40.        1.507      0.185     1269200200140 
 4.75       0.17       3.106      55.        1.142      0.146     1269200200141 
 4.75       0.17       3.106      90.        1.000      0.091     1269200200142 
 4.75       0.17       3.138      30.        1.362      0.218     1269200200143 
 4.75       0.17       3.138      40.        1.295      0.186     1269200200144 
 4.75       0.17       3.138      55.        1.270      0.166     1269200200145 
 4.75       0.17       3.138      90.        1.000      0.104     1269200200146 
 4.75       0.17       3.321      30.        1.369      0.517     1269200200147 
 4.75       0.17       3.321      40.        1.480      0.474     1269200200148 
 4.75       0.17       3.321      55.        0.833      0.312     1269200200149 
 4.75       0.17       3.321      90.        1.000      0.258     1269200200150 
 4.75       0.17       3.511      30.        1.026      0.222     1269200200151 
 4.75       0.17       3.511      40.        1.054      0.210     1269200200152 
 4.75       0.17       3.511      55.        0.922      0.166     1269200200153 
 4.75       0.17       3.511      90.        1.000      0.119     1269200200154 
 4.75       0.17       3.990      30.        1.130      0.233     1269200200155 
 4.75       0.17       3.990      40.        1.212      0.212     1269200200156 
 4.75       0.17       3.990      55.        0.965      0.175     1269200200157 
 4.75       0.17       3.990      90.        1.000      0.125     1269200200158 
 4.75       0.17       4.169      30.        1.223      0.341     1269200200159 
 4.75       0.17       4.169      40.        1.210      0.236     1269200200160 
 4.75       0.17       4.169      55.        1.055      0.230     1269200200161 
 4.75       0.17       4.169      90.        1.000      0.145     1269200200162 
ENDDATA            154          0                                 1269200200163 
ENDSUBENT          162          0                                 1269200299999 
SUBENT        12692003   20140415                             14011269200300001 
BIB                  4          6                                 1269200300002 
REACTION   (39-Y-89(N,INL)39-Y-89,PAR,DA,G)                       1269200300003 
FLAG       (1.) Difficulty encountered in stripping the gamm-ray  1269200300004 
                spectra.                                          1269200300005 
STATUS     (TABLE) Tbl. from ORO-2791-32,p.53                     1269200300006 
HISTORY    (20140415A) SD: DATA units corrected (NO-DIM -> MB/SR).1269200300007 
            Value at En=1.80 added.                               1269200300008 
ENDBIB               6          0                                 1269200300009 
COMMON               1          3                                 1269200300010 
ANG                                                               1269200300011 
ADEG                                                              1269200300012 
 55.                                                              1269200300013 
ENDCOMMON            3          0                                 1269200300014 
DATA                 6        196                                 1269200300015 
EN         EN-RSL     E          DATA       DATA-ERR   FLAG       1269200300016 
MEV        MEV        MEV        MB/SR      MB/SR      NO-DIM     1269200300017 
 1.80       0.04       1.507      25.6       5.1                  1269200300018 
 3.51       0.21       0.713       3.0       0.6                  1269200300019 
 3.51       0.21       1.312       7.2       1.1                  1269200300020 
 3.51       0.21       1.507      31.0       4.6                  1269200300021 
 3.51       0.21       1.621       7.5       1.2                  1269200300022 
 3.51       0.21       1.660       1.7       0.3                  1269200300023 
 3.51       0.21       1.714       4.3       0.8                  1269200300024 
 3.51       0.21       1.745      26.5       4.1                  1269200300025 
 3.51       0.21       1.963       3.9       0.7                  1269200300026 
 3.51       0.21       2.503       1.0       0.2                  1269200300027 
 3.51       0.21       2.542       1.7       0.3                  1269200300028 
 3.51       0.21       2.881      10.2       1.7                  1269200300029 
 3.51       0.21       3.067       6.4       1.1                  1269200300030 
 3.51       0.21       3.106       7.7       1.3                  1269200300031 
 3.51       0.21       3.138       6.4       1.1                  1269200300032 
 3.77       0.21       0.713       3.2       0.4                  1269200300033 
 3.77       0.21       1.312       7.1       1.1                  1269200300034 
 3.77       0.21       1.507      33.5       5.2                  1269200300035 
 3.77       0.21       1.621       8.4       1.3                  1269200300036 
 3.77       0.21       1.660       2.3       0.4                  1269200300037 
 3.77       0.21       1.714       5.0       0.9                  1269200300038 
 3.77       0.21       1.745      25.7       3.9                  1269200300039 
 3.77       0.21       1.963       4.2       0.7                  1269200300040 
 3.77       0.21       1.995       2.2       0.3                  1269200300041 
 3.77       0.21       2.052       1.8       0.3                  1269200300042 
 3.77       0.21       2.503       3.0       0.16                 1269200300043 
 3.77       0.21       2.542       4.8       0.8                  1269200300044 
 3.77       0.21       2.651       0.8       0.3                  1269200300045 
 3.77       0.21       2.881      11.1       1.8                  1269200300046 
 3.77       0.21       3.067       7.5       1.2                  1269200300047 
 3.77       0.21       3.106       8.4       1.3                  1269200300048 
 3.77       0.21       3.138       7.5       1.2                  1269200300049 
 3.77       0.21       3.511       3.0       0.6                  1269200300050 
 4.00       0.20       0.713       3.1       0.5                  1269200300051 
 4.00       0.20       1.312       6.5       1.0                  1269200300052 
 4.00       0.20       1.507      29.9       4.5                  1269200300053 
 4.00       0.20       1.621       7.0       1.2                  1269200300054 
 4.00       0.20       1.660       1.3       0.2                  1269200300055 
 4.00       0.20       1.714       3.1       0.5                  1269200300056 
 4.00       0.20       1.745      22.4       3.4                  1269200300057 
 4.00       0.20       1.963       4.0       0.7                  1269200300058 
 4.00       0.20       1.995       2.9       0.6       1.         1269200300059 
 4.00       0.20       2.003       0.3       0.1       1.         1269200300060 
 4.00       0.20       2.052       2.6       0.4                  1269200300061 
 4.00       0.20       2.107       0.3       0.1       1.         1269200300062 
 4.00       0.20       2.119       0.2       0.1       1.         1269200300063 
 4.00       0.20       2.503       3.2       0.6                  1269200300064 
 4.00       0.20       2.542       4.7       0.8                  1269200300065 
 4.00       0.20       2.651       1.5       0.5                  1269200300066 
 4.00       0.20       2.717       2.1       0.4                  1269200300067 
 4.00       0.20       2.808       1.6       0.5                  1269200300068 
 4.00       0.20       2.840       1.3       0.4                  1269200300069 
 4.00       0.20       2.881       8.5       1.3                  1269200300070 
 4.00       0.20       3.067       6.3       1.0                  1269200300071 
 4.00       0.20       3.106       7.1       1.2                  1269200300072 
 4.00       0.20       3.138       6.7       1.2                  1269200300073 
 4.00       0.20       3.511       3.6       0.7                  1269200300074 
 4.21       0.19       0.713       2.3       0.4                  1269200300075 
 4.21       0.19       1.312       5.2       0.9                  1269200300076 
 4.21       0.19       1.507      27.9       4.2                  1269200300077 
 4.21       0.19       1.621       6.8       1.1                  1269200300078 
 4.21       0.19       1.660       1.7       0.4                  1269200300079 
 4.21       0.19       1.714       3.3       0.5                  1269200300080 
 4.21       0.19       1.745      20.9       3.2                  1269200300081 
 4.21       0.19       1.963       3.4       0.5                  1269200300082 
 4.21       0.19       1.995       2.6       0.5       1.         1269200300083 
 4.21       0.19       2.003       1.4       0.4       1.         1269200300084 
 4.21       0.19       2.052       2.4       0.5                  1269200300085 
 4.21       0.19       2.107       1.5       0.4       1.         1269200300086 
 4.21       0.19       2.119       1.1       0.3       1.         1269200300087 
 4.21       0.19       2.345       0.9       0.2       1.         1269200300088 
 4.21       0.19       2.357       1.5       0.4       1.         1269200300089 
 4.21       0.19       2.503       3.1       0.5                  1269200300090 
 4.21       0.19       2.542       4.3       0.7                  1269200300091 
 4.21       0.19       2.651       1.3       0.5                  1269200300092 
 4.21       0.19       2.717       1.9       0.4                  1269200300093 
 4.21       0.19       2.808       1.7       0.5                  1269200300094 
 4.21       0.19       2.840       2.3       0.5                  1269200300095 
 4.21       0.19       2.881       7.3       1.1                  1269200300096 
 4.21       0.19       3.067       5.3       1.0                  1269200300097 
 4.21       0.19       3.106       6.1       1.0                  1269200300098 
 4.21       0.19       3.138       5.4       0.9                  1269200300099 
 4.21       0.19       3.511       3.4       0.6                  1269200300100 
 4.21       0.19       3.990       1.9       0.4                  1269200300101 
 4.21       0.19       4.027       0.3       0.1       1.         1269200300102 
 4.50       0.18       0.713       2.8       0.4                  1269200300103 
 4.50       0.18       1.312       6.3       0.8                  1269200300104 
 4.50       0.18       1.507      24.9       3.0                  1269200300105 
 4.50       0.18       1.621       6.3       0.8                  1269200300106 
 4.50       0.18       1.660       1.8       0.4                  1269200300107 
 4.50       0.18       1.714       2.9       0.5                  1269200300108 
 4.50       0.18       1.745      17.7       2.2                  1269200300109 
 4.50       0.18       1.800       1.0       0.2                  1269200300110 
 4.50       0.18       1.860       2.0       0.4                  1269200300111 
 4.50       0.18       1.963       3.3       0.5                  1269200300112 
 4.50       0.18       1.995       3.3       0.6       1.         1269200300113 
 4.50       0.18       2.003       1.9       0.4       1.         1269200300114 
 4.50       0.18       2.032       1.1       0.3                  1269200300115 
 4.50       0.18       2.052       3.5       0.5                  1269200300116 
 4.50       0.18       2.087       2.3       0.5                  1269200300117 
 4.50       0.18       2.107       2.8       0.4                  1269200300118 
 4.50       0.18       2.119       1.8       0.4                  1269200300119 
 4.50       0.18       2.345       1.1       0.2                  1269200300120 
 4.50       0.18       2.357       1.9       0.4                  1269200300121 
 4.50       0.18       2.370       1.0       0.3                  1269200300122 
 4.50       0.18       2.503       2.8       0.5                  1269200300123 
 4.50       0.18       2.520       1.2       0.3                  1269200300124 
 4.50       0.18       2.542       4.1       0.6                  1269200300125 
 4.50       0.18       2.596       1.3       0.4                  1269200300126 
 4.50       0.18       2.651       1.1       0.4                  1269200300127 
 4.50       0.18       2.678       0.5       0.2                  1269200300128 
 4.50       0.18       2.717       2.0       0.4                  1269200300129 
 4.50       0.18       2.808       1.5       0.4                  1269200300130 
 4.50       0.18       2.840       2.6       0.5                  1269200300131 
 4.50       0.18       2.881       6.3       0.9                  1269200300132 
 4.50       0.18       3.067       4.7       0.7                  1269200300133 
 4.50       0.18       3.106       5.3       0.7                  1269200300134 
 4.50       0.18       3.138       6.3       0.9                  1269200300135 
 4.50       0.18       3.321       1.5       0.4                  1269200300136 
 4.50       0.18       3.511       2.5       0.5                  1269200300137 
 4.50       0.18       3.990       2.3       0.4                  1269200300138 
 4.50       0.18       4.027       0.6       0.2                  1269200300139 
 4.50       0.18       4.169       2.6       0.5                  1269200300140 
 4.75       0.17       0.713       2.6       0.4                  1269200300141 
 4.75       0.17       1.312       4.8       0.6                  1269200300142 
 4.75       0.17       1.507      21.0       2.5                  1269200300143 
 4.75       0.17       1.621       5.8       0.8                  1269200300144 
 4.75       0.17       1.660       1.6       0.3                  1269200300145 
 4.75       0.17       1.714       2.9       0.5                  1269200300146 
 4.75       0.17       1.745      14.1       1.8                  1269200300147 
 4.75       0.17       1.800       1.2       0.3                  1269200300148 
 4.75       0.17       1.860       1.6       0.6       1.         1269200300149 
 4.75       0.17       1.963       3.2       0.5                  1269200300150 
 4.75       0.17       1.995       3.0       0.6       1.         1269200300151 
 4.75       0.17       2.003       1.6       0.4       1.         1269200300152 
 4.75       0.17       2.032       0.6       0.2                  1269200300153 
 4.75       0.17       2.052       2.5       0.4                  1269200300154 
 4.75       0.17       2.087       1.5       0.4                  1269200300155 
 4.75       0.17       2.107       1.8       0.3                  1269200300156 
 4.75       0.17       2.119       1.5       0.4                  1269200300157 
 4.75       0.17       2.345       1.2       0.3                  1269200300158 
 4.75       0.17       2.357       1.3       0.3                  1269200300159 
 4.75       0.17       2.370       1.0       0.3                  1269200300160 
 4.75       0.17       2.503       3.1       0.5                  1269200300161 
 4.75       0.17       2.520       1.2       0.3                  1269200300162 
 4.75       0.17       2.542       3.0       0.5                  1269200300163 
 4.75       0.17       2.596       0.9       0.3                  1269200300164 
 4.75       0.17       2.651       1.1       0.4                  1269200300165 
 4.75       0.17       2.678       1.1       0.3                  1269200300166 
 4.75       0.17       2.717       1.6       0.4                  1269200300167 
 4.75       0.17       2.808       1.4       0.4                  1269200300168 
 4.75       0.17       2.840       2.0       0.4                  1269200300169 
 4.75       0.17       2.881       4.5       0.6                  1269200300170 
 4.75       0.17       3.067       3.5       0.5                  1269200300171 
 4.75       0.17       3.106       3.6       0.5                  1269200300172 
 4.75       0.17       3.138       4.6       0.7                  1269200300173 
 4.75       0.17       3.321       1.1       0.3                  1269200300174 
 4.75       0.17       3.511       2.4       0.5                  1269200300175 
 4.75       0.17       3.990       2.2       0.4                  1269200300176 
 4.75       0.17       4.027       1.0       0.3                  1269200300177 
 4.75       0.17       4.169       2.4       0.5                  1269200300178 
 5.00       0.16       0.713       3.4       0.5                  1269200300179 
 5.00       0.16       1.312       5.7       0.8                  1269200300180 
 5.00       0.16       1.507      23.0       2.8                  1269200300181 
 5.00       0.16       1.621       7.6       1.0                  1269200300182 
 5.00       0.16       1.660       2.1       0.4                  1269200300183 
 5.00       0.16       1.714       3.1       0.5                  1269200300184 
 5.00       0.16       1.745      14.8       1.8                  1269200300185 
 5.00       0.16       1.770       1.4       0.4                  1269200300186 
 5.00       0.16       1.800       3.0       0.6                  1269200300187 
 5.00       0.16       1.860       1.9       0.4                  1269200300188 
 5.00       0.16       1.963       3.2       0.5                  1269200300189 
 5.00       0.16       2.032       1.2       0.3                  1269200300190 
 5.00       0.16       2.052       2.8       0.5                  1269200300191 
 5.00       0.16       2.087       3.1       0.6                  1269200300192 
 5.00       0.16       2.107       1.7       0.3       1.         1269200300193 
 5.00       0.16       2.119       1.7       0.3       1.         1269200300194 
 5.00       0.16       2.503       3.3       0.7                  1269200300195 
 5.00       0.16       2.520       1.4       0.4                  1269200300196 
 5.00       0.16       2.542       3.7       0.6                  1269200300197 
 5.00       0.16       2.596       1.1       0.3                  1269200300198 
 5.00       0.16       2.625       1.5       0.4                  1269200300199 
 5.00       0.16       2.651       1.7       0.4                  1269200300200 
 5.00       0.16       2.678       2.1       0.5                  1269200300201 
 5.00       0.16       2.717       2.5       0.5                  1269200300202 
 5.00       0.16       2.808       2.9       0.5                  1269200300203 
 5.00       0.16       2.840       3.0       0.6                  1269200300204 
 5.00       0.16       2.881       6.2       0.9                  1269200300205 
 5.00       0.16       3.067       4.2       0.6                  1269200300206 
 5.00       0.16       3.106       4.0       0.6                  1269200300207 
 5.00       0.16       3.138       5.0       0.7                  1269200300208 
 5.00       0.16       3.321       2.7       0.5                  1269200300209 
 5.00       0.16       3.511       3.8       0.6                  1269200300210 
 5.00       0.16       3.990       3.0       0.5                  1269200300211 
 5.00       0.16       4.027       1.2       0.4                  1269200300212 
 5.00       0.16       4.169       2.9       0.5                  1269200300213 
ENDDATA            198          0                                 1269200300214 
ENDSUBENT          213          0                                 1269200399999 
SUBENT        12692004   20140415                             14011269200400001 
BIB                  3          3                                 1269200400002 
REACTION   (39-Y-89(N,X)0-G-0,PAR,DA)                             1269200400003 
STATUS     (TABLE) Tbl. from ORO-2791-32,54                       1269200400004 
HISTORY    (20140415C) SD                                         1269200400005 
ENDBIB               3          0                                 1269200400006 
COMMON               4          3                                 1269200400007 
EN         EN-RSL     ANG        DATA-ERR                         1269200400008 
MEV        MEV        ADEG       PER-CENT                         1269200400009 
 14.8        0.3        90.         20.                           1269200400010 
ENDCOMMON            3          0                                 1269200400011 
DATA                 3         15                                 1269200400012 
E-MIN      E-MAX      DATA                                        1269200400013 
MEV        MEV        MB/SR                                       1269200400014 
  0.5        1.0         43.8                                     1269200400015 
  1.0        1.5         29.3                                     1269200400016 
  1.5        2.0         34.6                                     1269200400017 
  2.0        2.5         11.1                                     1269200400018 
  2.5        3.0         11.2                                     1269200400019 
  3.0        3.5          9.1                                     1269200400020 
  3.5        4.0          5.6                                     1269200400021 
  4.0        4.5          5.3                                     1269200400022 
  4.5        5.0          3.9                                     1269200400023 
  5.0        5.5          3.3                                     1269200400024 
  5.5        6.0          3.6                                     1269200400025 
  6.0        6.5          3.0                                     1269200400026 
  6.5        7.0          2.8                                     1269200400027 
  7.0        7.5          2.8                                     1269200400028 
  7.5        8.0          2.2                                     1269200400029 
ENDDATA             17          0                                 1269200400030 
ENDSUBENT           29          0                                 1269200499999 
ENDENTRY             4          0                                 1269299999999 
