ENTRY            12853   19860129                             00001285300000001 
SUBENT        12853001   19860129                             00001285300100001 
BIB                  9         20                                 1285300100002 
INSTITUTE  (1USAANL)                                              1285300100003 
REFERENCE  (R,ANL-NDM-80,8305)                                    1285300100004 
AUTHOR     (W.P.POENITZ,J.F.WHALEN)                               1285300100005 
TITLE      NEUTRON TOTAL CROSS SECTION MEASUREMENTS IN THE ENERGY 1285300100006 
            REGION FROM 47 KEV TO 20 MEV                          1285300100007 
FACILITY   (DYNAM)                                                1285300100008 
CORRECTION THE DATA WERE CORRECTED FOR DEAD-TIME, BACKGROUND AND  1285300100009 
            RESONANCE SELF-SHIELDING. INSCATTERING OF NEUTRONS    1285300100010 
            WAS CALCULATED AND FOUND TO BE NEGLIGIBLE.            1285300100011 
ERR-ANALYS (ERR-T) TOTAL UNCERTAINTY                              1285300100012 
             SYSTEMATIC UNCERTAINITES IN PERCENT INCLUDE -        1285300100013 
                CORRELATED DEAD-TIME UNCERTAINTY       0.3-0.6    1285300100014 
                BACKGROUND CORRECTION                  0.3        1285300100015 
                SAMPLE THICKNESS                       0.5-1.0    1285300100016 
STATUS     DATA RECEIVED IN PRIVATE COMMUNICATION 12/14/83 FROM   1285300100017 
             W.P.POENITZ                                          1285300100018 
           (APRVD) W.P.POENITZ, 84/2/13.                          1285300100019 
HISTORY    (831220C)                                              1285300100020 
           (850806A) MISSING SUBENTRIES ADDED                     1285300100021 
           (860129A) BIB CORRECTION.                              1285300100022 
ENDBIB              20          0                                 1285300100023 
NOCOMMON             0          0                                 1285300100024 
ENDSUBENT           23          0                                 1285300199999 
SUBENT        12853002   19840106                             00001285300200001 
BIB                  5          6                                 1285300200002 
REACTION   (6-C-0(N,TOT),,SIG)                                    1285300200003 
N-SOURCE   (D-LI7) WHITE NEUTRON SPECTRUM                         1285300200004 
METHOD     (TOF)  8.414 METER FLIGHT PATH                         1285300200005 
SAMPLE     NATURAL CARBON                                         1285300200006 
DETECTOR   BLACK NEUTRON DETECTOR 7.62 CM RADIUS AND 17.78 CM HIGH1285300200007 
             WITH PULSE SHAPE DISCRIMINATION                      1285300200008 
ENDBIB               6          0                                 1285300200009 
NOCOMMON             0          0                                 1285300200010 
DATA                 5        167                                 1285300200011 
EN         EN-ERR     EN-RSL-FW  DATA       ERR-T                 1285300200012 
  2.349E+00  1.174E-02  1.107E-02  1.596E+00  1.047E-02           1285300200045 
  2.371E+00  1.185E-02  1.123E-02  1.596E+00  1.047E-02           1285300200046 
  2.394E+00  1.197E-02  1.141E-02  1.592E+00  1.044E-02           1285300200047 
  2.417E+00  1.208E-02  1.159E-02  1.603E+00  1.051E-02           1285300200048 
  2.440E+00  1.220E-02  1.174E-02  1.603E+00  1.051E-02           1285300200049 
  2.464E+00  1.232E-02  1.191E-02  1.606E+00  1.053E-02           1285300200050 
  2.488E+00  1.244E-02  1.209E-02  1.614E+00  1.058E-02           1285300200051 
  2.512E+00  1.256E-02  1.228E-02  1.619E+00  1.062E-02           1285300200052 
  2.537E+00  1.268E-02  1.247E-02  1.621E+00  1.063E-02           1285300200053 
  2.562E+00  1.281E-02  1.266E-02  1.647E+00  1.080E-02           1285300200054 
  2.587E+00  1.294E-02  1.285E-02  1.646E+00  1.079E-02           1285300200055 
  2.613E+00  1.307E-02  1.305E-02  1.671E+00  1.096E-02           1285300200056 
  2.640E+00  1.320E-02  1.328E-02  1.707E+00  1.052E-02           1285300200057 
  2.666E+00  1.333E-02  1.346E-02  1.736E+00  1.070E-02           1285300200058 
  2.693E+00  1.347E-02  1.366E-02  1.776E+00  1.095E-02           1285300200059 
  2.721E+00  1.360E-02  1.389E-02  1.820E+00  1.046E-02           1285300200060 
  2.749E+00  1.374E-02  1.411E-02  1.893E+00  1.087E-02           1285300200061 
  2.777E+00  1.389E-02  1.434E-02  1.976E+00  1.135E-02           1285300200062 
  2.806E+00  1.403E-02  1.454E-02  2.074E+00  1.191E-02           1285300200063 
  2.836E+00  1.418E-02  1.477E-02  2.178E+00  1.251E-02           1285300200064 
  2.865E+00  1.433E-02  1.505E-02  2.281E+00  1.310E-02           1285300200065 
  2.896E+00  1.448E-02  1.530E-02  2.300E+00  1.321E-02           1285300200066 
  2.927E+00  1.463E-02  1.472E-02  2.225E+00  1.278E-02           1285300200067 
  2.955E+00  1.477E-02  1.326E-02  2.077E+00  1.193E-02           1285300200068 
  2.980E+00  1.490E-02  1.377E-02  1.896E+00  1.089E-02           1285300200069 
  3.010E+00  1.505E-02  1.570E-02  1.748E+00  1.078E-02           1285300200070 
  3.042E+00  1.521E-02  1.648E-02  1.607E+00  9.906E-03           1285300200071 
  3.076E+00  1.538E-02  1.676E-02  1.581E+00  9.746E-03           1285300200072 
  3.109E+00  1.555E-02  1.703E-02  1.656E+00  1.021E-02           1285300200073 
  3.144E+00  1.572E-02  1.730E-02  1.789E+00  1.103E-02           1285300200074 
  3.179E+00  1.589E-02  1.761E-02  1.929E+00  1.108E-02           1285300200075 
  3.214E+00  1.607E-02  1.792E-02  2.053E+00  1.179E-02           1285300200076 
  3.250E+00  1.625E-02  1.823E-02  2.165E+00  1.244E-02           1285300200077 
  3.287E+00  1.644E-02  1.855E-02  2.280E+00  1.310E-02           1285300200078 
  3.325E+00  1.662E-02  1.886E-02  2.384E+00  1.370E-02           1285300200079 
  3.363E+00  1.681E-02  1.920E-02  2.461E+00  1.414E-02           1285300200080 
  3.401E+00  1.701E-02  1.954E-02  2.522E+00  1.449E-02           1285300200081 
  3.441E+00  1.720E-02  1.988E-02  2.558E+00  1.469E-02           1285300200082 
  3.481E+00  1.740E-02  2.023E-02  2.578E+00  1.481E-02           1285300200083 
  3.522E+00  1.761E-02  2.061E-02  2.583E+00  1.484E-02           1285300200084 
  3.563E+00  1.782E-02  2.100E-02  2.562E+00  1.472E-02           1285300200085 
  3.606E+00  1.803E-02  2.135E-02  2.527E+00  1.452E-02           1285300200086 
  3.649E+00  1.824E-02  2.174E-02  2.481E+00  1.425E-02           1285300200087 
  3.693E+00  1.846E-02  2.213E-02  2.428E+00  1.395E-02           1285300200088 
  3.737E+00  1.869E-02  2.254E-02  2.364E+00  1.358E-02           1285300200089 
  3.783E+00  1.891E-02  2.300E-02  2.298E+00  1.320E-02           1285300200090 
  3.829E+00  1.915E-02  2.340E-02  2.208E+00  1.268E-02           1285300200091 
  3.876E+00  1.938E-02  2.385E-02  2.126E+00  1.221E-02           1285300200092 
  3.925E+00  1.962E-02  2.431E-02  2.052E+00  1.179E-02           1285300200093 
  3.974E+00  1.987E-02  2.474E-02  1.984E+00  1.140E-02           1285300200094 
  4.024E+00  2.012E-02  2.525E-02  1.939E+00  1.114E-02           1285300200095 
  4.075E+00  2.037E-02  2.574E-02  1.917E+00  1.101E-02           1285300200096 
  4.127E+00  2.063E-02  2.623E-02  1.918E+00  1.182E-02           1285300200097 
  4.180E+00  2.090E-02  2.674E-02  1.942E+00  1.197E-02           1285300200098 
  4.234E+00  2.117E-02  2.727E-02  1.966E+00  1.212E-02           1285300200099 
  4.289E+00  2.144E-02  2.781E-02  1.979E+00  1.220E-02           1285300200100 
  4.345E+00  2.172E-02  2.837E-02  1.953E+00  1.220E-02           1285300200101 
  4.402E+00  2.201E-02  3.302E-02  1.853E+00  1.243E-02           1285300200102 
  4.477E+00  2.238E-02  3.613E-02  1.726E+00  1.220E-02           1285300200103 
  4.547E+00  2.273E-02  3.327E-02  1.620E+00  1.146E-02           1285300200104 
  4.610E+00  2.305E-02  3.151E-02  1.520E+00  1.075E-02           1285300200105 
  4.673E+00  2.336E-02  3.170E-02  1.455E+00  1.118E-02           1285300200106 
  4.737E+00  2.368E-02  3.235E-02  1.398E+00  1.074E-02           1285300200107 
  4.802E+00  2.401E-02  3.301E-02  1.344E+00  1.032E-02           1285300200108 
  4.869E+00  2.434E-02  3.372E-02  1.317E+00  1.012E-02           1285300200109 
  4.937E+00  2.468E-02  3.445E-02  1.265E+00  1.028E-02           1285300200110 
  5.007E+00  2.503E-02  3.517E-02  1.237E+00  1.085E-02           1285300200111 
  5.078E+00  2.539E-02  3.593E-02  1.215E+00  1.066E-02           1285300200112 
  5.150E+00  2.575E-02  3.671E-02  1.201E+00  1.054E-02           1285300200113 
  5.224E+00  2.612E-02  3.752E-02  1.194E+00  1.055E-02           1285300200114 
  5.300E+00  2.650E-02  3.836E-02  1.190E+00  1.051E-02           1285300200115 
  5.378E+00  2.689E-02  3.920E-02  1.196E+00  1.056E-02           1285300200116 
  5.457E+00  2.729E-02  4.007E-02  1.191E+00  1.052E-02           1285300200117 
  5.538E+00  2.769E-02  4.101E-02  1.177E+00  1.039E-02           1285300200118 
  5.621E+00  2.811E-02  4.193E-02  1.135E+00  1.002E-02           1285300200119 
  5.706E+00  2.853E-02  4.287E-02  1.114E+00  9.839E-03           1285300200120 
  5.793E+00  2.896E-02  4.388E-02  1.120E+00  9.892E-03           1285300200121 
  5.881E+00  2.941E-02  4.490E-02  1.141E+00  1.008E-02           1285300200122 
  5.972E+00  2.986E-02  4.594E-02  1.182E+00  1.044E-02           1285300200123 
  6.065E+00  3.033E-02  4.703E-02  1.243E+00  1.098E-02           1285300200124 
  6.160E+00  3.080E-02  4.815E-02  1.274E+00  1.125E-02           1285300200125 
  6.258E+00  3.129E-02  4.931E-02  1.283E+00  1.081E-02           1285300200126 
  6.358E+00  3.179E-02  5.051E-02  1.242E+00  1.097E-02           1285300200127 
  6.460E+00  3.230E-02  5.175E-02  1.173E+00  1.119E-02           1285300200128 
  6.565E+00  3.282E-02  5.302E-02  1.047E+00  9.988E-03           1285300200129 
  6.672E+00  3.336E-02  5.432E-02  9.056E-01  9.837E-03           1285300200130 
  6.782E+00  3.391E-02  5.568E-02  8.683E-01  1.009E-02           1285300200131 
  6.895E+00  3.447E-02  5.710E-02  8.963E-01  9.736E-03           1285300200132 
  7.010E+00  3.505E-02  5.854E-02  9.642E-01  1.034E-02           1285300200133 
  7.129E+00  3.564E-02  6.004E-02  1.078E+00  1.028E-02           1285300200134 
  7.250E+00  3.625E-02  6.160E-02  1.236E+00  1.092E-02           1285300200135 
  7.375E+00  3.688E-02  6.320E-02  1.405E+00  1.184E-02           1285300200136 
  7.503E+00  3.752E-02  6.411E-02  1.637E+00  1.268E-02           1285300200137 
  7.632E+00  3.816E-02  6.355E-02  1.797E+00  1.392E-02           1285300200138 
  7.757E+00  3.879E-02  5.284E-02  1.828E+00  1.485E-02           1285300200139 
  7.843E+00  3.921E-02  3.796E-02  1.797E+00  1.460E-02           1285300200140 
  7.909E+00  3.955E-02  5.217E-02  1.779E+00  1.319E-02           1285300200141 
  8.052E+00  4.026E-02  7.216E-02  1.644E+00  1.385E-02           1285300200142 
  8.198E+00  4.099E-02  7.412E-02  1.494E+00  1.259E-02           1285300200143 
  8.348E+00  4.174E-02  7.619E-02  1.348E+00  1.235E-02           1285300200144 
  8.503E+00  4.251E-02  7.833E-02  1.221E+00  1.165E-02           1285300200145 
  8.661E+00  4.331E-02  8.054E-02  1.185E+00  1.220E-02           1285300200146 
  8.825E+00  4.412E-02  8.283E-02  1.179E+00  1.214E-02           1285300200147 
  8.993E+00  4.496E-02  8.522E-02  1.211E+00  1.247E-02           1285300200148 
  9.166E+00  4.583E-02  8.770E-02  1.239E+00  1.276E-02           1285300200149 
  9.344E+00  4.672E-02  1.184E-01  1.279E+00  1.317E-02           1285300200150 
  9.639E+00  4.820E-02  1.353E-01  1.267E+00  1.202E-02           1285300200151 
  9.885E+00  4.942E-02  1.112E-01  1.278E+00  1.316E-02           1285300200152 
  1.008E+01  1.008E-01  1.012E-01  1.237E+00  1.274E-02           1285300200153 
  1.029E+01  1.029E-01  1.044E-01  1.273E+00  1.311E-02           1285300200154 
  1.050E+01  1.050E-01  1.077E-01  1.300E+00  1.293E-02           1285300200155 
  1.072E+01  1.072E-01  8.195E-02  1.326E+00  1.319E-02           1285300200156 
  1.083E+01  1.083E-01  5.992E-02  1.373E+00  1.595E-02           1285300200157 
  1.096E+01  1.096E-01  9.090E-02  1.388E+00  1.272E-02           1285300200158 
  1.119E+01  1.119E-01  1.184E-01  1.398E+00  1.281E-02           1285300200159 
  1.143E+01  1.143E-01  1.223E-01  1.415E+00  1.192E-02           1285300200160 
  1.168E+01  1.168E-01  1.263E-01  1.419E+00  1.196E-02           1285300200161 
  1.194E+01  1.194E-01  1.480E-01  1.401E+00  1.181E-02           1285300200162 
  1.227E+01  1.227E-01  1.651E-01  1.406E+00  1.080E-02           1285300200163 
  1.260E+01  1.260E-01  1.556E-01  1.401E+00  1.076E-02           1285300200164 
  1.290E+01  1.290E-01  1.487E-01  1.379E+00  1.059E-02           1285300200165 
  1.319E+01  1.319E-01  1.515E-01  1.389E+00  1.067E-02           1285300200166 
  1.350E+01  1.350E-01  1.569E-01  1.383E+00  9.779E-03           1285300200167 
  1.382E+01  1.382E-01  1.625E-01  1.389E+00  9.822E-03           1285300200168 
  1.415E+01  1.415E-01  1.693E-01  1.398E+00  9.885E-03           1285300200169 
  1.450E+01  1.450E-01  2.124E-01  1.414E+00  9.998E-03           1285300200170 
  1.500E+01  1.500E-01  2.527E-01  1.444E+00  9.469E-03           1285300200171 
  1.551E+01  1.551E-01  2.377E-01  1.459E+00  9.567E-03           1285300200172 
  1.595E+01  1.595E-01  2.133E-01  1.461E+00  9.580E-03           1285300200173 
  1.636E+01  1.636E-01  2.091E-01  1.470E+00  9.639E-03           1285300200174 
  1.679E+01  1.679E-01  2.172E-01  1.448E+00  9.495E-03           1285300200175 
  1.723E+01  1.723E-01  2.259E-01  1.440E+00  9.443E-03           1285300200176 
  1.769E+01  1.769E-01  2.350E-01  1.451E+00  1.026E-02           1285300200177 
  1.817E+01  1.817E-01  2.445E-01  1.445E+00  1.022E-02           1285300200178 
  1.867E+01  1.867E-01  3.506E-01  1.461E+00  1.033E-02           1285300200179 
  1.957E+01  1.957E-01  6.010E-01  1.478E+00  1.135E-02           1285300200180 
ENDDATA            169          0                                 1285300200181 
ENDSUBENT          180          0                                 1285300299999 
SUBENT        12853003   19840106                             00001285300300001 
BIB                  5          6                                 1285300300002 
REACTION   (21-SC-45(N,TOT),,SIG)                                 1285300300003 
N-SOURCE   (D-LI7) WHITE NEUTRON SPECTRUM                         1285300300004 
METHOD     (TOF)  8.414 METER FLIGHT PATH                         1285300300005 
SAMPLE     NATURAL SCANDIUM WITH A THICKNESS 0.0804 ATOMS/BARN    1285300300006 
DETECTOR   BLACK NEUTRON DETECTOR 7.62 CM RADIUS AND 17.78 CM HIGH1285300300007 
             WITH PULSE SHAPE DISCRIMINATION                      1285300300008 
ENDBIB               6          0                                 1285300300009 
NOCOMMON             0          0                                 1285300300010 
DATA                 5         67                                 1285300300011 
EN         EN-ERR     EN-RSL-FW  DATA       ERR-T                 1285300300012 
MEV        MEV        MEV        B          B                     1285300300013 
  1.819E+00  9.095E-03  1.874E-02  3.361E+00  1.167E-01           1285300300014 
  1.856E+00  9.282E-03  1.906E-02  3.478E+00  1.192E-01           1285300300015 
  1.895E+00  9.476E-03  1.970E-02  3.404E+00  1.166E-01           1285300300016 
  1.935E+00  9.676E-03  2.034E-02  3.368E+00  1.154E-01           1285300300017 
  1.977E+00  9.883E-03  2.104E-02  3.264E+00  1.118E-01           1285300300018 
  2.019E+00  1.010E-02  2.176E-02  3.393E+00  1.148E-01           1285300300019 
  2.064E+00  1.032E-02  2.249E-02  3.397E+00  1.136E-01           1285300300020 
  2.109E+00  1.055E-02  2.327E-02  3.400E+00  1.137E-01           1285300300021 
  2.157E+00  1.078E-02  2.410E-02  3.383E+00  1.131E-01           1285300300022 
  2.206E+00  1.103E-02  2.497E-02  3.456E+00  1.143E-01           1285300300023 
  2.257E+00  1.128E-02  2.589E-02  3.534E+00  1.149E-01           1285300300024 
  2.309E+00  1.155E-02  2.681E-02  3.570E+00  1.161E-01           1285300300025 
  2.364E+00  1.182E-02  2.779E-02  3.457E+00  1.131E-01           1285300300026 
  2.420E+00  1.210E-02  2.886E-02  3.559E+00  1.157E-01           1285300300027 
  2.479E+00  1.240E-02  2.993E-02  3.507E+00  1.140E-01           1285300300028 
  2.540E+00  1.270E-02  3.109E-02  3.549E+00  1.154E-01           1285300300029 
  2.604E+00  1.302E-02  3.232E-02  3.607E+00  1.161E-01           1285300300030 
  2.669E+00  1.335E-02  3.359E-02  3.500E+00  1.127E-01           1285300300031 
  2.738E+00  1.369E-02  3.492E-02  3.554E+00  1.144E-01           1285300300032 
  2.809E+00  1.405E-02  3.633E-02  3.551E+00  1.143E-01           1285300300033 
  2.883E+00  1.442E-02  3.782E-02  3.614E+00  1.153E-01           1285300300034 
  2.960E+00  1.480E-02  3.939E-02  3.611E+00  1.152E-01           1285300300035 
  3.041E+00  1.520E-02  4.109E-02  3.611E+00  1.152E-01           1285300300036 
  3.125E+00  1.562E-02  4.282E-02  3.620E+00  1.154E-01           1285300300037 
  3.212E+00  1.606E-02  4.466E-02  3.598E+00  1.147E-01           1285300300038 
  3.303E+00  1.652E-02  4.666E-02  3.658E+00  1.167E-01           1285300300039 
  3.399E+00  1.699E-02  4.873E-02  3.666E+00  1.169E-01           1285300300040 
  3.498E+00  1.749E-02  5.098E-02  3.604E+00  1.149E-01           1285300300041 
  3.603E+00  1.801E-02  5.332E-02  3.627E+00  1.147E-01           1285300300042 
  3.712E+00  1.856E-02  5.578E-02  3.605E+00  1.140E-01           1285300300043 
  3.826E+00  1.913E-02  5.847E-02  3.603E+00  1.149E-01           1285300300044 
  3.945E+00  1.973E-02  6.129E-02  3.535E+00  1.127E-01           1285300300045 
  4.071E+00  2.035E-02  6.430E-02  3.558E+00  1.157E-01           1285300300046 
  4.203E+00  2.101E-02  6.753E-02  3.449E+00  1.153E-01           1285300300047 
  4.341E+00  2.171E-02  7.096E-02  3.555E+00  1.211E-01           1285300300048 
  4.487E+00  2.243E-02  7.462E-02  3.383E+00  1.190E-01           1285300300049 
  4.640E+00  2.320E-02  7.855E-02  3.426E+00  1.205E-01           1285300300050 
  4.801E+00  2.400E-02  8.278E-02  3.568E+00  1.249E-01           1285300300051 
  4.971E+00  2.485E-02  8.728E-02  3.434E+00  1.226E-01           1285300300052 
  5.150E+00  2.575E-02  9.212E-02  3.494E+00  1.241E-01           1285300300053 
  5.339E+00  2.670E-02  9.733E-02  3.536E+00  1.256E-01           1285300300054 
  5.539E+00  2.770E-02  1.029E-01  3.401E+00  1.214E-01           1285300300055 
  5.751E+00  2.875E-02  1.090E-01  3.269E+00  1.184E-01           1285300300056 
  5.975E+00  2.988E-02  1.156E-01  3.148E+00  1.174E-01           1285300300057 
  6.213E+00  3.107E-02  1.226E-01  3.324E+00  1.221E-01           1285300300058 
  6.466E+00  3.233E-02  1.303E-01  3.079E+00  1.184E-01           1285300300059 
  6.734E+00  3.367E-02  1.386E-01  3.170E+00  1.200E-01           1285300300060 
  7.020E+00  3.510E-02  1.477E-01  3.186E+00  1.206E-01           1285300300061 
  7.325E+00  3.663E-02  1.576E-01  3.106E+00  1.194E-01           1285300300062 
  7.651E+00  3.825E-02  1.683E-01  2.998E+00  1.195E-01           1285300300063 
  7.998E+00  3.999E-02  1.801E-01  2.895E+00  1.192E-01           1285300300064 
  8.371E+00  4.185E-02  1.930E-01  2.856E+00  1.194E-01           1285300300065 
  8.770E+00  4.385E-02  2.071E-01  2.834E+00  1.180E-01           1285300300066 
  9.199E+00  4.600E-02  2.227E-01  2.815E+00  1.259E-01           1285300300067 
  9.661E+00  4.831E-02  2.399E-01  2.718E+00  1.252E-01           1285300300068 
  1.016E+01  1.016E-01  2.588E-01  2.559E+00  1.241E-01           1285300300069 
  1.070E+01  1.070E-01  2.799E-01  2.525E+00  1.205E-01           1285300300070 
  1.128E+01  1.128E-01  3.033E-01  2.408E+00  1.131E-01           1285300300071 
  1.191E+01  1.191E-01  3.294E-01  2.356E+00  1.043E-01           1285300300072 
  1.260E+01  1.260E-01  3.586E-01  2.302E+00  9.723E-02           1285300300073 
  1.334E+01  1.334E-01  3.913E-01  2.292E+00  9.239E-02           1285300300074 
  1.416E+01  1.416E-01  4.282E-01  2.161E+00  8.636E-02           1285300300075 
  1.506E+01  1.506E-01  4.699E-01  2.123E+00  8.236E-02           1285300300076 
  1.604E+01  1.604E-01  5.172E-01  2.106E+00  7.939E-02           1285300300077 
  1.713E+01  1.713E-01  5.711E-01  2.093E+00  7.781E-02           1285300300078 
  1.833E+01  1.833E-01  6.327E-01  2.086E+00  8.213E-02           1285300300079 
  1.966E+01  1.966E-01  6.641E-01  2.123E+00  9.752E-02           1285300300080 
ENDDATA             69          0                                 1285300300081 
ENDSUBENT           80          0                                 1285300399999 
SUBENT        12853004   19840106                             00001285300400001 
BIB                  5          5                                 1285300400002 
REACTION   (29-CU-0(N,TOT),,SIG)                                  1285300400003 
N-SOURCE   (P-LI7) WHITE NEUTRON SPECTRUM                         1285300400004 
METHOD     (TOF)  3.32 METER FLIGHT PATH                          1285300400005 
SAMPLE     NATURAL COPPER                                         1285300400006 
DETECTOR   BLACK NEUTRON DETECTOR 5 CM RADIUS AND 15 CM HIGH      1285300400007 
ENDBIB               5          0                                 1285300400008 
NOCOMMON             0          0                                 1285300400009 
DATA                 5          6                                 1285300400010 
EN         EN-ERR     EN-RSL-FW  DATA       ERR-T                 1285300400011 
MEV        MEV        MEV        B          B                     1285300400012 
  6.500E-02  2.000E-03  5.000E-03  6.700E+00  1.000E-01           1285300400013 
  7.500E-02  2.000E-03  5.000E-03  8.100E+00  2.000E-01           1285300400014 
  8.500E-02  2.000E-03  5.000E-03  7.300E+00  1.500E-01           1285300400015 
  9.500E-02  2.000E-03  5.000E-03  6.200E+00  1.000E-01           1285300400016 
  1.050E-01  2.000E-03  5.000E-03  6.600E+00  1.000E-01           1285300400017 
  1.150E-01  2.000E-03  5.000E-03  6.100E+00  1.000E-01           1285300400018 
ENDDATA              8          0                                 1285300400019 
ENDSUBENT           18          0                                 1285300499999 
SUBENT        12853005   19840106                             00001285300500001 
BIB                  5          5                                 1285300500002 
REACTION   (29-CU-0(N,TOT),,SIG)                                  1285300500003 
N-SOURCE   (P-LI7) MONOENERGETIC NEUTRONS                         1285300500004 
METHOD     (TOF)  3.32 METER FLIGHT PATH                          1285300500005 
SAMPLE     NATURAL COPPER                                         1285300500006 
DETECTOR   BLACK NEUTRON DETECTOR 5 CM RADIUS AND 15 CM HIGH      1285300500007 
ENDBIB               5          0                                 1285300500008 
NOCOMMON             0          0                                 1285300500009 
DATA                 5          6                                 1285300500010 
EN         EN-ERR     EN-RSL-FW  DATA       ERR-T                 1285300500011 
MEV        MEV        MEV        B          B                     1285300500012 
  1.360E-01  5.000E-03  6.000E-03  6.850E+00  1.500E-01           1285300500013 
