ENTRY            11299   19810428                             00001129900000001 
SUBENT        11299001   19810428                             00001129900100001 
BIB                  6          7                                 1129900100002 
INSTITUTE  (1USAMIT)                                              1129900100003 
REFERENCE  (J,PR,86,483,52)                                       1129900100004 
AUTHOR     (J.J.HINCHEY,P.H.STELSON,W.M.PRESTON)                  1129900100005 
TITLE      THE TOTAL NEUTRON CROSS SECTION OF NITROGEN.           1129900100006 
STATUS     (SCSRS)                                                1129900100007 
HISTORY    (760714T) TRANSLATED FROM SCISRS                       1129900100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129900100009 
ENDBIB               7          0                                 1129900100010 
NOCOMMON             0          0                                 1129900100011 
ENDSUBENT           10          0                                 1129900199999 
SUBENT        11299002   19810428                             00001129900200001 
BIB                  2          2                                 1129900200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129900200003 
SAMPLE     LIQUID NITROGEN SAMPLE.                                1129900200004 
ENDBIB               2          0                                 1129900200005 
COMMON               1          3                                 1129900200006 
EN-RSL                                                            1129900200007 
MEV                                                               1129900200008 
 0.011                                                            1129900200009 
ENDCOMMON            3          0                                 1129900200010 
DATA                 3        178                                 1129900200011 
EN         DATA       DATA-ERR                                    1129900200012 
MEV        B          PER-CENT                                    1129900200013 
 1.240  +00 1.60   +00    4.0                                     1129900200133 
 1.250  +00 1.60   +00    4.0                                     1129900200134 
 1.260  +00 1.63   +00    4.0                                     1129900200135 
 1.270  +00 1.55   +00    5.0                                     1129900200136 
 1.280  +00 1.68   +00    4.0                                     1129900200137 
 1.285  +00 1.59   +00    4.0                                     1129900200138 
 1.290  +00 1.61   +00    4.0                                     1129900200139 
 1.295  +00 1.77   +00    4.0                                     1129900200140 
 1.300  +00 1.68   +00    4.0                                     1129900200141 
 1.310  +00 1.80   +00    4.0                                     1129900200142 
 1.320  +00 2.25   +00    3.0                                     1129900200143 
 1.330  +00 2.85   +00    2.0                                     1129900200144 
 1.340  +00 2.98   +00    2.0                                     1129900200145 
 1.350  +00 2.40   +00    3.0                                     1129900200146 
 1.360  +00 2.20   +00    3.0                                     1129900200147 
 1.370  +00 2.25   +00    3.0                                     1129900200148 
 1.380  +00 2.50   +00    3.0                                     1129900200149 
 1.390  +00 2.45   +00    3.0                                     1129900200150 
 1.402  +00 2.55   +00    3.0                                     1129900200151 
 1.410  +00 2.50   +00    3.0                                     1129900200152 
 1.420  +00 2.30   +00    3.0                                     1129900200153 
 1.430  +00 2.28   +00    3.0                                     1129900200154 
 1.440  +00 2.30   +00    3.0                                     1129900200155 
 1.450  +00 2.03   +00    3.0                                     1129900200156 
 1.460  +00 2.10   +00    3.0                                     1129900200157 
 1.470  +00 2.25   +00    3.0                                     1129900200158 
 1.480  +00 2.00   +00    4.0                                     1129900200159 
 1.495  +00 2.00   +00    4.0                                     1129900200160 
 1.500  +00 2.00   +00    4.0                                     1129900200161 
 1.510  +00 1.89   +00    4.0                                     1129900200162 
 1.520  +00 2.00   +00    4.0                                     1129900200163 
 1.530  +00 1.98   +00    4.0                                     1129900200164 
 1.540  +00 1.94   +00    4.0                                     1129900200165 
 1.550  +00 1.88   +00    4.0                                     1129900200166 
 1.560  +00 1.90   +00    4.0                                     1129900200167 
 1.570  +00 1.88   +00    4.0                                     1129900200168 
 1.580  +00 2.08   +00    3.0                                     1129900200169 
 1.590  +00 2.49   +00    3.0                                     1129900200170 
 1.595  +00 3.04   +00    2.0                                     1129900200171 
 1.600  +00 3.24   +00    2.0                                     1129900200172 
 1.610  +00 2.40   +00    3.0                                     1129900200173 
 1.620  +00 2.15   +00    3.0                                     1129900200174 
 1.625  +00 2.02   +00    3.0                                     1129900200175 
 1.630  +00 1.93   +00    4.0                                     1129900200176 
 1.640  +00 1.89   +00    4.0                                     1129900200177 
 1.650  +00 1.90   +00    4.0                                     1129900200178 
 1.660  +00 1.80   +00    4.0                                     1129900200179 
 1.670  +00 1.92   +00    4.0                                     1129900200180 
 1.680  +00 1.85   +00    4.0                                     1129900200181 
 1.690  +00 1.84   +00    4.0                                     1129900200182 
 1.700  +00 1.84   +00    4.0                                     1129900200183 
 1.710  +00 1.90   +00    4.0                                     1129900200184 
 1.720  +00 1.90   +00    4.0                                     1129900200185 
 1.730  +00 1.91   +00    4.0                                     1129900200186 
 1.750  +00 2.00   +00    4.0                                     1129900200187 
 1.760  +00 2.13   +00    3.0                                     1129900200188 
 1.770  +00 2.25   +00    3.0                                     1129900200189 
 1.780  +00 2.76   +00    3.0                                     1129900200190 
 1.790  +00 2.66   +00    3.0                                     1129900200191 
ENDDATA            180          0                                 1129900200192 
ENDSUBENT          191          0                                 1129900299999 
SUBENT        11299003   19810428                             00001129900300001 
BIB                  2          2                                 1129900300002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129900300003 
SAMPLE     LI-N(3) SAMPLE.                                        1129900300004 
ENDBIB               2          0                                 1129900300005 
NOCOMMON             0          0                                 1129900300006 
DATA                 3        106                                 1129900300007 
EN         EN-RSL     DATA                                        1129900300008 
MEV        MEV        B                                           1129900300009 
 1.57   -01 5.     -03 4.05   +00                                 1129900300010 
 1.75   -01 5.     -03 3.68   +00                                 1129900300011 
 1.98   -01 5.     -03 3.87   +00                                 1129900300012 
 2.2    -01 5.     -02 3.52   +00                                 1129900300013 
 2.37   -01 5.     -03 3.47   +00                                 1129900300014 
 2.55   -01 5.     -03 3.57   +00                                 1129900300015 
 2.69   -01 5.     -03 3.63   +00                                 1129900300016 
 2.87   -01 5.     -03 3.18   +00                                 1129900300017 
 3.08   -01 5.     -03 3.25   +00                                 1129900300018 
 3.16   -01 5.     -03 3.24   +00                                 1129900300019 
 3.25   -01 5.     -03 3.18   +00                                 1129900300020 
 3.35   -01 5.     -03 3.12   +00                                 1129900300021 
 3.44   -01 5.     -03 3.02   +00                                 1129900300022 
 3.55   -01 5.     -03 3.09   +00                                 1129900300023 
 3.60   -01 5.     -03 2.87   +00                                 1129900300024 
 3.70   -01 5.     -03 2.93   +00                                 1129900300025 
 3.80   -01 5.     -03 2.86   +00                                 1129900300026 
 3.85   -01 5.     -03 2.88   +00                                 1129900300027 
 3.95   -01 5.     -03 2.94   +00                                 1129900300028 
 4.080  -01 3.8    -03 3.03   +00                                 1129900300029 
 4.230  -01 3.8    -03 3.12   +00                                 1129900300030 
 4.250  -01 3.8    -03 3.57   +00                                 1129900300031 
 4.280  -01 3.8    -03 5.22   +00                                 1129900300032 
 4.300  -01 3.8    -03 5.87   +00                                 1129900300033 
