ENTRY            13800   20210920                             148713800  0    1 
SUBENT        13800001   20210920                             148713800  1    1 
BIB                 14         44                                 13800  1    2 
TITLE      Composite delayed neutron energy spectra for thermal   13800  1    3 
           fission of 235U                                        13800  1    4 
AUTHOR     (R.S.Tanczyn,Q.Sharfuddin,W.A.Schier,D.J.Pullen,       13800  1    5 
           M.H.Haghighi, L.Fisteag,G.P.Couchell)                  13800  1    6 
INSTITUTE  (1USALTI)                                              13800  1    7 
REFERENCE  (J,NSE,94,353,1986)                                    13800  1    8 
           #NSR: 1986TA18                                         13800  1    9 
           (J,NSE,111,422,1992)                                   13800  1   10 
           #NSR: 1992VI05                                         13800  1   11 
           (J,RE,94,77,1986) Intermediate results                 13800  1   12 
           #NSR: 1986SC17                                         13800  1   13 
           (J,RE,94,33,1986) Intermediate results                 13800  1   14 
           #NSR: 1986CO07                                         13800  1   15 
REL-REF    (M,,W.A.Schier+,J,NIM/A,227,549,1984)                  13800  1   16 
           Detail information about experimental system           13800  1   17 
           #NSR: 1984SC45                                         13800  1   18 
FACILITY   (VDG,1USALTI)                                          13800  1   19 
           (REAC,1USALTI)                                         13800  1   20 
INC-SPECT  Fast neutrons moderated by embedding fission chamber   13800  1   21 
            and target assembly in paraffin. More than 90% of     13800  1   22 
            fissions estimated to be produced by thermal/epi-     13800  1   23 
            thermal neutrons.                                     13800  1   24 
SAMPLE     235U-lined hemispherical fission chamber.              13800  1   25 
METHOD     (TOF)                                                  13800  1   26 
           (COINC) Betas in coincidence with neutrons provided    13800  1   27 
            time zero signal.                                     13800  1   28 
DETECTOR   (SCIN) Fragments sprayed onto moving tape that carried 13800  1   29 
            them across faces of sequential scintillator sheets   13800  1   30 
            mounted on photomultipliers.                          13800  1   31 
            Neutron energies measured using Pilot U (0.1-2.0 MeV) 13800  1   32 
             6Li-glass (10-300 keV), and BC 501 liquid (0.1-4.0   13800  1   33 
             MeV) scintillators.                                  13800  1   34 
ANALYSIS   Derived from measurements of energy spectra as a       13800  1   35 
            function of delay time intervals.                     13800  1   36 
CORRECTION Corrected for:                                         13800  1   37 
           . random background and gamma peak,                    13800  1   38 
           . neutron detector time-response tails,                13800  1   39 
           . neutron detector efficiency.                         13800  1   40 
ERR-ANALYS (DATA-ERR) Data uncertainties are dominated by         13800  1   41 
            statistics in background.                             13800  1   42 
HISTORY    (20030203C)                                            13800  1   43 
           (20091212A) Subentry 3 updated.                        13800  1   44 
           (20190604U) OG. 3rd,4th,5th ref. added. #NSR added.    13800  1   45 
           (20210827A) OS. REACTION coding in sub.2 updated       13800  1   46 
ENDBIB              44          0                                 13800  1   47 
COMMON               1          3                                 13800  1   48 
EN-DUMMY                                                          13800  1   49 
EV                                                                13800  1   50 
  0.0253                                                          13800  1   51 
ENDCOMMON            3          0                                 13800  1   52 
ENDSUBENT           51          0                                 13800  199999 
SUBENT        13800002   20210920                             148713800  2    1 
BIB                  3          5                                 13800  2    2 
REACTION   (92-U-235(N,F),DL/GRP,NU/DE,,REL)                      13800  2    3 
            Total counts in each group normalized to 10E+4.       13800  2    4 
STATUS     (TABLE) Table II in Nuc.Sci.Eng.111,422,1992           13800  2    5 
HISTORY    (20210827A) REACTION SF6-7 changed, replaced GRP-NUM   13800  2    6 
            by HL-MIN,MAX                                         13800  2    7 
ENDBIB               5          0                                 13800  2    8 
NOCOMMON             0          0                                 13800  2    9 
DATA                 6        274                                 13800  2   10 
HL-MIN     HL-MAX     E-MEAN     E-RSL      DATA       DATA-ERR   13800  2   11 
 0.79       1.25        40.        10.       101.        37.      13800  2   70 
 0.79       1.25        50.        10.       120.        46.      13800  2   71 
 0.79       1.25        60.        10.       129.        44.      13800  2   72 
 0.79       1.25        70.        10.       123.        37.      13800  2   73 
0.79       1.25         80.        10.       129.        37.      13800  2   74 
0.79       1.25         90.        10.       129.        34.      13800  2   75 
0.79       1.25        100.        10.       125.        31.      13800  2   76 
0.79       1.25        110.        10.       132.        27.      13800  2   77 
0.79       1.25        120.        10.       138.        24.      13800  2   78 
0.79       1.25        130.        10.       141.        22.      13800  2   79 
0.79       1.25        140.        10.       136.        21.      13800  2   80 
0.79       1.25        150.        10.       133.        19.      13800  2   81 
0.79       1.25        160.        10.       143.        19.      13800  2   82 
0.79       1.25        170.        10.       144.        18.      13800  2   83 
0.79       1.25        180.        10.       148.        19.      13800  2   84 
0.79       1.25        190.        10.       147.        20.      13800  2   85 
0.79       1.25        202.5       15.       174.        15.      13800  2   86 
0.79       1.25        220.        20.       164.        12.      13800  2   87 
0.79       1.25        240.        20.       147.        11.      13800  2   88 
0.79       1.25        260.        20.       141.        10.      13800  2   89 
0.79       1.25        280.        20.       152.        10.      13800  2   90 
0.79       1.25        300.        20.       148.         9.      13800  2   91 
0.79       1.25        320.        20.       143.         9.      13800  2   92 
0.79       1.25        340.        20.       142.         8.      13800  2   93 
0.79       1.25        360.        20.       143.         8.      13800  2   94 
0.79       1.25        380.        20.       135.         8.      13800  2   95 
0.79       1.25        400.        20.       131.         8.      13800  2   96 
0.79       1.25        420.        20.       128.         8.      13800  2   97 
0.79       1.25        440.        20.       123.         7.      13800  2   98 
0.79       1.25        460.        20.       119.         7.      13800  2   99 
0.79       1.25        480.        20.       111.         7.      13800  2  100 
0.79       1.25        507.5       25.        95.6        4.8     13800  2  101 
0.79       1.25        550.        50.        84.2        4.2     13800  2  102 
0.79       1.25        600.        50.        69.8        4.0     13800  2  103 
0.79       1.25        650.        50.        60.9        3.6     13800  2  104 
0.79       1.25        700.        50.        53.0        3.4     13800  2  105 
0.79       1.25        750.        50.        44.8        3.2     13800  2  106 
0.79       1.25        800.        50.        38.8        3.0     13800  2  107 
0.79       1.25        850.        50.        33.9        2.9     13800  2  108 
0.79       1.25        900.        50.        30.8        2.8     13800  2  109 
0.79       1.25        950.        50.        26.3        2.8     13800  2  110 
0.79       1.25       1012.5       75.        22.0        2.2     13800  2  111 
0.79       1.25       1100.       100.        19.3        1.9     13800  2  112 
0.79       1.25       1200.       100.        14.3        1.6     13800  2  113 
0.79       1.25       1300.       100.        12.2       15.6     13800  2  114 
0.79       1.25       1400.       100.         7.63       1.46    13800  2  115 
0.79       1.25       1500.       100.         3.95       1.29    13800  2  116 
0.79       1.25       1600.       100.         2.35       1.08    13800  2  117 
0.79       1.25       1700.       100.         1.92       0.98    13800  2  118 
0.79       1.25       1800.       100.         2.08       1.13    13800  2  119 
0.79       1.25       1900.       100.         1.51       1.02    13800  2  120 
0.79       1.25       2000.       100.         0.17       0.77    13800  2  121 
1.2        1.9          10.        10.       123.       105.      13800  2  122 
1.2        1.9          20.        10.       105.        47.      13800  2  123 
1.2        1.9          30.        10.        86.        44.      13800  2  124 
1.2        1.9          40.        10.        91.        30.      13800  2  125 
1.2        1.9          50.        10.        91.        37.      13800  2  126 
1.2        1.9          60.        10.       107.        35.      13800  2  127 
1.2        1.9          70.        10.       118.        31.      13800  2  128 
1.2        1.9          80.        10.       108.        29.      13800  2  129 
1.2        1.9          90.        10.       110.        27.      13800  2  130 
1.2        1.9         100.        10.       119.        24.      13800  2  131 
1.2        1.9         110.        10.       122.        21.      13800  2  132 
1.2        1.9         120.        10.       134.        19.      13800  2  133 
1.2        1.9         130.        10.       134.        17.      13800  2  134 
1.2        1.9         140.        10.       143.        17.      13800  2  135 
1.2        1.9         150.        10.       148.        16.      13800  2  136 
1.2        1.9         160.        10.       150.        16.      13800  2  137 
1.2        1.9         170.        10.       144.        15.      13800  2  138 
1.2        1.9         180.        10.       138.        16.      13800  2  139 
1.2        1.9         190.        10.       135.        17.      13800  2  140 
1.2        1.9         202.5       15.       131.        12.      13800  2  141 
1.2        1.9         220.        20.       131.        10.      13800  2  142 
1.2        1.9         240.        20.       119.         9.      13800  2  143 
1.2        1.9         260.        20.       114.         9.      13800  2  144 
1.2        1.9         280.        20.       120.         8.      13800  2  145 
1.2        1.9         300.        20.       122.         8.      13800  2  146 
1.2        1.9         320.        20.       120.         8.      13800  2  147 
1.2        1.9         340.        20.       115.         7.      13800  2  148 
1.2        1.9         360.        20.       111.         7.      13800  2  149 
1.2        1.9         380.        20.       104.         7.      13800  2  150 
1.2        1.9         400.        20.       101.         7.      13800  2  151 
1.2        1.9         420.        20.       107.         7.      13800  2  152 
1.2        1.9         440.        20.       108.         7.      13800  2  153 
1.2        1.9         460.        20.       103.         6.      13800  2  154 
1.2        1.9         480.        20.       100.         6.      13800  2  155 
1.2        1.9         507.5       25.        93.7        4.3     13800  2  156 
1.2        1.9         550.        50.        86.6        3.8     13800  2  157 
1.2        1.9         600.        50.        75.2        3.6     13800  2  158 
1.2        1.9         650.        50.        66.8        3.2     13800  2  159 
1.2        1.9         700.        50.        61.5        3.0     13800  2  160 
1.2        1.9         750.        50.        55.9        2.9     13800  2  161 
1.2        1.9         800.        50.        48.6        2.7     13800  2  162 
1.2        1.9         850.        50.        44.3        2.5     13800  2  163 
1.2        1.9         900.        50.        44.7        2.5     13800  2  164 
1.2        1.9         950.        50.        42.5        2.5     13800  2  165 
1.2        1.9        1012.5       75.        34.6        2.0     13800  2  166 
1.2        1.9        1100.       100.        30.2        1.7     13800  2  167 
1.2        1.9        1200.       100.        23.7        1.4     13800  2  168 
1.2        1.9        1300.       100.        18.2        1.4     13800  2  169 
1.2        1.9        1400.       100.        13.8        1.3     13800  2  170 
1.2        1.9        1500.       100.        10.3        1.1     13800  2  171 
1.2        1.9        1600.       100.         5.20       0.92    13800  2  172 
1.2        1.9        1700.       100.         4.24       0.76    13800  2  173 
1.2        1.9        1800.       100.         2.72       0.79    13800  2  174 
1.2        1.9        1900.       100.         1.58       0.73    13800  2  175 
1.2        1.9        2000.       100.         0.31       0.59    13800  2  176 
2.1        3.9          10.        10.        88.2       10.2     13800  2  177 
2.1        3.9          20.        10.        83.9        4.6     13800  2  178 
2.1        3.9          30.        10.        96.7        5.1     13800  2  179 
2.1        3.9          40.        10.        86.2        3.0     13800  2  180 
2.1        3.9          50.        10.        95.0        4.8     13800  2  181 
2.1        3.9          60.        10.        77.2        4.6     13800  2  182 
2.1        3.9          70.        10.        91.4        3.8     13800  2  183 
2.1        3.9          80.        10.       112.        39.      13800  2  184 
2.1        3.9          90.        10.       123.        36.      13800  2  185 
2.1        3.9         100.        10.       127.        32.      13800  2  186 
2.1        3.9         110.        10.       127.        28.      13800  2  187 
2.1        3.9         120.        10.       131.        24.      13800  2  188 
2.1        3.9         130.        10.       142.        23.      13800  2  189 
2.1        3.9         140.        10.       143.        22.      13800  2  190 
2.1        3.9         150.        10.       148.        20.      13800  2  191 
2.1        3.9         160.        10.       145.        19.      13800  2  192 
2.1        3.9         170.        10.       141.        18.      13800  2  193 
2.1        3.9         180.        10.       140.        19.      13800  2  194 
2.1        3.9         190.        10.       143.        20.      13800  2  195 
2.1        3.9         202.5       15.       139.        13.      13800  2  196 
2.1        3.9         220.        20.       140.        11.      13800  2  197 
2.1        3.9         240.        20.       140.        10.      13800  2  198 
2.1        3.9         260.        20.       130.        10.      13800  2  199 
2.1        3.9         280.        20.       120.         9.      13800  2  200 
2.1        3.9         300.        20.       119.         9.      13800  2  201 
2.1        3.9         320.        20.       111.         8.      13800  2  202 
2.1        3.9         340.        20.       112.         8.      13800  2  203 
2.1        3.9         360.        20.       110.         8.      13800  2  204 
2.1        3.9         380.        20.       110.         8.      13800  2  205 
2.1        3.9         400.        20.       116.         8.      13800  2  206 
2.1        3.9         420.        20.       113.         8.      13800  2  207 
2.1        3.9         440.        20.       109.         7.      13800  2  208 
2.1        3.9         460.        20.       110.         7.      13800  2  209 
2.1        3.9         480.        20.       102.         7.      13800  2  210 
2.1        3.9         507.5       25.        97.9        4.8     13800  2  211 
2.1        3.9         550.        50.        92.4        4.1     13800  2  212 
2.1        3.9         600.        50.        83.6        3.9     13800  2  213 
2.1        3.9         650.        50.        70.8        3.6     13800  2  214 
2.1        3.9         700.        50.        64.8        3.4     13800  2  215 
2.1        3.9         750.        50.        61.2        3.2     13800  2  216 
2.1        3.9         800.        50.        50.2        3.0     13800  2  217 
2.1        3.9         850.        50.        43.9        2.8     13800  2  218 
2.1        3.9         900.        50.        39.8        2.8     13800  2  219 
2.1        3.9         950.        50.        38.9        2.8     13800  2  220 
2.1        3.9        1012.5       75.        28.2        2.2     13800  2  221 
2.1        3.9        1100.       100.        25.9        1.9     13800  2  222 
2.1        3.9        1200.       100.        19.5        1.6     13800  2  223 
2.1        3.9        1300.       100.        14.8        1.6     13800  2  224 
2.1        3.9        1400.       100.        13.3        1.5     13800  2  225 
2.1        3.9        1500.       100.        10.1        1.4     13800  2  226 
2.1        3.9        1600.       100.         7.20       1.13    13800  2  227 
2.1        3.9        1700.       100.         2.66       0.82    13800  2  228 
2.1        3.9        1800.       100.         1.10       0.77    13800  2  229 
2.1        3.9        1900.       100.         0.85       0.77    13800  2  230 
2.1        3.9        2000.       100.         0.30       0.64    13800  2  231 
4.7        10.2          10.        10.        87.2       12.1    13800  2  232 
4.7        10.2          20.        10.        75.4        5.1    13800  2  233 
4.7        10.2          30.        10.        78.4        6.0    13800  2  234 
4.7        10.2          40.        10.        79.0        3.2    13800  2  235 
4.7        10.2          50.        10.       110.        55.     13800  2  236 
4.7        10.2          60.        10.       113.        53.     13800  2  237 
4.7        10.2          70.        10.       123.        44.     13800  2  238 
4.7        10.2          80.        10.       167.        44.     13800  2  239 
4.7        10.2          90.        10.       179.        41.     13800  2  240 
4.7        10.2         100.        10.       171.        36.     13800  2  241 
4.7        10.2         110.        10.       164.        32.     13800  2  242 
4.7        10.2         120.        10.       153.        28.     13800  2  243 
4.7        10.2         130.        10.       159.        26.     13800  2  244 
4.7        10.2         140.        10.       154.        24.     13800  2  245 
4.7        10.2         150.        10.       148.        21.     13800  2  246 
4.7        10.2         160.        10.       147.        20.     13800  2  247 
4.7        10.2         170.        10.       147.        19.     13800  2  248 
4.7        10.2         180.        10.       144.        19.     13800  2  249 
4.7        10.2         190.        10.       145.        21.     13800  2  250 
4.7        10.2         202.5       15.       144.        13.     13800  2  251 
4.7        10.2         220.        20.       144.        11.     13800  2  252 
4.7        10.2         240.        20.       143.        11.     13800  2  253 
4.7        10.2         260.        20.       135.        10.     13800  2  254 
4.7        10.2         280.        20.       130.         9.     13800  2  255 
4.7        10.2         300.        20.       129.         9.     13800  2  256 
4.7        10.2         320.        20.       122.         9.     13800  2  257 
4.7        10.2         340.        20.       122.         9.     13800  2  258 
4.7        10.2         360.        20.       121.         9.     13800  2  259 
4.7        10.2         380.        20.       123.         8.     13800  2  260 
4.7        10.2         400.        20.       131.         8.     13800  2  261 
4.7        10.2         420.        20.       128.         8.     13800  2  262 
4.7        10.2         440.        20.       120.         8.     13800  2  263 
4.7        10.2         460.        20.       116.         8.     13800  2  264 
4.7        10.2         480.        20.       109.         7.     13800  2  265 
4.7        10.2         507.5       25.       101.         6.     13800  2  266 
4.7        10.2         550.        50.        90.1        4.3    13800  2  267 
4.7        10.2         600.        50.        76.5        4.1    13800  2  268 
4.7        10.2         650.        50.        68.1        3.8    13800  2  269 
4.7        10.2         700.        50.        58.9        3.6    13800  2  270 
4.7        10.2         750.        50.        53.3        3.4    13800  2  271 
4.7        10.2         800.        50.        43.4        3.2    13800  2  272 
4.7        10.2         850.        50.        38.0        3.1    13800  2  273 
4.7        10.2         900.        50.        33.0        3.1    13800  2  274 
4.7        10.2         950.        50.        30.6        3.0    13800  2  275 
4.7        10.2        1012.5       75.        22.8        2.4    13800  2  276 
4.7        10.2        1100.       100.        19.7        2.1    13800  2  277 
4.7        10.2        1200.       100.        13.0        1.7    13800  2  278 
4.7        10.2        1300.       100.        12.2        1.7    13800  2  279 
4.7        10.2        1400.       100.         9.45       1.62   13800  2  280 
4.7        10.2        1500.       100.         6.62       1.45   13800  2  281 
4.7        10.2        1600.       100.         6.07       1.16   13800  2  282 
4.7        10.2        1700.       100.         1.48       0.95   13800  2  283 
4.7        10.2        1800.       100.         0.04       0.97   13800  2  284 
4.7        10.2        1900.       100.         0.67       0.84   13800  2  285 
4.7        10.2        2000.       100.         0.09       0.66   13800  2  286 
ENDDATA            276          0                                 13800  2  287 
ENDSUBENT          286          0                                 13800  299999 
SUBENT        13800003   20091212                             13571380000300001 
BIB                  3          5                                 1380000300002 
REACTION   (92-U-235(N,F)0-NN-1,DL/GRP,KE)                        1380000300003 
STATUS     (TABLE) Data taken from Table III in Nuc.Sci.Eng.111   1380000300004 
                   reference.                                     1380000300005 
           (DEP,13800002)                                         1380000300006 
HISTORY    (20091212A) Reaction corrected. BIB update.            1380000300007 
ENDBIB               5          0                                 1380000300008 
NOCOMMON             0          0                                 1380000300009 
DATA                 3          5                                 1380000300010 
GRP-NUM    DATA       DATA-ERR                                    1380000300011 
NO-DIM     KEV        KEV                                         1380000300012 
  2.        428.        8.8                                       1380000300013 
  3.        439.        8.7                                       1380000300014 
  4.        516.        8.5                                       1380000300015 
  5.        502.        9.3                                       1380000300016 
  6.        454.        9.7                                       1380000300017 
ENDDATA              7          0                                 1380000300018 
ENDSUBENT           17          0                                 1380000399999 
ENDENTRY             3          0                                 1380099999999 
