ENTRY            10027   19990719                             00001002700000001 
SUBENT        10027001   19990719                             00001002700100001 
BIB                 14         35                                 1002700100002 
INSTITUTE  (1USAORL)                                              1002700100003 
REFERENCE  (R,ORNL-4441,196912)                                   1002700100004 
AUTHOR     (F.G.PEREY,W.E.KINNEY)                                 1002700100005 
TITLE      Carbon neutron elastic-and inelastic-scattering cross  1002700100006 
            sections from 4.5 to 8.5 MeV                          1002700100007 
FACILITY   (VDG) ORNL Van-de-Graaff, pulsed at 2 mhz and bunched. 1002700100008 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1002700100009 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1002700100010 
            60 and 340 keV.                                       1002700100011 
SAMPLE     Right circular cylinder 2.54 cm in diameter,2 cm long  1002700100012 
            placed 10 to 30 cm from gas cell                      1002700100013 
METHOD     (TOF) Time-of-flight. 2.5 nsec. resolution (FWHM),     1002700100014 
             2 mHz repitition rate.                               1002700100015 
DETECTOR   (SCIN) 12.5 cm diameter NE213 liquid scintillator      1002700100016 
            viewed by XP-1040 photomultiplers. Flight paths of 4  1002700100017 
            to 6 meters employed.                                 1002700100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency relative    1002700100019 
            to n-p cross section.                                 1002700100020 
CORRECTION Corrected for multiple scattering and for finite size  1002700100021 
            of samples.                                           1002700100022 
ERR-ANALYS Includes uncertainties due to:                         1002700100023 
           . geometric parameters,                                1002700100024 
           . finite size corrections,                             1002700100025 
           . statistics,                                          1002700100026 
           . residual background effects due to peak stripping    1002700100027 
             procedures.                                          1002700100028 
           Differential data do not (but integral data do)        1002700100029 
            include absolute error of +-7%, the estimated error   1002700100030 
            in the absolute value of the detector efficiency.     1002700100031 
STATUS     (APRVD) Approved by author.                            1002700100032 
HISTORY    (19710330C)                                            1002700100033 
           (19760301A)                                            1002700100034 
           (19800723A) Converted to REACTION formalism            1002700100035 
           (19860129A) BIB corrections.                           1002700100036 
           (19990719A) Converted to new date formats, lower case. 1002700100037 
ENDBIB              35          0                                 1002700100038 
NOCOMMON             0          0                                 1002700100039 
ENDSUBENT           38          0                                 1002700199999 
SUBENT        10027002   19990719                             00001002700200001 
BIB                  2          3                                 1002700200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1002700200003 
HISTORY    (19800723A) Subentries 2 - 14 combined                 1002700200004 
           (19860129A) REACTION product added.                    1002700200005 
ENDBIB               3          0                                 1002700200006 
NOCOMMON             0          0                                 1002700200007 
DATA                 6        265                                 1002700200008 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1002700200009 
5.44       0.17       103.77     81.57      4.8        5.7        1002700200052 
5.44       0.17       106.72     72.00      5.0        6.8        1002700200053 
5.44       0.17       112.09     67.95      5.1        10.2       1002700200054 
5.44       0.17       117.44     68.27      5.1        6.6        1002700200055 
5.56       0.05       32.43      159.25     4.8        7.0        1002700200056 
5.56       0.05       46.31      104.80     5.2        7.4        1002700200057 
5.56       0.05       54.76      80.64      5.6        7.7        1002700200058 
5.56       0.05       64.23      55.06      6.2        10.6       1002700200059 
5.56       0.05       79.71      49.00      7.0        13.6       1002700200060 
5.56       0.05       94.82      71.33      6.6        6.6        1002700200061 
5.56       0.05       109.67     94.02      6.2        7.6        1002700200062 
5.56       0.05       122.26     89.69      5.6        6.4        1002700200063 
5.56       0.05       135.59     68.70      6.9        8.1        1002700200064 
6.01       0.07       16.24      249.98     4.9        5.3        1002700200065 
6.01       0.07       24.33      213.07     4.4        4.5        1002700200066 
6.01       0.07       29.71      189.60     4.3        4.7        1002700200067 
6.01       0.07       37.75      142.68     4.4        4.6        1002700200068 
6.01       0.07       45.74      102.43     4.6        5.2        1002700200069 
6.01       0.07       51.03      87.24      4.6        5.3        1002700200070 
6.01       0.07       58.92      53.91      5.4        5.4        1002700200071 
6.01       0.07       66.75      33.85      6.4        6.9        1002700200072 
6.01       0.07       74.51      33.15      6.5        7.2        1002700200073 
6.01       0.07       82.19      38.37      6.1        6.9        1002700200074 
6.01       0.07       89.78      50.20      5.9        6.6        1002700200075 
6.01       0.07       97.30      71.60      5.1        6.0        1002700200076 
6.01       0.07       104.72     81.98      5.0        5.6        1002700200077 
6.01       0.07       112.07     83.55      5.2        5.7        1002700200078 
6.01       0.07       123.67     81.93      5.5        6.2        1002700200079 
6.01       0.07       130.83     72.54      6.4        6.9        1002700200080 
6.01       0.07       137.92     60.95      6.1        8.1        1002700200081 
6.37       0.13       24.33      339.25     3.9        5.9        1002700200082 
6.37       0.13       29.72      237.81     4.0        6.1        1002700200083 
6.37       0.13       29.72      246.82     4.0        5.9        1002700200084 
6.37       0.13       34.55      172.25     4.0        5.7        1002700200085 
6.37       0.13       35.08      168.35     4.0        5.7        1002700200086 
6.37       0.13       40.43      107.66     4.2        5.5        1002700200087 
6.37       0.13       46.30      69.01      4.7        7.1        1002700200088 
6.37       0.13       50.54      42.52      5.3        8.0        1002700200089 
6.37       0.13       50.54      42.77      6.6        9.2        1002700200090 
6.37       0.13       56.32      28.17      6.3        6.9        1002700200091 
6.37       0.13       56.34      33.86      6.2        9.0        1002700200092 
6.37       0.13       56.35      35.71      5.8        10.0       1002700200093 
6.37       0.13       62.11      37.04      5.7        10.7       1002700200094 
6.37       0.13       62.12      36.91      5.7        10.6       1002700200095 
6.37       0.13       66.28      39.46      5.4        10.7       1002700200096 
6.37       0.13       71.97      51.94      5.1        9.9        1002700200097 
6.37       0.13       77.62      62.87      4.7        6.9        1002700200098 
6.37       0.13       81.70      62.05      5.0        7.3        1002700200099 
6.37       0.13       87.28      73.66      4.7        6.8        1002700200100 
6.37       0.13       92.82      81.03      4.6        6.4        1002700200101 
6.37       0.13       96.82      78.40      4.6        7.8        1002700200102 
6.37       0.13       102.28     80.22      4.7        7.5        1002700200103 
6.37       0.13       107.69     87.16      4.6        7.0        1002700200104 
6.37       0.13       112.09     69.55      4.8        7.4        1002700200105 
6.37       0.13       122.25     72.07      4.9        5.7        1002700200106 
6.44       0.07       16.24      337.63     4.1        4.4        1002700200107 
6.44       0.07       24.33      240.81     4.7        4.3        1002700200108 
6.44       0.07       29.71      189.50     3.9        4.0        1002700200109 
6.44       0.07       37.75      122.25     4.1        4.5        1002700200110 
6.44       0.07       45.74      76.98      4.8        5.6        1002700200111 
6.44       0.07       51.03      58.05      4.8        5.2        1002700200112 
6.44       0.07       58.93      42.96      5.2        5.3        1002700200113 
6.44       0.07       66.76      41.13      5.6        6.5        1002700200114 
6.44       0.07       74.52      48.94      5.2        5.8        1002700200115 
6.44       0.07       82.19      54.27      4.8        6.3        1002700200116 
6.44       0.07       89.79      54.11      5.1        6.9        1002700200117 
6.44       0.07       97.30      52.80      5.2        7.2        1002700200118 
6.44       0.07       104.74     42.69      6.4        6.8        1002700200119 
6.44       0.07       112.09     38.11      6.2        6.7        1002700200120 
6.44       0.07       123.68     39.03      6.0        8.2        1002700200121 
6.44       0.07       123.69     41.75      7.1        8.4        1002700200122 
6.44       0.07       123.69     39.47      6.8        6.9        1002700200123 
6.44       0.07       130.83     38.96      6.7        5.7        1002700200124 
6.44       0.07       130.84     37.39      7.0        7.8        1002700200125 
6.44       0.07       137.92     46.21      6.0        7.5        1002700200126 
6.44       0.07       137.92     42.81      6.5        6.3        1002700200127 
6.44       0.07       137.92     43.18      6.3        7.4        1002700200128 
7.03       0.06       29.71      88.33      4.6        4.8        1002700200129 
7.03       0.06       29.71      88.44      4.5        4.8        1002700200130 
7.03       0.06       37.74      70.16      4.3        5.0        1002700200131 
7.03       0.06       37.75      76.99      4.4        4.8        1002700200132 
7.03       0.06       41.48      71.30      4.8        4.4        1002700200133 
7.03       0.06       45.74      62.03      4.5        4.6        1002700200134 
7.03       0.06       45.74      64.27      4.4        4.8        1002700200135 
7.03       0.06       49.45      57.05      4.6        4.8        1002700200136 
7.03       0.06       51.03      58.46      4.3        4.5        1002700200137 
7.03       0.06       57.35      50.43      4.8        5.0        1002700200138 
7.03       0.06       58.92      48.45      4.4        4.5        1002700200139 
7.03       0.06       66.75      41.79      4.5        5.0        1002700200140 
7.03       0.06       74.51      41.80      4.9        5.5        1002700200141 
7.03       0.06       82.19      43.39      4.9        5.4        1002700200142 
7.03       0.06       89.79      47.73      5.2        5.2        1002700200143 
7.03       0.06       97.29      51.55      4.9        4.9        1002700200144 
7.03       0.06       104.72     50.89      4.9        5.3        1002700200145 
7.03       0.06       112.07     46.68      5.0        5.2        1002700200146 
7.03       0.06       123.67     39.48      4.9        5.7        1002700200147 
7.03       0.06       130.82     29.01      5.6        5.4        1002700200148 
7.03       0.06       137.91     22.76      5.5        6.0        1002700200149 
7.54       0.06       16.24      558.22     3.9        6.2        1002700200150 
7.54       0.06       24.33      419.27     4.3        4.2        1002700200151 
7.54       0.06       29.71      351.56     4.2        4.2        1002700200152 
7.54       0.06       37.75      247.63     4.4        4.5        1002700200153 
7.54       0.06       45.74      162.31     4.5        5.4        1002700200154 
7.54       0.06       51.03      123.28     4.7        5.3        1002700200155 
7.54       0.06       51.04      113.38     5.2        5.1        1002700200156 
7.54       0.06       58.92      55.59      6.8        6.5        1002700200157 
7.54       0.06       58.93      58.41      5.7        6.1        1002700200158 
7.54       0.06       66.75      22.47      9.4        9.8        1002700200159 
7.54       0.06       66.75      23.75      8.7        9.1        1002700200160 
7.54       0.06       74.50      5.42       21.7       20.0       1002700200161 
7.54       0.06       82.17      3.05       33.1       42.2       1002700200162 
7.54       0.06       89.79      8.09       17.5       17.1       1002700200163 
7.54       0.06       97.28      20.16      9.5        13.1       1002700200164 
7.54       0.06       97.29      23.15      9.2        10.2       1002700200165 
7.54       0.06       104.72     34.85      7.2        8.8        1002700200166 
7.54       0.06       104.72     38.29      7.1        7.3        1002700200167 
7.54       0.06       112.07     50.89      6.2        6.5        1002700200168 
7.54       0.06       112.08     55.64      6.1        6.9        1002700200169 
7.54       0.06       123.67     80.45      6.1        6.4        1002700200170 
7.54       0.06       123.69     88.00      5.4        6.6        1002700200171 
7.54       0.06       130.83     98.37      5.7        7.1        1002700200172 
7.54       0.06       131.31     95.49      5.5        5.6        1002700200173 
7.54       0.06       137.92     123.15     5.2        6.7        1002700200174 
7.54       0.06       137.92     116.17     5.2        5.3        1002700200175 
7.60       0.10       23.80      363.99     4.0        5.8        1002700200176 
7.60       0.10       29.18      299.52     4.3        5.9        1002700200177 
7.60       0.10       34.54      237.19     4.2        5.4        1002700200178 
7.60       0.10       35.61      224.33     4.4        5.0        1002700200179 
7.60       0.10       40.95      173.62     4.3        5.8        1002700200180 
7.60       0.10       46.27      132.23     4.5        5.7        1002700200181 
7.60       0.10       50.51      96.24      4.6        5.4        1002700200182 
7.60       0.10       56.30      58.35      4.9        5.5        1002700200183 
7.60       0.10       62.07      33.82      6.1        5.8        1002700200184 
7.60       0.10       66.24      23.25      5.9        7.7        1002700200185 
7.60       0.10       71.93      10.22      9.6        9.8        1002700200186 
7.60       0.10       74.69      9.91       8.9        12.2       1002700200187 
7.60       0.10       77.59      6.91       12.1       12.4       1002700200188 
7.60       0.10       80.27      4.58       17.4       19.9       1002700200189 
7.60       0.10       85.81      8.43       12.5       12.9       1002700200190 
7.60       0.10       86.77      10.68      10.3       12.1       1002700200191 
7.60       0.10       92.31      14.64      8.9        10.7       1002700200192 
7.60       0.10       97.81      29.24      6.1        8.3        1002700200193 
7.60       0.10       99.79      28.69      6.3        7.6        1002700200194 
7.60       0.10       110.62     57.78      4.8        7.2        1002700200195 
7.60       0.10       122.25     76.37      4.2        5.0        1002700200196 
8.04       0.10       29.72      443.52     4.0        4.2        1002700200197 
8.04       0.10       37.75      280.98     4.3        4.5        1002700200198 
8.04       0.10       45.74      163.67     4.5        5.3        1002700200199 
8.04       0.10       51.04      108.09     4.8        5.1        1002700200200 
8.04       0.10       58.93      40.12      7.4        6.9        1002700200201 
8.04       0.10       66.75      11.27      13.0       14.1       1002700200202 
8.04       0.10       74.51      6.50       17.3       21.7       1002700200203 
8.04       0.10       82.17      12.13      13.4       13.9       1002700200204 
8.04       0.10       89.79      19.60      7.3        8.8        1002700200205 
8.04       0.10       97.30      25.78      7.1        9.1        1002700200206 
8.04       0.10       104.74     26.05      9.2        8.0        1002700200207 
8.04       0.10       112.09     25.81      7.9        9.2        1002700200208 
8.04       0.10       123.69     37.62      7.0        9.5        1002700200209 
8.04       0.10       130.83     42.74      6.7        7.7        1002700200210 
8.04       0.10       137.93     57.92      5.7        7.3        1002700200211 
8.50       0.08       24.88      289.11     4.0        6.9        1002700200212 
8.50       0.08       25.95      302.59     4.0        5.1        1002700200213 
8.50       0.08       30.26      234.43     4.0        5.7        1002700200214 
8.50       0.08       31.32      230.97     4.3        6.8        1002700200215 
8.50       0.08       35.61      176.51     4.2        6.5        1002700200216 
8.50       0.08       36.68      182.14     4.5        6.0        1002700200217 
8.50       0.08       40.95      127.30     4.3        7.5        1002700200218 
8.50       0.08       42.02      118.53     4.4        7.1        1002700200219 
8.50       0.08       45.21      93.37      4.0        6.6        1002700200220 
8.50       0.08       47.35      81.75      4.9        9.2        1002700200221 
8.50       0.08       51.03      51.93      4.4        7.5        1002700200222 
8.50       0.08       52.63      49.61      5.0        7.3        1002700200223 
8.50       0.08       56.84      26.51      5.1        8.5        1002700200224 
8.50       0.08       57.89      20.06      6.6        6.6        1002700200225 
8.50       0.08       61.03      12.94      6.6        12.0       1002700200226 
8.50       0.08       63.12      10.76      7.4        12.5       1002700200227 
8.50       0.08       66.77      5.14       10.6       23.3       1002700200228 
8.50       0.08       72.46      3.70       14.6       21.3       1002700200229 
8.50       0.08       73.48      5.63       12.9       11.5       1002700200230 
8.50       0.08       76.63      9.97       6.9        19.4       1002700200231 
8.50       0.08       82.20      17.71      5.9        18.2       1002700200232 
8.50       0.08       83.70      24.15      5.9        6.7        1002700200233 
8.50       0.08       87.76      27.71      5.2        9.4        1002700200234 
8.50       0.08       91.80      34.38      4.6        9.0        1002700200235 
8.50       0.08       93.79      40.23      5.3        5.9        1002700200236 
8.50       0.08       97.31      44.65      4.4        7.2        1002700200237 
8.50       0.08       102.76     46.61      4.3        6.3        1002700200238 
8.50       0.08       103.74     45.55      4.7        6.4        1002700200239 
8.50       0.08       106.70     46.48      4.3        7.4        1002700200240 
8.50       0.08       112.08     45.62      4.3        7.5        1002700200241 
8.50       0.08       117.42     43.96      4.4        7.6        1002700200242 
8.50       0.08       117.70     42.49      5.0        7.1        1002700200243 
8.56       0.05       10.83      421.24     5.1        5.6        1002700200244 
8.56       0.05       16.24      385.11     5.3        6.7        1002700200245 
8.56       0.05       16.24      384.32     4.9        5.1        1002700200246 
8.56       0.05       24.34      324.21     4.7        5.3        1002700200247 
8.56       0.05       24.34      320.42     5.4        4.4        1002700200248 
8.56       0.05       29.72      253.61     3.9        4.4        1002700200249 
8.56       0.05       34.00      209.74     4.0        4.2        1002700200250 
8.56       0.05       37.75      165.63     4.0        4.8        1002700200251 
8.56       0.05       42.02      123.37     4.2        4.1        1002700200252 
8.56       0.05       45.73      86.02      4.9        5.1        1002700200253 
8.56       0.05       45.74      90.95      4.5        4.6        1002700200254 
8.56       0.05       49.98      60.77      4.9        4.9        1002700200255 
8.56       0.05       51.03      56.77      4.9        5.2        1002700200256 
8.56       0.05       53.67      36.53      7.0        7.4        1002700200257 
8.56       0.05       58.92      19.88      7.6        8.0        1002700200258 
8.56       0.05       61.54      11.06      11.8       11.6       1002700200259 
8.56       0.05       66.75      5.03       13.1       13.1       1002700200260 
8.56       0.05       74.50      5.28       20.2       25.0       1002700200261 
8.56       0.05       74.51      4.44       18.7       16.8       1002700200262 
8.56       0.05       82.18      15.37      6.5        10.3       1002700200263 
8.56       0.05       82.19      15.26      7.4        10.4       1002700200264 
8.56       0.05       89.77      30.79      5.3        6.3        1002700200265 
8.56       0.05       89.77      30.84      5.3        6.4        1002700200266 
8.56       0.05       97.29      46.09      5.3        5.3        1002700200267 
8.56       0.05       104.72     51.11      4.7        5.1        1002700200268 
8.56       0.05       112.07     52.70      4.8        5.1        1002700200269 
8.56       0.05       123.67     45.47      6.5        5.1        1002700200270 
8.56       0.05       123.67     42.80      5.2        5.2        1002700200271 
8.56       0.05       130.83     35.36      6.9        7.1        1002700200272 
8.56       0.05       130.83     36.33      5.0        6.7        1002700200273 
8.56       0.05       137.92     25.76      7.9        5.8        1002700200274 
8.56       0.05       137.92     25.50      6.9        8.8        1002700200275 
ENDDATA            267          0                                 1002700200276 
ENDSUBENT          275          0                                 1002700299999 
NOSUBENT      10027003   19800725                             00001002700300001 
NOSUBENT      10027004   19800725                             00001002700400001 
NOSUBENT      10027005   19800725                             00001002700500001 
NOSUBENT      10027006   19800725                             00001002700600001 
NOSUBENT      10027007   19800725                             00001002700700001 
NOSUBENT      10027008   19800725                             00001002700800001 
NOSUBENT      10027009   19800725                             00001002700900001 
NOSUBENT      10027010   19800725                             00001002701000001 
NOSUBENT      10027011   19800725                             00001002701100001 
NOSUBENT      10027012   19800725                             00001002701200001 
NOSUBENT      10027013   19800725                             00001002701300001 
NOSUBENT      10027014   19800725                             00001002701400001 
NOSUBENT      10027015   19860129                             00001002701500001 
SUBENT        10027016   19990719                             00001002701600001 
BIB                  2          3                                 1002701600002 
REACTION   (6-C-12(N,INL)6-C-12,PAR,DA)                           1002701600003 
HISTORY    (19800723A) Subentries 16 - 23 combined                1002701600004 
           (19860129A) Subentries 15,16 combined.                 1002701600005 
ENDBIB               3          0                                 1002701600006 
COMMON               1          3                                 1002701600007 
E-LVL                                                             1002701600008 
MEV                                                               1002701600009 
4.430                                                             1002701600010 
ENDCOMMON            3          0                                 1002701600011 
DATA                 6        206                                 1002701600012 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1002701600013 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1002701600014 
6.01       0.07       17.81      29.00      19.1       18.8       1002701600015 
6.01       0.07       26.61      27.68      15.5       15.8       1002701600016 
6.01       0.07       32.48      27.40      13.3       13.3       1002701600017 
6.01       0.07       41.21      26.26      13.2       13.7       1002701600018 
6.01       0.07       49.82      23.57      14.3       14.8       1002701600019 
6.01       0.07       55.46      26.18      14.9       14.8       1002701600020 
6.01       0.07       63.89      23.43      16.4       16.5       1002701600021 
6.01       0.07       72.16      19.07      21.3       21.2       1002701600022 
6.01       0.07       80.21      22.58      25.1       25.5       1002701600023 
6.01       0.07       88.05      18.85      28.5       28.9       1002701600024 
6.37       0.13       26.20      23.25                            1002701600025 
6.37       0.13       31.96      22.02                            1002701600026 
6.37       0.13       31.97      21.39                            1002701600027 
6.37       0.13       37.13      22.55                            1002701600028 
6.37       0.13       37.70      23.83                            1002701600029 
6.37       0.13       43.40      20.68                            1002701600030 
6.37       0.13       49.61      21.97                            1002701600031 
6.37       0.13       54.08      19.86                            1002701600032 
6.37       0.13       54.10      20.95                            1002701600033 
6.37       0.13       60.18      19.91                            1002701600034 
6.37       0.13       60.19      20.62                            1002701600035 
6.37       0.13       60.28      24.16                            1002701600036 
6.37       0.13       66.21      20.06                            1002701600037 
6.37       0.13       66.24      21.40                            1002701600038 
6.37       0.13       70.55      19.92                            1002701600039 
6.37       0.13       76.47      17.59                            1002701600040 
6.37       0.13       82.30      17.64                            1002701600041 
6.37       0.13       86.45      18.71                            1002701600042 
6.37       0.13       92.14      16.16                            1002701600043 
6.37       0.13       97.69      16.48                            1002701600044 
6.37       0.13       101.66     18.10                            1002701600045 
6.37       0.13       107.14     15.05                            1002701600046 
6.37       0.13       112.45     19.34                            1002701600047 
6.37       0.13       116.75     18.61                            1002701600048 
6.37       0.13       126.60     18.80                            1002701600049 
6.44       0.07       17.47      23.56      22.2       22.9       1002701600050 
6.44       0.07       26.16      22.36      20.8       14.4       1002701600051 
6.44       0.07       31.90      20.29      8.6        8.6        1002701600052 
6.44       0.07       40.49      21.01      8.3        8.5        1002701600053 
6.44       0.07       48.96      24.08      8.3        9.6        1002701600054 
6.44       0.07       54.56      24.67      8.6        8.3        1002701600055 
6.44       0.07       62.85      22.85      8.9        9.4        1002701600056 
6.44       0.07       70.98      20.17      9.3        9.8        1002701600057 
6.44       0.07       79.02      18.88      10.8       10.9       1002701600058 
6.44       0.07       86.85      17.28      11.2       10.9       1002701600059 
6.44       0.07       94.56      14.92      12.6       12.5       1002701600060 
6.44       0.07       102.08     17.80      14.5       14.4       1002701600061 
6.44       0.07       109.45     19.85      15.3       14.7       1002701600062 
6.44       0.07       116.64     18.83      16.2       16.6       1002701600063 
6.44       0.07       127.83     23.39      22.7       22.2       1002701600064 
6.44       0.07       127.84     23.78      22.6       22.3       1002701600065 
6.44       0.07       127.85     24.36      23.3       23.2       1002701600066 
6.44       0.07       134.65     25.02      26.5       25.8       1002701600067 
6.44       0.07       134.65     27.30      26.1       26.0       1002701600068 
6.44       0.07       141.31     24.64      28.7       29.0       1002701600069 
6.44       0.07       141.32     24.31      28.9       29.0       1002701600070 
6.44       0.07       141.33     25.19      28.9       29.1       1002701600071 
7.03       0.06       31.44      13.64      8.0        8.9        1002701600072 
7.03       0.06       31.44      14.65      8.3        8.9        1002701600073 
7.03       0.06       39.90      14.39      8.2        8.5        1002701600074 
7.03       0.06       39.90      13.62      7.5        9.2        1002701600075 
7.03       0.06       43.81      16.24      7.3        7.7        1002701600076 
7.03       0.06       48.27      15.12      7.3        7.8        1002701600077 
7.03       0.06       48.29      15.48      7.4        7.7        1002701600078 
7.03       0.06       52.15      14.76      7.5        8.0        1002701600079 
7.03       0.06       53.81      15.52      6.9        7.0        1002701600080 
7.03       0.06       60.37      13.39      7.7        8.7        1002701600081 
7.03       0.06       62.01      14.00      7.0        7.5        1002701600082 
7.03       0.06       70.09      11.68      7.6        8.9        1002701600083 
7.03       0.06       78.04      10.66      8.0        8.9        1002701600084 
7.03       0.06       85.84      9.17       8.2        9.2        1002701600085 
7.03       0.06       93.55      9.10       7.4        8.2        1002701600086 
7.03       0.06       101.05     9.11       9.5        9.8        1002701600087 
7.03       0.06       108.44     10.30      9.3        9.6        1002701600088 
7.03       0.06       115.68     11.77      9.6        10.0       1002701600089 
7.03       0.06       126.94     13.93      9.6        9.8        1002701600090 
7.03       0.06       133.83     15.13      9.8        10.0       1002701600091 
7.03       0.06       140.60     14.87      10.4       11.0       1002701600092 
7.54       0.06       17.06      10.89      23.2       26.4       1002701600093 
7.54       0.06       25.55      13.53      23.8       20.4       1002701600094 
7.54       0.06       31.18      14.45      8.6        10.0       1002701600095 
7.54       0.06       39.57      16.39      6.6        8.5        1002701600096 
