ENTRY            10113   20000202                             00001011300000001 
SUBENT        10113001   20000202                             00001011300100001 
BIB                 13         27                                 1011300100002 
INSTITUTE  (1USAORL)                                              1011300100003 
REFERENCE  (R,ORNL-4807,197401)                                   1011300100004 
AUTHOR     (W.E.KINNEY,F.G.PEREY)                                 1011300100005 
TITLE      Ni neutron elastic- and inelastic-scattering cross     1011300100006 
            sections from 4.07 to 8.56 MeV                        1011300100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1011300100008 
            bunched.                                              1011300100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1011300100010 
            from 1 to 2 cm. Neutron energy resolution between     1011300100011 
            60 to 70 keV.                                         1011300100012 
SAMPLE     Solid right circular cylinder 1.523 cm diameter,       1011300100013 
            2.578 cm high placed 10 to 30 cm from gas cell.       1011300100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1011300100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1011300100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1011300100017 
            4 to 6 meters employed.                               1011300100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1011300100019 
            relative to n-p cross section.                        1011300100020 
CORRECTION  Corrected for multiple scattering and other finite    1011300100021 
            sample size effects.                                  1011300100022 
STATUS     (APRVD) Approved by authors.                           1011300100023 
           Data rec'd in private comm., Kinney, May 1974.         1011300100024 
HISTORY    (19760219C) Data added                                 1011300100025 
           (19820528A) Converted to REACTION formalism            1011300100026 
           (19840416A) BIB corrections.                           1011300100027 
           (20000202A) Converted to new date format, lower case.  1011300100028 
                       BIB corrections.                           1011300100029 
ENDBIB              27          0                                 1011300100030 
NOCOMMON             0          0                                 1011300100031 
ENDSUBENT           30          0                                 1011300199999 
SUBENT        10113002   20000202                             00001011300200001 
BIB                  3         11                                 1011300200002 
REACTION   (28-NI-0(N,EL)28-NI-0,,DA)                             1011300200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011300200004 
            . geometric parameters,                               1011300200005 
            . finite size corrections,                            1011300200006 
            . statistics,                                         1011300200007 
            . residual background effects due to peak stripping   1011300200008 
              procedures.                                         1011300200009 
            Does not include absolute error of + or - 7%,         1011300200010 
             estimated error in the absolute value of the         1011300200011 
             detector efficiency.                                 1011300200012 
HISTORY    (19860129A) REACTION product added.                    1011300200013 
ENDBIB              11          0                                 1011300200014 
NOCOMMON             0          0                                 1011300200015 
DATA                 6        115                                 1011300200016 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011300200017 
 4.92       0.06        55.81         50.62    17.0       18.5    1011300200059 
 4.92       0.06        63.37         20.14    22.5       19.6    1011300200060 
 4.92       0.06        70.94         20.68    38.0       38.0    1011300200061 
 4.92       0.06        78.46         31.87    31.8       31.8    1011300200062 
 4.92       0.06        85.98         41.66    29.7       29.7    1011300200063 
 4.92       0.06        95.98         44.24    10.5        8.3    1011300200064 
 4.92       0.06       103.46         42.34    10.6        9.4    1011300200065 
 4.92       0.06       110.92         40.83    11.0        6.8    1011300200066 
 4.92       0.06       122.34         29.18    12.3       10.0    1011300200067 
 4.92       0.06       129.76         21.56    17.7       11.9    1011300200068 
 4.92       0.06       137.18         16.10    21.4       14.8    1011300200069 
 5.23       0.05        70.92         30.68    10.8        6.2    1011300200070 
 5.23       0.05        78.46         36.11    12.1        9.6    1011300200071 
 5.23       0.05        85.98         41.60    12.5        7.3    1011300200072 
 5.50       0.05        48.23        135.02     7.2        5.6    1011300200073 
 5.50       0.05        55.80         51.97     7.7        9.6    1011300200074 
 5.50       0.05        63.37         26.03    10.7        6.2    1011300200075 
 6.44       0.07        15.27       2306.81     4.2        5.6    1011300200076 
 6.44       0.07        22.88       1437.00     4.3        5.8    1011300200077 
 6.44       0.07        27.96       1030.85     4.8        4.6    1011300200078 
 6.44       0.07        35.56        518.87     4.8        5.2    1011300200079 
 6.44       0.07        43.17        205.96     6.4        7.6    1011300200080 
 6.44       0.07        48.22        122.97     6.6        7.2    1011300200081 
 6.44       0.07        55.80         25.03    14.4       14.7    1011300200082 
 6.44       0.07        63.37          9.90    21.7       26.9    1011300200083 
 6.44       0.07        70.92         20.87    13.7       15.5    1011300200084 
 6.44       0.07        78.46         30.80    11.9       10.5    1011300200085 
 6.44       0.07        85.98         35.96     8.6        8.0    1011300200086 
 6.44       0.07        93.48         32.69     6.9       10.1    1011300200087 
 6.44       0.07       100.97         25.64     8.2        9.1    1011300200088 
 6.44       0.07       108.44         20.89     9.4        9.6    1011300200089 
 6.44       0.07       120.35         12.24    13.8       13.6    1011300200090 
 6.44       0.07       127.78          7.13    24.7       22.2    1011300200091 
 6.44       0.07       135.20          5.28    33.9       28.4    1011300200092 
 7.03       0.06        70.92         28.47     7.7        7.4    1011300200093 
 7.03       0.06        78.46         34.17     5.4        7.5    1011300200094 
 7.03       0.06        85.98         33.21     6.1        7.8    1011300200095 
 7.54       0.06        15.26       2211.87     4.4        6.1    1011300200096 
 7.54       0.06        22.88       1361.96     5.2        5.8    1011300200097 
 7.54       0.06        27.96        985.63     4.7        6.0    1011300200098 
 7.54       0.06        35.56        450.28     5.2        7.7    1011300200099 
 7.54       0.06        43.16        161.90     7.3        7.6    1011300200100 
 7.54       0.06        48.22         67.23    10.0        8.4    1011300200101 
 7.54       0.06        55.80          9.63    27.5       28.1    1011300200102 
 7.54       0.06        63.37          8.54    22.5       24.7    1011300200103 
 7.54       0.06        70.92         17.49    14.8       16.3    1011300200104 
 7.54       0.06        78.46         25.85     9.1       11.5    1011300200105 
 7.54       0.06        85.98         25.54    12.2       12.6    1011300200106 
 7.54       0.06        93.48         21.16    11.5       11.3    1011300200107 
 7.54       0.06       100.96         16.51    14.0       12.7    1011300200108 
 7.54       0.06       108.44          9.56    18.1       19.6    1011300200109 
 7.54       0.06       120.35          4.71    30.5       33.3    1011300200110 
 7.54       0.06       127.78          2.56    58.2       55.4    1011300200111 
 7.54       0.06       135.20          3.15    46.7       47.4    1011300200112 
 8.04       0.05        70.92         28.92     4.4       14.8    1011300200113 
 8.04       0.05        78.46         32.65     9.7        9.2    1011300200114 
 8.04       0.05        85.97         30.55    10.4        9.7    1011300200115 
 8.56       0.05        10.18       2772.73     4.4        5.1    1011300200116 
 8.56       0.05        15.26       2284.93     4.4        5.3    1011300200117 
 8.56       0.05        22.88       1372.74     4.5        7.8    1011300200118 
 8.56       0.05        27.95        895.69     4.9        6.1    1011300200119 
 8.56       0.05        35.56        376.33     5.7        6.9    1011300200120 
 8.56       0.05        43.16        124.19     7.6       10.8    1011300200121 
 8.56       0.05        48.22         58.77     8.8       14.9    1011300200122 
 8.56       0.05        55.80          6.73    25.8       46.7    1011300200123 
 8.56       0.05        63.37          5.82    33.0       37.7    1011300200124 
 8.56       0.05        70.92         15.61    13.9       19.0    1011300200125 
 8.56       0.05        78.46         18.32    13.7       16.8    1011300200126 
 8.56       0.05        85.98         20.43    14.9       13.6    1011300200127 
 8.56       0.05        93.48         18.87     7.3       16.6    1011300200128 
 8.56       0.05       100.96         14.17    11.5       13.9    1011300200129 
 8.56       0.05       108.43          9.47    15.5       20.1    1011300200130 
 8.56       0.05       120.35          4.71    32.2       29.3    1011300200131 
 8.56       0.05       127.78          3.38    37.4       41.2    1011300200132 
 8.56       0.05       135.20          2.54    52.8       52.5    1011300200133 
ENDDATA            117          0                                 1011300200134 
ENDSUBENT          133          0                                 1011300299999 
SUBENT        10113003   20000202                             00001011300300001 
BIB                  2         10                                 1011300300002 
REACTION   (28-NI-0(N,INL)28-NI-0,PAR,DA)                         1011300300003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011300300004 
            . geometric parameters,                               1011300300005 
            . finite size corrections,                            1011300300006 
            . statistics,                                         1011300300007 
            . residual background effects due to peak stripping   1011300300008 
              procedures.                                         1011300300009 
            Does not include absolute error of + or - 7%,         1011300300010 
             estimated error in the absolute value of the         1011300300011 
             detector efficiency.                                 1011300300012 
ENDBIB              10          0                                 1011300300013 
COMMON               2          3                                 1011300300014 
E-LVL      E-LVL                                                  1011300300015 
MEV        MEV                                                    1011300300016 
 1.333      1.450                                                 1011300300017 
ENDCOMMON            3          0                                 1011300300018 
DATA                 6         96                                 1011300300019 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011300300020 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011300300021 
 4.07       0.08        71.15         24.74    19.5       25.6    1011300300022 
 4.07       0.08        78.70         24.67    11.1       11.4    1011300300023 
 4.07       0.08        86.22         26.75     9.1       14.1    1011300300024 
 4.34       0.07        25.51         24.33    16.9       22.8    1011300300025 
 4.34       0.07        33.15         32.40    11.9       19.3    1011300300026 
 4.34       0.07        40.77         24.98    18.7       20.9    1011300300027 
 4.34       0.07        48.38         21.99    16.7       16.3    1011300300028 
 4.34       0.07        48.41         24.73    14.8       10.9    1011300300029 
 4.34       0.07        55.98         23.23    12.0       15.2    1011300300030 
 4.34       0.07        55.99         24.46    13.6       10.0    1011300300031 
 4.34       0.07        63.57         18.03    18.9       14.7    1011300300032 
 4.34       0.07        63.57         20.26    16.4       14.4    1011300300033 
 4.34       0.07        71.13         22.70    13.0       17.8    1011300300034 
 4.34       0.07        78.67         19.68    16.8       12.5    1011300300035 
 4.34       0.07        86.20         19.19    13.8       11.2    1011300300036 
 4.34       0.07        96.19         16.75    20.5       16.1    1011300300037 
 4.34       0.07       103.67         21.32    17.3       13.4    1011300300038 
 4.34       0.07       111.13         18.94    11.9       14.4    1011300300039 
 4.34       0.07       122.52         22.69    10.1       11.7    1011300300040 
 4.34       0.07       129.93         21.20    11.4       14.4    1011300300041 
 4.34       0.07       137.33         18.21    17.5       15.9    1011300300042 
 4.65       0.07        71.11         16.87    14.8       12.9    1011300300043 
 4.65       0.07        78.65         16.56    12.6       13.9    1011300300044 
 4.65       0.07        86.18         15.46    17.1       13.9    1011300300045 
 4.92       0.06        25.50         28.12    12.5       39.5    1011300300046 
 4.92       0.06        33.13         25.45    12.4       21.9    1011300300047 
 4.92       0.06        40.75         21.06    13.7       19.9    1011300300048 
 4.92       0.06        48.36         19.33    21.6       21.3    1011300300049 
 4.92       0.06        55.96         18.36    15.2       17.7    1011300300050 
 4.92       0.06        63.53         17.41    16.0       13.5    1011300300051 
 4.92       0.06        71.12         20.06    15.1       11.1    1011300300052 
 4.92       0.06        78.64         19.39    20.1       23.3    1011300300053 
 4.92       0.06        86.16         19.53    14.6       17.8    1011300300054 
 4.92       0.06        96.16         12.96    14.6       12.0    1011300300055 
 4.92       0.06       103.64         13.89    18.7       10.7    1011300300056 
 4.92       0.06       111.10         11.83    15.7       12.5    1011300300057 
 4.92       0.06       122.50         16.42    15.8        9.3    1011300300058 
 4.92       0.06       129.91         16.30    14.5       18.3    1011300300059 
 4.92       0.06       137.30         15.00    14.8       10.0    1011300300060 
 5.23       0.05        71.08         11.47    18.9        9.1    1011300300061 
 5.23       0.05        78.62         13.66    15.3       12.2    1011300300062 
 5.23       0.05        86.15         13.66    16.6       13.0    1011300300063 
 5.50       0.05        48.34         13.33    15.0       17.9    1011300300064 
 5.50       0.05        55.94         11.20    18.4       19.0    1011300300065 
 5.50       0.05        63.51         11.52    25.8       18.2    1011300300066 
 6.44       0.07        22.93         24.79    22.2       29.0    1011300300067 
 6.44       0.07        28.02         18.80    36.1       11.7    1011300300068 
 6.44       0.07        35.64         14.60    37.9       16.7    1011300300069 
 6.44       0.07        43.25         12.69    23.4       20.3    1011300300070 
 6.44       0.07        48.32         13.71    13.8       17.3    1011300300071 
 6.44       0.07        55.91         11.43    13.0       10.4    1011300300072 
 6.44       0.07        63.49          9.93     7.1       13.5    1011300300073 
 6.44       0.07        71.04          9.46    14.0       11.0    1011300300074 
 6.44       0.07        78.59          9.60    13.3       12.7    1011300300075 
 6.44       0.07        86.11         10.03    10.4       17.9    1011300300076 
 6.44       0.07        93.61          9.12    10.7       13.0    1011300300077 
 6.44       0.07       101.10          8.44    10.9       20.1    1011300300078 
 6.44       0.07       108.56          9.35    11.8       12.8    1011300300079 
 6.44       0.07       120.47          9.53     6.7       19.3    1011300300080 
 6.44       0.07       127.89          8.53    15.9       12.5    1011300300081 
 6.44       0.07       135.29          8.63     8.2       19.1    1011300300082 
 7.03       0.06        71.03          8.09     7.6       13.0    1011300300083 
 7.03       0.06        78.57          7.37    16.6       16.8    1011300300084 
 7.03       0.06        86.09          7.33    10.4       13.9    1011300300085 
 7.54       0.06        35.63         12.31    40.7       24.4    1011300300086 
 7.54       0.06        43.24         12.27    16.8       21.9    1011300300087 
 7.54       0.06        48.30          8.50    26.3       17.8    1011300300088 
 7.54       0.06        55.89          7.98    15.4       12.6    1011300300089 
 7.54       0.06        63.46          6.05    12.3       13.5    1011300300090 
 7.54       0.06        71.02          7.21    10.4       13.8    1011300300091 
 7.54       0.06        78.56          6.35    17.1       19.2    1011300300092 
 7.54       0.06        86.08          6.67    11.9       11.4    1011300300093 
 7.54       0.06        93.59          7.01    16.8       19.5    1011300300094 
 7.54       0.06       101.07          5.95    23.4       22.9    1011300300095 
 7.54       0.06       108.54          5.66    19.1       18.0    1011300300096 
 7.54       0.06       120.45          5.67    20.4       13.4    1011300300097 
 7.54       0.06       127.87          5.30    16.3       21.9    1011300300098 
 7.54       0.06       135.28          5.00    15.3       14.2    1011300300099 
 8.04       0.05        71.01          6.87    17.9       14.8    1011300300100 
 8.04       0.05        78.55          6.40    29.8       12.4    1011300300101 
 8.04       0.05        86.07          6.38    29.5       18.0    1011300300102 
 8.56       0.05        28.00         11.67    22.2       23.1    1011300300103 
 8.56       0.05        35.62         11.67    29.2       16.4    1011300300104 
 8.56       0.05        43.23          9.70    15.6       18.7    1011300300105 
 8.56       0.05        48.29          8.49    21.9       16.3    1011300300106 
 8.56       0.05        55.88          6.43    16.0       10.3    1011300300107 
 8.56       0.05        63.45          5.72    12.0       19.0    1011300300108 
 8.56       0.05        71.00          5.77    14.3       17.4    1011300300109 
 8.56       0.05        78.54          5.07    17.1       19.1    1011300300110 
 8.56       0.05        86.07          5.42    16.4       13.2    1011300300111 
 8.56       0.05        93.57          6.19    14.1       22.0    1011300300112 
 8.56       0.05       101.05          5.32    15.5       12.5    1011300300113 
 8.56       0.05       108.52          4.98    13.8       14.1    1011300300114 
 8.56       0.05       120.43          3.95    19.5       17.5    1011300300115 
 8.56       0.05       127.86          3.13    23.2       22.7    1011300300116 
 8.56       0.05       135.26          3.89    18.4       18.4    1011300300117 
ENDDATA             98          0                                 1011300300118 
ENDSUBENT          117          0                                 1011300399999 
SUBENT        10113004   20000202                             00001011300400001 
BIB                  4         12                                 1011300400002 
REACTION   (28-NI-0(N,EL)28-NI-0,,DA,,LEG/2L2)                    1011300400003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011300400004 
            . geometric parameters,                               1011300400005 
            . finite size corrections,                            1011300400006 
            . statistics,                                         1011300400007 
            . residual background effects due to peak stripping   1011300400008 
              procedures.                                         1011300400009 
            Does not include absolute error of + or - 7%,         1011300400010 
             estimated error in the absolute value of the         1011300400011 
             detector efficiency.                                 1011300400012 
STATUS     (DEP,10113002)                                         1011300400013 
HISTORY    (19860129A) BIB UPDATE.                                1011300400014 
ENDBIB              12          0                                 1011300400015 
NOCOMMON             0          0                                 1011300400016 
DATA                 5         47                                 1011300400017 
EN         EN-RSL     NUMBER     DATA       DATA-ERR              1011300400018 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1011300400019 
 4.34       0.07       0.         330.51294   1.0                 1011300400020 
 4.34       0.07       1.         226.07143   2.0                 1011300400021 
 4.34       0.07       2.         168.84064   2.0                 1011300400022 
 4.34       0.07       3.         125.09531   2.0                 1011300400023 
 4.34       0.07       4.          67.60181   4.0                 1011300400024 
 4.34       0.07       5.          26.00876   8.0                 1011300400025 
 4.34       0.07       6.           9.41905  19.0                 1011300400026 
 4.34       0.07       7.           2.20549  61.0                 1011300400027 
 4.34       0.07       8.          -0.04448                       1011300400028 
 4.92       0.06       0.         302.03101   1.0                 1011300400029 
 4.92       0.06       1.         221.71973   2.0                 1011300400030 
 4.92       0.06       2.         166.72736   2.0                 1011300400031 
 4.92       0.06       3.         123.88962   2.0                 1011300400032 
 4.92       0.06       4.          72.72191   3.0                 1011300400033 
 4.92       0.06       5.          32.75403   6.0                 1011300400034 
 4.92       0.06       6.          12.73978  13.0                 1011300400035 
 4.92       0.06       7.           3.86275  38.0                 1011300400036 
 4.92       0.06       8.           0.86518 104.0                 1011300400037 
 6.44       0.07       0.         334.37500   2.0                 1011300400038 
 6.44       0.07       1.         273.78955   2.0                 1011300400039 
 6.44       0.07       2.         213.88176   2.0                 1011300400040 
 6.44       0.07       3.         159.74303   2.0                 1011300400041 
 6.44       0.07       4.         105.06142   3.0                 1011300400042 
 6.44       0.07       5.          54.79439   4.0                 1011300400043 
 6.44       0.07       6.          23.45543   7.0                 1011300400044 
 6.44       0.07       7.           7.44447  15.0                 1011300400045 
 6.44       0.07       8.           1.87806  34.0                 1011300400046 
 7.54       0.06       0.         307.92725   2.0                 1011300400047 
 7.54       0.06       1.         263.34351   2.0                 1011300400048 
 7.54       0.06       2.         211.95624   2.0                 1011300400049 
 7.54       0.06       3.         161.85158   3.0                 1011300400050 
 7.54       0.06       4.         112.14278   3.0                 1011300400051 
 7.54       0.06       5.          65.06371   4.0                 1011300400052 
 7.54       0.06       6.          31.34418   7.0                 1011300400053 
 7.54       0.06       7.          12.52329  12.0                 1011300400054 
 7.54       0.06       8.           4.09562  24.0                 1011300400055 
 7.54       0.06       9.           0.78223  66.0                 1011300400056 
 8.56       0.05       0.         300.32471   2.0                 1011300400057 
 8.56       0.05       1.         260.01099   2.0                 1011300400058 
 8.56       0.05       2.         214.45067   2.0                 1011300400059 
 8.56       0.05       3.         167.13733   2.0                 1011300400060 
 8.56       0.05       4.         119.21698   2.0                 1011300400061 
 8.56       0.05       5.          72.81339   3.0                 1011300400062 
 8.56       0.05       6.          38.81360   5.0                 1011300400063 
 8.56       0.05       7.          18.00529   7.0                 1011300400064 
 8.56       0.05       8.           7.04049  12.0                 1011300400065 
 8.56       0.05       9.           1.93391  24.0                 1011300400066 
ENDDATA             49          0                                 1011300400067 
ENDSUBENT           66          0                                 1011300499999 
SUBENT        10113005   20000202                             00001011300500001 
BIB                  4         12                                 1011300500002 
REACTION   (28-NI-0(N,EL)28-NI-0,,SIG)                            1011300500003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011300500004 
            . geometric parameters,                               1011300500005 
            . finite size corrections,                            1011300500006 
            . statistics,                                         1011300500007 
            . residual background effects due to peak stripping   1011300500008 
              procedures.                                         1011300500009 
            . estimated error in the absolute value of detector   1011300500010 
              efficiency (7%).                                    1011300500011 
STATUS     (DEP,10113002) DETERMINED FROM MEASURED ANGULAR        1011300500012 
                          DISTRIBUTIONS.                          1011300500013 
HISTORY    (19860129A) BIB UPDATE.                                1011300500014 
ENDBIB              12          0                                 1011300500015 
NOCOMMON             0          0                                 1011300500016 
DATA                 4          5                                 1011300500017 
EN         EN-RSL     DATA       DATA-ERR                         1011300500018 
MEV        MEV        MB         PER-CENT                         1011300500019 
  4.34     0.07        2076.67     7.2                            1011300500020 
  4.92     0.06        1897.71     7.2                            1011300500021 
  6.44     0.07        2100.94     7.3                            1011300500022 
  7.54     0.06        1934.76     7.4                            1011300500023 
  8.56     0.05        1887.00     7.3                            1011300500024 
ENDDATA              7          0                                 1011300500025 
ENDSUBENT           24          0                                 1011300599999 
SUBENT        10113006   20000202                             00001011300600001 
BIB                  3         11                                 1011300600002 
REACTION   (28-NI-0(N,INL)28-NI-0,PAR,SIG)                        1011300600003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011300600004 
            . geometric parameters,                               1011300600005 
            . finite size corrections,                            1011300600006 
            . statistics,                                         1011300600007 
            . residual background effects due to peak stripping   1011300600008 
              procedures.                                         1011300600009 
            . estimated error in the absolute value of detector   1011300600010 
              efficiency (7%).                                    1011300600011 
STATUS     (DEP,10113003) DETERMINED FROM MEASURED ANGULAR        1011300600012 
                          DISTRIBUTIONS.                          1011300600013 
ENDBIB              11          0                                 1011300600014 
COMMON               2          3                                 1011300600015 
E-LVL      E-LVL                                                  1011300600016 
MEV        MEV                                                    1011300600017 
  1.333      1.450                                                1011300600018 
ENDCOMMON            3          0                                 1011300600019 
DATA                 4         11                                 1011300600020 
EN         EN-RSL     DATA       DATA-ERR                         1011300600021 
MEV        MEV        MB         PER-CENT                         1011300600022 
 4.07      0.08        321.26    10.2                             1011300600023 
 4.34      0.07        265.51     7.8                             1011300600024 
 4.65      0.07        204.24    10.5                             1011300600025 
 4.92      0.06        216.27     8.2                             1011300600026 
 5.23      0.05        160.80    10.5                             1011300600027 
 5.50      0.05        150.39    12.3                             1011300600028 
 6.44      0.07        131.76     8.1                             1011300600029 
 7.03      0.06         96.04     9.8                             1011300600030 
 7.54      0.06         85.80     9.0                             1011300600031 
 8.04      0.05         82.58    12.7                             1011300600032 
 8.56      0.05         72.46     8.5                             1011300600033 
ENDDATA             13          0                                 1011300600034 
ENDSUBENT           33          0                                 1011300699999 
SUBENT        10113007   20000202                             00001011300700001 
BIB                  3         11                                 1011300700002 
REACTION   (28-NI-60(N,EL)28-NI-60,,DA)                           1011300700003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011300700004 
            . geometric parameters,                               1011300700005 
            . finite size corrections,                            1011300700006 
            . statistics,                                         1011300700007 
            . residual background effects due to peak stripping   1011300700008 
              procedures.                                         1011300700009 
            Does not include absolute error of + or - 7%,         1011300700010 
             estimated error in the absolute value of the         1011300700011 
             detector efficiency.                                 1011300700012 
HISTORY    (19821203A) DATA ERROR CORRECTED.                      1011300700013 
ENDBIB              11          0                                 1011300700014 
NOCOMMON             0          0                                 1011300700015 
DATA                 6         42                                 1011300700016 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011300700017 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011300700018 
 4.34      0.07        10.18     1954.94     5.9        6.5       1011300700019 
 4.34      0.07        17.80     1458.84     5.9        8.3       1011300700020 
 4.34      0.07        17.80     1585.83     5.3        5.2       1011300700021 
 4.34      0.07        25.41     1087.56     5.8        8.6       1011300700022 
 4.34      0.07        25.41     1177.17     4.7        6.7       1011300700023 
