ENTRY            10550   20040517                             00001055000000001 
SUBENT        10550001   20040517                             00001055000100001 
BIB                 12         28                                 1055000100002 
INSTITUTE  (1USATNL,1USADKE,1USANCS)                              1055000100003 
REFERENCE  (J,NSE,68,38,1978)                                     1055000100004 
           (T,HOGUE,1977)                                         1055000100005 
AUTHOR     (H.H.Hogue,P.L.von Behren,D.H.Epperson,                1055000100006 
           S.G.Glendeinning,P.W.Lisowski,C.E.Nelson,H.W.Newson,   1055000100007 
           P.O.Purser,W.Tornow,C.R.Gould,L.W.Seagondollar)        1055000100008 
TITLE      Differential Elastic and Inelastic Scattering of       1055000100009 
            7 to 15-MeV Neutrons from Beryllium.                  1055000100010 
FACILITY   (VDG,1USATNL)                                          1055000100011 
INC-SOURCE (D-D) Deuterons on deuterium gas target                1055000100012 
METHOD     (TOF) Time-of-flight.                                  1055000100013 
DETECTOR   (SCIN) NE-218 scintillation detectors                  1055000100014 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) n-p scattering used to monitor  1055000100015 
           detector efficiency and normalize data.                1055000100016 
CORRECTION Data corrected for background and dead time in both    1055000100017 
           scattering sample and polyethelene normalization       1055000100018 
           sample. Also corrected for finite geometry,            1055000100019 
           detector efficiency, and multiple scattering.          1055000100020 
STATUS     (APRVD) Approved by F.O.Purser 1978/3/29               1055000100021 
            Data taken from private comm., Purser, 1977/5.        1055000100022 
HISTORY    (19760218C)                                            1055000100023 
           (19780329A) BIB update. Preliminary data replaced.     1055000100024 
            Converted to REACTION formalism.                      1055000100025 
           (19781128A) Reference update                           1055000100026 
           (19790604A) Reference update                           1055000100027 
           (19830928A) BIB correction, errors updated.            1055000100028 
           (19840706A) Carbon data moved to data set 12890        1055000100029 
           (20040517A) Converted to new date formats, lower case. 1055000100030 
ENDBIB              28          0                                 1055000100031 
NOCOMMON             0          0                                 1055000100032 
ENDSUBENT           31          0                                 1055000199999 
SUBENT        10550002   20040517                             00001055000200001 
BIB                  3          6                                 1055000200002 
REACTION   (4-BE-9(N,EL)4-BE-9,,DA)                               1055000200003 
SAMPLE     1.95 cm. diameter x 2.54 cm. long. 99.9% pure 9Be.     1055000200004 
ERR-ANALYS (ERR-T) Includes counting statistics, relative         1055000200005 
           detector efficiency, multiple scattering and           1055000200006 
           normalization uncertainty.                             1055000200007 
           (ERR-1) Normalization uncertainty.                     1055000200008 
ENDBIB               6          0                                 1055000200009 
NOCOMMON             0          0                                 1055000200010 
DATA                 5        246                                 1055000200011 
EN         ANG-CM     DATA-CM    ERR-T      ERR-1                 1055000200012 
 7.97       106.21      26.10      1.08       3.0                 1055000200057 
 7.97       111.01      26.48      1.10       3.0                 1055000200058 
 7.97       115.76      28.84      1.17       3.0                 1055000200059 
 7.97       120.50      28.00      1.12       3.0                 1055000200060 
 7.97       125.19      28.56      1.17       3.0                 1055000200061 
 7.97       129.85      26.34      1.07       3.0                 1055000200062 
 7.97       134.50      26.20      1.09       3.0                 1055000200063 
 7.97       139.11      22.24      0.95       3.0                 1055000200064 
 7.97       143.70      23.27      1.03       3.0                 1055000200065 
 7.97       148.26      22.22      0.97       3.0                 1055000200066 
 7.97       152.79      21.87      0.94       3.0                 1055000200067 
 7.97       157.28      20.34      0.91       3.0                 1055000200068 
 7.97       161.72      20.57      0.93       3.0                 1055000200069 
 8.96         6.91     686.00     35.97       3.0                 1055000200070 
 8.96        11.32     655.00     30.69       3.0                 1055000200071 
 8.96        14.41     640.00     30.49       3.0                 1055000200072 
 8.96        32.86     387.63     14.73       3.0                 1055000200073 
 8.96        38.17     298.20     11.49       3.0                 1055000200074 
 8.96        48.71     160.51      6.45       3.0                 1055000200075 
 8.96        59.15      70.78      3.06       3.0                 1055000200076 
 8.96        64.37      40.10      1.82       3.0                 1055000200077 
 8.96        69.70      22.67      1.21       3.0                 1055000200078 
 8.96        75.22      13.97      0.81       3.0                 1055000200079 
 8.96        80.90      11.86      0.65       3.0                 1055000200080 
 8.96        91.48      16.68      0.83       3.0                 1055000200081 
 8.96       101.31      21.65      1.04       3.0                 1055000200082 
 8.96       110.93      28.95      1.24       3.0                 1055000200083 
 8.96       120.42      25.98      1.05       3.0                 1055000200084 
 8.96       125.12      24.64      0.98       3.0                 1055000200085 
 8.96       129.80      24.30      1.00       3.0                 1055000200086 
 8.96       134.45      21.56      0.87       3.0                 1055000200087 
 8.96       139.09      20.55      0.85       3.0                 1055000200088 
 8.96       143.70      18.63      0.78       3.0                 1055000200089 
 8.96       148.27      20.13      0.84       3.0                 1055000200090 
 8.96       152.80      18.24      0.78       3.0                 1055000200091 
 8.96       157.29      18.31      0.80       3.0                 1055000200092 
 8.96       161.72      19.66      0.84       3.0                 1055000200093 
 9.96        27.54     479.29     18.21       3.0                 1055000200094 
 9.96        32.86     383.43     14.82       3.0                 1055000200095 
 9.96        38.16     297.02     11.60       3.0                 1055000200096 
 9.96        43.44     218.43      8.55       3.0                 1055000200097 
 9.96        48.69     155.80      6.24       3.0                 1055000200098 
 9.96        53.92      99.89      4.16       3.0                 1055000200099 
 9.96        59.15      64.11      2.77       3.0                 1055000200100 
 9.96        64.36      36.46      1.66       3.0                 1055000200101 
 9.96        69.70      20.97      1.01       3.0                 1055000200102 
 9.96        75.27      12.89      0.77       3.0                 1055000200103 
 9.96        80.94       9.50      0.52       3.0                 1055000200104 
 9.96        86.37      12.25      0.68       3.0                 1055000200105 
 9.96        91.49      15.24      0.74       3.0                 1055000200106 
 9.96        96.44      17.73      1.13       3.0                 1055000200107 
 9.96       101.30      21.58      0.96       3.0                 1055000200108 
 9.96       106.14      24.41      1.01       3.0                 1055000200109 
 9.96       110.93      24.98      0.99       3.0                 1055000200110 
 9.96       115.68      24.44      1.27       3.0                 1055000200111 
 9.96       120.41      23.32      0.90       3.0                 1055000200112 
 9.96       125.09      22.43      0.86       3.0                 1055000200113 
 9.96       129.76      19.59      0.79       3.0                 1055000200114 
 9.96       134.42      18.37      0.80       3.0                 1055000200115 
 9.96       139.04      16.17      0.70       3.0                 1055000200116 
 9.96       143.68      14.29      0.63       3.0                 1055000200117 
 9.96       148.28      14.87      0.69       3.0                 1055000200118 
 9.96       152.85      13.70      0.65       3.0                 1055000200119 
 9.96       157.34      13.83      0.70       3.0                 1055000200120 
 9.96       161.78      15.85      0.80       3.0                 1055000200121 
10.95         3.52     763.00     41.27       3.0                 1055000200122 
10.95         7.93     752.00     37.00       3.0                 1055000200123 
10.95        11.81     712.00     35.60       3.0                 1055000200124 
10.95        16.48     666.00     32.24       3.0                 1055000200125 
10.95        27.49     453.85     17.40       3.0                 1055000200126 
10.95        32.78     364.17     14.14       3.0                 1055000200127 
10.95        38.08     272.41     10.58       3.0                 1055000200128 
10.95        43.35     201.45      7.90       3.0                 1055000200129 
10.95        48.59     144.96      5.84       3.0                 1055000200130 
10.95        53.81      90.43      3.87       3.0                 1055000200131 
10.95        59.01      53.66      2.43       3.0                 1055000200132 
10.95        64.25      29.50      1.45       3.0                 1055000200133 
10.95        69.68      16.49      0.89       3.0                 1055000200134 
10.95        75.42       8.75      0.50       3.0                 1055000200135 
10.95        81.14      10.21      0.59       3.0                 1055000200136 
10.95        86.46      13.00      0.66       3.0                 1055000200137 
10.95        91.47      15.84      0.73       3.0                 1055000200138 
10.95        96.39      18.35      0.79       3.0                 1055000200139 
10.95       101.24      19.64      0.82       3.0                 1055000200140 
10.95       106.07      22.77      0.89       3.0                 1055000200141 
10.95       110.86      23.57      0.91       3.0                 1055000200142 
10.95       115.63      22.35      0.87       3.0                 1055000200143 
10.95       120.34      20.59      0.83       3.0                 1055000200144 
10.95       125.03      18.42      0.77       3.0                 1055000200145 
10.95       129.71      17.79      0.84       3.0                 1055000200146 
10.95       134.37      13.57      0.63       3.0                 1055000200147 
10.95       139.03      12.76      0.62       3.0                 1055000200148 
10.95       143.68      11.73      0.60       3.0                 1055000200149 
10.95       148.30      12.14      0.63       3.0                 1055000200150 
10.95       152.88      11.62      0.62       3.0                 1055000200151 
10.95       157.39      12.91      0.67       3.0                 1055000200152 
10.95       161.81      14.04      0.72       3.0                 1055000200153 
12.04        27.58     454.53     17.81       3.0                 1055000200154 
12.04        32.87     360.39     14.29       3.0                 1055000200155 
12.04        38.17     274.87     11.12       3.0                 1055000200156 
12.04        43.44     199.76      8.53       3.0                 1055000200157 
12.04        48.69     139.54      6.03       3.0                 1055000200158 
12.04        53.93      82.08      3.74       3.0                 1055000200159 
12.04        59.14      53.87      2.64       3.0                 1055000200160 
12.04        64.39      28.99      1.50       3.0                 1055000200161 
12.04        69.82      16.76      0.95       3.0                 1055000200162 
12.04        75.50       9.77      0.60       3.0                 1055000200163 
12.04        81.16       9.25      0.51       3.0                 1055000200164 
12.04        86.48      11.91      0.60       3.0                 1055000200165 
12.04        91.54      14.48      0.71       3.0                 1055000200166 
12.04        96.46      17.66      0.76       3.0                 1055000200167 
12.04       101.33      19.04      0.77       3.0                 1055000200168 
12.04       106.16      20.63      0.80       3.0                 1055000200169 
12.04       110.96      20.95      0.82       3.0                 1055000200170 
12.04       115.71      19.78      0.78       3.0                 1055000200171 
12.04       120.43      18.76      0.76       3.0                 1055000200172 
12.04       125.11      17.26      0.74       3.0                 1055000200173 
12.04       129.77      15.01      0.67       3.0                 1055000200174 
12.04       134.41      12.88      0.61       3.0                 1055000200175 
12.04       143.72       9.68      0.52       3.0                 1055000200176 
12.04       148.37       9.19      0.51       3.0                 1055000200177 
12.04       152.98       8.34      0.46       3.0                 1055000200178 
12.04       157.51      10.82      0.57       3.0                 1055000200179 
12.04       161.95      10.61      0.59       3.0                 1055000200180 
12.94        27.63     454.96     23.35       4.59                1055000200181 
12.94        32.92     359.36     18.59       4.59                1055000200182 
12.94        38.21     269.78     13.96       4.59                1055000200183 
12.94        43.47     187.14      9.79       4.59                1055000200184 
12.94        48.71     128.40      6.73       4.59                1055000200185 
12.94        53.92      78.72      4.19       4.59                1055000200186 
12.94        59.14      48.35      2.62       4.59                1055000200187 
12.94        64.42      24.73      1.39       4.59                1055000200188 
12.94        69.90      13.49      0.81       4.59                1055000200189 
12.94        75.66       8.58      0.55       4.59                1055000200190 
12.94        81.29       8.41      0.55       4.59                1055000200191 
12.94        86.55      10.72      0.67       4.59                1055000200192 
12.94        91.55      14.87      0.84       4.59                1055000200193 
12.94        96.48      16.04      0.89       4.59                1055000200194 
12.94       101.36      17.36      0.94       4.59                1055000200195 
12.94       106.18      19.25      1.00       4.59                1055000200196 
12.94       110.98      17.36      0.92       4.59                1055000200197 
12.94       120.45      17.65      0.92       4.59                1055000200198 
12.94       125.14      13.45      0.75       4.59                1055000200199 
12.94       129.79      12.07      0.68       4.59                1055000200200 
12.94       134.44      10.76      0.64       4.59                1055000200201 
12.94       139.08       9.51      0.60       4.59                1055000200202 
12.94       143.74       7.51      0.49       4.59                1055000200203 
12.94       148.41       6.25      0.42       4.59                1055000200204 
12.94       153.03       7.49      0.48       4.59                1055000200205 
12.94       157.58       7.92      0.52       4.59                1055000200206 
12.94       162.00       9.84      0.62       4.59                1055000200207 
13.94         3.45     860.00     60.30       4.59                1055000200208 
13.94         7.85     833.00     51.27       4.59                1055000200209 
13.94        11.74     758.00     46.15       4.59                1055000200210 
13.94        16.48     707.00     43.51       4.59                1055000200211 
13.94        27.57     438.69     22.40       4.59                1055000200212 
13.94        43.44     192.53      9.98       4.59                1055000200213 
13.94        48.68     118.99      6.26       4.59                1055000200214 
13.94        64.41      24.03      1.40       4.59                1055000200215 
13.94        75.62       9.23      0.59       4.59                1055000200216 
13.94        86.48      10.41      0.63       4.59                1055000200217 
13.94        91.50      13.20      0.73       4.59                1055000200218 
13.94        96.42      16.40      0.88       4.59                1055000200219 
13.94       101.30      17.37      0.93       4.59                1055000200220 
13.94       106.12      17.77      0.93       4.59                1055000200221 
13.94       110.91      17.11      0.92       4.59                1055000200222 
13.94       115.67      16.44      0.91       4.59                1055000200223 
13.94       120.38      14.17      0.81       4.59                1055000200224 
13.94       125.04      14.40      0.84       4.59                1055000200225 
13.94       129.71      10.78      0.65       4.59                1055000200226 
13.94       134.35      10.38      0.80       4.59                1055000200227 
13.94       139.00       6.94      0.45       4.59                1055000200228 
13.94       143.68       6.20      0.42       4.59                1055000200229 
13.94       148.37       5.34      0.38       4.59                1055000200230 
13.94       153.01       6.30      0.43       4.59                1055000200231 
13.94       157.55       6.44      0.49       4.59                1055000200232 
13.94       161.98       8.63      0.58       4.59                1055000200233 
14.94        27.55     423.71     29.55       5.48                1055000200234 
14.94        32.84     421.37     29.59       5.48                1055000200235 
14.94        38.15     250.75     17.92       5.48                1055000200236 
14.94        43.41     224.06     16.62       5.48                1055000200237 
14.94        48.64     119.42      8.86       5.48                1055000200238 
14.94        53.85      78.25      6.24       5.48                1055000200239 
14.94        59.05      39.98      3.34       5.48                1055000200240 
14.94        64.31      22.69      2.06       5.48                1055000200241 
14.94        69.84      11.20      1.14       5.48                1055000200242 
14.94        75.71       7.46      0.80       5.48                1055000200243 
14.94        81.35       7.20      0.75       5.48                1055000200244 
14.94        96.43      14.39      1.20       5.48                1055000200245 
14.94       101.29      15.41      1.28       5.48                1055000200246 
14.94       106.12      17.20      1.40       5.48                1055000200247 
14.94       110.91      15.03      1.36       5.48                1055000200248 
14.94       115.66      16.40      1.52       5.48                1055000200249 
14.94       120.38      12.88      1.24       5.48                1055000200250 
14.94       125.05      11.00      1.13       5.48                1055000200251 
14.94       129.70       9.03      0.93       5.48                1055000200252 
14.94       134.32       7.60      0.84       5.48                1055000200253 
14.94       138.96       5.31      0.62       5.48                1055000200254 
14.94       143.65       4.63      0.59       5.48                1055000200255 
14.94       148.35       4.71      0.61       5.48                1055000200256 
14.94       153.03       4.10      0.56       5.48                1055000200257 
14.94       157.59       4.71      0.68       5.48                1055000200258 
14.94       162.03       5.76      0.82       5.48                1055000200259 
ENDDATA            248          0                                 1055000200260 
ENDSUBENT          259          0                                 1055000299999 
SUBENT        10550003   20040517                             00001055000300001 
BIB                  4          4                                 1055000300002 
REACTION   (4-BE-9(N,EL)4-BE-9,,DA,,LEG)                          1055000300003 
SAMPLE     1.95 cm. diameter x 2.54 cm. long. 99.9% pure 9Be.     1055000300004 
ERR-ANALYS (DATA-ERR) Fitting error.                              1055000300005 
STATUS     (DEP,10550002)                                         1055000300006 
ENDBIB               4          0                                 1055000300007 
NOCOMMON             0          0                                 1055000300008 
DATA                 4         63                                 1055000300009 
EN         NUMBER-CM  DATA-CM    DATA-ERR                         1055000300010 
MEV        NO-DIM     MB/SR      MB/SR                            1055000300011 
 6.97       0.          92.996    1.117                           1055000300012 
 6.97       1.         169.679    2.983                           1055000300013 
 6.97       2.         195.415    4.196                           1055000300014 
 6.97       3.         141.979    4.544                           1055000300015 
 6.97       4.          54.244    4.174                           1055000300016 
 6.97       5.          11.371    2.996                           1055000300017 
 6.97       6.           2.626    1.771                           1055000300018 
 7.97       0.          91.808    1.100                           1055000300019 
 7.97       1.         172.360    2.944                           1055000300020 
 7.97       2.         199.196    4.111                           1055000300021 
 7.97       3.         149.509    4.372                           1055000300022 
 7.97       4.          60.910    3.939                           1055000300023 
 7.97       5.          11.257    2.774                           1055000300024 
 7.97       6.           2.550    1.629                           1055000300025 
 8.96       0.          91.430    1.103                           1055000300026 
 8.96       1.         176.506    2.839                           1055000300027 
 8.96       2.         205.925    3.702                           1055000300028 
 8.96       3.         161.935    3.748                           1055000300029 
 8.96       4.          73.510    3.426                           1055000300030 
 8.96       5.          13.501    2.657                           1055000300031 
 8.96       6.           1.954    1.614                           1055000300032 
 9.96       0.          90.468    0.815                           1055000300033 
 9.96       1.         182.229    2.183                           1055000300034 
 9.96       2.         212.849    3.013                           1055000300035 
 9.96       3.         172.950    3.109                           1055000300036 
 9.96       4.          84.985    2.731                           1055000300037 
 9.96       5.          20.432    1.902                           1055000300038 
 9.96       6.           5.851    1.074                           1055000300039 
10.95       0.          85.143    0.844                           1055000300040 
10.95       1.         175.188    2.211                           1055000300041 
10.95       2.         207.117    2.956                           1055000300042 
10.95       3.         174.221    3.040                           1055000300043 
10.95       4.          93.543    2.724                           1055000300044 
10.95       5.          24.941    1.956                           1055000300045 
10.95       6.           6.747    1.189                           1055000300046 
12.04       0.          83.346    0.930                           1055000300047 
12.04       1.         174.864    2.482                           1055000300048 
12.04       2.         204.551    3.389                           1055000300049 
12.04       3.         172.692    3.484                           1055000300050 
12.04       4.          93.232    3.001                           1055000300051 
12.04       5.          27.088    2.022                           1055000300052 
12.04       6.           7.788    1.076                           1055000300053 
12.94       0.          81.224    1.335                           1055000300054 
12.94       1.         175.042    3.565                           1055000300055 
12.94       2.         206.298    4.840                           1055000300056 
12.94       3.         177.176    4.887                           1055000300057 
12.94       4.         100.621    4.131                           1055000300058 
12.94       5.          32.040    2.761                           1055000300059 
12.94       6.           9.480    1.463                           1055000300060 
13.94       0.          81.054    1.347                           1055000300061 
13.94       1.         177.471    3.521                           1055000300062 
13.94       2.         209.790    4.644                           1055000300063 
13.94       3.         182.647    4.699                           1055000300064 
13.94       4.         107.920    4.077                           1055000300065 
13.94       5.          37.544    2.845                           1055000300066 
13.94       6.          12.030    1.496                           1055000300067 
14.94       0.          79.309    2.258                           1055000300068 
14.94       1.         177.065    6.007                           1055000300069 
14.94       2.         207.781    8.123                           1055000300070 
14.94       3.         180.167    8.195                           1055000300071 
14.94       4.         104.342    6.912                           1055000300072 
14.94       5.          34.325    4.622                           1055000300073 
14.94       6.           8.938    2.439                           1055000300074 
ENDDATA             65          0                                 1055000300075 
ENDSUBENT           74          0                                 1055000399999 
SUBENT        10550004   20040517                             00001055000400001 
BIB                  4          5                                 1055000400002 
REACTION   (4-BE-9(N,EL)4-BE-9,,SIG)                              1055000400003 
ANALYSIS   (INTAD)                                                1055000400004 
ERR-ANALYS (DATA-ERR) Fitting error.                              1055000400005 
STATUS     (DEP,10550002) Determined from measured angular        1055000400006 
           distributions.                                         1055000400007 
ENDBIB               5          0                                 1055000400008 
NOCOMMON             0          0                                 1055000400009 
DATA                 3          9                                 1055000400010 
EN         DATA       DATA-ERR                                    1055000400011 
MEV        MB         MB                                          1055000400012 
 6.97       1168.6      37.7                                      1055000400013 
 7.97       1153.7      37.2                                      1055000400014 
 8.97       1148.9      37.1                                      1055000400015 
 9.96       1136.9      35.6                                      1055000400016 
10.95       1069.9      33.8                                      1055000400017 
12.04       1047.4      33.5                                      1055000400018 
12.94       1020.7      49.7                                      1055000400019 
13.94       1018.6      49.7                                      1055000400020 
14.93        996.6      61.5                                      1055000400021 
ENDDATA             11          0                                 1055000400022 
ENDSUBENT           21          0                                 1055000499999 
SUBENT        10550005   20040517                             00001055000500001 
BIB                  4          7                                 1055000500002 
REACTION   (4-BE-9(N,INL)4-BE-9,PAR,DA)                           1055000500003 
SAMPLE     1.95 cm. diameter x 2.54 cm. long. 99.9% pure 9Be.     1055000500004 
ERR-ANALYS (ERR-T) Includes counting statistics, relative         1055000500005 
           detector efficiency, multiple scattering and           1055000500006 
           normalization uncertainty.                             1055000500007 
           (ERR-1) Normalization uncertainty.                     1055000500008 
HISTORY    (19830928A) Normalization uncertainty added.           1055000500009 
ENDBIB               7          0                                 1055000500010 
COMMON               1          3                                 1055000500011 
Q-VAL                                                             1055000500012 
MEV                                                               1055000500013 
-2.43                                                             1055000500014 
ENDCOMMON            3          0                                 1055000500015 
DATA                 5        229                                 1055000500016 
EN         ANG-CM     DATA-CM    ERR-T      ERR-1                 1055000500017 
MEV        ADEG       MB/SR      MB/SR      PER-CENT              1055000500018 
 6.97        28.52     33.05      1.57        3.0                 1055000500019 
 6.97        34.03     29.40      1.44        3.0                 1055000500020 
 6.97        39.53     31.37      1.52        3.0                 1055000500021 
 6.97        45.04     23.47      1.41        3.0                 1055000500022 
 6.97        50.51     27.74      1.34        3.0                 1055000500023 
 6.97        55.96     23.31      1.34        3.0                 1055000500024 
 6.97        61.38     25.77      1.31        3.0                 1055000500025 
 6.97        66.74     22.08      1.25        3.0                 1055000500026 
 6.97        72.04     23.65      1.26        3.0                 1055000500027 
 6.97        77.29     22.14      1.22        3.0                 1055000500028 
 6.97        82.48     24.06      1.25        3.0                 1055000500029 
 6.97        87.59     22.41      1.27        3.0                 1055000500030 
 6.97        92.64     24.39      1.24        3.0                 1055000500031 
 6.97        97.63     25.84      1.38        3.0                 1055000500032 
 6.97       102.57     26.27      1.35        3.0                 1055000500033 
 6.97       107.44     25.29      1.37        3.0                 1055000500034 
 6.97       112.25     25.56      1.32        3.0                 1055000500035 
 6.97       117.00     25.48      1.43        3.0                 1055000500036 
 6.97       121.70     22.78      1.29        3.0                 1055000500037 
 6.97       126.33     23.29      1.28        3.0                 1055000500038 
 6.97       130.94     21.63      1.21        3.0                 1055000500039 
 6.97       135.53     20.69      1.16        3.0                 1055000500040 
 6.97       140.07     18.00      1.13        3.0                 1055000500041 
 6.97       144.57     18.42      1.10        3.0                 1055000500042 
 6.97       149.02     15.69      0.97        3.0                 1055000500043 
 6.97       153.42     14.57      0.98        3.0                 1055000500044 
 6.97       157.77     14.81      0.98        3.0                 1055000500045 
 6.97       162.07     13.83      0.93        3.0                 1055000500046 
 7.97        28.53     31.22      1.43        3.0                 1055000500047 
 7.97        34.00     27.27      1.29        3.0                 1055000500048 
 7.97        39.49     28.76      1.30        3.0                 1055000500049 
 7.97        44.96     24.27      1.18        3.0                 1055000500050 
 7.97        50.42     24.84      1.23        3.0                 1055000500051 
 7.97        55.83     23.14      1.11        3.0                 1055000500052 
 7.97        61.23     24.22      1.17        3.0                 1055000500053 
 7.97        66.56     21.80      1.08        3.0                 1055000500054 
 7.97        71.86     23.42      1.17        3.0                 1055000500055 
 7.97        77.12     21.17      1.07        3.0                 1055000500056 
 7.97        82.32     21.49      1.08        3.0                 1055000500057 
 7.97        87.46     22.28      1.09        3.0                 1055000500058 
 7.97        92.55     21.41      1.08        3.0                 1055000500059 
 7.97        97.56     20.46      1.01        3.0                 1055000500060 
 7.97       102.50     22.69      1.12        3.0                 1055000500061 
 7.97       107.38     20.47      1.06        3.0                 1055000500062 
 7.97       112.21     20.84      1.09        3.0                 1055000500063 
 7.97       116.97     18.75      1.10        3.0                 1055000500064 
 7.97       121.69     20.20      1.14        3.0                 1055000500065 
 7.97       126.34     20.07      1.10        3.0                 1055000500066 
 7.97       130.95     19.90      1.12        3.0                 1055000500067 
 7.97       135.52     17.14      1.03        3.0                 1055000500068 
 7.97       140.03     16.45      1.07        3.0                 1055000500069 
 7.97       144.50     14.24      1.00        3.0                 1055000500070 
 7.97       148.93     13.86      0.91        3.0                 1055000500071 
 7.97       153.33     13.15      0.85        3.0                 1055000500072 
 7.97       157.69     11.68      0.78        3.0                 1055000500073 
