ENTRY            13787   20140416                             14011378700000001 
SUBENT        13787001   20140416                             14011378700100001 
BIB                 14         31                                 1378700100002 
INSTITUTE  (1USALRL,1USALAS)                                      1378700100003 
REFERENCE  (J,PR/C,65,021601,200202)                              1378700100004 
           (J,NSTS,2,620,2002)                                    1378700100005 
AUTHOR     (L.A.Bernstein,J.A.Becker,P.E.Garrett,W.Younes,        1378700100006 
           D.P.McNabb,D.E.Archer,C.A.McGrath,H.Chen,W.E.Ormand,   1378700100007 
           M.A.Stoyer,R.O.Nelson,M.B.Chadwick,G.D.Johns,          1378700100008 
           W.S.Wilburn,M.Devlin,D.M.Drake,P.G.Young)              1378700100009 
TITLE      239Pu(n,2n)238Pu cross section deduced using a         1378700100010 
            combination of experiment and theory                  1378700100011 
FACILITY   (MESON,1USALAS) LANSCE/WNR facility.                   1378700100012 
INC-SOURCE (SPALL) Protons on tungsten target.                    1378700100013 
SAMPLE     Two 98.014% enriched 239Pu targets, 0.0277- and        1378700100014 
            0.0500-cm thick.                                      1378700100015 
METHOD     (TOF). 20.34-m flight path.                            1378700100016 
DETECTOR   (GE-IN) GEANIE spectrometer, consisting of 15 coaxial  1378700100017 
            Ge detectors (9 Compton suppressed), and 11 planar    1378700100018 
            Compton suppressed Ge detectors.                      1378700100019 
MONITOR    Detector array efficiency measured using set of        1378700100020 
            calibrated sources.                                   1378700100021 
           Neutron fluence measured using fission chambers        1378700100022 
            containing 235U and 238U.                             1378700100023 
CORRECTION Corrected for deadtime and background.                 1378700100024 
ERR-ANALYS (DATA-ERR) Contributions to uncertainty not given.     1378700100025 
           (ERR-1) Uncertainty due to gamma-ray statistics and    1378700100026 
            peak-fitting.                                         1378700100027 
STATUS     (TABLE) Data received by e-mail from L. Bernstein,     1378700100028 
            16 April 2002.                                        1378700100029 
           No reply from L. Bernstein to author proof.            1378700100030 
HISTORY    (20020417C)                                            1378700100031 
           (20050918C) DR Second reference added                  1378700100032 
           (20140416U) SD: Ref. C, 2001TSUKUB, 1-> J, NSTS, 2.    1378700100033 
ENDBIB              31          0                                 1378700100034 
NOCOMMON             0          0                                 1378700100035 
ENDSUBENT           34          0                                 1378700199999 
SUBENT        13787002   20020417                             00001378700200001 
BIB                  1          1                                 1378700200002 
REACTION   (94-PU-239(N,2N)94-PU-238,PAR,SIG,G)                   1378700200003 
ENDBIB               1          0                                 1378700200004 
NOCOMMON             0          0                                 1378700200005 
DATA                 6        400                                 1378700200006 
E          EN         EN-ERR     DATA       DATA-ERR   ERR-1      1378700200007 
 154.4        6.500      0.195      0.0125     0.0031     0.0029  1378700200044 
 154.4        6.969      0.215      0.0218     0.0034     0.0030  1378700200045 
 154.4        7.498      0.243      0.0336     0.0041     0.0032  1378700200046 
 154.4        8.105      0.272      0.0450     0.0047     0.0032  1378700200047 
 154.4        8.773      0.306      0.0498     0.0051     0.0033  1378700200048 
 154.4        9.520      0.346      0.0614     0.0059     0.0034  1378700200049 
 154.4       10.392      0.395      0.0814     0.0073     0.0037  1378700200050 
 154.4       11.373      0.453      0.0928     0.0082     0.0040  1378700200051 
 154.4       12.499      0.525      0.0922     0.0082     0.0041  1378700200052 
 154.4       13.824      0.606      0.0721     0.0070     0.0043  1378700200053 
 154.4       15.359      0.719      0.0527     0.0059     0.0042  1378700200054 
 154.4       17.183      0.846      0.0443     0.0054     0.0042  1378700200055 
 154.4       19.336      1.018      0.0343     0.0048     0.0040  1378700200056 
 154.4       21.960      1.225      0.0347     0.0047     0.0038  1378700200057 
 154.4       25.121      1.516      0.0245     0.0040     0.0036  1378700200058 
 210.0        1.321      0.018      0.0117     0.0048     0.0048  1378700200059 
 210.0        1.365      0.019     -0.0047     0.0042     0.0042  1378700200060 
 210.0        1.409      0.019     -0.0009     0.0042     0.0042  1378700200061 
 210.0        1.455      0.021      0.0044     0.0040     0.0040  1378700200062 
 210.0        1.504      0.022     -0.0002     0.0038     0.0038  1378700200063 
 210.0        1.556      0.023     -0.0045     0.0036     0.0036  1378700200064 
 210.0        1.610      0.024     -0.0066     0.0035     0.0035  1378700200065 
 210.0        1.667      0.025      0.0044     0.0035     0.0035  1378700200066 
 210.0        1.728      0.027      0.0004     0.0035     0.0035  1378700200067 
 210.0        1.792      0.028     -0.0013     0.0032     0.0032  1378700200068 
 210.0        1.858      0.029      0.0004     0.0032     0.0032  1378700200069 
 210.0        1.929      0.032     -0.0027     0.0030     0.0030  1378700200070 
 210.0        2.004      0.033      0.0035     0.0031     0.0031  1378700200071 
 210.0        2.084      0.035      0.0021     0.0030     0.0030  1378700200072 
 210.0        2.169      0.037     -0.0015     0.0028     0.0028  1378700200073 
 210.0        2.259      0.040      0.0010     0.0028     0.0028  1378700200074 
 210.0        2.354      0.042      0.0022     0.0027     0.0027  1378700200075 
 210.0        2.455      0.045     -0.0062     0.0028     0.0028  1378700200076 
 210.0        2.564      0.048     -0.0059     0.0028     0.0028  1378700200077 
 210.0        2.680      0.052     -0.0025     0.0028     0.0028  1378700200078 
 210.0        2.802      0.055      0.0010     0.0028     0.0028  1378700200079 
 210.0        2.938      0.060     -0.0003     0.0028     0.0028  1378700200080 
 210.0        3.078      0.063     -0.0012     0.0026     0.0026  1378700200081 
 210.0        3.231      0.068     -0.0001     0.0026     0.0026  1378700200082 
 210.0        3.396      0.074      0.0017     0.0026     0.0026  1378700200083 
 210.0        3.574      0.079      0.0047     0.0027     0.0027  1378700200084 
 210.0        3.766      0.086      0.0043     0.0025     0.0025  1378700200085 
 210.0        3.973      0.093      0.0008     0.0024     0.0024  1378700200086 
 210.0        4.200      0.101     -0.0023     0.0022     0.0022  1378700200087 
 210.0        4.445      0.110     -0.0005     0.0022     0.0022  1378700200088 
 210.0        4.713      0.119      0.0044     0.0022     0.0022  1378700200089 
 210.0        5.001      0.132     -0.0019     0.0017     0.0017  1378700200090 
 210.0        5.325      0.144      0.0020     0.0017     0.0017  1378700200091 
 210.0        5.678      0.159      0.0025     0.0017     0.0017  1378700200092 
 210.0        6.064      0.176      0.0004     0.0017     0.0017  1378700200093 
 210.0        6.500      0.195     -0.0018     0.0016     0.0016  1378700200094 
 210.0        6.969      0.215      0.0047     0.0017     0.0017  1378700200095 
 210.0        7.498      0.243      0.0055     0.0018     0.0018  1378700200096 
 210.0        8.105      0.272      0.0055     0.0018     0.0018  1378700200097 
 210.0        8.773      0.306      0.0139     0.0019     0.0018  1378700200098 
 210.0        9.520      0.346      0.0199     0.0020     0.0019  1378700200099 
 210.0       10.392      0.395      0.0252     0.0022     0.0020  1378700200100 
 210.0       11.373      0.453      0.0302     0.0025     0.0022  1378700200101 
 210.0       12.499      0.525      0.0349     0.0026     0.0023  1378700200102 
 210.0       13.824      0.606      0.0287     0.0025     0.0023  1378700200103 
 210.0       15.359      0.719      0.0281     0.0026     0.0024  1378700200104 
 210.0       17.183      0.846      0.0168     0.0025     0.0024  1378700200105 
 210.0       19.336      1.018      0.0151     0.0025     0.0024  1378700200106 
 210.0       21.960      1.225      0.0086     0.0023     0.0023  1378700200107 
 210.0       25.121      1.516      0.0114     0.0022     0.0022  1378700200108 
 459.8        1.321      0.018      0.0013     0.0017     0.0017  1378700200109 
 459.8        1.365      0.019      0.0018     0.0017     0.0017  1378700200110 
 459.8        1.409      0.019      0.0026     0.0016     0.0016  1378700200111 
 459.8        1.455      0.021      0.0029     0.0015     0.0015  1378700200112 
 459.8        1.504      0.022      0.0034     0.0015     0.0015  1378700200113 
 459.8        1.556      0.023      0.0013     0.0014     0.0014  1378700200114 
 459.8        1.610      0.024      0.0037     0.0014     0.0014  1378700200115 
 459.8        1.667      0.025      0.0014     0.0014     0.0014  1378700200116 
 459.8        1.728      0.027      0.0023     0.0014     0.0014  1378700200117 
 459.8        1.792      0.028      0.0045     0.0014     0.0014  1378700200118 
 459.8        1.858      0.029      0.0041     0.0013     0.0013  1378700200119 
 459.8        1.929      0.032      0.0018     0.0013     0.0013  1378700200120 
 459.8        2.004      0.033      0.0010     0.0013     0.0013  1378700200121 
 459.8        2.084      0.035      0.0023     0.0013     0.0013  1378700200122 
 459.8        2.169      0.037      0.0044     0.0012     0.0013  1378700200123 
 459.8        2.259      0.040      0.0019     0.0012     0.0012  1378700200124 
 459.8        2.354      0.042      0.0047     0.0012     0.0012  1378700200125 
 459.8        2.455      0.045      0.0029     0.0012     0.0012  1378700200126 
 459.8        2.564      0.048      0.0026     0.0013     0.0013  1378700200127 
 459.8        2.680      0.052      0.0027     0.0013     0.0013  1378700200128 
 459.8        2.802      0.055      0.0008     0.0013     0.0013  1378700200129 
 459.8        2.938      0.060      0.0029     0.0013     0.0013  1378700200130 
 459.8        3.078      0.063      0.0028     0.0012     0.0012  1378700200131 
 459.8        3.231      0.068      0.0037     0.0012     0.0012  1378700200132 
 459.8        3.396      0.074      0.0021     0.0012     0.0012  1378700200133 
 459.8        3.574      0.079      0.0038     0.0012     0.0012  1378700200134 
 459.8        3.766      0.086      0.0037     0.0011     0.0011  1378700200135 
 459.8        3.973      0.093      0.0022     0.0011     0.0011  1378700200136 
 459.8        4.200      0.101      0.0035     0.0011     0.0011  1378700200137 
 459.8        4.445      0.110      0.0029     0.0011     0.0011  1378700200138 
 459.8        4.713      0.119      0.0045     0.0010     0.0010  1378700200139 
 459.8        5.001      0.132      0.0035     0.0010     0.0010  1378700200140 
 459.8        5.325      0.144      0.0025     0.0010     0.0010  1378700200141 
 459.8        5.678      0.159      0.0029     0.0010     0.0010  1378700200142 
 459.8        6.064      0.176      0.0047     0.0010     0.0011  1378700200143 
 459.8        6.500      0.195      0.0032     0.0010     0.0010  1378700200144 
 459.8        6.969      0.215      0.0061     0.0010     0.0010  1378700200145 
 459.8        7.498      0.243      0.0059     0.0011     0.0011  1378700200146 
 459.8        8.105      0.272      0.0072     0.0011     0.0011  1378700200147 
 459.8        8.773      0.306      0.0082     0.0011     0.0011  1378700200148 
 459.8        9.520      0.346      0.0116     0.0011     0.0012  1378700200149 
 459.8       10.392      0.395      0.0123     0.0012     0.0012  1378700200150 
 459.8       11.373      0.453      0.0115     0.0012     0.0012  1378700200151 
 459.8       12.499      0.525      0.0089     0.0013     0.0013  1378700200152 
 459.8       13.824      0.606      0.0090     0.0013     0.0013  1378700200153 
 459.8       15.359      0.719      0.0063     0.0013     0.0013  1378700200154 
 459.8       17.183      0.846      0.0068     0.0013     0.0013  1378700200155 
 459.8       19.336      1.018      0.0049     0.0012     0.0012  1378700200156 
 459.8       21.960      1.225      0.0075     0.0012     0.0012  1378700200157 
 459.8       25.121      1.516      0.0066     0.0011     0.0011  1378700200158 
 617.3        1.321      0.018     0.0071      0.0034     0.0034  1378700200159 
 617.3        1.365      0.019    -0.0022      0.0040     0.0040  1378700200160 
 617.3        1.409      0.019     0.0003      0.0032     0.0032  1378700200161 
 617.3        1.455      0.021     0.0078      0.0031     0.0031  1378700200162 
 617.3        1.504      0.022     0.0127      0.0032     0.0033  1378700200163 
 617.3        1.556      0.023     0.0130      0.0032     0.0032  1378700200164 
 617.3        1.610      0.024     0.0220      0.0035     0.0036  1378700200165 
 617.3        1.667      0.025     0.0311      0.0036     0.0037  1378700200166 
 617.3        1.728      0.027     0.0233      0.0037     0.0037  1378700200167 
 617.3        1.792      0.028     0.0196      0.0031     0.0031  1378700200168 
 617.3        1.858      0.029     0.0165      0.0028     0.0028  1378700200169 
 617.3        1.929      0.032     0.0159      0.0028     0.0028  1378700200170 
 617.3        2.004      0.033     0.0141      0.0029     0.0029  1378700200171 
 617.3        2.084      0.035     0.0071      0.0027     0.0027  1378700200172 
 617.3        2.169      0.037     0.0177      0.0029     0.0029  1378700200173 
 617.3        2.259      0.040     0.0102      0.0028     0.0028  1378700200174 
 617.3        2.354      0.042     0.0199      0.0030     0.0030  1378700200175 
 617.3        2.455      0.045     0.0155      0.0032     0.0033  1378700200176 
 617.3        2.564      0.048     0.0213      0.0029     0.0030  1378700200177 
 617.3        2.680      0.052     0.0221      0.0032     0.0032  1378700200178 
 617.3        2.802      0.055     0.0122      0.0030     0.0030  1378700200179 
 617.3        2.938      0.060     0.0103      0.0032     0.0032  1378700200180 
 617.3        3.078      0.063     0.0107      0.0026     0.0026  1378700200181 
 617.3        3.231      0.068     0.0111      0.0027     0.0027  1378700200182 
 617.3        3.396      0.074     0.0176      0.0027     0.0028  1378700200183 
 617.3        3.574      0.079     0.0114      0.0026     0.0027  1378700200184 
 617.3        3.766      0.086     0.0093      0.0024     0.0024  1378700200185 
 617.3        3.973      0.093     0.0104      0.0023     0.0023  1378700200186 
 617.3        4.200      0.101     0.0111      0.0023     0.0023  1378700200187 
 617.3        4.445      0.110     0.0119      0.0024     0.0025  1378700200188 
 617.3        4.713      0.119     0.0126      0.0021     0.0021  1378700200189 
 617.3        5.001      0.132     0.0115      0.0021     0.0022  1378700200190 
 617.3        5.325      0.144     0.0135      0.0020     0.0021  1378700200191 
 617.3        5.678      0.159     0.0112      0.0021     0.0021  1378700200192 
 617.3        6.064      0.176     0.0171      0.0022     0.0022  1378700200193 
 617.3        6.500      0.195     0.0119      0.0022     0.0022  1378700200194 
 617.3        6.969      0.215     0.0170      0.0023     0.0023  1378700200195 
 617.3        7.498      0.243     0.0173      0.0020     0.0021  1378700200196 
 617.3        8.105      0.272     0.0264      0.0026     0.0027  1378700200197 
 617.3        8.773      0.306     0.0306      0.0024     0.0025  1378700200198 
 617.3        9.520      0.346     0.0316      0.0023     0.0025  1378700200199 
 617.3       10.392      0.395     0.0348      0.0026     0.0027  1378700200200 
 617.3       11.373      0.453     0.0335      0.0026     0.0028  1378700200201 
 617.3       12.499      0.525     0.0223      0.0025     0.0026  1378700200202 
 617.3       13.824      0.606     0.0322      0.0031     0.0032  1378700200203 
 617.3       15.359      0.719     0.0237      0.0027     0.0028  1378700200204 
 617.3       17.183      0.846     0.0162      0.0026     0.0026  1378700200205 
 617.3       19.336      1.018     0.0202      0.0027     0.0028  1378700200206 
 617.3       21.960      1.225     0.0155      0.0027     0.0027  1378700200207 
 617.3       25.121      1.516     0.0162      0.0023     0.0024  1378700200208 
 918.7        1.321      0.018     0.0114      0.0020     0.0021  1378700200209 
 918.7        1.365      0.019     0.0103      0.0021     0.0021  1378700200210 
 918.7        1.409      0.019     0.0050      0.0019     0.0019  1378700200211 
 918.7        1.455      0.021     0.0090      0.0021     0.0021  1378700200212 
 918.7        1.504      0.022     0.0117      0.0020     0.0020  1378700200213 
 918.7        1.556      0.023     0.0090      0.0018     0.0019  1378700200214 
 918.7        1.610      0.024     0.0083      0.0019     0.0019  1378700200215 
 918.7        1.667      0.025     0.0053      0.0018     0.0018  1378700200216 
 918.7        1.728      0.027     0.0050      0.0017     0.0017  1378700200217 
 918.7        1.792      0.028     0.0058      0.0017     0.0017  1378700200218 
 918.7        1.858      0.029     0.0082      0.0018     0.0018  1378700200219 
 918.7        1.929      0.032     0.0064      0.0018     0.0018  1378700200220 
 918.7        2.004      0.033     0.0047      0.0017     0.0017  1378700200221 
 918.7        2.084      0.035     0.0054      0.0017     0.0017  1378700200222 
 918.7        2.169      0.037     0.0048      0.0017     0.0017  1378700200223 
 918.7        2.259      0.040     0.0012      0.0017     0.0017  1378700200224 
 918.7        2.354      0.042     0.0027      0.0017     0.0017  1378700200225 
 918.7        2.455      0.045     0.0010      0.0017     0.0017  1378700200226 
 918.7        2.564      0.048     0.0069      0.0018     0.0018  1378700200227 
 918.7        2.680      0.052     0.0039      0.0019     0.0019  1378700200228 
 918.7        2.802      0.055     0.0046      0.0019     0.0019  1378700200229 
 918.7        2.938      0.060     0.0029      0.0019     0.0019  1378700200230 
 918.7        3.078      0.063     0.0037      0.0017     0.0017  1378700200231 
 918.7        3.231      0.068     0.0020      0.0017     0.0017  1378700200232 
 918.7        3.396      0.074     0.0031      0.0018     0.0018  1378700200233 
 918.7        3.574      0.079     0.0040      0.0017     0.0017  1378700200234 
 918.7        3.766      0.086     0.0059      0.0017     0.0017  1378700200235 
 918.7        3.973      0.093     0.0033      0.0016     0.0016  1378700200236 
 918.7        4.200      0.101     0.0040      0.0016     0.0016  1378700200237 
 918.7        4.445      0.110     0.0046      0.0016     0.0016  1378700200238 
 918.7        4.713      0.119     0.0038      0.0015     0.0015  1378700200239 
 918.7        5.001      0.132     0.0042      0.0015     0.0015  1378700200240 
 918.7        5.325      0.144     0.0055      0.0015     0.0015  1378700200241 
 918.7        5.678      0.159     0.0057      0.0015     0.0015  1378700200242 
 918.7        6.064      0.176     0.0066      0.0015     0.0015  1378700200243 
 918.7        6.500      0.195     0.0058      0.0015     0.0015  1378700200244 
 918.7        6.969      0.215     0.0079      0.0015     0.0015  1378700200245 
 918.7        7.498      0.243     0.0062      0.0015     0.0015  1378700200246 
 918.7        8.105      0.272     0.0096      0.0016     0.0016  1378700200247 
 918.7        8.773      0.306     0.0086      0.0015     0.0015  1378700200248 
 918.7        9.520      0.346     0.0129      0.0017     0.0017  1378700200249 
 918.7       10.392      0.395     0.0136      0.0017     0.0017  1378700200250 
 918.7       11.373      0.453     0.0104      0.0018     0.0018  1378700200251 
 918.7       12.499      0.525     0.0101      0.0018     0.0018  1378700200252 
 918.7       13.824      0.606     0.0081      0.0018     0.0018  1378700200253 
 918.7       15.359      0.719     0.0079      0.0019     0.0019  1378700200254 
 918.7       17.183      0.846     0.0069      0.0018     0.0018  1378700200255 
 918.7       19.336      1.018     0.0055      0.0018     0.0018  1378700200256 
 918.7       21.960      1.225     0.0089      0.0017     0.0017  1378700200257 
 918.7       25.121      1.516     0.0091      0.0016     0.0016  1378700200258 
 924.0        1.321      0.018     0.0059      0.0022     0.0022  1378700200259 
 924.0        1.365      0.019     0.0049      0.0020     0.0020  1378700200260 
 924.0        1.409      0.019     0.0070      0.0021     0.0021  1378700200261 
 924.0        1.455      0.021     0.0091      0.0023     0.0023  1378700200262 
 924.0        1.504      0.022     0.0069      0.0020     0.0020  1378700200263 
 924.0        1.556      0.023     0.0066      0.0019     0.0019  1378700200264 
 924.0        1.610      0.024     0.0093      0.0019     0.0019  1378700200265 
 924.0        1.667      0.025     0.0061      0.0020     0.0020  1378700200266 
 924.0        1.728      0.027     0.0075      0.0018     0.0018  1378700200267 
 924.0        1.792      0.028     0.0036      0.0017     0.0017  1378700200268 
 924.0        1.858      0.029     0.0026      0.0019     0.0019  1378700200269 
 924.0        1.929      0.032     0.0029      0.0018     0.0018  1378700200270 
 924.0        2.004      0.033    -0.0035      0.0016     0.0016  1378700200271 
 924.0        2.084      0.035     0.0020      0.0017     0.0017  1378700200272 
 924.0        2.169      0.037     0.0010      0.0017     0.0017  1378700200273 
 924.0        2.259      0.040    -0.0016      0.0016     0.0016  1378700200274 
 924.0        2.354      0.042    -0.0022      0.0016     0.0016  1378700200275 
 924.0        2.455      0.045     0.0016      0.0017     0.0017  1378700200276 
 924.0        2.564      0.048    -0.0023      0.0017     0.0017  1378700200277 
 924.0        2.680      0.052    -0.0006      0.0018     0.0018  1378700200278 
 924.0        2.802      0.055     0.0044      0.0019     0.0018  1378700200279 
 924.0        2.938      0.060     0.0032      0.0018     0.0018  1378700200280 
 924.0        3.078      0.063     0.0030      0.0017     0.0017  1378700200281 
 924.0        3.231      0.068     0.0041      0.0017     0.0017  1378700200282 
 924.0        3.396      0.074    -0.0024      0.0017     0.0017  1378700200283 
 924.0        3.574      0.079     0.0064      0.0017     0.0017  1378700200284 
 924.0        3.766      0.086     0.0035      0.0016     0.0016  1378700200285 
 924.0        3.973      0.093     0.0014      0.0016     0.0016  1378700200286 
 924.0        4.200      0.101     0.0007      0.0015     0.0015  1378700200287 
 924.0        4.445      0.110     0.0044      0.0016     0.0016  1378700200288 
 924.0        4.713      0.119     0.0018      0.0015     0.0015  1378700200289 
 924.0        5.001      0.132     0.0017      0.0015     0.0015  1378700200290 
 924.0        5.325      0.144    -0.0013      0.0015     0.0015  1378700200291 
 924.0        5.678      0.159     0.0018      0.0014     0.0014  1378700200292 
 924.0        6.064      0.176     0.0003      0.0015     0.0015  1378700200293 
 924.0        6.500      0.195     0.0026      0.0015     0.0015  1378700200294 
 924.0        6.969      0.215     0.0013      0.0015     0.0015  1378700200295 
 924.0        7.498      0.243     0.0062      0.0015     0.0015  1378700200296 
 924.0        8.105      0.272     0.0071      0.0016     0.0016  1378700200297 
 924.0        8.773      0.306     0.0138      0.0017     0.0016  1378700200298 
 924.0        9.520      0.346     0.0118      0.0017     0.0017  1378700200299 
 924.0       10.392      0.395     0.0142      0.0017     0.0016  1378700200300 
 924.0       11.373      0.453     0.0160      0.0019     0.0018  1378700200301 
 924.0       12.499      0.525     0.0152      0.0019     0.0019  1378700200302 
 924.0       13.824      0.606     0.0135      0.0019     0.0019  1378700200303 
 924.0       15.359      0.719     0.0084      0.0019     0.0019  1378700200304 
 924.0       17.183      0.846     0.0054      0.0019     0.0019  1378700200305 
 924.0       19.336      1.018     0.0077      0.0018     0.0018  1378700200306 
 924.0       21.960      1.225     0.0089      0.0017     0.0017  1378700200307 
 924.0       25.121      1.516     0.0080      0.0016     0.0016  1378700200308 
 936.6        1.321      0.018    -0.0038      0.0021     0.0021  1378700200309 
 936.6        1.365      0.019     0.0015      0.0020     0.0020  1378700200310 
 936.6        1.409      0.019     0.0004      0.0021     0.0021  1378700200311 
 936.6        1.455      0.021     0.0008      0.0022     0.0022  1378700200312 
 936.6        1.504      0.022    -0.0005      0.0019     0.0019  1378700200313 
 936.6        1.556      0.023     0.0000      0.0019     0.0019  1378700200314 
 936.6        1.610      0.024     0.0001      0.0018     0.0018  1378700200315 
 936.6        1.667      0.025     0.0006      0.0020     0.0020  1378700200316 
 936.6        1.728      0.027     0.0001      0.0018     0.0018  1378700200317 
 936.6        1.792      0.028     0.0006      0.0017     0.0017  1378700200318 
 936.6        1.858      0.029    -0.0043      0.0018     0.0018  1378700200319 
 936.6        1.929      0.032     0.0004      0.0018     0.0018  1378700200320 
 936.6        2.004      0.033    -0.0029      0.0017     0.0017  1378700200321 
 936.6        2.084      0.035     0.0002      0.0017     0.0017  1378700200322 
 936.6        2.169      0.037    -0.0043      0.0016     0.0016  1378700200323 
 936.6        2.259      0.040    -0.0043      0.0016     0.0016  1378700200324 
 936.6        2.354      0.042     0.0023      0.0016     0.0016  1378700200325 
 936.6        2.455      0.045     0.0006      0.0017     0.0017  1378700200326 
 936.6        2.564      0.048    -0.0014      0.0017     0.0017  1378700200327 
 936.6        2.680      0.052    -0.0037      0.0018     0.0018  1378700200328 
 936.6        2.802      0.055     0.0005      0.0018     0.0018  1378700200329 
 936.6        2.938      0.060    -0.0046      0.0018     0.0018  1378700200330 
 936.6        3.078      0.063    -0.0002      0.0017     0.0017  1378700200331 
 936.6        3.231      0.068    -0.0014      0.0017     0.0017  1378700200332 
 936.6        3.396      0.074    -0.0028      0.0017     0.0017  1378700200333 
