ENTRY            12716   19830330                             00001271600000001 
SUBENT        12716001   19830330                             00001271600100001 
BIB                 13         26                                 1271600100002 
INSTITUTE  (1USATNL)                                              1271600100003 
REFERENCE  (J,NSE,80,388,8203)                                    1271600100004 
           (W,DAVE,8111)                                          1271600100005 
AUTHOR     (J.H.DAVE,C.R.GOULD,L.W.SEAGONDOLLAR,S.G.GLENDENNING,  1271600100006 
           C.R.HOWELL,R.S.PEDRONI,F.O.PURSER,R.L.WALTER)          1271600100007 
TITLE      NEUTRON ELASTIC AND INELASTIC SCATTERING CROSS SECTIONS1271600100008 
            FOR CARBON-13 BETWEEN 10 AND 18 MEV.                  1271600100009 
N-SOURCE   (D-D) PULSED DEUTERONS ON TWO ATMOSPHERE DEUTERIUM GAS.1271600100010 
SAMPLE     COMPRESSED C-13 POWDER IN STAINLESS STEEL CAN. ENRICHED1271600100011 
            TO 99-PERCENT C-13.                                   1271600100012 
DETECTOR   (SCIN) TWO MASSIVELY SHIELDED ORGANIC NE-218           1271600100013 
            SCINTILLATION DETECTORS LOCATED 3.76 AND 5.68 METERS  1271600100014 
            FROM SAMPLE.                                          1271600100015 
MONITOR    POLYETHYLENE USED FOR NORMALIZATION                    1271600100016 
METHOD     (TOF). BLANK SAMPLE CAN USED FOR BACKGROUND            1271600100017 
            MEASUREMENTS.                                         1271600100018 
CORRECTION CORRECTIONS MADE FOR FINITE GEOMETRY, SOURCE EFFECTS,  1271600100019 
            AND MULIPLE SCATTERING.                               1271600100020 
ERR-ANALYS (ERR-T) TOTAL ERROR CONSISTS OF ANGLE INDEPENDENT ERROR1271600100021 
            AND UNCERTAINTIES IN-                                 1271600100022 
            -COUNTING STATISTICS, 0.9 TO 5 PERCENT                1271600100023 
            -MULTIPLE SCATTERING AND FINITE GEOMETRY CORRECTIONS, 1271600100024 
             LESS THAN 1-PERCENT.                                 1271600100025 
STATUS     (APRVD) APPROVED BY J.H.DAVE, 82/4/23.                 1271600100026 
HISTORY    (811215C)                                              1271600100027 
           (830330U) ERR-ANALYS MOVED TO PROPER SUBENTRIES.       1271600100028 
ENDBIB              26          0                                 1271600100029 
NOCOMMON             0          0                                 1271600100030 
ENDSUBENT           29          0                                 1271600199999 
SUBENT        12716002   19830928                             00001271600200001 
BIB                  3          9                                 1271600200002 
REACTION   (6-C-13(N,EL)6-C-13,,DA)                               1271600200003 
ERR-ANALYS (ERR-1) ANGLE INDEPENDENT ERROR DUE TO UNCERTAINTIES IN1271600200004 
            -HYDROGEN SCATTERING YIELD, 1 TO 4 PERCENT            1271600200005 
            -HYDROGEN SCATTERING CROSS SECTION, LESS THAN         1271600200006 
             1-PERCENT                                            1271600200007 
            -FINITE SIZE CORRECTION FOR MONITOR, LESS THAN        1271600200008 
             1-PERCENT                                            1271600200009 
            -RELATIVE DETECTOR EFFICIENCIES, UP TO 6-PERCENT      1271600200010 
HISTORY    (830928A) CORRECTED DATA HEADING.                      1271600200011 
ENDBIB               9          0                                 1271600200012 
NOCOMMON             0          0                                 1271600200013 
DATA                 5        155                                 1271600200014 
EN         ANG        DATA       ERR-T      ERR-1                 1271600200015 
 13.944     123.39       18.62     0.74      3.73                 1271600200105 
 13.944     128.15       13.30     0.48      3.73                 1271600200106 
 13.944     132.93       12.81     0.32      3.73                 1271600200107 
 13.944     137.76       10.10     0.43      3.73                 1271600200108 
 13.944     142.63       10.15     0.47      3.73                 1271600200109 
 13.944     147.50       10.55     0.47      3.73                 1271600200110 
 13.944     152.27       11.73     0.52      3.73                 1271600200111 
 13.944     157.82       17.06     0.60      3.73                 1271600200112 
 15.935       0.00      869.62    69.57      5.2                  1271600200113 
 15.935      21.53      558.74     9.55      5.2                  1271600200114 
 15.935      26.63      423.06     6.98      5.2                  1271600200115 
 15.935      29.19      367.24     7.14      5.2                  1271600200116 
 15.935      31.76      304.35     6.22      5.2                  1271600200117 
 15.935      34.33      251.72     6.91      5.2                  1271600200118 
 15.935      36.91      193.14     3.92      5.2                  1271600200119 
 15.935      42.08      131.45     2.64      5.2                  1271600200120 
 15.935      47.33       91.71     2.71      5.2                  1271600200121 
 15.935      52.74       51.56     1.15      5.2                  1271600200122 
 15.935      58.28       34.49     0.67      5.2                  1271600200123 
 15.935      63.76       31.92     0.73      5.2                  1271600200124 
 15.935      69.05       32.00     0.72      5.2                  1271600200125 
 15.935      74.17       31.39     0.69      5.2                  1271600200126 
 15.935      79.21       30.84     0.69      5.2                  1271600200127 
 15.935      84.23       29.26     0.69      5.2                  1271600200128 
 15.935      89.25       27.66     0.67      5.2                  1271600200129 
 15.935      94.24       24.89     0.35      5.2                  1271600200130 
 15.935      99.21       22.94     0.67      5.2                  1271600200131 
 15.935     104.14       21.78     0.62      5.2                  1271600200132 
 15.935     109.01       20.65     0.57      5.2                  1271600200133 
 15.935     113.83       18.26     0.53      5.2                  1271600200134 
 15.935     118.61       15.40     0.51      5.2                  1271600200135 
 15.935     123.35       12.81     0.47      5.2                  1271600200136 
 15.935     128.07       10.62     0.39      5.2                  1271600200137 
 15.935     132.83        8.69     0.37      5.2                  1271600200138 
 15.935     137.67        6.89     0.31      5.2                  1271600200139 
 15.935     142.58        6.15     0.30      5.2                  1271600200140 
 15.935     147.47        6.35     0.33      5.2                  1271600200141 
 15.935     152.23        7.80     0.35      5.2                  1271600200142 
 15.935     157.75       10.11     0.46      5.2                  1271600200143 
 17.922       0.00     1222.62    97.81      7.0                  1271600200144 
 17.922      21.43      703.92    13.21      7.0                  1271600200145 
 17.922      26.49      497.23     9.54      7.0                  1271600200146 
 17.922      31.59      320.25     5.92      7.0                  1271600200147 
 17.922      34.15      270.63     9.09      7.0                  1271600200148 
 17.922      36.73      191.49     4.41      7.0                  1271600200149 
 17.922      41.95      114.40     3.17      7.0                  1271600200150 
 17.922      47.35       61.35     1.99      7.0                  1271600200151 
 17.922      52.98       39.69     1.05      7.0                  1271600200152 
 17.922      58.58       34.65     0.78      7.0                  1271600200153 
 17.922      61.30       34.60     1.18      7.0                  1271600200154 
 17.922      63.95       36.43     0.97      7.0                  1271600200155 
 17.922      69.11       35.47     0.77      7.0                  1271600200156 
 17.922      74.17       37.61     0.81      7.0                  1271600200157 
 17.922      79.18       35.90     0.79      7.0                  1271600200158 
 17.922      89.10       27.12     0.71      7.0                  1271600200159 
 17.922      94.06       22.81     0.76      7.0                  1271600200160 
 17.922      99.02       18.26     0.69      7.0                  1271600200161 
 17.922     104.01       15.42     0.63      7.0                  1271600200162 
 17.922     108.97       12.25     0.57      7.0                  1271600200163 
 17.922     113.87       11.62     0.56      7.0                  1271600200164 
 17.922     123.56        8.97     0.46      7.0                  1271600200165 
 17.922     133.17        7.60     0.39      7.0                  1271600200166 
 17.922     137.93        7.51     0.41      7.0                  1271600200167 
 17.922     142.64        7.47     0.41      7.0                  1271600200168 
 17.922     147.35        7.28     0.43      7.0                  1271600200169 
 17.922     152.11        7.81     0.42      7.0                  1271600200170 
 17.922     157.79        9.47     0.53      7.0                  1271600200171 
ENDDATA            157          0                                 1271600200172 
ENDSUBENT          171          0                                 1271600299999 
SUBENT        12716003   19820212                             00001271600300001 
BIB                  2          2                                 1271600300002 
REACTION   (6-C-13(N,EL)6-C-13,,SIG)                              1271600300003 
STATUS     (DEP,12716002)                                         1271600300004 
ENDBIB               2          0                                 1271600300005 
NOCOMMON             0          0                                 1271600300006 
DATA                 3          5                                 1271600300007 
EN         DATA       ERR-T                                       1271600300008 
MEV        B          B                                           1271600300009 
  9.996     0.721      0.025                                      1271600300010 
 11.956     0.949      0.033                                      1271600300011 
 13.944     0.901      0.034                                      1271600300012 
 15.935     0.949      0.050                                      1271600300013 
 17.922     1.061      0.075                                      1271600300014 
ENDDATA              7          0                                 1271600300015 
ENDSUBENT           14          0                                 1271600399999 
SUBENT        12716004   19830928                             00001271600400001 
BIB                  3          9                                 1271600400002 
REACTION   (6-C-13(N,INL)6-C-13,PAR,DA)                           1271600400003 
ERR-ANALYS (ERR-1) ANGLE INDEPENDENT ERROR DUE TO UNCERTAINTIES IN1271600400004 
            -HYDROGEN SCATTERING YIELD, 1 TO 4 PERCENT            1271600400005 
            -HYDROGEN SCATTERING CROSS SECTION, LESS THAN         1271600400006 
             1-PERCENT                                            1271600400007 
            -FINITE SIZE CORRECTION FOR MONITOR, LESS THAN        1271600400008 
             1-PERCENT                                            1271600400009 
            -RELATIVE DETECTOR EFFICIENCIES, UP TO 6-PERCENT      1271600400010 
HISTORY    (830928A) CORRECTED DATA HEADING.                      1271600400011 
ENDBIB               9          0                                 1271600400012 
COMMON               2          3                                 1271600400013 
EN         ERR-1                                                  1271600400014 
MEV        PER-CENT                                               1271600400015 
 9.966      3.49                                                  1271600400016 
ENDCOMMON            3          0                                 1271600400017 
DATA                 5         62                                 1271600400018 
E          E          ANG        DATA       ERR-T                 1271600400019 
MEV        MEV        ADEG       MB/SR      MB/SR                 1271600400020 
 3.085                  22.28     7.98       2.31                 1271600400021 
 3.085                  24.91     7.01       1.04                 1271600400022 
 3.085                  27.57     6.26       1.02                 1271600400023 
 3.085                  30.22     6.07       0.36                 1271600400024 
 3.085                  32.87     5.87       1.06                 1271600400025 
 3.085                  35.54     5.38       1.66                 1271600400026 
 3.085                  38.23     4.77       0.78                 1271600400027 
 3.085                  43.57     6.77       2.30                 1271600400028 
 3.085                  48.88     3.92       0.87                 1271600400029 
 3.085                  54.19     6.24       2.63                 1271600400030 
 3.085                  59.48     3.88       0.99                 1271600400031 
 3.085                  64.78     5.27       0.60                 1271600400032 
 3.085                  69.99     4.72       0.27                 1271600400033 
 3.085                  75.11     4.01       1.03                 1271600400034 
 3.085                  80.23     4.58       0.69                 1271600400035 
 3.085                  85.30     3.55       0.64                 1271600400036 
 3.085                  90.35     4.28       1.00                 1271600400037 
 3.085                  95.32     4.22       0.61                 1271600400038 
 3.085                 100.26     4.30       2.05                 1271600400039 
 3.085                 105.18     3.94       1.38                 1271600400040 
 3.085                 110.07     4.05       1.09                 1271600400041 
 3.085                 114.92     3.72       0.50                 1271600400042 
 3.085                 119.75     4.22       1.58                 1271600400043 
 3.085                 124.54     3.42       0.48                 1271600400044 
 3.085                 129.29     3.80       0.72                 1271600400045 
 3.085                 134.02     4.27       1.17                 1271600400046 
 3.085                 138.72     3.05       0.63                 1271600400047 
 3.085                 143.37     3.90       0.57                 1271600400048 
 3.085                 147.97     4.12       0.80                 1271600400049 
 3.085                 152.53     4.74       1.81                 1271600400050 
 3.085                 158.84     5.65       1.20                 1271600400051 
 3.684      3.854       22.43     23.16      2.10                 1271600400052 
 3.684      3.854       25.08     22.10      0.57                 1271600400053 
 3.684      3.854       27.75     21.66      1.01                 1271600400054 
 3.684      3.854       30.42     20.71      0.77                 1271600400055 
 3.684      3.854       33.08     20.42      0.99                 1271600400056 
 3.684      3.854       35.75     19.96      1.49                 1271600400057 
 3.684      3.854       38.45     20.00      0.95                 1271600400058 
 3.684      3.854       43.80     18.70      2.08                 1271600400059 
 3.684      3.854       49.10     17.73      1.44                 1271600400060 
 3.684      3.854       54.40     14.60      2.08                 1271600400061 
 3.684      3.854       59.65     15.27      1.17                 1271600400062 
 3.684      3.854       64.93     13.88      1.00                 1271600400063 
 3.684      3.854       70.14     14.49      0.41                 1271600400064 
 3.684      3.854       75.28     11.79      1.03                 1271600400065 
 3.684      3.854       80.43     12.06      0.31                 1271600400066 
 3.684      3.854       85.53     11.30      0.72                 1271600400067 
 3.684      3.854       90.62     10.57      1.02                 1271600400068 
 3.684      3.854       95.66     11.82      0.91                 1271600400069 
 3.684      3.854      100.67     10.27      1.90                 1271600400070 
 3.684      3.854      105.64     10.82      1.77                 1271600400071 
 3.684      3.854      110.54     11.66      1.45                 1271600400072 
 3.684      3.854      115.36     11.91      0.74                 1271600400073 
 3.684      3.854      120.14     11.90      1.85                 1271600400074 
 3.684      3.854      124.87     12.76      0.75                 1271600400075 
 3.684      3.854      129.55     13.09      1.01                 1271600400076 
 3.684      3.854      134.20     12.89      1.50                 1271600400077 
 3.684      3.854      138.82     13.65      0.94                 1271600400078 
 3.684      3.854      143.40     13.23      0.74                 1271600400079 
 3.684      3.854      147.95     12.12      1.14                 1271600400080 
 3.684      3.854      152.47     11.79      1.74                 1271600400081 
 3.684      3.854      158.74     11.02      1.29                 1271600400082 
ENDDATA             64          0                                 1271600400083 
ENDSUBENT           82          0                                 1271600499999 
SUBENT        12716005   19820212                             00001271600500001 
BIB                  2          2                                 1271600500002 
REACTION   (6-C-13(N,INL)6-C-13,PAR,SIG)                          1271600500003 
STATUS     (DEP,12716004)                                         1271600500004 
ENDBIB               2          0                                 1271600500005 
COMMON               1          3                                 1271600500006 
EN                                                                1271600500007 
MEV                                                               1271600500008 
 9.996                                                            1271600500009 
ENDCOMMON            3          0                                 1271600500010 
DATA                 4          2                                 1271600500011 
E          E          DATA       ERR-T                            1271600500012 
MEV        MEV        B          B                                1271600500013 
 3.085                 0.057      0.002                           1271600500014 
 3.684     3.854       0.176      0.006                           1271600500015 
ENDDATA              4          0                                 1271600500016 
ENDSUBENT           15          0                                 1271600599999 
ENDENTRY             5          0                                 1271699999999 
