ENTRY            10409   20030207                             00001040900000001 
SUBENT        10409001   20030207                             00001040900100001 
BIB                 10         32                                 1040900100002 
INSTITUTE  (1USAKTY)                                              1040900100003 
REFERENCE  (J,PR/C,18,2520,197812)                                1040900100004 
           (T,GLASGOW,1974)                                       1040900100005 
           (C,76LOWELL,,171,197607)                               1040900100006 
AUTHOR     (G.P.Glasgow,F.D.Mc Daniel,J.L.Weil,J.D.Brandenberger, 1040900100007 
           M.T.Mc Ellistrem)                                      1040900100008 
TITLE      Level and decay scheme studies in 92Zr and 94Zr via    1040900100009 
            (n,n'gamma) reactions                                 1040900100010 
FACILITY   (VDG,1USAKTY) 6 MeV Van de Graaff accelerator          1040900100011 
DETECTOR   (GELI) 35-cm**3 cylinder with paraffin-lead-Li2CO3.    1040900100012 
            shield and 50-cm long tungsten shadow bar.            1040900100013 
           (LONGC) Hansen-McKibben long counter for incident      1040900100014 
            neutron flux.                                         1040900100015 
MONITOR    (26-FE-56(N,INL)26-FE-56,PAR,DA,G) 90 degree, 847 keV  1040900100016 
            gamma production cross section used to normalize data 1040900100017 
CORRECTION Corrected for:                                         1040900100018 
           . deadtime,                                            1040900100019 
           . attenuation,                                         1040900100020 
           . multiple scattering,                                 1040900100021 
           . absorbtion of emmited radiation by sample,           1040900100022 
           . yield enhancement due to secondary inelastic         1040900100023 
             scattering,                                          1040900100024 
           . sample size effects.                                 1040900100025 
STATUS     (APRVD) Approved by G.P.Glasgow, 1979/6/1.             1040900100026 
           Data received from Glasgow on magnetic tape, February  1040900100027 
            1977.                                                 1040900100028 
HISTORY    (19770810C)                                            1040900100029 
           (19780405U) REFERENCE corrected                        1040900100030 
           (19781026A) MONITOR corrected                          1040900100031 
           (19790201A) REFERENCE update, BIB additions            1040900100032 
           (19830531A) Reference type corrected.                  1040900100033 
           (20030207A) Updated to new date formats, lower case.   1040900100034 
ENDBIB              32          0                                 1040900100035 
COMMON               1          3                                 1040900100036 
E-NRM                                                             1040900100037 
KEV                                                               1040900100038 
 847.                                                             1040900100039 
ENDCOMMON            3          0                                 1040900100040 
ENDSUBENT           39          0                                 1040900199999 
SUBENT        10409002   20030207                             00001040900200001 
BIB                  3         12                                 1040900200002 
REACTION   (40-ZR-92(N,INL)40-ZR-92,PAR,DA,G)                     1040900200003 
ERR-ANALYS Errors in data due to:                                 1040900200004 
           . detector efficiency (2-4%),                          1040900200005 
           . monitor and electronic stability (2%),               1040900200006 
           . gamma absorbtion by sample (1%),                     1040900200007 
           . multiple scattering and attenuation of beam (3-4%),  1040900200008 
           . uncertainty of monitor (8%).                         1040900200009 
           (DATA-ERR1) Includes 1% electronics monitoring system  1040900200010 
            error plus statistical error.                         1040900200011 
           (DATA-ERR2) Includes above errors plus normalization   1040900200012 
            errors.                                               1040900200013 
HISTORY    (19781026A) REACTION corrected                         1040900200014 
ENDBIB              12          0                                 1040900200015 
COMMON               1          3                                 1040900200016 
ANG                                                               1040900200017 
ADEG                                                              1040900200018 
 90.                                                              1040900200019 
ENDCOMMON            3          0                                 1040900200020 
DATA                 5        628                                 1040900200021 
E          EN         DATA       DATA-ERR1  DATA-ERR2             1040900200022 
  447.8      3.05        9.7       0.2        1.0                 1040900200079 
  447.8      3.10        8.8       0.2        0.9                 1040900200080 
  447.8      3.15        8.7       0.2        0.9                 1040900200081 
  447.8      3.20        8.9       0.2        1.0                 1040900200082 
  447.8      3.25        9.2       0.2        1.0                 1040900200083 
  447.8      3.30        9.1       0.2        1.0                 1040900200084 
  447.8      3.35        9.0       0.2        1.0                 1040900200085 
  447.8      3.40        8.8       0.2        0.9                 1040900200086 
  447.8      3.45        8.3       0.2        0.9                 1040900200087 
  447.8      3.50        8.7       0.2        0.9                 1040900200088 
  447.8      3.55        8.8       0.2        0.9                 1040900200089 
  447.8      3.60        8.8       0.2        0.9                 1040900200090 
  447.8      3.65        8.1       0.2        0.9                 1040900200091 
  447.8      3.70        8.2       0.2        0.9                 1040900200092 
  492.2      2.55        0.54      0.30       0.30                1040900200093 
  492.2      2.60        0.67      0.24       0.25                1040900200094 
  492.2      2.65        0.78      0.24       0.25                1040900200095 
  492.2      2.70        0.94      0.20       0.22                1040900200096 
  492.2      2.80        0.90      0.20       0.22                1040900200097 
  492.2      2.85        1.12      0.19       0.22                1040900200098 
  492.2      2.90        1.02      0.20       0.23                1040900200099 
  492.2      2.95        1.12      0.21       0.24                1040900200100 
  492.2      3.00        0.99      0.20       0.22                1040900200101 
  492.2      3.05        0.97      0.18       0.21                1040900200102 
  492.2      3.10        0.97      0.20       0.22                1040900200103 
  492.2      3.15        1.14      0.20       0.24                1040900200104 
  492.2      3.20        1.10      0.20       0.23                1040900200105 
  492.2      3.25        1.07      0.21       0.23                1040900200106 
  492.2      3.30        1.07      0.20       0.23                1040900200107 
  492.2      3.35        1.08      0.18       0.20                1040900200108 
  492.2      3.40        1.19      0.18       0.22                1040900200109 
  492.2      3.45        1.38      0.17       0.22                1040900200110 
  492.2      3.50        1.25      0.18       0.22                1040900200111 
  492.2      3.55        1.14      0.17       0.21                1040900200112 
  492.2      3.60        1.01      0.20       0.20                1040900200113 
  492.2      3.65        1.13      0.18       0.21                1040900200114 
  492.2      3.70        0.94      0.15       0.17                1040900200115 
  560.7      2.22       13.4       0.3        1.4                 1040900200116 
  560.7      2.30       13.3       0.5        1.4                 1040900200117 
  560.7      2.35       13.9       0.5        1.5                 1040900200118 
  560.7      2.45       14.4       0.5        1.5                 1040900200119 
  560.7      2.50       14.6       0.5        1.5                 1040900200120 
  560.7      2.55       15.4       0.5        1.6                 1040900200121 
  560.7      2.60       16.3       0.4        1.7                 1040900200122 
  560.7      2.65       18.6       0.4        1.9                 1040900200123 
  560.7      2.70       19.2       0.4        2.0                 1040900200124 
  560.7      2.80       19.8       0.3        2.0                 1040900200125 
  560.7      2.85       19.8       0.3        2.0                 1040900200126 
  560.7      2.90       21.5       0.3        2.2                 1040900200127 
  560.7      2.95       22.9       0.4        2.3                 1040900200128 
  560.7      3.00       23.2       0.4        2.4                 1040900200129 
  560.7      3.05       23.5       0.4        2.4                 1040900200130 
  560.7      3.10       24.0       0.4        2.4                 1040900200131 
  560.7      3.15       25.1       0.4        2.6                 1040900200132 
  560.7      3.20       25.3       0.4        2.6                 1040900200133 
  560.7      3.25       24.8       0.4        2.5                 1040900200134 
  560.7      3.30       25.8       0.4        2.6                 1040900200135 
  560.7      3.35       24.8       0.4        2.5                 1040900200136 
  560.7      3.40       25.8       0.4        2.6                 1040900200137 
  560.7      3.45       25.7       0.4        2.6                 1040900200138 
  560.7      3.50       25.3       0.4        2.6                 1040900200139 
  560.7      3.55       25.9       0.4        2.6                 1040900200140 
  560.7      3.60       25.3       0.4        2.6                 1040900200141 
  560.7      3.65       24.8       0.4        2.5                 1040900200142 
  560.7      3.70       24.4       0.3        2.5                 1040900200143 
  569.7      3.65        0.27      0.19       0.19                1040900200144 
  569.7      3.70        0.45      0.17       0.17                1040900200145 
  718.9      3.20        0.35      0.29       0.29                1040900200146 
  718.9      3.25        0.56      0.29       0.29                1040900200147 
  718.9      3.30        0.59      0.25       0.25                1040900200148 
  718.9      3.35        1.25      0.26       0.29                1040900200149 
  718.9      3.40        1.14      0.26       0.28                1040900200150 
  718.9      3.45        1.20      0.27       0.29                1040900200151 
  718.9      3.50        0.80      0.24       0.25                1040900200152 
  718.9      3.55        0.89      0.25       0.27                1040900200153 
  718.9      3.60        0.88      0.25       0.27                1040900200154 
  718.9      3.65        0.94      0.24       0.26                1040900200155 
  718.9      3.70        1.15      0.19       0.22                1040900200156 
  779.8      3.35        0.56      0.20       0.21                1040900200157 
  779.8      3.40        0.82      0.22       0.23                1040900200158 
  779.8      3.45        1.16      0.20       0.23                1040900200159 
  779.8      3.50        1.26      0.20       0.24                1040900200160 
  779.8      3.55        1.53      0.21       0.26                1040900200161 
  779.8      3.60        1.50      0.23       0.28                1040900200162 
  779.8      3.65        1.32      0.21       0.25                1040900200163 
  779.8      3.70        1.37      0.17       0.22                1040900200164 
  837.2      3.05        0.99      0.19       0.22                1040900200165 
  837.2      3.10        0.76      0.19       0.21                1040900200166 
  837.2      3.15        1.23      0.20       0.23                1040900200167 
  837.2      3.20        1.56      0.22       0.27                1040900200168 
  837.2      3.25        1.57      0.23       0.28                1040900200169 
  837.2      3.30        1.22      0.21       0.24                1040900200170 
  837.2      3.35        1.87      0.22       0.29                1040900200171 
  837.2      3.40        1.65      0.21       0.27                1040900200172 
  837.2      3.45        1.73      0.19       0.26                1040900200173 
  837.2      3.50        1.40      0.18       0.23                1040900200174 
  837.2      3.55        1.55      0.18       0.23                1040900200175 
  837.2      3.60        1.63      0.19       0.25                1040900200176 
  837.2      3.65        1.21      0.20       0.24                1040900200177 
  837.2      3.70        1.10      0.14       0.18                1040900200178 
  843.6      2.45        0.66      0.32       0.33                1040900200179 
  843.6      2.50        1.40      0.34       0.37                1040900200180 
  843.6      2.55        1.53      0.33       0.37                1040900200181 
  843.6      2.60        1.65      0.26       0.31                1040900200182 
  843.6      2.65        1.87      0.25       0.31                1040900200183 
  843.6      2.70        1.40      0.22       0.26                1040900200184 
  843.6      2.80        2.71      0.26       0.37                1040900200185 
  843.6      2.85        3.03      0.24       0.39                1040900200186 
  843.6      2.90        2.34      0.24       0.35                1040900200187 
  843.6      2.95        1.63      0.23       0.28                1040900200188 
  843.6      3.00        1.73      0.23       0.29                1040900200189 
  843.6      3.05        2.28      0.21       0.31                1040900200190 
  843.6      3.10        2.31      0.22       0.32                1040900200191 
  843.6      3.15        2.84      0.22       0.36                1040900200192 
  843.6      3.20        2.78      0.21       0.35                1040900200193 
  843.6      3.25        3.29      0.24       0.41                1040900200194 
  843.6      3.30        3.55      0.21       0.41                1040900200195 
  843.6      3.35        3.07      0.22       0.38                1040900200196 
  843.6      3.40        3.27      0.22       0.40                1040900200197 
  843.6      3.45        3.23      0.18       0.37                1040900200198 
  843.6      3.50        3.85      0.22       0.44                1040900200199 
  843.6      3.55        3.52      0.20       0.40                1040900200200 
  843.6      3.60        3.19      0.18       0.37                1040900200201 
  843.6      3.65        3.10      0.19       0.37                1040900200202 
  843.6      3.70        3.10      0.17       0.35                1040900200203 
  877.4      3.50        0.33      0.17       0.18                1040900200204 
  877.4      3.55        0.25      0.17       0.17                1040900200205 
  877.4      3.60        0.46      0.18       0.18                1040900200206 
  877.4      3.65        0.24      0.17       0.17                1040900200207 
  877.4      3.70        0.42      0.15       0.16                1040900200208 
  902.6      2.55        1.71      0.38       0.41                1040900200209 
  902.6      2.60        2.55      0.43       0.50                1040900200210 
  902.6      2.65        3.08      0.29       0.42                1040900200211 
  902.6      2.70        4.01      0.24       0.47                1040900200212 
  902.6      2.80        3.94      0.23       0.46                1040900200213 
  902.6      2.85        4.50      0.24       0.51                1040900200214 
  902.6      2.90        5.11      0.26       0.57                1040900200215 
  902.6      2.95        4.87      0.26       0.55                1040900200216 
  902.6      3.00        5.63      0.26       0.62                1040900200217 
  902.6      3.05        4.93      0.24       0.55                1040900200218 
  902.6      3.10        5.06      0.25       0.57                1040900200219 
  902.6      3.15        5.18      0.25       0.58                1040900200220 
  902.6      3.20        5.00      0.26       0.57                1040900200221 
  902.6      3.25        4.80      0.26       0.55                1040900200222 
  902.6      3.30        5.06      0.24       0.56                1040900200223 
  902.6      3.35        4.94      0.24       0.55                1040900200224 
  902.6      3.40        5.17      0.23       0.57                1040900200225 
  902.6      3.45        5.54      0.22       0.60                1040900200226 
  902.6      3.50        4.64      0.22       0.52                1040900200227 
  902.6      3.55        5.48      0.22       0.59                1040900200228 
  902.6      3.60        5.11      0.22       0.56                1040900200229 
  902.6      3.65        4.63      0.22       0.51                1040900200230 
  902.6      3.70        4.54      0.18       0.49                1040900200231 
  912.4      2.22       12.5       0.4        1.3                 1040900200232 
  912.4      2.30       13.7       0.5        1.5                 1040900200233 
  912.4      2.35       12.9       0.5        1.4                 1040900200234 
  912.4      2.40       13.9       0.5        1.5                 1040900200235 
  912.4      2.45       15.2       0.6        1.6                 1040900200236 
  912.4      2.50       13.8       0.5        1.5                 1040900200237 
  912.4      2.55       14.1       0.6        1.5                 1040900200238 
  912.4      2.60       14.5       0.4        1.5                 1040900200239 
  912.4      2.65       14.6       0.4        1.5                 1040900200240 
  912.4      2.70       14.6       0.4        1.5                 1040900200241 
  912.4      2.80       13.7       0.3        1.4                 1040900200242 
  912.4      2.85       14.0       0.3        1.4                 1040900200243 
  912.4      2.90       14.4       0.3        1.5                 1040900200244 
  912.4      2.95       16.0       0.4        1.6                 1040900200245 
  912.4      3.00       16.5       0.4        1.7                 1040900200246 
  912.4      3.05       16.3       0.4        1.7                 1040900200247 
  912.4      3.10       16.6       0.4        1.7                 1040900200248 
  912.4      3.15       17.2       0.4        1.8                 1040900200249 
  912.4      3.20       17.1       0.4        1.8                 1040900200250 
  912.4      3.25       15.6       0.4        1.6                 1040900200251 
  912.4      3.30       16.3       0.3        1.7                 1040900200252 
  912.4      3.35       15.6       0.3        1.6                 1040900200253 
  912.4      3.40       14.8       0.3        1.5                 1040900200254 
  912.4      3.45       14.4       0.3        1.5                 1040900200255 
  912.4      3.50       13.4       0.3        1.4                 1040900200256 
  912.4      3.55       13.5       0.3        1.4                 1040900200257 
  912.4      3.60       13.5       0.3        1.4                 1040900200258 
  912.4      3.65       11.6       0.3        1.2                 1040900200259 
  912.4      3.70       11.2       0.2        1.1                 1040900200260 
  934.1      2.22       94.8       1.2        9.6                 1040900200261 
  934.1      2.30      102.1       1.5       10.4                 1040900200262 
  934.1      2.35      101.9       1.5       10.3                 1040900200263 
  934.1      2.40      102.4       1.5       10.4                 1040900200264 
  934.1      2.45      107.5       1.5       10.9                 1040900200265 
  934.1      2.50      106.9       1.5       10.8                 1040900200266 
  934.1      2.55      113.0       1.6       11.5                 1040900200267 
  934.1      2.60      115.5       1.4       11.7                 1040900200268 
  934.1      2.65      117.7       1.4       11.9                 1040900200269 
  934.1      2.70      118.9       1.4       12.0                 1040900200270 
  934.1      2.80      116.6       1.3       11.8                 1040900200271 
  934.1      2.85      115.1       1.3       11.6                 1040900200272 
  934.1      2.90      118.4       1.3       12.0                 1040900200273 
  934.1      2.95      121.1       1.4       12.2                 1040900200274 
  934.1      3.00      120.5       1.3       12.2                 1040900200275 
  934.1      3.05      118.1       1.3       11.9                 1040900200276 
  934.1      3.10      118.2       1.3       11.9                 1040900200277 
  934.1      3.15      121.4       1.4       12.3                 1040900200278 
  934.1      3.20      122.8       1.4       12.4                 1040900200279 
  934.1      3.25      120.3       1.3       12.2                 1040900200280 
  934.1      3.30      126.2       1.4       12.7                 1040900200281 
  934.1      3.35      121.8       1.3       12.3                 1040900200282 
  934.1      3.40      121.9       1.3       12.3                 1040900200283 
  934.1      3.45      121.2       1.3       12.2                 1040900200284 
  934.1      3.50      118.2       1.3       11.9                 1040900200285 
  934.1      3.55      121.5       1.3       12.3                 1040900200286 
  934.1      3.60      118.9       1.3       12.0                 1040900200287 
  934.1      3.65      112.8       1.2       11.4                 1040900200288 
  934.1      3.70      107.5       1.1       10.1                 1040900200289 
  972.0      2.90        0.57      0.17       0.18                1040900200290 
  972.0      2.95        0.95      0.18       0.20                1040900200291 
  972.0      3.00        2.13      0.18       0.28                1040900200292 
  972.0      3.05        3.31      0.20       0.39                1040900200293 
  972.0      3.10        4.08      0.21       0.46                1040900200294 
  972.0      3.15        4.84      0.22       0.53                1040900200295 
  972.0      3.20        5.03      0.22       0.55                1040900200296 
  972.0      3.25        5.05      0.23       0.56                1040900200297 
  972.0      3.30        5.58      0.22       0.60                1040900200298 
  972.0      3.35        5.23      0.21       0.57                1040900200299 
  972.0      3.40        5.34      0.22       0.58                1040900200300 
  972.0      3.45        5.15      0.19       0.55                1040900200301 
  972.0      3.50        4.49      0.19       0.49                1040900200302 
  972.0      3.55        4.42      0.19       0.48                1040900200303 
  972.0      3.60        4.24      0.20       0.47                1040900200304 
  972.0      3.65        3.89      0.18       0.43                1040900200305 
  972.0      3.70        3.53      0.15       0.39                1040900200306 
  990.3      2.65        0.81      0.19       0.20                1040900200307 
  990.3      2.70        1.05      0.17       0.20                1040900200308 
  990.3      2.80        1.53      0.17       0.23                1040900200309 
  990.3      2.85        1.68      0.18       0.25                1040900200310 
  990.3      2.90        2.09      0.18       0.28                1040900200311 
  990.3      2.95        2.33      0.20       0.31                1040900200312 
  990.3      3.00        2.69      0.19       0.33                1040900200313 
  990.3      3.05        2.91      0.20       0.35                1040900200314 
  990.3      3.10        3.06      0.19       0.36                1040900200315 
  990.3      3.15        3.78      0.20       0.43                1040900200316 
  990.3      3.20        3.85      0.21       0.44                1040900200317 
  990.3      3.25        4.34      0.22       0.49                1040900200318 
  990.3      3.30        5.1       0.21       0.56                1040900200319 
  990.3      3.35        5.36      0.21       0.58                1040900200320 
  990.3      3.40        5.56      0.21       0.60                1040900200321 
  990.3      3.45        5.68      0.20       0.60                1040900200322 
  990.3      3.50        5.41      0.20       0.58                1040900200323 
  990.3      3.55        5.76      0.19       0.61                1040900200324 
  990.3      3.60        5.63      0.20       0.60                1040900200325 
  990.3      3.65        5.62      0.22       0.61                1040900200326 
  990.3      3.70        5.22      0.17       0.55                1040900200327 
 1057.7      3.25        0.57      0.17       0.18                1040900200328 
 1057.7      3.30        0.69      0.15       0.17                1040900200329 
 1057.7      3.35        0.73      0.15       0.17                1040900200330 
 1057.7      3.40        0.72      0.16       0.18                1040900200331 
 1057.7      3.45        0.83      0.15       0.17                1040900200332 
 1057.7      3.50        0.88      0.16       0.18                1040900200333 
 1057.7      3.55        1.20      0.16       0.20                1040900200334 
 1057.7      3.60        1.02      0.16       0.19                1040900200335 
 1057.7      3.65        0.97      0.16       0.19                1040900200336 
 1057.7      3.70        0.92      0.13       0.16                1040900200337 
 1067.9      3.55        0.47      0.15       0.15                1040900200338 
 1067.9      3.60        0.52      0.15       0.15                1040900200339 
 1067.9      3.65        0.89      0.16       0.19                1040900200340 
 1067.9      3.70        0.94      0.12       0.15                1040900200341 
 1132.0      2.22        8.9       0.3        0.9                 1040900200342 
 1132.0      2.30       13.4       0.4        1.4                 1040900200343 
 1132.0      2.35       15.7       0.5        1.7                 1040900200344 
 1132.0      2.40       18.5       0.6        1.9                 1040900200345 
 1132.0      2.45       19.1       0.6        2.0                 1040900200346 
 1132.0      2.50       19.2       0.6        2.0                 1040900200347 
 1132.0      2.55       19.9       0.6        2.1                 1040900200348 
 1132.0      2.60       21.4       0.5        2.2                 1040900200349 
 1132.0      2.65       21.5       0.5        2.2                 1040900200350 
 1132.0      2.70       21.5       0.4        2.2                 1040900200351 
 1132.0      2.80       21.1       0.4        2.1                 1040900200352 
 1132.0      2.85       21.8       0.4        2.2                 1040900200353 
 1132.0      2.90       22.7       0.4        2.3                 1040900200354 
 1132.0      2.95       23.7       0.4        2.4                 1040900200355 
 1132.0      3.00       22.3       0.4        2.3                 1040900200356 
 1132.0      3.05       22.1       0.4        2.3                 1040900200357 
 1132.0      3.10       20.8       0.4        2.1                 1040900200358 
 1132.0      3.15       22.0       0.4        2.2                 1040900200359 
 1132.0      3.20       22.7       0.4        2.3                 1040900200360 
 1132.0      3.25       22.5       0.4        2.3                 1040900200361 
 1132.0      3.30       24.2       0.4        2.5                 1040900200362 
 1132.0      3.35       23.1       0.4        2.3                 1040900200363 
 1132.0      3.40       22.9       0.4        2.3                 1040900200364 
 1132.0      3.45       22.7       0.4        2.3                 1040900200365 
 1132.0      3.50       20.4       0.3        2.1                 1040900200366 
 1132.0      3.55       22.3       0.4        2.3                 1040900200367 
 1132.0      3.60       21.8       0.4        2.2                 1040900200368 
 1132.0      3.65       20.5       0.3        2.1                 1040900200369 
 1132.0      3.70       19.3       0.3        2.0                 1040900200370 
 1209.2      3.40        0.42      0.13       0.14                1040900200371 
 1209.2      3.45        0.95      0.15       0.18                1040900200372 
 1209.2      3.50        1.15      0.16       0.20                1040900200373 
 1209.2      3.55        1.54      0.16       0.22                1040900200374 
 1209.2      3.60        1.86      0.17       0.25                1040900200375 
 1209.2      3.65        1.46      0.17       0.22                1040900200376 
 1209.2      3.70        1.68      0.13       0.21                1040900200377 
 1225.5      3.45        0.32      0.13       0.14                1040900200378 
 1225.5      3.55        0.43      0.13       0.14                1040900200379 
 1225.5      3.60        0.71      0.15       0.17                1040900200380 
 1225.5      3.65        0.49      0.14       0.15                1040900200381 
 1225.5      3.70        0.63      0.11       0.13                1040900200382 
 1248.0      2.90        0.30      0.15       0.16                1040900200383 
 1248.0      2.95        0.49      0.15       0.16                1040900200384 
 1248.0      3.00        0.72      0.15       0.17                1040900200385 
 1248.0      3.05        0.71      0.15       0.17                1040900200386 
 1248.0      3.10        0.52      0.15       0.16                1040900200387 
 1248.0      3.15        0.79      0.16       0.18                1040900200388 
 1248.0      3.20        1.13      0.17       0.21                1040900200389 
 1248.0      3.25        0.78      0.17       0.19                1040900200390 
 1248.0      3.30        0.77      0.16       0.17                1040900200391 
 1248.0      3.35        0.93      0.15       0.18                1040900200392 
 1248.0      3.40        0.88      0.16       0.18                1040900200393 
 1248.0      3.45        0.76      0.15       0.17                1040900200394 
 1248.0      3.50        0.77      0.15       0.17                1040900200395 
 1248.0      3.55        0.92      0.16       0.18                1040900200396 
 1248.0      3.60        0.99      0.15       0.18                1040900200397 
 1248.0      3.65        0.77      0.15       0.17                1040900200398 
 1248.0      3.70        0.82      0.12       0.15                1040900200399 
 1369.3      3.00        0.53      0.14       0.15                1040900200400 
